** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
8                1.4479        0.3420       0.6210         0.4954       2.0625        0.5059       0.4102         0.3098
9                2.6170        0.5700       0.5354         0.2830       2.8085        0.5910       0.3815         0.2664
TOTAL            1.9989        0.4525       0.5693         0.3937       2.3302        0.5515       0.4030         0.2944


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.6923        0.1994       0.8221         0.6938       0.1154        0.0337       0.9815         0.9385
Changsha              0.9423        0.2715       0.7535         0.6282       0.2500        0.0760       0.9337         0.8759
Chaozhou              1.5192        0.3955       0.6070         0.4542       1.3077        0.3391       0.6445         0.5536
Chengdu               0.6538        0.1804       0.8464         0.7223       0.1538        0.0465       0.9656         0.9164
Fuzhou                1.0962        0.2766       0.7308         0.5879       0.7308        0.1833       0.7777         0.7231
Guangzhou             1.2500        0.3641       0.7000         0.5046       0.3846        0.1170       0.8697         0.8217
Hankou                0.6538        0.1910       0.8535         0.7119       0.0769        0.0183       0.9816         0.9667
Jinan                 0.7308        0.2199       0.8174         0.6827       0.1731        0.0561       0.9486         0.9052
Meixian               0.9038        0.2420       0.7388         0.6388       0.6154        0.1651       0.8110         0.7525
Nanchang              0.9615        0.2772       0.7486         0.6106       0.5577        0.1551       0.8229         0.7692
Shanghai              1.3269        0.3776       0.6650         0.4966       0.6346        0.2035       0.7946         0.7155
Shuangfeng            1.1154        0.3138       0.7211         0.5603       0.5962        0.1712       0.8205         0.7284
Suzhou                1.0769        0.2981       0.7255         0.5681       0.4615        0.1401       0.8501         0.7731
Taiyuan               1.0385        0.2808       0.7222         0.6061       0.2308        0.0545       0.9379         0.9123
Wenzhou               1.5769        0.4529       0.5904         0.4043       0.8462        0.2628       0.7146         0.6434
Xiamen                1.1346        0.2946       0.7126         0.5606       2.6346        0.6872       0.5426         0.1447
XiAn                  0.8077        0.2359       0.8135         0.6459       2.5192        0.6724       0.6175         0.1496
Yangzhou              0.9808        0.2692       0.7562         0.6283       0.2115        0.0561       0.9369         0.9107
ZhongyuanYinyun       2.4423        0.5827       0.5058         0.2713       0.3269        0.0821       0.9251         0.8574
TOTAL                 1.1002        0.3012       0.7279         0.5777       0.6751        0.1853       0.8356         0.7399


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7596        0.2205       0.7766         0.6852       0.2115        0.0681       0.9309         0.8924
Changsha              0.9808        0.2870       0.7051         0.6056       0.3269        0.1045       0.8856         0.8378
Chaozhou              1.6538        0.4216       0.5319         0.4336       1.2981        0.3394       0.5872         0.5421
Chengdu               0.6731        0.1893       0.8051         0.7084       0.2019        0.0609       0.9264         0.8977
Fuzhou                1.1154        0.2824       0.6739         0.5837       0.7500        0.1910       0.7526         0.7192
Guangzhou             1.2596        0.3627       0.6394         0.4944       0.5096        0.1470       0.8043         0.7706
Hankou                0.6827        0.2006       0.7943         0.7053       0.1538        0.0463       0.9374         0.9274
Jinan                 0.7019        0.2173       0.7801         0.7023       0.1635        0.0537       0.9386         0.9117
Meixian               1.0673        0.2795       0.6589         0.5950       0.6058        0.1622       0.7817         0.7569
Nanchang              1.0962        0.3040       0.6732         0.5630       0.4712        0.1268       0.8121         0.8017
Shanghai              1.3558        0.3909       0.6236         0.4843       0.5000        0.1562       0.8090         0.7730
Shuangfeng            1.1346        0.3176       0.6650         0.5638       0.5000        0.1426       0.8134         0.7817
Suzhou                1.0962        0.3019       0.7047         0.5749       0.4038        0.1215       0.8549         0.8000
Taiyuan               1.0096        0.2715       0.6868         0.6192       0.2788        0.0683       0.9015         0.8951
Wenzhou               1.5577        0.4582       0.5514         0.4012       0.8269        0.2596       0.6949         0.6401
Xiamen                1.0673        0.2809       0.6841         0.5813       2.7596        0.7252       0.4672         0.1365
XiAn                  0.8462        0.2550       0.7480         0.6292       2.6827        0.7139       0.5397         0.1359
Yangzhou              0.9519        0.2611       0.7235         0.6381       0.1923        0.0556       0.9273         0.9115
ZhongyuanYinyun       2.5865        0.6192       0.4393         0.2519       0.3077        0.0808       0.8878         0.8629
TOTAL                 1.1366        0.3116       0.6771         0.5695       0.6918        0.1907       0.8028         0.7365


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7677        0.2286       0.7653         0.6769       0.2323        0.0755       0.9088         0.8809
Changsha              0.9484        0.2814       0.6961         0.6100       0.3871        0.1235       0.8532         0.8061
Chaozhou              1.5613        0.4115       0.5403         0.4379       1.1419        0.3025       0.5940         0.5751
Chengdu               0.6903        0.1945       0.7900         0.7067       0.1742        0.0512       0.9347         0.9134
Fuzhou                1.1290        0.2926       0.6526         0.5710       0.7032        0.1851       0.7552         0.7163
Guangzhou             1.2065        0.3488       0.6545         0.5149       0.5742        0.1657       0.7757         0.7421
Hankou                0.6774        0.1991       0.7853         0.7082       0.1484        0.0458       0.9335         0.9293
Jinan                 0.7355        0.2310       0.7674         0.6761       0.1613        0.0532       0.9337         0.9107
Meixian               0.9484        0.2578       0.6696         0.6203       0.5806        0.1598       0.7811         0.7499
Nanchang              1.0065        0.2837       0.6717         0.5795       0.4968        0.1356       0.7886         0.7900
Shanghai              1.4129        0.4134       0.5914         0.4485       0.5677        0.1771       0.7618         0.7405
Shuangfeng            1.1226        0.3217       0.6444         0.5624       0.6645        0.1977       0.7495         0.7129
Suzhou                1.0774        0.3025       0.6899         0.5672       0.4839        0.1484       0.8149         0.7593
Taiyuan               0.9419        0.2588       0.6991         0.6328       0.2710        0.0685       0.8909         0.8908
Wenzhou               1.6710        0.4819       0.5362         0.3828       0.8839        0.2811       0.6630         0.6118
Xiamen                1.0516        0.2815       0.6623         0.5929       2.7290        0.7343       0.4530         0.1376
XiAn                  0.8258        0.2514       0.7346         0.6335       2.6258        0.7134       0.5398         0.1445
Yangzhou              0.9097        0.2561       0.7240         0.6397       0.2194        0.0660       0.9130         0.9011
ZhongyuanYinyun       2.5226        0.6205       0.4318         0.2443       0.2710        0.0724       0.8968         0.8764
TOTAL                 1.1161        0.3114       0.6688         0.5687       0.7008        0.1977       0.7864         0.7257


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.40.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7343        0.2147       0.7677         0.6900       0.1981        0.0617       0.9144         0.9001
Changsha              0.8986        0.2707       0.7174         0.6115       0.3913        0.1238       0.8462         0.8120
Chaozhou              1.4638        0.3896       0.5420         0.4672       1.1498        0.2997       0.5986         0.5760
Chengdu               0.6908        0.1909       0.7969         0.7103       0.1787        0.0517       0.9313         0.9161
Fuzhou                1.0483        0.2717       0.6697         0.5996       0.6860        0.1798       0.7518         0.7165
Guangzhou             1.2367        0.3445       0.6417         0.5169       0.4928        0.1424       0.7937         0.7770
Hankou                0.6860        0.1986       0.7917         0.7023       0.1643        0.0475       0.9235         0.9250
Jinan                 0.7150        0.2232       0.7719         0.6808       0.1932        0.0622       0.9219         0.9014
Meixian               0.9372        0.2514       0.6811         0.6277       0.5797        0.1537       0.7705         0.7621
Nanchang              1.0483        0.2890       0.6652         0.5734       0.4976        0.1319       0.7944         0.7914
Shanghai              1.3768        0.4002       0.6053         0.4586       0.5507        0.1699       0.7747         0.7478
Shuangfeng            1.1739        0.3402       0.6254         0.5242       0.5797        0.1705       0.7728         0.7400
Suzhou                1.0628        0.2955       0.6862         0.5725       0.4686        0.1392       0.8212         0.7743
Taiyuan               0.8841        0.2395       0.7040         0.6538       0.2415        0.0621       0.9029         0.8992
Wenzhou               1.5604        0.4590       0.5385         0.4058       0.8647        0.2682       0.6657         0.6168
Xiamen                1.0918        0.2886       0.6514         0.5733       2.7101        0.7205       0.4478         0.1459
XiAn                  0.8164        0.2494       0.7401         0.6391       2.6232        0.7032       0.5394         0.1542
Yangzhou              0.9758        0.2669       0.7222         0.6259       0.2271        0.0667       0.9045         0.8986
ZhongyuanYinyun       2.6570        0.6514       0.3816         0.2267       0.3043        0.0793       0.8849         0.8676
TOTAL                 1.1083        0.3071       0.6684         0.5716       0.6895        0.1912       0.7874         0.7327


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.50.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.8301        0.2441       0.7462         0.6467       0.2625        0.0802       0.9016         0.8754
Changsha              1.0000        0.2976       0.6890         0.5824       0.4208        0.1343       0.8405         0.7948
Chaozhou              1.6371        0.4243       0.5212         0.4235       1.1969        0.3168       0.5846         0.5539
Chengdu               0.7220        0.2035       0.7848         0.6937       0.1853        0.0520       0.9236         0.9157
Fuzhou                1.0811        0.2874       0.6701         0.5815       0.7220        0.1952       0.7362         0.6972
Guangzhou             1.2548        0.3595       0.6494         0.4938       0.5753        0.1656       0.7635         0.7381
Hankou                0.7568        0.2210       0.7704         0.6737       0.2046        0.0611       0.9103         0.9050
Jinan                 0.7683        0.2427       0.7602         0.6528       0.2008        0.0644       0.9199         0.8959
Meixian               0.9305        0.2532       0.6807         0.6220       0.5985        0.1597       0.7575         0.7581
Nanchang              1.0656        0.2974       0.6694         0.5632       0.5251        0.1397       0.7796         0.7770
Shanghai              1.3668        0.3997       0.5971         0.4609       0.5714        0.1754       0.7751         0.7376
Shuangfeng            1.1506        0.3367       0.6324         0.5354       0.6988        0.2053       0.7331         0.7014
Suzhou                1.0463        0.2947       0.6866         0.5773       0.5174        0.1530       0.8100         0.7621
Taiyuan               0.8996        0.2476       0.7041         0.6378       0.2085        0.0539       0.9163         0.9086
Wenzhou               1.5405        0.4555       0.5470         0.4076       0.8996        0.2834       0.6634         0.6028
Xiamen                1.0772        0.2902       0.6599         0.5693       2.7027        0.7223       0.4328         0.1417
XiAn                  0.8571        0.2656       0.7252         0.6155       2.5907        0.6986       0.5186         0.1601
Yangzhou              1.0232        0.2864       0.7054         0.5955       0.2471        0.0718       0.8965         0.8898
ZhongyuanYinyun       2.8185        0.6666       0.3828         0.2171       0.4131        0.1104       0.8541         0.8187
TOTAL                 1.1488        0.3197       0.6622         0.5553       0.7232        0.2023       0.7746         0.7176


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          0.6471        0.1657       0.8022         0.7558       0.6471        0.1775       0.8037         0.7159
jaru             1.2500        0.2475       0.6831         0.6328       1.1875        0.2553       0.7213         0.6081
kitemoka         3.0000        0.5272       0.4395         0.2623       2.8889        0.5227       0.4606         0.2445
more             1.3684        0.2965       0.6298         0.5481       0.7895        0.2070       0.7477         0.6798
orowin           0.7368        0.1439       0.8217         0.7498       1.1579        0.2374       0.7425         0.6316
tapakura         2.0526        0.3960       0.5516         0.4528       2.3684        0.4608       0.5136         0.3433
tora             2.1053        0.4046       0.5351         0.4404       1.7895        0.3967       0.5330         0.4471
urupa            1.2632        0.2566       0.7450         0.6126       1.3684        0.3080       0.6889         0.5093
wanyam           1.7895        0.3271       0.7089         0.4392       0.8947        0.1822       0.7879         0.7307
wari             2.0526        0.3660       0.5764         0.4409       1.8947        0.3640       0.5961         0.4435
TOTAL            1.6265        0.3131       0.6493         0.5335       1.4987        0.3112       0.6595         0.5354


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.5484        0.3453       0.6610         0.5128       0.9355        0.2272       0.7258         0.6531
jaru             1.9310        0.3451       0.5743         0.4637       1.6552        0.3099       0.6404         0.5225
kitemoka         3.0606        0.5152       0.4423         0.2561       3.3030        0.5574       0.3870         0.2146
more             1.7222        0.3334       0.5954         0.5148       1.1667        0.2605       0.6912         0.6037
orowin           0.9706        0.1861       0.7719         0.7089       1.2353        0.2299       0.7273         0.6389
tapakura         2.3636        0.4117       0.4919         0.3990       2.8485        0.4983       0.4567         0.2649
tora             2.3611        0.4294       0.4891         0.3865       2.3056        0.4361       0.4616         0.4120
urupa            1.8710        0.3501       0.6268         0.4367       1.8710        0.3950       0.6133         0.3793
wanyam           1.8919        0.3204       0.6274         0.4999       1.3243        0.2340       0.7028         0.6447
wari             2.4444        0.3939       0.5458         0.3689       1.8333        0.3325       0.6106         0.4690
TOTAL            2.0165        0.3631       0.5826         0.4547       1.8478        0.3481       0.6017         0.4803


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3913        0.2745       0.6443         0.6105       1.1304        0.2539       0.7153         0.5993
jaru             2.2143        0.3628       0.5788         0.4544       1.9286        0.3227       0.5982         0.4936
kitemoka         3.4615        0.5425       0.3985         0.2055       3.4615        0.5526       0.3909         0.2126
more             1.8868        0.3238       0.5665         0.5462       1.3774        0.2880       0.6245         0.5720
orowin           1.9020        0.3081       0.6210         0.4977       1.3922        0.2425       0.6801         0.6062
tapakura         2.7674        0.4430       0.4781         0.3584       2.9535        0.4642       0.4402         0.3242
tora             2.6863        0.4652       0.4508         0.3144       2.1961        0.4106       0.5172         0.4189
urupa            2.7368        0.4715       0.5438         0.2996       2.8684        0.5399       0.5203         0.2286
wanyam           2.2182        0.3461       0.5868         0.4505       2.0364        0.3142       0.6455         0.5081
wari             2.3846        0.3875       0.5381         0.3982       2.0000        0.3422       0.5757         0.4901
TOTAL            2.3649        0.3925       0.5407         0.4135       2.1344        0.3731       0.5708         0.4454


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          2.0339        0.3638       0.6201         0.4424       1.1356        0.2506       0.7468         0.5904
jaru             2.9057        0.4476       0.4883         0.3386       2.1731        0.3829       0.5451         0.3906
kitemoka         4.8182        0.6960       0.2728         0.0937       4.0455        0.6004       0.3422         0.1500
more             1.8451        0.3210       0.5445         0.5282       1.5352        0.3127       0.6127         0.5418
orowin           1.8030        0.2849       0.6131         0.5449       1.5000        0.2571       0.6585         0.5701
tapakura         3.2174        0.4783       0.4662         0.3029       3.8696        0.5922       0.3517         0.2107
tora             3.3077        0.4975       0.4510         0.2697       2.8308        0.5015       0.4212         0.2802
urupa            3.3953        0.5386       0.4746         0.2099       3.2683        0.6351       0.4605         0.1294
wanyam           2.2143        0.3170       0.5977         0.4922       1.9857        0.3204       0.6004         0.4908
wari             2.6716        0.4221       0.5108         0.3561       2.1194        0.3543       0.5680         0.4530
TOTAL            2.8212        0.4367       0.5039         0.3578       2.4463        0.4207       0.5307         0.3807


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3478        0.2815       0.6821         0.5404       1.4412        0.3040       0.6832         0.4955
jaru             3.8983        0.5563       0.4225         0.1977       3.9565        0.6966       0.3819         0.0645
kitemoka         4.7174        0.6579       0.2971         0.1105       4.1522        0.6307       0.3375         0.1422
more             2.6279        0.3918       0.5111         0.4464       1.8353        0.3707       0.5629         0.4699
orowin           1.9880        0.3225       0.5574         0.4935       1.8193        0.3167       0.5971         0.4976
tapakura         3.8367        0.5802       0.3983         0.1857       3.7143        0.5626       0.3771         0.2297
tora             3.9028        0.5530       0.4064         0.2318       4.1389        0.6007       0.3568         0.2145
urupa            3.5833        0.5661       0.4565         0.1893       4.2340        0.7709       0.2922         0.0339
wanyam           2.8023        0.3948       0.5270         0.4070       2.8256        0.4439       0.4872         0.3480
wari             2.9881        0.4675       0.4478         0.3139       2.3333        0.3949       0.5060         0.4076
TOTAL            3.1693        0.4772       0.4706         0.3116       3.0451        0.5092       0.4582         0.2903


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.6739        0.2663       0.6673         0.6416       0.5652        0.2237       0.7213         0.6848
Jerigaon         0.5978        0.2518       0.7378         0.6458       0.3478        0.1431       0.8142         0.7939
Khispi           0.6413        0.2536       0.6728         0.6395       0.6087        0.2627       0.6949         0.6306
Khoina           0.4891        0.2156       0.7666         0.7133       0.5326        0.2391       0.7759         0.6951
Khoitam          0.3077        0.1227       0.8265         0.8239       0.2500        0.1087       0.8650         0.8462
Rahung           0.3804        0.1630       0.7945         0.7836       0.3478        0.1558       0.8107         0.7890
Rupa             0.4239        0.1757       0.8012         0.7550       0.2826        0.1178       0.8780         0.8324
Shergaon         0.3913        0.1667       0.7861         0.7758       0.3261        0.1467       0.8340         0.7926
TOTAL            0.4882        0.2019       0.7566         0.7223       0.4076        0.1747       0.7993         0.7581


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7049        0.2791       0.6347         0.6270       0.5792        0.2304       0.6911         0.6898
Jerigaon         0.4396        0.2015       0.7634         0.7336       0.3443        0.1526       0.8145         0.7869
Khispi           0.5027        0.2049       0.7109         0.7151       0.5137        0.2222       0.7111         0.6980
Khoina           0.5410        0.2413       0.7237         0.6871       0.6175        0.2805       0.7246         0.6436
Khoitam          0.3077        0.1291       0.8104         0.8190       0.3060        0.1393       0.8255         0.8127
Rahung           0.3224        0.1357       0.8027         0.8206       0.3462        0.1529       0.7963         0.7928
Rupa             0.3934        0.1621       0.7978         0.7687       0.3716        0.1630       0.8238         0.7710
Shergaon         0.3552        0.1503       0.7807         0.7957       0.4098        0.1794       0.7651         0.7570
TOTAL            0.4459        0.1880       0.7531         0.7458       0.4360        0.1901       0.7690         0.7440


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7236        0.2952       0.6135         0.5993       0.6291        0.2612       0.6725         0.6508
Jerigaon         0.4708        0.2214       0.7583         0.7115       0.3891        0.1758       0.7801         0.7620
Khispi           0.6291        0.2548       0.6551         0.6505       0.6327        0.2621       0.6625         0.6497
Khoina           0.5328        0.2366       0.7242         0.6916       0.5927        0.2576       0.7226         0.6627
Khoitam          0.3248        0.1423       0.8045         0.7998       0.3891        0.1673       0.7794         0.7690
Rahung           0.3636        0.1497       0.7770         0.7941       0.3540        0.1509       0.7922         0.7952
Rupa             0.4182        0.1715       0.7863         0.7531       0.4073        0.1739       0.8013         0.7537
Shergaon         0.4073        0.1776       0.7527         0.7564       0.4327        0.1897       0.7536         0.7398
TOTAL            0.4838        0.2061       0.7339         0.7195       0.4783        0.2048       0.7455         0.7228


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8898        0.3656       0.5244         0.5191       0.6808        0.2785       0.6388         0.6350
Jerigaon         0.5253        0.2402       0.7120         0.6861       0.6359        0.2733       0.6820         0.6294
Khispi           0.7790        0.3203       0.5738         0.5778       0.6827        0.2724       0.6419         0.6339
Khoina           0.6986        0.3038       0.7034         0.5971       0.8315        0.3663       0.6355         0.5386
Khoitam          0.3659        0.1597       0.7858         0.7772       0.4262        0.1887       0.7475         0.7413
Rahung           0.4270        0.1809       0.7451         0.7562       0.6348        0.2732       0.6927         0.6402
Rupa             0.5000        0.2122       0.7277         0.7048       0.5628        0.2423       0.7130         0.6700
Shergaon         0.5183        0.2413       0.7109         0.6756       0.5155        0.2291       0.7079         0.6861
TOTAL            0.5880        0.2530       0.6854         0.6617       0.6213        0.2655       0.6824         0.6468


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.50.tsv
