COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
212-1	j ɔ ʔ ⁵⁴						
214-1	l ɔ m ³						
217-1	j u ³						
224-1	n j i ⁵						
228-1	b u ⁵						
238-1	j au ³¹						
241-1	s ɔ ³						
246-1	d j ɔ̰ ³						
256-1	ʔ a ³¹						
257-1	kʰ u ʔ ³¹						
272-1	n ɔ ⁵						
273-1	ʔ a ³¹						
274-1	m a ŋ ⁵						
286-1	kʰ a m ⁵						
289-1	kʰ u ŋ ³						
294-1	j ṵ ³						
301-1	j ɔ ʔ ³¹						
306-1	kʰ w ɛ p ³¹						
307-1	ŋ a p ⁵³						
321-1	tʰ a ŋ ³¹						
331-1	n j ɔ̰ ³						
332-1	l a m ³¹						
335-1	d j ɔ ³¹						
336-1	n j a m ³¹						
340-1	n au ³¹						
342-1	n j i ⁵						
360-1	dʒ w ɔ p ³¹						
376-1	s w ɔ k ³						
389-1	n a̰ k ʔ ³						
395-1	n u ³¹						
401-1	ʃ ei ³						
404-1	d z u ŋ ³						
408-1	d u ³						
409-1	l ɔ ³¹						
413-1	d j u n ³						
421-1	n j u k ³²						
425-1	b j ei ³						
430-1	dʒ ɛ ³						
442-1	d u ³						
447-1	tʰ u n ³						
456-1	g ɔ ⁵						
458-1	s u ⁵						
469-1	kʰ au ³						
470-1	d a ³¹						
475-1	m ³						
477-1	n j a̰ ʔ ⁵²						
478-1	d ts ɛ t ³¹						
480-1	k au ⁵						
485-1	n j ɔ ³²						
495-1	ŋ ɔ̰ ³						
499-1	n j au ʔ ³						
500-1	n j j ɔ m ³						
501-1	tʰ u ³						
506-1	d j a t ⁴²						
507-1	n ɛ ʔ ³¹						
509-1	l ṵ ŋ ³						
510-1	b j ɔ ŋ ³						
511-1	l ɔ ʔ ³¹						
521-1	h au ³						
525-1	n j au ³¹						
538-1	tʰ au ³						
539-1	dʒ j ɛ n ³						
544-1	k j ɔ ʔ ³¹						
550-1	tʰ j ɔ ʔ ⁵⁴						
562-1	n j u ŋ ³						
568-1	g ɛ ³¹						
2-1	kʰ u ŋ ³						
11-1	s a̰ ŋ ³						
12-1	j ɔ ʔ ³¹						
22-1	d u ŋ ³¹						
28-1	d ɔ ³¹						
29-1	tʰ ɔ ʔ ⁵³						
30-1	j a ŋ ³¹						
35-1	d l a ŋ ³						
38-1	d u k ⁵³						
42-1	d i ⁵						
46-1	tʃʰ u ³						
52-1	d j ɔ m ³¹						
55-1	d j ɔ m ³¹						
69-1	s ɔ k ⁵³						
79-1	g j ɔ m ³						
83-1	tʃʰ j a̰u ³						
86-1	j ḛ ŋ ⁵						
89-1	s a ŋ ³						
90-1	j ɔ ʔ ³¹						
91-1	pʰ ei n ³						
92-1	kʰ a ⁵						
106-1	k au ʔ ³¹						
120-1	tsʰ a̰ ⁵²						
125-1	g d ɔ ʔ ³¹						
148-1	j a ŋ ³						
173-1	d ɛ ⁵³						
179-1	d u ⁵						
186-1	ŋ ai ³						
187-1	l a ŋ ³						
197-1	n a̰ ʔ ⁵²						
209-1	kʰ j au ŋ ³						
210-1	j u m ³						
211-1	d au ³²						
213-1	n a̰ k ⁵²						
215-1	tsʰ w a ʔ ³¹						
220-1	tʰ ə ŋ ³						
237-1	s i ³						
239-1	n a m ³¹						
242-1	tsʰ au ³						
248-1	kʰ j ḛ ³¹						
255-1	d j ɔ ³¹						
271-1	tʃʰ au ⁵						
275-1	n ɨ̰ ŋ ⁵						
277-1	tʃʰ a ŋ ⁵						
295-1	kʰ u k ⁵⁴						
302-1	tsʰ u m ³						
309-1	l ɔ ʔ ³¹						
312-1	au ⁵						
313-1	n ɔ ʔ ³						
314-1	tsʰ a m ³						
315-1	tʃʰ a ŋ ⁵						
330-1	l ai ³						
333-1	s j a m ³						
338-1	n j ɔ ʔ ³¹						
346-1	s ɔ ʔ ³¹						
348-1	j ɛ ³¹						
1-2		m ts õ ʔ ³					
4-2		l a̰ ⁵²					
18-2		m õ ²³					
19-2		n w õ ʔ ³					
44-2		l a ²³					
50-2		w õ ²³					
62-2		x ḭ ²³					
70-2		w õ ²³					
75-2		m j au ʔ ³					
97-2		ts õ ²³					
112-2		ts i ⁵²					
122-2		m j a ³					
127-2		k i ⁵²					
132-2		j õ ʔ ³					
133-2		n w õ ʔ ³					
135-2		n ts õ ʔ ³					
142-2		ts i ³					
143-2		x a ʔ ³					
149-2		õ ²³					
152-2		m õ ʔ ⁵²					
157-2		ts i ⁵²					
183-2		tsʰ i ⁵²					
184-2		m õ ³					
185-2		x ḭ ²³					
189-2		m j a ʔ ³					
192-2		x õ ʔ ³					
195-2		m i ⁵²					
200-2		ts õ ³					
216-2		w õ ²³					
218-2		l a ⁵²					
225-2		x ḭ ⁵²					
235-2		k j õ ³					
244-2		ɣ j i ⁵²					
253-2		m ts w i ³					
270-2		m w õ ³					
278-2		m õ ²³					
279-2		ts j i ⁵²					
285-2		j õ ³					
308-2		ts i ³					
322-2		m i ⁵²					
325-2		k ts õ ʔ ³					
337-2		m j õ ²³					
341-2		ts i ²³					
347-2		w a ʔ ³					
362-2		j õ ʔ ³					
391-2		j a ⁵²					
394-2		m ḭ ʔ ⁵²					
397-2		j õ ⁵²					
443-2		m j a ²³					
460-2		x ḭ ⁵²					
463-2		j õ ʔ ³					
464-2		tsʰ a ŋ ⁵²					
473-2		ɣ ḭ ⁵²					
476-2		j au ²³					
481-2		õ ²³					
494-2		k w i ⁵²					
496-2		w õ ²³					
516-2		j i ⁵²					
522-2		n a ʔ ⁵²					
523-2		j õ ʔ ³					
524-2		m i ⁵²					
540-2		ts i ²³					
3-2		j õ ³					
6-2		k w i ²³					
7-2		ts õ ²³					
20-2		n õ ²³					
39-2		n w õ ʔ ³					
51-2		m w õ ʔ ³					
72-2		ʔ a̰ ⁵²					
94-2		m w õ ²³					
100-2		j õ ŋ ²³					
116-2		j j a ⁵²					
136-2		l j i ⁵²					
137-2		j õ ³					
139-2		n ḛ ⁵²					
150-2		j a ʔ ³					
154-2		m w i ³					
166-2		p j a ⁵²					
169-2		j õ ³					
170-2		p j a ⁵²					
171-2		j o ⁵²					
174-2		l õ ³					
181-2		m j a ʔ ³					
205-2		m õ w ʔ ²³					
206-2		m ts õ ʔ ³					
214-2		l ḭ ⁵²					
217-2		ts ə ⁵²					
224-2		m j õ ³					
228-2		p õ ²³					
246-2		k i ³					
256-2		j ḭ ²³					
257-2		p a ²³					
273-2		x õ ²³					
286-2		w õ ³					
307-2		x õ ²³					
335-2		k j a ²³					
342-2		m j õ ³					
376-2		ts õ ³					
389-2		m ts õ ³					
404-2		ts õ ²³					
408-2		w a ⁵²					
413-2		w õ ²³					
421-2		m x a ³					
430-2		j ḭ ŋ ²³					
458-2		tsʰ i ²³					
470-2		x a ³					
475-2		m ⁵²					
477-2		n ḭ ²³					
478-2		j a̰ ³					
480-2		k ts õ ʔ ³					
485-2		m j a ⁵²					
495-2		m w i ²³					
499-2		m j õ ³					
500-2		m j w õ ³					
506-2		ts õ ²³					
509-2		l ḭ ⁵²					
525-2		m j õ ³					
22-2		k o ŋ ⁵²					
28-2		p i ⁵²					
29-2		ẽ ʔ ⁵²					
30-2		j ẽ ²³					
35-2		l a̰ ²³					
38-2		t ts õ ²³					
46-2		ts a ²³					
52-2		w i ʔ ³					
55-2		w i ³					
69-2		ɣ a ʔ ⁵²					
125-2		k w i ²³					
163-2		ɣ õ ⁵²					
173-2		p i ²³					
179-2		ẽ ⁵²					
210-2		j õ ³					
211-2		ts ẽ ŋ ²³					
213-2		m õ ²³					
215-2		w a ʔ ³					
237-2		ts a̰ ⁵²					
252-2		k ḛ ⁵²					
255-2		p j i ³					
275-2		m a ²³					
281-2		k j a ⁵²					
300-2		k õ ⁵²					
333-2		tʃʰ a̰ ³					
1-3			m au ⁴				
4-3			l a ³²				
18-3			m j e ³²				
19-3			n j e ³¹				
44-3			l o ʔ ³²				
50-3			h j ə̰ ŋ ³¹				
62-3			s ə k ⁵³				
70-3			b a ŋ ⁴				
75-3			m j o ³²				
97-3			z a ŋ ⁴				
112-3			tsʰ u ³²				
122-3			m j o k ³²				
127-3			kʰ ə ³¹				
132-3			ɔ ʔ ³²				
133-3			n o ³¹				
135-3			n o ⁴				
142-3			d ts ə̰ ³²				
143-3			ŋ o ʔ ³²				
149-3			ʔ o ʔ ⁵³				
152-3			ŋ o ³¹				
157-3			b ɔ ³²				
183-3			ʔ o ³²				
184-3			o ³²				
185-3			tsʰ a m ³¹				
189-3			m j ɔ ʔ ³²				
192-3			n o ³¹				
195-3			n o ³²				
200-3			e ⁴				
216-3			s j o ŋ ³²				
218-3			l o ʔ ³²				
225-3			s ə ŋ ⁵³				
235-3			kʰ j e ³²				
244-3			s ə ⁴				
253-3			m j ə̰ ³¹				
270-3			m j o ³²				
278-3			m j o ŋ ³²				
279-3			u ³²				
285-3			j o m ⁴³				
308-3			p ə̰ ⁴				
322-3			m j u ⁴				
325-3			kʰ au ⁴				
337-3			m j a ŋ ³¹				
341-3			d z ɔ ⁴				
347-3			h o ʔ ³²				
362-3			j o ³¹				
391-3			j o k ⁵³				
394-3			m ɔ ʔ ³²				
397-3			tʃʰ o ⁵³				
443-3			m j o p ³²				
460-3			s a ⁵³				
463-3			o ²				
464-3			ʔ o ŋ ³				
473-3			s ɔ m ³¹				
476-3			kʰ j o k ³²				
481-3			tsʰ o ³¹				
494-3			g ɛ ³				
496-3			h j o ŋ ³¹				
516-3			ʃ e ³²				
522-3			n o ʔ ³²				
523-3			b j u ³¹				
524-3			n e ³²				
540-3			g ɔ ³²				
3-3			b ə ²				
6-3			g ə ⁴				
7-3			d o m ⁵³				
20-3			n ai p ³				
39-3			m o ³²				
51-3			ŋ o ²				
64-3			g o ³¹				
65-3			g o ʔ ³²				
66-3			d z u ³				
71-3			ʃ ɛ ³²				
72-3			ʔ a ³				
76-3			u ³²				
77-3			m j ə k ³²				
78-3			m ɔ̰ ³¹				
82-3			b o ŋ ⁵				
87-3			ŋ o ³²				
93-3			l a m ³²				
94-3			m j e ³²				
100-3			s o ³²				
116-3			l a ³				
119-3			ʃ a m ³¹				
124-3			b j o ³¹				
136-3			l ɨ ³⁴				
137-3			kʰ j ə̰ ²				
139-3			m z u ³¹				
144-3			s oi ³²				
145-3			d o ŋ ³¹				
146-3			m au ³¹				
150-3			g j ɔ ʔ ³²				
154-3			m j ə̰ ³¹				
165-3			g o ŋ ³²				
166-3			b j u ³¹				
169-3			g j e ŋ ³¹				
170-3			b j u ³¹				
171-3			j o ŋ ³²				
174-3			l æ̰ m ³¹				
181-3			m j ɔ ʔ ³²				
193-3			b u ³				
205-3			n o ʔ ⁵³				
206-3			m ə ³²				
212-3			z ɔ ʔ ⁵³				
214-3			l a m ³²				
217-3			ʔ u ³²				
224-3			n j ə̰ ⁵³				
228-3			b o ⁴				
238-3			j au ³¹				
241-3			ʃ ɔ ³²				
246-3			g j u ³				
256-3			ʔ o ³				
257-3			b ɪ ⁴				
272-3			m ɔ ⁵				
273-3			ʔ a ⁵³				
274-3			m a ŋ ³¹				
286-3			kʰ a m ²				
289-3			kʰ o ŋ ³¹				
294-3			ʔ o ⁵³				
301-3			j ɔ ʔ ³				
306-3			tʃʰ j o p ³²				
307-3			ŋ æ̰ p ⁵³				
321-3			tʰ a ŋ ³¹				
331-3			m ɔ̰ ³¹				
332-3			l e m ³²				
335-3			g j u ⁴				
336-3			ʃ a m ³¹				
340-3			ŋ au ⁴				
342-3			m j ə̰ ³²				
360-3			dʒ o p ³²				
376-3			s e ⁵³				
389-3			n æ̃ ²				
395-3			n o ³¹				
401-3			ʃ e ⁵³				
404-3			d ts u ŋ ³¹				
408-3			d u ³¹				
409-3			l o ³¹				
413-3			d u ŋ ²				
421-3			n j ə p ³²				
425-3			b j ɛ ³¹				
430-3			d e ⁵³				
442-3			d o ³¹				
447-3			tʰ o ŋ ⁴				
456-3			g ɔ ³²				
458-3			h ɔ ⁵				
469-3			kʰ au ⁴				
470-3			d ɪ ³				
475-3			ŋ u ³				
477-3			n j ə̰ ⁵³				
478-3			ʃ e ⁵³				
480-3			g au ³¹				
485-3			m j u ³				
495-3			ŋ ɔ̃ ³				
499-3			m j e ŋ ³¹				
500-3			j ə̰ m ²				
501-3			tʰ u ⁵³				
506-3			g ts a ⁵³				
507-3			n o ʔ ³²				
509-3			l a ⁵³				
510-3			b j ɔ̰ ŋ ⁵				
511-3			l o ʔ ³²				
521-3			h au ³¹				
525-3			n j ə̰ ⁵³				
538-3			z ɔ̰ ³¹				
539-3			dʒ j e ³²				
544-3			g j o k ³²				
550-3			tʰ ts o ʔ ³²				
562-3			m j o ŋ ³¹				
568-3			g o ³¹				
2-3			kʰ o ŋ ²⁴				
11-3			s ə ³¹				
12-3			j a ŋ ³¹				
22-3			g o ŋ ³¹				
28-3			b ɨ ³¹				
29-3			tʰ u ʔ ⁵³				
30-3			a ŋ ³				
35-3			l a ŋ ²				
38-3			d ts ɔ ⁴				
42-3			b e ⁵				
46-3			ʃ ɔ ⁵¹				
52-3			d e ʔ ⁵²				
55-3			b ɛ m ³¹				
69-3			h ɔ ʔ ⁴				
79-3			g j e m ³				
83-3			tʃʰ au ³²				
86-3			j e ³				
89-3			s a ŋ ³				
90-3			z ɔ ⁵³				
92-3			kʰ a ²⁴				
106-3			g o ʔ ³				
120-3			o ⁵³				
125-3			g j ə̰ m ³²				
148-3			a ŋ ³¹				
163-3			s o n ⁴				
173-3			b o ⁵³				
179-3			ʔ o ʔ ³¹				
186-3			ŋ a ³¹				
187-3			l a ŋ ³¹				
197-3			n o ⁵³				
209-3			kʰ o ŋ ⁵				
210-3			g æ̰ ŋ ²				
211-3			d u ³				
213-3			m a̰ p ⁵³				
215-3			oi ʔ ⁵¹				
220-3			tʰ o ŋ ³¹				
237-3			h i ³				
239-3			n a m ³¹				
242-3			tsʰ o ³				
248-3			kʰ j e ⁵³				
252-3			g e ³¹				
255-3			b j ɔ ⁴				
271-3			tʃʰ au ⁵				
275-3			n o ⁴				
277-3			tʃʰ a ŋ ³¹				
281-3			g j u ⁴³				
283-3			l o ³²				
295-3			kʰ u ʔ ²⁴				
300-3			g o ŋ ⁴				
302-3			tsʰ au ³¹				
309-3			l ɔ ʔ ³²				
312-3			ʔ au ³¹				
313-3			m ɔ̰ p ³²				
314-3			tsʰ ɛ m ³¹				
315-3			tʰ a ŋ ³⁴				
330-3			l e ³				
333-3			h æ̰ m ³¹				
338-3			m j ɔ ʔ ³²				
346-3			s ə ⁵³				
348-3			j e ʔ ⁵¹				
352-3			g j o ŋ ³				
1-4				m o ³⁴³ ⁵			
4-4				l ə ³²			
18-4				m j ɪ n ⁵			
19-4				n ḭ t ⁵			
44-4				l æu ʔ ³²			
50-4				ʃ ø n ³¹			
62-4				ʃ a k ⁵			
70-4				b ɪ n ³¹			
75-4				m j o ʔ ³²			
97-4				z a ⁴¹			
112-4				tsʰ au ³²			
122-4				m j æu ʔ ⁴³			
127-4				kʰ au ⁵			
132-4				j o ⁵⁴			
133-4				n o ⁵⁴			
135-4				n o ʔ ⁵			
142-4				d z au ³¹			
143-4				n ɔ ʔ ⁵⁴			
149-4				ʔ ɛ ³²			
152-4				n a ⁵⁴			
157-4				b au ²			
183-4				ʔ au ²			
184-4				n æ ʔ ³¹			
185-4				tsʰ e ²			
189-4				m j ɔ ʔ ³²			
192-4				n ɪ ⁵⁴			
195-4				n ɔ ²			
200-4				z ɪ ⁵⁴			
216-4				ʃ ɪ n ⁵			
218-4				l ɔ ʔ ³²			
225-4				ʃ a ŋ ²			
235-4				kʰ ɪ ⁵			
244-4				ʃ o ⁵			
253-4				m au ³¹			
270-4				m ɪ ⁵			
278-4				m a ³¹			
279-4				j o ³²			
285-4				j ɪ n ³²			
308-4				b o ⁵			
322-4				m o ³⁴³			
325-4				kʰ o ʔ ⁵			
337-4				m j a ⁴			
341-4				d z ɔ ⁵			
347-4				ʃ ɪ ʔ ³¹			
362-4				j ɪ ⁵			
391-4				j a ʔ ³²			
394-4				m ɔ ʔ ³⁴³			
397-4				dʒ ɪ ⁵			
443-4				n j a ʔ ³²			
460-4				ʃ e ⁵			
463-4				ʃ ø ⁵			
464-4				ʔ au ⁵			
473-4				ʃ a m ³			
476-4				kʰ j æu ʔ ⁴³			
481-4				tsʰ ɛ ⁵³			
494-4				g a ⁵			
496-4				ʃ ɪ n ²			
516-4				ʃ o ²			
522-4				n ɔ ³²			
523-4				b j ɪ ⁵⁴			
524-4				n au ²			
540-4				kʰ u ⁵			
3-4				b a ⁵			
6-4				kʰ e ⁵			
7-4				d a ⁵			
20-4				n e ʔ ³²			
39-4				m u t ⁵⁴			
51-4				ŋ ḭ ³¹			
64-4				kʰ o ŋ ⁵			
65-4				kʰ æu ʔ ⁵			
66-4				d z au ³²			
71-4				h au ³²			
72-4				g a ²			
76-4				j o ³			
77-4				m ø ⁵⁴			
78-4				m ø ³⁴³ ⁵			
82-4				pʰ a n ³²			
87-4				ŋ ɪ ⁵⁴			
93-4				l e ³			
94-4				m i ⁴³			
119-4				j au ²			
124-4				b j ɪ ³			
136-4				l i ³²			
137-4				kʰ ø ʔ ⁵			
139-4				m a ³²			
144-4				s e t ⁵			
145-4				d au ŋ ³			
146-4				m o̰ ³⁴³ ⁵			
150-4				g j ɔ ʔ ³²			
154-4				m ɔ ³¹			
165-4				kʰ ɪ ⁵⁴			
166-4				b j o ⁵			
169-4				kʰ j a ⁴			
170-4				b j ɔ ³²			
174-4				l e ⁴			
181-4				m j ɔ ʔ ³²			
193-4				b o ²			
205-4				n a̰ t ⁵			
206-4				m i ⁵			
212-4				z ɔ ʔ ⁵⁴			
217-4				ʔ au ²			
224-4				n j ø ⁵			
228-4				b o ⁵			
238-4				o̰ ʔ ⁵⁴			
241-4				h au ³²			
246-4				kʰ j o ²			
256-4				ʔ a ²			
257-4				pʰ a ʔ ²			
272-4				m o ²			
273-4				ʔ a ⁴			
274-4				m a ³⁴³			
286-4				kʰ e ⁵			
289-4				kʰ au ŋ ²			
294-4				ʔ a ²			
301-4				j ɔ ʔ ³			
306-4				kʰ a ʔ ⁵⁴			
307-4				n e ʔ ⁵			
321-4				tʰ a ²			
331-4				m o ³⁴³			
332-4				l e ⁵⁴			
335-4				g j ɔ ³²			
336-4				n e ³²			
340-4				ŋ o̰ ʔ ⁵			
342-4				m ø ʔ ⁵⁴			
360-4				dʒ a ʔ ⁵			
389-4				n æ ⁵			
395-4				n au ³			
401-4				ʃ a ³			
404-4				d z a̰u ³¹			
408-4				d o ⁵			
409-4				l au ʔ ³			
413-4				d ɪ n ⁵			
421-4				m j a ʔ ³²			
425-4				b ɪ ⁵⁴			
430-4				dʒ ɪ t ⁵			
442-4				d au ³			
447-4				tʰ au ŋ ³			
456-4				g au ²			
458-4				ʃ au ²			
469-4				kʰ o ʔ ⁵			
470-4				pʰ a ²			
475-4				m ²			
477-4				n ɣ æ k ⁵			
478-4				ʃ ɪ t ⁵			
480-4				g o ʔ ⁵			
485-4				m j ɔ ³²			
495-4				m ɔ ³¹			
499-4				m j a ⁴			
500-4				m j ɪ n ⁵			
501-4				tʰ au ³			
507-4				n ɔ ʔ ³			
510-4				b ø ŋ ⁵			
511-4				l ɔ ʔ ³²			
521-4				ʃ o̰ ʔ ⁵			
525-4				n j ø ʔ ⁵			
538-4				z ø k ⁵			
539-4				kʰ ɪ n ⁵			
544-4				kʰ j ɪ ʔ ⁵			
550-4				tʰ o ʔ ⁵⁴			
562-4				m j æu ŋ ⁴³			
568-4				g a ³			
2-4				kʰ au ŋ ⁴²			
11-4				h a ŋ ⁵			
12-4				j o̰ ʔ ⁵⁴			
22-4				g au ŋ ³¹			
28-4				b o ³¹			
29-4				tʰ au ²			
30-4				j a ³¹			
42-4				pʰ a t ⁵			
46-4				ʔ ɪ ²			
52-4				d o ʔ ⁵⁴			
55-4				b a m ³¹			
69-4				ʃ au ʔ ⁵			
79-4				g ɪ ³¹			
83-4				dʒ o̰ ʔ ⁵			
86-4				j ø ³			
89-4				s a ⁴			
90-4				z o ʔ ⁵⁴			
91-4				g œ n ³²			
92-4				kʰ a ⁵			
106-4				kʰ au ʔ ³²			
125-4				g a ʔ ⁵			
148-4				z a ⁴			
163-4				ʃ a n ²³			
173-4				b a ²			
179-4				ʔ a t ⁵			
186-4				n a ³²			
187-4				l a ²⁵			
197-4				n æ ṵ ʔ ⁵			
211-4				d o̰ ʔ ⁵			
220-4				tʰ au ŋ ³			
237-4				ʃ au ²			
239-4				n e ⁴			
242-4				tsʰ au ²			
248-4				kʰ ḭ t ⁵			
252-4				g au ³¹			
255-4				b j o ³¹			
271-4				dʒ ø ʔ ⁵			
275-4				m ɛ ⁵			
277-4				d z a ³²			
281-4				kʰ u ⁵¹			
283-4				l a ⁵⁴			
295-4				kʰ au k ⁵			
300-4				ɣ e ²			
302-4				tsʰ ø ⁵			
309-4				l ɔ ʔ ³²			
312-4				o̰ ŋ ⁵			
314-4				tsʰ e ³			
315-4				kʰ a ŋ ⁵³			
330-4				ɣ a ³²			
333-4				ʃ e ³²			
338-4				m o ʔ ³²			
346-4				s i k ⁵			
348-4				w ɪ ⁵			
352-4				kʰ j au ŋ ⁴²			
1-5					m o ³¹		
4-5					ɹ a ³¹		
18-5					m ɹ o ⁵⁵		
19-5					m j o ʔ ³¹		
44-5					ɹ o ʔ ³¹		
50-5					ʃ t u ³¹		
62-5					ʃ o ʔ ³¹		
70-5					p w o ³¹		
75-5					m ɹ o ʔ ³¹		
97-5					sʰ o ³¹		
112-5					sʰ a ³¹		
122-5					m j o ʔ ⁵⁵		
127-5					sʰ u ³¹		
132-5					j o ʔ ³¹		
133-5					m j o ʔ ³¹		
135-5					m o ʔ ³¹		
142-5					tsʰ sʰ ɹ u ³¹		
143-5					tsʰ l o ʔ ³¹		
149-5					sʰ o t ³¹		
152-5					m ə ³¹		
157-5					p a ³¹		
183-5					p a ³¹		
184-5					tsʰ o t ʔ ³¹		
185-5					l o ³¹		
189-5					m j o ʔ ³¹		
192-5					tsʰ l o ʔ ³¹		
195-5					n a ³¹		
200-5					t sʰ i ³¹		
216-5					ʃ t o ³¹		
218-5					ɹ o ʔ ³¹		
225-5					ʃ o ³¹		
235-5					p ɹ ai ʔ ³¹		
244-5					ʃ u ³¹		
253-5					m u ³¹		
270-5					m t ai ʔ ³¹		
278-5					m ɹ o ⁵⁵		
279-5					tsʰ j u ³¹		
285-5					p ɹ o ³¹		
308-5					tsʰ sʰ t u ³¹		
322-5					m t u ³¹		
325-5					p o ³¹		
337-5					m ɹ o ⁵⁵		
341-5					sʰ u ³¹		
347-5					ʃ o ʔ ³¹		
362-5					ɹ ai ʔ ⁵⁵		
391-5					ɹ o ʔ ³¹		
394-5					m o ʔ ³¹		
397-5					tsʰ o ³¹		
443-5					m ɹ o ʔ ³¹		
460-5					ʃ o ʔ ³¹		
463-5					j o ʔ ³¹		
464-5					tsʰ o ³¹		
473-5					ʃ o ³¹		
476-5					p ɹ o ʔ ³¹		
481-5					l o ³¹		
494-5					ʃ u ³¹		
496-5					ʃ j o ³¹		
516-5					j a ³¹		
522-5					m o ʔ ³¹		
523-5					sʰ ɹ o ʔ ⁵⁵		
524-5					n a ³¹		
540-5					p a ³¹		
39-5					m j ai ʔ ³¹		
64-5					p o ³¹		
65-5					p o ʔ ³¹		
66-5					sʰ u ³¹		
71-5					sʰ a ³¹		
72-5					p a ³¹		
76-5					j a ³¹		
77-5					m j a ʔ ³¹		
78-5					tsʰ u ʔ ³¹		
82-5					p o ³¹		
87-5					tsʰ a ʔ ³¹		
93-5					ɹ e ³¹		
100-5					ʃ a ³¹		
116-5					p j u ³¹		
119-5					ʃ ə ³¹		
124-5					sʰ ɹ a ʔ ⁵⁵		
136-5					m j u ³¹		
139-5					m j u		
144-5					ʃ j o ʔ ³¹		
145-5					sʰ ə ³¹		
146-5					m o ³¹		
165-5					p j a ³¹		
171-5					j ə		
193-5					p a ³¹		
212-5					p sʰ a ʔ ³¹		
214-5					ɹ o ³¹		
238-5					ʃ j o ʔ ³¹		
241-5					sʰ a ³¹		
246-5					ʔ j ə		
256-5					ʃ ə		
257-5					l o		
272-5					n a ³¹		
274-5					m o ³¹		
289-5					sʰ ə		
294-5					sʰ ə ³¹		
301-5					ɹ e ʔ ³¹		
306-5					p j o ʔ ³¹		
321-5					sʰ o ³¹		
331-5					tsʰ ɹ u ³¹		
332-5					tsʰ ɹ o ³¹		
336-5					m o ³¹		
340-5					m o ʔ ³¹		
360-5					tsʰ o ʔ ³¹		
376-5					s w a ʔ ³¹		
395-5					m e ³¹		
401-5					ʃ e		
409-5					ɹ ə ³¹		
425-5					p j a ʔ ³¹		
430-5					sʰ i ³¹		
442-5					sʰ ə ³¹		
447-5					sʰ ə ³¹		
456-5					p a ³¹		
458-5					s a ³¹		
