COGID	dutch	english	french	german
760-4				v ɪ n d
756-4				ʃ n ai
726-4				m uː t ə r
1351-4				ɡ r t + b aː t ə r
1353-4				ɡ r t + ʃ uː t ə r
412-4				ʃ ə ɡ n + b aː t ə r
406-4				ʃ ə ɡ n + m uː t ə r
1005-4				ʃ t iː + b eː t ə r
1012-4				ʃ t iː f + ʃ uː t ə r
1016-4				v ɛ t uː n + eː r
1069-4				ə ɪ k
509-4				f ʏ l ə n
693-4				m au l n + eː z ə
2179-4				n a s t
1753-4				b ɪ s
1131-4				v ɔ l f
1198-4				b aː r
2032-4				h oː r n
2241-4				n ʏ s m
2244-4				l ɪ p n
610-4				k n n iː
945-4				h a r t
1534-4				l ɪ x ə n
384-4				z au ɡ ə n
1650-4				n n oː t
1663-4				z a t
2279-4				l ɪ n ə n
471-4				z ai ə n
1385-4				z aː t n
792-4				j ʏ k
1111-4				m a s t
197-4				z au t ə n
2020-4				l a ŋ
867-4				h ʊ n t ə r t
1970-4				f ɔ l
1230-4				ə ə ɛ r t ə n
2017-4				n iː
968-4				eː r ə l t
1674-4				l a n t
1671-4				h ʏ b ə l
829-4				k l ɪ f ə
1025-4				v aː t ə r
1027-4				z ai
1832-4				r uː
-1816-4				z eː a n
-335-4				l aː ɡ uː n ə
1043-4				ʃ t r oː m
