COGID	dutch	english	french	german
1532-1	ɣ n eː d ə ŋ			
-36-1	z uː p			
34-1	b oː n			
-1647-1	v eː k ə			
-1615-1	ɑu k l t			
125-1	v ɛ t			
1659-1	h ɔ n ə x			
1661-1	m eː l k			
1676-1	b uː d ɪ r			
480-1	ɔ + d r ɛ ŋ x			
1466-1	k l ɛɪ d ɪ ŋ			
2277-1	w ɔ l			
2271-1	v eː l t			
2293-1	l ɑ d ə r			
624-1	s p ɪ n ɪ			
628-1	s p ɪ n d ə l			
626-1	w ɛ v ə ŋ			
633-1	aː d ə l ə			
1185-1	d oː r s + z uː s t ə r			
1179-1	h uː t			
2168-1	k oː m			
1952-1	d oː r			
899-1	l ɛɪ d ə r			
922-1	b eː t			
-934-1	l ɑ m p			
916-1	d r oː k			
1726-1	v aː l t			
2108-1	p l ɪ ɣ ə			
1133-1	v uː r k			
2114-1	s p aː d ɪ			
1272-1	r ɔ ɣ ə			
1979-1	k r aː s			
1989-1	h ɑu j			
-2260-1	p l ɑ n t ə			
70-1	b uː k			
-89-1	w eː w ə oː r + t ɔ x			
-12-1	p ɛɪ p ə			
713-1	z ɑ f			
747-1	n eː t ə l			
308-1	d ɪ n			
289-1	b ɪ n d ə			
1930-1	b r aː ts ə			
1928-1	s p ɑ l ə d			
858-1	d ə r s t r aː k ə			
1577-1	v h ɛ ŋ ə			
908-1	w ɑ z ə			
648-1	b oː r ɪ			
1855-1	s h ɔ ə			
657-1	h ɑ m ə r			
2058-1	aː x l			
949-1	v oː r ts + m eː t			
1642-1	x ɔ l t			
1640-1	z eː l f ə r			
1633-1	ɛɪ z ə			
1630-1	t ɪ n			
993-1	k l aː s			
-2121-1	r ɔ l ə			
1692-1	v ɑ l ə			
1694-1	d r ɔ p ə ɣ ə			
1062-1	z ɛ ŋ k ə			
476-1	z w eː m ə			
1051-1	v l ɛɪ ɣ ə			
1075-1	b l aː z ə			
135-1	x l ɛɪ d ə			
-134-1	d ɛ n t ə			
1839-1	x s ɣ aː n			
1097-1	t uː r ɪ + k ɔ m ə ɣ x x ə k			
1777-1	v oː l ɣ ə			
1434-1	b r ɪ ŋ ə			
1417-1	l ɛɪ d ə			
1424-1	r ɛɪ d ə			
778-1	p aː t			
790-1	b r ɪ x ə			
1223-1	p ɑ d ɪ l			
1117-1	z ɛ ɣ ə l			
1411-1	h aː v ə			
1407-1	d oː r s + h aː d ə			
1390-1	d ɪ ŋ			
2086-1	k aː v ə ŋ			
2082-1	t uː r ɪ + ɣ aː v ə ŋ			
576-1	z uː k ə			
579-1	v ɪ n d ə			
581-1	v ə r + l iː r ə			
-1791-1	r ɛɪ k			
-225-1	p r eː s			
-2284-1	p l ɑ ts			
1479-1	v n ə ɣ ə			
847-1	h ɔ k			
659-1	b oː d ɪ			
860-1	m ɪ d ə ə			
213-1	r ɛ x t			
1286-1	v ɛ r n			
1293-1	w aː s t ə			
474-1	d ɪ x			
467-1	d ɪ n			
1177-1	d iː f			
588-1	v l ɑ k			
584-1	h aː k			
-1153-1	r ɔ n t			
700-1	t w oː l f			
875-1	d z ɔ ɣ t			
1559-1	ɑ l			
1565-1	m eː r			
1968-1	h ɛ f t			
-350-1	p aː j r			
1478-1	b oː d ɪ			
1469-2		s iː n d		
2047-2		s ɔ n		
2054-2		d ɔ n d r		
1375-2		l ɪ + ə + d		
760-2		f iː n d		
756-2		s n		
726-2		m aɪ d r		
1351-2		b r + d + k d r		
1353-2		b r d + m d r		
412-2		s f + + n + k d r + + + + +		
406-2		s f + + n + m d r + + + + +		
1005-2		s d + + k d r		
1012-2		s d f + m d r		
1016-2		f ɛ d + æ n + r		
1069-2		b iː k		
509-2		f ɪ l		
693-2		m ɪ l + + s l		
2179-2		n ɛ s d		
1753-2		f ɪ s		
1131-2		f ɔ l f		
1198-2		b iː + r d		
2032-2		b iː r n		
2241-2		n iː s		
2244-2		l ɪ p		
610-2		k iː n		
945-2		b iː r d		
1534-2		l ɪ k		
384-2		s ɪ k		
1650-2		n iː d		
1663-2		s iː l d		
2279-2		l ɪ n		
471-2		s ɪ k		
1385-2		s ɪ d +		
792-2		b iː k		
1111-2		m iː s d		
197-2		s ɪ d		
2020-2		l iː		
867-2		b ɔ n d r + d		
1970-2		f ɔ l		
1230-2		d r + r d		
2017-2		n ɪ		
968-2		f ɛ r l d		
1674-2		l iː n d		
1671-2		b iː k l		
829-2		k l k		
1025-2		f iː d r		
1027-2		s ɛ		
1832-2		r iː		
-1816-2		b s k æ n		
-335-2		l iː k æ n		
1043-2		s d r m		
423-2		s d æ n		
2049-2		m iː n		
2062-2		s d ɔ r m		
2065-2		r ɛ k m + k k		
1368-2		s iː d		
1365-2		d iː		
754-2		r ɪ k		
768-2		f ɛ + r		
1211-2		f iː r		
106-2		m iː n		
-98-2		b ɛ k		
719-2		f aɪ d r		
1341-2		s iː n		
-2027-2		d iː n d		
-2026-2		n ɪ f		
409-2		s f + + n + s æ n + +		
402-2		s f + + n + d ɔ d r + + + + +		
1014-2		s d f + d ɔ d r		
1059-2		f aɪ		
120-2		s d l		
2194-2		ɔ iː s		
2199-2		k iː l f		
2197-2		s iː p		
1523-2		s iː		
512-2		m ɛ r		
2141-2		b ɛ n		
2147-2		b iː n s		
814-2		k r k		
810-2		d iː k		
1758-2		m iː s		
1760-2		r iː d		
1620-2		f iː n		
1282-2		f iː l f s		
1136-2		f ɔ + s		
1309-2		l iː s		
1307-2		n ɛ d		
1305-2		f l		
711-2		f ɪ s p		
1442-2		f l k		
62-2		m iː k		
-73-2		m iː s k d		
1810-2		b aɪ d		
1805-2		f l s		
1813-2		b iː + r		
1811-2		b l d		
690-2		r iː p		
2177-2		b iː f d		
246-2		w ɪ k + + r k		
249-2		b ɪ + + l d		
1506-2		n ɪ s + + + + f l l		
2242-2		m ɔ n d		
2245-2		d ɔ k		
2174-2		s iː l d r		
603-2		b l + + k k		
601-2		b iː n d		
615-2		f iː + r		
901-2		k l k		
608-2		f iː d		
596-2		d ɛ n		
937-2		b ɔ r + s d		
936-2		n iː k l		
646-2		l ɔ k		
947-2		l ɛ k r		
1606-2		b ɪ p		
472-2		b n s		
1535-2		s f d		
1546-2		s p k		
1959-2		s l p		
694-2		s n r k		
1961-2		d r m		
323-2		b iː l k		
1885-2		b r f		
2156-2		b ɛ r + k l d + k d		
1903-2		f ɔ n d		
525-2		s f l æ		
276-2		l iː m		
274-2		d iː f		
278-2		b l æ n d		
258-2		b + d r ɔ k		
256-2		n iː k + d		
383-2		b d		
207-2		r aɪ p		
376-2		d r æ k		
2014-2		r iː k		
2009-2		b f		
2003-2		k ɛ d l		
2024-2		p iː n		
1321-2		k ɔ p		
1976-2		d ɪ		
1243-2		m ɪ l + + + + d d		
1265-2		p ɛ l		
1261-2		s ɪ k		
655-2		b r d		
650-2		d ɛ		
1532-2		k n d		
-36-2		s iː p		
34-2		b iː n		
-1647-2		f aɪ k		
-1615-2		b iː l		
125-2		f ɛ d		
1659-2		b iː n æ		
1661-2		m ɛ l k		
1676-2		b aɪ d r		
480-2		b + d r æ k		
1466-2		k l d æ		
2277-2		f ɔ l		
2271-2		f iː l d		
2293-2		l ɛ + r		
624-2		s p æ n		
628-2		s p æ n d l		
626-2		f ɪ k		
633-2		n iː + l d		
1185-2		s ɪ æ n + m + k r		
1179-2		b aɪ d		
2168-2		k iː m		
1952-2		d iː r		
899-2		l aɪ d r		
922-2		b ɛ d		
-934-2		l ɪ m p		
916-2		d r ɔ		
1726-2		f ɛ l d		
2108-2		p l k		
1133-2		f iː r		
2114-2		s p d		
1272-2		r ɔ k		
1979-2		b r s		
1989-2		b iː		
-2260-2		p l æ n d		
70-2		b iː k		
-89-2		f iː ə r d + + + +		
-12-2		p aɪ p		
713-2		s iː p		
747-2		n ɛ d l		
308-2		d iː n		
289-2		b iː n d		
1930-2		b r k		
1928-2		s p + l d		
858-2		b d + + + r k		
1577-2		ɔ p + k æ k		
908-2		f ɪ s		
648-2		b ɪ r		
1855-2		b d + k ɔ l		
657-2		b iː m r		
2058-2		n iː k l		
949-2		b ɪ + + + s m d		
1642-2		b iː l d		
1640-2		s iː l k r		
1633-2		aɪ s r		
1630-2		d iː n		
993-2		b l s		
-2121-2		r ɔ l		
1692-2		f ɪ l		
1694-2		d r p l		
1062-2		s iː k		
476-2		s f m		
1051-2		f l k		
1075-2		b l s		
135-2		b l d		
-134-2		d iː n s		
1839-2		w ɛ + + k k n		
1097-2		d ɛ r + k m + + + +		
1777-2		f ɔ l k		
1434-2		b r æ k		
1417-2		l aɪ d		
1424-2		r aɪ d		
778-2		p aɪ d		
790-2		b r k		
1223-2		p ɛ d l		
1117-2		s aɪ + l		
1411-2		b ɪ k		
1407-2		b ɪ s d + k l d		
1390-2		d iː		
2086-2		b ɪ k		
2082-2		d ɪ r + + k k		
576-2		s ɪ k		
579-2		f iː n d		
581-2		f ɛ r + l s		
-1791-2		r aɪ k		
-225-2		p r s		
-2284-2		p l		
1479-2		b p + n		
847-2		b iː		
659-2		b iː d m		
860-2		m aɪ d		
213-2		r ɛ		
1286-2		f ɛ r		
1293-2		f ɛ s d		
474-2		d iː k		
467-2		d iː n		
1177-2		d iː p		
584-2		b ɪ k		
-1153-2		r ɔ n d		
700-2		d f l f		
875-2		d iː s n d		
1559-2		b l		
1565-2		m ɛ r		
1968-2		b ɛ l f d		
-350-2		p iː + r		
1469-3			a o y	
2047-3			a o ɛ y	
2054-3			t ɛ ɑ̃ t y	
1375-3			l ə p ɛ y	
760-3			v a y	
756-3			a o y	
726-3			ɑ̃ t y	
1351-3			f ʀ i p t o v l	
1353-3			f ʀ i a o ɑ̃	
412-3			a o ɑ̃ a ɛ p v ɑ̃ t f ʀ i k	
406-3			a o ɑ̃ a ɛ p ɑ̃ t f ʀ i k	
1005-3			a t ɛ ʃ p v ɑ̃	
1012-3			a t ɛ v p ɑ̃	
1016-3			v ʃ t ɑ̃ a ʀ k	
1069-3			ʃ y y	
509-3			v b l y	
693-3			p b l ə p p	
2179-3			ʃ ɛ	
1753-3			v ʃ ɛ y	
1131-3			v ʃ y	
1198-3			b a p t	
2032-3			a a y	
2241-3			ʃ a y	
2244-3			l ə a y	
610-3			a p y	
945-3			a ɛ	
1534-3			l ə y	
384-3			a o a y	
1650-3			a ʃ y	
1663-3			a o y	
2279-3			l ə a y	
471-3			ɛ o y	
1385-3			a o t y	
792-3			ʃ y y	
1111-3			ʃ ɛ y	
197-3			a o t y	
2020-3			l y y	
867-3			a a ɑ̃ t f ʀ k	
1970-3			v b y	
1230-3			t a p ɛ t p	
2017-3			a p ɔ y	
2183-3			ɑ̃ t ɛ y	
1521-3			a y y	
1755-3			p a a y	
1760-3			ʀ i t	
1196-3			a a a y	
575-3			ʃ a a b p a	
2014-3			ʀ i a t y	
1321-3			a a l	
1265-3			a b l	
588-3			b ʃ y	
1469-4				z a n
2047-4				z ʊ n ə n
2054-4				t n d ə r
1375-4				l ɪ ɛ ɡ l t
760-4				v ɪ n t
756-4				ʃ n ai f
726-4				m ʊ t ə r
1351-4				g r a ɛ t + b aː d ə r
1353-4				g r au t + m ʊ t ə r
412-4				ɡ ɛ a n b aː d ə r x x r m l l
406-4				ɡ ɛ a n m ʊ t ə r x x r m l l
1005-4				ʃ t ai ɛ + b eː d ə r
1012-4				ʃ t iː b + m ʊ t ə r
1016-4				v ai d + au n + n r
1069-4				ɛ ɪ x
509-4				f ʊ l ə n
693-4				m ts oː l ɛ + ɪ z ə
2179-4				n ɛ s t
1753-4				eː f ɪ s ə
1131-4				v oː l f
1198-4				b aː ʊ r t
2032-4				h oː r n
2241-4				n ʏ s ə
2244-4				l ɪ f ə n
610-4				k + n ə
945-4				h a r ts
1534-4				l ɪ ə n
384-4				z ʊ ɡ ə n
1650-4				n ʊ au t
1663-4				a l t
2279-4				l ɪ n ə n
471-4				z eː k ə n
1385-4				z aː t ə n
792-4				j ɔ x
1111-4				m a s t
197-4				z ʊ t ə n
2020-4				l a ŋ
867-4				h ʊ n t ə r l t
1970-4				f ʊ l ə
1230-4				t + ɛ ɛ r t ə n
2017-4				n ts ʏ n
968-4				v ɪ r ə l t
1674-4				l a n t
1671-4				h ʊ f ə l
829-4				k l ɪ b ə
1025-4				v aː s ə r
1027-4				z iː
1832-4				r au
-1816-4				z eː k a n
-335-4				l aː ɡ ə n ə
1043-4				ʃ t r ts k
423-4				ʃ t ai n
2049-4				m a n ə
2062-4				ʃ t r n
2065-4				r ai g ə m + b oː ɡ l n
1368-4				ʃ aː d ts k
1365-4				d + au
754-4				r ai ɡ ə n
768-4				v eː ɡ ə r
1211-4				f ʊ ə r
106-4				m a n
-98-4				b ɛ b ə
719-4				f aː d ə r
1341-4				z oː n
-2027-4				ts ɛ n ə
-2026-4				n iː f ə l
409-4				ɡ ɛ oː n z oː n x l l
402-4				ɡ ɛ a n + x t ə r x x ts m l l
1014-4				ʃ t iː b + d x t ə r
1059-4				v ai ə
120-4				ʃ t a l
2183-4				ʃ t iː r m
2194-4				ʊ ɛ ts ə
2199-4				k l f
2197-4				ʃ aː pf
1523-4				z au k
1521-4				b ɔ x
512-4				m ɛ r ə
2141-4				h ɛ n
2147-4				ɡ a n ts
814-4				k r ai ə n
810-4				t ɔy f ə
1755-4				ɛ h ʊ n ts
1758-4				m ɔ ʃ
1620-4				f ɪ n ə
1282-4				v a l b ə n
1136-4				f ʊ ə ts
1309-4				l ɔ ʃ
1307-4				n ɛ t ə
1305-4				f l ə
711-4				v ɛ ʃ p ə
1442-4				f l iː k n
62-4				m ʏ k ə
-73-4				m uː ʃ k iː d t
1810-4				h au t
1805-4				f l ai ʃ
1813-4				h aː ə r
1811-4				b l ɔ t
690-4				r ɪ p ə
2177-4				h oː f t
246-4				v ɛ ŋ k + r + b r ts n n
249-4				g ɡ n + l ʊ t
1506-4				n uː + n r + b l ʏ ɡ
2242-4				m ʊ n t
2245-4				ts ŋ ə
1196-4				n ɛ k ə n
2174-4				ʃ a ɛ t ə r
575-4				ʊ k z ə l + n r m m
603-4				ɛ l ə f + b oː ɡ n n
601-4				h a n ts
615-4				f ɪ ŋ ɛ ə r
901-4				k l a aː n
608-4				f au t
596-4				ts ai n ə
937-4				b r ʊ s t
936-4				n aː f ə l
646-4				l ʊ ŋ ə
947-4				l ai f ə r
1606-4				h ʊ f ə n
472-4				ɛ n iː z ə n
1535-4				ʃ v ɛ s ə n
1546-4				ʃ p ɔy ɡ ə n
1959-4				ʃ l aː f ə n
694-4				ʃ n oː r k ə n
1961-4				t r au m ə n
323-4				ɡ ɛ l ai b ə n
1885-4				ɡ r a f
2156-4				ɛ + k a ɛ t + h n t
1903-4				v ʊ n t ə
525-4				ʃ v ɛ l ʊ
276-4				l a m ə
274-4				t oː f
278-4				b l ɪ n t
258-4				au s + t r ʊ ŋ k ə n
256-4				n aː k l t
383-4				ɛ s ə f
207-4				r ai pf
376-4				t r ɪ ŋ k ə n
2014-4				r aː z t ə n
2009-4				a f ə ə
2003-4				k ɛ s ə l
2024-4				p a n ə
1976-4				ts a ŋ ə n
1243-4				m aː l + n + + ai t
1261-4				z iː f ə n
655-4				b r ɔ t
650-4				t ai k
1532-4				k n ai t ə n
-36-4				z ʊ p ə
34-4				b oː n ə
-1647-4				f eː k ə
-1615-4				a ɛ l ə
125-4				f ɛ t
1659-4				h oː n ɪ k
1661-4				m ɛ l k
1676-4				b au s ə r
480-4				au s + t r a ŋ k
1466-4				k l ai d ʊ n
2277-4				v oː l ə
2271-4				f ɛː l t
2293-4				l ai ɡ ə r
624-4				ʃ p ɪ n ə n
628-4				ʃ p ɪ n d ə
626-4				v iː f ə n
633-4				n aː ɡ r l t
1185-4				ʃ ʊ n m aː x k ə r
1179-4				h au t
2168-4				k m
1952-4				t ɔ r
899-4				l a t ə r
922-4				b ɛ t
-934-4				l a m p ə
916-4				ts r ɔ k
1726-4				f ɛ l t
2108-4				p l ʏ ɡ ə n
1133-4				f oː r ə ə
2114-4				ʃ pf aː d ə n
1272-4				r ʊ ɡ ə n
1979-4				ɡ r a ʃ
1989-4				h oː ə
-2260-4				p l ɛ n ts ə n
70-4				b ɔy k ə
-89-4				v ɪ ŋ ə r t + x r n n
-12-4				p ai p ə
713-4				z a p ə
747-4				n ɛ s ə l
308-4				t ɔ n
289-4				b ɪ n d ə n
1930-4				b r ɛ x ə n
1928-4				p + l ai s ə n
858-4				uː t + ɡ ɛ r eː x ə n
1577-4				ʊ p + h a ŋ ə n
908-4				v a ʃ ə n
648-4				b oː r ə n
1855-4				uː t + h ʊ l ə n
657-4				h a m ə r
2058-4				n aː ɡ ə l
949-4				ts ɛ r r + ʃ m ʊ d
1642-4				ɡ a l t
1640-4				z ɛː l b ə r
1633-4				eː z ə r
1630-4				ts ɪ n
993-4				ɡ l a ʃ
-2121-4				r oː l ə n
1692-4				f a l ə n
1694-4				t r ʏ p ə l
1062-4				z ɪ ŋ k ə n
476-4				ʃ v ɛ m ə n
1051-4				f l iː ɡ ə n
1075-4				b l aː z ə n
135-4				ɡ l ai t ə n
-134-4				t aː n ts ə n
1839-4				v ɛ k + ɡ eː ə n
1097-4				ts ə uː k + k au m ə x x n l m
1777-4				f ʊ l ɡ ə n
1434-4				b r ɛ ŋ ə n
1417-4				l ai t ə n
1424-4				r ai t ə n
778-4				p a t
790-4				b r ʏ k t
1223-4				p ɛ t ə l
1117-4				ɪ ɡ ə l
1411-4				h ɛ b ə n
1407-4				a s t h a x t ə n
1390-4				t ɪ ŋ
2086-4				ɡ iː f ə n
2082-4				ts ə yː f + ɡ iː b ə n
576-4				z ʊ k ə n
579-4				f ɪ n d ə n
581-4				f ɛ r + l iː z ə n
-1791-4				r ai x
-225-4				p r ai ʃ
-2284-4				p l aː
1479-4				p + ə n
847-4				h oː k
659-4				b au t
860-4				m ɪ t ə ə
213-4				r ɛ k
1286-4				f ɛ r ə
1293-4				v ɛ s t n
474-4				d ɪ x
467-4				t ɔ n
1177-4				t iː pf
588-4				f l a x
584-4				h aː k ə n
-1153-4				r ʊ n t
700-4				ts v aː l k
875-4				t ɔy z ə n t
1559-4				a l ə
1565-4				m ai r
1968-4				h ɛ l b t ə
-350-4				f aː ə r
1478-4				b au t
