ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
3	3_ancestorsspirit	ancestor's spirit	1	Kinyamwezi F22	sàámbwǎ	sàámbwǎ	s à/a á m b w ǎ/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 7 4 1 6 7	AXYMBCZ	SAAMPWA	1	1.S.C 1.A.V 1.A.V 1.M.c 1.P.C 1.W.C 1.A.V	2.0 1.5 1.3 1.1 1.75 1.5 0.8	sà/aámbwǎ/a	0	42
4	3_ancestorsspirit	ancestor's spirit	1	Kinyamwezi F22	zìmú	zìmú	z ì/i m ú/u	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 4 7	AXBZ	SIMY	1	1.S.C 1.I.V 1.M.C 1.Y.V	2.0 1.5 1.75 0.8	zì/imú/u	0	43
469	3_ancestorsspirit	ancestor's spirit	2	Bukusu E.31c	kúúkà	kúúkà	k ú/u ú/u k à/a	buku1249	0.68043	34.7719	Atlantic-Congo	1 7 7 1 7	AXYBZ	KYYKA	3	3.K.C 3.Y.V 3.Y.V 3.K.C 3.A.V	2.0 1.5 1.3 1.75 0.8	kú/uú/ukà/a	0	44
902	3_ancestorsspirit	ancestor's spirit	3	Koyo C.24	límù	límù	l í/i m ù/u	koyo1242	-0.69688	15.7508	Atlantic-Congo	5 7 4 7	AXBZ	LIMY	4	4.L.C 4.I.V 4.M.C 4.Y.V	2.0 1.5 1.75 0.8	lí/imù/u	0	45
1287	3_ancestorsspirit	ancestor's spirit	4	Bemba M.42	pàʃì	pàʃì	p à/a ʃ ì/i	bemb1257	-10.6122	29.2993	Atlantic-Congo	1 7 3 7	AXBZ	PASI	5	5.P.C 5.A.V 5.S.C 5.I.V	2.0 1.5 1.75 0.8	pà/aʃì/i	0	46
1700	3_ancestorsspirit	ancestor's spirit	5	Basaa A.43a	hú	hú	h ú/u	basa1284	3.80765	10.4213	Atlantic-Congo	3 7	AX	HY	6	6.H.C 6.Y.V	2.0 1.5	hú/u	0	47
2105	3_ancestorsspirit	ancestor's spirit	6	Asu G.22	kòmá	kòmá	k ò/o m á/a	asut1235	-4.17978	37.8323	Atlantic-Congo	1 7 4 7	AXBZ	KUMA	7	7.K.C 7.U.V 7.M.C 7.A.V	2.0 1.5 1.75 0.8	kò/omá/a	0	48
2597	3_ancestorsspirit	ancestor's spirit	7	Rumanyo (Gciriku) K.38	dîmù	dîmù	d î m ù/u	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 4 7	AXBZ	TIMY	8	8.T.C 8.I.V 8.M.C 8.Y.V	2.0 1.5 1.75 0.8	dîmù/u	0	43
3032	3_ancestorsspirit	ancestor's spirit	8	Lega D.25	sʊ̀mbʊ́	sʊ̀mbʊ́	s ʊ̀/ʊ m b ʊ́/ʊ	lega1249	-3.83196	27.1424	Atlantic-Congo	3 7 4 1 7	AXMBZ	SYMPY	9	9.S.C 9.Y.V 9.M.c 9.P.C 9.Y.V	2.0 1.5 1.1 1.75 0.8	sʊ̀/ʊmbʊ́/ʊ	0	49
3402	3_ancestorsspirit	ancestor's spirit	9	Tswana S.30	dímʊ́	dímʊ́	d í/i m ʊ́/ʊ	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 4 7	AXBZ	TIMY	10	10.T.C 10.I.V 10.M.C 10.Y.V	2.0 1.5 1.75 0.8	dí/imʊ́/ʊ	0	43
3821	3_ancestorsspirit	ancestor's spirit	10	Yao P.21	sìímù	sìímù	s ì/i í/i m ù/u	yaoo1241	-13.6119	35.2387	Atlantic-Congo	3 7 7 4 7	AXYBZ	SIIMY	2	2.S.C 2.I.V 2.I.V 2.M.C 2.Y.V	2.0 1.5 1.3 1.75 0.8	sì/ií/imù/u	0	43
5	4_animal	animal	1	Kinyamwezi F22	dìmú	dìmú	d ì/i m ú/u	nyam1276	-5.08559	32.94452	Atlantic-Congo	1 7 4 7	AXBZ	TIMY	1	1.T.C 1.I.V 1.M.C 1.Y.V	2.0 1.5 1.75 0.8	dì/imú/u	0	54
470	4_animal	animal	2	Bukusu E.31c	sòlò	sòlò	s ò/o l ò/o	buku1249	0.68043	34.7719	Atlantic-Congo	3 7 5 7	AXBZ	SULU	3	3.S.C 3.U.V 3.L.C 3.U.V	2.0 1.5 1.75 0.8	sò/olò/o	0	56
903	4_animal	animal	3	Koyo C.24	ɲàmà	ɲàmà	ɲ à/a m à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	4 7 4 7	AXBZ	NAMA	4	4.N.C 4.A.V 4.M.C 4.A.V	2.0 1.5 1.75 0.8	ɲà/amà/a	0	55
904	4_animal	animal	3	Koyo C.24	bwà	bwà	b w à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 6 7	ACX	PWA	4	4.P.C 4.W.C 4.A.V	2.0 1.5 1.5	bwà/a	0	60
1288	4_animal	animal	4	Bemba M.42	nàmà	nàmà	n à/a m à/a	bemb1257	-10.6122	29.2993	Atlantic-Congo	4 7 4 7	AXBZ	NAMA	5	5.N.C 5.A.V 5.M.C 5.A.V	2.0 1.5 1.75 0.8	nà/amà/a	0	55
1701	4_animal	animal	5	Basaa A.43a	tírí	tírí	t í/i r í/i	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 5 7	AXBZ	TIRI	6	6.T.C 6.I.V 6.R.C 6.I.V	2.0 1.5 1.75 0.8	tí/irí/i	0	57
2106	4_animal	animal	6	Asu G.22	àmà	àmà	à/a m à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	7 4 7	XBZ	AMA	7	7.A.V 7.M.C 7.A.V	1.5 1.75 0.8	à/amà/a	0	55
2598	4_animal	animal	7	Rumanyo (Gciriku) K.38	kɔ̂ràmà	kɔ̂ràmà	k ɔ̂/ɔ r à/a m à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 5 7 4 7	AXBYBZ	KURAMA	8	8.K.C 8.U.V 8.R.C 8.A.V 8.M.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kɔ̂/ɔrà/amà/a	0	58
3033	4_animal	animal	8	Lega D.25	ɲàmà	ɲàmà	ɲ à/a m à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	4 7 4 7	AXBZ	NAMA	9	9.N.C 9.A.V 9.M.C 9.A.V	2.0 1.5 1.75 0.8	ɲà/amà/a	0	55
3403	4_animal	animal	9	Tswana S.30	pʰɔ́lɔ̀χɔ́lɔ́	pʰɔ́lɔ̀χɔ́lɔ́	pʰ ɔ́/ɔ l ɔ̀/ɔ χ ɔ́/ɔ l ɔ́/ɔ	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 5 7 3 7 5 7	AXBYBYBZ	PULUGULU	10	10.P.C 10.U.V 10.L.C 10.U.V 10.G.C 10.U.V 10.L.C 10.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	pʰɔ́/ɔlɔ̀/ɔχɔ́/ɔlɔ́/ɔ	0	59
3822	4_animal	animal	10	Yao P.21	ɲàmà	ɲàmà	ɲ à/a m à/a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	4 7 4 7	AXBZ	NAMA	2	2.N.C 2.A.V 2.M.C 2.A.V	2.0 1.5 1.75 0.8	ɲà/amà/a	0	55
6	5_answer	answer	1	Kinyamwezi F22	ʃɔ̀ɔ̀ʃà	ʃɔ̀ɔ̀ʃà	ʃ ɔ̀/ɔ ɔ̀/ɔ ʃ à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 7 3 7	AXYBZ	SUUSA	1	1.S.C 1.U.V 1.U.V 1.S.C 1.A.V	2.0 1.5 1.3 1.75 0.8	ʃɔ̀/ɔɔ̀/ɔʃà/a	0	66
471	5_answer	answer	2	Bukusu E.31c	fùkììlìlà	fùkììlìlà	f ù/u k ìì l ì/i l à/a	buku1249	0.68043	34.7719	Atlantic-Congo	3 7 1 7 5 7 5 7	AXBYBYBZ	BYKILILA	3	3.B.C 3.Y.V 3.K.C 3.I.V 3.L.C 3.I.V 3.L.C 3.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	fù/ukììlì/ilà/a	0	68
905	5_answer	answer	3	Koyo C.24	jàmbà	jàmbà	j à/a m b à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	6 7 4 1 7	AXMBZ	JAMPA	4	4.J.C 4.A.V 4.M.c 4.P.C 4.A.V	2.0 1.5 1.1 1.75 0.8	jà/ambà/a	0	69
1289	5_answer	answer	4	Bemba M.42	ásùk	ásùk	á/a s ù/u k	bemb1257	-10.6122	29.2993	Atlantic-Congo	7 3 7 1	XBYN	ASYK	5	5.A.V 5.S.C 5.Y.V 5.K.c	1.5 1.75 1.3 0.8	á/asù/uk	0	70
1702	5_answer	answer	5	Basaa A.43a	kòblɛ̀	kòblɛ̀	k ò/o b l ɛ̀/ɛ	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 1 5 7	AXBCZ	KUPLE	6	6.K.C 6.U.V 6.P.C 6.L.C 6.E.V	2.0 1.5 1.75 1.5 0.8	kò/oblɛ̀/ɛ	0	71
2599	5_answer	answer	7	Rumanyo (Gciriku) K.38	límbùrùrà	límbùrùrà	l í/i m b ù/u r ù/u r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	5 7 4 1 7 5 7 5 7	AXMBYBYBZ	LIMPYRYRA	8	8.L.C 8.I.V 8.M.c 8.P.C 8.Y.V 8.R.C 8.Y.V 8.R.C 8.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	lí/imbù/urù/urà/a	0	72
3034	5_answer	answer	8	Lega D.25	gyíbù	gyíbù	g y í/i b ù/u	lega1249	-3.83196	27.1424	Atlantic-Congo	1 7 7 1 7	AXYBZ	KYIPY	9	9.K.C 9.Y.V 9.I.V 9.P.C 9.Y.V	2.0 1.5 1.3 1.75 0.8	gyí/ibù/u	0	73
3404	5_answer	answer	9	Tswana S.30	fètʊ̀là	fètʊ̀là	f è/e t ʊ̀/ʊ l à/a	tswa1253	-24.368	24.7587	Atlantic-Congo	3 7 1 7 5 7	AXBYBZ	BETYLA	10	10.B.C 10.E.V 10.T.C 10.Y.V 10.L.C 10.A.V	2.0 1.5 1.75 1.3 1.75 0.8	fè/etʊ̀/ʊlà/a	0	74
3823	5_answer	answer	10	Yao P.21	aaŋga	aaŋga	a a ŋ g a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	7 7 4 1 7	XYMBZ	AANKA	2	2.A.V 2.A.V 2.N.c 2.K.C 2.A.V	1.5 1.3 1.1 1.75 0.8	aaŋga	0	67
1290	6_answeracall	answer a call	4	Bemba M.42	ʃìmbìk	ʃìmbìk	ʃ ì/i m b ì/i k	bemb1257	-10.6122	29.2993	Atlantic-Congo	3 7 4 1 7 1	AXMBYN	SIMPIK	5	5.S.C 5.I.V 5.M.c 5.P.C 5.I.V 5.K.c	2.0 1.5 1.1 1.75 1.3 0.8	ʃì/imbì/ik	0	77
1703	6_answeracall	answer a call	5	Basaa A.43a	tìmbhɛ̀	tìmbhɛ̀	t ì/i m bʰ ɛ̀/ɛ	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 4 1 7	AXMBZ	TIMPE	6	6.T.C 6.I.V 6.M.c 6.P.C 6.E.V	2.0 1.5 1.1 1.75 0.8	tì/imbʰɛ̀/ɛ	0	78
2107	6_answeracall	answer a call	6	Asu G.22	ítìkà	ítìkà	í/i t ì/i k à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	7 1 7 1 7	XBYBZ	ITIKA	7	7.I.V 7.T.C 7.I.V 7.K.C 7.A.V	1.5 1.75 1.3 1.75 0.8	í/itì/ikà/a	0	76
2600	6_answeracall	answer a call	7	Rumanyo (Gciriku) K.38	vjútàŋgɛ̀rà	vjútàŋgɛ̀rà	v j ú/u t à/a ŋ g ɛ̀/ɛ r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 6 7 1 7 4 1 7 5 7	ACXBYMBYBZ	BJYTANKERA	8	8.B.C 8.J.C 8.Y.V 8.T.C 8.A.V 8.N.c 8.K.C 8.E.V 8.R.C 8.A.V	2.0 1.5 1.5 1.75 1.3 1.1 1.75 1.3 1.75 0.8	vjú/utà/aŋgɛ̀/ɛrà/a	0	79
3035	6_answeracall	answer a call	8	Lega D.25	ǐtàbɩ̀là	ǐtàbɩ̀là	ǐ/i t à/a b ɩ̀/i l à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	7 1 7 1 7 5 7	XBYBYBZ	ITAPILA	9	9.I.V 9.T.C 9.A.V 9.P.C 9.I.V 9.L.C 9.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ǐ/ità/abɩ̀/ilà/a	0	80
3405	6_answeracall	answer a call	9	Tswana S.30	árábá	árábá	á/a r á b á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	7 5 7 1 7	XBYBZ	ARAPA	10	10.A.V 10.R.C 10.A.V 10.P.C 10.A.V	1.5 1.75 1.3 1.75 0.8	á/arábá/a	0	81
3824	6_answeracall	answer a call	10	Yao P.21	iitika	iitika	iː t i k a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	7 1 7 1 7	XBYBZ	ITIKA	2	2.I.V 2.T.C 2.I.V 2.K.C 2.A.V	1.5 1.75 1.3 1.75 0.8	iːtika	0	76
7	7_anthill	ant-hill	1	Kinyamwezi F22	gʊ̀lʊ̀	gʊ̀lʊ̀	g ʊ̀/ʊ l ʊ̀	nyam1276	-5.08559	32.94452	Atlantic-Congo	1 7 5 7	AXBZ	KYLY	1	1.K.C 1.Y.V 1.L.C 1.Y.V	2.0 1.5 1.75 0.8	gʊ̀/ʊlʊ̀	0	84
472	7_anthill	ant-hill	2	Bukusu E.31c	lì	lì	l ì/i	buku1249	0.68043	34.7719	Atlantic-Congo	5 7	AX	LI	3	3.L.C 3.I.V	2.0 1.5	lì/i	0	85
906	7_anthill	ant-hill	3	Koyo C.24	sémbá	sémbá	s é/e m b á/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	3 7 4 1 7	AXMBZ	SEMPA	4	4.S.C 4.E.V 4.M.c 4.P.C 4.A.V	2.0 1.5 1.1 1.75 0.8	sé/embá/a	0	86
1291	7_anthill	ant-hill	4	Bemba M.42	ùlù	ùlù	ù/u l ù/u	bemb1257	-10.6122	29.2993	Atlantic-Congo	7 5 7	XBZ	YLY	5	5.Y.V 5.L.C 5.Y.V	1.5 1.75 0.8	ù/ulù/u	0	84
2108	7_anthill	ant-hill	6	Asu G.22	suguru	suguru	s u g u r u	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7 1 7 5 7	AXBYBZ	SYKYRY	7	7.S.C 7.Y.V 7.K.C 7.Y.V 7.R.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	suguru	0	84
2601	7_anthill	ant-hill	7	Rumanyo (Gciriku) K.38	ɣúrù	ɣúrù	ɣ ú/u r ù/u	diri1252	-18.1681	20.6678	Atlantic-Congo	3 7 5 7	AXBZ	GYRY	8	8.G.C 8.Y.V 8.R.C 8.Y.V	2.0 1.5 1.75 0.8	ɣú/urù/u	0	87
3406	7_anthill	ant-hill	9	Tswana S.30	ʊ̀lʊ̀	ʊ̀lʊ̀	ʊ̀/ʊ l ʊ̀	tswa1253	-24.368	24.7587	Atlantic-Congo	7 5 7	XBZ	YLY	10	10.Y.V 10.L.C 10.Y.V	1.5 1.75 0.8	ʊ̀/ʊlʊ̀	0	84
