COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
1087-1	o l t i l o			
702-1	i l o			
536-1	k b a ʔ e			
694-1	n t i			
468-2		θ a b a		
222-2		a b o b o j i		
208-2		a b u r b i j u		
962-2		a g o r l a		
203-2		a g u i j ʔ		
138-2		a ʃ i l i		
504-2		ɗ oː ʃ ʔ a		
662-2		t oː ʔ a ʔ a		
478-2		ʔ g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		t ʔ aː l a		
622-2		m d u		
546-2		m d u		
547-2		ʃ i f a ʔ		
847-2		mː ɛ n i j i		
95-2		b oː ɗ i		
105-2		b i ŋ o ŋ i		
510-2		b o ʃ a		
951-2		m ʔ ʔ ʔ a r i		
1116-2		m b a ʔ a		
149-2		t ʔ u s ʔ i		
376-2		t ʔ a l i		
815-2		g o r a ʔ a		
453-2		ɗ aː n e		
67-2		ɗ a ʃ i		
47-2		t o k ʔ o l a		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g ʔ a s i a		
443-2		g oː r a		
884-2		g i n d i		
166-2		g u n d i		
918-2		a b a r o		
831-2		h aː ʔ ʃ i		
616-2		b i e		
84-2		h o ʃ a l a		
346-2		h oː o l u		
601-2		s i g i		
177-2		k ʔ a f a j		
341-2		k ʔ o l a		
1066-2		f ɛ n ɗ i ŋ i		
318-2		ʔ f iː ʃ i		
241-2		m a ʔ ʃ i		
556-2		mː a n iː j u		
191-2		t i n ʔ j i l		
458-2		a s ʔ i s j i		
1-2		mː a n i r ʔ		
751-2		r o		
864-2		a m o n ʔ ʔ i		
154-2		a ʔ m a n j i		
278-2		a m i l a j i		
766-2		ʃ oː r a		
251-2		a g i r u		
582-2		u ʔ u n ʔ		
6-2		a l i		
1106-2		m mː o		
473-2		m i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		mː e		
25-2		s a r e		
879-2		a b ɪ r a j j u		
566-2		e f a ŋ f a r a s t		
742-2		a g o ʔ		
1044-2		ʃ i m b i l a		
13-2		a l h a m i s		
720-2		aː s a l a ʔ		
837-2		m oː f i		
233-2		b ʔ uː b ʔ i o		
938-2		b u l a ə ʔ a		
369-2		a r e		
946-2		b a n g o		
889-2		b ʔ oː l a		
820-2		m n o r e j		
405-2		b o d a		
134-2		t a ɗ i ʔ i		
1078-2		m i h i		
429-2		t o n o ʃ		
187-2		t s k ʔ ʔ e		
438-2		m b i n e		
385-2		m a k o ʃ		
283-2		m a n s a r i		
390-2		aː ɓ a ʔ a		
783-2		m a r l a		
842-2		mː o n o ʃ a		
110-2		g b i b a l i		
650-2		k ʔ o ʃ		
91-2		g a l a s i		
668-2		w oː r a		
777-2		t a ʔ a l i a		
728-2		s oː ʃ i		
165-2		m a		
1007-2		o n d o l e		
1087-2		o n d o l e		
894-2		i s ʔ u		
536-2		k ʔ oː d a		
694-2		n d i		
468-3			θ a ɗ a	
222-3			a b ɔ b iː ɲ i	
208-3			a ɓ u r d u d u	
962-3			a g ɔ r ʔ a	
203-3			a g u d i d	
138-3			a ʃ iː l e	
504-3			ɓ ɔ ʃ a h a	
662-3			ɓ u ɗ a	
478-3			ɓ g ɛ ɗ a	
409-3			a r e	
410-3			ɓ u n d i	
256-3			ɓ ʔ a l i	
622-3			m sː u	
546-3			m sː u	
547-3			ʃ u f a d	
847-3			u n d iː d i	
95-3			ɓ u d i	
105-3			ɓ u ʔ ʔ ɲ i	
510-3			ɓ ɔ ʃ a	
951-3			m b u ŋ a r i	
1116-3			m b u ŋ a	
149-3			ɓ ʔ u s ʔ i	
376-3			ɓ ʔ a l i	
815-3			k ɔ r a ʔ a	
453-3			ɓ u n a	
67-3			ɓ a ʃ a	
47-3			t u k ɔ n a	
869-3			ɓ u h a	
57-3			ɓ a d u	
303-3			ɓ a s ʔ i a	
443-3			ɓ u r a	
884-3			ɓ u n d i	
166-3			ɓ u n d i	
918-3			a d iː r i	
831-3			h a h ʃ i	
616-3			ɓ u e	
84-3			h ɔ ʃ a l e	
346-3			h ɔ h a l u	
601-3			θ i d i	
177-3			k ʔ a f a d	
341-3			ɓ ʔ ɔ l a	
1066-3			f ɛ n ʔ i n a	
318-3			a f iː z i	
241-3			m a n ʔ ʃ o	
556-3			h a n d u ŋ u	
191-3			t ʔ i m d ʔ i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n d i r	
751-3			r ə	
864-3			a m ɔ ŋ i	
154-3			a m a ɲ s i	
278-3			a m i l u d a	
766-3			θ u r a	
251-3			a g u r u	
582-3			u ʔ u ŋ ʔ	
6-3			a l i	
1106-3			m sː e	
473-3			ɓ i n a	
1111-3			θ a θ u	
957-3			m a r a	
24-3			sː i	
25-3			l a r a	
879-3			a b a r a d i ŋ ʔ	
566-3			a a s ɔ r o s ʔ	
742-3			a g ɔ ʔ	
1044-3			ʃ i m b i l a	
13-3			a h a ɲ i s	
720-3			a s i l a ʔ	
233-3			b ʔ i b i o	
938-3			d ʔ u l a a i a	
369-3			a r e	
889-3			d ʔ iː l u	
405-3			b aː ɗ a	
134-3			ʔ ʊ ɗ i ʔ i	
1078-3			m iː h i	
429-3			b ɔ n ʔ ɔ ʃ	
187-3			b ə s ʔ i k i	
385-3			m ə k ʔ ɔ ʃ	
283-3			a a n ʊ s a r e	
390-3			a p a a a a	
783-3			m a r h a	
52-3			ɓ u s	
842-3			d ɔ n ɔ ʃ a	
650-3			k ʔ ɔ ʃ	
91-3			g a l a s i	
668-3			w aː r a	
777-3			t i n ɗ a l i a	
728-3			θ i ɗ i	
165-3			m ə	
1088-3			ʃ u n a l a	
702-3			i l e	
894-3			i s ʔ u	
536-3			k ʔ iː ʔ u	
468-4				m a ɗ a
222-4				a ɗ o ɗ iː ɲ e
208-4				a ɗ u r ɗ u ɗ u
962-4				a ɗ o r ɗ i
203-4				a ɗ u ɗ i ɗ
138-4				ʃ i l e
504-4				ɗ u ʃ a
662-4				ɗ u ɗ a
478-4				ɗ i ɗ a
409-4				a r e
410-4				g u n ɗ i
256-4				ɓ aː l e
622-4				m ɗ u
546-4				m ɗ u
547-4				ʃ u f a ɗ
847-4				m e n ɗ iː ɗ i
95-4				ɓ oː ɗ i
105-4				ɗ u ɗ ɗ n i
510-4				ɓ o ʃ a
951-4				m ɗ a l e
1116-4				m ɗ a
149-4				ɗ u z ɗ i
376-4				ɓ a l i
815-4				g o r ɗ ɗ a
453-4				ɓ oː n e
67-4				ɓ aː ʃ e
47-4				t o k o ʃ a
869-4				ɗ u ʃ a
57-4				g aː ɗ u
303-4				g ɗ a z ɗ i a
443-4				g oː r a
884-4				g u n ɗ i
166-4				g u n ɗ i
918-4				a ɗ e r e
831-4				h ə ɗ ʃ e
616-4				ɓ i e
84-4				h o ʃ e l a
346-4				h u h u l u
601-4				z i ɗ i
177-4				ɗ ɗ a f a ɗ
341-4				ɗ ɗ o l a
1066-4				f e n z ɗ i ŋ a
318-4				f e ʃ i
241-4				m u ʃ u
556-4				h a n ɗ iː n u
191-4				t ɗ e n ɗ ɗ e l
458-4				a z ɗ i s ɗ i
1-4				h a n ɗ i l
751-4				r o
864-4				a m o i
154-4				a ɗ n a n z i
278-4				a m o l ɗ i
766-4				ʃ oː r a
251-4				a ɗ u r u
582-4				u ɗ u n
6-4				a l i
1106-4				m ɗ o
473-4				m i n e
1111-4				h a θ u
957-4				m a r e
41-4				ɗ e u
566-4				a f a n f o r o s t
742-4				a g o
1044-4				ʃ ə m k i l
13-4				a l h a m i s
720-4				aː z e l a
837-4				m u f i
946-4				ɗ u n ɗ o
820-4				u n o r y ɗ
405-4				ɓ e d e
134-4				ɓ a ɗ i ʔ i
1078-4				m e h i
429-4				θ o o ʃ
187-4				g u z ʔ k e
438-4				m ɗ e n e
385-4				m e k ʔ o ʃ
390-4				a ɓ ʔ a
783-4				m u r h a
52-4				ɓ u n ʃ
110-4				ɗ ɗ o ɗ ɛ l i
650-4				g ʔ o ʃ
91-4				g a l a s i
668-4				m e l a
777-4				k a l i a
728-4				θ uː ʃ i
1007-4				u m ɗ o l i
1088-4				h u ʃ i l i
1087-4				u m ɗ o l i
702-4				i l e
894-4				m z ʔ u
694-4				m d e
