COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
601-3			ʔ ə r ə b																
642-3			n ɨ kʼ a s																
60-3			n ə kʼ ə s ə m																
115-3			ʔ ə r a m																
209-3			s ɨ m ɨ t																
242-3			ʔ a m ɨ s t																
415-3			z ɨ r a b																
450-3			z ə r																
490-3			t ə p w ə m																
638-3			s a n e																
645-3			kʼ a r																
75-3			ʔ a m b ɨ r																
160-3			d ə r ə kʼ																
208-3			ʔ ɨ n kʼ w ɨ r																
214-3			ʔ a b																
218-3			ʔ ɨ n z ɨ r																
378-3			ʔ a n g ə t																
379-3			z ə ə																
409-3			g a t ə r ə																
497-3			t ə n																
598-3			x w e t																
646-3			ʔ a x ə																
164-3			b ə kʼ ə m																
210-3			z ə x w ə r																
215-3			ʔ a t e b ə t																
256-3			t u m a																
285-3			m ɨ d a d																
332-3			ʔ ə g ɨ r																
380-3			ʔ ə x w a																
412-3			s a h ɨ n																
496-3			w u r s ə n b ə t																
64-3			d a m ə																
67-3			w a r																
169-3			n ə z ə z ə m																
251-3			b e kʼ																
461-3			m ə																
547-3			w ɨ z a t																
597-3			ʔ e m ə n a																
655-3			m ɨ s t																
7-3			ʔ a r g a																
158-3			kʼ ə m ɨ s																
168-3			ʔ ɨ m a r																
61-4				d ə m															
63-4				ʔ a t ɨ m															
107-4				g a m ə l ə															
112-4				d a b a n a															
331-4				n ɨ g s															
377-4				b ɨ kʼ ɨ l															
381-4				ʔ a d															
417-4				r u Ø															
451-4				s ə b ə t															
454-4				ʔ a ɨ r															
484-4				s ɨ d ɨ s t															
535-4				ʔ a s ɨ r															
543-4				s ə s t															
593-4				ʔ a m u s															
640-4				m a n															
1-4				d ə w ə r ə															
65-4				t u ə															
163-4				s ə a															
408-4				b ə r a															
414-4				d e b a kʼ u ə a															
601-4				ʔ a r ə b															
642-4				n ə f a s															
60-4				n ə f a s ə															
115-4				a l a m															
450-4				Ø ə r															
490-4				t a w a															
638-4				s ɨ n ɨ															
645-4				kʼ a l															
75-4				ʔ a m b ɨ r															
160-4				d ə r ə kʼ															
378-4				ʔ a n g a t															
379-4				Ø a ə															
409-4				g t a r ə															
497-4				t ə n															
598-4				x ə t															
646-4				ʔ a x ə															
164-4				b a h a															
332-4				ʔ ə g ɨ r															
380-4				ʔ a x e															
412-4				s ə h ɨ n															
64-4				d a w ə															
67-4				w ɨ r															
169-4				ə Ø ə															
461-4				ə															
547-4				w e Ø ə t															
597-4				ʔ ə m a ə n a															
655-4				m ɨ t															
158-4				kʼ ə m e s															
168-4				ʔ u m a r															
61-5					d ə m														
63-5					ʔ a s ɨ m														
107-5					g a m e r a														
112-5					d a b ə r a														
331-5					n ɨ g w s														
377-5					b ɨ kʼ u r ə														
381-5					ʔ a t														
417-5					r u z														
451-5					s ə b i t														
454-5					ʔ a tʃʼ ɨ r														
484-5					s ɨ d ɨ s t														
535-5					ʔ a sː ɨ r														
543-5					s o s t														
593-5					ʔ a m u s														
640-5					m a														
1-5					d ə bː ə r ə m														
65-5					m u b														
163-5					s ə tʃʼ ə														
212-5					ʔ e n														
244-5					ʔ a r b ə t														
248-5					m u r a														
293-5					f ə r ə z														
373-5					kʼ ɨ m a r														
408-5					b o r a														
414-5					d ɨ b a kʼ u e a														
601-5					ʔ ə r b														
642-5					n f a s														
60-5					n ə f ə s ə m														
115-5					ʔ ə r a m														
209-5					s ɨ nː ɨ t														
242-5					ʔ a m ɨ s t														
415-5					z ɨ n a b														
450-5					z ə r														
490-5					t ə bː ə														
638-5					s ɨ e														
645-5					kʼ a r														
75-5					ʔ a m b ɨ r														
160-5					d ə r ə kʼ														
208-5					ʔ ɨ nː kʼ w ɨ r a														
214-5					ʔ a b														
218-5					ʔ ɨ nː z ɨ r														
378-5					ʔ a n g ə t														
379-5					z ə ə														
409-5					g a t ə r ə														
497-5					t ə n														
598-5					h w e t														
164-5					b ə kː ə														
210-5					z ə ə r														
215-5					ʔ a t e b ə t														
256-5					t u m a														
285-5					m ɨ d a d														
332-5					ʔ ə g ɨ r														
380-5					ʔ ə w														
496-5					w u r s ə n b ə t														
64-5					d a bː o														
67-5					w ɨ r														
169-5					b ə z ə z ə m														
251-5					f e kʼ														
294-5					m ə kʼ														
461-5					m e														
547-5					w ɨ z a t														
597-5					ʔ e m ə ɲː ə														
655-5					m ɨ s t														
7-5					ʔ a r g a														
168-5					ʔ ɨ m a r														
61-6						d ə m													
63-6						ʔ ə tʼ ɨ m													
107-6						g a m u l ə													
112-6						d a b ə n ə													
331-6						n ɨ g u s													
377-6						b u kʼ k l ə													
381-6						ħ ɨ d													
417-6						r u z													
451-6						s ə b a t													
454-6						ħ ə ʕ ɨ r													
484-6						s ɨ ʔ ɨ s t													
535-6						ʔ ə t ɨ r													
543-6						s u s t													
593-6						ħ ə m u s													
640-6						m a n													
1-6						d ə b ə r ə													
163-6						s ə t u													
212-6						ʔ ai̯ n													
244-6						ʔ ə r b ʔ t													
248-6						m u l u ʔ a													
293-6						f ə r ə z													
373-6						kʼ ɨ m a l													
408-6						b u u r a													
601-6						ʔ ə r o b													
642-6						n ɨ f ə s													
60-6						n u f ə s ə													
115-6						k ə l ə m													
242-6						ħ ə m ɨ s t													
415-6						z ɨ n a b													
450-6						z ə r ɨ ʔ u													
490-6						tʼ ə b t a t													
638-6						s ɨ e													
645-6						kʼ a l													
75-6						ħ ə m b l u													
208-6						ʔ ɨ n kʼ o l ə u ʔ													
214-6						ʔ ə b ɨ ɨ													
218-6						ʔ ɨ n z n													
409-6						ʔ ɨ t u r ə													
497-6						t ə r n													
598-6						j u l t													
646-6						ʔ ə t j ə													
215-6						ʔ a ɨ t t t ə t													
256-6						t o m													
294-6						t t m t u kʼ ɨ ɨ													
655-6						ʔ ɨ sː u t													
158-6						kʼ u m ɨ ɨ s													
61-7							d e m												
63-7							ʔ a t ɨ m												
107-7							g a m e r a												
112-7							d a b ə r a												
331-7							n ɨ g s												
377-7							b kʼ r ə												
381-7							ʔ a d												
417-7							r u z												
451-7							s ə b a t												
454-7							ʔ a tʃʼ ɨ r												
484-7							s ɨ d ɨ s t												
535-7							ʔ a s ɨ r												
543-7							s o s t												
593-7							ʔ a m u s												
640-7							m a n												
1-7							d ə pː e r e m												
65-7							m u t												
163-7							s ə tʃʼ e												
212-7							ʔ e n												
244-7							ʔ a r b ə t												
248-7							m u r a												
293-7							b e r e z												
373-7							kʼ ɨ m a r												
408-7							b ɨ r a												
414-7							d ɨ b a kʼ u a												
601-7							ʔ ə r o b												
642-7							n ə b a s												
60-7							n ə b e s e												
115-7							ʔ ə r a m												
209-7							s ɨ m ɨ t												
242-7							ʔ a m ɨ s t												
415-7							z ɨ r a b												
450-7							z e r												
490-7							t ə pː e m												
638-7							s ɨ n e												
645-7							kʼ a r												
75-7							ʔ a m b ɨ r												
160-7							d ə r e kʼ												
208-7							ʔ ɨ n kʼ w ɨ r												
214-7							ʔ a b												
218-7							ʔ ɨ n z ɨ r												
378-7							ʔ a n g e t												
379-7							z ə e												
409-7							g a t ə r ə												
497-7							t ə n												
598-7							x e t												
646-7							ʔ a x ə												
164-7							b ə k e												
210-7							z e x e r e												
215-7							ʔ a b e t												
256-7							t u m a												
285-7							m ɨ a d												
332-7							ʔ ə g ɨ r												
380-7							ʔ a x w a												
412-7							s a x ɨ n												
496-7							w u r s ə n b ə t												
64-7							d a m o												
67-7							w ɨ r												
169-7							n e z ə z ə m												
251-7							b e kʼ												
294-7							m ə kʼ												
461-7							t												
547-7							w ɨ z a t												
597-7							ʔ e m ə n a												
655-7							m ɨ s t												
7-7							ʔ a n g a												
158-7							kʼ ə m ɨ s												
168-7							ʔ ɨ m a r												
61-8								d ə m											
63-8								ʔ a t ɨ m											
107-8								g a m e r a											
112-8								d a b ə r a											
331-8								n ɨ g w s											
377-8								b ə kʼ m r ə											
381-8								ʔ a t											
417-8								r u z											
451-8								s ə b a t											
454-8								ʔ a tʃʼ ɨ r											
484-8								s ɨ d ɨ s t											
535-8								ʔ a s ɨ r											
543-8								s ə s t											
593-8								ʔ a m u s											
640-8								m w a n											
1-8								d ə p ə r ə m											
65-8								m u w											
163-8								s ə tʃʼ ə											
212-8								ʔ e n											
244-8								ʔ a r b ə t											
248-8								m u r a											
293-8								b ə r ə z											
373-8								kʼ ɨ m a r											
408-8								b ə w r a											
414-8								d ə b a kʼ u a a											
601-8								ʔ ə r ə b											
642-8								n ɨ kʼ a s											
60-8								n ə kʼ ə s ə m											
115-8								ʔ ə r a m											
209-8								s ɨ n ɨ t											
242-8								ʔ a m ɨ s t											
415-8								z ɨ r a b											
450-8								z ə r											
490-8								t ə p w ə m											
638-8								s ɨ n e											
645-8								kʼ a r											
75-8								ʔ a m b ɨ r											
160-8								d ə r ə kʼ											
208-8								ʔ ɨ n kʼ w ɨ r a											
214-8								ʔ a b											
218-8								ʔ ɨ n z ɨ r											
378-8								ʔ a n g ə t											
379-8								z ə ə											
409-8								g a t ə r ə											
497-8								t ə n											
598-8								h w e t											
646-8								ʔ a t ə											
164-8								b ə k ə m											
210-8								z ə h w ə r a											
215-8								ʔ a t e b ə t											
256-8								t u m a											
285-8								m ɨ d a d											
332-8								ʔ ə g ɨ r											
380-8								ʔ ə h w a											
412-8								s a h ɨ n											
496-8								w i r s ə n b ə t											
64-8								d a m ə											
67-8								w ɨ r											
169-8								n ə z ə z ə m											
251-8								b e kʼ											
294-8								m ə kʼ											
461-8								m ə											
547-8								w ɨ z a t											
597-8								ʔ e m ə n ə											
655-8								m ɨ s t											
7-8								ʔ a n g a											
158-8								kʼ ə m ɨ s											
168-8								ʔ ɨ m a r											
61-9									d ə m										
63-9									ʔ a s ʔ ɨ m										
107-9									g a m ə r a										
112-9									d a b ə r a										
331-9									n ɨ g w u s										
377-9									b ə kʼ r ə										
381-9									ʔ a d										
417-9									r u z										
451-9									s ə ʔ ʔ b a t										
454-9									ʔ a j ɨ r										
484-9									s ɨ d ɨ s t										
535-9									ʔ a s ɨ r ʔ										
543-9									s ə ʔ s t										
593-9									ʔ a m u s										
640-9									m a n										
1-9									d ə p ə r ə										
65-9									m u b										
163-9									s ə j ʔ ə										
212-9									ʔ ə n ʔ										
244-9									ʔ a r b ə ʔ ʔ t ʔ										
248-9									m u r a										
293-9									f ə r ə z										
373-9									kʼ ʔ ɨ m a r										
408-9									b a r a										
414-9									d a b a u ɨ a										
601-9									ʔ ə r ə b										
642-9									ʔ n ə f a s										
60-9									n ə f ə s ə										
209-9									s ɨ u ʔ t ʔ										
242-9									ʔ a m ɨ s t										
415-9									z a r a b										
490-9									t o p ə										
638-9									s ɨ n ə ʔ										
645-9									kʼ a r										
75-9									ʔ a m b ɨ r										
160-9									d ə r ə kʼ										
208-9									ʔ ɨ n kʼ w r a										
214-9									ʔ a b ə										
218-9									ʔ ɨ n z ɨ r										
378-9									ʔ a n g ə t										
379-9									dʒ ɨ ʔ ə										
409-9									g ə t ə r ə										
497-9									t ə n										
598-9									x ʔ w t										
646-9									ʔ a t ə										
164-9									b ə k ə										
210-9									d ə x w ə r ə										
215-9									ʔ a ɨ ɨ b ə t										
256-9									t u m a										
285-9									m ɨ t a d										
332-9									ʔ ə g ɨ r										
380-9									ʔ a x w a										
412-9									s a x ɨ n										
496-9									w u r s ə n b ə t										
64-9									d a p ʔ ʔ ə										
67-9									w ɨ r										
169-9									b ə ə z ə										
251-9									f ə kʼ										
294-9									m ə kʼ										
461-9									t ə										
547-9									w a z a t										
597-9									ʔ ɨ m ə n a										
655-9									m ɨ s t										
7-9									ʔ a r g a										
168-9									ʔ ɨ m a r										
61-10										d a m									
63-10										ʔ aː tʼ ə m									
107-10										g m ə l									
112-10										d aː b ə n aː									
331-10										g u ʃ									
377-10										b u kʼ n l o									
381-10										ħ aː ʔ									
417-10										r u z									
451-10										ʃ o a b aː ʔ									
454-10										ħ aː n tʃʼ ə r									
484-10										ʃ d ə ʃ									
535-10										ħ aː ʃ ə r									
543-10										ʃ u ʃ									
593-10										ħ aː m u ʃ									
640-10										m aː									
1-10										d a b a r a									
65-10										tʼ u b									
163-10										ʃ ə tʃʼ ə									
212-10										ħ i									
244-10										ʔ aː r b o ʔ									
248-10										m u l									
293-10										f a r a tʃʼ									
373-10										kʼ ə m aː l									
408-10										b u r									
414-10										d ə b aː kʼ aː uː aː									
601-10										ʔ o r u b m									
115-10										l aː m									
209-10										ʃ m u									
242-10										ħ aː m ə ʃ									
415-10										z n aː b									
490-10										ʔ ə b ə									
160-10										d ə r a kʼ aː									
208-10										ʔ u kʼ ə aː l a a									
218-10										ʔ z ə n a									
378-10										ħ aː n g a									
379-10										z ə m a m									
497-10										ʔ a a a n									
598-10										l r uː n									
646-10										ʔ aː a a									
164-10										b a tʃʼ j j ə j									
210-10										d a ħ a n i									
256-10										ʔ u m									
285-10										m ə tʼ aː d									
380-10										ħ o ħ u ħ aː									
412-10										ʃ aː ħ aː									
64-10										d aː b i									
169-10										b ə r aː a z a z									
461-10										aː aː o									
547-10										w z aː ʔ									
61-11											d ə m								
63-11											ʔ a t ʔ ɨ m								
107-11											g a m e r a								
112-11											d a b ə r a								
331-11											n ɨ g s								
377-11											b ɨ kʼ ɨ r ə								
381-11											ʔ a t								
417-11											r u Ø								
451-11											s ə ʔ ʔ b a t								
454-11											ʔ a tʃʼ ɨ r								
484-11											s ɨ t ɨ s t								
535-11											ʔ a s ɨ r ʔ								
543-11											s ə ʔ s t								
593-11											ʔ a m u s								
640-11											m a n								
1-11											d ə p ə r ə								
65-11											t u w								
163-11											s ə tʃʼ ʔ ə								
212-11											ʔ e n ʔ								
244-11											ʔ a r b a ʔ a t ʔ								
248-11											m u r ʔ a								
293-11											f ə r ə s								
373-11											kʼ ʔ ɨ m a r								
408-11											b ə ʔ r a								
414-11											d ə b a kʼ u a								
601-11											ʔ ə r ə b								
642-11											n ɨ f a s								
60-11											n ə f ə s ə								
115-11											ʔ ə r a a m								
209-11											s ɨ ʔ ɨ ʔ t ʔ								
242-11											ʔ a m ʔ ɨ s t								
450-11											Ø ə r ʔ								
490-11											t ə p ə								
638-11											s ɨ ə n e ʔ								
645-11											kʼ a r								
75-11											ʔ a m b ɨ r								
160-11											d ə r ə kʼ								
208-11											ʔ ɨ n kʼ ɨ r a								
214-11											ʔ a b a								
218-11											ʔ ɨ n Ø ɨ r								
378-11											ʔ a n g ə t								
379-11											ʔ ə ʔ ə								
409-11											g e t ə r ə								
497-11											t ə n								
598-11											x w t								
646-11											ʔ a x ə								
164-11											b ə k ə								
210-11											ʔ ə x ə r a								
215-11											ʔ a t e b ə t								
256-11											t u m a								
285-11											m ɨ a d								
332-11											ʔ ə g ɨ r								
412-11											s a d a n								
496-11											ʔ r s ə n b ə d								
64-11											d a t ʔ ʔ ə								
67-11											w ɨ r								
169-11											n ə ə Ø ə ə								
251-11											f e kʼ								
294-11											m ə kʼ								
461-11											ə								
547-11											w ə Ø a t								
597-11											ʔ ə a ə n a								
655-11											m ɨ ʔ t								
7-11											ʔ a r g a								
168-11											ʔ ɨ m a r								
61-12												d ə m							
63-12												ʔ a d ɨ m							
107-12												g a m ə l a							
112-12												d a b ə n a							
331-12												n ɨ g s							
377-12												b ə kʼ l ə							
381-12												ʔ a d							
417-12												r u z							
451-12												s ə b t							
454-12												ʔ a tʃʼ ɨ r							
484-12												s ɨ dː ɨ s t							
535-12												ʔ a s ɨ r							
543-12												s o s t							
593-12												ʔ a m u s							
640-12												m a n							
1-12												d ə b ə r ə							
65-12												d u ə							
163-12												s ə tʃʼ ə							
212-12												ʔ ə n							
244-12												ʔ a r b ə t							
248-12												m u l a							
293-12												f ə r ə z							
373-12												kʼ ɨ m a l							
408-12												b ə m r a							
414-12												d ɨ b kʼ u a							
601-12												ʔ ə r o b							
642-12												n ɨ f a s							
60-12												n ə f ə s ə							
115-12												ʔ ə m a m							
209-12												s ɨ m u t							
242-12												ʔ a m ɨ s t							
415-12												z ɨ n a b							
450-12												z ə r							
490-12												r ə b ə							
638-12												s ɨ r ə							
645-12												kʼ a l							
75-12												ʔ a m b ɨ l							
160-12												d ə r ə kʼ							
208-12												ʔ ɨ n kʼ a							
214-12												j a b							
218-12												j ɨ z ɨ n							
378-12												ʔ a n g ə t							
379-12												Ø ə ə							
497-12												t ə n							
598-12												k ə t							
164-12												b ə x ə							
210-12												dː ə k o n ə							
215-12												j a t a b ə t							
256-12												t u m							
285-12												m ɨ d a d							
332-12												j ə g ɨ r							
380-12												ʔ a k a							
412-12												s a ə n							
496-12												u r s ə n b ə t							
64-12												d a n o							
67-12												w ɨ r							
169-12												n ɨ r z ə z ə ə							
251-12												f ə kʼ ə							
294-12												m ə kʼ							
461-12												d ɨ							
547-12												w ɨ z a t							
597-12												ʔ ə ə m ə ɲː ə							
655-12												m ɨ s t							
7-12												ʔ a l g a							
168-12												ʔ ɨ m a r							
61-13													d ə m						
63-13													ʔ a d ɨ m						
107-13													g a m e l a						
112-13													d a b ə n a						
331-13													n ɨ g u s						
377-13													b ɨ kʼ l o						
381-13													ʔ a d						
417-13													r u z						
451-13													s ə b a t						
454-13													ʔ a tʃʼ ɨ r						
484-13													s ɨ dː ɨ s t						
535-13													ʔ a s ɨ r						
543-13													s o s t						
593-13													ʔ a m u s						
640-13													m a n						
1-13													d ə bː ə r ə						
65-13													d u w						
163-13													s ə tʃʼ ə						
212-13													ʔ e n						
244-13													ʔ a r b a t						
248-13													m u l a						
293-13													f ə r ə z						
373-13													kʼ ɨ m a l						
408-13													b o r a						
414-13													d ə b a kʼ u a						
601-13													ʔ ə r o b						
642-13													n ɨ f a s						
60-13													n ə f ə s ə						
115-13													ʔ l a m						
209-13													s ə m ɨ t						
242-13													ʔ a m ɨ s t						
415-13													z ɨ n a b						
450-13													z ə r						
490-13													t ə bː ə						
638-13													s ɨ e						
645-13													kʼ a l						
75-13													ʔ a m b ɨ l						
160-13													d ə r ə kʼ						
208-13													ʔ ɨ n kʼ w ə r a						
214-13													ʔ a b						
218-13													ʔ ɨ z ɨ n						
378-13													ʔ a n g ə t						
379-13													Ø ə ə						
409-13													g e t ə r						
497-13													t ə n						
598-13													g e t						
646-13													ʔ a g ə						
164-13													b ə k ə						
210-13													dː ə g ə n						
215-13													ʔ a e b t						
256-13													t u m a						
285-13													m ɨ t a d						
332-13													ʔ ɨ g ɨ r						
380-13													ʔ a g w						
496-13													w u r s ə n b ə t						
67-13													w ɨ r						
169-13													n ɨ z ə z ə m						
251-13													f e kʼ						
294-13													m ə kʼ						
461-13													d e						
547-13													w ɨ z a t						
597-13													n ʔ e m ə n ə						
655-13													m ɨ sː t						
7-13													ʔ a l g a						
158-13													kʼ ə m i s						
168-13													ʔ ɨ m a r						
61-14														d ə m					
63-14														a d ɨ m					
107-14														g a m ə l a					
112-14														d a b ə n a					
331-14														n ɨ g w u s					
377-14														b ə kʼ ə l ə					
381-14														ʔ a d					
417-14														r u z					
451-14														s ə b a t					
454-14														ʔ a tʃʼ ɨ r					
484-14														s ɨ dː ɨ s t					
535-14														ʔ a s ɨ r					
543-14														s o s t					
593-14														ʔ a m u s					
640-14														m a n					
1-14														d ə bː ə r ə m					
65-14														d u					
163-14														s ə tʃʼ ə					
212-14														ʔ e n					
244-14														ʔ a r b o t					
248-14														m u l a					
293-14														f ə r ə z					
373-14														kʼ ɨ m a l					
408-14														b o r a					
414-14														d ə b a kʼ u m a					
601-14														ʔ ə r o b					
642-14														n ə f a s					
60-14														n ə f ə s ə m					
115-14														ə m a m					
209-14														s ə m ɨ t					
242-14														ʔ a m ɨ s t					
415-14														z ɨ n a b					
450-14														z ə r					
490-14														ə bː ə m					
638-14														s ɨ ə					
645-14														kʼ a l					
75-14														ʔ a m b ɨ l					
160-14														d ə r ə kʼ					
208-14														ʔ ɨ n kʼ u n a					
214-14														a b					
218-14														ɨ z ɨ n					
378-14														ʔ a n g ə t					
379-14														Ø ə ə ə					
409-14														g a t ə r ə					
497-14														t ə n					
598-14														x e t					
646-14														ʔ a x ə					
164-14														b ə k ə m					
210-14														dː ə x w ə n ə					
215-14														ʔ a t e b ə t					
256-14														t u m a					
285-14														m ɨ a d					
332-14														ə g ɨ r					
380-14														ʔ ə x w a					
412-14														s a x ɨ n					
496-14														w u r s ə n b ə t					
64-14														d a b o					
169-14														n ə z ə z ə m ə					
251-14														f ɨ kʼ					
294-14														m o kʼ					
461-14														d e					
547-14														w ə z a t					
597-14														ʔ ə m ə ɲː ə					
655-14														m ɨ sː t					
7-14														ʔ a l g a					
158-14														kʼ ə m e s					
168-14														ʔ ɨ m a r					
61-15															d ə m				
63-15															ʔ a ʃ ɨ m				
107-15															g a m eː l a				
112-15															d a b ə n a				
331-15															n ɨ g u s				
377-15															b ə kʼ ə l ə				
381-15															ʔ a tː				
417-15															r u z				
451-15															s ə b a t				
454-15															ʔ a tʃʼ ɨ r				
484-15															s ɨ d ɨ s t				
535-15															ʔ a s ɨ r				
543-15															s o s t				
593-15															ʔ a m u s				
640-15															m a n				
1-15															d ə b ə l ə				
65-15															t u				
163-15															s ə tʃʼ e				
212-15															ʔ eː n				
244-15															ʔ a r b ə t				
248-15															m u l a				
293-15															f ə r ə z				
373-15															kʼ ɨ m a l				
414-15															d b a a				
601-15															ʔ ɨ r o b				
642-15															n ɨ f a s				
60-15															n ə f ə s ə				
115-15															ʔ e l a m				
209-15															s ɨ m ɨ t				
242-15															ʔ a m ɨ s t				
415-15															z ɨ n a b				
450-15															z ə r				
490-15															ə b ə				
638-15															s ɨ n ə				
645-15															kʼ a l				
75-15															ʔ a m b ɨ l				
160-15															d ə r ə kʼ				
214-15															ʔ a b				
218-15															ʔ ɨ n z ɨ n				
378-15															ʔ a n g ə t				
379-15															z ə ə				
409-15															ʔ a t ə r e				
497-15															t ə n				
646-15															ʔ a t ə				
164-15															b ə k e				
210-15															d ə h ə n e				
215-15															ʔ a eː b e t				
256-15															t u m a				
285-15															m ɨ d a d				
332-15															ʔ ɨ g i r				
380-15															ʔ ə h				
412-15															s a h n				
496-15															w s ə n b ə t				
67-15															w ɨ r				
169-15															b ɨ r ə z ə				
251-15															f eː kʼ				
294-15															m uː kʼ uː				
461-15															t uː				
547-15															w u z a				
655-15															m ɨ ʃ t				
158-15															kʼ ə m i s				
168-15															ʔ u m a r				
61-16																d ə m			
63-16																ʔ a s ɨ m			
107-16																g a m a l a			
112-16																d a b ə n a			
331-16																m ɨ g u s			
377-16																b a kʼ t k l o			
381-16																ʔ u d			
417-16																r ɨ Ø			
451-16																s ə b a t			
454-16																ʃ a s ɨ r			
484-16																s ɨ d ɨ s t			
535-16																ʔ u s ɨ r			
543-16																s a s t			
593-16																ʃ u m u s			
640-16																m a m			
65-16																s o b			
163-16																s a s ə			
212-16																ʔ ai̯ n			
244-16																ʔ u r b a t			
248-16																m u l a			
293-16																f ə r ə g			
373-16																kʼ ɨ m a l			
408-16																b u ʔ r a			
414-16																g o b a ħ ħ ħ a			
601-16																ʔ r b u			
642-16																m ɨ f a s			
209-16																s ɨ b ɨ b			
242-16																ħ a m ɨ s t			
415-16																Ø ɨ n a b			
450-16																Ø ə r			
638-16																s ɨ m ai̯			
75-16																ʃ a m b i r			
208-16																ʔ ɨ ħ kʼ o a			
214-16																ʔ a b a			
218-16																ʔ ɨ m Ø ɨ n			
409-16																ħ u t a r			
497-16																t a n			
598-16																s t			
646-16																ʔ a ħ b ə			
256-16																t u m a			
332-16																ʔ a a g ɨ r			
496-16																r s ə m b ə t			
67-16																w i r			
655-16																m a ʔ a s t			
61-17																	d ə m		
63-17																	ʔ a s ɨ m		
107-17																	g a m a l a		
112-17																	d a b.i ə n a		
