COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
208-2		ʔ ɨ n kʼ u kʼ																	
378-2		ʔ a n g ə d																	
379-2		Ø ə ə																	
409-2		k ə d ə r																	
598-2		l a																	
646-2		ʔ a i t ə																	
210-2		d u h o n i																	
215-2		ʔ a b ə d																	
285-2		m u tʼ a d																	
380-2		ʔ a h u n																	
412-2		s a h u n																	
496-2		s o n b o d																	
64-2		d a b o																	
251-2		f u kʼ																	
294-2		m u kʼ																	
597-2		ʔ ɨ n g ə m ə Ø ə																	
7-2		ʔ a l g a																	
158-2		kʼ ə m i s																	
296-2		ə w i																	
375-2		s ə b																	
541-2		kʼ ə tʃ ɨ n																	
113-2		b u n																	
252-2		r ə Ø e b ə i																	
330-2		kʼ ə l d																	
449-2		ʔ a i ə																	
491-2		d u n g ə t																	
545-2		ɨ d e i																	
596-2		n ə g ə																	
4-2		dʒ i e r i b ə																	
106-2		m ə a																	
254-2		dʒ ɨ m ʔ a d																	
290-2		ʔ g a Ø a																	
602-2		m ɨ n																	
2-2		u Ø ɨ																	
3-2		k i r																	
213-2		k a r a tʃ																	
486-2		n ə Ø ə kʼ ə																	
10-2		tʼ ɨ kʼ i u r																	
152-2		ʔ a Ø o																	
211-2		m ɨ s e t																	
328-2		s ə d ə b ə																	
333-2		m ɨ s ɨ r																	
334-2		ʔ a n b ə s a																	
540-2		l b a																	
109-2		g u n tʃ																	
61-3			t ə m																
63-3			ʔ a t ɨ m																
107-3			g a m e r a																
112-3			t a m ə n a																
331-3			n ɨ g w r																
377-3			w ɨ kʼ u r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			r ə m a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			r ɨ m ɨ r t																
535-3			ʔ a r ɨ r																
543-3			r r t																
593-3			ʔ a m u r																
640-3			m a n																
1-3			t ə p ə r ə m																
65-3			Ø u m																
163-3			r ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r t																
248-3			m u r a																
293-3			Ø ə r ə z																
373-3			kʼ ɨ m a r																
408-3			w ə r a																
414-3			t ə w a kʼ u t a																
601-3			ʔ ə r m																
642-3			n kʼ a r																
60-3			n ə kʼ ə r ə m																
115-3			ʔ ə r a m																
209-3			Ø ɨ t																
242-3			ʔ a m ɨ r t																
415-3			z ɨ n a r																
450-3			z ə r																
490-3			t ə p w ə m																
638-3			r a n ə																
645-3			kʼ a r																
75-3			ʔ a m m ɨ r																
160-3			t ə r ə kʼ																
208-3			ʔ ɨ n kʼ w ɨ r a																
214-3			ʔ a p																
218-3			ʔ ɨ n z ɨ r																
378-3			ʔ a n g ə t																
379-3			Ø ə m ə																
409-3			g ə t ə r ə																
497-3			t ə n																
598-3			h w e t																
646-3			ʔ a h ə																
164-3			m ə kʼ ə m																
210-3			z ə h w ə r																
215-3			ʔ a t e ə t																
256-3			t u a																
285-3			m ɨ t a t																
332-3			ʔ ə g ɨ r																
380-3			ʔ ə w a																
412-3			Ø a m ɨ n																
496-3			w ɨ r r ə n w ə t																
64-3			t a m ə																
67-3			w a r																
169-3			n ə z ə z ə m																
251-3			Ø a kʼ																
461-3			Ø ə																
547-3			w ɨ z a t																
597-3			m e m ə n a																
655-3			m ɨ Ø t																
7-3			ʔ a r g a																
158-3			kʼ ə m ɨ Ø																
168-3			ʔ ɨ m a r																
296-3			ə m u t																
372-3			Ø ə n kʼ ə r																
374-3			w ə kʼ ə Ø ə																
375-3			r ə w																
385-3			w a Ø ə t																
411-3			t ɨ r a r																
500-3			ʔ ɨ m ɨ r																
6-3			m ə r kʼ a m a																
17-3			ʔ ə h ɨ r																
123-3			Ø e m ə m																
252-3			n ə ʔ ə w ə m																
421-3			m ɨ Ø a																
448-3			kʼ ə t a n ə n ə t																
449-3			ʔ a ə																
545-3			h ɨ n ə																
596-3			n ə g ə																
653-3			w ə t ɨ t																
4-3			g ɨ t ə																
254-3			tʃ ɨ m a t ə																
290-3			ʔ a g ə z ə m																
339-3			m ə ʔ a r																
460-3			h a t																
489-3			ə r tʃʼ u m a																
552-3			z a																
652-3			ʔ e t ə t a																
119-3			ʔ a n g a tʃ a																
298-3			h u t																
340-3			g ə n tʃ ə																
458-3			t ə n g ə n ə																
459-3			ʔ a Ø ə																
607-3			ʔ ə Ø w a																
609-3			ʔ a h a																
647-3			t ə t ə																
10-3			t ɨ kʼ u r																
15-3			ʔ a n a m																
18-3			n a kʼ ə																
73-3			tʃ ə Ø ə r ə																
76-3			m w ə Ø a																
110-3			t a a																
121-3			t a Ø ə																
167-3			g a ə																
255-3			kʼ w ə tʃʼ ə																
297-3			g u n ə r																
299-3			g u n ə r																
338-3			m ə m a r																
342-3			m e n a																
344-3			kʼ ə r ə m																
410-3			kʼ a r ɨ																
540-3			n ə w a																
550-3			tʃ ə n tʃ a r																
61-4				d ə m															
63-4				ʔ a Ø ɨ m															
107-4				g a m ə r ə															
112-4				d a b ə r a															
331-4				n ɨ g w r															
377-4				b ə a kʼ ɨ r ə															
381-4				ʔ a t															
417-4				r Ø Ø															
451-4				r ə b ə t															
454-4				ʔ a ʔ ɨ r															
484-4				r ɨ d ɨ r t															
535-4				ʔ a r ɨ r															
543-4				r r t															
593-4				ʔ a m ɨ r															
640-4				m w a n															
1-4				d ə Ø ə r ə m															
65-4				Ø ɨ ə ə ə ə															
163-4				r ə ə a ə															
408-4				b r ə															
414-4				d ɨ b ə kʼ ə ə a															
601-4				ʔ ə r ə ə															
642-4				n ə a r															
60-4				n ə ə r ə															
115-4				ʔ ə r a m															
450-4				Ø ə r															
490-4				t ə Ø w ə															
638-4				r ɨ n ɨ															
645-4				kʼ a r															
75-4				ʔ a m b ɨ r															
160-4				d ə r ə kʼ															
378-4				ʔ a n g ə t															
379-4				Ø ə ʔ ə															
409-4				g ə t ə r ə															
497-4				t ə n															
598-4				a r w ə t															
646-4				ʔ a t ə															
164-4				b ə h ə															
332-4				ʔ ə g ɨ r															
380-4				ʔ ə d w e															
412-4				Ø a h ɨ n															
64-4				d a Ø ə															
67-4				w ɨ r															
169-4				n ə ə Ø ə a															
461-4				Ø ɨ															
547-4				w ɨ Ø a t															
597-4				ʔ a m a a ə n ə															
655-4				m ɨ Ø t															
158-4				kʼ ə m ə Ø Ø															
168-4				ʔ ɨ m a r															
372-4				h ə n ə r															
374-4				b ə kʼ ə Ø ə															
375-4				r ə b h h															
385-4				w ɨ Ø ə t															
411-4				ə ə t ɨ r ə h a r															
500-4				ʔ ɨ m a ɨ r															
541-4				kʼ ə Ø a r															
6-4				m ə r h a m a															
17-4				ʔ ə ʔ ɨ r															
330-4				kʼ ə ə d t															
421-4				b ɨ Ø ə															
449-4				ʔ ə Ø ə															
545-4				d ɨ n a															
596-4				n ə g ə															
653-4				b ə t ɨ t															
4-4				g ɨ ʔ ə															
8-4				kʼ ə b ə Ø ə															
106-4				m ə a ə															
339-4				b ə kʼ a r															
489-4				b w ə r Ø ɨ m a															
652-4				ʔ ɨ t ə h t a															
119-4				ʔ ə n g ə Ø ə															
340-4				g w ə n Ø ə															
458-4				d ə n g ə n ə															
486-4				n ə Ø ə kʼ ə															
607-4				ʔ ə h w ə															
609-4				ʔ ɨ d ə															
15-4				ʔ ɨ n ɨ m															
18-4				n ɨ ʔ j ə															
73-4				Ø ə h ə ə r ə															
76-4				m w ə Ø a															
110-4				d a t ə															
121-4				t ɨ h ə															
167-4				g ɨ j ə															
334-4				ʔ a m b ə Ø a															
342-4				m ə n a															
344-4				kʼ ə r ə m															
410-4				kʼ ə r ə															
550-4				d ə n Ø ɨ r															
612-4				ʔ e r a b															
61-5					ə m														
63-5					ʔ a s ɨ m														
107-5					g a m e s a														
112-5					a b ə r a														
331-5					nː ɨ g w s														
377-5					b ə kʼ s ə														
381-5					ʔ a														
417-5					r ə z														
451-5					s ə b a t														
454-5					ʔ a ʔ ɨ r														
484-5					s ɨ ʔ ɨ s t														
535-5					ʔ a s ɨ r														
543-5					s s t														
593-5					ʔ a m ɨ s														
640-5					m a nː														
1-5					ə bː ə r ə m														
65-5					Ø														
163-5					s ə Ø ə														
212-5					ʔ e nː														
244-5					ʔ a r b ə t														
248-5					m r a														
293-5					Ø ə r ə z														
373-5					kʼ ɨ m a r														
408-5					b a r a														
414-5					ɨ b a kʼ a														
601-5					ʔ ə r														
642-5					nː Ø a s														
60-5					nː ə Ø ə s ə m														
115-5					ʔ ə r a m														
209-5					s ɨ nː t														
242-5					ʔ a ɨ s t														
415-5					z r a b														
450-5					z ə r														
490-5					t ə bː w ə m														
638-5					s ɨ nː e														
645-5					kʼ a r														
75-5					ʔ a m b ɨ s														
160-5					t ə r ə kʼ														
208-5					ʔ ɨ nː kʼ w ɨ s a														
214-5					ʔ a b														
218-5					ʔ ɨ nː z ɨ r														
378-5					ʔ a nː g ə t														
379-5					Ø ə ə														
409-5					g a t ə r ə														
497-5					t ə nː														
598-5					w w e t														
164-5					b ə kʼ ə m														
210-5					z ə w ə r														
215-5					ʔ a t e b ə t														
256-5					t ə m a														
285-5					m ɨ a														
332-5					ʔ ə g ɨ r														
380-5					ʔ a w a														
496-5					w r s ə nː b ə t														
64-5					a bː ə														
67-5					w r														
169-5					nː ə z ə z ə m														
251-5					Ø e kʼ														
294-5					m w ə kʼ														
461-5					Ø e														
547-5					w ɨ z a t														
597-5					ʔ e m ə n a														
655-5					m ɨ s t														
7-5					ʔ a s g a														
168-5					ʔ ɨ m a r														
296-5					ə ʔ t														
372-5					Ø ə nː Ø ə r														
374-5					b ə kʼ Ø ə														
375-5					s ə b														
385-5					w ɨ Ø ə t														
411-5					t ɨ r a s														
500-5					ʔ e m m r														
6-5					m ə r Ø a m a														
17-5					ʔ ə ʔ ɨ r														
113-5					Ø nː a														
123-5					Ø e m ə														
252-5					nː ə ʔ ə b ə														
421-5					b ɨ Ø ə														
448-5					kʼ ə a nː s ə nː b ə t														
449-5					ʔ a z ə														
545-5					ɨ nː ə														
596-5					nː ə g ə														
653-5					b ə t ə t														
4-5					g ɨ ə														
8-5					kʼ ə b ə t ə														
290-5					ʔ a g ə z ə t														
339-5					b ə ʔ ɨ s														
460-5					a ɨ t														
489-5					b ə r Ø ə m a														
552-5					z ɨ														
602-5					m ʔ														
652-5					ʔ e t ə t ə														
3-5					ʔ nː ə														
119-5					ʔ a nː g a tʃ a														
298-5					ʔ ə t														
340-5					g w ə nː tʃ ə														
458-5					ə nː g ə n ə														
459-5					ʔ a Ø ə														
486-5					nː ə Ø ə kʼ ə														
607-5					ʔ ə Ø w a														
609-5					ʔ ɨ g a														
647-5					t ə t t														
15-5					ʔ ɨ nː ɨ m														
18-5					nː ɨ kʼ ə														
73-5					tʃ ə Ø ə r ə m														
76-5					m w ə s a														
110-5					a a														
121-5					t ɨ Ø ə														
152-5					ʔ a Ø ə														
167-5					g ɨ ə														
255-5					kʼ w ə nː tʃ ə														
297-5					g ə nː ə r														
299-5					g ə nː ə r														
334-5					ʔ a m b ə s a														
338-5					nː ə m ə r														
342-5					m e nː a														
344-5					kʼ ə s ə m														
410-5					kʼ a r ɨ														
550-5					tʃ ə nː tʃ ɨ r														
612-5					ʔ a r i														
61-6						d ə m													
63-6						ʕ a s ɨ m													
107-6						g ɨ m ə l													
112-6						d a b ə n ɨ													
331-6						n ɨ g u s													
377-6						b u kʼ l													
381-6						ʔ a d													
417-6						r u z													
451-6						s ə b t													
454-6						ħ ɨ ɨ ʕ ɨ r													
484-6						s ɨ d ɨ s t													
535-6						ʔ a t ɨ r													
543-6						s u s t													
593-6						ʕ a m u s													
640-6						m a													
1-6						d ə b ə r ə													
163-6						s ə t u kʼ kʼ													
212-6						ʔ ai̯ n													
244-6						ʔ ɨ r b u													
248-6						m ə l u l													
293-6						f ə r ə t													
373-6						kʼ ɨ m a l													
408-6						b u r													
601-6						ʔ ɨ r o b ɨ ʔ ɨ													
642-6						n ɨ f a s													
60-6						n u f ə s ə													
115-6						l a m													
242-6						ʔ ɨ m ɨ s t													
415-6						z ɨ n a b													
450-6						z ə r ɨ ʔ													
490-6						Ø ə b t ɨ t													
638-6						s ɨ r e													
645-6						kʼ a l													
75-6						ħ a m ɨ ɨ l													
208-6						ʔ ɨ n kʼ o ħ													
214-6						ʔ a b													
218-6						ʔ ə kʼ z u n kʼ													
409-6						ʔ ɨ t ə r ə													
497-6						t ə r n													
598-6						ħ l t													
646-6						ʔ a t ə													
215-6						ʔ a ɨ t t t t t													
256-6						t o m													
294-6						t t m t u kʼ ɨ ɨ													
655-6						ʔ ɨ Ø ɨ t													
158-6						kʼ u m ɨ s													
372-6						Ø ə n f ə r													
375-6						s ə b													
411-6						t ɨ r a s													
500-6						ʔ ɨ kʼ i r													
541-6						kʼ ə Ø i n													
113-6						b u n a													
252-6						r ɨ Ø ɨ b ə u													
330-6						kʼ ə l d													
448-6						kʼ ɨ d a ɨ ɨ ɨ m ɨ ɨ ɨ													
106-6						m ə s a													
290-6						ħ ɨ g ə z ə													
460-6						ħ u u ɨ t a													
552-6						ʔ ɨ													
602-6						m ɨ n													
2-6						ħ u Ø u m													
298-6						ħ ɨ t ɨ													
486-6						n ə Ø ə kʼ ə t													
211-6						m ɨ t ə t													
333-6						m ɨ s ɨ r													
334-6						ʔ a m b ə s a													
612-6						ħ ə r b													
61-7							t e m												
63-7							ʔ a t ɨ m												
107-7							g a m e r a												
112-7							t a m ə n a												
331-7							n ɨ g w s												
377-7							w kʼ r e												
381-7							ʔ a t												
417-7							r Ø z												
451-7							s e w a t												
454-7							ʔ a ɨ r												
484-7							s ɨ t ɨ s t												
535-7							ʔ a s ɨ r												
543-7							s o s t												
593-7							ʔ a m Ø s												
640-7							m a n												
1-7							ə pː e r e												
65-7							Ø ɨ												
163-7							s ə t e												
212-7							ʔ e n												
244-7							ʔ a r n ə t												
248-7							m r a												
293-7							Ø e r e z												
373-7							kʼ ɨ m a r												
408-7							w o r a												
414-7							t ɨ w a kʼ a												
601-7							ʔ ə r o												
642-7							n Ø a s												
60-7							n ə Ø e s e												
115-7							ʔ r a m												
209-7							s ɨ m t												
242-7							ʔ a m ɨ s t												
415-7							z ɨ n a w												
450-7							z e r												
490-7							t ə pː e												
638-7							s ɨ n e												
645-7							kʼ a r												
75-7							ʔ a m ɨ r												
160-7							t ə r e kʼ												
208-7							ʔ ɨ n kʼ w ɨ a												
214-7							ʔ a pː												
218-7							ʔ ɨ n z ɨ r												
378-7							ʔ a n g e t												
379-7							Ø ə e												
409-7							g t ə r												
497-7							t ə n												
598-7							w t												
646-7							ʔ a t ə												
164-7							w ə kʼ e												
210-7							z e e r e												
215-7							ʔ a t e t												
256-7							t Ø m a												
285-7							m ɨ a t												
332-7							ʔ ə g ɨ r												
380-7							ʔ e w a												
412-7							s a ɨ n												
496-7							w r s e n w e t												
64-7							t a m o												
67-7							w ɨ r												
169-7							n e t z ə z ə m												
251-7							Ø e ə												
294-7							m w ə kʼ												
461-7							Ø												
547-7							w ɨ z a t												
597-7							ʔ m ə n e												
655-7							m ɨ Ø t												
7-7							ʔ a r g a												
158-7							kʼ ə m ɨ s												
168-7							ʔ m a r												
296-7							ə t												
372-7							Ø e n Ø e r												
374-7							w ə kʼ o Ø o												
385-7							w ɨ Ø e t												
411-7							t ɨ r a s												
500-7							ʔ ɨ m ɨ r												
6-7							m e r Ø a m a												
17-7							ʔ ə Ø ɨ r												
123-7							s m e												
252-7							n ə ʔ ə w ə												
421-7							w Ø e												
448-7							kʼ e Ø a n s e n e t												
449-7							ʔ a e												
491-7							t ɨ n g e t												
545-7							Ø ɨ n o												
596-7							n ə g e												
653-7							w ə t t												
8-7							kʼ ə w ə t o												
254-7							tʃ ɨ m a t												
290-7							ʔ a g ə z ə												
460-7							o ɨ t												
489-7							w ə r Ø ɨ m a												
552-7							z ɨ												
652-7							ʔ e n t e t a												
3-7							ɨ n e												
119-7							ʔ a n g a tʃ a												
298-7							t												
340-7							g w ə n tʃ ə												
458-7							ə n g ə n ə												
459-7							ʔ a s o												
486-7							n e Ø e kʼ e												
607-7							ʔ ə Ø w a												
609-7							ʔ ɨ g a												
10-7							Ø ɨ kʼ Ø r												
15-7							ʔ ɨ n m												
18-7							n kʼ ə												
73-7							tʃ ə Ø ə r ə												
76-7							m w ə s a												
110-7							a t a												
121-7							t ɨ Ø ə												
152-7							ʔ a Ø o												
167-7							g ɨ ə												
255-7							kʼ w ə n tʃ ə												
297-7							g Ø n ə r												
299-7							g Ø n ə r												
338-7							n e m ɨ r												
342-7							m e n a												
344-7							kʼ ə s ə m												
410-7							kʼ a r												
540-7							n e w a												
550-7							tʃ ə n tʃ ɨ r												
61-8								t ə m											
63-8								ʔ a t ɨ m											
107-8								g a m e r a											
112-8								t a m ə r a											
331-8								n ɨ g w s											
377-8								w ə kʼ ɨ r ə											
381-8								ʔ a t											
417-8								r ə z											
451-8								s ə m a t											
454-8								ʔ a tʃʼ ɨ r											
484-8								s ɨ h ɨ s t											
535-8								ʔ a s ɨ r											
543-8								s ə s t											
593-8								ʔ a m i s											
640-8								m a n											
1-8								ə p ə r ə m											
65-8								Ø ɨ w											
163-8								s ə tʃʼ ə											
212-8								ʔ e n											
244-8								ʔ a r ə t											
248-8								m i r a											
293-8								Ø ə r ə z											
373-8								kʼ ɨ m a r											
408-8								w ə w r a											
414-8								ə w a kʼ a											
601-8								ʔ ə r											
642-8								n kʼ a s											
60-8								n ə kʼ ə s ə m											
115-8								ʔ ə r a m											
209-8								s ɨ n t											
242-8								ʔ a h ɨ s t											
415-8								z ɨ r a r											
450-8								z ə r											
490-8								ə p w ə m											
638-8								s ɨ n ə											
645-8								kʼ a r											
75-8								ʔ a m ɨ r											
160-8								t ə r ə kʼ											
208-8								ʔ ɨ n kʼ w ɨ r a											
214-8								ʔ a p											
218-8								ʔ ɨ n z ɨ r											
378-8								ʔ a n g ə t											
379-8								Ø ə ə											
409-8								g ə t ə r ə											
497-8								t ə n											
598-8								h w e t											
646-8								ʔ a h ə											
164-8								w ə kʼ ə m											
210-8								z ə h w ə r a											
215-8								ʔ a t e ə t											
256-8								t ə m a											
285-8								m ɨ t a t											
332-8								ʔ ə g ɨ r											
380-8								ʔ ə w a											
412-8								s a h ɨ n											
496-8								w i r s ə n w ə t											
64-8								t a m ə											
67-8								w ɨ r											
169-8								n ə z ə z ə m											
251-8								Ø e kʼ											
294-8								m w ə kʼ											
461-8								Ø ə											
547-8								w ɨ z a t											
597-8								ʔ e m ə n ə											
655-8								m ɨ Ø t											
7-8								ʔ a r g a											
158-8								kʼ ə m ɨ s											
168-8								ʔ ɨ m a r											
296-8								j ə h i t											
374-8								w ə kʼ ə Ø ə											
385-8								w ɨ Ø ə t											
500-8								ʔ ɨ m ɨ r											
6-8								m ə r kʼ a m a											
17-8								ʔ ə h ɨ r											
123-8								s e m ə											
252-8								n ə ʔ ə ə m											
421-8								w ɨ Ø ə											
448-8								kʼ ə a n s ə n a ə t											
449-8								ʔ a ə											
545-8								h ɨ n ə w											
596-8								n ə g ə											
653-8								w ə t ɨ t											
4-8								g ɨ r ə											
8-8								kʼ ə w ə t ə											
254-8								tʃ ɨ m a t m											
290-8								ʔ a g ə z ə m											
339-8								m ə kʼ ɨ r m											
460-8								ɨ t											
489-8								w ə r tʃʼ ɨ m a											
552-8								z ɨ											
652-8								ʔ ə e t a											
3-8								h ɨ n ə											
119-8								ʔ a n g a tʃ a											
298-8								h ɨ t											
340-8								g w ə n tʃ ə											
458-8								ə n g ə n ə											
459-8								ʔ a s ə											
607-8								ʔ ə Ø w a											
609-8								ʔ ɨ g a											
10-8								Ø ɨ kʼ ə r											
15-8								ʔ ɨ n ɨ m											
18-8								n ɨ kʼ ə											
73-8								tʃ ə Ø ə r ə m											
76-8								m w ə s a											
121-8								t ɨ Ø ə											
167-8								g ɨ ə											
255-8								kʼ w ə n tʃʼ ə											
297-8								g ə n ə r											
299-8								g ə n ə r											
338-8								ə m ɨ r											
342-8								m e n a											
344-8								kʼ ə s ə m											
410-8								kʼ a r e w											
540-8								n ə w a											
550-8								ə n tʃ ɨ r											
61-9									d ə m										
63-9									ʔ a Ø ə m										
107-9									g a m ɨ r a										
112-9									d a b ə r a										
331-9									n ə g w w s										
377-9									b ə r ə										
381-9									ʔ a t										
417-9									r Ø z										
451-9									s ə b a t										
454-9									ʔ a ʔ ə r										
484-9									s ə d ə s t										
535-9									ʔ a s ə r										
543-9									Ø a Ø t										
593-9									ʔ a m ə s										
640-9									m a n										
1-9									d ə p ə r ə										
65-9									Ø Ø w										
163-9									s ə j ə										
212-9									ʔ ə n										
244-9									ʔ a r ə t										
248-9									m ə r a										
293-9									Ø ə r ə z										
373-9									ə m a r										
408-9									b a w r a										
414-9									d ə b a ɨ ɨ a										
601-9									ʔ ə r a b										
642-9									n w a s										
60-9									n ə ə s ə										
209-9									s ə t										
242-9									ʔ a m ə s t										
415-9									z ə r a b										
490-9									t ə p w ə										
638-9									s ə n ə										
645-9									a r										
75-9									ʔ a m b ə r										
160-9									ə r ə ʔ										
208-9									ʔ ɨ n w w ə m a										
214-9									ʔ a b ə w										
218-9									ʔ ə n z ə r										
378-9									ʔ a n g ə t										
379-9									Ø ə w ə w										
409-9									g ə t ə r ə										
497-9									t ə n										
598-9									x w w t										
646-9									ʔ a x ə										
164-9									b ə Ø ə										
210-9									d ə x w ə r ə										
215-9									ʔ a t ɨ b ə t										
256-9									t Ø m a										
285-9									m ə d a d										
332-9									ʔ ə g ə r										
380-9									ʔ ə x w										
412-9									s a x ə n										
496-9									w ɨ r s ə n b ə t										
64-9									d a p a										
67-9									w ə r										
169-9									n ə w z ə z ə m w										
251-9									Ø ɨ ə										
294-9									m w ə ʔ w										
461-9									w w Ø ə										
547-9									w ə z a t										
597-9									ʔ ɨ m ə n ə										
655-9									m ə Ø t										
7-9									ʔ a m g a										
168-9									ʔ ə m a r										
296-9									a x a t										
372-9									g ə n ə r										
374-9									b ə a Ø a										
375-9									s ə b										
385-9									w ə Ø ə t										
411-9									w t ə r a s										
500-9									ʔ ə m ə r										
541-9									ə Ø ə n										
6-9									m ə r g a m a										
17-9									ʔ ə ə r										
113-9									b Ø n a										
123-9									s ə m ə										
252-9									n ə Ø ə b ə										
421-9									b ə Ø ə										
448-9									ə d a n s ə n b ə t										
491-9									d ɨ n g ə t										
545-9									x ə n ɨ										
596-9									n ə g ə										
653-9									Ø ə t ə t										
4-9									g ɨ b ə										
8-9									ə b ə Ø a										
254-9									tʃ ə m a t										
339-9									b ə j ə r										
489-9									b ə r Ø ɨ m a										
552-9									z ə										
652-9									ʔ ə d t ɨ										
119-9									ʔ a n g a tʃ a										
298-9									Ø t										
340-9									g w ə n tʃ ə										
458-9									d ə n g ə ə										
459-9									ʔ a s a										
486-9									n ə Ø ə ə										
607-9									ʔ ə Ø w a w										
609-9									ʔ ə x a										
10-9									Ø ə r										
15-9									ʔ ə n ə m										
18-9									n ə ə										
73-9									tʃ ə Ø ə r ə										
76-9									m w ə s a										
110-9									d a w w t a										
121-9									t ə Ø ə										
167-9									g ə j ə										
255-9									w ə n tʃ ə										
297-9									g Ø n ə r										
299-9									g Ø n ə r										
338-9									n ə m ə r w										
342-9									m ə n a										
344-9									ə s ə m										
550-9									g ə n tʃ ə r										
612-9									ʔ a r ə b w w										
61-10										d ə m									
63-10										ʔ aː tʼ u m									
107-10										g u m u l n									
112-10										d a b ə m aː									
331-10										m i g u s									
377-10										b u kʼ n l o									
381-10										ʔ a d									
417-10										r u z									
451-10										s o b n ħ									
454-10										ʔ a n s u r									
484-10										s i d i s n									
535-10										ʔ aː s i r									
543-10										s u s n									
593-10										ħ aː m u s									
