COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
251-2		f u kʼ																	
294-2		m ɨ kʼ																	
597-2		ʔ ɨ g ə m ə l ə																	
7-2		ʔ a l g a																	
158-2		kʼ ə m i s																	
296-2		ə w																	
375-2		s ə b																	
541-2		kʼ ə h ɨ n																	
113-2		b u n																	
252-2		rː ə Ø e b ə i																	
330-2		kʼ ə l d																	
449-2		k a i ə																	
491-2		d u n g ə t																	
545-2		ɨ n e i																	
596-2		n ə g ə																	
4-2		dʒ i e b ə																	
106-2		m ə tʃ a																	
254-2		dʒ ɨ m ʔ a d																	
290-2		ʔ a g ə Ø ə																	
602-2		m ɨ n																	
2-2		u Ø ɨ																	
3-2		g u n e																	
61-3			d ə m																
63-3			ʔ a t ɨ m																
107-3			g a m e n a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ɨ kʼ u r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ m ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s ə s t																
593-3			ʔ a m u s																
640-3			m w a n																
1-3			d ə p ə r ə m																
65-3			Ø u m																
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r ə t																
248-3			m u r a																
293-3			Ø ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b ə r a																
414-3			d ə b a kʼ u t a																
601-3			ʔ ə r m b																
642-3			n ɨ kʼ a s																
60-3			n ə kʼ ə s ə m																
115-3			ʔ ə r a m																
209-3			s ɨ m u t																
242-3			ʔ a m ɨ s t																
415-3			z ɨ r a b																
450-3			z ə r																
490-3			t ə p w ə m																
638-3			s a n e																
645-3			kʼ a n																
75-3			ʔ a m b ɨ r																
160-3			d ə r ə kʼ																
208-3			ʔ ɨ n kʼ w ɨ a																
214-3			ʔ a b																
218-3			ʔ ɨ n z ɨ r																
378-3			ʔ a n g ə t																
379-3			Ø ə m ə																
409-3			g a t ə r ə																
497-3			t ə n																
598-3			x w e t																
646-3			ʔ a x ə																
164-3			b ə kʼ ə m																
210-3			z ə x w ə r																
215-3			ʔ a t e b ə t																
256-3			t u a																
285-3			m ɨ d a d																
332-3			ʔ ə g ɨ r																
380-3			ʔ ə h w a																
412-3			s a h ɨ n																
496-3			w u r s ə n b ə t																
64-3			d a m ə																
67-3			w a r																
169-3			n ə z ə z ə m																
251-3			Ø a kʼ																
461-3			Ø ə																
547-3			w ɨ z a t																
597-3			ʔ e m ə n a																
655-3			m ɨ s t																
7-3			ʔ a n g a																
158-3			kʼ ə m ɨ s																
168-3			ʔ ɨ m a r																
296-3			j ə h a t																
372-3			kʼ ə n kʼ ə r																
374-3			b ə kʼ ə Ø ə																
375-3			s ə w																
385-3			w ɨ Ø ə t																
411-3			t ɨ r a s																
500-3			ʔ ɨ m ɨ r																
6-3			m ə r kʼ a m a																
17-3			ʔ ə h ɨ r																
123-3			Ø e m ə m																
252-3			n ə kʼ ə b ə																
421-3			b ɨ Ø a																
448-3			kʼ ə d a n s ə n b ə t																
449-3			ʔ a ə																
545-3			x ɨ n ə																
596-3			n ə g ə																
653-3			b ə t ɨ t																
4-3			g ɨ kʼ ə																
254-3			tʃ ɨ m a t																
290-3			ʔ a g ə z ə m																
339-3			b ə m ɨ r																
460-3			x j a t																
489-3			b ə r tʃʼ u m a																
552-3			z a																
652-3			ʔ e t ə t a																
61-4				d ə m															
63-4				ʔ a t ɨ m															
107-4				g a m ə r ə															
112-4				d a b a r a															
331-4				n e g w s															
377-4				b ə kʼ ɨ r															
381-4				ʔ a t															
417-4				r a Ø															
451-4				s ə b ə t															
454-4				ʔ a e r															
484-4				s ɨ d ɨ s t															
535-4				ʔ a s ɨ r															
543-4				s ə s t															
593-4				ʔ a m ɨ s															
640-4				m a n															
1-4				d ə w ə r ə															
65-4				Ø ɨ ə															
163-4				s ə a															
408-4				b ə a r ə															
414-4				d e w ə kʼ ə ə a															
601-4				ʔ a r ɨ b															
642-4				n a a s															
60-4				n ə a s ə															
115-4				ʔ a r a m															
450-4				Ø ə r															
490-4				t ə b a															
638-4				s ɨ n ə															
645-4				kʼ a r															
75-4				ʔ a m b ɨ r															
160-4				d ə r ə kʼ															
378-4				ʔ a n g ə t															
379-4				Ø a ə															
409-4				g a t ə r a															
497-4				t ə n															
598-4				x e t															
646-4				ʔ a x ə															
164-4				b a h a															
332-4				ʔ a g ɨ r															
380-4				ʔ a x e															
412-4				s ə h ɨ n															
64-4				d a w ə															
67-4				w ɨ r															
169-4				ə Ø ə															
461-4				Ø ɨ															
547-4				w e Ø a t															
597-4				ʔ ə m a ə n a															
655-4				m ɨ Ø t															
158-4				kʼ ə m e s															
168-4				ʔ ɨ m a r															
372-4				h ə n ə r															
374-4				b ə ʔ ə Ø ə															
375-4				s ə w															
385-4				w ɨ Ø ə t															
411-4				t ɨ r e s															
500-4				ʔ ɨ m ɨ r															
541-4				kʼ a tʃ ɨ r															
6-4				m ə r h a m a															
17-4				ʔ a h ɨ r															
330-4				kʼ ə ə d n n															
421-4				b ɨ Ø ə															
449-4				ʔ a ʔ a															
545-4				x ɨ n a															
596-4				n ə g a															
653-4				b a t ɨ t															
4-4				g e a															
8-4				kʼ ə b ə t ɨ															
106-4				m e a															
339-4				b a kʼ e r															
489-4				b w ə r Ø ɨ m a															
652-4				ʔ ɨ t a															
61-5					d ə m														
63-5					ʔ a s ɨ m														
107-5					g a m e s a														
112-5					d a b ə r a														
331-5					n ɨ g w s														
377-5					b ɨ kʼ u s ə														
381-5					ʔ a t														
417-5					r u z														
451-5					s ə b a t														
454-5					ʔ a s ɨ r														
484-5					s ɨ d ɨ s t														
535-5					ʔ a sː ɨ r														
543-5					s o s t														
593-5					ʔ a m u s														
640-5					m a														
1-5					d ə bː ə r ə														
65-5					Ø u														
163-5					s ə ə														
212-5					ʔ e n														
244-5					ʔ a r b ə t														
248-5					m u r a														
293-5					Ø ə r ə z														
373-5					kʼ ɨ m a r														
408-5					b o r a														
414-5					d ɨ b a kʼ u a a														
601-5					ʔ ə r b														
642-5					n Ø a s														
60-5					n ə Ø ə s ə														
115-5					ə r a m														
209-5					s ɨ nː u t														
242-5					ʔ a m ɨ s t														
415-5					z n a b														
450-5					z ə r														
490-5					t ə bː w ə														
638-5					s ɨ e														
645-5					kʼ a r														
75-5					ʔ a m b ɨ s														
160-5					d ə r ə kʼ														
208-5					ʔ ɨ n kʼ w ɨ s a														
214-5					ʔ a b														
218-5					ʔ ɨ nː z ɨ r														
378-5					ʔ a n g ə t														
379-5					Ø ə ə														
409-5					g t ə r ə														
497-5					t ə n														
598-5					w w e t														
164-5					b ə kʼ ə														
210-5					z ə ə r														
215-5					ʔ a t e b ə t														
256-5					t u m a														
285-5					m ɨ d a d														
332-5					ʔ ə g ɨ r														
380-5					ʔ ə w a														
496-5					w u r s ə n b ə t														
64-5					d a bː o														
67-5					w r														
169-5					n ə z ə z ə m														
251-5					Ø e kʼ														
294-5					m w ə kʼ														
461-5					Ø e														
547-5					w ɨ z a t														
597-5					ʔ e m ə ɲː a														
655-5					m ɨ s t														
7-5					ʔ a s g a														
168-5					ʔ ɨ m a r														
296-5					j ə u t														
372-5					ə n Ø ə r														
374-5					b ə Ø o Ø o														
375-5					s ə b														
385-5					w ɨ Ø ə t														
411-5					t ɨ r a s														
500-5					ʔ u m r														
6-5					m ə s a m a														
17-5					ʔ ə ʔ ɨ r														
113-5					b u nː a														
123-5					Ø e m ə														
252-5					n ə ʔ ə b ə														
421-5					b ɨ Ø ə														
448-5					kʼ ə d a n s ə n b ə t														
449-5					ʔ a z ə														
545-5					ɨ nː o														
596-5					n ə g ə														
653-5					b ə t ə t														
4-5					g ə														
8-5					kʼ ə b ə t o														
290-5					ʔ a g ə z ə														
339-5					b ə kʼ ɨ s														
460-5					j ɨ t														
489-5					b ə r Ø u m a														
552-5					z ɨ														
602-5					m n														
652-5					ʔ e t ə t i														
3-5					ʔ e nː ə														
61-6						d ə m													
63-6						ʕ a tʼ ɨ m													
107-6						g ə m u l													
112-6						d a b ə n ɨ													
331-6						n ɨ g t s													
377-6						b u kʼ l ə													
381-6						ħ a ɨ d													
417-6						r ɨ z													
451-6						s ə b t t													
454-6						ħ ɨ ʕ ɨ r													
484-6						s ɨ d ɨ s t													
535-6						ʕ a t ɨ r													
543-6						s u s t													
593-6						ħ a m ɨ s													
640-6						m a n													
1-6						d ə b ə r ə													
163-6						s ə t u													
212-6						ʔ ai̯ n													
244-6						ʔ ɨ r b t													
248-6						m ɨ l a													
293-6						f ə r ə t													
373-6						kʼ ɨ m a l													
408-6						b u r													
601-6						ʕ ə r o b ɨ ɨ													
642-6						n ɨ f a s													
60-6						n u f ə s ə													
115-6						l a m													
242-6						ħ a m ɨ s t													
415-6						z ɨ n a b													
450-6						z ə r ɨ													
490-6						tʼ ə b t ɨ t													
638-6						s ɨ r ɨ e													
645-6						kʼ a l													
75-6						ħ a m b ɨ l													
208-6						ʔ ɨ n kʼ o ɨ													
214-6						ʔ a b ɨ													
218-6						ʔ ə n z u n													
409-6						ʕ ɨ t u r ə													
497-6						t ə r n													
598-6						ħ u l t													
646-6						ʔ a ɨ t ə													
215-6						ħ a ɨ t t t t t													
256-6						t o m													
294-6						t t m t u kʼ ɨ ɨ													
655-6						ʔ ɨ sː ɨ t													
158-6						kʼ u m ɨ s													
372-6						Ø ə n f ə r													
375-6						s ə b													
411-6						t ɨ r a s													
500-6						ʔ ə m ɨ i r													
541-6						kʼ ə Ø i n													
113-6						b u n a													
252-6						r a ʕ ə b ə u													
330-6						kʼ ə l d													
448-6						kʼ ɨ d a ɨ ɨ ɨ n ɨ ɨ ɨ													
106-6						m ə ʕ a													
290-6						ħ a g ə z ə													
460-6						ħ ɨ u a t a													
552-6						ʔ ɨ ɨ													
602-6						m ɨ n													
2-6						d u Ø u m													
61-7							d e m												
63-7							ʔ a t ɨ m												
107-7							g a m e r a												
112-7							d a ə r a												
331-7							n ɨ g w s												
377-7							w kʼ r ə												
381-7							ʔ a t												
417-7							r u z												
451-7							s ə w a t												
454-7							ʔ a ɨ r												
484-7							s ɨ d ɨ s t												
535-7							ʔ a s ɨ r												
543-7							s o s t												
593-7							ʔ a m u s												
640-7							m w a n												
1-7							d ə pː e r e m												
65-7							Ø u t												
163-7							s ə t e												
212-7							ʔ e n												
244-7							ʔ a r n ə t												
248-7							m u r a												
293-7							Ø e r e z												
373-7							kʼ ɨ m a r												
408-7							w ɨ r a												
414-7							d ɨ w a kʼ u a												
601-7							ʔ ə r o												
642-7							n ɨ Ø a s												
60-7							n ə Ø e s e												
115-7							ʔ ə n a m												
209-7							s ɨ m ɨ t												
242-7							ʔ a m ɨ s t												
415-7							z ɨ r a w												
450-7							z ə r												
490-7							t ə pː w e m												
638-7							s ɨ n e												
645-7							kʼ a r												
75-7							ʔ a m ɨ r												
160-7							d ə r e kʼ												
208-7							ʔ ɨ n kʼ w ɨ r												
214-7							ʔ a pː												
218-7							ʔ ɨ n z ɨ r												
378-7							ʔ a n g e t												
379-7							Ø ə e												
409-7							g a t ə r												
497-7							t ə n												
598-7							x w e t												
646-7							ʔ a x ə												
164-7							ə kʼ e												
210-7							z e x w e r e												
215-7							ʔ a t e t												
256-7							t u m a												
285-7							m ɨ d a d												
332-7							ʔ ə g ɨ r												
380-7							ʔ a w a												
412-7							s a x ɨ n												
496-7							w u r s ə n w ə t												
64-7							d a m o												
67-7							w ɨ r												
169-7							n e z ə z ə m												
251-7							Ø ɨ kʼ ə												
294-7							m w ə kʼ												
461-7							Ø e												
547-7							w ɨ z a t												
597-7							ʔ e d ə n a												
655-7							m ɨ s t												
7-7							ʔ a n g a												
158-7							kʼ ə m ɨ s												
168-7							ʔ ɨ m a r												
296-7							ə u t												
372-7							ə n Ø ə r												
374-7							w ə kʼ o Ø o												
385-7							w ɨ Ø ə t												
411-7							t ɨ r a s												
500-7							ʔ ɨ m ɨ r												
6-7							m ə r a m a												
17-7							ʔ ə ʔ ɨ r												
123-7							s e m e												
252-7							n ə ʔ ə w ə												
421-7							w ɨ Ø e												
448-7							kʼ e d a n s e n e t												
449-7							ʔ a e												
491-7							d ɨ n g ə t												
545-7							x ɨ n o												
596-7							n ə g e												
653-7							w ə t ɨ t												
8-7							kʼ ə w ə t o												
254-7							tʃ ɨ m a t												
290-7							ʔ a g ə z ə												
460-7							x ɨ t												
489-7							w ə r Ø u m a												
552-7							z ɨ												
652-7							ʔ e n t e t a												
3-7							ɨ n e												
61-8								d ə m											
63-8								ʔ a t ɨ m											
107-8								g a m e n a											
112-8								d a b ə r a											
331-8								n ɨ g w s											
377-8								b ə kʼ ɨ r ə											
381-8								ʔ a t											
417-8								r u z											
451-8								s ə b a t											
454-8								ʔ a tʃʼ ɨ r											
484-8								s ɨ d ɨ s t											
535-8								ʔ a s ɨ r											
543-8								s ə s t											
593-8								ʔ a m u s											
640-8								m w a n											
1-8								d ə p ə r ə m											
65-8								Ø u w											
163-8								s ə tʃʼ ə											
212-8								ʔ e n											
244-8								ʔ a r ə t											
248-8								m u r a											
293-8								Ø ə r ə z											
373-8								kʼ ɨ m a r											
408-8								b ə w r a											
414-8								d ə b a kʼ u a a											
601-8								ʔ ə r ə b											
642-8								n ɨ kʼ a s											
60-8								n ə kʼ ə s ə m											
115-8								ʔ ə r a m											
209-8								s ɨ n t											
242-8								ʔ a m ɨ s t											
415-8								z ɨ r a b											
450-8								z ə r											
490-8								ə p w ə m											
638-8								s ɨ n e											
645-8								kʼ a n											
75-8								ʔ a m b ɨ r											
160-8								d ə r ə kʼ											
208-8								ʔ ɨ n kʼ w ɨ r a											
214-8								ʔ a b											
218-8								ʔ ɨ n z ɨ r											
378-8								ʔ a n g ə t											
379-8								Ø ə ə											
409-8								g e t ə r ə											
497-8								t ə n											
598-8								h w e t											
646-8								ʔ a h ə											
164-8								b ə kʼ ə m											
210-8								z ə h w ə r a											
215-8								ʔ a t e b ə t											
256-8								t u m a											
285-8								m ɨ d a d											
332-8								ʔ ə g ɨ r											
380-8								ʔ ə h w a											
412-8								s a h ɨ n											
496-8								w i r s ə n b ə t											
64-8								d a m ə											
67-8								w ɨ r											
169-8								n ə z ə z ə m											
251-8								Ø ɨ kʼ											
294-8								m ə kʼ											
461-8								Ø ə											
547-8								w ɨ z a t											
597-8								ʔ e m ə n a											
655-8								m ɨ s t											
7-8								ʔ a n g a											
158-8								kʼ ə m ɨ s											
168-8								ʔ ɨ m a r											
296-8								j ə h u t											
374-8								b ə kʼ ə Ø ə											
385-8								w ɨ Ø ə t											
500-8								ʔ ɨ m ɨ r											
6-8								m ə r kʼ a m a											
17-8								ʔ ə h ɨ r											
123-8								s e m ə											
252-8								n ə ʔ ə b ə m											
421-8								b ɨ Ø ə											
448-8								kʼ ə d a n s ə n b ə t											
449-8								ʔ a ə											
545-8								h ɨ n ə											
596-8								n ə g ə											
653-8								b ə t ɨ t											
4-8								g ɨ ə											
8-8								kʼ ə b ə t ə											
254-8								tʃ ɨ m a t											
290-8								ʔ a g ə z ə m											
339-8								b ə kʼ ɨ r											
460-8								h ɨ t											
489-8								b ə r tʃʼ u m a											
552-8								z ɨ											
652-8								ʔ ə t e t a											
3-8								h ɨ n ə											
61-9									d ə m										
63-9									ʔ a Ø ɨ m										
107-9									g a m ɨ r a										
112-9									d a b ə r a										
331-9									n ɨ g w s										
377-9									b ɨ kʼ r ə										
381-9									ʔ a t										
417-9									r u z										
451-9									s ə b a t										
454-9									ʔ a j ɨ r										
484-9									s ɨ d ɨ s t										
535-9									ʔ a s ɨ r										
543-9									s ə s t										
593-9									ʔ a m u s										
640-9									m w a n										
1-9									d ə p ə r ə										
65-9									Ø u b										
163-9									s ə j ə										
212-9									ʔ ə n										
244-9									ʔ a r b ə ʔ t										
248-9									m u r ʔ a										
293-9									Ø ə r ə z										
373-9									kʼ ɨ m a r										
408-9									b a r a										
414-9									d a b a kʼ u ɨ a										
601-9									ʔ ə r a b										
642-9									n w a s										
60-9									n ə ə s ə										
209-9									s ɨ ɨ ɨ t										
242-9									ʔ a m ɨ s t										
415-9									z a r a b										
490-9									t ə p w ə										
638-9									s ɨ n ə ʔ										
645-9									kʼ a r										
75-9									ʔ a m b ɨ m										
160-9									d ə r ə kʼ										
208-9									ʔ ɨ n kʼ w m a										
214-9									ʔ a b ə										
218-9									ʔ a n z a r										
378-9									ʔ a n g ə t										
379-9									Ø ɨ ə										
409-9									g ə t ə r ə										
497-9									t ə n										
598-9									x w t										
646-9									ʔ a t ə										
164-9									b ə Ø ə										
210-9									z ə x w ə r ə										
215-9									ʔ a t ɨ b ə t										
256-9									t u m a										
285-9									m ɨ d a d										
332-9									ʔ ə g ɨ r										
380-9									ʔ a x w										
412-9									s a x ɨ n										
496-9									w u r s ə n b ə t										
64-9									d a p ʔ ə										
67-9									w ɨ r										
169-9									n ə z ə z ə m										
251-9									Ø ɨ kʼ										
294-9									m ə kʼ										
461-9									Ø ə										
547-9									w a z a t										
597-9									ʔ ɨ m ə n ə										
655-9									m ɨ s t										
7-9									ʔ a m g a										
168-9									ʔ ɨ m a r										
296-9									j ə x u t										
372-9									g ə n ə r										
374-9									b ə kʼ ə Ø ə										
375-9									s ə b										
385-9									w ɨ Ø ə t										
411-9									w w t ɨ r w w a s										
500-9									ʔ a m a r										
541-9									kʼ ə tʃ ɨ n										
6-9									m ə r g a m a										
17-9									ʔ ə x ə m										
113-9									b u n a										
123-9									s ə m ə ʔ										
252-9									n ə Ø ə b ɨ										
421-9									b ɨ Ø ə										
448-9									kʼ ɨ d a n s ə n b ə t										
491-9									d ɨ n g ə t										
545-9									x ɨ n ə w										
596-9									n ə g ə										
653-9									b ə t ɨ t										
4-9									g ɨ b ə										
8-9									kʼ ə b ə t ə										
254-9									d ə m ʔ a t										
339-9									b ə kʼ a r										
489-9									b ə r Ø u m a										
552-9									z ə										
652-9									ʔ ə t t ə										
61-10										d a m									
63-10										ʔ aː tʼ u m									
107-10										g aː m u l aː									
112-10										d aː b a aː									
331-10										i g aː s									
377-10										b u kʼ n l o									
381-10										ħ aː d									
417-10										r aː z									
451-10										s o b n ħ									
454-10										ħ a n tʃʼ i r									
484-10										s i d i s n									
535-10										ħ aː s i r									
543-10										s u s n									
593-10										ħ a m aː s									
640-10										m aː									
1-10										d a b a r a									
65-10										tʼ aː b									
163-10										s a tʃʼ a									
212-10										ħ i									
244-10										ʔ aː r b o n									
248-10										m aː l u									
293-10										f a r a tʃʼ									
373-10										kʼ i m aː l									
408-10										b u r aː									
414-10										d ə b kʼ aː uː a									
601-10										ʔ o r u b									
115-10										ʔ l aː m									
209-10										s uː m u ħ									
242-10										ħ aː m i s n									
415-10										z i m aː b									
490-10										ħ a b a									
160-10										d a r a kʼ aː									
208-10										ʔ u kʼ ə aː l a									
218-10										ʔ i z i m									
378-10										ħ aː n g a ħ									
379-10										z a ħ a									
497-10										a n									
598-10										l r uː n									
646-10										ʔ aː a									
164-10										b a tʃʼ j j i j									
210-10										d a ħ a n i									
256-10										aː m a									
285-10										m i tʼ aː d									
380-10										ħ o ħ aː ħ									
412-10										s a ħ aː n									
64-10										d aː b i									
169-10										b o r j a z a z									
461-10										j j Ø o									
547-10										w i z aː ħ									
411-10										tʼ u r aː s									
541-10										kʼ ə tʃʼ i									
113-10										b aː n u									
123-10										s u m i j									
491-10										d i n g a ħ									
254-10										g aː m aː ʔ aː tʼ									
339-10										b a kʼ ə l									
602-10										m i									
2-10										aː l a m									
61-11											d ə m								
63-11											ʔ a t ɨ m								
107-11											g a m e r a								
112-11											d a b ə r a								
331-11											n ə g w s								
377-11											b ʔ ɨ kʼ m ɨ r ə								
381-11											ʔ a t ʔ								
417-11											r u Ø								
451-11											s ə ʔ b a t ʔ								
454-11											ʔ a ə r								
484-11											s ɨ d ɨ s t								
535-11											ʔ a s ɨ r								
543-11											s e ʔ ʔ s t								
593-11											ʔ a m m u s								
640-11											m w a n								
1-11											d ə p ə r ə m								
65-11											Ø u w								
163-11											s ə ə								
212-11											ʔ e n ʔ								
244-11											ʔ a r b ə ʔ ʔ d ʔ								
248-11											m m u r ʔ ʔ a								
293-11											Ø ə r ə Ø								
373-11											kʼ ə m a r								
408-11											b a ʔ r a								
414-11											d ə b a kʼ u j a								
601-11											ʔ ə r a w								
642-11											m m n ʔ a s								
60-11											n ə ʔ ə s ə m								
115-11											ʔ ə r a ʔ m								
209-11											s ə ʔ a d ʔ								
242-11											ʔ a m ʔ ə s d ʔ								
450-11											Ø ə r ʔ ʔ ʔ								
490-11											t ə p ʔ w ə m								
638-11											s ɨ ə n e ʔ								
645-11											kʼ a r								
75-11											ʔ a m b ɨ r								
160-11											d ə r ə kʼ								
208-11											ʔ a n kʼ w a r n ʔ								
214-11											ʔ a b a								
218-11											ʔ ə n Ø ə r								
378-11											ʔ a n g ʔ ə d ʔ								
379-11											Ø ə j ə ʔ								
409-11											g e d ə r ə								
497-11											t ə n								
598-11											ʔ w t								
646-11											ʔ a x ə								
164-11											b ə k ə								
210-11											Ø ə ʔ ə r a								
215-11											ʔ a ʔ t e b ə d								
256-11											d u Ø a								
285-11											m ə d a d								
332-11											ʔ ə g ɨ r								
412-11											s a ʔ ɨ n ʔ								
496-11											w ʔ r s ə n b ə d ʔ ʔ ʔ ʔ								
64-11											d a b ʔ ʔ a								
67-11											w ɨ ʔ ʔ r								
169-11											n ə ʔ ə Ø ə ə								
251-11											Ø e ʔ ʔ								
294-11											j ə m ʔ w ə kʼ ə ʔ								
461-11											Ø								
547-11											w a Ø a t								
597-11											ʔ ə ə m ə n ə								
655-11											m ə ʔ s ʔ t								
7-11											ʔ a r g a								
168-11											ʔ ə m a r								
296-11											j a h ʔ ʔ d ə								
372-11											k ə n ʔ ə r								
374-11											b ə ʔ ə Ø a								
375-11											s ə b m m								
385-11											w ɨ Ø ə t								
500-11											ʔ ə m ə r								
541-11											kʼ ə g ɨ n								
6-11											m ə r k a m a								
17-11											ʔ ə ʔ ɨ r								
252-11											n ə ʔ ə b ə m								
421-11											b ə Ø a								
448-11											kʼ ə d a n ʔ s ə n b ə t								
449-11											ʔ a ʔ s ə m								
491-11											d ə g ə d								
545-11											ʔ ə n ə ə								
596-11											n ə g ə								
653-11											b ə t a d								
4-11											g j ɨ Ø ə								
106-11											m ə a ʔ a m								
254-11											g i m ʔ a d								
339-11											b kʼ ə r								
460-11											ʔ j ɨ d ɨ								
489-11											b ə r Ø u m a								
652-11											ʔ t d a								
3-11											h a n ʔ a								
61-12												d ə m							
63-12												ʔ a sː ɨ m							
107-12												g a m a l a							
112-12												d a b ə n a							
331-12												n ɨ g s							
377-12												b ə kʼ l ə							
381-12												ʔ a dː							
417-12												r u							
451-12												s ə b t							
454-12												ʔ a tʃʼ ɨ r							
484-12												s ɨ dː ɨ s t							
535-12												ʔ a sː ɨ r							
543-12												s o s t							
593-12												ʔ a m u s							
640-12												m a n							
1-12												d ə b ə r ə m							
65-12												Ø u b							
163-12												s ə tʃʼ ə							
212-12												ʔ a n							
244-12												ʔ a r b a t							
248-12												m u l a							
293-12												f ə r ə sː							
373-12												kʼ ɨ m a n							
408-12												b ə r a							
414-12												d ɨ b a kʼ u a							
601-12												ʔ ə r o b							
642-12												n ɨ f a s							
60-12												n ə f ə s ə							
115-12												ʔ a m a m							
209-12												s ɨ m ɨ t							
242-12												ʔ a m ɨ s t							
415-12												Ø ɨ n a b							
450-12												ə r							
490-12												t ə b ə							
638-12												s ɨ r o							
645-12												kʼ a l							
75-12												ʔ a m b ɨ n							
160-12												d ə r ə kʼ							
