COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
149-3			t i u k							
160-3			k e w e k							
52-4				i t e						
56-4				m						
96-4				a t						
99-4				i r i n						
114-4				t o k						
115-4				u r						
133-4				t i p a r						
144-4				a t w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ						
1-4				w a s a						
2-4				w r m						
65-4				i w						
74-4				p a n a						
93-4				t p a						
95-4				w k						
106-4				t u n						
119-4				t i						
128-4				p o k						
147-4				t i m u						
231-4				p a n a w o						
232-4				p i						
239-4				n a m a k a n						
266-4				i ʒ̟ i m						
3-4				a k o						
4-4				w a						
51-4				w i						
97-4				m p m						
109-4				tʃ p e						
121-4				k a p i a k						
149-4				t o k						
160-4				k i r i k						
163-4				u p n						
52-5					e t e					
56-5					i m e					
96-5					a r a s i					
99-5					a r e k e					
114-5					t o k s i					
115-5					e r e s i					
133-5					t i p r a s i					
144-5					a r a a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k s n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					f m					
65-5					u w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					k i k i					
106-5					t e n s i					
119-5					s i t i s i					
128-5					f o k s i n a n					
147-5					t i m i s i					
239-5					n a m a k a n					
266-5					i t i m					
3-5					w a r u k					
4-5					w a r t i					
51-5					u w e					
55-5					i s a m					
97-5					a f o m					
109-5					p i j e s i					
149-5					t o k					
160-5					k e r i k					
163-5					i p e n					
52-6						e t a				
56-6						s m e				
96-6						t a tʃ a tʃ i				
99-6						t a tʃ a n p e				
114-6						t u k i tʃ i				
115-6						u tʃ e tʃ i				
133-6						tʃ i p a i tʃ a tʃ i				
144-6						t a t a a tʃ i				
150-6						k a tʃ				
234-6						a k o m				
236-6						p a k				
241-6						a tʃ i n				
249-6						i tʃ e				
1-6						a h a				
2-6						m p				
65-6						i i				
74-6						p e a a				
93-6						t p a tʃ e tʃ e				
95-6						w i tʃ e				
106-6						tʃ tʃ n i tʃ e				
119-6						i tʃ a tʃ i tʃ i				
128-6						o g e tʃ i				
147-6						tʃ e m e tʃ i				
231-6						p a n a w o w				
232-6						u p i u o				
239-6						a m a k a n				
266-6						p i tʃ i n				
3-6						a e k u				
4-6						w a t i				
55-6						e tʃ a m				
97-6						a a tʃ o a i				
109-6						p a e tʃ i				
160-6						g e e tʃ				
52-7							i t s			
56-7							s m s			
96-7							a s			
99-7							r i s			
114-7							t u k i			
115-7							s r a			
133-7							t i p a s a			
144-7							a s a			
150-7							k a w			
234-7							k o m			
236-7							p i k s n			
241-7							a w i n			
249-7							i r s			
1-7							w a t a n			
2-7							s m			
65-7							i w n i			
74-7							p a n a			
93-7							t p a i i			
95-7							w a s			
106-7							t n a			
119-7							s a t i i			
128-7							p u k a i			
147-7							t i m i i			
231-7							p a n a u			
232-7							p i			
266-7							i t i m			
3-7							a r i k u			
4-7							w a s i			
51-7							r v e			
55-7							i a m s			
97-7							m a r o m a			
109-7							ʃ p a i a d i n			
121-7							k a p a s a k a			
149-7							t o k			
160-7							k i r e i k			
163-7							s p n			
52-8								s t s		
56-8								s m s		
96-8								a r a s		
99-8								a r y s		
114-8								t u k i s i		
115-8								y p r s i		
133-8								t i p r a s i		
144-8								a r a a s i		
150-8								k a w		
234-8								k u m		
236-8								p a k s n		
241-8								a w i p		
249-8								i s s		
1-8								w a s a		
2-8								s m		
65-8								i w b i		
74-8								p a n a		
93-8								t u p a r y s i		
95-8								w i b		
119-8								p i t i s i		
231-8								p a s a o		
232-8								b s p i p o		
239-8								n a m a k a n		
3-8								a r y k y y y u		
4-8								v a r y t i b		
51-8								j w s		
55-8								i s a m		
109-8								s b i s i		
121-8								k a p i p a k a s		
149-8								t u k		
163-8								j p y y j n		
52-9									i t ʃ ʔ	
56-9									ʃ m ʃ	
96-9									a r a t ʔ	
99-9									a r a ʃ u	
114-9									t o k u ʃ i ʔ	
115-9									ʃ r ʃ ʃ i ʔ	
133-9									t i p a r a ʃ i ʔ	
144-9									a r u w a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p a k ʃ n	
241-9									a a w i n	
249-9									i ʃ ʃ	
1-9									w a t a ʔ	
2-9									w ʃ m ʔ	
65-9									i w ʔ	
74-9									p a n a	
93-9									t o p a r i ʔ ʃ i ʔ	
95-9									a w k i ʃ ʔ	
106-9									t j n ʃ i	
119-9									ʃ a t i ʔ ʃ i ʔ	
128-9									k o k i n ʃ i	
147-9									t i m i ʃ i	
231-9									p a n a u ʔ	
232-9									p i t ʔ u	
239-9									n a m a k a n	
266-9									i ʃ i m	
3-9									w r i k u	
4-9									w a r r i ʔ	
51-9									j w ʃ	
55-9									i ʃ a a m	
97-9									m a o m	
109-9									p k i ʃ i	
121-9									k a p a ʃ a ʃ ʔ	
149-9									t o k	
160-9									k i r i k	
163-9									ʃ p a n	
52-10										t i
56-10										y m tʃ ʔ
96-10										a r a t
99-10										a r i tʃ o n
114-10										t a k i tʃ i ʔ
115-10										tʃ t tʃ tʃ i ʔ
133-10										tʃ i p a r a tʃ i ʔ
144-10										a r a t i tʃ i
150-10										k a w ʔ
234-10										k o m
236-10										p a k y n
241-10										a w i n
249-10										i tʃ tʃ ʔ
1-10										w a tʃ a
2-10										w i m
65-10										i w i
74-10										p a n a
93-10										t p o r i tʃ i
95-10										w i i
106-10										tʃ n i tʃ i
119-10										tʃ i t i i
128-10										h a k i tʃ i
147-10										tʃ y m i tʃ
231-10										p a n a tʃ a ʔ
232-10										p i tʃ a ʔ a
239-10										a m a k a n
266-10										t i m
3-10										w a t i k a
4-10										w a r i
51-10										tʃ w ʔ
55-10										i tʃ a m
97-10										m a h o m a
121-10										k a p a ʔ a k a tʃ i ʔ
149-10										tʃ o k a
160-10										k i r i k
163-10										y p i n ʔ
