COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
179-2		t a								
45-2		n o n o j a m a								
84-2		i a								
131-2		i u								
146-2		i k i m a								
154-2		p e								
192-2		n n								
197-2		t i r i m								
235-2		n n n i w								
237-2		n a n a j i								
246-2		i p i								
250-2		m r o a a k o								
52-3			j e j a j							
56-3			u m j a							
96-3			a tʃ a tʃ a j							
99-3			a a j j a a j j j							
114-3			tʃ u k j j i j							
115-3			a j u j j tʃ i j							
133-3			a tʃ j j a j a tʃ i j							
144-3			j tʃ j j a tʃ a							
150-3			k a j a							
234-3			a k u m							
236-3			j j k u j							
241-3			j a j a j e							
249-3			i j j a							
1-3			j a j a							
2-3			a j u m j							
65-3			a j a i							
93-3			tʃ j j a j i j i							
95-3			a j i j a j a							
106-3			tʃ u m j e							
119-3			a ɲ a tʃ i tʃ i a							
128-3			j j i							
147-3			j e m i j e							
231-3			j a u a j j j							
232-3			j e j e j a j j							
239-3			j a m a j a j j							
266-3			v a a tʃ e a							
3-3			a ɲ i k a a j a							
4-3			ɲ a j a ɲ a							
55-3			i ɲ s a m a							
109-3			j a tʃ e j							
121-3			j j s a.j.a.r.a j j s j j j							
149-3			tʃ j							
160-3			k e ɲ e k							
207-3			m e							
112-3			s a i s a tʃ i s i							
125-3			k a s i m a j i							
134-3			j e j a tʃ i							
135-3			tʃ j r m j j a j r							
139-3			a m j j tʃ e a a a j							
57-3			tʃ a a							
71-3			i							
131-3			tʃ j j j j j a e m a j a							
146-3			j i j j i j							
227-3			j a e tʃ j							
52-4				i t						
56-4				u m						
96-4				a a						
99-4				a u n						
114-4				t o k						
115-4				n u r						
133-4				t u p a n						
144-4				a a a						
150-4				k a w						
234-4				k o m						
236-4				p u k u n						
241-4				a w i n						
249-4				i tʃ						
1-4				w a tʃ a						
2-4				u m						
65-4				i w						
74-4				tʃ a n a						
93-4				t a i						
95-4				n						
106-4				t u n						
119-4				i i						
128-4				j k						
147-4				t u m u						
231-4				tʃ a n a tʃ tʃ						
232-4				tʃ i						
239-4				n a m a k a n						
266-4				i tʃ i m						
3-4				a k a						
4-4				a i						
51-4				u w e						
97-4				a j o m						
109-4				tʃ p e						
121-4				k a p j a k						
149-4				t tʃ k						
160-4				k i r i k						
163-4				u p n						
167-4				p a p						
207-4				m i tʃ						
259-4				t tʃ a						
66-4				k a a k a j						
116-4				ʒ̟ p a k a i						
134-4				n i p a t						
135-4				u a n i						
139-4				i i m j n j j						
142-4				p a a m a						
145-4				k a a t i o i						
148-4				ʒ̟ a w a n						
162-4				i n i n						
166-4				i m i p						
179-4				t a u						
201-4				p						
21-4				a t a n						
24-4				k u r a n						
45-4				a n o a m a						
50-4				i n a tʃ						
57-4				t tʃ k tʃ w a n						
71-4				m						
84-4				p i w a n						
91-4				m p k p n						
131-4				t j k j j j i m						
146-4				u k u m a n u						
151-4				k i w						
154-4				w e p						
192-4				ʒ̟ u t						
205-4				i p a n						
227-4				m a p i t tʃ						
235-4				o o i						
237-4				n u m a						
246-4				i w i j						
250-4				m o a t o o n						
251-4				w a n a						
52-5					i e t e					
56-5					i m e					
96-5					e r a j i					
99-5					a r e e i e					
114-5					t o k e s i					
115-5					e e r e s i					
133-5					i t u p e r a s i					
144-5					a r r i s i					
150-5					k a w					
234-5					k o m					
236-5					p u k i.ʔ n i					
241-5					i i i a w u n					
249-5					i s e					
1-5					w a t a					
2-5					w m					
65-5					u w i i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					s i k i i					
106-5					t e n e i					
119-5					i s i t i s i					
128-5					f o k o i					
147-5					t i m y i					
239-5					n a a k a n					
266-5					e t i m					
3-5					w a r i k o					
4-5					w a r t i					
51-5					u w i					
55-5					i s a m					
97-5					e j i o m e					
109-5					e p i i j i					
149-5					t o k					
160-5					k e r e k					
163-5					i p i i e n.a.n					
167-5					p a					
207-5					m i ʔ					
259-5					t o w a					
66-5					k a r a k a i m					
112-5					t r a j i s i					
116-5					t o p a k e j i					
134-5					n.a.n i p a t i					
135-5					t o j i i i p e p y m					
139-5					e m o n i i i					
142-5					p a r a m a i					
145-5					k a r e t a s i					
148-5					t e r a w a n i i					
162-5					y n.a.n i n					
166-5					y m i					
179-5					t a					
201-5					p p					
21-5					k a t o s.i					
45-5					j w j j a m					
50-5					i n a f					
71-5					m i					
84-5					p i w a s					
91-5					m i k o n					
146-5					k i m i a					
151-5					k i w					
154-5					w e					
192-5					t y t					
197-5					t e r e m					
205-5					i p a n					
235-5					j o w i					
237-5					n i m a j i					
250-5					e e r i e k e n					
251-5					w a n a					
52-6						t a t i a				
56-6						u u u				
96-6						a s a u i p.e.p.e				
99-6						i t e u a i p i a				
114-6						t u k tʃ tʃ i				
115-6						tʃ tʃ s tʃ i				
133-6						t i u i s a u i				
144-6						a u s a tʃ i				
150-6						k a u				
234-6						i k u u				
236-6						u u k u u i				
241-6						p.e.p.e i p.e.p.e a u i k				
249-6						i u u u				
1-6						k a tʃ.i.r.a.m a				
2-6						k k i k e				
65-6						i tʃ i tʃ i				
74-6						k a k a				
93-6						t u u a u i tʃ i				
95-6						u a w w i tʃ w				
106-6						t tʃ u i p.e.p.e i tʃ i w				
119-6						i u a i u i u				
128-6						k u u i tʃ i p.e.p.e				
147-6						tʃ i u i tʃ i p.e.p.e				
231-6						m a u a w w				
232-6						u u m i u u p.e.p.e				
239-6						a s a a n p.e.p.e				
266-6						i a i t i i n				
3-6						k a u i k u				
4-6						w a p u i k				
55-6						u u a u				
97-6						k a k k k i w i w				
109-6						k p k k i tʃ i				
160-6						p e tʃ i k				
207-6						m i k				
112-6						t a p u a p a s i				
116-6						t p p a a a a				
125-6						u a i m a u				
134-6						p i p a tʃ.i.r.a.m i				
135-6						u i w u tʃ i w				
139-6						w i k k k u k i				
201-6						k k a p.e.p.e				
21-6						k k k p a k				
24-6						tʃ e k k k i k				
57-6						t tʃ k k w a i k				
131-6						t tʃ k tʃ i k				
227-6						m a m i t i u				
52-7							u i t s s			
56-7							u s m e u			
96-7							u i s a s			
99-7							u u s i u s o s			
114-7							t o o s i			
115-7							s s s s i			
133-7							u t i s i s a s i			
144-7							u s a s i			
150-7							a v u			
234-7							u o m			
236-7							s i s s			
241-7							i a v i			
249-7							i s e u			
1-7							a n a			
2-7							i s m s			
65-7							i i s i			
74-7							s a s a			
93-7							t o s a s i j i			
95-7							u v u i s i			
106-7							t n e			
119-7							u p t i j u			
128-7							r.e o o			
147-7							t i m			
231-7							s a n a v o s			
232-7							s e s u i s			
266-7							u i r.e i m s			
3-7							v o h u			
4-7							v a t i s			
51-7							r.e v e s			
55-7							s i a m s			
97-7							m a r.e k.i o m i i			
109-7							ʃ n i i ʃ i			
121-7							a s r.e a			
149-7							t o			
160-7							i r.e i			
163-7							s s s s o s s			
167-7							s a s			
207-7							m i r.e			
259-7							t o w a s			
66-7							a p a a i v			
125-7							i t m i u			
135-7							t i m i i			
142-7							r.e a p a m a p i			
145-7							k a i t i s i			
148-7							z p a w r.e i p i			
162-7							i r.e i			
166-7							i m i s			
179-7							t a u u			
201-7							r.e ë.b			
21-7							i i i i a ʃ			
24-7							ʃ a o ʃ i i a ʃ			
50-7							i n a r.e			
57-7							t o n a n a n			
71-7							u m			
84-7							r i w a r			
131-7							t n k i i i i i i i i i n i			
146-7							i k i m u r u u i			
151-7							i w			
197-7							t e m s			
205-7							i r.e a n			
227-7							n a n n t o n			
237-7							a m a p i s			
246-7							e v e v			
250-7							n j j e u t e k o			
251-7							w a n a			
52-8								s t s b		
56-8								s m s		
96-8								a r a s		
99-8								a s y r s b y		
114-8								t s s s		
115-8								s s s		
133-8								t i s r a s		
144-8								a r a y a s i		
150-8								s a y		
234-8								s s		
236-8								s a s s s		
241-8								a i s		
249-8								i s s		
1-8								a t a u.p.a		
2-8								y b s y y		
65-8								i y v y		
74-8								s a s a		
93-8								t s s a u.p.a y s i		
95-8								y i b y b b y		
119-8								y b i t i s i y		
231-8								o a s a b o b		
232-8								b y y o i j y o		
239-8								j a a u.p.a a j		
3-8								b b u.p.a y u.p.a y y y n		
4-8								a u.p.a y j y n		
51-8								j v s y		
55-8								i s v a m y		
109-8								s s b i s y		
121-8								s a o i b a s s		
149-8								t s s y		
163-8								o s y y a j y		
167-8								s a v		
259-8								t s v a k		
66-8								s b s a s a e v		
112-8								t r a i s i		
116-8								t u.p.a u.p.a a u.p.a a s i		
125-8								a t i m a s i		
145-8								s a y y t i s i		
45-8								y y j a a		
91-8								u.p.a u.p.a u.p.a u.p.a		
235-8								s u.p.a v i k		
246-8								i i		
250-8								j o k e t k k k o k		
52-9									a w ʔ	
56-9									ʔ m e	
96-9									a r a t ʔ	
99-9									a r a e	
114-9									t o k i ʔ	
115-9									w e i ʔ	
133-9									w t a p a r a i ʔ	
144-9									a r a w a i	
150-9									k a w ʔ	
234-9									a k o m	
236-9									p a k e n	
241-9									w a w a w i n	
249-9									i e e	
1-9									w u t u	
2-9									w w i w m w w	
65-9									a w w w	
74-9									p a n a	
93-9									t a p u r i ʔ i ʔ	
95-9									a w i ʔ	
106-9									t e n e i	
119-9									e a w i e i	
128-9									e k e i	
147-9									t i m i e i	
231-9									a n a w ʔ ʔ	
232-9									i w w	
239-9									a m a k a n	
266-9									a ʃ i m	
3-9									w r i k o w	
4-9									w a w i ʔ	
51-9									ʔ w e ʔ	
55-9									i ʔ a a m ʔ	
97-9									m a p e m a	
109-9									i i	
121-9									k a p a ʔ a	
149-9									t k	
160-9									i r i	
163-9									ʔ p ʔ ʔ a n ʔ	
167-9									w p a ʔ	
207-9									m i e	
259-9									t o w a ʔ	
66-9									k a r a k a ʔ w	
112-9									t a r a j a j i ʔ	
116-9									t o p a k	
125-9									k a p i a i ʔ	
134-9									n a p a t i	
135-9									m ʔ m m m	
142-9									p a r a m a i	
145-9									k u u t a i	
148-9									t r a w a n a i	
162-9									i ʔ p i n ʔ	
166-9									i m i ʔ	
179-9									t a ʔ	
201-9									p i	
21-9									w t a n	
24-9									w.a i ʃ	
45-9									e i m a ʔ	
50-9									i n a ʔ	
57-9									t i i w a	
71-9									i m i	
91-9									m j k o n	
151-9									k i w ʔ	
154-9									w e e	
192-9									t e t	
197-9									t i m ʔ	
205-9									i p a n	
227-9									m a w i t i ʔ	
235-9									e o w i ʔ	
237-9									n a m a p a ʔ	
246-9									i w i ʔ	
251-9									w a n a	
52-10										i t e
56-10										tʃ m e
96-10										a r a t
99-10										a r i i
114-10										t o k i tʃ i
115-10										tʃ r tʃ tʃ i
133-10										t i tʃ a r a tʃ i
144-10										a r a tʃ i tʃ i
150-10										k a w
234-10										k o m
236-10										tʃ i k tʃ
241-10										a w i n
249-10										i tʃ e ʔ
1-10										w a t a
2-10										w i m.ʔ
65-10										i w i
74-10										tʃ a a
93-10										t e tʃ a r i tʃ i.ʔ
95-10										w i i.ʔ
106-10										t tʃ n i tʃ i
119-10										i t i t i tʃ i
128-10										h o k i t i
147-10										t i m i tʃ y
231-10										tʃ a tʃ a w ø
232-10										e tʃ i t ʔ e
239-10										n a m a k a n
266-10										i t i m
3-10										w o r i h i
4-10										w a r i ɲ
51-10										tʃ w y t
55-10										i tʃ a m
97-10										m a w o m i h
121-10										k a tʃ i a a k i ʔ i
149-10										t o k
160-10										k i r i k
163-10										tʃ tʃ a
167-10										tʃ a
207-10										m.ʔ i w
259-10										t o w a
112-10										t a r a ʔ i i.ʔ ʔ
116-10										t a k.w a i ʔ
125-10										k a t i m a tʃ i a
134-10										n i tʃ a t i
139-10										t t t m o n i tʃ i
142-10										e tʃ a r a m i
145-10										k a r t i tʃ i h
148-10										tʃ r a w r a i
162-10										i i ʔ n
166-10										i m i
179-10										t a ʔ
201-10										h e
24-10										e k a
45-10										i.ʔ ʔ a tʃ a m a
50-10										i n a tʃ
71-10										a m i
84-10										tʃ i w a
91-10										m.ʔ o k r o
146-10										a k a m a a tʃ a ʔ a
151-10										k i w
154-10										w e ʔ
192-10										t ø t
197-10										ʔ t a t i m ʔ
205-10										i h a n
235-10										tʃ o w ʔ
237-10										n i m a tʃ i
250-10										m o r i t i a k i
251-10										w a n a
