COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
57-3			j a.j.a.r.a j a.j.a.r.a ɲ a.j.a.r.a a.j.a.r.a a.j.a.r.a							
71-3			tʃ i							
131-3			j a.j.a.r.a j a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a k a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a							
146-3			i k i tʃ e tʃ i e							
227-3			j a.j.a.r.a ɲ a.j.a.r.a a.j.a.r.a j a.j.a.r.a a.j.a.r.a							
132-3			i m i i							
240-3			ʃ a.j.a.r.a m a.j.a.r.a a.j.a.r.a							
52-4				i t a						
56-4				tʃ tʃ i						
96-4				a a w						
99-4				a i tʃ						
114-4				t tʃ k i i						
115-4				tʃ r i i						
133-4				t i p a n i						
144-4				a a a i						
150-4				k a w m						
234-4				k tʃ tʃ						
236-4				p a k tʃ n						
241-4				a w i n						
249-4				i r i						
1-4				w a r a						
2-4				tʃ r						
65-4				i w						
74-4				p a n a						
93-4				t p a w i i						
95-4				i i i						
106-4				t r n i i						
119-4				w i i w i						
128-4				p r k i i						
147-4				t i i r						
231-4				p a n a w tʃ tʃ						
232-4				p i						
239-4				n a tʃ a k a n						
266-4				i i r						
3-4				a w a						
4-4				w a w i						
51-4				m w e tʃ						
97-4				r a w r r						
109-4				r p i r a i						
121-4				k a p i a k						
149-4				t r k						
160-4				k i r i k						
163-4				r p i n						
167-4				p a m						
207-4				r i r						
259-4				t r w a m						
66-4				i a r a i a w						
116-4				i w p a a i						
134-4				n i p a t i						
135-4				i a i						
139-4				t i j i o o n i o						
142-4				p a a r a i						
145-4				k a a t i i						
148-4				o a w a n i						
162-4				i n i n m						
166-4				i r i m						
179-4				t a m						
201-4				p a						
21-4				a t a n						
24-4				a k tʃ tʃ i a n						
45-4				i a i a						
50-4				i n a m						
57-4				t tʃ k tʃ w a n						
71-4				r w i						
84-4				p i w a n						
91-4				r r k r n						
131-4				t j k j j i j						
146-4				i k i w a i						
151-4				k i w						
154-4				w e m						
192-4				t m t						
205-4				i p a n						
227-4				tʃ a p i t tʃ m						
235-4				i						
237-4				w a w a w i						
246-4				i m i r						
250-4				m o o t p o p o p						
251-4				w a n a						
271-4				o i w m						
284-4				w i w i						
285-4				i r a w i n						
44-4				a w a w						
75-4				m p e r i						
79-4				t a i n						
94-4				i w i						
104-4				k i p i o n						
132-4				w w i w w						
153-4				r a k						
157-4				t a w a r						
174-4				p m r m						
177-4				t w						
240-4				t i m a k						
270-4				k a w a m i r						
52-5					e t e					
56-5					e m e					
96-5					o r a f					
99-5					o r e s e					
114-5					t o k o s i					
115-5					e r e j i					
133-5					t i p r a s o					
144-5					w o r e o s i j					
150-5					k a w					
234-5					k o m					
236-5					p u k p p					
241-5					a w i f					
249-5					i f e f					
1-5					w a t a j					
2-5					w p m					
65-5					i w					
74-5					p a s a					
93-5					t o p a r i s i ʔ					
95-5					s k i i					
106-5					t e r o ʔ i s i ʔ					
119-5					f o t i f					
128-5					f o k o s i ʔ					
147-5					t i m i s i ʔ					
239-5					n a e a k a t					
266-5					e t i o					
3-5					w a r i k o					
4-5					w a r t i					
51-5					e w e ʔ					
55-5					j a m					
97-5					a f r m o f					
109-5					t p e j i e p					
149-5					t o k					
160-5					k i r i k					
163-5					e p e e					
167-5					p a					
207-5					m i j					
259-5					e o w a					
66-5					k a r a k a w e					
112-5					t a r a s i s i j					
116-5					t o p a k e					
134-5					t i p a t i					
135-5					t o i i i i r r t t f					
139-5					n o o o k					
142-5					p a r a m o i ʔ					
145-5					k a r n a j o j					
148-5					t o r a w a r o o ʔ					
162-5					e e i r					
166-5					i m i					
179-5					t a					
201-5					p e					
21-5					k a r a t					
45-5					f n w o n a m a					
50-5					i n a ʔ					
71-5					t m i					
84-5					p i w a e					
91-5					m o k o n					
146-5					k i m o ʔ ʔ ʔ i					
151-5					k i w					
154-5					w r					
192-5					t o t					
197-5					t e r ʔ ʔ e m ʔ w					
205-5					i p a j					
235-5					n o w i f					
237-5					f i m a f i					
250-5					e e e e e i k e ʔ					
251-5					w a n a					
267-5					t o w a					
271-5					e i w					
284-5					w i s i					
285-5					i r a w i n					
39-5					e a r i m a j					
42-5					t r a m a j					
44-5					w o r n a m					
75-5					r p t r t w					
79-5					t a i t					
94-5					t k w o r r t w					
104-5					k a n w t r					
122-5					p i k i s a s i ʔ					
153-5					n a k					
157-5					t a t o m					
174-5					n t r t					
177-5					t o t					
270-5					k a w a n i j					
52-6						a s				
56-6						s				
96-6						e s s				
99-6						e s s e				
114-6						s s p.e.p.e s e				
115-6						s e s i				
133-6						tʃ s s e s				
144-6						e s s s				
150-6						s e e				
234-6						s				
236-6						s s				
241-6						e s n				
249-6						s				
1-6						tʃ a tʃ.i.r.a.m a				
2-6						k tʃ e				
65-6						a i p.e.p.e i				
74-6						s e s e				
93-6						s s a s e s				
95-6						s e s s				
106-6						tʃ e k e e k i				
119-6						e s a s s e				
128-6						k p.e.p.e k i				
147-6						tʃ i k i k tʃ				
231-6						m n a p e				
232-6						m s p.e.p.e				
239-6						s s s n p.e.p.e				
266-6						a p i				
3-6						k a tʃ i k e e e				
4-6						tʃ a p tʃ i				
55-6						e s				
97-6						tʃ tʃ k k i p.e.p.e				
109-6						p k tʃ i				
160-6						p e tʃ i				
207-6						tʃ i				
112-6						tʃ.i.r.a.m a s p a s				
116-6						tʃ.i.r.a.m s s s				
125-6						m m e p e				
134-6						t i p i tʃ.i.r.a.m i i i				
135-6						k e s k tʃ i				
139-6						k k p.e.p.e k i				
201-6						p i p.e.p.e				
21-6						k i k tʃ tʃ tʃ				
24-6						t e k tʃ tʃ i i i tʃ				
57-6						p k tʃ r a				
131-6						k i tʃ i				
227-6						m a m i p i e				
267-6						tʃ.i.r.a.m p				
132-6						m e m				
240-6						tʃ i m a				
52-7							k.i e z ë.b i			
56-7							n m e			
96-7							i h i t.e i			
99-7							i k.i a p i k.i n e i			
114-7							p o k k.i j i			
115-7							k.i k.i n p k.i j i			
133-7							i n a p i h i p i			
144-7							a p a p i h i			
150-7							k i p			
234-7							i k o m			
236-7							p e k n p			
241-7							i i p i p			
249-7							i p e			
1-7							p a n a k.i			
2-7							j n n			
65-7							i n i i			
74-7							p a p a			
93-7							z o h i h i j i			
95-7							i h i k i j i			
106-7							z n p i i p i p			
119-7							i h i z i j i			
128-7							p o k k.i p i			
147-7							z i m i p i			
231-7							p i p i p o n			
232-7							n e p i i p i i o			
266-7							k.i i i z i m i			
3-7							i i h i i			
4-7							h i h i j			
51-7							p e			
55-7							u i p i m i			
97-7							m a p i k.i o m i i i			
109-7							ʃ n i n i m i i			
121-7							k a p a p a k i j			
149-7							z o k			
160-7							k i h i ʃ			
163-7							p v v o p v			
167-7							p a p			
207-7							m i			
259-7							z o p a v			
66-7							k a p a k a v p			
125-7							m i p i m i j i u			
135-7							i i m i i i m i m i			
142-7							p a p a m i p i			
145-7							k a p i z p i			
148-7							h a p i p a p i p i			
162-7							p i p			
166-7							m i			
179-7							z a			
201-7							p k.i ë.b			
21-7							i i i i ʃ a ʃ			
24-7							ʃ a k o ʃ i i k.i a ʃ			
50-7							p a			
57-7							n ʃ i n i n			
71-7							m i			
84-7							w a w a j			
131-7							n n ʃ i i i i i i i k.i i n i i			
146-7							i k i m i i r i			
151-7							k i p			
197-7							z p i m u			
205-7							p a p			
227-7							n i n n i n i i			
237-7							h a m a h i i			
246-7							a p a i			
250-7							j o w e j i p e k o j			
251-7							p a p a			
267-7							z u p i			
271-7							w a j i n i			
284-7							h i z i			
285-7							i p a p i p			
122-7							p a k a p a p i u			
132-7							n m i i			
240-7							n i n i ʃ			
52-8								b w b b		
56-8								w b m b w		
96-8								w a a j		
99-8								b j e b w w w		
114-8								b b b s i		
115-8								w b j s i		
133-8								w b a b a b i		
144-8								w a b a b a b i		
150-8								b a b w		
234-8								b b b		
236-8								b j b b b w		
241-8								a b i b		
249-8								j s b		
1-8								b a j a		
2-8								j b b j m j j		
65-8								i b j j		
74-8								o a b a		
93-8								b b b j j s i		
95-8								b j b		
119-8								j i b i j w		
231-8								b a b a b b b		
232-8								b j b i j b		
239-8								m a j a b a b		
3-8								b j m j j j m		
4-8								b a b i j		
51-8								j o m j		
55-8								i a m v		
109-8								b b b j m		
121-8								b a b i b a b a s j		
149-8								m m m j		
163-8								o o j j j j v		
167-8								o a		
259-8								o o j a		
66-8								b a a b a v b		
112-8								a a i s i		
116-8								t t t a k a j i		
125-8								a i m a s i		
145-8								m a a m i m i		
45-8								j j j i a m a		
91-8								m j m j j j j m m		
235-8								t m i		
246-8								o		
250-8								j o j j k k k e k		
271-8								e e m j		
284-8								j m i m		
39-8								j a m i i m a n		
42-8								j i a m a n		
177-8								m m m		
52-9									p t w p w	
56-9									w p p p	
96-9									w a p a p t	
99-9									w w p a w p w u ʔ	
114-9									t o k i p i t	
115-9									w t p p p p i t	
133-9									w t i p r a p i t	
144-9									w t a w a p i t	
150-9									k a w	
234-9									w k o t	
236-9									p i k p p w	
241-9									t t a w i p	
249-9									i p p w	
1-9									w a t a t	
2-9									w t p w t w w	
65-9									i w w t w	
74-9									p a p a	
93-9									t u p u r p i	
95-9									a ʔ k i p i	
106-9									t p t t p ʔ p i t	
119-9									p a p i p	
128-9									p o k i p i t	
147-9									t p p i p p t	
231-9									p a p a w p p	
232-9									t p p i w p ʔ t p	
239-9									p u n a k u p	
266-9									a p i a p a	
3-9									w a r i r o r	
4-9									u r r i ʔ	
51-9									p w p ʔ	
55-9									i ʔ a k ʔ	
97-9									r a p o p i t ʔ a	
109-9									n p i w r i	
121-9									k a p a w a p a p i t	
149-9									t o k	
160-9									t p t	
163-9									p p w w p p t	
167-9									w w p a p	
207-9									t i p	
259-9									t o w u p	
66-9									k a p a k a w w	
112-9									r u p i p i	
116-9									t o p u k u r i	
125-9									k a p i p a p i ʔ	
134-9									p i p a t i a a a	
135-9									r i r i	
142-9									w p a t a p a p i t	
145-9									k a t ʔ t a t i t	
148-9									t t p a w a p i p i t	
162-9									i p i a p	
166-9									i p i p	
179-9									t a	
201-9									p t t p	
21-9									w a w a t a t p	
24-9									t p t p p a a a a a p	
45-9									a n n i p u k a	
50-9									i p a a p	
57-9									t r p w a w	
71-9									r m i	
91-9									k u k w w w w o p	
151-9									k i w ʔ	
154-9									a w p p	
192-9									t p t	
197-9									t t t t o k t	
205-9									i p a p t	
227-9									p a w i t ʔ ʔ	
235-9									p o w i ʔ	
237-9									p i a m a p o ʔ a a	
246-9									i w i	
251-9									w a p a a	
267-9									t o a	
284-9									a w i t i	
285-9									i p a a w i a p	
39-9									n u n i n i k u p	
42-9									k i k n u k u p	
44-9									w a r p a m	
75-9									p p p p a w	
79-9									t a t i a a p	
94-9									r k p a r p p i	
104-9									k a t p t w p p a	
122-9									r r p i k i p i p i	
153-9									a p a k	
157-9									t a r a m t	
174-9									p p p p a	
177-9									t o a a p	
270-9									k a w a i p	
52-10										t a t e w ʔ
56-10										t t m t ʔ
96-10										t a r a t t
99-10										a r i t e t t e ʔ
114-10										t o k a t i ʔ
115-10										t t t r t t i ʔ
133-10										e t a t e r a t i ʔ
144-10										t a r a t a t a
150-10										k a w t
234-10										ʔ k o t
236-10										t e k t t e
241-10										a w i t
249-10										i t t ʔ
1-10										w a t a ɲ
2-10										ʔ w ø ɲ m ɲ e
65-10										i w i w i
74-10										t a t a
93-10										t t t a r i t a
95-10										w.ʔ a a t a
106-10										t t t i t a
119-10										i t e t i t a
128-10										h o k i t ʔ t i
147-10										t i m i t i.ʔ
231-10										t a t a t t t
232-10										t e t i t ʔ ʔ t
239-10										t a m a k a t
266-10										t e e t i t e
3-10										w o r i h o
4-10										w.ʔ a r t t ɲ
51-10										ø w t t
55-10										i t a m
97-10										m a h o m a h ʔ
121-10										k a t a t a k a t t ɲ
149-10										t o k a
160-10										k i r i k
163-10										t t t t i t t
167-10										ʔ ʔ t a t
207-10										m i h
259-10										t o w a t
112-10										t t e r t a p i t i.ʔ t
116-10										t e t a h a t i e
125-10										k a t a t a t a
134-10										p i p a t i w w
139-10										t e t t m t t o t i
142-10										o h a r a m a t i ʔ
145-10										k a r a t i h i
148-10										t ʔ r a w r a h ʔ e i ʔ
162-10										i e h i ʔ h t
166-10										i m i t
179-10										t a t ʔ ʔ
201-10										t t
24-10										t k t t e t
45-10										m.e a e t p a m a
50-10										i h a t
71-10										o m i
84-10										t i w a t
91-10										m o k o r i k o j
146-10										a k a m ʔ a ʔ a
151-10										k i w t
154-10										ʔ w.ʔ ø ʔ
192-10										t ø t
197-10										ʔ ʔ t ʔ t ʔ a m t ʔ
205-10										i h a h
235-10										p t w i ʔ
237-10										h m a h e
250-10										m t r e t i a k a h
251-10										w a h a
267-10										t e w a
271-10										t r i j i
284-10										w.ʔ a i
285-10										i r a w i h
39-10										j a m a r i m a t
42-10										k i t r a m a t
44-10										w.ʔ a t p a m
79-10										t a ʔ i ʔ p
94-10										p k e r e p
104-10										k e p i r ø p i
122-10										t t k e i ʔ
132-10										t t e
153-10										i t a k
157-10										t a r e m
174-10										p t r i ʔ
177-10										t o
270-10										k a w.ʔ a t i j
