COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
266-9									a ʃ i m	
3-9									w u r i k u	
4-9									w a r r i ʔ	
51-9									p w j ʔ	
55-9									i ʔ a m	
97-9									m a e o m a	
109-9									p i i i i	
121-9									k a p a ʃ a k	
149-9									t o k	
160-9									k i r i k	
163-9									j p a n ʔ	
167-9									p a ʔ	
207-9									m i ʔ	
259-9									t o w a ʔ	
66-9									k a r a k a w	
112-9									t a r a j i j i	
116-9									t o p a k a	
125-9									k a a i m u i ʔ	
134-9									n a p a t i	
135-9									r u i m	
142-9									p a r a m a i	
145-9									k u u t a h	
148-9									t r a w a n i i	
162-9									i i i n	
166-9									i m i ʔ	
179-9									t a	
201-9									p p	
21-9									t a n	
24-9									u k a r a n	
52-10										t e
56-10										y m tʃ
96-10										r a t
99-10										a.ʔ t i e n
114-10										t a k i i
115-10										y t tʃ i
133-10										t i p a.ʔ t i i
144-10										a r a t i i
150-10										k a w
234-10										k o m
236-10										p tʃ k y n
241-10										a w i n
249-10										i tʃ tʃ
1-10										w a tʃ a
2-10										w e m
65-10										i w i
74-10										p a n a
93-10										t p a t i tʃ i
95-10										w i i
106-10										tʃ e n i p i
119-10										p i t i tʃ i
128-10										w a k i ʔ i
147-10										tʃ y m i e y
231-10										tʃ a a a e ʔ
232-10										e tʃ i tʃ e
239-10										n a m a k a n
266-10										e w i m
3-10										w a t i h i
4-10										w a i
51-10										e w tʃ ʔ
55-10										i tʃ a m
97-10										m a w o m i
121-10										k a tʃ i ʔ a k i ʔ
149-10										tʃ o k
160-10										k i r i k
163-10										y tʃ i n.ʔ
167-10										tʃ a
207-10										m i
259-10										t o w a ʔ
112-10										t r a tʃ i tʃ i ʔ
116-10										t p a k.w i ʔ
125-10										k a t i m a tʃ a ʔ
134-10										n i p a t i
139-10										e e e m o m e e i
142-10										p a r a m i i
145-10										k a r t i tʃ i
148-10										tʃ r a w r a i
162-10										i j i n
166-10										i m i
179-10										t a
201-10										p p
24-10										w k e i e
