COGID	1	10	2	3	4	5	6	7	8	9
1122-2		v i n a								
1159-2		n a								
1350-2		l u a a								
1374-2		n a a a n a								
1906-2		i n g i l a								
2419-2		s e k a								
2750-2		e u s a								
3441-2		s a e ŋ g a								
3464-2		v o n a								
3639-2		t e t a m a a a								
3981-2		a a a a l a								
4192-2		v i a m b a								
4350-2		l e e l a a								
278-2		n a								
3971-2		k a m a								
55-2		s a m a								
43-2		s a a a a								
93-2		k o n a								
459-2		l u m a								
1137-2		s u g a								
1585-2		a a l a								
1872-2		p a a								
2166-2		s u u m b a								
2872-2		s o l a								
2997-2		s a a n s a								
3075-2		g u l u g a								
3675-2		l a a a l a								
4137-2		v i l a								
4238-2		p u s o g a								
4316-2		t a t a								
4574-2		s a a a l a								
3067-2		n t a								
3531-2		a a a a g a								
1033-2		s o a a a o a a								
3185-2		v i i k a								
794-2		v e e a k a								
143-2		v u a								
240-2		o a g a								
388-2		e e a u m a								
599-2		t a a m b a								
969-2		i s a								
994-2		w a a a g a								
1606-2		o o t a								
1629-2		k a i a								
1895-2		l a								
2592-2		l a l a								
2884-2		p p j a a								
3148-2		i t a								
3261-2		t u t a								
2689-3			a m a							
893-3			a a n a x a							
1285-3			n l a a							
1303-3			k o m a							
2197-3			s l a l a							
2828-3			l i n a							
3572-3			x o n a							
1095-3			l i m a							
1755-3			u n a							
1789-3			x a l a a n k a							
3207-3			f u l a							
3519-3			u m a							
3686-3			s i m b a							
4249-3			x u m a							
4451-3			s i l a							
448-3			l u a n a							
630-3			β e e l a							
1216-3			a a u n a							
1228-3			β i a a							
1418-3			s i m a a l a							
1475-3			k k a							
3397-3			β o l a							
4003-3			s i a f a							
4040-3			k e n a							
4373-3			l i m a							
4384-3			i l o							
181-3			k o o n k o							
419-3			l o k a							
587-3			o u n k o							
660-3			l e l a							
1083-3			l i l a							
1350-3			l j a a							
1374-3			a a a n a							
1396-3			s o f u							
1666-3			tʰ a a n o							
1767-3			β o x o							
1906-3			n k a l a							
2177-3			x k a tʰ a							
2286-3			l a							
2317-3			f u β a							
2750-3			e k s a							
3275-3			β a a n a							
3464-3			o n a							
3639-3			u a m a l a							
3981-3			i a m a n a							
4192-3			f u m b a							
4260-3			s i a a							
4350-3			l e e l o o							
278-3			β a							
745-3			x i x o							
3971-3			x u m a							
93-3			o n o							
200-3			β i a							
374-3			β a a l a a a							
508-3			l o f a							
528-3			β i l a							
1137-3			s i k a							
1585-3			a l a							
1712-3			f u l o							
2088-3			s i l a							
2334-3			s i k o							
2393-3			m a n a							
2665-3			i a n k a							
2738-3			β e e l a							
3675-3			l a a a l a							
4137-3			m a l a							
4440-3			x i l a							
4574-3			a a a l a							
4688-3			x i l a							
2798-3			i i a							
3067-3			k u							
3531-3			a a a a x a							
3767-3			l a							
4632-3			x a s a							
401-3			s a							
649-3			l e e r a							
755-3			k a l a							
1032-3			l o l o l a							
1043-3			tʰ a l a							
1273-3			l o o r a							
1362-3			s a a							
1895-3			a							
2615-3			β a a							
2784-3			k a l a							
2904-3			l e a n a a a							
2689-4				t i r a						
893-4				b e n dʒ i a						
1285-4				ŋ g a a						
3572-4				t o s a						
1755-4				b i a						
1789-4				b i r o o ŋ g a						
3686-4				t e ŋ g a						
4451-4				b i s a						
1216-4				ts á ɔ dʒ e a						
4003-4				s i r i a						
419-4				ts á i a						
1122-4				b e i a						
1430-4				k n s a						
1666-4				t o o i a						
1767-4				ts ɔ r i						
55-4				t ɔ r a						
94-4				b ɔ r a						
2717-4				ŋ g o ŋ g a						
1339-4				t o i a						
4632-4				ts ɔ r a						
2784-4				ts á i i						
3160-4				s i r a						
2689-5					β u m					
893-5					n d l					
1285-5					n u					
1303-5					ŋ k o m					
2197-5					s u a l					
2828-5					l i n					
3572-5					s o n i					
1095-5					l i m					
3207-5					f u l					
3519-5					t u					
3686-5					s i m p					
4249-5					k u l i					
448-5					β u n					
630-5					β e l					
814-5					k o m p e					
1228-5					β u					
1418-5					s i m i u					
2026-5					t u e					
2775-5					t u u					
3397-5					β o l					
3826-5					s o k					
4040-5					β u n i					
4373-5					l i i					
4384-5					i n o					
84-5					t u k u l u					
116-5					f i					
587-5					o n d					
848-5					k u l					
1159-5					t					
1350-5					l j					
1396-5					β u f u					
1430-5					i s					
1767-5					k o k					
2286-5					l					
2317-5					β u β					
2419-5					s e					
2750-5					β i					
3018-5					s i l					
3275-5					t a n					
3441-5					s e n g					
3885-5					t u					
4192-5					β i n p					
4260-5					s u					
4350-5					l e l					
278-5					β					
745-5					t u k					
3971-5					k u m a					
55-5					l u m					
94-5					k o k					
2717-5					l k u ŋ g u					
4139-5					m u n					
200-5					β i					
374-5					β l a					
508-5					β a u					
528-5					β i l i					
575-5					t u					
1137-5					β u u					
1339-5					t u					
1872-5					p u					
2537-5					l o					
2738-5					β e l					
2872-5					k o l i					
2893-5					k u k u					
3675-5					l i e l					
4028-5					l w					
4238-5					i s o ʃ i					
4429-5					s					
4485-5					s u					
2798-5					n u					
3531-5					β i k a					
3767-5					l					
4632-5					k a l i					
1033-5					k o l o m o l					
3185-5					f i i k					
649-5					l					
1110-5					t e					
1263-5					t a					
1273-5					l					
1329-5					i a					
1617-5					k u k					
1917-5					f u					
1969-5					k u					
2483-5					k u l					
2615-5					β a					
2700-5					t a n d					
2884-5					m p j					
2972-5					t e					
3030-5					l i p					
3261-5					t e					
1303-6						k k				
1755-6						ɓ				
448-6						s ɔ k ɔ l				
1475-6						k l				
3397-6						k ɔ l				
2286-6						l l				
278-6						k l				
2717-6						l k ɔ				
4137-6						s ɔ ɔ				
3767-6						l l				
1033-6						k k ɔ l				
2689-7							a m a			
893-7							a a n t a			
1285-7							w a a			
1303-7							o m a			
2197-7							s a a			
2828-7							i n a			
3572-7							s o n i			
1095-7							t i m a			
1755-7							i n a			
1789-7							k a a a n k a			
3519-7							t u m a			
3686-7							i m b a			
4249-7							k u m i			
4451-7							v i s i			
814-7							o o m b a			
1216-7							ɣ a v a n a			
1475-7							ɣ u a			
2026-7							t u e a			
2775-7							v u m a a			
3826-7							t o k a			
4003-7							s i v a			
4040-7							ɣ e n i			
84-7							s u ɣ u u			
116-7							s i k a			
181-7							ɣ o o n ɣ a			
419-7							o ɣ a			
587-7							o o n k o			
660-7							e a			
848-7							k a a			
1122-7							v i n a			
1159-7							a			
1374-7							n s a n a			
1396-7							s o v u			
1430-7							i o s a			
1906-7							i ɣ i a			
2177-7							ɣ a n a			
2419-7							s e k a			
3018-7							s i a			
3275-7							ɣ a n a			
3441-7							s e n k a			
3464-7							o n a			
3639-7							t i t i m a a			
3885-7							t i m a			
4192-7							v i i m b a			
745-7							u k a			
3971-7							k a m a			
55-7							á m a			
2717-7							u ŋ g a			
4139-7							i v a			
93-7							ɣ o n o			
459-7							u m a			
575-7							t a a			
1712-7							s u a			
2088-7							s i s a			
2166-7							u u m b a			
2334-7							s i ɣ a			
2393-7							m a ɲ a			
2537-7							o m a			
2665-7							i a n ɣ i			
2997-7							ɣ a s a			
4028-7							v w a			
4316-7							t u t u			
4429-7							a s a			
4688-7							i i m w a			
3067-7							n t u			
3185-7							v i i k a			
794-7							v i e k a			
143-7							u a			
388-7							s a n u m a			
599-7							t a m b i			
836-7							s u m a a			
969-7							i s a			
1110-7							t e m a			
1263-7							t a a			
1329-7							i ɣ a r a			
1362-7							ɣ i i			
1606-7							o o t o			
1629-7							ɣ o i a			
1744-7							i a			
1917-7							v u m a			
1989-7							s a a			
2037-7							ɣ a t a			
2128-7							ɣ e m a a			
2186-7							ɣ a ɲ a			
2700-7							ɣ a n ɣ a			
2797-7							o m a			
2904-7							ɣ e n t a a			
2972-7							s e			
3148-7							i t a			
3364-7							o t a			
2689-8								k u m a		
1285-8								n w a a		
1303-8								u k ô m a		
2197-8								k u a p a		
2828-8								k u n a		
3572-8								k u n a		
1755-8								k n a		
1789-8								k ô r t a ŋ g a		
3207-8								k u p a		
3519-8								k u m a		
3686-8								t u m g a		
4249-8								k u m a		
4451-8								v i a		
814-8								r ô m p a		
1228-8								r u a		
2026-8								m u n a		
2775-8								k u m b a		
3826-8								r u k a		
4040-8								k u n a		
181-8								r ô n g a		
660-8								r ô a		
848-8								k u a		
1083-8								r ô n a		
1159-8								n a		
1350-8								r u a		
1396-8								r ô v a		
1666-8								t ô n a		
2177-8								n k a d a		
2317-8								k u p a		
4260-8								r u n a		
745-8								k u k a		
3971-8								k u m a		
94-8								k ŋ k a		
2717-8								ŋ g u ŋ g a		
4139-8								m u n a		
43-8								k w a		
575-8								u u a		
871-8								k o n a		
1339-8								t u u a		
1585-8								r a		
1872-8								p u a		
2893-8								k u k u a		
4028-8								m w a		
4316-8								t ô a		
4440-8								d ô r a		
4485-8								r u		
4688-8								ʝ ô m w a		
2798-8								n u a		
794-8								k e n k a		
994-8								t a		
1006-8								n ô n b a		
1043-8								r ô r a		
1617-8								r u k a		
1969-8								r u g a		
3364-8								r ô t a		
2689-9									s a m a	
893-9									a n g a	
1285-9									n i a a	
1303-9									k b o m a	
2197-9									s a l a	
2828-9									s i n a	
3572-9									s o n i	
1095-9									l i m a	
1789-9									k i l a ŋ g a	
3207-9									k i l a	
4249-9									k u i	
4451-9									b i s a	
630-9									b e e l a	
814-9									s o m b a	
1228-9									s i a a	
1418-9									s i i a g a	
1475-9									g i a	
2026-9									k i a	
2775-9									k u m b a	
3397-9									k o l a	
3826-9									s o k a	
4003-9									s i b a	
4040-9									g i n i	
4373-9									l i i	
4384-9									i n a	
116-9									s i k a	
181-9									k o ŋ g a	
1083-9									l i l a	
1374-9									s a n a	
1430-9									i n s a	
1666-9									k n a	
1767-9									k o k a	
1906-9									ŋ g i l a	
2177-9									n g a b a	
2419-9									s i k a	
2750-9									i s i	
3018-9									s i l a	
3441-9									s a ŋ g a	
3885-9									k i m a	
3981-9									i b g a	
4260-9									s o a a	
4350-9									l e l g a	
278-9									b a	
745-9									b g a	
55-9									s a m a	
94-9									s o k a	
4139-9									m i n a	
200-9									b i a	
528-9									k i l i	
871-9									k o b a	
2088-9									b i g a	
2166-9									s u m b a	
2334-9									b i g a	
2393-9									i n a	
2537-9									l o m a	
2665-9									i ŋ g i	
2738-9									b e e l a	
2872-9									k o s i	
2997-9									k a s a	
3075-9									k b a	
4238-9									s s o s i	
4429-9									s á s a	
4440-9									b i l a	
4485-9									s i	
4574-9									s a l a	
2798-9									n g a	
3067-9									n g a	
3767-9									l o	
4632-9									k i l i	
1033-9									k o l k o l a	
3185-9									s i i g a	
240-9									g a	
401-9									k a	
755-9									g i l a	
836-9									s u m b i	
1006-9									k u ŋ g a	
1744-9									i b g a	
1989-9									s á g a	
2037-9									k g a g a	
2128-9									k i m b a	
2186-9									k i g a	
2483-9									k ʊ l a	
2592-9									s l a	
3030-9									l i b a	
3160-9									l u r a	
2689-10										χ a m a
893-10										a a a
1285-10										n w a a
2197-10										t a l a
2828-10										l i n a
1095-10										l i m a
1755-10										ɔ n a
3207-10										χ ʊ l a
3519-10										χ ʊ m a
448-10										n ʊ a s i
630-10										l l i l a
1216-10										o a b a
1418-10										s i l i a a
2775-10										b ʊ χ a n a
3397-10										b i l a
4373-10										l i l i
4384-10										i l a
84-10										b ʊ k ʊ l a
1083-10										l i l a
1122-10										b a ɲ a
2286-10										l a
2317-10										b ʊ f a
3018-10										tsʰ i l a
3275-10										k ʊ l l a
3464-10										b ɔ m a
3639-10										pʰ i r i m a a a
3885-10										l i m a
3981-10										i i a
94-10										dʒ ʊ χ a
4139-10										m ɔ n a
43-10										χ i a k a
374-10										a i l a a a
459-10										l ɔ m a
508-10										b i l a
871-10										a n a
1712-10										b u l a
2893-10										χ i χ ʊ a
3075-10										χ a l a l a
3531-10										a a s i a
794-10										b ɔ a k a
1032-10										χ l a l a
2797-10										l ɔ m a
