COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
219-3			tʃ a ŋ p u					
247-3			tʃʰ a ŋ l u ŋ					
282-3			l u z p u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			m u m b a i					
363-3			ŋ a m b u					
397-3			g a m b i					
406-3			kʰ a u					
426-3			m u k p a					
473-3			pʰ i ŋ a ŋ					
499-3			z a m i ŋ					
526-3			g a z a					
544-3			kʰ u					
553-3			k o a ŋ					
599-3			g o i tʃ a m					
608-3			b a ŋ tʃ o					
617-3			j a ŋ					
645-3			a ŋ a					
663-3			z o ŋ tʃ u					
672-3			t o ŋ p a					
681-3			ŋ i ɾ i					
690-3			m i ŋ					
708-3			tʃ a ŋ l i ŋ b u					
717-3			dʒ o k p u					
726-3			z i					
744-3			a p a					
782-3			m i					
791-3			ŋ a					
800-3			ŋ a					
809-3			m o m ŋ a ŋ					
836-3			p z i					
881-3			l a m					
890-3			ɾ a a					
899-3			z e					
926-3			tʃʰ a m					
944-3			g a ɾ a ŋ					
953-3			z a ɾ a ŋ					
980-3			ɾ a ɾ u ŋ					
998-3			pʰ a i					
1022-3			g j a u					
1031-3			b i ŋ a ŋ g u l a					
1069-3			tʃ o a ŋ a					
1079-3			z a a					
1098-3			j a ŋ b u					
1117-3			tʃ u ŋ					
1141-3			ɾ i ŋ b u					
1189-3			m a ŋ					
1198-3			ŋ u					
1208-3			z a l a					
1217-3			l a ŋ i					
1253-3			a m a					
1271-3			ŋ o a ŋ					
1289-3			m i ŋ					
1316-3			ŋ a ŋ					
1325-3			kʰ a m					
1334-3			z i ŋ b a					
1343-3			b u i ŋ a ŋ					
1361-3			j a ŋ a ŋ					
1370-3			ŋ a g u ŋ					
1388-3			m a ŋ b a					
1397-3			tʃ u					
1406-3			tʃ o ŋ					
1424-3			g a ɾ a ŋ b a ɾ					
1433-3			z u g u					
1442-3			l a m					
1451-3			b a a m					
1468-3			pʰ a k p a					
1477-3			ŋ a					
1502-3			ŋ a m z u					
1511-3			m u j a ŋ b a					
1529-3			tʃ a l u					
1538-3			z u l u					
1557-3			tʃ o i tʃ u ŋ					
1618-3			i ŋ tʃ a					
1663-3			z u m					
1689-3			ŋ o i					
1698-3			kʰ u ŋ					
1707-3			m o ŋ ŋ a ŋ					
1716-3			ŋ a m					
1742-3			m u g i					
1751-3			b u tʃ i l a					
1778-3			z a					
1787-3			tʃ u ɾ p u					
1823-3			l a m					
1832-3			k a ɾ m a					
1842-3			l u ŋ					
1860-3			ŋ a m					
1869-3			z u p tʃ a ŋ					
1888-3			z a m b i					
1897-3			z a					
1932-3			ɾ i ŋ a ŋ z o p l a					
1950-3			z u					
1968-3			t o ŋ tʃ a u ɾ					
1978-3			k u p a					
1987-3			z a m					
2015-3			ŋ a m b u					
2118-3			m o ŋ z o ŋ o					
2238-3			ŋ a ɾ u					
2507-3			tʃ i ŋ u ŋ					
2526-3			l e					
2535-3			z a					
2544-3			z i ŋ					
2560-3			z o ŋ ŋ i tʃ i ŋ					
2569-3			kʰ a tʃ u					
2578-3			ŋ i tʃ i ŋ					
2596-3			tʃ u ŋ					
2615-3			ɾ i					
2663-3			g i tʃ i					
2690-3			z i a					
2719-3			ɾ i tʃ i					
2728-3			k o tʃ u ŋ					
2747-3			ŋ i ŋ u					
2756-3			z e ɾ b u					
2774-3			b o ŋ i ŋ					
89-3			g a ŋ b u					
107-3			tʃ i m i ŋ					
145-3			tʃ u k p u					
190-3			p u tʃ i					
229-3			g a					
257-3			tʃ a ŋ a					
436-3			z u l u					
483-3			a					
535-3			z o z o					
699-3			tʃ o ŋ b a					
845-3			ɾ o k					
971-3			tʃ i p u					
1049-3			b u					
1161-3			a m					
1180-3			z a					
1226-3			l a ŋ i					
1235-3			ŋ a m ŋ i ŋ					
1280-3			tʃ i ŋ z a ŋ					
1307-3			tʃ e p k a					
1352-3			g u					
1379-3			z i					
1415-3			ɾ a					
1636-3			b e tʃ a					
1654-3			l i					
1725-3			tʃ a p tʃ i					
2127-3			dʒ a m l u					
2181-3			tʃ i l o					
2366-3			j a k l a					
2672-3			b a g a					
2681-3			b a l u ŋ b u					
116-3			tʰ u l i					
154-3			z i					
10-4				tʃʰ a ŋ				
37-4				n a n				
46-4				n a n				
98-4				kʰ a ŋ tʃ i l a				
125-4				b i a ŋ r a				
162-4				l e i s i				
171-4				o m tʃʰ a				
219-4				t a ŋ p u				
247-4				tʃʰ a ŋ l u m				
282-4				l u s p u				
292-4				kʰ a ŋ				
301-4				l i				
354-4				m u m b a m i				
363-4				n i m b u				
397-4				g a m tʃ i				
406-4				kʰ a m u m				
426-4				m u k p a				
473-4				tʃʰ i n tʃʰ a ŋ				
499-4				z a m i n				
526-4				g a ŋ a				
544-4				kʰ u				
553-4				g o t a ŋ				
599-4				g o i tʃʰ a m				
608-4				b a n tʃ o				
617-4				tʃʰ a n				
645-4				a n a				
663-4				s o ŋ tʃʰ u r				
672-4				t o ŋ p a				
681-4				n i r i				
690-4				m i ŋ				
708-4				tʃʰ a r i ŋ b u				
717-4				tʃʰ o k p u				
726-4				s i				
744-4				a p a				
782-4				m i				
791-4				ŋ a				
800-4				ŋ a				
809-4				m o m n a ŋ				
836-4				p z i				
881-4				l a m				
890-4				r a a				
899-4				s e r				
926-4				tʃʰ a m				
944-4				g ă z a ŋ				
953-4				z j a z a ŋ				
980-4				g a r u ŋ				
998-4				pʰ a i				
1022-4				a tʰ u r				
1031-4				b i n a ŋ u tʃʰ a m				
1069-4				tʃʰ o a ŋ a				
1079-4				a m a				
1098-4				j a ŋ p u m m				
1117-4				tʃʰ u m				
1141-4				z i ŋ m u				
1189-4				m a n				
1198-4				n u m a				
1208-4				z a l a m				
1217-4				l a i m				
1253-4				a m a				
1271-4				n o tʃʰ a ŋ				
1289-4				m i ŋ				
1316-4				ŋ a ŋ				
1325-4				g a m				
1334-4				z i ŋ m a				
1343-4				b u i n a ŋ				
1361-4				j e n a ŋ a m				
1370-4				n a g u ŋ				
1388-4				m a n m a				
1397-4				tʰ u r				
1406-4				tʃʰ o ŋ				
1424-4				g ă z a ŋ p a r m				
1433-4				s u g u				
1442-4				l a m				
1451-4				b a tʃʰ a m				
1468-4				pʰ a k p a				
1477-4				ŋ a m				
1502-4				n a m u				
1511-4				m u t j a ŋ b a				
1529-4				tʃ a l u				
1538-4				s u l u				
1557-4				tʃ o i tʃʰ u ŋ				
1618-4				i ŋ tʃ a				
1663-4				z u m				
1689-4				ŋ o i				
1698-4				kʰ u ŋ				
1707-4				m o ŋ n a ŋ				
1716-4				n a m m				
1742-4				m u g u				
1751-4				b u tʃ i a				
1778-4				z a				
1787-4				tʃʰ u r p u m				
1823-4				l e m				
1832-4				g a r m a				
1842-4				l u ŋ				
1860-4				n a m m				
1869-4				z u p tʃʰ a ŋ				
1888-4				z a m p i				
1897-4				s a				
1932-4				tʃʰ i n a ŋ o tʃʰ a m				
1950-4				z u				
1968-4				t o ŋ t a m				
1978-4				g u t p a m				
1987-4				z a m				
2015-4				n a m tʃʰ a m m				
2118-4				m o ŋ tʃʰ o o ŋ tʃʰ a m				
2238-4				ŋ a r tʃʰ a m				
2507-4				tʃʰ i n u ŋ				
2526-4				l e m				
2535-4				a m				
2544-4				z i ŋ				
2560-4				s o ŋ n i tʃ i ŋ				
2569-4				g a i tʰ u r				
2578-4				n i tʃ i ŋ				
2596-4				tʃʰ u ŋ				
2615-4				r i				
2663-4				g i t i ŋ a				
2690-4				s i				
2719-4				r i i				
2728-4				g o tʃ u ŋ				
2747-4				n i ŋ u m				
2756-4				z e r b u				
2774-4				b u n i ŋ				
19-4				n a i b a m				
28-4				n a i b a m				
89-4				g a ŋ p u				
145-4				tʃʰ u g p u m m				
229-4				g a				
257-4				tʃʰ a ŋ a				
338-4				b r u ŋ				
436-4				z u l u				
535-4				s o s o				
571-4				g e l a n a i				
699-4				tʃʰ o ŋ p a				
971-4				tʃʰ i t p u				
1049-4				b u				
1180-4				a				
1226-4				l a ŋ i ŋ				
1307-4				tʃʰ e p a a				
1352-4				g u				
1379-4				s i				
1636-4				b e tʃ a				
1654-4				l i				
1680-4				kʰ a n tʃʰ a m				
1725-4				tʃʰ a p tʃʰ a m				
2672-4				b a g a				
55-4				tʃʰ a i b a m				
80-4				tʃʰ u ŋ a				
116-4				tʰ u l u				
10-5					tʃ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ŋ tʃ i l a			
125-5					b i a ŋ ɾ a			
162-5					l e i s i			
171-5					o m ʃ a			
219-5					t a ŋ p u			
247-5					tʃ a ŋ l u ŋ			
282-5					l u s p u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					m u m b a t i			
363-5					n a m b u			
397-5					g a m tʃ i			
406-5					kʰ a u			
426-5					m u k p a			
473-5					pʰ i n a ŋ			
499-5					z a m i n			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					g o t a ŋ			
599-5					g o i tʰ a m			
608-5					b a n tʃ o			
617-5					j e n			
645-5					a n a			
663-5					s o ŋ tʰ u			
672-5					t o ŋ p a			
681-5					ŋ i ɾ i			
690-5					m i ŋ			
708-5					tʃ a ŋ ɾ i ŋ b u			
717-5					dʒ o k p u			
726-5					s i			
744-5					a p a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o m n a ŋ			
836-5					p i			
881-5					l a m			
890-5					ɾ a b a			
899-5					s e r			
926-5					tʃ a m			
944-5					g a ɾ a ŋ			
953-5					ʃ a ɾ a ŋ			
980-5					j a ɾ u ŋ			
998-5					pʰ e i			
1022-5					g dʒ a tʰ u r			
1031-5					b i n a ŋ kʰ u kʰ a n			
1069-5					tʃ o a ŋ a			
1079-5					ʃ a a			
1098-5					j a ŋ b u			
1117-5					tʃ u n			
1141-5					ɾ i ŋ b u			
1189-5					m a n			
1198-5					n u			
1208-5					z a l a			
1217-5					l a ŋ i			
1253-5					a m a			
1271-5					n o a ŋ			
1289-5					m i ŋ			
1316-5					ŋ a ŋ			
1325-5					kʰ a m			
1334-5					s i ŋ b a			
1343-5					b u i n a ŋ			
1361-5					j e n a ŋ			
1370-5					n a g u ŋ			
1388-5					m a n b a			
1397-5					tʰ u r			
1406-5					tʃ o ŋ			
1424-5					g a ɾ a ŋ p a r			
1433-5					ʃ u g u			
1442-5					l a m			
1451-5					b a tʃ a m			
1468-5					pʰ a k p a			
1477-5					ŋ a n			
1502-5					ŋ a m u			
1511-5					m u tʃ j a ŋ b a			
1529-5					tʃ a l u			
1538-5					s u l u			
1557-5					tʃ o i tʃ u ŋ			
1618-5					i ŋ tʃ a			
1663-5					z u m			
1689-5					ŋ o i			
1698-5					kʰ u ŋ			
1707-5					m o ŋ n a ŋ			
1716-5					ŋ a m			
1742-5					m u g i			
1751-5					b u tʃ i l a			
1778-5					z a			
1787-5					tʃ u r p u			
1823-5					l e m			
1832-5					g a r m a			
1842-5					l u ŋ			
1860-5					ŋ a m			
1869-5					ʃ u p tʃ a ŋ			
1888-5					ʃ a m b i			
1897-5					s e			
1932-5					ɾ i n a ŋ o p kʰ a n			
1950-5					z u			
1968-5					t o ŋ t a			
1978-5					g u t p a			
1987-5					s a m			
2015-5					ŋ a m kʰ o n			
2118-5					m o ŋ tʃ o o ŋ kʰ o n			
2238-5					ŋ a r kʰ e n			
2507-5					tʃ i n u ŋ			
2526-5					l e			
2535-5					ʃ a			
2544-5					ʃ i ŋ			
2560-5					s o ŋ n i tʃ i ŋ			
2569-5					kʰ e tʰ u ɾ			
2578-5					n i tʃ i ŋ			
2596-5					tʃ u ŋ			
2615-5					ɾ i			
2663-5					g i t i			
2690-5					s i			
2719-5					ɾ i tʃ i			
2728-5					g o tʃ u ŋ			
2747-5					n i ŋ			
2756-5					s e r b u			
2774-5					b o ŋ i ŋ			
19-5					n a i b a			
28-5					n a i b a			
89-5					g a ŋ p u			
107-5					tʃ i m i n			
145-5					d u k p u			
190-5					p u tʃ i			
229-5					g a			
257-5					tʃ a ŋ a			
338-5					b ɾ u ŋ			
436-5					z u l u			
483-5					a			
535-5					s o s o			
571-5					g e l e n tʃ i			
699-5					tʃ o ŋ p a			
845-5					ɾ o k			
971-5					tʃ i p u			
1049-5					b u			
1161-5					a m			
1180-5					ʃ a			
1226-5					l a ŋ i			
1235-5					n a m n i ŋ			
1280-5					tʃ i ŋ z a ŋ			
1307-5					t e p k a			
1352-5					g u			
1379-5					s i			
1415-5					ɾ a			
1654-5					l i			
1680-5					kʰ a n tʃ a			
2127-5					dʒ a m kʰ a n			
2181-5					tʃ i l o			
2366-5					j a kʰ a n			
2672-5					b a g a			
2681-5					b a l a ŋ b o			
80-5					tʃ u ŋ g a			
154-5					ʃ i			
10-6						dʒ a ŋ		
37-6						n a n		
46-6						n a n		
98-6						kʰ a ŋ tʃ i l a		
125-6						b i j a ŋ ɾ a		
162-6						l e i s i		
171-6						o m z a		
219-6						t a ŋ b u		
247-6						tʃ a ŋ l u ŋ		
282-6						l u s b u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						m u m b a tʃ i		
363-6						n a m b u		
397-6						g a m tʃ i		
406-6						kʰ a u		
426-6						m u k b a		
473-6						pʰ i n t a ŋ		
499-6						z a m i n		
526-6						g a z a		
544-6						kʰ u		
553-6						k o t a ŋ		
599-6						g o i tʰ a m		
608-6						b a n tʃ o		
617-6						j e n		
645-6						a n a		
663-6						s o ŋ tʰ u r		
672-6						t o ŋ b a		
681-6						ŋ i ɾ i		
690-6						m i ŋ		
708-6						dʒ a ŋ ɾ i ŋ b u		
717-6						dʒ o k p u		
726-6						s i		
744-6						a b a		
782-6						m i		
791-6						ŋ a		
800-6						ŋ a		
809-6						m o m n a ŋ		
836-6						b s i		
881-6						l a m		
890-6						ɾ a b a		
899-6						s e ɾ		
926-6						tʃ a m		
944-6						g a ɾ a ŋ		
953-6						z j a ɾ a ŋ		
980-6						j a ɾ o ŋ		
998-6						pʰ e i		
1022-6						g j a tʰ u ɾ		
1031-6						b i n a ŋ k u a		
1069-6						tʃ o a ŋ a		
1079-6						z i ŋ a a		
1098-6						j a ŋ b u		
1117-6						tʃ u n		
1141-6						ɾ i ŋ b u		
1189-6						m a n		
1198-6						n u		
1208-6						z a l a		
1217-6						l a ŋ i		
1253-6						a m a		
1271-6						n o a ŋ		
1289-6						m i ŋ		
1316-6						ŋ a ŋ		
1325-6						kʰ a m		
1334-6						s i ŋ b a		
1343-6						b u i n a ŋ		
1361-6						j e n a ŋ		
1370-6						n a g u ŋ		
1388-6						m a n b a		
1397-6						tʰ u ɾ		
1406-6						tʃ o ŋ		
1424-6						g a ɾ a ŋ b a ɾ		
1433-6						z u g u		
1442-6						l a m		
1451-6						b a tʃ a m		
1468-6						pʰ a k b a		
1477-6						ŋ a		
1502-6						ŋ a m z u		
1511-6						m u tʃ j a ŋ b a		
1529-6						tʃ a l u		
1538-6						s o l u		
1557-6						tʃ o i tʰ u ŋ		
1618-6						i ŋ tʃ a		
1663-6						z u m		
1689-6						ŋ o i		
1698-6						kʰ u ŋ		
1707-6						m o ŋ n a ŋ		
1716-6						ŋ a m u		
1742-6						m u g i		
1751-6						b u tʃ i l a		
1778-6						z a		
1787-6						tʃ u ɾ b u		
1823-6						l e m		
1832-6						k a ɾ m a		
1842-6						l u ŋ		
1860-6						ŋ a m		
1869-6						z u b t a ŋ		
1888-6						z a m b i		
1897-6						s j e		
1932-6						ɾ i n a ŋ o l a		
1950-6						z u		
1968-6						t o ŋ tʃ a u ɾ		
1978-6						k u t b a		
1987-6						s a m		
2015-6						ŋ a m k a n		
2118-6						m o ŋ tʃ o o ŋ a		
2238-6						ŋ a ɾ b a		
2507-6						tʃ i n u ŋ		
2526-6						l e		
2535-6						z j a		
2544-6						z i ŋ		
2560-6						s o ŋ n i tʃ i ŋ		
2569-6						kʰ e i tʰ u ɾ		
2578-6						n i tʃ i ŋ		
2596-6						d u ŋ		
2615-6						ɾ i		
2663-6						g i t i		
2690-6						s i a		
2719-6						ɾ i tʃ i		
2728-6						k o tʃ u ŋ		
2747-6						n i ŋ u		
2756-6						s e ɾ b u		
2774-6						b o ŋ i ŋ		
19-6						n a ʃ i b a		
28-6						n a ʃ i b a		
89-6						g a ŋ b u		
107-6						i tʃ i m i n		
145-6						d u k b u		
190-6						b u tʃ i		
229-6						kʰ a		
257-6						t a ŋ a		
338-6						b ɾ u ŋ		
483-6						j a		
535-6						s o s o		
571-6						g e l e n tʃ i		
699-6						d o ŋ b a		
845-6						ɾ o k		
971-6						tʃ i p u		
1049-6						b u		
1161-6						a m		
1226-6						l a ŋ i		
1235-6						n a m n i ŋ		
1280-6						s i ŋ z a ŋ		
1307-6						t e b k a		
1352-6						g u		
1379-6						s i		
1415-6						ɾ a		
1636-6						b e tʃ a		
1654-6						l i		
1680-6						k a n tʃ a		
1725-6						tʃ a b tʃ e		
2127-6						dʒ a m k a		
2181-6						tʃ i o		
2366-6						j a k b a		
2672-6						b a g a		
2681-6						b a l a ŋ b u		
55-6						tʃ a ʃ i b a		
80-6						tʰ u ŋ g a		
116-6						tʃ u l i		
154-6						z i		
10-7							tʃ a ŋ	
37-7							n a n	
46-7							n a n	
98-7							kʰ a ŋ tʃ i l a	
125-7							b i a ŋ ɾ a	
162-7							l e i s i	
171-7							o m z a	
219-7							tʃ a ŋ p u	
247-7							tʃ a ŋ l u ŋ	
282-7							l u s p u	
292-7							kʰ a ŋ	
301-7							l i	
354-7							m u m b a tʃ i	
363-7							n a m b u	
397-7							g a m tʃ i	
406-7							kʰ a u	
426-7							m u kʰ p a	
473-7							pʰ i n a ŋ	
499-7							z a m i n	
526-7							g a a	
544-7							kʰ u	
553-7							g o tʃ a ŋ	
599-7							g o i tʃ a m	
608-7							b a n tʃ o	
617-7							j e n	
645-7							a n a	
663-7							s o ŋ tʃ u n	
672-7							tʃ o ŋ p a	
681-7							ŋ i ɾ i	
690-7							m i ŋ	
708-7							tʃ a ŋ ɾ i ŋ b u	
717-7							tʃ o kʰ p u	
726-7							s i	
744-7							a p a	
782-7							m i	
791-7							ŋ a	
800-7							ŋ a	
809-7							m o m n a ŋ	
836-7							b z i	
881-7							l a m	
890-7							ɾ a a	
899-7							s e n	
926-7							tʃ a m	
944-7							g a ɾ a ŋ	
953-7							z j a ɾ a ŋ	
980-7							j a r o ŋ	
998-7							pʰ e i	
1022-7							g tʃ a tʃ u n	
1031-7							b i n a ŋ kʰ u a n	
1069-7							tʃ o a ŋ a	
1079-7							z i ŋ a a	
1098-7							j a ŋ b u	
1117-7							tʃ u n	
1141-7							ɾ i ŋ b u	
1189-7							m a n	
1198-7							n u	
1208-7							z a l a	
1217-7							l a ŋ i	
1253-7							a m a	
1271-7							n o kʰ a ŋ	
1289-7							m i ŋ	
1316-7							ŋ a ŋ	
1325-7							kʰ a m	
1334-7							s i ŋ b a	
1343-7							b u i n a ŋ	
1361-7							j e n a ŋ	
