COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
483-1	ʑ ɛ ɹ							
511-1	kʰ ɔˀ							
525-1	tɕʰ i							
542-1	dʑ ɛ							
638-1	n aˀ							
656-1	j ɔu							
657-1	d ɔ							
659-1	d a							
711-1	tɕ ɔˀ							
745-1	n e m							
818-1	tʰ k							
825-1	tʰ e							
839-1	h ɔu							
841-1	h ɔː							
894-1	b u							
932-1	ɕ i							
936-1	l ɔː							
943-1	pʰ a k							
965-1	d u							
1039-1	d a ŋ							
1044-1	ɔˀ							
1076-1	kʰ							
1126-1	h a							
1131-1	pʰ a							
1132-1	tɕʰ a ɹ							
1166-1	d							
1175-1	ɕ i n							
944-1	t i ŋ							
1199-1	tɕʰ ɔ ŋ							
1256-1	tɕ i ŋ							
1282-1	d i							
1283-1	j u							
30-1	m ɔ n							
32-1	p a							
59-1	m a n							
68-1	ɔˀ							
69-1	h a ŋ							
82-1	pʰ ɛ t							
88-1	z i k							
100-1	ʑ a n							
116-1	m a k							
142-1	z j ɛ k							
155-1	kʰ d a ŋ							
268-1	s u							
285-1	tɕʰ a m							
315-1	l a							
318-1	j u							
406-1	l a							
421-1	j ɛ t							
436-1	ts i							
515-1	b u							
516-1	d							
524-1	z u m							
545-1	pʰ i							
566-1	kʰ ɛ k							
579-1	dʑ ɔ ŋ							
587-1	tɕ u p							
597-1	ɕ a							
166-1	l a k							
644-1	j ɔ ŋ							
687-1	j ɔ							
733-1	tʰ ɔ ŋ							
738-1	j ɛ t							
755-1	h ɛ m							
1-2		g uː						
5-2		n y						
4-2		tʰ ɛ k						
6-2		n y ŋ						
15-2		b i						
55-2		l ɔ						
56-2		a						
60-2		s u						
61-2		kʰ y ŋ						
80-2		tɕ ɔ k						
87-2		tɕʰ a						
86-2		pʰ l aː						
92-2		pʰ l aː						
102-2		m						
106-2		pʰ u k						
108-2		d a						
107-2		pʰ l aː						
112-2		pʰ ɛ ŋ						
115-2		s						
114-2		t u ŋ						
120-2		d u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i ŋ						
136-2		b u						
134-2		kʰ ɐ k						
137-2		a						
138-2		d ɔ k						
140-2		h aː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː						
147-2		h ɛː						
149-2		m i k						
153-2		s						
152-2		tɕ a n						
158-2		k y k						
163-2		r i						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ ɔ n						
183-2		r ɛː						
185-2		m uː						
188-2		kʰ a ŋ						
189-2		tɕ i ŋ						
193-2		h ɛ						
196-2		m ɐ̃ː						
199-2		tɕʰ ɛː						
200-2		kʰ a n						
201-2		tɕʰ i						
202-2		kʰ a						
203-2		tʰ u ŋ						
204-2		b yː						
206-2		n ɐ ŋ						
117-2		b yː						
146-2		tɕʰ						
219-2								
218-2		tɕʰ ɛː						
224-2		m ɔ̃ː						
240-2		tɕʰ ɐ k						
244-2		j						
255-2		n						
260-2		b						
263-2		r ɔ						
269-2		tɕ ɛ k						
271-2		tʰ ɐ k						
209-2		tɕʰ						
277-2		m a						
278-2		b u ŋ						
135-2		d ə						
284-2		m yː						
797-2		a						
290-2		l ɔ ŋ						
289-2		tɕ i k						
296-2		n i						
310-2		s						
319-2		iː						
325-2		r ɛ						
327-2		tʰ ɛː						
331-2		kʰ						
337-2		b a ŋ						
338-2		l y ŋ						
339-2		s						
350-2		kʰ						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b						
361-2		tʰ						
365-2		s a						
364-2		kʰ ɛ						
375-2		r u k						
379-2		s ɛ						
380-2		kʰ a						
396-2		j						
400-2		m uː						
405-2		d a ŋ						
404-2		s a n						
409-2		r ɛ k						
410-2		i k						
415-2		b						
416-2		b a						
101-2		n u ŋ						
37-2		kʰ uː						
424-2		b ɛː						
434-2		tɕʰ ɛ n						
445-2		b						
446-2		s iː						
451-2		t u						
457-2		n ɐ						
456-2		b l aː						
464-2		pʰ i ŋ						
473-2		tɕʰ iː						
474-2		s n						
479-2		s ɛ ŋ						
489-2		j ɐ						
490-2		h ɐ̃ː						
494-2		s ə						
503-2		g ə						
502-2		z a ŋ						
235-2		l y ŋ						
519-2		l iː						
523-2		u						
527-2		tɕʰ ɛ ŋ						
538-2		s						
544-2		j ɛ n						
850-2		a						
554-2		b ə						
553-2		r i ŋ						
558-2		kʰ ɔ̃ː ŋ						
561-2		s a						
562-2		b ɐ						
564-2		j ɛː						
567-2		m a						
570-2		pʰ yː						
575-2								
582-2		l ə						
585-2		s						
589-2		kʰ a n						
593-2		d ɛ n						
594-2		l ə ŋ						
595-2		tʰ n						
596-2		n ɔ k						
598-2		z u						
599-2		d						
602-2		z ɛː						
603-2		r ə						
606-2		s ɔ						
605-2		b ɔ						
620-2		l						
637-2		pʰ ɐ k						
639-2		dʑ						
645-2		kʰ ɔ						
646-2		r ɛ ŋ						
168-2		h ɛ k						
658-2		h a n						
665-2		pʰ uː						
668-2		h uː						
677-2		t a ŋ						
75-2		kʰ u ŋ						
678-2		s uː						
682-2		m ɛ n						
493-2		z yː						
693-2		s a						
694-2		m						
702-2		tɕ a n						
704-2		m uː						
176-2		l uː						
709-2		s						
710-2		t a						
714-2		m						
718-2		kʰ						
719-2		tɕʰ yː ŋ						
22-2		m yː						
723-2		tɕ i ŋ						
726-2		b ɛ ŋ						
729-2		b						
730-2		r ɛː						
739-2		pʰ l aː						
740-2		b ə						
741-2		kʰ ɔ k						
744-2		a						
743-2		h ɛ n						
746-2		pʰ u ŋ						
748-2		tʰ ɛ k						
747-2		kʰ yː						
749-2		kʰ ɛ n						
751-2		t ɐ̃ː						
762-2		m ɛ n						
764-2		h ɛ n						
765-2		b i						
788-2		l a						
615-2		l ɐ k						
803-2		s u						
802-2		b ɐ k						
808-2		b a						
809-2		tɕ i						
819-2		d y k						
821-2		s u						
820-2		b ɐ						
828-2		s ɐ k						
827-2		b yː						
835-2		n						
308-2		r yː						
844-2		z i						
848-2		m ə						
705-2		l uː						
613-2		ə						
649-2		h ɛ k						
876-2		tɕ ɐ̃ː						
878-2		j u ŋ						
889-2		h ɔ̃ː						
898-2		n y k						
902-2		h ɔ̃ː ŋ						
910-2		a n						
916-2		r iː						
919-2		r ɛː						
922-2		s i k						
930-2		tɕʰ ɔ̃ː						
933-2		h u						
939-2		r u k						
947-2		j ɛ n						
948-2		n u ŋ						
963-2		z uː						
967-2		tɕʰ y k						
969-2		s						
970-2		kʰ u k						
972-2		n ə						
731-2		m yː						
973-2		b i ŋ						
974-2		n						
979-2		dʑ ɐ̃ː						
182-2		kʰ yː						
993-2		n ə						
994-2		j yː						
1001-2		s ɐ						
1002-2		d u						
1005-2		tɕʰ yː						
1009-2		kʰ						
1022-2		s						
1021-2		u k						
1043-2		u ŋ						
1049-2		t ɛː						
1065-2		tɕʰ ĩː						
1068-2		j						
1077-2		r y ŋ						
1081-2		r ɔ̃ː ŋ						
1084-2		h i ŋ						
1092-2		m						
1091-2		tɕʰ iː						
1096-2		n ə						
1097-2		dʑ yː						
1102-2		n ɛː						
1104-2		tʰ ɛ n						
1108-2		tɕʰ ɐ k						
552-2		dʑ uː						
1111-2		b l aː						
1116-2		s ɐ̃ː						
722-2		kʰ						
1141-2		j ɔ̃ː ŋ						
1147-2		b ə						
1146-2		dʑ ɔ						
1150-2		h a ŋ						
1151-2		s n						
1158-2		h ɐ k						
1159-2		pʰ ɔ̃ː						
1164-2		tʰ						
1163-2		r uː						
1167-2		s a ŋ						
1171-2		l ɛː						
1177-2		z yː						
1187-2		kʰ ɐ̃ː						
1189-2		n i k						
52-2		kʰ uː						
1195-2		z iː						
1203-2		tʰ y k						
1211-2		j ɔ						
329-2		r						
1217-2		m ə						
72-2		kʰ uː						
1218-2		tɕʰ i k						
1222-2		tɕʰ ɔ ŋ						
1229-2		dʑ ɐ ŋ						
1238-2		d ɔ̃ː ŋ						
1249-2		n iː						
1252-2		j uː						
1254-2		n						
1253-2		s a ŋ						
1257-2		kʰ						
1263-2		dʑ ə						
1266-2		dʑ ɐ k						
584-2		t u ŋ						
7-2		s						
1191-2		l j a ŋ						
18-2		b i						
33-2		n						
74-2		t ɛ						
81-2		s a ŋ						
83-2		m k						
104-2		m						
123-2		tɕʰ a						
122-2		tʰ						
121-2		m						
154-2		s ɔ						
161-2		tɕ iː						
170-2		tɕ ɛ						
91-2		a						
181-2		n uː						
186-2		tɕ a						
191-2		z ə						
211-2		b						
210-2		kʰ ɐ̃ː						
217-2		kʰ a						
221-2		n yː						
233-2		d u						
246-2		t yː						
252-2		tɕ ɛ n						
253-2		r a n						
261-2		b y						
262-2		j yː						
281-2		tɕ ɛ k						
287-2		l i ŋ						
288-2		l uː						
292-2		d i k						
297-2		kʰ ɔ						
332-2		b						
342-2		s						
358-2		j u ŋ						
366-2		tɕ ə						
378-2		tɕʰ ɛ						
382-2		s iː						
392-2		dʑ ɔ k						
397-2		b						
437-2		h ɔ						
444-2		pʰ l ɐ k						
465-2		tɕʰ i						
471-2		m a						
477-2		k						
478-2		r						
481-2		dʑ a						
483-2		z a						
500-2		m i ŋ						
511-2		k						
525-2		tɕ iː						
542-2		dʑ a ŋ						
625-2		r u ŋ						
638-2		n u ŋ						
640-2		tɕʰ u						
656-2		z y						
657-2		d u ŋ						
818-2		tʰ ɛ k						
825-2		tʰ ə						
839-2		tɕʰ ɐ						
841-2		j a						
932-2		s						
936-2		l a						
943-2		b ɐ k						
965-2		d y ŋ						
981-2		d u						
1039-2		s i ŋ						
1044-2		a						
1076-2		kʰ ɐ						
1126-2		tʰ ɛ						
1131-2		b						
1132-2		tɕʰ a						
1166-2		k ɛ						
1175-2		n						
944-2		tʰ y ŋ						
1199-2		tɕ ɔ̃ː ŋ						
1228-2		r ɐ k						
1256-2		tɕ y ŋ						
1282-2		d y						
1283-2		j						
32-2		b i						
48-2		tɕ i						
78-2		l y ŋ						
77-2		z y k						
82-2		pʰ ɛ						
103-2		s u ŋ						
113-2		b ɛ						
116-2		k a k						
10-2		a						
192-2		z eː						
198-2		tɕʰ ɐ						
232-2		s a ŋ						
247-2		s i ŋ						
282-2		s uː						
306-2		tɕ r aː						
321-2		z ɛ						
352-2		k a ŋ						
367-2		l yː						
368-2		s						
372-2		s u						
373-2		tʰ ɔ ŋ						
439-2		j ɛː						
129-2		b yː						
390-2		tɕʰ ɐ̃ː						
399-2		h u ŋ						
826-2		m						
432-2		b i						
438-2		m a						
440-2		s u						
476-2		z u						
491-2		ɔ						
205-2		z yː						
513-2		s ə						
520-2		tʰ						
524-2		z a						
151-2		l y ŋ						
572-2		l ɛː						
574-2		s						
583-2		tɕʰ yː						
597-2		z ə						
609-2		tɕʰ i k						
612-2		h u						
166-2		l ɐ k						
622-2		t						
667-2		tɕ ə						
689-2		kʰ						
690-2		tɕ ɛ n						
752-2		h a						
755-2		n ə						
1-3			a a					
5-3			n a					
4-3			tʰ a					
6-3			n a ŋ					
15-3			b i					
55-3			l a					
56-3			u					
60-3			s i					
61-3			kʰ u ŋ					
80-3			tɕʰ ɔ k					
87-3			tɕʰ u					
86-3			pʰ a					
92-3			pʰ a					
102-3			m a					
106-3			pʰ ɔ k					
108-3			d a					
107-3			l a					
112-3			pʰ a p					
115-3			ɕ a					
114-3			tʰ ɔ m					
120-3			t a					
124-3			a					
125-3			tʰ ɔ k					
132-3			h i					
131-3			l i ŋ					
136-3			b u					
134-3			kʰ a k					
137-3			ɔ					
138-3			d ɔ k					
140-3			h w a					
143-3			tɕʰ a k					
145-3			tɕʰ a m					
147-3			h a					
149-3			h u t					
153-3			ɕ a					
152-3			kʰ ɛ n					
158-3			kʰ u s					
163-3			l i					
164-3			a u					
167-3			pʰ a ŋ					
171-3			a u ŋ					
172-3			b u k					
173-3			tʰ ɔ n					
183-3			l a					
185-3			m a					
188-3			a u n					
189-3			ts u n					
193-3			h a					
196-3			m a l					
199-3			ɕ a					
200-3			kʰ a l					
201-3			kʰ i					
202-3			kʰ ɔ					
203-3			tʰ ɔ ŋ					
204-3			b u					
206-3			a a ŋ					
117-3			b u					
146-3			kʰ i p					
219-3			h ɔː					
218-3			k i					
224-3			m a ŋ					
240-3			ɕ a k					
244-3			w a t					
255-3			t a s					
260-3			b a					
263-3			l a					
269-3			a l a ŋ					
271-3			tʰ a k					
209-3			kʰ i p					
277-3			m ɛ m					
278-3			pʰ ɔ ŋ					
135-3			d a					
284-3			m u					
797-3			u					
290-3			l a ŋ					
289-3			k a					
296-3			n i					
310-3			ɕ i					
319-3			i					
325-3			l a					
327-3			tʰ i					
331-3			k a					
337-3			b j ɛ ŋ					
338-3			a i ŋ					
339-3			a l					
350-3			kʰ u					
349-3			tʰ u ŋ					
357-3			tɕʰ a					
355-3			ɔ					
363-3			b a n					
361-3			tʰ a					
365-3			s a l					
364-3			a a					
375-3			l ɔ k					
379-3			ɕ ɛ t					
380-3			kʰ u					
396-3			j a					
400-3			m a					
405-3			d a ŋ					
404-3			s u m					
409-3			l j ɛ k					
410-3			h u t					
415-3			b a					
416-3			b u					
101-3			ŋ a					
37-3			kʰ a					
424-3			pʰ a					
434-3			ɕ ɛ l					
445-3			p					
446-3			ɕ i					
451-3			t a					
457-3			n a m					
456-3			b a					
464-3			p ɕ i ŋ					
473-3			ɕ i					
474-3			ɔ ŋ					
479-3			s ɛ l					
489-3			j i					
490-3			j a ŋ					
494-3			ɕ a					
503-3			kʰ u					
502-3			ɕ a ŋ					
235-3			l u ŋ					
519-3			l i					
523-3			u k					
527-3			kʰ j ɛ ŋ					
538-3			ɕ					
544-3			w a m					
850-3			a					
554-3			b u					
553-3			d u n					
558-3			kʰ a m					
561-3			ɕ a					
562-3			p a					
564-3			j a					
567-3			m a					
570-3			pʰ u					
575-3			a					
582-3			l a					
585-3			a t					
589-3			kʰ u m					
593-3			d ɛ n					
594-3			l u ŋ					
595-3			tʰ u ŋ					
596-3			ŋ a k					
598-3			ʑ ɛ t					
599-3			d ɛ m					
602-3			ʑ a					
603-3			l a p					
606-3			s u m					
605-3			b a					
620-3			l a					
637-3			pʰ a k					
639-3			dʑ u					
645-3			kʰ ɔ					
646-3			l i ŋ					
168-3			h j ɛ k					
658-3			h ɔ t					
665-3			pʰ a					
668-3			pʰ a					
677-3			t a ŋ					
75-3			k ɔ ŋ					
678-3			ɕ a					
682-3			m a n					
493-3			ʑ u					
693-3			ɕ a					
694-3			m a					
702-3			tsʰ u m					
704-3			m a					
176-3			l a					
709-3			s a m					
710-3			t u					
714-3			m j ɛ					
718-3			kʰ a					
719-3			tɕʰ a m					
22-3			m u					
723-3			ts u n					
726-3			b i ŋ					
729-3			b ɔ					
730-3			d i					
739-3			p ɕ i					
740-3			b a					
741-3			kʰ ɔ p					
744-3			ɔ					
743-3			kʰ ɔ n					
746-3			pʰ ɔ ŋ					
748-3			tʰ i					
747-3			kʰ u					
749-3			kʰ ɛ n					
751-3			t a n					
762-3			m ɛ n					
764-3			h i n					
765-3			b i					
788-3			h u					
615-3			l a k					
803-3			ɕ a					
802-3			b a k					
808-3			b a					
809-3			ts i					
819-3			d u k					
821-3			ɕ a					
820-3			b a					
828-3			ɕ a k					
827-3			p u					
835-3			h a					
308-3			d u					
844-3			ʑ i p					
848-3			m u					
705-3			l a					
613-3			ɔ					
649-3			h j ɛ k					
876-3			ɕ u					
878-3			j ɔ m					
889-3			h a m					
898-3			n u k					
902-3			h a ŋ					
910-3			i n					
916-3			l i					
919-3			l i					
922-3			ɕ i s					
930-3			tɕʰ u					
933-3			k a					
939-3			d j ɛ k					
947-3			j ɛ n					
948-3			n a					
963-3			ʑ a					
967-3			tɕʰ u p					
969-3			ɕ a					
970-3			kʰ ɔ k					
972-3			n a					
731-3			m u					
973-3			b i n					
974-3			h a s					
979-3			dʑ ɛ n					
182-3			kʰ u					
993-3			n a m					
994-3			ʑ u					
1001-3			s a					
1002-3			d a					
1005-3			tɕʰ u n					
1009-3			kʰ a					
1022-3			ɕ a					
1021-3			dʑ ɔ k					
1043-3			a u ŋ					
1049-3			t u s					
1065-3			kʰ i ŋ					
1068-3			w u					
1077-3			l u ŋ					
1081-3			l a ŋ					
1084-3			ɕ i ŋ					
1092-3			m a					
1091-3			dʑ u					
1096-3			n a					
1097-3			dʑ u					
1102-3			g a					
1104-3			tʰ ɔ n					
1108-3			tɕʰ a k					
552-3			dʑ a					
1111-3			b a					
1116-3			s a n					
722-3			kʰ a					
1141-3			j a ŋ					
1147-3			pʰ i					
1146-3			dʑ a					
1150-3			h w a ŋ					
1151-3			ɔ m					
1158-3			kʰ a k					
1159-3			pʰ u					
1164-3			tʰ a					
1163-3			l a					
1167-3			s a ŋ					
1171-3			l a					
1177-3			ɕ u p					
1187-3			kʰ a					
1189-3			a i s					
52-3			kʰ a					
1195-3			ʑ i					
1203-3			tʰ u p					
1211-3			j a					
329-3			w a					
1217-3			m a ŋ					
72-3			kʰ a					
1218-3			tɕʰ i k					
1222-3			tɕʰ ɔ l					
1229-3			dʑ a m					
1238-3			d a ŋ					
1249-3			m i					
1252-3			j a					
1254-3			n a m					
1253-3			s u ŋ					
1257-3			k a					
1263-3			dʑ u					
1266-3			dʑ a k					
584-3			t ɔ m					
7-3			w a					
1191-3			l j a ŋ					
13-3			tɕʰ a					
18-3			p a					
33-3			n a m					
74-3			t a					
83-3			m i k					
89-3			tʰ ɔ ŋ					
90-3			j a p					
104-3			m a					
123-3			tɕʰ i					
122-3			kʰ u s					
121-3			m a					
154-3			tɕʰ a					
159-3			ɕ a					
161-3			kʰ i					
170-3			a ɛ t					
91-3			ɔ					
181-3			n a					
191-3			ɕ a					
211-3			a a a					
210-3			a a a					
217-3			k a					
233-3			a a					
246-3			a a					
252-3			ts ɛ n					
253-3			l a m					
261-3			b ɔ					
262-3			j u					
292-3			d e					
297-3			kʰ ɔ					
311-3			k i					
332-3			b a					
342-3			a a					
358-3			dʑ ɔ ŋ					
378-3			tɕʰ ɛ t					
382-3			m a					
397-3			p a					
437-3			a a					
444-3			pʰ u a a					
465-3			tɕʰ a					
471-3			m a ŋ					
477-3			d u					
478-3			l u					
483-3			a ɛ l					
500-3			m a ŋ					
511-3			kʰ ɔ					
525-3			tɕʰ i					
625-3			a a ŋ					
638-3			n a					
640-3			a tɕʰ a ŋ					
659-3			d a					
711-3			tɕ u					
745-3			n a m					
818-3			tʰ a					
825-3			tʰ a					
841-3			a					
894-3			b l u					
932-3			ɕ a					
936-3			l a					
943-3			pʰ a k					
981-3			a a					
1039-3			s a ŋ					
1044-3			u					
1076-3			kʰ a					
1131-3			pʰ a					
1166-3			d ɛ p					
1175-3			h i n					
944-3			t u ŋ					
1199-3			tɕʰ ɔ ŋ					
1228-3			a a a					
1256-3			tɕ u ŋ					
1282-3			d a					
1283-3			j u					
30-3			m ɔ n					
32-3			p a					
48-3			tɕʰ a					
59-3			m a n					
68-3			u					
69-3			kʰ a ŋ					
82-3			pʰ ɛ t					
88-3			dʑ i k					
100-3			ʑ a n					
113-3			pʰ u a a					
116-3			m a k					
142-3			a j ɛ k					
155-3			kʰ l a ŋ					
268-3			tsʰ u					
285-3			tɕʰ a m					
315-3			l a					
318-3			j u					
352-3			a a a					
406-3			l a					
421-3			j ɛ t					
436-3			ts i					
515-3			b u					
516-3			d u p					
524-3			a u m					
545-3			pʰ i					
566-3			kʰ ɛ t					
579-3			dʑ ɔ ŋ					
587-3			tɕ u p					
597-3			ɕ a					
609-3			a a a a					
166-3			l a k					
644-3			j ɔ ŋ					
733-3			tʰ ɔ ŋ					
738-3			tsʰ ɛ t					
755-3			h ɛ m					
1-4				kʰ uː				
5-4				n a				
4-4				tʰ i k				
6-4				r a ŋ				
15-4				dʑ i				
55-4				l ɔ				
56-4				a				
60-4				s yː				
61-4				kʰ y ŋ				
80-4				tsʰ ɔ k				
87-4				tɕʰ a				
86-4				pʰ l aː				
92-4				pʰ l aː				
102-4				m ɔː				
106-4				pʰ u k				
108-4				d a				
107-4				d l aː				
112-4				pʰ ɔ				
115-4				s				
114-4				tʰ u n				
120-4				t u				
124-4				a				
