COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
171-1	j a ŋ ⁵						
174-1	l a m ³						
181-1	m j ɔ̰ ʔ ³¹						
193-1	b u ³						
205-1	n a d k ⁵⁴						
206-1	m a̰u ʔ ⁵						
212-1	tʃʰ ɔ ʔ ⁵³						
214-1	l a m ³¹						
217-1	j ɨu ⁴²						
224-1	n d a̰u ⁵						
228-1	b a̰u ³¹						
238-1	j au ³						
241-1	ʃ ɔ ⁵						
246-1	k j a ³						
256-1	ʔ a d ³						
257-1	pʰ ɔ ŋ ⁵³						
272-1	m ɔ̰ ⁴³						
273-1	ʔ a d ⁵⁴						
274-1	m a ŋ ⁴³						
286-1	kʰ u m ³¹						
289-1	kʰ u ŋ ³						
294-1	ʔ ɨu ³						
301-1	j ɔ ʔ ³						
306-1	kʰ j a p ⁵⁴						
307-1	ŋ a p ⁵⁴						
321-1	tʰ a ŋ ⁵						
331-1	m j ɔ ³						
332-1	l a m ⁵						
335-1	g j ɔ ³¹						
336-1	n a m ³						
340-1	ŋ a̰u ³¹						
342-1	m j d a̰u ⁵³						
360-1	dʒ w a p ³¹						
376-1	s a n ʔ ⁵						
389-1	n j ɛ k ⁴²						
395-1	n ɔ ⁴²						
401-1	ʃ ei ⁴²						
404-1	u ŋ ³						
408-1	d ɔ ⁵						
409-1	l ɔ ³						
413-1	d ṵ n ³¹						
421-1	m n a t ⁵						
425-1	b j ei ³						
430-1	tʃʰ i ḭ ³						
442-1	d ɨu ³						
447-1	tʰ u ŋ ⁴³						
456-1	k ɔ ³						
458-1	ʃ ɔ ⁵						
469-1	kʰ au ³¹						
470-1	d a d ³¹						
475-1	ŋ ɔ ³¹						
477-1	n ɔ t ⁵⁴						
478-1	ʃ a̰ t ⁵						
480-1	g au ʔ ⁵						
485-1	m j ɔ ³¹						
495-1	ŋ d ɛ ³¹						
499-1	m a̰ ŋ ⁵⁴						
500-1	n w æu m ³²						
501-1	tʰ ɨu ⁵⁴						
506-1	dʒ j a t ⁵⁴						
507-1	n ɛ ʔ ³						
509-1	l u ŋ ³						
510-1	b w ai ŋ ³						
511-1	l ɔ ʔ ³						
521-1	h a̰u ³						
525-1	n j d a̰u ³						
538-1	tʃʰ w a̰u ³						
539-1	dʒ ɛ ŋ ⁴²						
544-1	k a̰ ʔ ³¹						
550-1	tʰ ɔ ʔ ³¹						
562-1	m ṵ ŋ ³						
568-1	g ɛ ³						
2-1	kʰ j u ŋ ³						
11-1	s ai ŋ ³						
12-1	w ɔ ³¹						
22-1	g u ŋ ³¹						
28-1	b ɔ ³						
29-1	tʰ ɔ ʔ ⁵						
30-1	w a ŋ ³¹						
35-1	l u ŋ ³¹						
38-1	dʒ u ŋ ³¹						
42-1	d u ³¹						
46-1	tʃʰ o ³¹						
52-1	t æu ʔ ⁵⁴						
55-1	b ai m ³¹						
69-1	Ø ɔ ʔ ⁵						
79-1	g j ai m ³						
83-1	tʃʰ d a̰u ³						
86-1	j ɔ ʔ ⁵						
89-1	s a ŋ ³						
90-1	pʰ ɔ ʔ ³						
91-1	ʔ ṵ n ⁴³						
92-1	kʰ ɛ t ⁵						
106-1	k ɨu ʔ ⁵³						
120-1	tsʰ a ³						
125-1	dʒ d d ɔ ʔ ³						
148-1	d a ŋ ³						
173-1	pʰ i t ⁵³						
179-1	ṵ u ³						
186-1	ŋ ɔ ³						
187-1	l a ŋ ³						
197-1	n au t ⁵⁴						
209-1	kʰ j j u ŋ ³						
210-1	w a m ³						
211-1	d i ʔ ³¹						
213-1	n u ⁵						
215-1	d n ɛ ʔ ³¹						
220-1	tʰ ɨu ŋ ³¹						
237-1	ʃ a ⁵						
239-1	n a m ³						
242-1	tsʰ ɨu ³²						
248-1	kʰ i ⁵						
255-1	d j ɨu ³¹						
271-1	tʃʰ a̰u ³						
275-1	n u ŋ ⁵						
277-1	tʃʰ a ŋ ³						
295-1	kʰ u d ⁵⁴						
302-1	tsʰ au m ³						
309-1	l ɔ ʔ ³						
312-1	ʔ a̰u ⁵						
313-1	m a ³						
314-1	tsʰ a m ³						
315-1	tʃʰ a ŋ ⁵						
330-1	l ɛ ³						
333-1	ʃ j a m ⁵						
338-1	m ɔ ʔ ³						
346-1	ʃ i ³¹						
348-1	j a̰ t ³¹						
1-2		m a ²³					
4-2		l a ⁵²					
18-2		m o ⁵²					
19-2		n i ⁵²					
44-2		l a ʔ ²³					
50-2		Ø a ³					
62-2		Ø a ʔ ⁵²					
70-2		Ø o n ⁵²					
75-2		m j a ʔ ⁵²					
97-2		Ø o ŋ ⁵²					
112-2		t a ⁵²					
122-2		m j a ʔ ³					
127-2		k i ⁵²					
132-2		Ø a ʔ ³					
133-2		n a ²³					
135-2		n a ²³					
142-2		t j i ³					
143-2		ŋ a ʔ ³					
149-2		ʔ a ʔ ²³					
152-2		ŋ a ²³					
157-2		p ⁵²					
183-2		ʔ o ⁵²					
184-2		n a ʔ ³					
185-2		t o ³					
189-2		m j a ʔ ⁵²					
192-2		n a ³					
195-2		n a ²³					
200-2		k a ⁵²					
216-2		p a ⁵²					
218-2		l a ʔ ³					
225-2		Ø a ⁵²					
235-2		k i ³					
244-2		Ø i ⁵²					
253-2		m i ⁵²					
270-2		m i ʔ ⁵²					
278-2		m a ŋ ³					
279-2		Ø o ⁵²					
285-2		j Ø m ³					
308-2		p i ⁵²					
322-2		m i ⁵²					
325-2		k a ⁵²					
337-2		m j o ŋ ²³					
341-2		t a ³					
347-2		Ø a ʔ ²³					
362-2		i ²³					
391-2		j Ø p					
394-2		m a ʔ ³					
397-2		t i ⁵²					
443-2		n j a p					
460-2		Ø o ʔ ⁵²					
463-2		Ø i ²³					
464-2		ʔ a ⁵²					
473-2		Ø a m ⁵²					
476-2		k j a ʔ ³					
481-2		t i ³					
494-2		k i ³					
496-2		Ø a ŋ ³					
516-2		Ø a ⁵²					
522-2		n a ʔ ²³					
523-2		Ø j Ø ³					
524-2		n Ø ²³					
540-2		k a ²³					
3-2		p j a ³					
6-2		k i ³					
7-2		ts Ø m ²³					
20-2		n o ʔ ²³					
39-2		m i ²³					
51-2		ŋ j j ³					
72-2		ʔ a ²³					
94-2		m i ²³					
100-2		Ø a n					
116-2		l a ⁵²					
136-2		l j i ²³					
137-2		k j a ³					
139-2		m Ø ³					
150-2		k a ʔ ²³					
154-2		m Ø ³					
166-2		Ø j a ³					
169-2		j o ŋ ³					
170-2		p j a ³					
171-2		j o ŋ ³					
174-2		l o ³					
181-2		m j a ʔ ²³					
205-2		n a ʔ ²³					
206-2		m Ø ²³					
214-2		l a m ⁵²					
217-2		ʔ a ³					
224-2		n j j ⁵²					
228-2		p Ø ²³					
246-2		j a ⁵²					
256-2		ʔ a					
257-2		Ø a ⁵²					
273-2		ʔ o ³					
286-2		k a m ⁵²					
307-2		ŋ o ʔ ²³					
335-2		k j a ³					
342-2		m j Ø ³					
376-2		Ø i ʔ ²³					
389-2		n o ²³					
404-2		t a ŋ ⁵²					
408-2		t a ⁵²					
413-2		p a n ³					
421-2		m a ²³					
430-2		Ø i ⁵²					
458-2		Ø a ⁵²					
470-2		t a ³					
475-2		ŋ ³					
477-2		n o ʔ ²³					
478-2		Ø j i ²³					
480-2		k a ³					
485-2		m j a ²³					
495-2		ŋ Ø ³					
499-2		m j Ø ²³					
500-2		j Ø m ²³					
506-2		p o ³					
509-2		l Ø ŋ ⁵²					
525-2		n j Ø ³					
22-2		k a ŋ ⁵²					
28-2		p i ³					
29-2		Ø a ʔ ³					
30-2		Ø o ŋ ²³					
35-2		l a ŋ ²³					
38-2		t j a ⁵²					
46-2		Ø a ²³					
52-2		t j a ʔ ³					
55-2		p a m ²³					
69-2		Ø a ʔ ⁵²					
125-2		k j j a ³					
163-2		Ø a n ⁵²					
173-2		Ø Ø ³					
179-2		ʔ a j ⁵²					
210-2		j Ø a m ³					
211-2		t Ø ³					
213-2		j n a ⁵² ²³					
215-2		t a ʔ ²³					
237-2		Ø a ³					
252-2		k j Ø ⁵²					
255-2		p j a ³					
275-2		n a ⁵²					
281-2		k j a ³					
300-2		k o n					
333-2		Ø o ³					
1-3			m au ³				
4-3			l e ⁵³				
18-3			m j ə ⁴				
19-3			n j e g ³¹				
44-3			l o k ³²				
50-3			s j e ŋ ³				
62-3			s ə k ⁵				
70-3			p g æ ²				
75-3			m j a ³²				
97-3			tʃʰ j a ŋ ⁵				
112-3			tsʰ ɔ ⁴				
122-3			m j o k ³¹				
127-3			g i ³²				
132-3			g w a ʔ ³				
133-3			n j ɔ ŋ ³				
135-3			n au ŋ ⁵				
142-3			d z i ⁵¹				
143-3			ŋ ɔ ʔ ⁵³				
149-3			ʔ ø j ⁵³				
152-3			ŋ ɔ g ⁴				
157-3			p ɔ ⁵				
183-3			ʔ ø ³				
184-3			n o ³				
185-3			tsʰ a m ³¹				
189-3			m j ɔ ʔ ⁵				
192-3			n ɔ k ³¹				
195-3			n ɔ ²³				
200-3			g e ⁵				
216-3			s j ə ⁵				
218-3			l ø ʔ ³²				
225-3			s ə ⁴				
235-3			kʰ j e z ⁵⁴				
244-3			s i ⁵				
253-3			m j e ³				
270-3			m j i j ³				
278-3			m j ə ŋ ⁵¹				
279-3			w ɔ ³²				
285-3			ʔ j ə m ³				
308-3			d j a g ⁵				
322-3			m j i ³				
325-3			kʰ au ³				
337-3			m j ãɪ ŋ ³¹				
341-3			d z ɔ ²				
347-3			ʃ o k ⁵³				
362-3			g j i k ³¹				
391-3			j ə b ⁵³				
394-3			m ɔ ʔ ³²				
397-3			tʃʰ e k ³				
443-3			m j ɔ p ³²				
460-3			s æ ⁵³				
463-3			g w ə k ⁵¹				
464-3			j o ŋ ³				
473-3			s ɛ m ⁵³				
476-3			kʰ j o ʔ ³				
481-3			tsʰ e g ⁵⁴				
494-3			k ɛ ⁵³				
496-3			h j ə ŋ ³¹				
516-3			w ɛ ³				
522-3			n ɔ ʔ ³				
523-3			tʰ j ɛ k ³¹				
524-3			n ɛ ³				
540-3			kʰ ɔ ³²				
3-3			b i k ⁵¹				
6-3			g k e ³				
7-3			dʒ ə m ³²				
20-3			n æ p ³²				
39-3			m j e ⁵				
51-3			ŋ w e g ³²				
64-3			g ɔ̃ ŋ ⁵¹				
65-3			k g o k ⁵³				
66-3			ts z ø ²				
71-3			ʃ i ⁴				
72-3			ʔ a ⁵¹				
76-3			w o ²				
77-3			n ə k ⁴				
78-3			m a ³¹				
82-3			b g ɔ ŋ ³				
87-3			ŋ ɔ ʔ ³				
93-3			l a m ⁴				
94-3			m j e ³				
100-3			s z o n ³²				
116-3			l o ⁴				
119-3			w a m ³¹				
124-3			b j ³				
136-3			l i ⁵				
137-3			kʰ j ø k ³				
139-3			m i ⁴				
144-3			s ø ⁵³				
145-3			d o ŋ ³¹				
146-3			m a ³²				
150-3			g j ɔ ʔ ³²				
154-3			m k j e ³¹				
165-3			g a ŋ ³				
166-3			p j ɔ ³				
169-3			g j a̰ ŋ ³				
170-3			b j ɔ ³				
171-3			j a ŋ ³¹				
174-3			l æ̰ m ³				
181-3			m j ɔ ʔ ⁵³				
193-3			b ə ³				
205-3			n ɔ k ⁵²				
206-3			m g e k ³				
212-3			tʃʰ ɔ ʔ ⁵³				
214-3			l oi m ³¹				
217-3			ʔ ø ³				
224-3			k n j j w ⁴				
228-3			b o k ³				
238-3			j au ³¹				
241-3			ʃ ɔ ⁵				
246-3			g j æ ⁵				
256-3			ʔ ãɪ ŋ ³				
257-3			b a ⁵				
272-3			m o ⁵				
273-3			ʔ a k ³				
274-3			m a ŋ ³²				
286-3			kʰ w a m ⁵				
289-3			kʰ o ŋ ³				
294-3			ʔ ø ⁵				
301-3			j ɔ ʔ ⁴				
306-3			kʰ j oi p ⁵³				
307-3			ʔ æ̰ p ⁵²				
321-3			tʰ a ŋ ⁵				
331-3			m j ɔ ³¹				
332-3			l e m ³				
335-3			g j ɔ ³²				
336-3			g a ³				
340-3			ŋ au ³¹				
342-3			m j j o ³¹				
360-3			dʒ oi p ⁵³				
376-3			s z ə ʔ ⁵³				
389-3			n k a̰ g ⁵³				
395-3			n ɔ ³¹				
401-3			ʃ e ³				
404-3			ts z ø ŋ ³¹				
408-3			d k ɔ ⁴				
409-3			l ɔ ⁵				
413-3			ts w a n ⁵³				
421-3			k n j o p ³				
425-3			p j e ³				
430-3			tʃʰ e ŋ ³				
442-3			d ø ²				
447-3			tʰ o ŋ ³²				
456-3			g ɔ ⁵				
458-3			ʃ o ³				
469-3			kʰ au ⁵³				
470-3			d a k ³				
475-3			ŋ ɔ ²				
477-3			k n j ə ⁵³				
478-3			ʃ j ə ⁵³				
480-3			g k au g ²				
485-3			m j ɔ ³				
495-3			ŋ g i ³¹				
499-3			m j a̰ ŋ ³¹				
500-3			n j au m ³²				
501-3			tʰ o ³¹				
506-3			ts ə ⁵³				
507-3			n ə ʔ ³²				
509-3			l ə ⁵				
510-3			b j ɛ ŋ ⁴⁵				
511-3			l ɔ ʔ ⁴				
521-3			h a g ³				
525-3			n j au ⁴				
538-3			tʃʰ a ³				
539-3			d z j ə ŋ ³²				
544-3			k j o k ⁴				
550-3			tʰ ɔ ʔ ⁵²				
562-3			m j o ŋ ³				
568-3			g i ⁴				
2-3			kʰ o ŋ ³²				
11-3			s ə ŋ ³¹				
12-3			j a ŋ ⁵³				
22-3			g o ⁵¹				
28-3			b ãɪ ³				
29-3			tʰ ɔ k ⁵³				
30-3			a ŋ ³¹				
35-3			l a ŋ ³¹				
38-3			ts z ø ³¹				
42-3			p ə k ³				
46-3			ʃ ɔ ³¹				
52-3			tʰ j ə ʔ ³				
55-3			b ɛ m ³¹				
69-3			Ø a ʔ ⁵³				
79-3			g ə m ³				
83-3			tʃʰ a ³				
86-3			j e ⁵³				
89-3			s a ŋ ³				
90-3			p ɔ ⁵⁴				
92-3			kʰ ə ⁵³				
106-3			g ø ʔ ³				
120-3			tsʰ a ʔ ³²				
125-3			g j ɔ m ³				
148-3			k ts a ²				
163-3			ʃ ə n ⁵				
173-3			p ə ³				
179-3			ʔ o ʔ ⁵				
186-3			ŋ a ³				
187-3			l au ŋ ³				
197-3			n ɔ ŋ ⁵³				
209-3			kʰ o ŋ ³				
210-3			g a m ³				
211-3			d au k ³²				
213-3			k n æ̰ g ⁵²				
215-3			tsʰ g ɛ t ⁵³				
220-3			tʰ o ŋ ⁵				
237-3			ʃ ãɪ ⁵³				
239-3			n a m ³				
242-3			tsʰ ø ³¹				
248-3			kʰ j e ³				
252-3			g j ɔ ³¹				
255-3			b j ɛ ⁵²				
271-3			tʃʰ a g ⁵³				
275-3			n o ⁵				
277-3			tʃʰ ɛ ŋ ⁵				
281-3			g j ɔ̃ ⁴				
283-3			l a̰ g ⁵¹				
295-3			kʰ o ³²				
300-3			g o̰ ⁴⁵				
302-3			tsʰ au ⁵³				
309-3			l ɔ ʔ ³²				
312-3			ʔ au ³				
313-3			m z oi ʔ ⁵				
314-3			tsʰ oi m ³¹				
315-3			tʃʰ ɛ ³				
330-3			l e ³				
333-3			ʃ k æ m ³				
338-3			m j ø ʔ ⁴				
346-3			ʃ ə b ⁵³				
348-3			ə ⁴				
352-3			kʰ j o ⁵				
1-4				m o ʔ ⁴			
4-4				l ə ³²			
18-4				m j i ŋ ²			
19-4				n i t ²			
44-4				l au ʔ ⁴			
50-4				ʃ e ŋ ⁴			
62-4				s a k ⁵			
70-4				b e n ²			
75-4				m j ɔ k ³²			
97-4				tʃʰ a ⁵⁴			
112-4				tsʰ o ³²			
122-4				m j au ʔ ⁴³			
127-4				kʰ i ⁴³			
132-4				w a ʔ ⁴²			
133-4				n a ⁴			
135-4				n o ʔ ³²			
142-4				d z i ³			
143-4				ɔ ʔ ⁵⁴			
149-4				au ʔ ⁴			
152-4				ŋ a ⁴			
157-4				p o ³²			
183-4				ʔ a ²			
184-4				n au ʔ ⁵⁴			
185-4				tsʰ ḛ ⁵⁴			
189-4				m j o ʔ ³⁴			
192-4				n o ⁵⁴			
195-4				n o ²			
200-4				g e d ⁵⁴			
216-4				s a ŋ ³²			
218-4				l o ʔ ³			
225-4				s a ⁵			
235-4				kʰ i t ⁵⁴			
244-4				s i ³²			
253-4				m i ³²			
270-4				m i ʔ ²			
278-4				m a ŋ ³			
279-4				w a ³⁴			
285-4				z j æu m ⁴²			
308-4				p au ³²			
322-4				m i ⁵¹			
325-4				kʰ o ʔ ³²			
337-4				m j a ³			
341-4				d z o ⁵⁴			
347-4				ʃ au k ⁵			
362-4				ɣ i ³⁴			
391-4				j æu ⁴			
394-4				m o ʔ ⁵⁴			
397-4				tʃʰ i t ³²			
443-4				m j ɔ p ⁵⁴			
460-4				s a̰ t ⁵			
463-4				i ³⁴			
464-4				ʔ a ⁵⁴			
473-4				s a m ³			
476-4				kʰ j au ʔ ⁴			
481-4				tsʰ i ⁵⁴			
494-4				g u ⁵			
496-4				a ŋ ⁴			
516-4				ɪ ⁴			
522-4				n o ʔ ³²			
523-4				pʰ j au ³			
524-4				n ɪ ³			
540-4				kʰ o ⁴²			
3-4				b i n ³²			
6-4				g i ⁴			
7-4				d ə ²¹			
20-4				n ḛ p ²			
39-4				m i t ⁵			
51-4				n i ³²			
64-4				k a̰u ŋ ⁵⁴			
65-4				k au ʔ ⁵⁴			
66-4				d z u ²			
71-4				ʃ i ²			
72-4				ʔ a ⁴			
76-4				w o ⁵⁴			
77-4				m i k ³			
78-4				m o ʔ ³⁴			
82-4				pʰ i ³²			
87-4				o ³			
93-4				l ḛ m ⁵⁴			
94-4				m i ²			
119-4				o m ³			
124-4				p j au ⁵⁴			
136-4				l i ³²			
137-4				kʰ j a̰ ³			
139-4				m i ⁵⁴			
144-4				s e ⁵⁴			
145-4				d au ³			
146-4				m o ʔ ³²			
150-4				g ɔ ʔ ³²			
154-4				m i ³¹			
165-4				g e m ⁵⁴			
166-4				pʰ j o ⁴²			
169-4				k j a̰ ⁵⁴			
170-4				b j o ³²			
174-4				l e ⁵¹			
181-4				m j o ʔ ⁵			
193-4				b ə ³²			
205-4				n ɔ t ⁵⁴			
206-4				m i ³²			
212-4				tʃʰ o ʔ ⁵⁴			
217-4				u ³²			
224-4				n j a ³²			
228-4				b o ʔ n ²			
238-4				o ʔ ³			
241-4				ʃ o ³²			
246-4				g a̰ ²			
256-4				ʔ ə ³²			
257-4				b e ⁵⁴			
272-4				m a ³²			
273-4				ʔ a ³²			
274-4				m a ŋ ⁴²			
286-4				kʰ e m ⁵			
289-4				kʰ ḭ ⁵¹			
294-4				ʔ a ³²			
301-4				o ʔ ³²			
306-4				tʃʰ j a ʔ ⁵⁴			
307-4				ʔ a ʔ ⁵⁴			
321-4				tʰ a ²			
331-4				m j a ŋ ⁵¹			
332-4				l ḛ m ⁵⁴			
335-4				g j o ⁴²			
336-4				n a m ⁴²			
340-4				o ʔ ³			
342-4				m j o ʔ ³			
360-4				dʒ a ʔ ⁴			
389-4				n ə ⁵			
395-4				n o ³			
401-4				ʃ i t ³²			
404-4				d z a̰u ³²			
408-4				d u ³²			
409-4				l ɔ ⁵³			
413-4				d ḛ n ³²			
421-4				n j a ʔ ³²			
425-4				b au ⁵⁴			
430-4				tʃʰ i t ⁴			
442-4				d u ⁵⁴			
447-4				tʰ au ⁴²			
456-4				g o ³²			
458-4				ʃ a̰u ³²			
469-4				kʰ o ʔ ⁵⁴			
470-4				d a ³			
475-4				³			
477-4				n j ə ⁵⁴			
478-4				ʃ i ⁵⁴			
480-4				g o ʔ ³			
485-4				m j o ²			
495-4				a ³			
499-4				m j a ŋ ³²			
500-4				n j a̰u m ³²			
501-4				tʰ au ³²			
507-4				n ɔ k ³			
510-4				b au ⁵			
511-4				l o ʔ ⁴			
521-4				h o ʔ ⁵⁴			
525-4				n j o ʔ ³			
538-4				tʃʰ o ʔ ³			
539-4				dʒ ɪ ŋ ²			
544-4				k au k ⁵⁴			
550-4				tʰ u ʔ ⁵⁴			
562-4				m au ⁵⁴			
568-4				g i ⁵³			
2-4				kʰ au n ⁴²			
11-4				s a ʔ ³²			
12-4				ɣ o ³²			
22-4				g au ⁵¹			
28-4				b a ³²			
29-4				tʰ o ⁵⁴			
30-4				w e ŋ ³			
42-4				pʰ ə ³²			
46-4				s a̰u ³¹			
52-4				d ə ʔ ⁵⁴			
55-4				b a m ³¹			
69-4				h o ʔ ⁵			
79-4				g i m ⁴²			
83-4				tʃʰ a̰ ³			
86-4				ʔ ə ³²			
89-4				s e n ²			
90-4				pʰ o ²			
91-4				ʔ a n ⁵³			
92-4				kʰ ə ³²			
106-4				g au ʔ ³⁴			
125-4				kʰ u ⁵⁴			
148-4				d e n ⁵⁴			
163-4				ʃ i n ³²			
173-4				pʰ ə ⁵⁴			
179-4				ʔ a t ⁴			
186-4				ŋ e ²			
187-4				l e n ³²			
197-4				n au t ⁵⁴			
211-4				d o ʔ ²			
220-4				tʰ au n ⁴³			
237-4				ʃ e ³²			
239-4				n e m ³			
242-4				tsʰ au ²			
248-4				kʰ u ³²			
252-4				g e ²			
255-4				b ʔ au ³¹			
271-4				tʃʰ o ʔ ⁵⁴			
275-4				n au ŋ ³²			
277-4				tʃʰ e ³²			
281-4				kʰ j o ⁴²			
283-4				l ɪ ⁵³			
295-4				kʰ au ʔ ⁵⁴			
300-4				k e n ³			
302-4				tsʰ o ʔ d d ⁵⁴			
309-4				l o ʔ ³			
312-4				ŋ o ʔ ³²			
314-4				tsʰ ɔ m ⁵¹			
315-4				tʰ au ⁴			
330-4				l a ²			
333-4				ʃ e ⁵⁴			
338-4				m j o ʔ ⁴			
346-4				ʃ i ⁵			
348-4				j i ⁵⁴			
352-4				kʰ au ³²			
1-5					m o ³¹		
4-5					Ø ɔ ³¹		
18-5					m j a ʔ ³¹		
19-5					n i		
44-5					ʔ Ø ə k ³¹		
50-5					j ə ŋ		
62-5					s ə ʔ ³¹		
70-5					p ə n ³¹		
75-5					m ɹ a ʔ ³¹		
97-5					ʔ ɔ ⁵⁵		
112-5					Ø ə		
122-5					m j ə k ⁵⁵		
127-5					k w i ³¹		
132-5					w ə ʔ ³¹		
133-5					n j ə ʔ ³¹		
135-5					n o ʔ ³¹		
142-5					i ⁵⁵		
143-5					ŋ a ʔ ʔ		
149-5					ə ³¹		
152-5					ŋ ʔ ³¹		
157-5					ʔ ə		
183-5					k ə		
184-5					n ə ʔ ⁵⁵		
185-5					Ø ə m ⁵⁵		
189-5					m j a ʔ ʔ ³¹		
192-5					n a ʔ ⁵⁵		
195-5					n o ³¹		
200-5					k i ³¹		
216-5					ʔ j ə ŋ ³¹		
218-5					Ø o ʔ ⁵⁵		
225-5					s ə ŋ		
235-5					k ɹ i ʔ ⁵⁵		
244-5					s i		
253-5					m ʔ i ³¹		
270-5					m j i ³¹		
278-5					m a ʔ ŋ		
279-5					w o ³¹		
285-5					j Ø m ³¹		
308-5					p j e ³¹		
322-5					m j e ³¹		
325-5					k o ³¹		
337-5					m ɹ ɔ ⁵⁵		
341-5					ə ³¹		
347-5					s ʔ o ³¹		
362-5					j e		
391-5					j Ø ʔ ³¹		
394-5					m o ʔ ⁵⁵		
397-5					Ø i ʔ ³¹		
443-5					m ɹ a ʔ ʔ ³¹		
460-5					s ə ʔ		
463-5					w e ³¹		
464-5					ʔ ə ³¹		
473-5					s ə m ³¹		
476-5					k ɹ ə k ³¹		
481-5					Ø e ⁵⁵		
494-5					kʰ e ³¹		
496-5					j ə ŋ ³¹		
516-5					w i ⁵⁵		
522-5					n o ʔ ³¹		
523-5					pʰ ɹ Ø ⁵⁵		
524-5					n i ⁵⁵		
540-5					k ə ³¹		
39-5					m j i ⁵⁵		
64-5					k a ʔ ³¹		
65-5					k i k ³¹		
66-5					ə ³¹		
71-5					s e		
72-5					ʔ ɔ ³¹		
76-5					w o ³¹		
77-5					m j e ʔ		
78-5					m o ³¹		
82-5					pʰ a ʔ ŋ ³¹		
87-5					ŋ o ʔ ³¹		
93-5					j o m ³¹		
100-5					s a ʔ n ³¹		
116-5					ə ⁵⁵		
119-5					w o m ⁵⁵		
124-5					p ɹ i		
136-5					Ø j i ³¹		
139-5					m j e ³¹		
144-5					s i ³¹		
145-5					ə ŋ ⁵⁵		
146-5					m o ³¹		
165-5					k j i ɲ ³¹		
171-5					j o ⁵⁵		
193-5					p ə		
212-5					o ʔ ³¹		
214-5					Ø ɔ m ⁵⁵		
238-5					o ³¹		
241-5					s ə		
246-5					ʔ j i		
256-5					ʔ ɔ		
257-5					p i ʔ ³¹		
272-5					m a ʔ ³¹		
274-5					m o ŋ		
289-5					k ə ŋ ⁵⁵		
294-5					ʔ ə ³¹		
301-5					j o ʔ ³¹		
306-5					k j Ø ʔ ³¹		
321-5					Ø o		
331-5					m ɹ ə ³¹		
332-5					Ø a ʔ m		
336-5					n o m ⁵⁵		
