COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
1052-2		a m u														
1989-2		d ɛ l ɛ														
2456-2		tʃ ɔ r i														
2666-2		s i j i														
2817-2		a l i														
3132-2		t u l u														
3300-2		ɛ w i														
3977-2		k i ŋ dʒ ɛ														
3978-2		k i ŋ dʒ ɛ														
4260-2		ɔ m j u														
4278-2		k u m dʒ u														
4334-2		u s u														
4361-2		t u														
4570-2		g ɔ														
4648-2		j ɛ														
5673-2		d u m a														
5887-2		j a m														
446-2		k o l ɔ r ɔ														
1108-2		k ɔ j ɔ														
1124-2		ɛ r ɛ														
1237-2		k u n g i														
1745-2		d a j a														
1823-2		k ɔ														
2143-2		b a														
2265-2		u r ɔ														
2392-2		l ɔ s u														
2579-2		t ɔ														
2902-2		j i														
3197-2		k i														
3339-2		k a r a														
3550-2		t i i														
3943-2		p a l a														
4240-2		w ɔ r u														
5197-2		ɛ r u														
5531-2		t i r ɛ														
5733-2		j i														
409-2		g u r u														
562-2		s u m ɔ														
1022-2		t i r i														
1205-2		j ɛ														
1275-2		m a														
1524-2		k ɔ r ɔ														
1578-2		s u m														
2063-2		i r ɛ														
2798-2		t i r̃ ɛ j̃														
3088-2		k ɛ r i														
3683-2		t i r ɔ														
3772-2		t u m a														
4711-2		j a r i														
4778-2		s a s i j i														
4821-2		m u														
4941-2		ɔ j ɔ														
5272-2		t ɛ														
5319-2		t u s u														
5375-2		m u l ɛ w a														
5423-2		ɔ s ɔ														
5424-2		tʃ ɔ r ɔ														
5465-2		g u g o														
5497-2		m w														
178-2		k u u g u o o														
563-2		s u m ɔ														
684-2		t a														
742-2		s a r a														
787-2		n i w a														
1126-2		n i														
1204-2		tʃ ɛ r i														
1373-2		u ɔ														
1787-2		m														
1969-2		d u g u r u														
2283-2		b ɛ r u														
2441-2		m i														
2598-2		j ɛ j														
2773-2		b a r m i a														
2863-2		dʒ i j ɔ														
3011-2		t a l a j														
3176-2		s ɔ r ɔ														
3319-2		k u w a o														
715-3			d u													
1089-3			n aː													
1319-3			n a e													
1398-3			s u g a l e													
1557-3			g i r e													
1626-3			w a g e													
1840-3			d ɛ n ɛ													
2247-3			g e e													
4677-3			k u l e n i													
5162-3			m i n l e													
5406-3			d aː n d i													
359-3			k a r a													
1577-3			g i r e													
2196-3			n a l e													
2533-3			b a m g e													
3866-3			d ɔ dʒ i													
4553-3			d a ŋ g e e													
5254-3			d i l ɛ													
503-3			k i n e													
1881-3			n aː m ɛ													
2084-3			j a m g i													
2420-3			k u l e													
3218-3			p u g a dʒ e													
3372-3			n a m a													
3718-3			d a r a													
2320-3			k a n e													
2476-3			k ŋ g e													
3719-3			m i													
4460-3			k aː													
5514-3			n ɛ n d e													
890-3			s a m b i l i													
1336-3			d e g e													
1703-3			b aː													
2162-3			j aː													
2635-3			m													
2735-3			d a n b a m a													
762-3			b a l a ŋ g a													
1788-3			s e													
2713-3			t a m b a m d a b ɛ													
3219-3			s a													
4629-3			t aː m b a													
4904-3			aː aː aː m ɛ													
5125-3			ŋ aː n e													
5771-3			d u g e e													
5938-3			k a r u n a													
1898-3			p u l ɔ ɛ													
2901-3			t aː m													
2957-3			m a n d e													
3048-3			b i e													
5081-3			p i n i													
6006-3			p ɔː r i													
716-3			g e													
1152-3			d i g ɛ													
1789-3			k aː m a													
2083-3			k a m n i													
2108-3			p a m													
2618-3			k ɛ l e													
2880-3			k u n d u g a													
2941-3			b i l a													
3405-3			d ɛ m ɛ ɛ													
3811-3			l e													
5583-3			ŋ a ŋ g e													
5751-3			d i g ɛ													
2442-3			k aː m a													
2496-3			d aː n													
4921-3			s a b l e													
196-3			k a l e													
3639-3			d a w a													
3905-3			k													
3977-3			m ɔː n d e													
3978-3			m a n d e													
4361-3			p m													
5532-3			k i n i													
1237-3			d i n g e													
1579-3			d m b u l e													
2143-3			m ɛ													
2774-3			k a n a													
3198-3			s ɛ m e													
3534-3			d a n i													
3550-3			d i n a g i													
3684-3			k i m d a													
3943-3			k aː ŋ ɛ													
4259-3			g aː m ɛ													
4611-3			k ɔː m e													
4983-3			s i n d i													
5656-3			m ɔː n d i													
5830-3			j e													
1026-3			l e													
1170-3			g a n d e													
1187-3			d a r e													
1275-3			m													
1454-3			s e l e e													
1668-3			b i n i													
1841-3			g e													
1970-3			p a l a													
2977-3			k ɔ m b e													
3301-3			k e b a													
3498-3			n i													
4442-3			k i													
4479-3			g e													
5038-3			g ɔ l e e													
5391-3			d ɔ m													
5888-3			j a													
6007-3			p a n a													
178-3			k a n a a l i													
684-3			s m m ɛ													
1257-3			k a n a g e													
1433-3			p a l e													
1501-3			n i g e													
1684-3			s i l e													
1864-3			k ɔ g u l ɛ													
1988-3			k b u n d e													
2046-3			g e n d e													
2127-3			n ɔː l ɛ													
2599-3			d i g e													
2756-3			w a l a													
2775-3			b a r i m i													
3254-3			d a l a m a													
715-4				d i r a												
1089-4				n a n a												
1319-4				n a												
1398-4				s u n u r u												
1557-4				k i r a												
1626-4				w a ɣ a												
1840-4				d i r u												
2247-4				k u												
4677-4				k u r a a												
5162-4				m i r u												
5406-4				dʒ aː n a u												
359-4				k a r a												
1577-4				d a r a												
2196-4				n a r a												
2230-4				s i r a												
2533-4				b a r u a												
3605-4				k a n a												
3866-4				s o r u												
4553-4				d a a u												
4822-4				k u m o												
5254-4				d ɔ r ɔ												
503-4				k i r u												
1356-4				m a a												
1881-4				n u m a a												
2084-4				j aː a a												
2420-4				k u r ɔ												
3218-4				d a r a r a												
3718-4				s a r a												
4135-4				s a r u												
4694-4				k u dʒ a r u												
807-4				k oː m ɔ												
2320-4				k a n a												
2842-4				d i r u												
4313-4				n ɛ												
4460-4				s u r												
5514-4				k ɛ n a ɛ												
5810-4				d i r u												
93-4				d o												
260-4				dʒ ɛ r ɛ												
385-4				dʒ ɛ m ɛ												
890-4				k a m i r u												
1769-4				k ɛ m ɛ												
2162-4				b ɛ r u												
2635-4				s o												
2735-4				d a n a a a												
3031-4				d ɛ r ɛ												
5301-4				j ɛ r u												
5605-4				d i r ɛ												
63-4				k a r a												
296-4				k a m a												
463-4				d a m ɲ a												
762-4				b a n a n s u r u												
1432-4				j a r u												
1474-4				dʒ ɔ r												
2044-4				d i m e												
3219-4				d aː r a												
4120-4				k ɔ r o												
4184-4				ɲ ɛ a												
4423-4				d ɔ r ɔ												
4629-4				n u n ɔ												
4759-4				n i n a e												
4904-4				n u ŋ ɔ												
4960-4				dʒ i n a r a												
4980-4				d u												
5059-4				k u r o												
5125-4				k ɔ ɲ ɔ												
5549-4				d a w a a												
5771-4				d u ɣ a a												
5922-4				b i r ɛ												
1-4				b ɛː												
629-4				d ɛː r a												
667-4				ɛ w ɛ												
1254-4				dʒ a m s u r u												
1415-4				ɲ a ɛː												
1542-4				n dʒ u												
1683-4				s i j e												
1898-4				d u r o												
2551-4				r a												
3251-4				dʒ a r a												
3885-4				d ɔ r ɛ												
5622-4				k ɛ l ɔ												
6006-4				b a r a												
43-4				s aː r a												
135-4				dʒ ɛ n a a												
158-4				m ɔ ɲ u												
221-4				ɛ r u												
650-4				dʒ ɛ r a												
1374-4				k ɔ n ɔ												
1452-4				k a r a												
1789-4				n ɔ w̃ ɔ												
1862-4				s u												
2108-4				n a												
2636-4				m a												
3113-4				d e ɣ a												
3136-4				j a r a												
3751-4				k ɛ												
4888-4				s a m a n a												
5180-4				s ɛ m ɛ												
5583-4				d a ŋ a												
5981-4				a r a												
25-4				l a r u s ɛ ɣ ɛ												
114-4				d ɔ r ɔ												
702-4				ɔ ɣ ɔ n u w̃ ɔ												
851-4				g ɔ r a												
872-4				ɛ n ɛ												
952-4				k u r u ɔ												
1941-4				k i r a												
2442-4				n u w̃ o												
3448-4				b a r d a												
3482-4				k i r a d ɛ												
3497-4				dʒ a n a												
3588-4				k ɔ r ɔ												
4101-4				a r a												
4293-4				dʒ ɔ w ɔ												
4520-4				s ɛ r u												
4609-4				k ɔ r ɔ w a												
4740-4				k ɔ l ɔ n												
4781-4				s a a a a												
5982-4				k u r r a												
196-4				d a n a												
545-4				i r u												
931-4				k ɛ												
978-4				dʒ o												
999-4				j ɛ												
1052-4				n a m u												
1070-4				l u ɣ u												
1298-4				k a k a m a a												
1989-4				k a n ɛ												
2145-4				dʒ ɔ a												
2306-4				a m a												
2456-4				d ɔ r u												
2514-4				d u s u												
3132-4				d u n												
3300-4				ɛ w ɛ												
3774-4				s u r u												
3976-4				j r a												
4039-4				d ɔ r u												
4278-4				k u n r u												
4361-4				dʒ e u												
4570-4				d ɔ r ɛ												
5318-4				dʒ a r a												
5673-4				dʒ ɛ m ɛ												
5752-4				b ɛː												
521-4				dʒ u dʒ u												
685-4				s ɔ r ɔ												
744-4				l a w a												
1646-4				ɔ r a												
1745-4				dʒ a j a												
2066-4				n a ŋ a												
2216-4				j ɔ												
2265-4				u l ɔ												
2579-4				k a a												
2958-4				j a												
3197-4				b aː												
3339-4				dʒ dʒ												
3812-4				k a n a a												
4219-4				dʒ ɛ e												
4337-4				s ɔ m ɔ												
5197-4				e r u												
5531-4				t i r u												
5733-4				n i												
409-4				s a r u												
1002-4				r ɛ												
1022-4				dʒ i i												
1238-4				i r a												
1612-4				n u m ɔ												
2334-4				e s u												
2396-4				n ɛ												
2553-4				k a ɲ a												
2671-4				k a n												
2798-4				dʒ a u												
2978-4				k ɔ r ɔ												
3407-4				ɛ m												
3551-4				k ɔ m j a												
3683-4				dʒ i												
4220-4				k u												
4383-4				k ɔ w												
4440-4				dʒ i												
4651-4				d ɛ n												
4711-4				j a r												
4821-4				k u												
5272-4				dʒ e u												
5375-4				l a n a r a												
5465-4				m u j o												
5481-4				j ɔ ɣ a												
5497-4				ɛ w												
5641-4				l ɔ												
5692-4				a l a												
347-4				tʃ ɛː u												
448-4				n ɛ												
567-4				ɲ a ɲ ɛ												
613-4				m aː												
787-4				n i w̃ e												
1126-4				n i												
1208-4				k a m a												
1502-4				d a n a												
1669-4				d e m e r e												
1971-4				j aː r u n ɔ												
2283-4				dʒ e r												
2354-4				s i r ɛ												
2619-4				tʃ i a												
2714-4				k a												
3011-4				dʒ a l ɲ a												
3159-4				j ɛ l ɛ												
3199-4				d ɔ r ɔ m												
3319-4				s u s a a												
3358-4				m a												
715-5					d u											
1089-5					n a											
1319-5					n e											
1398-5					s u g u l j e											
1557-5					g i r e											
1626-5					w a g a											
1840-5					d e n											
2247-5					g a											
4677-5					k u l e n i											
5162-5					m i n l e											
5406-5					d a n d i											
359-5					k a r a											
1577-5					g i r e											
2196-5					n a l e											
2230-5					d i g e											
3605-5					k a n d a											
3866-5					d o d u											
4553-5					d a ŋ g g e											
4822-5					k u m b e											
5254-5					d u l u											
1356-5					m a											
1881-5					n a m a											
2084-5					j a g i											
2420-5					k u l e											
3218-5					d u g u s a											
3372-5					n a m a											
3718-5					g a r a											
4135-5					d a n i											
4694-5					g u g u											
2476-5					k a g a											
2842-5					d i g i a											
3719-5					d i											
4081-5					d u m b g u											
5514-5					n e n d e											
260-5					d i n g a											
385-5					d a b e a											
890-5					d a m b i i											
1703-5					d a											
1769-5					d e b e											
2735-5					d a n d a a											
4591-5					d a r e											
5301-5					d a l a											
63-5					g a r a											
296-5					d u m g e											
463-5					d u m g											
762-5					d a n a ŋ g a a											
1788-5					s e											
3219-5					d a s a											
4120-5					g a l o											
4759-5					n o e g											
4960-5					g i n											
5059-5					g u j e											
5549-5					d a n g o											
5771-5					j u g u a											
5905-5					d i a											
5938-5					d a r a n g a											
1415-5					n g ɛː											
1542-5					n g o											
1898-5					d u l a											
2551-5					r e											
2957-5					m a n d e											
3048-5					b i j e											
4402-5					j a											
5081-5					p i n n i											
6006-5					p a r i											
135-5					d u n d u											
194-5					k u											
716-5					j e											
2083-5					k a n i											
2618-5					k e l e											
2880-5					k u n d u g a											
3113-5					d e g a											
3136-5					d i g a											
3405-5					g e m e											
3572-5					d ɛ l i											
4535-5					d u g e											
5751-5					d i j e											
851-5					g a g											
2179-5					n g o											
2351-5					d i											
2496-5					n i n											
3448-5					d u ŋ g a											
4781-5					s a n g a											
4921-5					s a ŋ b j e											
196-5					k u l e											
789-5					g a n a											
931-5					d i g a											
1298-5					g a l a m g a											
2145-5					d a a											
3639-5					d a w a											
3977-5					g o n d i											
3978-5					g a n d e											
4260-5					k e g a											
5200-5					d g a											
5532-5					d i n i											
5866-5					g a g a											
432-5					g a n e											
446-5					g e ŋ g e											
521-5					k a a l											
1124-5					e l e l e											
1237-5					d i n g e											
1579-5					k m b u l a											
1748-5					j a											
2774-5					k a n a											
3198-5					s e l e											
3339-5					k u											
3534-5					d a n i											
3550-5					d i n g i											
3684-5					k i n g a											
3944-5					s ɛ g a											
4611-5					k a m a											
4738-5					g u n d a											
4983-5					s o n d i											
5447-5					g i g											
5656-5					g o n d i											
5830-5					j ɛː											
1074-5					n u g u a											
1170-5					g a d e											
1187-5					d u r u											
1454-5					s a l e											
1841-5					g e											
1970-5					p u l a											
2977-5					k o b a											
3252-5					d i n g											
3301-5					g i b a											
3463-5					d w ɛː											
3498-5					n i											
4363-5					d a m a											
5038-5					g a l e a											
5228-5					g u n g u											
5229-5					d i i g e											
5391-5					d a											
5481-5					m o g a											
5793-5					g e m b e a											
5888-5					j ɛː											
6007-5					p u n a											
178-5					k a g a l i											
568-5					n e n d i l e											
569-5					n e n d i l a											
1257-5					k a l a l a											
1433-5					p a l e											
1501-5					n i g e											
1684-5					s i l e											
1787-5					n ɛː											
1864-5					k ɔ g u l e											
1923-5					g a n a											
1988-5					k b u n d u											
2046-5					g e n d e											
2067-5					i l d e											
2109-5					g e d e											
2127-5					n a l a											
2372-5					b e l											
2599-5					d i g e											
2756-5					w a l a											
2775-5					b a r i m i											
3254-5					d a l i m a											
3319-5					k u m g a											
3358-5					n a											
715-6						d i n ɛ										
1089-6						n a ɛ										
1319-6						n i i										
1398-6						k a n u n dʒ ɛ										
1557-6						g i n i										
1626-6						j a g a										
1840-6						d a n g										
2247-6						g o										
4677-6						g a l ɛ n i										
5162-6						m i n g ɛ										
5406-6						d a n d a										
359-6						g a l a										
1577-6						g i n ɛ										
2196-6						n a l ɛ										
2230-6						s ŋ g i										
2533-6						b a n g ɛ										
3605-6						g a n d a										
4553-6						d a ŋ g o o										
4822-6						g u m b o										
5254-6						d a l ɛ										
503-6						g i n a o										
1356-6						m a n i										
1881-6						n u n i										
2084-6						j a a b i										
2420-6						g a l i										
3218-6						k i n a dʒ a										
3372-6						n a m a										
3718-6						k a n a										
4135-6						b a n dʒ										
4694-6						g i d a g i										
807-6						g a g ɛ										
2320-6						g a n o										
2842-6						d a g i										
3719-6						m i										
4081-6						d a m b i i										
4313-6						n a n ɛ										
4460-6						k a j ɛ										
5514-6						n a n d a										
5810-6						p i a l o										
93-6						d a										
890-6						k a m g i l o										
1336-6						d a g o										
1703-6						b a ɛ										
4591-6						d a g ɛ										
5605-6						dʒ i ŋ a o										
63-6						g a n a										
296-6						dʒ aː ŋ g ɛ										
463-6						d u m dʒ ɛ										
762-6						b a n a n g o l i										
3425-6						j i										
4120-6						g a l i										
4423-6						d a n i										
4759-6						n i ɛ										
4904-6						n k u ŋ g o										
4960-6						g i n aː dʒ i										
5125-6						k a n dʒ a										
5339-6						p a g a										
5771-6						k ŋ g u ɛ										
5922-6						b i d i										
5938-6						k a d a n dʒ a										
483-6						g a dʒ a										
1542-6						n g ɛ										
1683-6						s a j ɛ										
2551-6						g o										
2957-6						m a n d ɛ										
3048-6						b i l ɛ										
4402-6						j ɛ										
5081-6						p i n dʒ a dʒ i										
5622-6						k o g o g g o										
650-6						b a dʒ a										
716-6						j i										
1152-6						d i b i										
1789-6						n a m a										
1862-6						i g i										
2618-6						k a l a										
2880-6						g u n dʒ ŋ g ɛ										
2924-6						p a l ɛ										
3136-6						o o g ɛ										
3405-6						p ɛ m ɛ										
3811-6						l i										
4535-6						s ŋ g ɛ										
4888-6						k a m u n dʒ										
5751-6						d i j i										
2179-6						n d ɛ										
2442-6						n i m a										
3482-6						m i ŋ i d g i										
4202-6						k a a n o										
4781-6						s a n dʒ a										
4921-6						k e b g ɛ										
5982-6						g a a dʒ a										
408-6						j a m b i										
526-6						d a n a g a										
789-6						g a n a										
1298-6						g a l u m b i										
1942-6						n ɛ										
2666-6						s ŋ g ɛ										
3015-6						n a n d i										
3905-6						k i o										
3977-6						k u n dʒ ɛ										
3978-6						k u n dʒ ɛ										
4152-6						k i g o										
4334-6						o n aː n										
4648-6						j a										
5200-6						i l e										
5318-6						d a o										
5532-6						i n a										
5673-6						dʒ a a g o										
5866-6						g a a d i										
66-6						g i										
432-6						g a n i										
446-6						g a ŋ g o g o										
1579-6						u m b a l a										
1748-6						j a										
1823-6						g o o										
2902-6						j a										
3684-6						k i n g e										
3812-6						b u ŋ g o										
3943-6						p a l ɛ										
4259-6						g o m ɛ										
4611-6						g a m ɛ										
4738-6						g u n d ɛ										
4983-6						k u n d ɛ										
5447-6						g i g ɛ										
5656-6						k u n dʒ ɛ										
5830-6						j i										
5868-6						g a g i										
348-6						a d i										
998-6						i										
1023-6						j a										
1074-6						n a g a										
1172-6						g a l ɛ										
1205-6						j ɛ										
1668-6						b i n i										
1841-6						g o										
2063-6						ɛ g ɛ										
2671-6						n dʒ ɛ										
2977-6						g u m b a										
3256-6						i n e										
3287-6						p a n a										
3301-6						g i b i										
3498-6						n i										
4363-6						d a m i										
4442-6						dʒ a j ɛ										
4941-6						o g ɛ										
5228-6						k ɛ n g ɛ										
5229-6						i n d i										
5391-6						d u										
5793-6						s u m b ɛ										
5888-6						i										
1373-6						d g ŋ g o										
1727-6						j i										
1899-6						p i n i										
1923-6						g n ɛ										
1971-6						j a b a g a										
2046-6						g u n d ɛ										
2109-6						g n ŋ g										
2127-6						k u g ɛ										
2268-6						p a l i										
2714-6						d g g g i										
2863-6						dʒ ɛ j ɛ										
2999-6						d ŋ g ɛ										
3318-6						n u n d ɛ										
715-7							d i									
1089-7							n i n									
1319-7							n ɔ n									
1398-7							s i n i n d i									
1557-7							k i r i									
1626-7							k u g i									
1840-7							k i r i									
2247-7							k i									
4677-7							k i r i j									
5162-7							k i n r i									
5406-7							k ɛ n d i									
359-7							k ɛ r i									
1577-7							k i r i									
2196-7							n i r i									
2230-7							s i g i									
2533-7							b a r i i									
3605-7							k ɛ n d i									
3866-7							k o s i									
4553-7							t ɛ ŋ i									
4822-7							k i m b o									
5254-7							d i r i									
503-7							k i r i									
1356-7							k i j i									
1881-7							n u n i j									
3372-7							n a m i									
3718-7							k i r i									
4135-7							b a r i									
4694-7							k i s i i									
807-7							k ɔ m b i									
2320-7							k i ŋ i									
2476-7							k i									
2842-7							d ɛ j i									
3719-7							m i									
4081-7							d ɛ m b d i									
4313-7							n ɛ n									
4460-7							s i j ɔ									
5514-7							ŋ ɛ n d i									
5810-7							b i n d i									
93-7							d i									
260-7							b i n r i									
385-7							k ɛ m b ɛ									
