COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
4711-2		j a r i														
4778-2		s a s i														
4821-2		k u														
4941-2		ɔ j̃ ɔ														
5272-2		t e g u														
5319-2		t s u														
5375-2		m aː l a														
5423-2		ɔ s ɔ														
5424-2		tʃ ɔ r ɔ														
5465-2		m u ŋ														
5497-2		ɛ w														
178-2		k r u u ɛ														
563-2		s u m o														
684-2		ɲ a r̃														
742-2		dʒ a r a														
787-2		n i w e														
1126-2		n iː														
1204-2		k e r i														
1373-2		tʃ ɔ s														
1787-2		n aː														
1969-2		j u g ɔ r ɔ														
2283-2		b ɛ r u														
2441-2		n aː														
2598-2		j j														
2773-2		b a r m i														
2863-2		dʒ i j ɛ														
3011-2		b a l a														
3176-2		dʒ ɔ r ɔ														
3319-2		b u s a m														
4025-2		dʒ u w a														
4037-2		s a n dʒ a														
4441-2		b aː r i														
4843-2		o r u														
5036-2		t o r o														
5357-2		k ɔ j̃														
5790-2		ɔ r u														
61-2		tʃ ɛ l d ɛ														
136-2		tʃ ɛ l ɛ														
239-2		t u m b i														
309-2		d i j̃ a w														
594-2		u s i r̃ i														
701-2		m														
786-2		n i														
909-2		j i														
928-2		ɔ m b ɔ														
951-2		j a r														
1184-2		d r l														
715-3			d u													
1089-3			ɛ a													
1319-3			n ɔː													
1398-3			s u n u l													
1557-3			ŋ i u e													
1626-3			w a g a													
1840-3			t e n													
2247-3			g u													
4677-3			k u l e j													
5162-3			m i n ɛ													
5406-3			s ɛ d e													
359-3			k a l a													
1577-3			ŋ i l e													
2196-3			n a l a													
2533-3			b a k ŋ													
3866-3			ŋ d u													
4553-3			s a ŋ a													
5254-3			t u l ɔ													
503-3			k i n a													
1881-3			n u m													
2084-3			j w p i													
2420-3			k u l ɛ													
3218-3			p u s u													
3372-3			n a m a													
3718-3			a u a													
2320-3			k a n e													
2476-3			k oː													
3719-3			m i													
4460-3			s u j													
5514-3			n ɛ n d ɛ													
890-3			a m b i u u													
1336-3			t e g e													
1703-3			b													
2162-3			b ɛ l ɛ													
2635-3			s													
2735-3			t a d a													
762-3			b a n a k k													
1788-3			s e													
2713-3			s ɛ m d ɛ r ɛ													
3219-3			p k d u													
4629-3			n u d u													
4904-3			n u n a													
5125-3			ɛ d dʒ ɛ													
5771-3			dʒ u g u													
5938-3			a t u n a													
1898-3			p u l u													
2901-3			s u ɛ w u													
2957-3			m a n d e													
3048-3			b i j													
5081-3			b i n d i													
6006-3			p e g e													
716-3			j ɛ													
1152-3			t i w ɛ													
1789-3			n u m a													
2083-3			k a n i													
2108-3			ɛ a j													
2618-3			k ɛ l ɛ													
2880-3			k u d dʒ u													
2941-3			b i l i													
3405-3			ɛ m ɛ													
3811-3			l e													
5583-3			s a s a a													
5751-3			t i j ɛ													
2442-3			d u m a													
2496-3			n u n													
4921-3			s a m b e													
196-3			k u l ɛ													
3639-3			t e w a													
3905-3			ɛ ɛ													
3977-3			m d d dʒ e													
3978-3			m a n dʒ e													
4361-3			s i aː													
5532-3			i n i													
1237-3			i d dʒ ɛ													
1579-3			m b b l l													
2143-3			b a													
2774-3			k a n													
3198-3			s ɛ m ɛ													
3534-3			k e n i													
3550-3			i n i													
3684-3			k i n dʒ a													
3943-3			p a l ɛ													
4259-3			g ɛ m ɛ													
4611-3			k ɔː m ɔ													
4983-3			s ŋ d dʒ i													
5656-3			m d n dʒ i													
5830-3			j ɛː													
1026-3			l e													
1170-3			g a d dʒ u													
1187-3			u r u													
1275-3			s													
1454-3			s e l e													
1668-3			b i n i													
1841-3			g e													
1970-3			p u l a													
2977-3			k ɔ b b													
3301-3			e b a													
3498-3			n iː													
4442-3			t u j ɛ													
4479-3			k e													
5038-3			k ɔ l ɔ													
5391-3			dʒ s													
5888-3			j ɔː													
6007-3			p u n a													
178-3			k u m b oː l													
684-3			p a dʒ a													
1257-3			k ɔ l o													
1433-3			p oː l e													
1501-3			n i g e													
1684-3			s i w e													
1864-3			k ɔ g u l ɛ													
1988-3			p u n d e													
2046-3			g e d d oː													
2127-3			d ŋ l oː													
2599-3			i g e													
2756-3			w a l a													
2775-3			b a r i m i													
3254-3			d u l a a													
3427-3			ŋ g e													
3465-3			ɲ k													
4008-3			g e ŋ													
4053-3			g m m b ɛ													
4985-3			ɛ													
5569-3			p a n d e													
5606-3			t i d n g g ɔ													
5640-3			n e ŋ g a													
5906-3			t e ŋ g e													
2-3			k ɛ m u ɔ													
3-3			k a n i													
42-3			k i dʒ ɛ													
241-3			d ɔ g u													
242-3			l ɛ													
361-3			k a r a													
651-3			d i ŋ g e													
701-3			m													
743-3			j a j e													
873-3			s i dʒ a													
1001-3			g e													
1053-3			k ɔː n d e													
1109-3			p j													
1206-3			k a m b a													
1207-3			g e													
1434-3			ŋ g e													
715-4				d u												
1089-4				n a												
1319-4				n ɛː												
1398-4				s u n u												
1557-4				g i r e												
1626-4				w a g a												
1840-4				t i n												
2247-4				g o												
4677-4				k u r e j												
5162-4				m i r̃ e												
5406-4				t aː n d												
359-4				k a r̃												
1577-4				g i r ɛ												
2196-4				n a r̃ a												
2230-4				s i ɣ o												
2533-4				b a r a												
3605-4				k a n d												
3866-4				o s u												
4553-4				t a g a												
4822-4				k u m b												
5254-4				d u r ɔ												
503-4				k i r̃ a												
1356-4				m a j												
1881-4				n u m												
2084-4				j aː p i												
2420-4				k u r ɔ												
3218-4				p u s u												
3718-4				a r a												
4135-4				b a n												
4694-4				ɣ u s u												
807-4				k o m												
2320-4				k a ŋ ɛ												
2842-4				d i ɣ u												
4313-4				n ɛ m												
4460-4				s j												
5514-4				n ɛ n d ɛ												
5810-4				p i r i												
93-4				d ɔ												
260-4				p ɛ r ɛ												
385-4				dʒ ɛ m b												
890-4				a m u r r												
1769-4				t ɛ m b ɛ												
2162-4				b ɛ r ɛ												
2635-4				s o												
2735-4				d a n a												
3031-4				d ɛ g ɛ												
5301-4				p ɛ r u												
5605-4				t i m ɛ												
63-4				k a r a												
296-4				dʒ a m b u												
463-4				d u m b u												
762-4				b a n a k k												
1432-4				t a r u												
1474-4				t ɔ												
2044-4				d i m b												
3219-4				p aː dʒ u												
4120-4				k o r o												
4184-4				ɲ ɛː												
4423-4				d ɔ r̃ ɔ												
4629-4				n u ŋ ɔ												
4759-4				n m												
4904-4				n u ŋ a												
4960-4				dʒ i n aː dʒ i												
4980-4				t ɔ												
5059-4				g u j o												
5125-4				ɔ n dʒ												
5549-4				t a w a												
5771-4				dʒ u g u												
5922-4				b i r ɛ												
1-4				p ɛː												
629-4				d ɛː												
667-4				ɛ w ɛ												
1254-4				dʒ a m d u r												
1415-4				ɲ ɛː												
1542-4				n ɔː												
1683-4				s i												
1898-4				p u r̃												
2551-4				r u												
3251-4				s a r̃ a												
3885-4				d ɛ r ɛ												
5622-4				p e l i j												
6006-4				p u r̃ u												
43-4				s aː												
135-4				t u n d												
158-4				m ɔ s u												
221-4				ɛ s u												
650-4				b e s												
1374-4				k ɔ ŋ ɔ												
1452-4				g aː r a												
1789-4				n u m ɔ												
1862-4				i s i												
2108-4				n a j												
2636-4				m												
3113-4				t e ɣ e												
3136-4				j a r a												
3751-4				p ɛ j												
4888-4				s a m n a												
5180-4				s ɛ m b ɛ												
5583-4				t a ŋ g												
5981-4				a r̃ a												
25-4				a s u ɔ n n												
114-4				d ɔ j												
702-4				ɔ g ɔ ɲ ɔ ŋ												
851-4				k iː												
872-4				ɛ n dʒ ɛ												
952-4				k u r ɔ												
1941-4				k i r i												
2442-4				n u m a												
3448-4				b uː d u												
3482-4				m i s i d ɛ												
3497-4				n a												
3588-4				k ɔ r ɔ												
4101-4				a r̃ a												
4293-4				dʒ ɔ w ɔ												
4520-4				p e dʒ u												
4609-4				k ɔ r ɔ												
4740-4				ɣ u n ɔ												
4781-4				s a dʒ a												
5982-4				k u s u												
196-4				k u l a												
545-4				i r u												
931-4				b ɛ												
978-4				t a m												
999-4				j ɛ												
1052-4				n aː m												
1070-4				l u g o												
1298-4				ɣ u e u m a												
1989-4				m ɛ n ɛ												
2145-4				dʒ o												
2306-4				a m a												
2456-4				k ɔ l												
2514-4				d u s u												
3132-4				d u ŋ												
3300-4				ɛ w ɛ												
3774-4				t u r u												
3976-4				s s												
4039-4				d ɔ n												
4278-4				k u n dʒ u												
4361-4				t e ɣ e												
4570-4				g ɔ k												
5318-4				d ɔ r̃ ɔ												
5673-4				d ɛ m b												
5752-4				t ɛː												
521-4				k ɛː dʒ												
685-4				b o n ɔ												
744-4				l a w a												
1646-4				ɔ g u												
1745-4				dʒ a j a												
2066-4				n a ŋ a												
2216-4				j a												
2265-4				u l ɔ												
2579-4				d o												
2958-4				m ɔː m												
3197-4				k ɔː												
3339-4				k a r a												
3812-4				p i n g												
4219-4				t ɛ m b ɛ												
4337-4				s ɔ m												
5197-4				ɛ r u												
5531-4				i r̃ r̃												
5733-4				n iː												
409-4				g o r u												
1002-4				r ɛ												
1022-4				p i l i												
1238-4				i s u												
1612-4				n u m b ɔ												
2334-4				ɛ s u												
2396-4				n ɛ												
2553-4				b a ŋ u												
2671-4				n dʒ												
2798-4				ɛ r̃ a												
2978-4				k u r ɔ												
3407-4				ɛ m												
3551-4				b o j												
3683-4				tʃ i n ɛ												
4220-4				k u												
4383-4				k ɛː												
4440-4				t i												
4651-4				d ɛ ŋ												
4711-4				j a r												
4821-4				k u												
5272-4				t e g u												
5375-4				m aː n a												
5465-4				m u j o												
5481-4				j o g o												
5497-4				ɛ w												
5641-4				l ɛ j												
5692-4				a n a												
347-4				tʃ ɛ r ɔ												
448-4				n ɛ m												
567-4				ɲ i n ɛ												
613-4				m a												
787-4				n i w̃ e												
1126-4				n iː												
1208-4				ɣ a m												
1502-4				d u ŋ												
1669-4				d e m b i r e												
1971-4				j u d ɔ ɔ												
2283-4				b ɛ r i												
2354-4				t i r ɛ												
2619-4				tʃ i l a												
2714-4				dʒ a s												
3011-4				b a l a												
3159-4				j ɛ n ɛ												
3199-4				k ɔ r ɔ m												
3319-4				b u s a m												
3358-4				ɲ aː												
3535-4				k aː												
3622-4				d aː g												
3640-4				l aː r a												
3813-4				r̃ i												
4441-4				b aː r i												
4498-4				ɛ r u												
4986-4				j ɔ r ɔ												
5036-4				t o r o												
5109-4				l a ɣ a												
5390-4				d o r o												
5425-4				j ɔ g ɔ												
5847-4				o ɲ o												
6008-4				j ɔ r ɔ												
62-4				k i												
197-4				b ɛː w												
331-4				s a dʒ a												
412-4				j aː t												
482-4				dʒ e s u												
786-4				n i												
715-5					d u											
1089-5					n a											
1319-5					n ɛ											
1398-5					s u n u											
1557-5					g i r e											
1626-5					w a g a											
1840-5					t i n											
2247-5					g e											
4677-5					k u l e j											
5162-5					a i e											
5406-5					t aː n d											
359-5					g a l											
1577-5					g i r e											
2196-5					n a l a											
2230-5					s u g e											
3605-5					k a n d a											
3866-5					o d u											
4553-5					t a ŋ e											
4822-5					k u m b											
5254-5					d u l											
1356-5					m a j											
1881-5					n u m											
2084-5					j aː b i											
2420-5					k u l ɛ											
3218-5					p u s u											
3372-5					n a m a											
3718-5					a r a											
4135-5					b a n											
4694-5					g u d u											
2476-5					k o											
2842-5					d i g u											
3719-5					m											
4081-5					d a m b i											
5514-5					n ɛ n d ɛ											
260-5					j i l e											
385-5					d ɛ m b											
890-5					a a j i u											
1703-5					b a											
1769-5					t ɛ m b e											
2735-5					d a n a											
4591-5					t aː r e											
5301-5					p l u											
63-5					k a r a											
296-5					dʒ a a j											
463-5					d u m b u											
762-5					b a n a k k u											
1788-5					s e											
3219-5					p j s a											
4120-5					k o l o											
4759-5					n e j e											
4960-5					k u ɛ j o a											
5059-5					g u o e											
5549-5					t a j a											
5771-5					j u g u											
5905-5					t i n u											
5938-5					a d u n a											
1415-5					l w											
1542-5					n u											
1898-5					p u l o											
2551-5					s a											
2957-5					m a n d e											
3048-5					b i j											
4402-5					j e											
5081-5					j i n d											
6006-5					p o r o											
135-5					t u n d											
194-5					b ɛ											
716-5					j ɛ											
2083-5					k a n i											
2618-5					k ɛ l ɛ											
2880-5					k u n dʒ u											
3113-5					t e g e											
3136-5					j a r a											
3405-5					ɛ m ɛ											
3572-5					b ɛ r u											
4535-5					s u g ɛ											
5751-5					t i j ɛ											
851-5					ŋ aː											
2179-5					n d ɛ											
2351-5					p a b											
2496-5					n u											
3448-5					j u d u											
4781-5					s a d e											
4921-5					s a m b e											
196-5					k u l e											
789-5					g											
931-5					b e											
1298-5					g u l u m b											
2145-5					p oː											
3639-5					t o w a											
3977-5					m n n u i											
3978-5					e n n o e											
4260-5					o m b											
5200-5					ɛ l											
5532-5					i n i											
5866-5					k a s a											
432-5					k a n											
446-5					g e n g e											
521-5					k oː t o											
1124-5					e l e											
1237-5					i n dʒ l											
1579-5					m b u l											
1748-5					j e											
2774-5					k a n a											
3198-5					s ɛ m ɛ											
3339-5					k a r a											
3534-5					k o n											
3550-5					i n u											
3684-5					k i n dʒ a											
3944-5					k e e											
4611-5					k ɔ m ɔ											
4738-5					g u n d a											
4983-5					s o n d i											
5447-5					g i d e											
5656-5					m n n g i											
5830-5					j ɛ											
1074-5					n u g u											
1170-5					g a n e											
1187-5					u r u											
1454-5					s e l e											
1841-5					g e											
1970-5					p u l a											
2977-5					k o b b											
3252-5					m m b											
3301-5					e b a											
3463-5					w ɛː											
3498-5					n iː											
4363-5					d a m											
5038-5					k ɔ l ɛ											
5228-5					b ɛ n d											
5229-5					b n n d											
5391-5					d o											
5481-5					j o g o											
5793-5					t e m b e											
5888-5					j ɛ											
6007-5					p u n a											
178-5					k e b j											
568-5					n e n d u g e											
569-5					n i n d i											
1257-5					k o l o											
1433-5					p o l e											
1501-5					n i g e											
1684-5					s i w e											
1787-5					n ɛː											
1864-5					k ɔ g u l ɛ											
1923-5					g iː n a											
1988-5					p u n d o											
2046-5					g e n d e											
2067-5					i d d											
2109-5					k ɛ d ɛ											
2127-5					n o l o											
2372-5					b e l u											
2599-5					iː g e											
2756-5					b a l a											
2775-5					b a r m i											
3254-5					d u l a a											
3319-5					b e s a m											
3358-5					ɲ aː											
3427-5					ŋ g e											
3622-5					d g o											
3658-5					d i m ɛ											
3807-5					p i											
4008-5					k e ŋ											
4053-5					g m m b ɛ											
4280-5					j a g a g a											
4630-5					n ɔː											
4848-5					o n a n a											
4905-5					n ɛː											
4985-5					s ɛː											
5467-5					d u g o											
5606-5					t i l d g g											
5640-5					n e g a											
2-5					k aː m n ɔ											
3-5					k a n											
21-5					d aː b a											
26-5					b e l											
64-5					k a r a											
117-5					ɛː											
224-5					j a g a											
241-5					d ɔ g u											
312-5					b a j											
327-5					n e m											
361-5					k a r a											
651-5					d i ŋ g e											
873-5					s i dʒ a											
1001-5					g e											
1053-5					k ɔː n d e											
1207-5					g e											
715-6						d i										
1089-6						n a										
1319-6						n ɔː										
1398-6						s u g u l u										
1557-6						g i r i										
1626-6						m a g a										
1840-6						t i n										
2247-6						g o										
4677-6						k u l o j										
5162-6						m i n o										
5406-6						t aː n d										
359-6						g a l										
1577-6						g i r e										
2196-6						n a l a										
2230-6						s i g o										
2533-6						b a r a										
3605-6						k a n d										
4553-6						t a g a										
4822-6						k u m b										
5254-6						d u l ɔ										
503-6						k i n a										
1356-6						m a j										
1881-6						n u m										
2084-6						j aː p i										
2420-6						k u l ɛ										
3218-6						p u dʒ u										
3372-6						n a m a										
3718-6						a r a										
4135-6						b a n										
4694-6						g u dʒ u										
807-6						k o m										
2320-6						k a n e										
2842-6						d i g i										
3719-6						m										
4081-6						d a m b i										
4313-6						n ɛ m										
4460-6						s ɛ j										
5514-6						n ɛ n d ɛ										
5810-6						p i l ɛ										
93-6						d ɔ										
890-6						a m a u u										
1336-6						t e g e										
1703-6						b a										
4591-6						t a g i										
5605-6						t i m a										
63-6						k a r a										
296-6						dʒ a m b										
463-6						d u m b i										
762-6						b a n a k k										
3425-6						j a										
4120-6						k o l o										
4423-6						d o a ɔ										
4759-6						n i j										
4904-6						n u ŋ a										
4960-6						g i n aː dʒ i										
5125-6						o n dʒ o										
5339-6						p a g a										
5771-6						dʒ u g u										
5922-6						j i u ɛ										
5938-6						a d u n a										
483-6						g o dʒ u										
1542-6						n u										
1683-6						s i j										
2551-6						g ɛ										
2957-6						m a n d i										
3048-6						b i j										
4402-6						j i										
5081-6						b i n d										
5622-6						p o dʒ i j										
650-6						b ɛː dʒ a										
716-6						j ɛ										
1152-6						t i b ɛ										
1789-6						n u m o										
1862-6						i dʒ i										
2618-6						k ɛ l ɛ										
2880-6						k u n dʒ u g										
2924-6						p o l										
3136-6						j a r a										
3405-6						ɛ m ɛ										
3811-6						l e										
4535-6						s u g ɔ										
4888-6						s a m n n										
5751-6						t i j ɛ										
2179-6						n d ɛ										
2442-6						n u m o										
3482-6						m i s i d o										
4202-6						g o l o										
4781-6						s a dʒ a										
4921-6						s a m b a										
5982-6						g u dʒ u										
408-6						j a m b u										
526-6						d a r g										
789-6						g a m										
1298-6						g u m u m b										
1942-6						j e										
2666-6						m a g										
3015-6						n a n d										
3905-6						n u										
3977-6						m n dʒ dʒ										
3978-6						m n dʒ dʒ										
4152-6						k i a										
4334-6						s o										
4648-6						j o										
5200-6						ɛ l										
5318-6						d ɔ l ɔ										
5532-6						i n i										
5673-6						d i m b										
5866-6						k a dʒ a										
66-6						k a										
432-6						k a n										
446-6						g o ŋ g o										
