COGID	dutch	english	french	german
1805-2		f l ai s		
1813-2		h aː r		
1811-2		b l uː t		
690-2		r iː p		
2177-2		h ɔ f t		
246-2		iː ɡ ŋ ɡ + b r iː w		
249-2		ɔ ɡ l ɪ t		
1506-2		n aː s + f l		
2242-2		m ɔ n t		
2245-2		k ɔ ŋ		
2174-2		s x ʉ l d		
603-2		ɛ l		
601-2		h ɑ n t		
615-2		f ɪ ŋ ə r		
901-2		k l iː w		
608-2		f uː s		
596-2		ə		
937-2		b r ʊ s t		
936-2		n aː v ə l		
646-2		l w ŋ		
947-2		l ɛ v ə r		
1606-2		h ʉ p		
472-2		n iː s		
1535-2		s w ɪ ts		
1546-2		s p øː k		
1959-2		s l aː p ə		
694-2		s n ɪ r k ə		
1961-2		d r ɔ m ə		
323-2		l ə b ə		
1885-2		ɡ r æ p		
2156-2		f ɑ l d + w ŋ		
1903-2		f w ɔ n d		
525-2		s v ɛ l ɪ ŋ		
276-2		l ɑː m		
274-2		d iː p		
278-2		b l ɪ n t		
258-2		b r ɔ ŋ k ə n		
256-2		n ɪ x t		
383-2		ɛ s		
207-2		r iː p		
376-2		d r ɪ ŋ k ə		
2014-2		r oː s d ɪ		
2009-2		ɔ f		
2003-2		k ɛ d ə l		
2024-2		p æ n		
1321-2		k uː p		
1976-2		t ɑ ŋ		
1243-2		m aː l + d		
1265-2		p ɪ l t		
1261-2		s ə b		
655-2		b r ɔ t		
650-2		d ɛ k		
1532-2		k n ɛ d		
-36-2		s uː p		
34-2		b oː n		
-1647-2		v aɪ k		
-1615-2		oː l iː		
125-2		f ɛ t		
1659-2		h n ɪ ŋ		
1661-2		m ɪ l k		
1676-2		b oː d ə r		
480-2		ɡ r ɑː ŋ k		
1466-2		k l ɛ d ɪ ŋ		
2277-2		w ɔ l		
2271-2		f ɪ l k		
2293-2		l ɛ d		
624-2		s p ɪ n		
628-2		ʃ p ɪ n d + l		
626-2		v ɛ v ə		
633-2		n aː l d		
1185-2		s oː n d + m aː k ə r		
1179-2		h uː t		
2168-2		k ɑ m		
1952-2		d yː r		
899-2		l aɪ d		
922-2		b ɛ t		
-934-2		l æ m p		
916-2		t r ɔ x		
1726-2		f ɛ l t		
2108-2		p l øː ɡ		
1133-2		f w ɔ r		
2114-2		s p aː d ə n		
1272-2		r ɔ ɡ ə		
1979-2		ɡ r ɑː s		
1989-2		h ɔ		
-2260-2		p l əʊ		
70-2		b ɔː k		
-89-2		w aɪ ŋ + s		
-12-2		p aɪ p		
713-2		s æ p		
747-2		n eː d ə l		
308-2		d ʊ n		
289-2		b ɪ n d		
1930-2		b r ɛ k		
1928-2		s p əʊ l d		
858-2		s p r ɛ k ə		
1577-2		oː p + h æ ŋ		
908-2		f aɪ s		
648-2		b oː r		
1855-2		iː h ɔ l		
657-2		h aː m ə r		
2058-2		n aː ɡ ə l		
949-2		s m ɪ t		
1642-2		ɡ ɔ l t		
1640-2		s ɪ l v ə r		
1633-2		iː s ə r		
1630-2		t ɪ n		
993-2		ɡ l ɑː s		
-2121-2		r ɔ l ə		
1692-2		f ɛ l ə		
1694-2		d r ɔ p ə l		
1062-2		s ɪ ŋ k ə		
476-2		s w eː m ə		
1051-2		f l əʊ		
1075-2		b l aː z		
135-2		ɡ l aɪ d		
-134-2		d əʊ		
1839-2		iː s + ɡ ə		
1097-2		k ɔː r k + ɔ m ə n		
1777-2		f ɔ l ɡ		
1434-2		b r ɪ ŋ ə		
1417-2		l aɪ d		
1424-2		r eː d ə		
778-2		p a t		
790-2		b r ɪ k		
1223-2		p ɑ d ə l		
1117-2		s ə l		
1411-2		h eː b ə		
1407-2		h əʊ l d + h æ d ə		
1390-2		d ɪ ŋ		
2086-2		ɡ ə b ə		
2082-2		k uː r + ɡ ɛ b ə n		
576-2		s aʊ k		
579-2		f aɪ n d		
581-2		f ɛ r + l iː r ə n		
-1791-2		r ɪ k		
-225-2		p r iː s		
-2284-2		p l ɪ		
1479-2		ɪ p n		
847-2		h ɔ k		
659-2		b oː d		
860-2		m ɪ d		
213-2		r ɛ k		
1286-2		f ɛ r		
1293-2		f ɛ s t		
474-2		d ɪ k		
467-2		d ɪ n		
1177-2		d iː p		
584-2		h aː k ə		
-1153-2		r ɔ n t		
700-2		k v ɪ l f		
875-2		d iː s ə n		
1559-2		æ l		
1565-2		m ɛ r		
1968-2		h ɛ l f		
-350-2		pf aː r		
1469-3			z a n t	
2047-3			s ɔ n ə	
2054-3			d ɔ n d ə r	
1375-3			l ɪ x t	
760-3			w iː n t	
756-3			s n ɛ v	
726-3			m oː d ə r	
1351-3			ɡ r ai f ə r	
1353-3			ɡ r ai f ə r	
412-3			f ai ɡ ə r + aː d ə l	
406-3			ʃ v ai ə r + m d ə r	
1005-3			ʃ t iː f aː d ə r	
1012-3			ʃ t iː f + m uː d ə r	
1016-3			ʊ iː t v n + aː r	
1069-3			ɪ k	
509-3			f yː l ə	
693-3			m ɔy l + t iː r	
2179-3			n ɛ s t ə	
1753-3			f ɪ ʃ	
1131-3			v ɔ l f	
1198-3			b aː r t	
2032-3			h ɔ r n	
2241-3			n ʊ s	
2244-3			l ɪ p	
610-3			k n iː	
945-3			h ɛ r t	
1534-3			l ɪ k	
384-3			s oː k ə	
1650-3			n oː t	
1663-3			s ɑ l t	
2279-3			l œy n ə	
471-3			s ɛ	
1385-3			z iː d	
792-3			j ɔ k	
1111-3			m ɛ s t ə	
197-3			s ɔy d ə	
2020-3			l ɑ ŋ	
867-3			h ɔ n d ə r t	
1970-3			f ɔ l	
1230-3			t ɛ r d ə	
2017-3			n yː	
2183-3			ʃ t iː r	
1521-3			b ɔ x	
1755-3			h ʊ n t	
1760-3			r a t	
1196-3			n ɛ x	
575-3			ɔ k s ə l + h oː l ə	
2014-3			r oː f t ə	
1321-3			k ɔ p	
1265-3			p iː l ə	
588-3			p l a	
1469-4				ts a b l
2047-4				ts uː n
2054-4				t ɔ n t ə r
1375-4				l ai x t
760-4				ʊ ɪ n t
756-4				ts n a ʊ
726-4				m oː r ə r
1351-4				ɡ r a n t + f ɔ n r
1353-4				ɡ r ai ə n
412-4				ʃ a + f aː t + l ʊ
406-4				ʃ ɔ l + m ʊ n + l
1005-4				ts a ə eː f aː ə r
1012-4				ʃ ɛ l + m uː d ə r
1016-4				v ɪ t ɔy ʊ n + aː r
1069-4				x ə
509-4				eː oː l ə
693-4				m uː l + ɛ z ə l
2179-4				n ɛ ts t
1753-4				f ʊ oː ts
1131-4				l ɔ l f
1198-4				b eː r b
2032-4				h ɔ r n
2241-4				n ʊ z
2244-4				l ɪ eː
610-4				x n iː
945-4				h ɔ r t
1534-4				l iː k ə
384-4				ts ɔy ts ə
1650-4				n ʊ oː
1663-4				ts uː l t
2279-4				l ɪ n ɪ x
471-4				ts aː ə
1385-4				ts iː m ɛ ts
792-4				x ɪ k
1111-4				m ɛ s t ə
197-4				s uː t ə
2020-4				l a ŋ
867-4				h ɔ n t r ə t
1970-4				eː l
1230-4				t r v oː z ə
2017-4				n iː ʊ
968-4				ʊ ɛ r ə l t
1674-4				l a n t
1671-4				h ʊ f ə l
829-4				k l aː b ə
1025-4				ʊ aː t ə r
1027-4				ʃ iː
1832-4				r au f
-1816-4				au ʃ iː aː n
-335-4				l ə ɡ ɔy n ə
1043-4				ʃ t r au m
423-4				ʃ t ai n
2049-4				m aː n
2062-4				ʃ t ɔ m
2065-4				r ai n + b a
1368-4				ʃ a t ɔy ʊ
1365-4				t au
754-4				r ɛ n
768-4				ʊ ɛ iː r
1211-4				f ɔy r
106-4				m a n
-98-4				b ɛ b iː
719-4				f aː t ə r
1341-4				ʃ au n
-2027-4				ai n t ə
-2026-4				n ɛ f uː
409-4				ʃ au n + aː z au n
402-4				ʃ ɔ n + t ɔ x t ə r
1014-4				ʃ t ai f + t ɔ x t ə r
1059-4				ʊ iː
120-4				ʃ t ɔ l
2183-4				ts uː r a
2194-4				ɔ k ʃ
2199-4				k aː f
2197-4				ʃ ai pf
1523-4				z ʊ
1521-4				b oː k
512-4				m ɛ r iː
2141-4				h ɛ n
2147-4				ɡ uː ʃ
814-4				k r ai
810-4				t ɔy f
1755-4				h uː n t
1758-4				m ɔy ʃ
1620-4				f ɪ n
1282-4				ʊ ɛ l f ɪ ʃ
1136-4				f ɔ ʃ
1309-4				l s
1307-4				n iː t
1305-4				f l iː
711-4				ʊ ɛ ʃ pf
1442-4				f l ai ɡ
62-4				m ʏ k ə n
-73-4				m ɪ ʃ k ai t a
1810-4				h ai t
1805-4				f l ɛ ʃ
1813-4				h ɛ r
1811-4				b l au t
690-4				r ɪ b
2177-4				h ɛ t
246-4				ʊ ɛ ŋ ɡ + b
249-4				oː + l ɪ t
1506-4				n ʊ ʃ t r f l
2242-4				m ɔ n t
2245-4				t ɔ ŋ
1196-4				n uː k
2174-4				ʃ ɛː l ə r
575-4				ə k ts ɪ l
603-4				ɛ l + b au ɡ
601-4				h a n t
615-4				f aː ŋ ɡ ə r
901-4				x l au ʊ
608-4				f uː t
596-4				t ai n
937-4				b r ʊ s t
936-4				n ɛ f ə l
646-4				l ɔ ŋ
947-4				l aː f ə r
1606-4				h ʊ pf
472-4				ʃ n ɪ z
1535-4				ʃ ʊ ɛ t ə
1546-4				ʃ pf ɔy ɡ ə
1959-4				ʃ l aː pf ə n
694-4				ʃ n r k ə
1961-4				t r au m ə
323-4				ə + l oː f
1885-4				ɡ r a f
2156-4				f ɛ l + k au t + h ai t
1903-4				ʊ n t
525-4				ʃ ʊ ɛ l ɪ ŋ
276-4				l aː m ɛ
274-4				t ɛ f
278-4				b l ɪ n t
258-4				t r ɔ ŋ k ə n
256-4				n aː x t
383-4				ɛ iː
207-4				r ai pf
376-4				t r ɪ ŋ k ə n
2014-4				r uː ts ɛ
2009-4				au f ə
2003-4				k ɛ t ə l
2024-4				pf a n
1976-4				t ɔ ŋ z
1243-4				m iː l + ts ai t
1261-4				ʃ ɛ f ə
655-4				b r ɔ t
650-4				t ɛ k
1532-4				k n iː t ə
-36-4				ʃ uː pf
34-4				b oː n
-1647-4				f ai ɡ
-1615-4				ɔ ɪ l
125-4				f a t
1659-4				h oː n ɪ ŋ
1661-4				m ɪ l k ə
1676-4				b uː t ə r
480-4				t r ɪ ŋ k ə
1466-4				k l ɛ t ŋ
2277-4				ʊ l
2271-4				f ɛ l t
2293-4				l ɛ r
624-4				ʃ pf ɪ n
628-4				ʃ pf ɪ n t ə l
626-4				ʊ ai f ə
633-4				n iː l ə n
1185-4				ʃ au + m ɛ k ə r
1179-4				h uː t
2168-4				k a m
1952-4				t ʊ r
899-4				l a t ə r
922-4				b ɛ t
-934-4				l a m pf
916-4				t r ɔ f
1726-4				f iː l t
2108-4				pf l uː
1133-4				f au r iː
2114-4				ʃ pf aː t ə n
1272-4				r oː ɡ ə n
1979-4				ɡ r ai f ə n
1989-4				h ɛ
-2260-4				pf l a n t ə n
70-4				b iː k
-89-4				f oː ŋ ə r t
-12-4				pf ai pf
713-4				ʃ a pf
747-4				n ɛ t ə
308-4				t uː n
289-4				b ai n t ə
1930-4				b r ɛ x ə n
1928-4				ʃ pf l ɪ t ə n
858-4				ʃ t r ɛ k ə n
1577-4				h a ŋ ə
908-4				ʊ a ʃ ə
648-4				b au ə r
1855-4				h oː l ə
657-4				h aː m ə r
2058-4				n aː ɡ ə l
949-4				ʃ m iː d ə n
1642-4				ɡ a l t
1640-4				ʃ ɪ l f ə r
1633-4				oː r ə n
1630-4				t ɪ n
993-4				ɡ l a ʃ
-2121-4				r ɔ l ə n
1692-4				f ɔ l ə n
1694-4				t r ɪ ə n
1062-4				ʃ ɪ ŋ k ə n
476-4				ʃ ʊ ɛ m ə n
1051-4				f l ai ɡ ə
1075-4				b l aː z ə
135-4				ʃ l ai t ə n
-134-4				t ɛ n ʃ ə
1839-4				ɡ ɛ k + ʊ n
1097-4				k au m + b a k au m ə
1777-4				f ɔ l ɡ ə
1434-4				b r ɪ ŋ ə n
1417-4				l ai t ə
1424-4				r ai t
778-4				pf ai t
790-4				b r ɪ k
1223-4				pf a t ə l
1117-4				z ai l ə n
1411-4				h ɛ b ə
1407-4				h a l s ə n
1390-4				t ɪ ŋ
2086-4				ɡ ɛ f ə n
2082-4				ɡ iː f + b a k
576-4				z iː k ə
579-4				f oː n t + f iː
581-4				f ʊ z
-1791-4				r ɪ x ə n
-225-4				pf r oː ʃ
-2284-4				pf l aː ts
1479-4				a pf ə n
847-4				h oː ɡ ə n
659-4				b au t ə m
860-4				m ɪ t ə
213-4				r oː t ts
1286-4				f aː r
1293-4				ʊ ɛ ʃ t ə
474-4				t ɪ k
467-4				t n
1177-4				t iː pf
588-4				eː l oː
584-4				h ɔ x
-1153-4				r ɔ n t + f iː
700-4				t ʊ aː l f
875-4				t ɔy z ə n t
1559-4				ɔ l ə
1565-4				m ai r
1968-4				h ɛ l f t
-350-4				pf aː r
1478-4				b au t m
