COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
2153-1	s o ¹¹							
2180-1	l o ¹¹							
2205-1	kʰ r ɔ ⁵⁵							
2328-1	l e ¹¹							
2349-1	j u ¹¹							
2372-1	m ə ¹¹							
2388-1	m ə ¹¹							
2413-1	d a ³³							
2637-1	p l ɔ ⁵⁵							
2649-1	c w i ³³							
2693-1	p o ¹¹							
2755-1	s o ⁵⁵							
2858-1	m ə ¹¹							
2953-1	cʰ e ³³							
2986-1	cʰ ɛ ³³							
3034-1	kʰ ɛ ⁵⁵							
3088-1	p l a ³³							
3113-1	p l a ³³							
3154-1	r o ¹¹							
3179-1	cʰ ɛ ¹¹							
3246-1	d ɛ ³³							
3259-1	c w i ¹¹							
3282-1	tʰ ɔ ¹¹							
3295-1	cʰ e ¹¹							
3338-1	l o ¹¹							
3351-1	p l a ³³							
3375-1	m o ¹¹							
3410-1	j ɔ ⁵⁵							
3423-1	m a ¹¹							
3445-1	cʰ ə ³³							
3485-1	p i ¹¹							
3500-1	p l ɔ ⁵⁵							
3545-1	t ɨ ¹¹							
3557-1	s ɔ ³³							
3581-1	c ɔ ³³							
3594-1	kʰ i ³³							
3618-1	s o ¹¹							
3654-1	p l a ³³							
3667-1	t ɛ ³³							
3680-1	kʰ l a ⁵⁵							
3763-1	p o ¹¹							
3850-1	p l e ¹¹							
3878-1	tʰ i ³³							
3903-1	tʰ i ³³							
3938-1	c w i							
3963-1	l i ¹¹							
3977-1	m e ³³							
1464-1	l i ¹¹							
10-1	l ɔ ¹¹							
59-1	tʰ e ¹¹							
91-1	w e ¹¹							
288-1	s w i ¹¹							
316-1	m ə ¹¹							
336-1	kʰ l a ⁵⁵							
371-1	cʰ ɨ ³³							
383-1	s i ¹¹							
408-1	pʰ a ³³							
469-1	p r ¹¹							
567-1	s w ¹¹							
592-1	h e ³³							
646-1	s i ¹¹							
666-1	b e ¹¹							
696-1	p r ¹¹							
634-1	pʰ l ɔ ⁵⁵							
725-1	kʰ r ¹¹							
750-1	kʰ u ⁵⁵							
823-1	kʰ l a ¹¹							
835-1	ʔ o ¹¹							
894-1	n i ¹¹							
930-1	j ɔ ⁵⁵							
942-1	kʰ i ³³							
969-1	ʔ w i ⁵⁵							
1160-1	ʔ e ¹¹							
1314-1	k ɔ ⁵⁵							
1363-1	t ɛ ³³							
1385-1	r ɔ ⁵⁵							
1530-1	b u ³³							
1539-1	ʔ a ³³							
1565-1	l i ¹¹							
1599-1	l e ¹¹							
1612-1	l u ¹¹							
1632-1	t o ¹¹							
21-2		t ɨ ¹¹						
33-2		t ɨ ¹¹						
46-2		b l a ŋ ¹¹						
126-2		θ a ŋ						
114-2		b a ŋ						
149-2		p l a ŋ ⁵³						
171-2		tʰ a ŋ ⁵³						
191-2		w a ⁵³ ⁵³						
203-2		n ai ⁵³						
224-2		l a ʔ ²¹						
275-2		kʰ a ¹¹						
302-2		ʔ au ⁵³						
315-2		tʰ ɔ ʔ ⁴⁵						
394-2		n au ʔ						
431-2		pʰ a ʔ ²¹						
444-2		p a ʔ ²¹						
445-2		n a ¹¹						
514-2		θ a ʔ						
555-2		kʰ w i ¹¹						
579-2		cʰ a ⁵³ ⁵³						
603-2		kʰ a ¹¹						
737-2		l au ¹¹						
763-2		cʰ w ɛ ¹¹						
870-2		kʰ i ʔ ⁴⁵						
918-2		ʔ au ⁵³						
979-2		l a ŋ ⁵³						
1013-2		m a ¹¹						
1040-2		tʰ w i ¹¹						
1027-2		m a ¹¹						
1053-2		l w i ¹¹						
1065-2		m a ŋ						
1091-2		m w a ŋ ¹¹						
1116-2		ʔ i ¹¹						
1129-2		n a ¹¹						
1173-2		d ɨ ¹¹						
1207-2		cʰ a ŋ ⁵³						
1255-2		p i ʔ ⁴⁵						
1277-2		t ɛ ʔ						
1290-2		b l ¹¹						
1301-2		cʰ w a						
1337-2		m w a ŋ ¹¹						
1323-2		m w a ŋ ¹¹						
1350-2		m ai ¹¹						
1372-2		ŋ a ¹¹						
1498-2		d ai ¹¹						
1664-2		l ai ¹¹						
1652-2		ʔ au ¹¹						
1687-2		θ a ʔ ⁴⁵						
1708-2		θ a ¹¹						
1732-2		t ɔ ¹¹						
1742-2		n au ¹¹						
1755-2		pʰ r ⁵³						
1767-2		θ a ⁵³						
1786-2		r a ¹¹						
1803-2		w a ¹¹						
1815-2		cʰ a ⁵³						
1840-2		pʰ r a ʔ						
1853-2		tʰ a ʔ ⁴⁵						
1866-2		θ a ʔ ⁴⁵						
1894-2		l a ¹¹						
1934-2		c a ¹¹						
1947-2		kʰ a ŋ ⁵³						
1993-2		pʰ w i ⁵³						
2059-2		ʔ au ¹¹						
2098-2		j ai a ʔ						
2086-2		tʰ ɔ ⁵³						
2153-2		θ ɨ ¹¹						
2180-2		l ɔ ¹¹						
2205-2		kʰ w i ŋ						
2328-2		l a ŋ ⁵³						
2349-2		j au ¹¹						
2372-2		m ai ¹¹						
2388-2		m ai ¹¹						
2413-2		d ɛ ⁵³						
2637-2		p l ɔ ŋ ⁴⁵						
2649-2		c w a ŋ ⁵³						
2693-2		p əɨ ¹¹						
2755-2		θ a ʔ ⁴⁵						
2858-2		m ai ¹¹						
2953-2		c a ⁵³						
2986-2		cʰ a ʔ						
3034-2		kʰ a ʔ ⁴⁵						
3088-2		b l a ʔ						
3113-2		p l i ⁵³						
3154-2		r w a ŋ ¹¹						
3179-2		c a ¹¹						
3246-2		d a ⁵³						
3259-2		c i ¹¹						
3282-2		tʰ əɨ ¹¹						
3295-2		cʰ a ¹¹						
3338-2		l ɔ ¹¹						
3351-2		b l i ¹¹						
3375-2		m w a ŋ ¹¹						
3410-2		j ɔ ʔ ⁴⁵						
3423-2		m ai ¹¹						
3445-2		cʰ i ⁵³						
3485-2		p i ¹¹						
3500-2		p l ɔ ŋ						
3545-2		t u ¹¹						
3557-2		θ ə ⁵³						
3581-2		c a ŋ ⁵³						
3594-2		kʰ i ⁵³						
3618-2		θ au ¹¹						
3654-2		b l i ¹¹						
3667-2		t ɛ ʔ						
3680-2		kʰ l i ʔ ⁴⁵						
3763-2		p r a ʔ ⁴⁵						
3850-2		b l a ŋ ¹¹						
3878-2		tʰ ai ⁵³						
3903-2		tʰ a ɛ						
3938-2		c a ¹¹						
3963-2		l a ¹¹						
3977-2		m a ⁵³						
1464-2		l w i						
10-2		l ɔ ʔ ⁴⁵						
59-2		tʰ a ŋ ¹¹						
91-2		w a ŋ ⁵³						
288-2		θ w i ¹¹						
316-2		m ai ¹¹						
371-2		kʰ u ⁵³						
408-2		pʰ i ⁵³						
469-2		b r a ¹¹						
567-2		θ w a ŋ ¹¹						
592-2		h a ⁵³						
646-2		θ ɨ ¹¹						
666-2		b a ¹¹						
696-2		pʰ r a ¹¹						
634-2		pʰ l ɔ ¹¹						
725-2		kʰ w i ʔ						
750-2		kʰ au ʔ						
906-2		θ ɨ ⁵³						
930-2		j ɔ ʔ						
942-2		kʰ i ⁵³						
969-2		ʔ w i						
1104-2		l au ⁵³						
1160-2		ʔ a ŋ						
1314-2		k ə ʔ ⁴⁵						
1363-2		t a ʔ ²¹						
1385-2		r w a ʔ ⁵³						
1530-2		b w ɛ ⁵³						
1539-2		ʔ i ⁵³						
1554-2		l w ɛ						
1577-2		d w ɛ						
1599-2		l a ¹¹						
1612-2		l au ¹¹						
21-3			t ə ¹¹					
33-3			t ə ¹¹					
46-3			p l a ¹¹					
126-3			s a ¹¹					
114-3			b ɔ ⁵⁵					
149-3			p l a ¹¹					
171-3			tʰ ɔ ⁵⁵					
191-3			k ɔ ³³					
203-3			n i ⁵⁵					
224-3			l ɔ ³³					
275-3			kʰ ɔ ¹¹					
302-3			ʔ u ¹¹					
315-3			tʰ ə ³³					
394-3			n o ³³					
431-3			pʰ a ³³					
444-3			p ə ³³					
445-3			n a ¹¹					
514-3			s i ³³					
555-3			kʰ i ¹¹					
579-3			cʰ ɔ ⁵⁵					
603-3			kʰ ɔ ¹¹					
737-3			l u ¹¹					
763-3			cʰ u ¹¹					
870-3			kʰ i ³³					
918-3			ʔ i ⁵⁵					
979-3			l ɔ ³³					
1013-3			m ɔ ¹¹					
1040-3			tʰ ɛ ¹¹					
1027-3			m ɔ ¹¹					
1053-3			l i ³³					
1065-3			m ɔ ¹¹					
1091-3			m ə ¹¹					
1116-3			ʔ i ¹¹					
1129-3			n a ¹¹					
1173-3			d i ¹¹					
1207-3			cʰ ɔ ⁵⁵					
1255-3			p i ³³					
1277-3			t e ³³					
1290-3			b u ¹¹					
1301-3			cʰ u ¹¹					
1337-3			m ə ¹¹					
1323-3			m u ¹¹					
1350-3			m i ¹¹					
1372-3			m a ¹¹					
1498-3			d i ¹¹					
1664-3			l i ³³					
1652-3			ʔ o ¹¹					
1687-3			s a ¹¹					
1708-3			s u ¹¹					
1732-3			t ə ¹¹					
1742-3			n o ¹¹					
1755-3			pʰ r ⁵⁵					
1767-3			s i ⁵⁵					
1786-3			j a ¹¹					
1803-3			w e ¹¹					
1815-3			cʰ ɔ ⁵⁵					
1840-3			pʰ r e ³³					
1853-3			tʰ ɔ ³³					
1866-3			s a ¹¹					
1894-3			l ɔ ³³					
1934-3			c i ¹¹					
1947-3			kʰ ɔ ¹¹					
1993-3			pʰ u ⁵⁵					
2059-3			ʔ o ¹¹					
2098-3			m ə ¹¹					
2086-3			tʰ ə ⁵⁵					
2153-3			s u ¹¹					
2180-3			l u ¹¹					
2205-3			kʰ w u					
2328-3			l ɔ ³³					
2349-3			j u ¹¹					
2372-3			m i ¹¹					
2388-3			m i ¹¹					
2413-3			d i ⁵⁵					
2637-3			p l ə ¹¹					
2649-3			c u ¹¹					
2693-3			p ə ¹¹					
2755-3			s ə ³³					
2858-3			m i ¹¹					
2953-3			cʰ a ⁵⁵					
2986-3			cʰ ɔ ³³					
3034-3			kʰ ɔ ³³					
3088-3			p l e ³³					
3113-3			p l e ⁵⁵					
3154-3			r u ¹¹					
3179-3			cʰ ɔ ¹¹					
3246-3			d e ⁵⁵					
3259-3			c i ¹¹					
3282-3			tʰ ə ¹¹					
3295-3			cʰ ɔ ¹¹					
3338-3			l u ¹¹					
3351-3			p l e ³³					
3375-3			m ə ¹¹					
3410-3			j ə ³³					
3423-3			m i ¹¹					
3445-3			cʰ i ⁵⁵					
3485-3			p i ¹¹					
3500-3			p l ə ¹¹					
3545-3			t u ¹¹					
3557-3			s ə ⁵⁵					
3581-3			c i ⁵⁵					
3594-3			kʰ i ⁵⁵					
3618-3			s u ¹¹					
3654-3			p l e ³³					
3667-3			t ɛ ³³					
3680-3			kʰ l e ³³					
3763-3			p r o ³³					
3850-3			p l a ¹¹					
3878-3			tʰ i ⁵⁵					
3903-3			tʰ i ⁵⁵					
3938-3			c u ¹¹					
3963-3			l i ¹¹					
3977-3			m ɔ ⁵⁵					
1464-3			l i ¹¹					
10-3			l u ³³					
316-3			m i ¹¹					
336-3			kʰ l e ³³					
371-3			cʰ u ⁵⁵					
383-3			s i ¹¹					
408-3			pʰ i ⁵⁵					
469-3			pʰ r ⁵⁵					
567-3			s u ¹¹					
592-3			h ɔ ⁵⁵					
646-3			s i ¹¹					
666-3			b ɔ ¹¹					
696-3			pʰ r a ¹¹					
634-3			pʰ l ə ¹¹					
725-3			kʰ i ¹¹					
750-3			kʰ u ¹¹					
823-3			kʰ l e ³³					
835-3			ʔ u ¹¹					
894-3			n i ¹¹					
906-3			s i ⁵⁵					
942-3			kʰ i ⁵⁵					
969-3			ʔ i ³³					
1104-3			l u ¹¹					
1160-3			ʔ ɔ ³³					
1314-3			k i ³³					
1363-3			t ɔ ³³					
1385-3			r ə ³³					
1530-3			b r ⁵⁵					
1539-3			ʔ i ⁵⁵					
1554-3			l i ³³					
1577-3			d ɛ ¹¹					
1565-3			l i ¹¹					
1599-3			l ɔ ³³					
1612-3			l u ¹¹					
1632-3			t u ¹¹					
21-4				tʰ a ŋ				
33-4				tʰ o ⁵⁵				
46-4				pʰ l a ⁵³				
126-4				s a ɦ ³¹				
114-4				b a ŋ				
149-4				pʰ l a ⁵³				
171-4				tʰ a ŋ ɦ ³¹				
191-4				w w ɛ				
203-4				n e ŋ ɦ ³¹				
224-4				l a ʔ ²¹				
275-4				kʰ a ⁵⁵				
302-4				ʔ u ɦ ³¹				
315-4				tʰ ɔ ʔ ²¹				
394-4				n ə ʔ ²¹				
431-4				pʰ a ʔ ²¹				
444-4				pʰ a ʔ ²¹				
445-4				n a ⁵⁵				
514-4				s i ʔ ²¹				
555-4				kʰ w i ⁵⁵				
579-4				cʰ a ŋ ³¹				
603-4				kʰ a ⁵⁵				
737-4				l u ⁵⁵				
763-4				cʰ w ɛ ⁵³				
870-4				kʰ i ʔ				
918-4				ʔ ɛ ŋ ɦ ³¹				
979-4				l a ŋ ɦ				
1013-4				m a ⁵⁵				
1040-4				tʰ w i ⁵⁵				
1027-4				m a ɦ				
1053-4				l w i ⁵⁵				
1065-4				m a ŋ				
1091-4				m w ⁵⁵				
1116-4				ʔ ɛ ⁵⁵ ⁵⁵				
1129-4				n a ⁵⁵				
1173-4				d e ŋ				
1207-4				cʰ a ŋ ɦ				
1255-4				pʰ i ʔ ²¹				
1277-4				tʰ e ʔ ²¹				
1290-4				b w a				
1301-4				cʰ u ⁵⁵				
1337-4				m ə ⁵⁵				
1323-4				m u ⁵⁵				
1350-4				m i ⁵⁵				
1372-4				j a ʔ				
1498-4				d e ŋ				
1664-4				l e ʔ ²¹				
1652-4				ʔ a ⁵⁵				
1687-4				s a ʔ ²¹				
1708-4				s ə ⁵⁵				
1732-4				tʰ o ŋ				
1742-4				n ə ŋ				
1755-4				pʰ r ɨ ⁵⁵				
1767-4				s a ⁵⁵ ³¹				
1786-4				j a a				
1803-4				w a a ³¹				
1815-4				cʰ a ɦ ³¹				
1840-4				pʰ r i ʔ				
1853-4				tʰ a ʔ ²¹				
1866-4				s a ʔ ²¹				
1894-4				l a ⁵⁵				
1934-4				c i ⁵⁵				
1947-4				kʰ a ŋ ⁵⁵				
1993-4				pʰ w i ɦ ³¹				
2059-4				ʔ a ŋ ⁵⁵				
2098-4				ŋ j a				
2086-4				tʰ o ŋ				
2153-4				s ə ⁵⁵				
2180-4				l ə ŋ				
2205-4				kʰ w ɛ ɦ ³¹				
2328-4				l a ɦ ³¹				
2349-4				j u ⁵⁵				
2372-4				m i ⁵⁵				
2388-4				m i ⁵⁵				
2413-4				d e ŋ ɦ ³¹				
2637-4				pʰ l o ⁵⁵				
2649-4				c u ɦ ³¹				
2693-4				pʰ ə ŋ				
2755-4				s a ʔ ²¹				
2858-4				m i n				
2953-4				cʰ a ɦ ³¹				
2986-4				cʰ a ʔ ²¹				
3034-4				kʰ a ʔ ²¹				
3088-4				pʰ l ɛ ʔ ²¹				
3113-4				pʰ l i ŋ ³¹				
3154-4				r u ⁵⁵				
3179-4				cʰ a a				
3246-4				d a ɦ ³¹				
3259-4				c i ⁵⁵				
3282-4				tʰ ɨ n ⁵⁵				
3295-4				cʰ a ⁵⁵				
3338-4				l ə ŋ				
3351-4				pʰ l i ⁵⁵				
3375-4				m ə ŋ				
3410-4				j o ʔ ²¹				
3423-4				m a ⁵⁵				
3445-4				cʰ i ɦ ³¹				
3485-4				pʰ i ⁵⁵				
3500-4				pʰ l o ⁵⁵				
3545-4				tʰ u ⁵⁵				
3557-4				s ə ŋ ɦ ³¹				
3581-4				c u ɦ ³¹				
3594-4				kʰ i ɦ				
3618-4				s u ⁵⁵				
3654-4				pʰ l i ⁵⁵				
3667-4				tʰ u ʔ ²¹				
3680-4				kʰ l i ʔ ²¹				
3763-4				pʰ r o ʔ ²¹				
3850-4				pʰ l a ⁵³				
3878-4				tʰ e ŋ ɦ ³¹				
3903-4				tʰ e ŋ ɦ ³¹				
3938-4				c u ⁵⁵				
3963-4				l ɛ ŋ ⁵⁵				
3977-4				m a ɦ ³¹				
1464-4				l w i ³¹				
10-4				l ə ʔ ²¹				
59-4				tʰ a ŋ				
91-4				w a a ⁵⁵				
288-4				s w i ⁵⁵				
316-4				m i ⁵⁵				
336-4				kʰ l i ɦ ³¹				
371-4				kʰ u i ⁵⁵ ²¹				
383-4				s ə ⁵⁵				
408-4				pʰ e ŋ ɦ ³¹				
469-4				pʰ r i ⁵⁵ ɦ				
567-4				s u ⁵⁵				
592-4				kʰ a ʔ ²¹				
646-4				s ə ⁵⁵				
666-4				b a ⁵⁵				
696-4				pʰ r a ɦ				
634-4				pʰ l o ⁵⁵				
725-4				kʰ w i ɦ ³¹				
750-4				kʰ u ʔ				
823-4				kʰ l i ⁵⁵				
835-4				ʔ u ⁵⁵				
894-4				n i ŋ				
906-4				s ə ŋ ³¹				
930-4				j o ʔ ⁴⁵				
942-4				kʰ i ɦ				
969-4				ʔ w i ⁵⁵				
1104-4				l u ŋ ³¹				
1160-4				ʔ a ŋ				
1314-4				k ə ʔ ²¹				
1363-4				tʰ a ʔ				
1385-4				r ə ʔ ²¹				
1530-4				pʰ w ɛ ɦ ³¹				
1539-4				ʔ a ŋ ɦ ³¹				
1554-4				l e ɛ ɦ ³¹				
1577-4				d ɨ n ⁵⁵				
1565-4				l i ⁵⁵ ³¹				
1599-4				l a ɦ ³¹				
1612-4				l u ɦ ³¹				
1632-4				tʰ u ⁵⁵				
21-5					tʰ ɑ̃ ³³			
33-5					tʰ ɑ̃ ³³			
46-5					pʰ l a ³³			
126-5					s a ³³			
114-5					b a ³³			
149-5					pʰ l a ³³			
171-5					tʰ a ³³			
191-5					w a ⁵⁵			
203-5					n ei ɦ ¹¹			
224-5					l a ʔ ²¹			
275-5					kʰ ɛ̃ ³⁵			
302-5					ʔ u ³³			
315-5					tʰ au ʔ ⁴⁵			
394-5					n ɔ̃ ⁵⁵			
431-5					pʰ a ʔ ²¹			
444-5					pʰ a ʔ ²¹			
445-5					n a ³³			
514-5					s ei ³³			
555-5					kʰ w ei ³³			
579-5					cʰ ãi ³⁵			
603-5					kʰ ɛ̃ ³⁵			
737-5					l u ³³			
763-5					cʰ w ɛ ⁵⁵			
870-5					kʰ ei ³³			
918-5					ʔ ãi ³³			
979-5					l a ³³			
1013-5					m a ³³			
1040-5					tʰ w ³³ ³³			
1027-5					m a ɦ			
1053-5					l ei ei ⁵⁵			
1065-5					m ɛ̃ ³³			
1091-5					m ɑ̃ ɦ ¹¹			
1116-5					ʔ ãi ³³			
1129-5					n a ³³			
1173-5					d ei ³³			
1207-5					cʰ ãi ³⁵			
1255-5					pʰ ei ³³			
1277-5					tʰ a ʔ			
1290-5					b l ʔ ⁵⁵			
1301-5					cʰ ɑ̃ ³³			
1337-5					m ɑ̃ ɦ ¹¹			
1323-5					m ɑ̃ ɦ ¹¹			
1350-5					m ei ³³			
1372-5					j ã ɦ			
1498-5					d ei ʔ			
1664-5					l ai ʔ ²¹			
1652-5					ʔ ɔ ³³			
1687-5					s a ʔ ²¹			
1708-5					s u ³³			
1732-5					tʰ u ³³			
1742-5					n ɔ̃ ⁵⁵			
1755-5					pʰ l ³³			
1767-5					s ei ³³			
1786-5					j a ʔ ²¹			
1803-5					w a ³³			
1815-5					cʰ ãi ³⁵			
1840-5					pʰ a ³³			
1853-5					tʰ a ʔ ⁴⁵			
1866-5					s a ʔ ²¹			
1894-5					l a ³³			
1934-5					x a ³³			
1947-5					kʰ ɛ̃ ³⁵			
1993-5					pʰ w ³⁵			
2059-5					ʔ ɔ ³³			
2098-5					j ai ʔ ²¹			
2086-5					tʰ u ³³			
2153-5					s ɑ̃ ³³			
2180-5					l u ³³			
2205-5					kʰ w ɛ			
2328-5					l a ³³			
2349-5					j u ³³			
2372-5					m ei ³³			
2388-5					m ei ³³			
2413-5					d ei ʔ			
2637-5					pʰ l a ⁵⁵			
2649-5					x ou ³⁵			
2693-5					pʰ a ʔ			
2755-5					s ɛ̃ ³⁵			
2858-5					m ei ⁵⁵			
2953-5					cʰ a ³⁵			
2986-5					cʰ ãi ʔ			
3034-5					kʰ ɛ̃ ³⁵			
3088-5					pʰ l a ʔ ²¹			
3113-5					pʰ l a ⁵⁵			
3154-5					x u ³³			
3179-5					cʰ ãi ³³			
3246-5					d ɛ ⁵⁵			
3259-5					x ei ³³			
3282-5					tʰ ɑ̃ ³³			
3295-5					cʰ ãi ³³			
3338-5					l u ³³			
3351-5					pʰ l a ³³			
3375-5					m ɑ̃ ɦ ¹¹			
3410-5					j ã ɦ ¹¹			
3423-5					m ei ³³			
3445-5					cʰ ei ³⁵			
3485-5					pʰ ei ³³			
3500-5					pʰ l a ⁵⁵			
3545-5					tʰ u ³³			
3557-5					s ɑ̃ ⁵⁵			
3581-5					x a ³³			
3594-5					kʰ ei ³⁵			
3618-5					s u ³³			
3654-5					pʰ l a ³³			
3667-5					tʰ ɛ ʔ			
3680-5					kʰ l ei ³⁵			
3763-5					pʰ a ʔ			
3850-5					pʰ l a ³³			
3878-5					tʰ ɑ̃ ³⁵			
3903-5					tʰ a ³³			
3938-5					x o ʔ ⁴⁵			
3963-5					l ãi ³³			
3977-5					m a ⁵⁵			
1464-5					l ei ⁵⁵			
10-5					l u ⁵⁵			
59-5					tʰ a ³³			
91-5					w a ³³			
288-5					s ɑ̃ ⁵⁵ ¹¹			
316-5					m ei ³³			
336-5					kʰ l ei ⁵⁵			
383-5					s ei ³³			
408-5					pʰ ai ʔ ²¹			
567-5					s ɑ̃ ³³			
646-5					s ei ³³			
666-5					b ɛ̃ ³³			
696-5					pʰ a ʔ			
634-5					pʰ l a ⁵⁵			
725-5					kʰ w ⁵⁵			
750-5					kʰ u ⁵⁵			
823-5					kʰ l ei ³³			
835-5					ʔ ɔ ³³			
894-5					n ei ⁵⁵			
906-5					s ei ³⁵			
930-5					j ã ɦ ¹¹			
969-5					ʔ ei ³³			
1104-5					l u ⁵⁵			
1160-5					ʔ a ³³			
1314-5					k ei ³³			
1385-5					x ei ʔ			
1539-5					ʔ a ³³			
1554-5					l ɑ̃ ³⁵			
1577-5					d ɛ ³³			
1565-5					l ei ³³			
1599-5					l a ³³			
1632-5					tʰ u ³³			
21-6						t ə ŋ		
33-6						t ə ¹¹		
46-6						p l a ¹¹		
126-6						s a ⁵⁵		
114-6						ˀb a ŋ ⁵⁵		
149-6						p l a ¹¹		
171-6						tʰ a m ⁵⁵		
191-6						w w ¹¹		
203-6						n̥ e ⁵⁵		
224-6						l a ʔ̚ ⁵¹		
275-6						kʰ a ¹¹		
302-6						ʔ u ⁵⁵		
315-6						tʰ a ʔ̚ ⁵¹		
394-6						n̥ ɔ ʔ̚ ⁵¹		
431-6						pʰ a ʔ̚ ⁵¹		
444-6						p ə ʔ̚		
445-6						n̥ a ¹¹		
514-6						s w i		
555-6						kʰ w i ¹¹		
579-6						cʰ a a ⁵⁵		
603-6						kʰ a ¹¹		
737-6						l o ¹¹		
763-6						cʰ w ɛ ¹¹		
870-6						kʰ i ʔ̚		
918-6						ʔ ə ŋ ⁵⁵		
979-6						l a ŋ ⁵⁵		
1013-6						m a ¹¹		
1040-6						tʰ w i ¹¹		
1027-6						m̥ a ¹¹		
1053-6						l w i ¹¹		
1065-6						m a ŋ		
1091-6						m ə ¹¹		
1116-6						ʔ j ɛ ⁵¹		
1129-6						n̥ a ¹¹		
1173-6						ˀd ei ⁵⁵		
1207-6						cʰ a ŋ ⁵⁵		
1255-6						p e ʔ̚ ⁵¹		
1277-6						t a ʔ̚ ⁵¹		
1290-6						ˀb w ¹¹		
1301-6						cʰ u ɴ ¹¹		
1337-6						m ə ¹¹		
1323-6						m u ¹¹		
1350-6						m ə ¹¹		
1372-6						j a ¹¹		
1498-6						ˀd e ¹¹		
1664-6						l e ʔ̚ ⁵¹		
1652-6						ʔ ɔ ɴ ¹¹		
1687-6						s a ʔ̚ ⁵¹		
1708-6						s o ¹¹		
1732-6						t ə ŋ		
1742-6						n̥ ɔ ŋ		
1755-6						pʰ r u ⁵⁵		
1767-6						s w i		
1786-6						j a a		
1803-6						w a ¹¹		
1815-6						cʰ a ⁵⁵		
1840-6						p r e ¹¹		
1853-6						tʰ a ʔ̚ ⁵¹		
1866-6						s a ʔ̚ ⁵¹		
1894-6						l a ¹¹		
1934-6						ɟ i ¹¹		
1947-6						kʰ a ŋ ¹¹		
1993-6						pʰ w i ⁵⁵		
2059-6						ʔ ɔ ŋ ⁵⁵		
2098-6						j j a		
2086-6						tʰ u ⁵⁵		
2153-6						s u ¹¹ ¹¹		
2180-6						l o ŋ		
2205-6						kʰ w ɨ ɴ ⁵⁵		
2328-6						l a ⁵⁵		
2349-6						j o ¹¹		
2372-6						m ə ¹¹		
2388-6						m i ¹¹		
2413-6						ˀd ei ⁵⁵		
2637-6						p l ɔ ŋ		
2649-6						ɟ u ⁵⁵		
2693-6						p ə ŋ		
2755-6						s o ʔ̚ ⁵¹		
2858-6						m ei ⁵⁵		
2953-6						cʰ a ⁵⁵		
2986-6						cʰ a ʔ̚ ⁵¹		
3034-6						kʰ a ʔ̚ ⁵¹		
3088-6						p l ɛ ʔ ⁵¹		
3113-6						p l e ⁵⁵		
3154-6						r o ¹¹		
3179-6						cʰ a a ¹¹		
3246-6						ˀd a ⁵⁵		
3259-6						ɟ i ¹¹		
3282-6						tʰ ə ŋ		
3295-6						cʰ a ¹¹		
3338-6						l o ŋ		
3351-6						p l i ¹¹		
3375-6						m ə ¹¹		
3410-6						j o ʔ̚ ⁵¹		
3423-6						m a ¹¹		
3445-6						cʰ ei ⁵⁵		
3485-6						p i ¹¹		
3500-6						p l ɔ ŋ ¹¹		
3545-6						t ə ¹¹		
3557-6						s ə ⁵⁵		
3581-6						ɟ ə ŋ		
3594-6						kʰ i ⁵⁵		
3618-6						s u ¹¹		
3654-6						p l e ¹¹		
