index	index_p	rindex	rindex_p	cogid	id_dutch	segment_dutch	segment_dutch_L1	segment_dutch_L2	segment_dutch_L3	segment_dutch_R1	segment_dutch_R2	segment_dutch_R3	SC_dutch	SC_dutch_L1	SC_dutch_L2	SC_dutch_L3	SC_dutch_R1	SC_dutch_R2	SC_dutch_R3	PROSODY_dutch	PROSODY_dutch_L1	PROSODY_dutch_L2	PROSODY_dutch_L3	PROSODY_dutch_R1	PROSODY_dutch_R2	PROSODY_dutch_R3	id_english	segment_english	segment_english_L1	segment_english_L2	segment_english_L3	segment_english_R1	segment_english_R2	segment_english_R3	SC_english	SC_english_L1	SC_english_L2	SC_english_L3	SC_english_R1	SC_english_R2	SC_english_R3	PROSODY_english	PROSODY_english_L1	PROSODY_english_L2	PROSODY_english_L3	PROSODY_english_R1	PROSODY_english_R2	PROSODY_english_R3	id_french	segment_french	segment_french_L1	segment_french_L2	segment_french_L3	segment_french_R1	segment_french_R2	segment_french_R3	SC_french	SC_french_L1	SC_french_L2	SC_french_L3	SC_french_R1	SC_french_R2	SC_french_R3	PROSODY_french	PROSODY_french_L1	PROSODY_french_L2	PROSODY_french_L3	PROSODY_french_R1	PROSODY_french_R2	PROSODY_french_R3	id_german	segment_german	segment_german_L1	segment_german_L2	segment_german_L3	segment_german_R1	segment_german_R2	segment_german_R3	SC_german	SC_german_L1	SC_german_L2	SC_german_L3	SC_german_R1	SC_german_R2	SC_german_R3	PROSODY_german	PROSODY_german_L1	PROSODY_german_L2	PROSODY_german_L3	PROSODY_german_R1	PROSODY_german_R2	PROSODY_german_R3
3	0.6000	3	0.6000	-2270	6	s	ɛ	r	∅	t	ə	∅	S	E	R	∅	T	E	∅	3	7	5	∅	1	7	∅																																													7	s	ɛ	r	∅	t	-	∅	S	E	R	∅	T	_	∅	3	7	5	∅	1	0	∅
4	0.8000	2	0.4000	-2270	6	t	s	ɛ	r	ə	∅	∅	T	S	E	R	E	∅	∅	1	3	7	5	7	∅	∅																																													7	t	s	ɛ	r	-	∅	∅	T	S	E	R	_	∅	∅	1	3	7	5	0	∅	∅
5	1.0000	1	0.2000	-2270	6	ə	t	s	ɛ	∅	∅	∅	E	T	S	E	∅	∅	∅	7	1	3	7	∅	∅	∅																																													7	-	t	s	ɛ	∅	∅	∅	_	T	S	E	∅	∅	∅	0	1	3	7	∅	∅	∅
1	0.1429	7	1.0000	-2260	8	p	∅	∅	∅	l	ɑ	n	P	∅	∅	∅	L	A	N	1	∅	∅	∅	5	7	4	9	p	∅	∅	∅	l	ɑː	n	P	∅	∅	∅	L	A	N	1	∅	∅	∅	5	7	4																							10	pf	∅	∅	∅	l	a	n	B	∅	∅	∅	L	A	N	2	∅	∅	∅	5	7	4
2	0.2857	6	0.8571	-2260	8	l	p	∅	∅	ɑ	n	t	L	P	∅	∅	A	N	T	5	1	∅	∅	7	4	1	9	l	p	∅	∅	ɑː	n	t	L	P	∅	∅	A	N	T	5	1	∅	∅	7	4	1																							10	l	pf	∅	∅	a	n	ts	L	B	∅	∅	A	N	C	5	2	∅	∅	7	4	2
3	0.4286	5	0.7143	-2260	8	ɑ	l	p	∅	n	t	ə	A	L	P	∅	N	T	E	7	5	1	∅	4	1	7	9	ɑː	l	p	∅	n	t	-	A	L	P	∅	N	T	_	7	5	1	∅	4	1	0																							10	a	l	pf	∅	n	ts	ə	A	L	B	∅	N	C	E	7	5	2	∅	4	2	7
4	0.5714	4	0.5714	-2260	8	n	ɑ	l	p	t	ə	-	N	A	L	P	T	E	_	4	7	5	1	1	7	0	9	n	ɑː	l	p	t	-	-	N	A	L	P	T	_	_	4	7	5	1	1	0	0																							10	n	a	l	pf	ts	ə	n	N	A	L	B	C	E	N	4	7	5	2	2	7	4
5	0.7143	3	0.4286	-2260	8	t	n	ɑ	l	ə	-	∅	T	N	A	L	E	_	∅	1	4	7	5	7	0	∅	9	t	n	ɑː	l	-	-	∅	T	N	A	L	_	_	∅	1	4	7	5	0	0	∅																							10	ts	n	a	l	ə	n	∅	C	N	A	L	E	N	∅	2	4	7	5	7	4	∅
6	0.8571	2	0.2857	-2260	8	ə	t	n	ɑ	-	∅	∅	E	T	N	A	_	∅	∅	7	1	4	7	0	∅	∅	9	-	t	n	ɑː	-	∅	∅	_	T	N	A	_	∅	∅	0	1	4	7	0	∅	∅																							10	ə	ts	n	a	n	∅	∅	E	C	N	A	N	∅	∅	7	2	4	7	4	∅	∅
7	1.0000	1	0.1429	-2260	8	-	ə	t	n	∅	∅	∅	_	E	T	N	∅	∅	∅	0	7	1	4	∅	∅	∅	9	-	-	t	n	∅	∅	∅	_	_	T	N	∅	∅	∅	0	0	1	4	∅	∅	∅																							10	n	ə	ts	n	∅	∅	∅	N	E	C	N	∅	∅	∅	4	7	2	4	∅	∅	∅
1	0.2000	5	1.0000	-2121	11	r	∅	∅	∅	ɔ	l	ə	R	∅	∅	∅	U	L	E	5	∅	∅	∅	7	5	7	12	r	∅	∅	∅	əʊ	l	-	R	∅	∅	∅	E	L	_	5	∅	∅	∅	7	5	0																							13	r	∅	∅	∅	ɔ	l	ə	R	∅	∅	∅	U	L	E	5	∅	∅	∅	7	5	7
2	0.4000	4	0.8000	-2121	11	ɔ	r	∅	∅	l	ə	-	U	R	∅	∅	L	E	_	7	5	∅	∅	5	7	0	12	əʊ	r	∅	∅	l	-	-	E	R	∅	∅	L	_	_	7	5	∅	∅	5	0	0																							13	ɔ	r	∅	∅	l	ə	n	U	R	∅	∅	L	E	N	7	5	∅	∅	5	7	4
3	0.6000	3	0.6000	-2121	11	l	ɔ	r	∅	ə	-	∅	L	U	R	∅	E	_	∅	5	7	5	∅	7	0	∅	12	l	əʊ	r	∅	-	-	∅	L	E	R	∅	_	_	∅	5	7	5	∅	0	0	∅																							13	l	ɔ	r	∅	ə	n	∅	L	U	R	∅	E	N	∅	5	7	5	∅	7	4	∅
4	0.8000	2	0.4000	-2121	11	ə	l	ɔ	r	-	∅	∅	E	L	U	R	_	∅	∅	7	5	7	5	0	∅	∅	12	-	l	əʊ	r	-	∅	∅	_	L	E	R	_	∅	∅	0	5	7	5	0	∅	∅																							13	ə	l	ɔ	r	n	∅	∅	E	L	U	R	N	∅	∅	7	5	7	5	4	∅	∅
5	1.0000	1	0.2000	-2121	11	-	ə	l	ɔ	∅	∅	∅	_	E	L	U	∅	∅	∅	0	7	5	7	∅	∅	∅	12	-	-	l	əʊ	∅	∅	∅	_	_	L	E	∅	∅	∅	0	0	5	7	∅	∅	∅																							13	n	ə	l	ɔ	∅	∅	∅	N	E	L	U	∅	∅	∅	4	7	5	7	∅	∅	∅
1	0.1111	9	1.0000	-2104	14	m	∅	∅	∅	ɛ	s	t	M	∅	∅	∅	E	S	T	4	∅	∅	∅	7	3	1	15	p	∅	∅	∅	ɪ	-	tʃ	P	∅	∅	∅	I	_	T	1	∅	∅	∅	7	0	1																																												
2	0.2222	8	0.8889	-2104	14	ɛ	m	∅	∅	s	t	+	E	M	∅	∅	S	T	_	7	4	∅	∅	3	1	0	15	ɪ	p	∅	∅	-	tʃ	+	I	P	∅	∅	_	T	_	7	1	∅	∅	0	1	0																																												
3	0.3333	7	0.7778	-2104	14	s	ɛ	m	∅	t	+	f	S	E	M	∅	T	_	B	3	7	4	∅	1	0	3	15	-	ɪ	p	∅	tʃ	+	f	_	I	P	∅	T	_	B	0	7	1	∅	1	0	3																																												
4	0.4444	6	0.6667	-2104	14	t	s	ɛ	m	+	f	ɔ	T	S	E	M	_	B	U	1	3	7	4	0	3	7	15	tʃ	-	ɪ	p	+	f	ɔː	T	_	I	P	_	B	U	1	0	7	1	0	3	7																																												
5	0.5556	5	0.5556	-2104	14	+	t	s	ɛ	f	ɔ	r	_	T	S	E	B	U	R	0	1	3	7	3	7	5	15	+	tʃ	-	ɪ	f	ɔː	-	_	T	_	I	B	U	_	0	1	0	7	3	7	0																																												
6	0.6667	4	0.4444	-2104	14	f	+	t	s	ɔ	r	k	B	_	T	S	U	R	K	3	0	1	3	7	5	1	15	f	+	tʃ	-	ɔː	-	k	B	_	T	_	U	_	K	3	0	1	0	7	0	1																																												
7	0.7778	3	0.3333	-2104	14	ɔ	f	+	t	r	k	∅	U	B	_	T	R	K	∅	7	3	0	1	5	1	∅	15	ɔː	f	+	tʃ	-	k	∅	U	B	_	T	_	K	∅	7	3	0	1	0	1	∅																																												
8	0.8889	2	0.2222	-2104	14	r	ɔ	f	+	k	∅	∅	R	U	B	_	K	∅	∅	5	7	3	0	1	∅	∅	15	-	ɔː	f	+	k	∅	∅	_	U	B	_	K	∅	∅	0	7	3	0	1	∅	∅																																												
9	1.0000	1	0.1111	-2104	14	k	r	ɔ	f	∅	∅	∅	K	R	U	B	∅	∅	∅	1	5	7	3	∅	∅	∅	15	k	-	ɔː	f	∅	∅	∅	K	_	U	B	∅	∅	∅	1	0	7	3	∅	∅	∅																																												
1	0.1667	6	1.0000	-2035																							16	k	∅	∅	∅	ʌ	z	-	K	∅	∅	∅	E	S	_	1	∅	∅	∅	7	3	0																							17	k	∅	∅	∅	uː	z	iː	K	∅	∅	∅	Y	S	I	1	∅	∅	∅	7	3	7
2	0.3333	5	0.8333	-2035																							16	ʌ	k	∅	∅	z	-	n̩	E	K	∅	∅	S	_	N	7	1	∅	∅	3	0	4																							17	uː	k	∅	∅	z	iː	n	Y	K	∅	∅	S	I	N	7	1	∅	∅	3	7	4
3	0.5000	4	0.6667	-2035																							16	z	ʌ	k	∅	-	n̩	-	S	E	K	∅	_	N	_	3	7	1	∅	0	4	0																							17	z	uː	k	∅	iː	n	ə	S	Y	K	∅	I	N	E	3	7	1	∅	7	4	7
4	0.6667	3	0.5000	-2035																							16	-	z	ʌ	k	n̩	-	∅	_	S	E	K	N	_	∅	0	3	7	1	4	0	∅																							17	iː	z	uː	k	n	ə	∅	I	S	Y	K	N	E	∅	7	3	7	1	4	7	∅
5	0.8333	2	0.3333	-2035																							16	n̩	-	z	ʌ	-	∅	∅	N	_	S	E	_	∅	∅	4	0	3	7	0	∅	∅																							17	n	iː	z	uː	ə	∅	∅	N	I	S	Y	E	∅	∅	4	7	3	7	7	∅	∅
6	1.0000	1	0.1667	-2035																							16	-	n̩	-	z	∅	∅	∅	_	N	_	S	∅	∅	∅	0	4	0	3	∅	∅	∅																							17	ə	n	iː	z	∅	∅	∅	E	N	I	S	∅	∅	∅	7	4	7	3	∅	∅	∅
1	0.2000	5	1.0000	-2030																							18	ʌ	∅	∅	∅	ŋ	k	-	E	∅	∅	∅	N	K	_	7	∅	∅	∅	4	1	0																							19	ɔ	∅	∅	∅	ŋ	k	ə	U	∅	∅	∅	N	K	E	7	∅	∅	∅	4	1	7
2	0.4000	4	0.8000	-2030																							18	ŋ	ʌ	∅	∅	k	-	l̩	N	E	∅	∅	K	_	L	4	7	∅	∅	1	0	5																							19	ŋ	ɔ	∅	∅	k	ə	l	N	U	∅	∅	K	E	L	4	7	∅	∅	1	7	5
3	0.6000	3	0.6000	-2030																							18	k	ŋ	ʌ	∅	-	l̩	∅	K	N	E	∅	_	L	∅	1	4	7	∅	0	5	∅																							19	k	ŋ	ɔ	∅	ə	l	∅	K	N	U	∅	E	L	∅	1	4	7	∅	7	5	∅
4	0.8000	2	0.4000	-2030																							18	-	k	ŋ	ʌ	l̩	∅	∅	_	K	N	E	L	∅	∅	0	1	4	7	5	∅	∅																							19	ə	k	ŋ	ɔ	l	∅	∅	E	K	N	U	L	∅	∅	7	1	4	7	5	∅	∅
5	1.0000	1	0.2000	-2030																							18	l̩	-	k	ŋ	∅	∅	∅	L	_	K	N	∅	∅	∅	5	0	1	4	∅	∅	∅																							19	l	ə	k	ŋ	∅	∅	∅	L	E	K	N	∅	∅	∅	5	7	1	4	∅	∅	∅
1	0.2000	5	1.0000	-2027	20	t	∅	∅	∅	ɑ	n	t	T	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	21	-	∅	∅	∅	ɑː	n	t	_	∅	∅	∅	A	N	T	0	∅	∅	∅	7	4	1																							22	t	∅	∅	∅	a	n	t	T	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1
2	0.4000	4	0.8000	-2027	20	ɑ	t	∅	∅	n	t	ə	A	T	∅	∅	N	T	E	7	1	∅	∅	4	1	7	21	ɑː	-	∅	∅	n	t	-	A	_	∅	∅	N	T	_	7	0	∅	∅	4	1	0																							22	a	t	∅	∅	n	t	ə	A	T	∅	∅	N	T	E	7	1	∅	∅	4	1	7
3	0.6000	3	0.6000	-2027	20	n	ɑ	t	∅	t	ə	∅	N	A	T	∅	T	E	∅	4	7	1	∅	1	7	∅	21	n	ɑː	-	∅	t	-	∅	N	A	_	∅	T	_	∅	4	7	0	∅	1	0	∅																							22	n	a	t	∅	t	ə	∅	N	A	T	∅	T	E	∅	4	7	1	∅	1	7	∅
4	0.8000	2	0.4000	-2027	20	t	n	ɑ	t	ə	∅	∅	T	N	A	T	E	∅	∅	1	4	7	1	7	∅	∅	21	t	n	ɑː	-	-	∅	∅	T	N	A	_	_	∅	∅	1	4	7	0	0	∅	∅																							22	t	n	a	t	ə	∅	∅	T	N	A	T	E	∅	∅	1	4	7	1	7	∅	∅
5	1.0000	1	0.2000	-2027	20	ə	t	n	ɑ	∅	∅	∅	E	T	N	A	∅	∅	∅	7	1	4	7	∅	∅	∅	21	-	t	n	ɑː	∅	∅	∅	_	T	N	A	∅	∅	∅	0	1	4	7	∅	∅	∅																							22	ə	t	n	a	∅	∅	∅	E	T	N	A	∅	∅	∅	7	1	4	7	∅	∅	∅
1	0.2000	5	1.0000	-2026	23	n	∅	∅	∅	eː	f	-	N	∅	∅	∅	E	B	_	4	∅	∅	∅	7	3	0	24	n	∅	∅	∅	ɛ	v	j	N	∅	∅	∅	E	B	J	4	∅	∅	∅	7	3	6																							25	n	∅	∅	∅	ɛ	f	-	N	∅	∅	∅	E	B	_	4	∅	∅	∅	7	3	0
2	0.4000	4	0.8000	-2026	23	eː	n	∅	∅	f	-	-	E	N	∅	∅	B	_	_	7	4	∅	∅	3	0	0	24	ɛ	n	∅	∅	v	j	uː	E	N	∅	∅	B	J	Y	7	4	∅	∅	3	6	7																							25	ɛ	n	∅	∅	f	-	ə	E	N	∅	∅	B	_	E	7	4	∅	∅	3	0	7
3	0.6000	3	0.6000	-2026	23	f	eː	n	∅	-	-	∅	B	E	N	∅	_	_	∅	3	7	4	∅	0	0	∅	24	v	ɛ	n	∅	j	uː	∅	B	E	N	∅	J	Y	∅	3	7	4	∅	6	7	∅																							25	f	ɛ	n	∅	-	ə	∅	B	E	N	∅	_	E	∅	3	7	4	∅	0	7	∅
4	0.8000	2	0.4000	-2026	23	-	f	eː	n	-	∅	∅	_	B	E	N	_	∅	∅	0	3	7	4	0	∅	∅	24	j	v	ɛ	n	uː	∅	∅	J	B	E	N	Y	∅	∅	6	3	7	4	7	∅	∅																							25	-	f	ɛ	n	ə	∅	∅	_	B	E	N	E	∅	∅	0	3	7	4	7	∅	∅
5	1.0000	1	0.2000	-2026	23	-	-	f	eː	∅	∅	∅	_	_	B	E	∅	∅	∅	0	0	3	7	∅	∅	∅	24	uː	j	v	ɛ	∅	∅	∅	Y	J	B	E	∅	∅	∅	7	6	3	7	∅	∅	∅																							25	ə	-	f	ɛ	∅	∅	∅	E	_	B	E	∅	∅	∅	7	0	3	7	∅	∅	∅
1	0.1429	7	1.0000	-1888	26	m	∅	∅	∅	eː	d	iː	M	∅	∅	∅	E	T	I	4	∅	∅	∅	7	1	7	27	m	∅	∅	∅	ɛ	d	-	M	∅	∅	∅	E	T	_	4	∅	∅	∅	7	1	0																																												
2	0.2857	6	0.8571	-1888	26	eː	m	∅	∅	d	iː	s	E	M	∅	∅	T	I	S	7	4	∅	∅	1	7	3	27	ɛ	m	∅	∅	d	-	s	E	M	∅	∅	T	_	S	7	4	∅	∅	1	0	3																																												
3	0.4286	5	0.7143	-1888	26	d	eː	m	∅	iː	s	ɛɪ	T	E	M	∅	I	S	E	1	7	4	∅	7	3	7	27	d	ɛ	m	∅	-	s	ɪ	T	E	M	∅	_	S	I	1	7	4	∅	0	3	7																																												
4	0.5714	4	0.5714	-1888	26	iː	d	eː	m	s	ɛɪ	n	I	T	E	M	S	E	N	7	1	7	4	3	7	4	27	-	d	ɛ	m	s	ɪ	n	_	T	E	M	S	I	N	0	1	7	4	3	7	4																																												
5	0.7143	3	0.4286	-1888	26	s	iː	d	eː	ɛɪ	n	∅	S	I	T	E	E	N	∅	3	7	1	7	7	4	∅	27	s	-	d	ɛ	ɪ	n	∅	S	_	T	E	I	N	∅	3	0	1	7	7	4	∅																																												
6	0.8571	2	0.2857	-1888	26	ɛɪ	s	iː	d	n	∅	∅	E	S	I	T	N	∅	∅	7	3	7	1	4	∅	∅	27	ɪ	s	-	d	n	∅	∅	I	S	_	T	N	∅	∅	7	3	0	1	4	∅	∅																																												
7	1.0000	1	0.1429	-1888	26	n	ɛɪ	s	iː	∅	∅	∅	N	E	S	I	∅	∅	∅	4	7	3	7	∅	∅	∅	27	n	ɪ	s	-	∅	∅	∅	N	I	S	_	∅	∅	∅	4	7	3	0	∅	∅	∅																																												
1	0.3333	3	1.0000	-1791	28	r	∅	∅	∅	ɛɪ	k	∅	R	∅	∅	∅	E	K	∅	5	∅	∅	∅	7	1	∅	29	r	∅	∅	∅	ɪ	tʃ	∅	R	∅	∅	∅	I	T	∅	5	∅	∅	∅	7	1	∅																							30	r	∅	∅	∅	ai	x	∅	R	∅	∅	∅	A	G	∅	5	∅	∅	∅	7	3	∅
2	0.6667	2	0.6667	-1791	28	ɛɪ	r	∅	∅	k	∅	∅	E	R	∅	∅	K	∅	∅	7	5	∅	∅	1	∅	∅	29	ɪ	r	∅	∅	tʃ	∅	∅	I	R	∅	∅	T	∅	∅	7	5	∅	∅	1	∅	∅																							30	ai	r	∅	∅	x	∅	∅	A	R	∅	∅	G	∅	∅	7	5	∅	∅	3	∅	∅
3	1.0000	1	0.3333	-1791	28	k	ɛɪ	r	∅	∅	∅	∅	K	E	R	∅	∅	∅	∅	1	7	5	∅	∅	∅	∅	29	tʃ	ɪ	r	∅	∅	∅	∅	T	I	R	∅	∅	∅	∅	1	7	5	∅	∅	∅	∅																							30	x	ai	r	∅	∅	∅	∅	G	A	R	∅	∅	∅	∅	3	7	5	∅	∅	∅	∅
1	0.2500	4	1.0000	-1785	31	x	∅	∅	∅	r	aː	n	G	∅	∅	∅	R	A	N	3	∅	∅	∅	5	7	4	32	ɡ	∅	∅	∅	r	eɪ	n	K	∅	∅	∅	R	E	N	1	∅	∅	∅	5	7	4																																												
2	0.5000	3	0.7500	-1785	31	r	x	∅	∅	aː	n	∅	R	G	∅	∅	A	N	∅	5	3	∅	∅	7	4	∅	32	r	ɡ	∅	∅	eɪ	n	∅	R	K	∅	∅	E	N	∅	5	1	∅	∅	7	4	∅																																												
3	0.7500	2	0.5000	-1785	31	aː	r	x	∅	n	∅	∅	A	R	G	∅	N	∅	∅	7	5	3	∅	4	∅	∅	32	eɪ	r	ɡ	∅	n	∅	∅	E	R	K	∅	N	∅	∅	7	5	1	∅	4	∅	∅																																												
4	1.0000	1	0.2500	-1785	31	n	aː	r	x	∅	∅	∅	N	A	R	G	∅	∅	∅	4	7	5	3	∅	∅	∅	32	n	eɪ	r	ɡ	∅	∅	∅	N	E	R	K	∅	∅	∅	4	7	5	1	∅	∅	∅																																												
1	0.1667	6	1.0000	-1723																							33	ɡ	∅	∅	∅	ɑː	-	d	K	∅	∅	∅	A	_	T	1	∅	∅	∅	7	0	1																							34	ɡ	∅	∅	∅	aː	r	t	K	∅	∅	∅	A	R	T	1	∅	∅	∅	7	5	1
2	0.3333	5	0.8333	-1723																							33	ɑː	ɡ	∅	∅	-	d	-	A	K	∅	∅	_	T	_	7	1	∅	∅	0	1	0																							34	aː	ɡ	∅	∅	r	t	ə	A	K	∅	∅	R	T	E	7	1	∅	∅	5	1	7
3	0.5000	4	0.6667	-1723																							33	-	ɑː	ɡ	∅	d	-	n̩	_	A	K	∅	T	_	N	0	7	1	∅	1	0	4																							34	r	aː	ɡ	∅	t	ə	n	R	A	K	∅	T	E	N	5	7	1	∅	1	7	4
4	0.6667	3	0.5000	-1723																							33	d	-	ɑː	ɡ	-	n̩	∅	T	_	A	K	_	N	∅	1	0	7	1	0	4	∅																							34	t	r	aː	ɡ	ə	n	∅	T	R	A	K	E	N	∅	1	5	7	1	7	4	∅
5	0.8333	2	0.3333	-1723																							33	-	d	-	ɑː	n̩	∅	∅	_	T	_	A	N	∅	∅	0	1	0	7	4	∅	∅																							34	ə	t	r	aː	n	∅	∅	E	T	R	A	N	∅	∅	7	1	5	7	4	∅	∅
6	1.0000	1	0.1667	-1723																							33	n̩	-	d	-	∅	∅	∅	N	_	T	_	∅	∅	∅	4	0	1	0	∅	∅	∅																							34	n	ə	t	r	∅	∅	∅	N	E	T	R	∅	∅	∅	4	7	1	5	∅	∅	∅
1	0.2500	4	1.0000	-1682	35	v	∅	∅	∅	ɑ	l	ɛɪ	B	∅	∅	∅	A	L	E	3	∅	∅	∅	7	5	7	36	v	∅	∅	∅	æ	l	ɪ	B	∅	∅	∅	E	L	I	3	∅	∅	∅	7	5	7																																												
2	0.5000	3	0.7500	-1682	35	ɑ	v	∅	∅	l	ɛɪ	∅	A	B	∅	∅	L	E	∅	7	3	∅	∅	5	7	∅	36	æ	v	∅	∅	l	ɪ	∅	E	B	∅	∅	L	I	∅	7	3	∅	∅	5	7	∅																																												
3	0.7500	2	0.5000	-1682	35	l	ɑ	v	∅	ɛɪ	∅	∅	L	A	B	∅	E	∅	∅	5	7	3	∅	7	∅	∅	36	l	æ	v	∅	ɪ	∅	∅	L	E	B	∅	I	∅	∅	5	7	3	∅	7	∅	∅																																												
4	1.0000	1	0.2500	-1682	35	ɛɪ	l	ɑ	v	∅	∅	∅	E	L	A	B	∅	∅	∅	7	5	7	3	∅	∅	∅	36	ɪ	l	æ	v	∅	∅	∅	I	L	E	B	∅	∅	∅	7	5	7	3	∅	∅	∅																																												
1	0.2500	4	1.0000	-1647	37	v	∅	∅	∅	ɛɪ	x	-	B	∅	∅	∅	E	G	_	3	∅	∅	∅	7	3	0	38	f	∅	∅	∅	ɪ	ɡ	-	B	∅	∅	∅	I	K	_	3	∅	∅	∅	7	1	0																							39	f	∅	∅	∅	ai	ɡ	ə	B	∅	∅	∅	A	K	E	3	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	-1647	37	ɛɪ	v	∅	∅	x	-	∅	E	B	∅	∅	G	_	∅	7	3	∅	∅	3	0	∅	38	ɪ	f	∅	∅	ɡ	-	∅	I	B	∅	∅	K	_	∅	7	3	∅	∅	1	0	∅																							39	ai	f	∅	∅	ɡ	ə	∅	A	B	∅	∅	K	E	∅	7	3	∅	∅	1	7	∅
