index	index_p	rindex	rindex_p	cogid	id_dutch	segment_dutch	segment_dutch_L1	segment_dutch_L2	segment_dutch_L3	segment_dutch_R1	segment_dutch_R2	segment_dutch_R3	SC_dutch	SC_dutch_L1	SC_dutch_L2	SC_dutch_L3	SC_dutch_R1	SC_dutch_R2	SC_dutch_R3	PROSODY_dutch	PROSODY_dutch_L1	PROSODY_dutch_L2	PROSODY_dutch_L3	PROSODY_dutch_R1	PROSODY_dutch_R2	PROSODY_dutch_R3	id_english	segment_english	segment_english_L1	segment_english_L2	segment_english_L3	segment_english_R1	segment_english_R2	segment_english_R3	SC_english	SC_english_L1	SC_english_L2	SC_english_L3	SC_english_R1	SC_english_R2	SC_english_R3	PROSODY_english	PROSODY_english_L1	PROSODY_english_L2	PROSODY_english_L3	PROSODY_english_R1	PROSODY_english_R2	PROSODY_english_R3	id_french	segment_french	segment_french_L1	segment_french_L2	segment_french_L3	segment_french_R1	segment_french_R2	segment_french_R3	SC_french	SC_french_L1	SC_french_L2	SC_french_L3	SC_french_R1	SC_french_R2	SC_french_R3	PROSODY_french	PROSODY_french_L1	PROSODY_french_L2	PROSODY_french_L3	PROSODY_french_R1	PROSODY_french_R2	PROSODY_french_R3	id_german	segment_german	segment_german_L1	segment_german_L2	segment_german_L3	segment_german_R1	segment_german_R2	segment_german_R3	SC_german	SC_german_L1	SC_german_L2	SC_german_L3	SC_german_R1	SC_german_R2	SC_german_R3	PROSODY_german	PROSODY_german_L1	PROSODY_german_L2	PROSODY_german_L3	PROSODY_german_R1	PROSODY_german_R2	PROSODY_german_R3
3	0.6000	3	0.6000	-2270	6	s	ɛ	r	∅	t	ə	∅	S	E	R	∅	T	E	∅	3	7	5	∅	1	7	∅																																													7	s	ɛ	r	∅	t	-	∅	S	E	R	∅	T	_	∅	3	7	5	∅	1	0	∅
4	0.8000	2	0.4000	-2270	6	t	s	ɛ	r	ə	∅	∅	T	S	E	R	E	∅	∅	1	3	7	5	7	∅	∅																																													7	t	s	ɛ	r	-	∅	∅	T	S	E	R	_	∅	∅	1	3	7	5	0	∅	∅
5	1.0000	1	0.2000	-2270	6	ə	t	s	ɛ	∅	∅	∅	E	T	S	E	∅	∅	∅	7	1	3	7	∅	∅	∅																																													7	-	t	s	ɛ	∅	∅	∅	_	T	S	E	∅	∅	∅	0	1	3	7	∅	∅	∅
1	0.2000	5	1.0000	-2121	8	r	∅	∅	∅	ɔ	l	ə	R	∅	∅	∅	U	L	E	5	∅	∅	∅	7	5	7	9	r	∅	∅	∅	əʊ	l	-	R	∅	∅	∅	E	L	_	5	∅	∅	∅	7	5	0																							10	r	∅	∅	∅	ɔ	l	ə	R	∅	∅	∅	U	L	E	5	∅	∅	∅	7	5	7
2	0.4000	4	0.8000	-2121	8	ɔ	r	∅	∅	l	ə	-	U	R	∅	∅	L	E	_	7	5	∅	∅	5	7	0	9	əʊ	r	∅	∅	l	-	-	E	R	∅	∅	L	_	_	7	5	∅	∅	5	0	0																							10	ɔ	r	∅	∅	l	ə	n	U	R	∅	∅	L	E	N	7	5	∅	∅	5	7	4
3	0.6000	3	0.6000	-2121	8	l	ɔ	r	∅	ə	-	∅	L	U	R	∅	E	_	∅	5	7	5	∅	7	0	∅	9	l	əʊ	r	∅	-	-	∅	L	E	R	∅	_	_	∅	5	7	5	∅	0	0	∅																							10	l	ɔ	r	∅	ə	n	∅	L	U	R	∅	E	N	∅	5	7	5	∅	7	4	∅
4	0.8000	2	0.4000	-2121	8	ə	l	ɔ	r	-	∅	∅	E	L	U	R	_	∅	∅	7	5	7	5	0	∅	∅	9	-	l	əʊ	r	-	∅	∅	_	L	E	R	_	∅	∅	0	5	7	5	0	∅	∅																							10	ə	l	ɔ	r	n	∅	∅	E	L	U	R	N	∅	∅	7	5	7	5	4	∅	∅
5	1.0000	1	0.2000	-2121	8	-	ə	l	ɔ	∅	∅	∅	_	E	L	U	∅	∅	∅	0	7	5	7	∅	∅	∅	9	-	-	l	əʊ	∅	∅	∅	_	_	L	E	∅	∅	∅	0	0	5	7	∅	∅	∅																							10	n	ə	l	ɔ	∅	∅	∅	N	E	L	U	∅	∅	∅	4	7	5	7	∅	∅	∅
1	0.1111	9	1.0000	-2104	11	m	∅	∅	∅	ɛ	s	t	M	∅	∅	∅	E	S	T	4	∅	∅	∅	7	3	1	12	p	∅	∅	∅	ɪ	-	tʃ	P	∅	∅	∅	I	_	T	1	∅	∅	∅	7	0	1																																												
2	0.2222	8	0.8889	-2104	11	ɛ	m	∅	∅	s	t	+	E	M	∅	∅	S	T	_	7	4	∅	∅	3	1	0	12	ɪ	p	∅	∅	-	tʃ	+	I	P	∅	∅	_	T	_	7	1	∅	∅	0	1	0																																												
3	0.3333	7	0.7778	-2104	11	s	ɛ	m	∅	t	+	f	S	E	M	∅	T	_	B	3	7	4	∅	1	0	3	12	-	ɪ	p	∅	tʃ	+	f	_	I	P	∅	T	_	B	0	7	1	∅	1	0	3																																												
4	0.4444	6	0.6667	-2104	11	t	s	ɛ	m	+	f	ɔ	T	S	E	M	_	B	U	1	3	7	4	0	3	7	12	tʃ	-	ɪ	p	+	f	ɔː	T	_	I	P	_	B	U	1	0	7	1	0	3	7																																												
5	0.5556	5	0.5556	-2104	11	+	t	s	ɛ	f	ɔ	r	_	T	S	E	B	U	R	0	1	3	7	3	7	5	12	+	tʃ	-	ɪ	f	ɔː	-	_	T	_	I	B	U	_	0	1	0	7	3	7	0																																												
6	0.6667	4	0.4444	-2104	11	f	+	t	s	ɔ	r	k	B	_	T	S	U	R	K	3	0	1	3	7	5	1	12	f	+	tʃ	-	ɔː	-	k	B	_	T	_	U	_	K	3	0	1	0	7	0	1																																												
7	0.7778	3	0.3333	-2104	11	ɔ	f	+	t	r	k	∅	U	B	_	T	R	K	∅	7	3	0	1	5	1	∅	12	ɔː	f	+	tʃ	-	k	∅	U	B	_	T	_	K	∅	7	3	0	1	0	1	∅																																												
8	0.8889	2	0.2222	-2104	11	r	ɔ	f	+	k	∅	∅	R	U	B	_	K	∅	∅	5	7	3	0	1	∅	∅	12	-	ɔː	f	+	k	∅	∅	_	U	B	_	K	∅	∅	0	7	3	0	1	∅	∅																																												
9	1.0000	1	0.1111	-2104	11	k	r	ɔ	f	∅	∅	∅	K	R	U	B	∅	∅	∅	1	5	7	3	∅	∅	∅	12	k	-	ɔː	f	∅	∅	∅	K	_	U	B	∅	∅	∅	1	0	7	3	∅	∅	∅																																												
1	0.1667	6	1.0000	-2035																							13	k	∅	∅	∅	ʌ	z	-	K	∅	∅	∅	E	S	_	1	∅	∅	∅	7	3	0																							14	k	∅	∅	∅	uː	z	iː	K	∅	∅	∅	Y	S	I	1	∅	∅	∅	7	3	7
2	0.3333	5	0.8333	-2035																							13	ʌ	k	∅	∅	z	-	n̩	E	K	∅	∅	S	_	N	7	1	∅	∅	3	0	4																							14	uː	k	∅	∅	z	iː	n	Y	K	∅	∅	S	I	N	7	1	∅	∅	3	7	4
3	0.5000	4	0.6667	-2035																							13	z	ʌ	k	∅	-	n̩	-	S	E	K	∅	_	N	_	3	7	1	∅	0	4	0																							14	z	uː	k	∅	iː	n	ə	S	Y	K	∅	I	N	E	3	7	1	∅	7	4	7
4	0.6667	3	0.5000	-2035																							13	-	z	ʌ	k	n̩	-	∅	_	S	E	K	N	_	∅	0	3	7	1	4	0	∅																							14	iː	z	uː	k	n	ə	∅	I	S	Y	K	N	E	∅	7	3	7	1	4	7	∅
5	0.8333	2	0.3333	-2035																							13	n̩	-	z	ʌ	-	∅	∅	N	_	S	E	_	∅	∅	4	0	3	7	0	∅	∅																							14	n	iː	z	uː	ə	∅	∅	N	I	S	Y	E	∅	∅	4	7	3	7	7	∅	∅
6	1.0000	1	0.1667	-2035																							13	-	n̩	-	z	∅	∅	∅	_	N	_	S	∅	∅	∅	0	4	0	3	∅	∅	∅																							14	ə	n	iː	z	∅	∅	∅	E	N	I	S	∅	∅	∅	7	4	7	3	∅	∅	∅
1	0.2000	5	1.0000	-2030																							15	ʌ	∅	∅	∅	ŋ	k	-	E	∅	∅	∅	N	K	_	7	∅	∅	∅	4	1	0																							16	ɔ	∅	∅	∅	ŋ	k	ə	U	∅	∅	∅	N	K	E	7	∅	∅	∅	4	1	7
2	0.4000	4	0.8000	-2030																							15	ŋ	ʌ	∅	∅	k	-	l̩	N	E	∅	∅	K	_	L	4	7	∅	∅	1	0	5																							16	ŋ	ɔ	∅	∅	k	ə	l	N	U	∅	∅	K	E	L	4	7	∅	∅	1	7	5
3	0.6000	3	0.6000	-2030																							15	k	ŋ	ʌ	∅	-	l̩	∅	K	N	E	∅	_	L	∅	1	4	7	∅	0	5	∅																							16	k	ŋ	ɔ	∅	ə	l	∅	K	N	U	∅	E	L	∅	1	4	7	∅	7	5	∅
4	0.8000	2	0.4000	-2030																							15	-	k	ŋ	ʌ	l̩	∅	∅	_	K	N	E	L	∅	∅	0	1	4	7	5	∅	∅																							16	ə	k	ŋ	ɔ	l	∅	∅	E	K	N	U	L	∅	∅	7	1	4	7	5	∅	∅
5	1.0000	1	0.2000	-2030																							15	l̩	-	k	ŋ	∅	∅	∅	L	_	K	N	∅	∅	∅	5	0	1	4	∅	∅	∅																							16	l	ə	k	ŋ	∅	∅	∅	L	E	K	N	∅	∅	∅	5	7	1	4	∅	∅	∅
1	0.1429	7	1.0000	-1888	17	m	∅	∅	∅	eː	d	iː	M	∅	∅	∅	E	T	I	4	∅	∅	∅	7	1	7	18	m	∅	∅	∅	ɛ	d	-	M	∅	∅	∅	E	T	_	4	∅	∅	∅	7	1	0																																												
2	0.2857	6	0.8571	-1888	17	eː	m	∅	∅	d	iː	s	E	M	∅	∅	T	I	S	7	4	∅	∅	1	7	3	18	ɛ	m	∅	∅	d	-	s	E	M	∅	∅	T	_	S	7	4	∅	∅	1	0	3																																												
3	0.4286	5	0.7143	-1888	17	d	eː	m	∅	iː	s	ɛɪ	T	E	M	∅	I	S	E	1	7	4	∅	7	3	7	18	d	ɛ	m	∅	-	s	ɪ	T	E	M	∅	_	S	I	1	7	4	∅	0	3	7																																												
4	0.5714	4	0.5714	-1888	17	iː	d	eː	m	s	ɛɪ	n	I	T	E	M	S	E	N	7	1	7	4	3	7	4	18	-	d	ɛ	m	s	ɪ	n	_	T	E	M	S	I	N	0	1	7	4	3	7	4																																												
5	0.7143	3	0.4286	-1888	17	s	iː	d	eː	ɛɪ	n	∅	S	I	T	E	E	N	∅	3	7	1	7	7	4	∅	18	s	-	d	ɛ	ɪ	n	∅	S	_	T	E	I	N	∅	3	0	1	7	7	4	∅																																												
6	0.8571	2	0.2857	-1888	17	ɛɪ	s	iː	d	n	∅	∅	E	S	I	T	N	∅	∅	7	3	7	1	4	∅	∅	18	ɪ	s	-	d	n	∅	∅	I	S	_	T	N	∅	∅	7	3	0	1	4	∅	∅																																												
7	1.0000	1	0.1429	-1888	17	n	ɛɪ	s	iː	∅	∅	∅	N	E	S	I	∅	∅	∅	4	7	3	7	∅	∅	∅	18	n	ɪ	s	-	∅	∅	∅	N	I	S	_	∅	∅	∅	4	7	3	0	∅	∅	∅																																												
1	0.3333	3	1.0000	-1791	19	r	∅	∅	∅	ɛɪ	k	∅	R	∅	∅	∅	E	K	∅	5	∅	∅	∅	7	1	∅	20	r	∅	∅	∅	ɪ	tʃ	∅	R	∅	∅	∅	I	T	∅	5	∅	∅	∅	7	1	∅																							21	r	∅	∅	∅	ai	x	∅	R	∅	∅	∅	A	G	∅	5	∅	∅	∅	7	3	∅
2	0.6667	2	0.6667	-1791	19	ɛɪ	r	∅	∅	k	∅	∅	E	R	∅	∅	K	∅	∅	7	5	∅	∅	1	∅	∅	20	ɪ	r	∅	∅	tʃ	∅	∅	I	R	∅	∅	T	∅	∅	7	5	∅	∅	1	∅	∅																							21	ai	r	∅	∅	x	∅	∅	A	R	∅	∅	G	∅	∅	7	5	∅	∅	3	∅	∅
3	1.0000	1	0.3333	-1791	19	k	ɛɪ	r	∅	∅	∅	∅	K	E	R	∅	∅	∅	∅	1	7	5	∅	∅	∅	∅	20	tʃ	ɪ	r	∅	∅	∅	∅	T	I	R	∅	∅	∅	∅	1	7	5	∅	∅	∅	∅																							21	x	ai	r	∅	∅	∅	∅	G	A	R	∅	∅	∅	∅	3	7	5	∅	∅	∅	∅
1	0.2500	4	1.0000	-1785	22	x	∅	∅	∅	r	aː	n	G	∅	∅	∅	R	A	N	3	∅	∅	∅	5	7	4	23	ɡ	∅	∅	∅	r	eɪ	n	K	∅	∅	∅	R	E	N	1	∅	∅	∅	5	7	4																																												
2	0.5000	3	0.7500	-1785	22	r	x	∅	∅	aː	n	∅	R	G	∅	∅	A	N	∅	5	3	∅	∅	7	4	∅	23	r	ɡ	∅	∅	eɪ	n	∅	R	K	∅	∅	E	N	∅	5	1	∅	∅	7	4	∅																																												
3	0.7500	2	0.5000	-1785	22	aː	r	x	∅	n	∅	∅	A	R	G	∅	N	∅	∅	7	5	3	∅	4	∅	∅	23	eɪ	r	ɡ	∅	n	∅	∅	E	R	K	∅	N	∅	∅	7	5	1	∅	4	∅	∅																																												
4	1.0000	1	0.2500	-1785	22	n	aː	r	x	∅	∅	∅	N	A	R	G	∅	∅	∅	4	7	5	3	∅	∅	∅	23	n	eɪ	r	ɡ	∅	∅	∅	N	E	R	K	∅	∅	∅	4	7	5	1	∅	∅	∅																																												
1	0.1667	6	1.0000	-1723																							24	ɡ	∅	∅	∅	ɑː	-	d	K	∅	∅	∅	A	_	T	1	∅	∅	∅	7	0	1																							25	ɡ	∅	∅	∅	aː	r	t	K	∅	∅	∅	A	R	T	1	∅	∅	∅	7	5	1
2	0.3333	5	0.8333	-1723																							24	ɑː	ɡ	∅	∅	-	d	-	A	K	∅	∅	_	T	_	7	1	∅	∅	0	1	0																							25	aː	ɡ	∅	∅	r	t	ə	A	K	∅	∅	R	T	E	7	1	∅	∅	5	1	7
3	0.5000	4	0.6667	-1723																							24	-	ɑː	ɡ	∅	d	-	n̩	_	A	K	∅	T	_	N	0	7	1	∅	1	0	4																							25	r	aː	ɡ	∅	t	ə	n	R	A	K	∅	T	E	N	5	7	1	∅	1	7	4
4	0.6667	3	0.5000	-1723																							24	d	-	ɑː	ɡ	-	n̩	∅	T	_	A	K	_	N	∅	1	0	7	1	0	4	∅																							25	t	r	aː	ɡ	ə	n	∅	T	R	A	K	E	N	∅	1	5	7	1	7	4	∅
5	0.8333	2	0.3333	-1723																							24	-	d	-	ɑː	n̩	∅	∅	_	T	_	A	N	∅	∅	0	1	0	7	4	∅	∅																							25	ə	t	r	aː	n	∅	∅	E	T	R	A	N	∅	∅	7	1	5	7	4	∅	∅
6	1.0000	1	0.1667	-1723																							24	n̩	-	d	-	∅	∅	∅	N	_	T	_	∅	∅	∅	4	0	1	0	∅	∅	∅																							25	n	ə	t	r	∅	∅	∅	N	E	T	R	∅	∅	∅	4	7	1	5	∅	∅	∅
1	0.2500	4	1.0000	-1682	26	v	∅	∅	∅	ɑ	l	ɛɪ	B	∅	∅	∅	A	L	E	3	∅	∅	∅	7	5	7	27	v	∅	∅	∅	æ	l	ɪ	B	∅	∅	∅	E	L	I	3	∅	∅	∅	7	5	7																																												
2	0.5000	3	0.7500	-1682	26	ɑ	v	∅	∅	l	ɛɪ	∅	A	B	∅	∅	L	E	∅	7	3	∅	∅	5	7	∅	27	æ	v	∅	∅	l	ɪ	∅	E	B	∅	∅	L	I	∅	7	3	∅	∅	5	7	∅																																												
3	0.7500	2	0.5000	-1682	26	l	ɑ	v	∅	ɛɪ	∅	∅	L	A	B	∅	E	∅	∅	5	7	3	∅	7	∅	∅	27	l	æ	v	∅	ɪ	∅	∅	L	E	B	∅	I	∅	∅	5	7	3	∅	7	∅	∅																																												
4	1.0000	1	0.2500	-1682	26	ɛɪ	l	ɑ	v	∅	∅	∅	E	L	A	B	∅	∅	∅	7	5	7	3	∅	∅	∅	27	ɪ	l	æ	v	∅	∅	∅	I	L	E	B	∅	∅	∅	7	5	7	3	∅	∅	∅																																												
1	0.2500	4	1.0000	-1337	28	v	∅	∅	∅	ɔ	r	k	B	∅	∅	∅	U	R	K	3	∅	∅	∅	7	5	1	29	f	∅	∅	∅	ɔː	-	k	B	∅	∅	∅	U	_	K	3	∅	∅	∅	7	0	1																																												
2	0.5000	3	0.7500	-1337	28	ɔ	v	∅	∅	r	k	∅	U	B	∅	∅	R	K	∅	7	3	∅	∅	5	1	∅	29	ɔː	f	∅	∅	-	k	∅	U	B	∅	∅	_	K	∅	7	3	∅	∅	0	1	∅																																												
3	0.7500	2	0.5000	-1337	28	r	ɔ	v	∅	k	∅	∅	R	U	B	∅	K	∅	∅	5	7	3	∅	1	∅	∅	29	-	ɔː	f	∅	k	∅	∅	_	U	B	∅	K	∅	∅	0	7	3	∅	1	∅	∅																																												
4	1.0000	1	0.2500	-1337	28	k	r	ɔ	v	∅	∅	∅	K	R	U	B	∅	∅	∅	1	5	7	3	∅	∅	∅	29	k	-	ɔː	f	∅	∅	∅	K	_	U	B	∅	∅	∅	1	0	7	3	∅	∅	∅																																												
1	0.1667	6	1.0000	-1279	30	d	∅	∅	∅	ɔ	l	f	T	∅	∅	∅	U	L	B	1	∅	∅	∅	7	5	3	31	d	∅	∅	∅	ɔ	l	f	T	∅	∅	∅	U	L	B	1	∅	∅	∅	7	5	3																																												
2	0.3333	5	0.8333	-1279	30	ɔ	d	∅	∅	l	f	ɛɪ	U	T	∅	∅	L	B	E	7	1	∅	∅	5	3	7	31	ɔ	d	∅	∅	l	f	ɪ	U	T	∅	∅	L	B	I	7	1	∅	∅	5	3	7																																												
3	0.5000	4	0.6667	-1279	30	l	ɔ	d	∅	f	ɛɪ	n	L	U	T	∅	B	E	N	5	7	1	∅	3	7	4	31	l	ɔ	d	∅	f	ɪ	n	L	U	T	∅	B	I	N	5	7	1	∅	3	7	4																																												
4	0.6667	3	0.5000	-1279	30	f	l	ɔ	d	ɛɪ	n	∅	B	L	U	T	E	N	∅	3	5	7	1	7	4	∅	31	f	l	ɔ	d	ɪ	n	∅	B	L	U	T	I	N	∅	3	5	7	1	7	4	∅																																												
5	0.8333	2	0.3333	-1279	30	ɛɪ	f	l	ɔ	n	∅	∅	E	B	L	U	N	∅	∅	7	3	5	7	4	∅	∅	31	ɪ	f	l	ɔ	n	∅	∅	I	B	L	U	N	∅	∅	7	3	5	7	4	∅	∅																																												
6	1.0000	1	0.1667	-1279	30	n	ɛɪ	f	l	∅	∅	∅	N	E	B	L	∅	∅	∅	4	7	3	5	∅	∅	∅	31	n	ɪ	f	l	∅	∅	∅	N	I	B	L	∅	∅	∅	4	7	3	5	∅	∅	∅																																												
1	0.2000	5	1.0000	-1259	32	d	∅	∅	∅	iː	n	eː	T	∅	∅	∅	I	N	E	1	∅	∅	∅	7	4	7	33	d	∅	∅	∅	ɪ	n	ə	T	∅	∅	∅	I	N	E	1	∅	∅	∅	7	4	7																																												
2	0.4000	4	0.8000	-1259	32	iː	d	∅	∅	n	eː	-	I	T	∅	∅	N	E	_	7	1	∅	∅	4	7	0	33	ɪ	d	∅	∅	n	ə	r	I	T	∅	∅	N	E	R	7	1	∅	∅	4	7	5																																												
3	0.6000	3	0.6000	-1259	32	n	iː	d	∅	eː	-	∅	N	I	T	∅	E	_	∅	4	7	1	∅	7	0	∅	33	n	ɪ	d	∅	ə	r	∅	N	I	T	∅	E	R	∅	4	7	1	∅	7	5	∅																																												
4	0.8000	2	0.4000	-1259	32	eː	n	iː	d	-	∅	∅	E	N	I	T	_	∅	∅	7	4	7	1	0	∅	∅	33	ə	n	ɪ	d	r	∅	∅	E	N	I	T	R	∅	∅	7	4	7	1	5	∅	∅																																												
5	1.0000	1	0.2000	-1259	32	-	eː	n	iː	∅	∅	∅	_	E	N	I	∅	∅	∅	0	7	4	7	∅	∅	∅	33	r	ə	n	ɪ	∅	∅	∅	R	E	N	I	∅	∅	∅	5	7	4	7	∅	∅	∅																																												
1	0.3333	3	1.0000	-1161	34	l	∅	∅	∅	ɛɪ	n	∅	L	∅	∅	∅	E	N	∅	5	∅	∅	∅	7	4	∅	35	l	∅	∅	∅	aɪ	n	∅	L	∅	∅	∅	A	N	∅	5	∅	∅	∅	7	4	∅																																												
2	0.6667	2	0.6667	-1161	34	ɛɪ	l	∅	∅	n	∅	∅	E	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅	35	aɪ	l	∅	∅	n	∅	∅	A	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅																																												
3	1.0000	1	0.3333	-1161	34	n	ɛɪ	l	∅	∅	∅	∅	N	E	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅	35	n	aɪ	l	∅	∅	∅	∅	N	A	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅																																												
1	0.3333	3	1.0000	-1158	36	b	∅	∅	∅	ɑ	l	∅	P	∅	∅	∅	A	L	∅	1	∅	∅	∅	7	5	∅	37	b	∅	∅	∅	ɔː	l	∅	P	∅	∅	∅	U	L	∅	1	∅	∅	∅	7	5	∅																																												
2	0.6667	2	0.6667	-1158	36	ɑ	b	∅	∅	l	∅	∅	A	P	∅	∅	L	∅	∅	7	1	∅	∅	5	∅	∅	37	ɔː	b	∅	∅	l	∅	∅	U	P	∅	∅	L	∅	∅	7	1	∅	∅	5	∅	∅																																												
3	1.0000	1	0.3333	-1158	36	l	ɑ	b	∅	∅	∅	∅	L	A	P	∅	∅	∅	∅	5	7	1	∅	∅	∅	∅	37	l	ɔː	b	∅	∅	∅	∅	L	U	P	∅	∅	∅	∅	5	7	1	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	-1153	38	r	∅	∅	∅	ɔ	n	t	R	∅	∅	∅	U	N	T	5	∅	∅	∅	7	4	1	39	r	∅	∅	∅	aʊ	n	d	R	∅	∅	∅	A	N	T	5	∅	∅	∅	7	4	1																							40	r	∅	∅	∅	ʊ	n	t	R	∅	∅	∅	Y	N	T	5	∅	∅	∅	7	4	1
2	0.5000	3	0.7500	-1153	38	ɔ	r	∅	∅	n	t	∅	U	R	∅	∅	N	T	∅	7	5	∅	∅	4	1	∅	39	aʊ	r	∅	∅	n	d	∅	A	R	∅	∅	N	T	∅	7	5	∅	∅	4	1	∅																							40	ʊ	r	∅	∅	n	t	∅	Y	R	∅	∅	N	T	∅	7	5	∅	∅	4	1	∅
3	0.7500	2	0.5000	-1153	38	n	ɔ	r	∅	t	∅	∅	N	U	R	∅	T	∅	∅	4	7	5	∅	1	∅	∅	39	n	aʊ	r	∅	d	∅	∅	N	A	R	∅	T	∅	∅	4	7	5	∅	1	∅	∅																							40	n	ʊ	r	∅	t	∅	∅	N	Y	R	∅	T	∅	∅	4	7	5	∅	1	∅	∅
4	1.0000	1	0.2500	-1153	38	t	n	ɔ	r	∅	∅	∅	T	N	U	R	∅	∅	∅	1	4	7	5	∅	∅	∅	39	d	n	aʊ	r	∅	∅	∅	T	N	A	R	∅	∅	∅	1	4	7	5	∅	∅	∅																							40	t	n	ʊ	r	∅	∅	∅	T	N	Y	R	∅	∅	∅	1	4	7	5	∅	∅	∅
