index	index_p	rindex	rindex_p	cogid	id_dutch	segment_dutch	segment_dutch_L1	segment_dutch_L2	segment_dutch_L3	segment_dutch_R1	segment_dutch_R2	segment_dutch_R3	SC_dutch	SC_dutch_L1	SC_dutch_L2	SC_dutch_L3	SC_dutch_R1	SC_dutch_R2	SC_dutch_R3	PROSODY_dutch	PROSODY_dutch_L1	PROSODY_dutch_L2	PROSODY_dutch_L3	PROSODY_dutch_R1	PROSODY_dutch_R2	PROSODY_dutch_R3	id_english	segment_english	segment_english_L1	segment_english_L2	segment_english_L3	segment_english_R1	segment_english_R2	segment_english_R3	SC_english	SC_english_L1	SC_english_L2	SC_english_L3	SC_english_R1	SC_english_R2	SC_english_R3	PROSODY_english	PROSODY_english_L1	PROSODY_english_L2	PROSODY_english_L3	PROSODY_english_R1	PROSODY_english_R2	PROSODY_english_R3	id_french	segment_french	segment_french_L1	segment_french_L2	segment_french_L3	segment_french_R1	segment_french_R2	segment_french_R3	SC_french	SC_french_L1	SC_french_L2	SC_french_L3	SC_french_R1	SC_french_R2	SC_french_R3	PROSODY_french	PROSODY_french_L1	PROSODY_french_L2	PROSODY_french_L3	PROSODY_french_R1	PROSODY_french_R2	PROSODY_french_R3	id_german	segment_german	segment_german_L1	segment_german_L2	segment_german_L3	segment_german_R1	segment_german_R2	segment_german_R3	SC_german	SC_german_L1	SC_german_L2	SC_german_L3	SC_german_R1	SC_german_R2	SC_german_R3	PROSODY_german	PROSODY_german_L1	PROSODY_german_L2	PROSODY_german_L3	PROSODY_german_R1	PROSODY_german_R2	PROSODY_german_R3
2	0.2222	8	0.8889	-2104	5	ɛ	m	∅	∅	s	t	+	E	M	∅	∅	S	T	_	7	4	∅	∅	3	1	0	6	ɪ	p	∅	∅	-	tʃ	+	I	P	∅	∅	_	T	_	7	1	∅	∅	0	1	0																																												
3	0.3333	7	0.7778	-2104	5	s	ɛ	m	∅	t	+	f	S	E	M	∅	T	_	B	3	7	4	∅	1	0	3	6	-	ɪ	p	∅	tʃ	+	f	_	I	P	∅	T	_	B	0	7	1	∅	1	0	3																																												
4	0.4444	6	0.6667	-2104	5	t	s	ɛ	m	+	f	ɔ	T	S	E	M	_	B	U	1	3	7	4	0	3	7	6	tʃ	-	ɪ	p	+	f	ɔː	T	_	I	P	_	B	U	1	0	7	1	0	3	7																																												
5	0.5556	5	0.5556	-2104	5	+	t	s	ɛ	f	ɔ	r	_	T	S	E	B	U	R	0	1	3	7	3	7	5	6	+	tʃ	-	ɪ	f	ɔː	-	_	T	_	I	B	U	_	0	1	0	7	3	7	0																																												
6	0.6667	4	0.4444	-2104	5	f	+	t	s	ɔ	r	k	B	_	T	S	U	R	K	3	0	1	3	7	5	1	6	f	+	tʃ	-	ɔː	-	k	B	_	T	_	U	_	K	3	0	1	0	7	0	1																																												
7	0.7778	3	0.3333	-2104	5	ɔ	f	+	t	r	k	∅	U	B	_	T	R	K	∅	7	3	0	1	5	1	∅	6	ɔː	f	+	tʃ	-	k	∅	U	B	_	T	_	K	∅	7	3	0	1	0	1	∅																																												
8	0.8889	2	0.2222	-2104	5	r	ɔ	f	+	k	∅	∅	R	U	B	_	K	∅	∅	5	7	3	0	1	∅	∅	6	-	ɔː	f	+	k	∅	∅	_	U	B	_	K	∅	∅	0	7	3	0	1	∅	∅																																												
9	1.0000	1	0.1111	-2104	5	k	r	ɔ	f	∅	∅	∅	K	R	U	B	∅	∅	∅	1	5	7	3	∅	∅	∅	6	k	-	ɔː	f	∅	∅	∅	K	_	U	B	∅	∅	∅	1	0	7	3	∅	∅	∅																																												
1	0.1667	6	1.0000	-2035																							7	k	∅	∅	∅	ʌ	z	-	K	∅	∅	∅	E	S	_	1	∅	∅	∅	7	3	0																							8	k	∅	∅	∅	uː	z	iː	K	∅	∅	∅	Y	S	I	1	∅	∅	∅	7	3	7
2	0.3333	5	0.8333	-2035																							7	ʌ	k	∅	∅	z	-	n̩	E	K	∅	∅	S	_	N	7	1	∅	∅	3	0	4																							8	uː	k	∅	∅	z	iː	n	Y	K	∅	∅	S	I	N	7	1	∅	∅	3	7	4
3	0.5000	4	0.6667	-2035																							7	z	ʌ	k	∅	-	n̩	-	S	E	K	∅	_	N	_	3	7	1	∅	0	4	0																							8	z	uː	k	∅	iː	n	ə	S	Y	K	∅	I	N	E	3	7	1	∅	7	4	7
4	0.6667	3	0.5000	-2035																							7	-	z	ʌ	k	n̩	-	∅	_	S	E	K	N	_	∅	0	3	7	1	4	0	∅																							8	iː	z	uː	k	n	ə	∅	I	S	Y	K	N	E	∅	7	3	7	1	4	7	∅
5	0.8333	2	0.3333	-2035																							7	n̩	-	z	ʌ	-	∅	∅	N	_	S	E	_	∅	∅	4	0	3	7	0	∅	∅																							8	n	iː	z	uː	ə	∅	∅	N	I	S	Y	E	∅	∅	4	7	3	7	7	∅	∅
6	1.0000	1	0.1667	-2035																							7	-	n̩	-	z	∅	∅	∅	_	N	_	S	∅	∅	∅	0	4	0	3	∅	∅	∅																							8	ə	n	iː	z	∅	∅	∅	E	N	I	S	∅	∅	∅	7	4	7	3	∅	∅	∅
1	0.2000	5	1.0000	-2030																							9	ʌ	∅	∅	∅	ŋ	k	-	E	∅	∅	∅	N	K	_	7	∅	∅	∅	4	1	0																							10	ɔ	∅	∅	∅	ŋ	k	ə	U	∅	∅	∅	N	K	E	7	∅	∅	∅	4	1	7
2	0.4000	4	0.8000	-2030																							9	ŋ	ʌ	∅	∅	k	-	l̩	N	E	∅	∅	K	_	L	4	7	∅	∅	1	0	5																							10	ŋ	ɔ	∅	∅	k	ə	l	N	U	∅	∅	K	E	L	4	7	∅	∅	1	7	5
3	0.6000	3	0.6000	-2030																							9	k	ŋ	ʌ	∅	-	l̩	∅	K	N	E	∅	_	L	∅	1	4	7	∅	0	5	∅																							10	k	ŋ	ɔ	∅	ə	l	∅	K	N	U	∅	E	L	∅	1	4	7	∅	7	5	∅
4	0.8000	2	0.4000	-2030																							9	-	k	ŋ	ʌ	l̩	∅	∅	_	K	N	E	L	∅	∅	0	1	4	7	5	∅	∅																							10	ə	k	ŋ	ɔ	l	∅	∅	E	K	N	U	L	∅	∅	7	1	4	7	5	∅	∅
5	1.0000	1	0.2000	-2030																							9	l̩	-	k	ŋ	∅	∅	∅	L	_	K	N	∅	∅	∅	5	0	1	4	∅	∅	∅																							10	l	ə	k	ŋ	∅	∅	∅	L	E	K	N	∅	∅	∅	5	7	1	4	∅	∅	∅
1	0.1429	7	1.0000	-1888	11	m	∅	∅	∅	eː	d	iː	M	∅	∅	∅	E	T	I	4	∅	∅	∅	7	1	7	12	m	∅	∅	∅	ɛ	d	-	M	∅	∅	∅	E	T	_	4	∅	∅	∅	7	1	0																																												
2	0.2857	6	0.8571	-1888	11	eː	m	∅	∅	d	iː	s	E	M	∅	∅	T	I	S	7	4	∅	∅	1	7	3	12	ɛ	m	∅	∅	d	-	s	E	M	∅	∅	T	_	S	7	4	∅	∅	1	0	3																																												
3	0.4286	5	0.7143	-1888	11	d	eː	m	∅	iː	s	ɛɪ	T	E	M	∅	I	S	E	1	7	4	∅	7	3	7	12	d	ɛ	m	∅	-	s	ɪ	T	E	M	∅	_	S	I	1	7	4	∅	0	3	7																																												
4	0.5714	4	0.5714	-1888	11	iː	d	eː	m	s	ɛɪ	n	I	T	E	M	S	E	N	7	1	7	4	3	7	4	12	-	d	ɛ	m	s	ɪ	n	_	T	E	M	S	I	N	0	1	7	4	3	7	4																																												
5	0.7143	3	0.4286	-1888	11	s	iː	d	eː	ɛɪ	n	∅	S	I	T	E	E	N	∅	3	7	1	7	7	4	∅	12	s	-	d	ɛ	ɪ	n	∅	S	_	T	E	I	N	∅	3	0	1	7	7	4	∅																																												
6	0.8571	2	0.2857	-1888	11	ɛɪ	s	iː	d	n	∅	∅	E	S	I	T	N	∅	∅	7	3	7	1	4	∅	∅	12	ɪ	s	-	d	n	∅	∅	I	S	_	T	N	∅	∅	7	3	0	1	4	∅	∅																																												
7	1.0000	1	0.1429	-1888	11	n	ɛɪ	s	iː	∅	∅	∅	N	E	S	I	∅	∅	∅	4	7	3	7	∅	∅	∅	12	n	ɪ	s	-	∅	∅	∅	N	I	S	_	∅	∅	∅	4	7	3	0	∅	∅	∅																																												
1	0.2500	4	1.0000	-1785	13	x	∅	∅	∅	r	aː	n	G	∅	∅	∅	R	A	N	3	∅	∅	∅	5	7	4	14	ɡ	∅	∅	∅	r	eɪ	n	K	∅	∅	∅	R	E	N	1	∅	∅	∅	5	7	4																																												
2	0.5000	3	0.7500	-1785	13	r	x	∅	∅	aː	n	∅	R	G	∅	∅	A	N	∅	5	3	∅	∅	7	4	∅	14	r	ɡ	∅	∅	eɪ	n	∅	R	K	∅	∅	E	N	∅	5	1	∅	∅	7	4	∅																																												
3	0.7500	2	0.5000	-1785	13	aː	r	x	∅	n	∅	∅	A	R	G	∅	N	∅	∅	7	5	3	∅	4	∅	∅	14	eɪ	r	ɡ	∅	n	∅	∅	E	R	K	∅	N	∅	∅	7	5	1	∅	4	∅	∅																																												
4	1.0000	1	0.2500	-1785	13	n	aː	r	x	∅	∅	∅	N	A	R	G	∅	∅	∅	4	7	5	3	∅	∅	∅	14	n	eɪ	r	ɡ	∅	∅	∅	N	E	R	K	∅	∅	∅	4	7	5	1	∅	∅	∅																																												
1	0.1667	6	1.0000	-1723																							15	ɡ	∅	∅	∅	ɑː	-	d	K	∅	∅	∅	A	_	T	1	∅	∅	∅	7	0	1																							16	ɡ	∅	∅	∅	aː	r	t	K	∅	∅	∅	A	R	T	1	∅	∅	∅	7	5	1
2	0.3333	5	0.8333	-1723																							15	ɑː	ɡ	∅	∅	-	d	-	A	K	∅	∅	_	T	_	7	1	∅	∅	0	1	0																							16	aː	ɡ	∅	∅	r	t	ə	A	K	∅	∅	R	T	E	7	1	∅	∅	5	1	7
3	0.5000	4	0.6667	-1723																							15	-	ɑː	ɡ	∅	d	-	n̩	_	A	K	∅	T	_	N	0	7	1	∅	1	0	4																							16	r	aː	ɡ	∅	t	ə	n	R	A	K	∅	T	E	N	5	7	1	∅	1	7	4
4	0.6667	3	0.5000	-1723																							15	d	-	ɑː	ɡ	-	n̩	∅	T	_	A	K	_	N	∅	1	0	7	1	0	4	∅																							16	t	r	aː	ɡ	ə	n	∅	T	R	A	K	E	N	∅	1	5	7	1	7	4	∅
5	0.8333	2	0.3333	-1723																							15	-	d	-	ɑː	n̩	∅	∅	_	T	_	A	N	∅	∅	0	1	0	7	4	∅	∅																							16	ə	t	r	aː	n	∅	∅	E	T	R	A	N	∅	∅	7	1	5	7	4	∅	∅
6	1.0000	1	0.1667	-1723																							15	n̩	-	d	-	∅	∅	∅	N	_	T	_	∅	∅	∅	4	0	1	0	∅	∅	∅																							16	n	ə	t	r	∅	∅	∅	N	E	T	R	∅	∅	∅	4	7	1	5	∅	∅	∅
1	0.2500	4	1.0000	-1682	17	v	∅	∅	∅	ɑ	l	ɛɪ	B	∅	∅	∅	A	L	E	3	∅	∅	∅	7	5	7	18	v	∅	∅	∅	æ	l	ɪ	B	∅	∅	∅	E	L	I	3	∅	∅	∅	7	5	7																																												
2	0.5000	3	0.7500	-1682	17	ɑ	v	∅	∅	l	ɛɪ	∅	A	B	∅	∅	L	E	∅	7	3	∅	∅	5	7	∅	18	æ	v	∅	∅	l	ɪ	∅	E	B	∅	∅	L	I	∅	7	3	∅	∅	5	7	∅																																												
3	0.7500	2	0.5000	-1682	17	l	ɑ	v	∅	ɛɪ	∅	∅	L	A	B	∅	E	∅	∅	5	7	3	∅	7	∅	∅	18	l	æ	v	∅	ɪ	∅	∅	L	E	B	∅	I	∅	∅	5	7	3	∅	7	∅	∅																																												
4	1.0000	1	0.2500	-1682	17	ɛɪ	l	ɑ	v	∅	∅	∅	E	L	A	B	∅	∅	∅	7	5	7	3	∅	∅	∅	18	ɪ	l	æ	v	∅	∅	∅	I	L	E	B	∅	∅	∅	7	5	7	3	∅	∅	∅																																												
1	0.2500	4	1.0000	-1337	19	v	∅	∅	∅	ɔ	r	k	B	∅	∅	∅	U	R	K	3	∅	∅	∅	7	5	1	20	f	∅	∅	∅	ɔː	-	k	B	∅	∅	∅	U	_	K	3	∅	∅	∅	7	0	1																																												
2	0.5000	3	0.7500	-1337	19	ɔ	v	∅	∅	r	k	∅	U	B	∅	∅	R	K	∅	7	3	∅	∅	5	1	∅	20	ɔː	f	∅	∅	-	k	∅	U	B	∅	∅	_	K	∅	7	3	∅	∅	0	1	∅																																												
3	0.7500	2	0.5000	-1337	19	r	ɔ	v	∅	k	∅	∅	R	U	B	∅	K	∅	∅	5	7	3	∅	1	∅	∅	20	-	ɔː	f	∅	k	∅	∅	_	U	B	∅	K	∅	∅	0	7	3	∅	1	∅	∅																																												
4	1.0000	1	0.2500	-1337	19	k	r	ɔ	v	∅	∅	∅	K	R	U	B	∅	∅	∅	1	5	7	3	∅	∅	∅	20	k	-	ɔː	f	∅	∅	∅	K	_	U	B	∅	∅	∅	1	0	7	3	∅	∅	∅																																												
1	0.1667	6	1.0000	-1279	21	d	∅	∅	∅	ɔ	l	f	T	∅	∅	∅	U	L	B	1	∅	∅	∅	7	5	3	22	d	∅	∅	∅	ɔ	l	f	T	∅	∅	∅	U	L	B	1	∅	∅	∅	7	5	3																																												
2	0.3333	5	0.8333	-1279	21	ɔ	d	∅	∅	l	f	ɛɪ	U	T	∅	∅	L	B	E	7	1	∅	∅	5	3	7	22	ɔ	d	∅	∅	l	f	ɪ	U	T	∅	∅	L	B	I	7	1	∅	∅	5	3	7																																												
3	0.5000	4	0.6667	-1279	21	l	ɔ	d	∅	f	ɛɪ	n	L	U	T	∅	B	E	N	5	7	1	∅	3	7	4	22	l	ɔ	d	∅	f	ɪ	n	L	U	T	∅	B	I	N	5	7	1	∅	3	7	4																																												
4	0.6667	3	0.5000	-1279	21	f	l	ɔ	d	ɛɪ	n	∅	B	L	U	T	E	N	∅	3	5	7	1	7	4	∅	22	f	l	ɔ	d	ɪ	n	∅	B	L	U	T	I	N	∅	3	5	7	1	7	4	∅																																												
5	0.8333	2	0.3333	-1279	21	ɛɪ	f	l	ɔ	n	∅	∅	E	B	L	U	N	∅	∅	7	3	5	7	4	∅	∅	22	ɪ	f	l	ɔ	n	∅	∅	I	B	L	U	N	∅	∅	7	3	5	7	4	∅	∅																																												
6	1.0000	1	0.1667	-1279	21	n	ɛɪ	f	l	∅	∅	∅	N	E	B	L	∅	∅	∅	4	7	3	5	∅	∅	∅	22	n	ɪ	f	l	∅	∅	∅	N	I	B	L	∅	∅	∅	4	7	3	5	∅	∅	∅																																												
1	0.2000	5	1.0000	-1259	23	d	∅	∅	∅	iː	n	eː	T	∅	∅	∅	I	N	E	1	∅	∅	∅	7	4	7	24	d	∅	∅	∅	ɪ	n	ə	T	∅	∅	∅	I	N	E	1	∅	∅	∅	7	4	7																																												
2	0.4000	4	0.8000	-1259	23	iː	d	∅	∅	n	eː	-	I	T	∅	∅	N	E	_	7	1	∅	∅	4	7	0	24	ɪ	d	∅	∅	n	ə	r	I	T	∅	∅	N	E	R	7	1	∅	∅	4	7	5																																												
3	0.6000	3	0.6000	-1259	23	n	iː	d	∅	eː	-	∅	N	I	T	∅	E	_	∅	4	7	1	∅	7	0	∅	24	n	ɪ	d	∅	ə	r	∅	N	I	T	∅	E	R	∅	4	7	1	∅	7	5	∅																																												
4	0.8000	2	0.4000	-1259	23	eː	n	iː	d	-	∅	∅	E	N	I	T	_	∅	∅	7	4	7	1	0	∅	∅	24	ə	n	ɪ	d	r	∅	∅	E	N	I	T	R	∅	∅	7	4	7	1	5	∅	∅																																												
5	1.0000	1	0.2000	-1259	23	-	eː	n	iː	∅	∅	∅	_	E	N	I	∅	∅	∅	0	7	4	7	∅	∅	∅	24	r	ə	n	ɪ	∅	∅	∅	R	E	N	I	∅	∅	∅	5	7	4	7	∅	∅	∅																																												
1	0.3333	3	1.0000	-1161	25	l	∅	∅	∅	ɛɪ	n	∅	L	∅	∅	∅	E	N	∅	5	∅	∅	∅	7	4	∅	26	l	∅	∅	∅	aɪ	n	∅	L	∅	∅	∅	A	N	∅	5	∅	∅	∅	7	4	∅																																												
2	0.6667	2	0.6667	-1161	25	ɛɪ	l	∅	∅	n	∅	∅	E	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅	26	aɪ	l	∅	∅	n	∅	∅	A	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅																																												
3	1.0000	1	0.3333	-1161	25	n	ɛɪ	l	∅	∅	∅	∅	N	E	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅	26	n	aɪ	l	∅	∅	∅	∅	N	A	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅																																												
1	0.3333	3	1.0000	-1158	27	b	∅	∅	∅	ɑ	l	∅	P	∅	∅	∅	A	L	∅	1	∅	∅	∅	7	5	∅	28	b	∅	∅	∅	ɔː	l	∅	P	∅	∅	∅	U	L	∅	1	∅	∅	∅	7	5	∅																																												
2	0.6667	2	0.6667	-1158	27	ɑ	b	∅	∅	l	∅	∅	A	P	∅	∅	L	∅	∅	7	1	∅	∅	5	∅	∅	28	ɔː	b	∅	∅	l	∅	∅	U	P	∅	∅	L	∅	∅	7	1	∅	∅	5	∅	∅																																												
3	1.0000	1	0.3333	-1158	27	l	ɑ	b	∅	∅	∅	∅	L	A	P	∅	∅	∅	∅	5	7	1	∅	∅	∅	∅	28	l	ɔː	b	∅	∅	∅	∅	L	U	P	∅	∅	∅	∅	5	7	1	∅	∅	∅	∅																																												
1	0.2000	5	1.0000	-1041	29	r	∅	∅	∅	iː	v	iː	R	∅	∅	∅	I	B	I	5	∅	∅	∅	7	3	7	30	r	∅	∅	∅	ɪ	v	ə	R	∅	∅	∅	I	B	E	5	∅	∅	∅	7	3	7																																												
2	0.4000	4	0.8000	-1041	29	iː	r	∅	∅	v	iː	r	I	R	∅	∅	B	I	R	7	5	∅	∅	3	7	5	30	ɪ	r	∅	∅	v	ə	r	I	R	∅	∅	B	E	R	7	5	∅	∅	3	7	5																																												
3	0.6000	3	0.6000	-1041	29	v	iː	r	∅	iː	r	∅	B	I	R	∅	I	R	∅	3	7	5	∅	7	5	∅	30	v	ɪ	r	∅	ə	r	∅	B	I	R	∅	E	R	∅	3	7	5	∅	7	5	∅																																												
4	0.8000	2	0.4000	-1041	29	iː	v	iː	r	r	∅	∅	I	B	I	R	R	∅	∅	7	3	7	5	5	∅	∅	30	ə	v	ɪ	r	r	∅	∅	E	B	I	R	R	∅	∅	7	3	7	5	5	∅	∅																																												
5	1.0000	1	0.2000	-1041	29	r	iː	v	iː	∅	∅	∅	R	I	B	I	∅	∅	∅	5	7	3	7	∅	∅	∅	30	r	ə	v	ɪ	∅	∅	∅	R	E	B	I	∅	∅	∅	5	7	3	7	∅	∅	∅																																												
1	0.3333	3	1.0000	-1033	31	b	∅	∅	∅	aː	j	∅	P	∅	∅	∅	A	J	∅	1	∅	∅	∅	7	6	∅	32	b	∅	∅	∅	eɪ	-	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	-1033	31	aː	b	∅	∅	j	∅	∅	A	P	∅	∅	J	∅	∅	7	1	∅	∅	6	∅	∅	32	eɪ	b	∅	∅	-	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	-1033	31	j	aː	b	∅	∅	∅	∅	J	A	P	∅	∅	∅	∅	6	7	1	∅	∅	∅	∅	32	-	eɪ	b	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																												
1	0.1667	6	1.0000	-1021	33	m	∅	∅	∅	uː	r	ɑ	M	∅	∅	∅	Y	R	A	4	∅	∅	∅	7	5	7																																													34	m	∅	∅	∅	oː	r	a	M	∅	∅	∅	U	R	A	4	∅	∅	∅	7	5	7
2	0.3333	5	0.8333	-1021	33	uː	m	∅	∅	r	ɑ	s	Y	M	∅	∅	R	A	S	7	4	∅	∅	5	7	3																																													34	oː	m	∅	∅	r	a	s	U	M	∅	∅	R	A	S	7	4	∅	∅	5	7	3
3	0.5000	4	0.6667	-1021	33	r	uː	m	∅	ɑ	s	-	R	Y	M	∅	A	S	_	5	7	4	∅	7	3	0																																													34	r	oː	m	∅	a	s	t	R	U	M	∅	A	S	T	5	7	4	∅	7	3	1
4	0.6667	3	0.5000	-1021	33	ɑ	r	uː	m	s	-	∅	A	R	Y	M	S	_	∅	7	5	7	4	3	0	∅																																													34	a	r	oː	m	s	t	∅	A	R	U	M	S	T	∅	7	5	7	4	3	1	∅
5	0.8333	2	0.3333	-1021	33	s	ɑ	r	uː	-	∅	∅	S	A	R	Y	_	∅	∅	3	7	5	7	0	∅	∅																																													34	s	a	r	oː	t	∅	∅	S	A	R	U	T	∅	∅	3	7	5	7	1	∅	∅
6	1.0000	1	0.1667	-1021	33	-	s	ɑ	r	∅	∅	∅	_	S	A	R	∅	∅	∅	0	3	7	5	∅	∅	∅																																													34	t	s	a	r	∅	∅	∅	T	S	A	R	∅	∅	∅	1	3	7	5	∅	∅	∅
1	0.2500	4	1.0000	-588	35	p	∅	∅	∅	l	ɑ	t	P	∅	∅	∅	L	A	T	1	∅	∅	∅	5	7	1																																													36	p	∅	∅	∅	l	a	t	P	∅	∅	∅	L	A	T	1	∅	∅	∅	5	7	1
2	0.5000	3	0.7500	-588	35	l	p	∅	∅	ɑ	t	∅	L	P	∅	∅	A	T	∅	5	1	∅	∅	7	1	∅																																													36	l	p	∅	∅	a	t	∅	L	P	∅	∅	A	T	∅	5	1	∅	∅	7	1	∅
3	0.7500	2	0.5000	-588	35	ɑ	l	p	∅	t	∅	∅	A	L	P	∅	T	∅	∅	7	5	1	∅	1	∅	∅																																													36	a	l	p	∅	t	∅	∅	A	L	P	∅	T	∅	∅	7	5	1	∅	1	∅	∅
4	1.0000	1	0.2500	-588	35	t	ɑ	l	p	∅	∅	∅	T	A	L	P	∅	∅	∅	1	7	5	1	∅	∅	∅																																													36	t	a	l	p	∅	∅	∅	T	A	L	P	∅	∅	∅	1	7	5	1	∅	∅	∅
1	0.1429	7	1.0000	-445																							37	f	∅	∅	∅	æ	m	ə	B	∅	∅	∅	E	M	E	3	∅	∅	∅	7	4	7																							38	f	∅	∅	∅	a	m	iː	B	∅	∅	∅	A	M	I	3	∅	∅	∅	7	4	7
2	0.2857	6	0.8571	-445																							37	æ	f	∅	∅	m	ə	l	E	B	∅	∅	M	E	L	7	3	∅	∅	4	7	5																							38	a	f	∅	∅	m	iː	l	A	B	∅	∅	M	I	L	7	3	∅	∅	4	7	5
3	0.4286	5	0.7143	-445																							37	m	æ	f	∅	ə	l	ɪ	M	E	B	∅	E	L	I	4	7	3	∅	7	5	7																							38	m	a	f	∅	iː	l	iː	M	A	B	∅	I	L	I	4	7	3	∅	7	5	7
4	0.5714	4	0.5714	-445																							37	ə	m	æ	f	l	ɪ	-	E	M	E	B	L	I	_	7	4	7	3	5	7	0																							38	iː	m	a	f	l	iː	ə	I	M	A	B	L	I	E	7	4	7	3	5	7	7
5	0.7143	3	0.4286	-445																							37	l	ə	m	æ	ɪ	-	∅	L	E	M	E	I	_	∅	5	7	4	7	7	0	∅																							38	l	iː	m	a	iː	ə	∅	L	I	M	A	I	E	∅	5	7	4	7	7	7	∅
