COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
1044-3			ʃ i m b i l a	
13-3			a l h a m i s	
720-3			a s a l a a	
233-3			b ʔ i b i a a	
938-3			b ʔ u l ʔ a ʔ a	
369-3			a r a	
889-3			b ʔ i l a	
405-3			b a d a	
134-3			a ʔ a ɗ i ʔ i	
1078-3			m a h i	
429-3			b ɔ n ʔ ɔ ʃ	
187-3			b a s ʔ i k a	
385-3			m a k ʔ ɔ ʃ	
283-3			m a n a s a r a	
390-3			a b a i ʔ a	
783-3			m a r ʔ a	
52-3			d a ʃ	
842-3			d ɔ n ɔ ʃ a	
650-3			k ʔ ɔ ʃ	
91-3			g a l a s i	
668-3			w a l a	
777-3			g i n d a l i a	
728-3			s i ʔ i	
165-3			m a	
1088-3			m ʃ a l a	
702-3			i l a	
894-3			a s ʔ u	
536-3			k ʔ a d a	
468-4				m a b a
222-4				a b o b o n e
208-4				a b u r b u ɗ u
962-4				a g o r ʃ a
203-4				a g u ɗ i l a
138-4				a ʃ i l i
504-4				ɗ o ʃ a
662-4				m u ɗ a
478-4				a g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ a l a
622-4				n d u
546-4				n d u
547-4				ʃ e f a
847-4				n e n d i g i
95-4				m e ɗ i
105-4				m i g a n i
510-4				m o ʃ a
951-4				m b e m a r e
1116-4				m b e m a
149-4				ɓ ʔ u s ʔ i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u n a
67-4				ɗ a ʃ i
47-4				ɗ o k o ʔ o n a
869-4				ɗ o θ a
57-4				g a g u
303-4				g a s ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h a ʃ i
616-4				m i e
84-4				h o ʃ e l a
346-4				h o u l u
601-4				s i g i
177-4				k ʔ a f a a
341-4				k ʔ o l a
1066-4				f e n s ʔ i n a
318-4				a f e ʃ i
241-4				m a o ʃ o
556-4				h a n d u n u
191-4				ɓ ʔ e m b ʔ i l
458-4				a s ʔ i s ʔ i
1-4				h a n ɗ i r a
751-4				r o
864-4				a n o n l i
154-4				a m a n ʃ i
278-4				a m i l u ʔ a
766-4				ʃ o r a
251-4				a g u r u
582-4				o ʔ o n a
6-4				a l i
1106-4				n g o
473-4				m i n e
1111-4				h a l u
957-4				m a r e
41-4				b e a
566-4				a n f a n f o r o s a
742-4				a g o a
1044-4				ʃ i m b i l a
13-4				a l ʔ a m i a
720-4				a s e l a a
837-4				m a ʃ i
946-4				m a n g o
820-4				o ʃ o r e a
405-4				m a ɗ a
134-4				ɓ ʔ a ɗ i ʔ i
1078-4				m a ʔ i
429-4				g o n h o ʃ
187-4				m u s ʔ i k e
438-4				n d ɛ n e
385-4				m e k ʔ o ʃ
390-4				a ɓ a a
783-4				m u r ʃ a
52-4				a u o ʃ oː
110-4				a ʔ i ɗ e r i
650-4				k ʔ o ʃ
91-4				g a l a s i
668-4				m e l a
777-4				g i n ɗ a l i a
728-4				s i ʃ i
1007-4				i n g o l e
1088-4				h o ʃ e l i
1087-4				i n g o l e
702-4				i l a
894-4				i s ʔ u
694-4				n d a
