COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
616-4				b iː e
84-4				h oː ʃ a l a
346-4				h u h u l u
601-4				ʃ i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f e n ʃ i n a
318-4				f eː ʃ i
241-4				m ʃ iː ʃ o
556-4				h a n d u n u
191-4				ɓ e m b e l
458-4				a ʃ ʔ i ʃ ʔ i
1-4				h a n z i
751-4				oː
864-4				a n o n a
154-4				a m a n z i
278-4				m i l o ʔ i
766-4				ʃ oː a
251-4				a g u u
582-4				u ʔ u n
6-4				a l i
1106-4				n g oː
473-4				ɪ n e
1111-4				h a θ u
957-4				m a e
41-4				b i e
566-4				a f a n f o r o z ʔ
742-4				aː g o
1044-4				a ʃ ɪ m b l
13-4				h a h a s i s
720-4				aː z e l a
837-4				m ʃ i
946-4				ɓ a n g oː
820-4				a ʃ o i
405-4				b a d e
134-4				ɓ a ɗ i
1078-4				m iː h i
429-4				b o ŋ o ʃ
187-4				b u z k ʔ e
438-4				n d ɛ n e
385-4				m a k ʔ o ʃ
390-4				a f a
783-4				m u r θ a
52-4				d u z i
110-4				k ʔ ɪ d ɛ r i
650-4				k ʔ o ʃ
91-4				g a l a s i
668-4				w e l a
777-4				g i n d aː l i a
728-4				h u ʃ i
1007-4				ɪ n g o l e
1088-4				h oː ʃ a l i
1087-4				ɪ n g o l e
702-4				iː l a
894-4				iː z ʔ u
694-4				n d ɛ
