COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
66-4				k r a k i w						
116-4				t o a k a						
134-4				n a p a t						
135-4				t u						
139-4				k m a m						
142-4				u p a t a m a						
145-4				k a w a t i						
148-4				t a k a w a n						
162-4				i i n						
166-4				i m i						
179-4				t a						
201-4				p i						
21-4				k i w a t a n						
24-4				w a k w a k a n						
52-5					t i t e					
56-5					i m e ʔ					
96-5					o i t i ʔ					
99-5					o r i j o n i					
114-5					t o k e t i					
115-5					t e r i s i					
133-5					i t i p a s i					
144-5					t w o r i s i					
150-5					k o w					
234-5					i k o m					
236-5					p i k o n					
241-5					t r p i w i n					
249-5					i t e ʔ					
1-5					w a t i ʔ					
2-5					r m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					i w i k i t					
106-5					t i j p i s i ʔ					
119-5					i j i i t i					
128-5					t o k i j i					
147-5					t i j i s i					
239-5					n o a k a n					
266-5					t i i i k					
3-5					w o r i k o					
4-5					w o t i t					
51-5					i w e ʔ					
55-5					i f r e m					
97-5					e f t i m a s i					
109-5					i p i t i k i k					
149-5					t o k o					
160-5					t i r i k					
163-5					i p e j a m					
167-5					t p a ʔ					
207-5					t i					
259-5					t o w a ʔ					
66-5					k o r i k a t i					
112-5					t r a j i s i					
116-5					t o p a e s i					
134-5					t i p a t i n					
135-5					t i j j i t i k					
139-5					t i m o s e t i ʔ					
142-5					i p a r a m a s i					
145-5					k o r i t a s i					
148-5					t r a w a n e s i					
162-5					i j i ʔ n					
166-5					i m i					
179-5					t a k					
201-5					p e					
21-5					k w a t a p					
52-6						tʃ i t u a				
56-6						k u m a				
96-6						t a w i tʃ i				
99-6						a t a a a a a				
114-6						t u k a tʃ i				
115-6						t t a m i tʃ i				
133-6						t t i m a w a i				
144-6						t a w a w a tʃ i				
150-6						k a w a				
234-6						t k a m				
236-6						t i k i i				
241-6						k a k a w i				
249-6						a tʃ i				
1-6						w a i				
2-6						a w a i m a				
65-6						a w a i				
74-6						k a w a				
93-6						t a m a w i tʃ i				
95-6						a w i i tʃ i				
106-6						t i m i tʃ i tʃ i				
119-6						a w i i i				
128-6						t a k i tʃ i				
147-6						t i m i tʃ i				
231-6						k u k a a				
232-6						n p i tʃ i a				
239-6						k a m a k i a				
266-6						tʃ a i i a				
3-6						k a w i a				
4-6						w a tʃ i				
55-6						a k i m a m				
97-6						w a k u i a tʃ i				
109-6						a p a i tʃ i				
160-6						t a w i k				
207-6						m i				
112-6						t u w a a a tʃ i				
116-6						t a w a a a				
125-6						k i k i a tʃ i				
134-6						t i p i tʃ i k a				
135-6						k u m a a a tʃ i				
139-6						t i tʃ i m i i tʃ i				
201-6						p u i				
21-6						k a w a a a				
24-6						t u k a w i i k e				
52-7							t i			
56-7							t i m a			
96-7							w u m i			
99-7							u r i n			
114-7							t u k i i			
115-7							u w i m i			
133-7							i t i a i			
144-7							t u i a i			
150-7							k i w			
234-7							i k o			
236-7							p i k n			
241-7							u k w i n			
249-7							i m i			
1-7							w a n a			
2-7							m a i i			
65-7							i w i n i			
74-7							p a n a			
93-7							t u a m i i			
95-7							u w i m i i			
106-7							t u m i m i			
119-7							i m i i			
128-7							t u k i o			
147-7							t i m i			
231-7							p a k a o			
232-7							i p i a			
266-7							i i t i			
3-7							w a r i n			
4-7							w a r i d n			
51-7							i w i			
55-7							i u i u m			
97-7							m a k t i m a			
109-7							i p i i i			
121-7							k a a			
149-7							t u i n			
160-7							k i r i k			
163-7							i p i d			
167-7							t i p a			
207-7							m i			
259-7							t o a			
66-7							k i r a			
125-7							k i t i m i			
135-7							t i m i i			
142-7							i p a t i m a r			
145-7							k a r i i			
148-7							w u r i w a n o			
162-7							i w a d			
166-7							i m i			
179-7							t a			
201-7							p a i i			
21-7							i w a t i n			
24-7							a k i n a i a n			
52-8								s u t i n		
56-8								u m a		
96-8								k a a		
99-8								a a		
114-8								t u k a a		
115-8								u m a a		
133-8								t a t a s a		
144-8								s u s a m a a		
150-8								k a		
234-8								k a n		
236-8								s a k a n		
241-8								u s i		
249-8								a a		
1-8								w a a		
2-8								a a		
65-8								a w i		
74-8								s a k		
93-8								t u m a a a		
95-8								u a a		
119-8								a s a a		
231-8								a s a m i n		
232-8								u s a a b		
239-8								j a m k a d		
3-8								u m u a u t		
4-8								u a a		
51-8								i w i		
55-8								u u e m		
109-8								u a		
121-8								k a k a v a k a i		
149-8								m u k a		
163-8								y k a t		
167-8								s t a n		
259-8								s u m a		
66-8								k u m a k a o		
112-8								a a a s a		
116-8								t u s a k a i		
125-8								k k a m a a		
145-8								k a k a a a		
52-9									i t u	
56-9									i m a	
96-9									a r a m ʔ	
99-9									i r i m a ʔ	
114-9									t o k a ʔ	
115-9									w a r i ʔ	
133-9									i t i t a r a m i ʔ	
144-9									a t a w a i ʔ	
150-9									k a w	
234-9									o k o m	
236-9									p i k i n	
241-9									a k i w i n	
249-9									i ʃ i ʔ	
1-9									w a t a ʔ	
2-9									o w i m	
65-9									i w i	
74-9									p a n a	
93-9									t o t a r i ʔ i ʔ	
95-9									i w i i	
106-9									t i t a ʃ i ʔ	
119-9									i j a t i k ʔ	
128-9									o t i ʔ	
147-9									t i m i ʃ i ʔ	
231-9									p a a ʔ a ʔ	
232-9									w i p i a	
239-9									a w i k a n	
266-9									t i i i ʔ	
3-9									m a r i ʔ u	
4-9									w a r i ʔ	
51-9									i w e	
55-9									i m r i m ʔ	
97-9									w a r r i m a	
109-9									i p i ʔ	
121-9									k a p i t a k i i ʔ	
149-9									t o k	
160-9									k a r i ʔ	
163-9									i p i	
167-9									t i p a	
207-9									m i	
259-9									t o w a ʔ	
66-9									w a r a k a	
112-9									t a i a k a i k i ʔ	
116-9									t o t a k a ʔ	
125-9									k i i m a k i ʔ	
134-9									t a p a t i	
135-9									t i w a i i	
142-9									i p a r a m a ʃ i ʔ	
145-9									k a t a t a t ʔ	
148-9									t a r a w i a n a k i	
162-9									i i i	
166-9									i w i	
179-9									t a	
201-9									p t i	
21-9									k i w a t a n	
24-9									w a t a r i a n	
52-10										t i t e ʔ
56-10										t o m e ʔ
96-10										t m i tʃ i ʔ
99-10										a t i m i
114-10										t o k i tʃ i ʔ
115-10										i r i tʃ i ʔ
133-10										t p i a tʃ i ʔ
144-10										a t i m i tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p i k i n
241-10										a w
249-10										i tʃ i ʔ
1-10										w a tʃ a ʔ
2-10										w i i
65-10										i w
74-10										p a n a
93-10										t o p a r i tʃ i ʔ
95-10										w i k i tʃ i
106-10										t o n a i tʃ i ʔ
119-10										n i tʃ i tʃ i ʔ
128-10										t o k i tʃ i ʔ
147-10										tʃ i m i tʃ i ʔ
231-10										p a a tʃ i ʔ
232-10										p i
239-10										t a m a k i n ʔ
266-10										i t i i ʔ
3-10										w i r h o
4-10										w a i ʔ
51-10										w i ʔ
55-10										o a m ʔ
97-10										a h i k a m e
121-10										k a p i j a k ʔ
149-10										t o k
160-10										k i r i
163-10										p i n
167-10										p a ʔ
207-10										m i ʔ
259-10										t o w a
112-10										t a a w i tʃ i ʔ
116-10										t p a k a tʃ i ʔ
125-10										o t a m a tʃ i ʔ
134-10										p i tʃ i ʔ a
139-10										m e m i tʃ i ʔ
142-10										p a r a m a tʃ i ʔ
145-10										k a r a tʃ a tʃ i
148-10										t r a w w a n a i ʔ
162-10										i i n
166-10										m i ʔ
179-10										t a k
201-10										p w e ʔ
24-10										k a r
