COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b iː e e n i
510-4				b o ʃ a
951-4				m b m a r e
1116-4				m b m a
149-4				ɓ ʔ u s ʔ i
376-4				ɓ ʔ a l i
815-4				θ o r ʔ a
453-4				ɗ u θ e
67-4				ɗ aː ʃ e
47-4				ɗ o k ʔ o θ a
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a s ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h aː ʃ e
616-4				ɓ iː e
84-4				h o ʃ ɛ l e
346-4				h o h u l u
601-4				s i g i
177-4				k ʔ a f a ʔ
341-4				k ʔ o l a
1066-4				f ɛ n s ʔ i ŋ a
318-4				f uː ʃ i
241-4				m aː ʃ o
556-4				h a n d u ŋ u
191-4				ɓ ʔ ɛ m b ʔ ɛ l
458-4				a s ʔ i s ʔ i
1-4				h a e θ i r
751-4				r o
864-4				a ŋ o n ʔ i
154-4				a m a n θ i
278-4				a m i l u ʔ a
766-4				ʃ o r a
251-4				a g u r u
582-4				o ʔ o ŋ
6-4				a l i
1106-4				n g o
473-4				θ i n e
1111-4				h a l u
957-4				m a r e
41-4				b e e
