COGID	Albanian	English	French	German	Latin
343-5					w l e w i a
460-5					p u l w i a
945-5					s e m u n
644-5					s a
683-5					k i t oː
650-5					i i oː l
612-5					f uː m oː
1041-5					e t a n p
871-5					d r w k t
492-5					s e n
1209-5					w o m iː
667-5					l k w oː
499-5					n u
1029-5					w u
272-5					s i n d e
278-5					m o w e s
410-5					aː k o r s
1009-5					p i t r
198-5					m k g
479-5					w a s a
712-5					m o r m iː
1113-5					s i
605-5					o s
752-5					r e s p iː r aː
695-5					n u a g
73-5					f r w a d
164-5					n i m r i k r
239-5					g u r
