COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
75-6						u u				
96-6						m u				
101-6						m u				
119-6						u t				
134-6						m i s				
138-6						m i u				
146-6						i u				
171-6						u u u				
182-6						i ɨ				
188-6						u u d u				
196-6						u u n u				
401-6						s				
420-6						i k a				
442-6						i i				
24-6						u d d u				
78-6						u u u u				
130-6						u d u				
192-6						u u d u				
199-6						i s a				
250-6						k u k u a u d				
264-6						a n				
314-6						m u u d d				
369-6						a				
418-6						u a a				
451-6						m u k u d u				
456-6						m d				
59-6						s u				
14-7							k o r o			
18-7							k o r eː			
35-7							s a t o o			
36-7							s o t o eː			
48-7							m a t i u			
60-7							d o r eː			
63-7							s e n a m i			
64-7							k o			
67-7							s s e			
68-7							n e			
71-7							k k t k i			
76-7							s o r o			
83-7							s o m o			
87-7							s o n e			
95-7							m oː m i			
98-7							s o m e			
99-7							k o k i			
-102-7							s e t e			
103-7							s o m e			
110-7							k e			
116-7							m k o r e			
120-7							n o m u			
132-7							k o u			
139-7							o k o r o o			
140-7							d o iː o o			
156-7							d o t o r u			
168-7							d o e			
169-7							s o n u			
170-7							m oː k u			
173-7							k oː k u			
180-7							k o m o			
185-7							s o eː			
186-7							m o oː r eː			
187-7							m i d e			
190-7							o t eː			
193-7							k o r u o			
194-7							s e n i eː			
195-7							k o r u eː			
216-7							m o r u			
221-7							n e b eː			
239-7							k o k u			
252-7							m o k u			
253-7							m o k o			
254-7							k e u e			
266-7							k o k e			
267-7							n a oː r e r u			
268-7							k o m i			
272-7							k o m e u			
276-7							k e r u u			
281-7							m o s o			
304-7							h o o			
305-7							k k i k i			
308-7							s a r a			
309-7							k o r eː			
310-7							d o			
311-7							n i			
342-7							m o k u			
346-7							k o r i			
347-7							k o r u			
348-7							h k e r i u			
351-7							d o o			
361-7							k e d o r o o			
379-7							k o s a o			
394-7							h e oː r e			
395-7							m a ŋ o			
400-7							h k e oː r u			
412-7							s o o r u			
413-7							k k o o s o u			
414-7							k o r u			
422-7							h e u r u r o			
423-7							k o s k u r o			
430-7							h o u			
435-7							s o u			
446-7							s e t e			
447-7							h o t o			
458-7							k o k u			
56-7							k a k o			
62-7							k e b a			
65-7							k o r o			
70-7							t o r o			
75-7							k iː o o o			
96-7							m i			
101-7							s o			
114-7							k o k i			
134-7							s e u r o			
138-7							s e b a			
146-7							k a n u a			
161-7							o o eː			
171-7							k o o eː			
182-7							k e m u r u			
188-7							m o m i			
196-7							o o r o			
262-7							h k a r u m e			
300-7							s o a k o			
313-7							k t k o			
350-7							s e b i e			
352-7							k o k i eː			
396-7							h oː r eː			
401-7							k a s u			
420-7							k a k o e o			
424-7							d o t o o			
442-7							e m e a a r i			
455-7							k o k o r eː			
15-7							k a r o			
22-7							m o eː			
24-7							m o tɕ r o			
78-7							o k o r a r a			
89-7							k o			
130-7							m a r u			
149-7							k o r i			
175-7							s a n o			
183-7							s i			
192-7							o o o			
230-7							k a n a a o			
233-7							a n a o o ɴ a r a			
250-7							k o t u k o			
274-7							n a r u			
298-7							k o m o o eː			
303-7							s oː s a a o o			
314-7							m o s a			
354-7							a k e			
369-7							k i s e			
376-7							a a r a			
415-7							k o s e			
418-7							s a			
451-7							d o k r i			
456-7							ɸ a d e			
59-7							k a u			
72-7							m o k o			
80-7							d o m o k o			
104-7							o s i			
118-7							s a n iː			
142-7							a			
150-7							n o r eː			
204-7							o t r i			
14-8								k o r i		
18-8								k oː r i		
35-8								d e t o k i		
36-8								h o k o i		
48-8								m a g a u		
60-8								k oː r i		
63-8								s oː n a m i		
64-8								k oː		
67-8								h i		
68-8								h e b		
71-8								i k i		
76-8								s o r o		
83-8								d o k o		
87-8								h e n i		
95-8								m i k a		
98-8								h o m i		
99-8								k oː tɕ u		
-102-8								h e g a a i i		
103-8								s o m i		
110-8								e		
116-8								m k u r i		
120-8								m o m u		
132-8								k o g u		
139-8								k o r o s u		
140-8								d o m o a		
156-8								d o t u r u		
168-8								d o i		
169-8								h o k e		
170-8								m a k u		
173-8								k oː k a		
180-8								k o m o		
185-8								h oː i		
186-8								m o b oː r i		
187-8								m i k i		
190-8								a k e u o		
193-8								k oː r u u		
194-8								s e n a u		
195-8								k oː s a k u		
216-8								m a dʑ u o		
221-8								n e u u		
239-8								k oː k u		
252-8								m o d u		
253-8								m o k o		
254-8								k o ts u u		
266-8								k o m i		
267-8								m a g e r u r u		
268-8								k o m i		
272-8								a m u k a		
276-8								a m e e u		
281-8								m a dʑ i		
304-8								d o g o		
305-8								d k a k i		
308-8								s oː k i		
309-8								k o r i		
310-8								d o		
311-8								m k i		
342-8								m o k u		
346-8								k oː s i a		
347-8								k o r u		
348-8								h t e n a u		
351-8								d o o i		
361-8								m k d o a i		
379-8								k o s u o i		
394-8								h k o k oː r i		
395-8								m i g i		
400-8								h k o b u r u		
412-8								s o k oː r u		
413-8								k m a k u u n u		
414-8								k o r u		
422-8								h e k k u r u r u		
423-8								k o s g e u r u		
430-8								h o b u		
435-8								h o b u		
446-8								s e k i k n i		
447-8								d o k a a		
458-8								k o k u		
62-8								k a k a		
65-8								k o r i		
70-8								o r i		
75-8								k o o i		
96-8								m a		
101-8								s k a		
114-8								k o k i		
119-8								k a m o		
134-8								s e u r o		
138-8								s e n a		
146-8								k a m u a		
161-8								e k k e i		
171-8								k o o i		
182-8								k e m u k u		
188-8								m o m i		
196-8								o u r a		
262-8								h k a m a n u		
300-8								h e b u r o		
313-8								i k o		
350-8								s e m a u		
352-8								d o k a i		
396-8								h oː n u i		
401-8								o s u		
420-8								a g e n u r a		
424-8								d o k o k u		
442-8								m a m a u u r u		
455-8								k o k o u r i		
15-8								k a r a		
22-8								h o i		
24-8								h aː a r a		
49-8								k a a n a a i		
78-8								a t oː r u u		
89-8								k oː		
130-8								s a r u		
149-8								k o r u		
175-8								s a m o		
183-8								h i		
192-8								o o k i		
199-8								a k u k		
230-8								k a k a oː k o		
233-8								k a h a k o k o a		
250-8								h o k u g i		
274-8								n a a a u		
298-8								k o g i a i		
303-8								h oː n a m o i		
314-8								m o s a		
354-8								a g u k u		
376-8								m a m a		
415-8								m u s u a		
418-8								n a b n		
451-8								d u b a r i		
59-8								a n o		
72-8								m o k a		
80-8								k o m o k o		
104-8								oː m i		
118-8								s a m k ui		
150-8								h o r u		
204-8								u k r i		
14-9									t u ɴ u	
18-9									t u ɴ u	
35-9									h i k u s u	
36-9									h a b u b u	
48-9									n a g i s u ɴ	
60-9									t a u r i	
63-9									h a j u ɴ i	
64-9									t i	
67-9									h t i	
68-9									n a s u ɴ	
71-9									m w i ɴ u	
76-9									h u ɴ i	
83-9									t u ɴ u	
87-9									h a ɴ n u	
95-9									m u ɴ i	
98-9									h a ɴ u	
99-9									t u dʑ u	
-102-9									t i p s a u	
103-9									t u ɴ u	
110-9									t i	
116-9									m i m i ɴ u	
120-9									m a ts u ɴ	
132-9									t a ts u ɴ	
139-9									ʔ u t u j u u ɴ	
140-9									a n u ɴ u	
156-9									t a p i ɴ u u	
168-9									t u ɴ u	
169-9									h a s u	
170-9									m u ts u	
173-9									s u ɴ u	
180-9									u ɴ u	
185-9									h i b i	
186-9									m a j u ɴ i	
187-9									m u ts u	
190-9									t a h a s n ɴ u	
193-9									t a m u ɴ u	
194-9									h a r s i ɴ	
195-9									k a j s i ɴ	
216-9									n a ts u ts iː ɴ	
221-9									h a r u	
239-9									t u dʑ u	
252-9									m u ts u	
253-9									m u t u	
254-9									t a ts u ɴ u	
266-9									t a ɴ i	
267-9									n a g a j u j u ɴ	
268-9									ʔ u ɴ i	
272-9									ʔ a m i	
276-9									ʔ a n u s u ɴ	
281-9									m a ts u r u	
304-9									t u b s oː b u	
305-9									h tɕ ɴ u	
308-9									h u ɴ i	
309-9									u ɴ u	
310-9									t i	
311-9									m a m i	
342-9									m u dʑ u	
346-9									k a h u s u ɴ	
347-9									t a ts u ɴ	
348-9									h w u n s u ɴ	
351-9									t a r u ɴ	
361-9									ʔ iː k p u s u ɴ i	
379-9									k a t u r iː b u	
394-9									h w a s u ɴ i	
395-9									n a g u ɴ u	
400-9									h w a u j u ɴ	
412-9									n a g i j u ɴ	
413-9									k ʔ k u s u s u ɴ	
414-9									h a ts u ɴ	
422-9									h a k j u j u ɴ u	
423-9									k a n g u j u ɴ u	
430-9									h a ts u ɴ	
435-9									h a ts u ɴ	
446-9									h a p i s a u	
447-9									a u a a u	
458-9									t u dʑ u	
56-9									tɕ a t i	
62-9									t u ɴ u	
65-9									tɕ i iː i	
75-9									h i n ɴ i	
96-9									m u	
101-9									t a u	
114-9									ʔ a m u	
119-9									tɕ a ɴ i	
134-9									m u s u ɴ u	
138-9									m u ts u ɴ	
146-9									ʔ u ts u ɴ u	
161-9									h u ɴ a i	
171-9									tɕ a ɴ i	
182-9									k i ɴ u ɴ u	
196-9									m u ɴ u	
262-9									h ʔ a n s ɴ ɴ i	
300-9									h a g u ɴ i	
313-9									k a m n i	
350-9									h a m s i ɴ	
352-9									h a g s u ɴ	
396-9									h a a s a ɴ i	
401-9									ʔ a ts u ɴ	
420-9									ʔ a ts i j u ɴ u	
424-9									ʔ a ɴ a s u ɴ	
442-9									n i n i u s j u ɴ	
455-9									ʔ a k a s u ɴ i	
15-9									ʔ a j u	
22-9									h a s u i	
24-9									m i m ɕ u	
49-9									ʔ a ɴ n u g i	
89-9									t a	
175-9									n a m u	
183-9									h t i	
199-9									k i ts iː s a ɴ	
230-9									ʔ a s w i a u	
233-9									ʔ a k h u m u s i ɴ	
264-9									s a ɴ i	
274-9									n a g ɴ u s u ɴ ɴ	
314-9									m u ts u ɴ	
354-9									k a u s u ɴ	
376-9									n a a u s a ɴ	
415-9									m u ts u s u ɴ	
451-9									m u b i r u	
456-9									tɕ a ɴ i	
59-9									ʔ i ɕ u	
142-9									k a p u ɴ	
14-10										k o r i
18-10										k o r i
35-10										s o t o k o
36-10										s o t o k o
48-10										m o ŋ a o
60-10										k o r i
63-10										s i r a m i
64-10										k o
67-10										s i
68-10										m a t
71-10										k t t i
76-10										h o k i
83-10										k a r i
87-10										s o n o
95-10										m i m i
98-10										s o r i
99-10										k o k i
-102-10										s a t t o
103-10										s u m i
110-10										k o
116-10										m k k a r i
120-10										m o n u
132-10										k o k u
139-10										k k o r o s u
140-10										k d o o o i
156-10										k o t o r u
168-10										k o k i
169-10										k o m u
170-10										m o k u
173-10										k o k i
180-10										k o m o
185-10										s t a i
186-10										m o t u r o
187-10										m o k i
190-10										k o k a a o
193-10										k o r u a
194-10										m i n a o
195-10										k o r a o
216-10										m o m u n
221-10										m a
239-10										k o k u
252-10										m o k u
253-10										m o k i
254-10										k o ts u i
266-10										k o i
267-10										m o t a r u r u
268-10										k o m i
272-10										k o m i a
276-10										k a n u u
281-10										m o s i
304-10										k o k t a o
305-10										k k a k i
308-10										s a m i
309-10										k o s o
310-10										k o
311-10										s k t i
342-10										m o k i
346-10										k o r a s a
347-10										k o r u
348-10										h k o r a o
351-10										k o s o
361-10										k a t t o r a o
379-10										k o s a n o
394-10										s k o t o r o
395-10										m o ŋ i
400-10										h k o ŋ o r u
412-10										s o k o r u
413-10										k k t a k a t a r u
414-10										k o r u
422-10										h o k a u r i r i
