COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
666-1	ŋ e ³¹								
595-1	t ʐ a ŋ ³⁵								
660-1	pʰ e p ⁵⁵								
642-1	t e ŋ ³⁵								
257-1	e a m ⁵⁵								
167-1	tɕ a ³¹								
880-1	t e p ⁵⁵								
484-1	n ʐ a ŋ ⁵⁵								
574-1	pʰ e o m ³¹								
718-1	pʰ e a ŋ ³¹								
811-1	x au ³¹								
458-1	t o ŋ ³¹								
884-1	t i ³⁵								
205-1	k o ʔ ³¹								
499-1	n a ⁵⁵								
706-1	pʰ a ⁵⁵								
920-1	pʰ o ŋ ³¹								
36-1	p e a ŋ ⁵⁵								
12-1	p ʐ i ⁵⁵								
350-1	l pʰ a ŋ ŋ ³⁵								
4-1	p ɔ ⁵⁵								
342-1	ʐ o ʔ ⁵⁵								
280-1	i ³⁵								
612-1	t ʐ a ŋ ³¹								
459-1	m ʐ ə ŋ ⁵⁵								
569-1	s ui m ³¹								
283-1	u ³⁵								
148-1	k e ³¹								
652-1	pʰ i ⁵⁵								
220-1	ɔ a ŋ ³¹								
562-1	pʰ e ə ŋ ³¹								
31-1	p e o ʔ ³¹								
386-1	m e t ³¹								
804-1	x ʐ o ŋ ³¹								
369-1	l ə ʔ ³¹								
125-1	t ʐ u ŋ ³¹								
314-1	x ʐ ʐ a ʔ ⁵⁵								
823-1	l a p ⁵⁵								
471-1	n e m ³¹								
40-1	p ʐ ə ŋ ³⁵								
393-1	m e ŋ ³⁵								
272-1	ɔ a ŋ ³⁵								
463-1	pʰ m u ⁵⁵								
1-1	p ɔ ⁵⁵								
214-1	l a m ³¹								
123-1	tʰ au m ⁵⁵								
512-1	pʰ e e ⁵⁵								
518-1	p ʐ o ⁵⁵								
878-1	t a ³¹								
849-1	p ɔ t ⁵⁵								
524-1	p o ʔ ⁵⁵								
90-1	t e m ³⁵								
541-1	ʂ a m ³¹								
933-1	ȵ̥ w u ³¹								
467-1	k e ³¹								
49-1	l ɔ ɔ ³¹								
822-1	l ɔ m ⁵⁵								
52-1	p ui ⁵⁵								
377-1	n e m ³¹								
127-1	ʈʂ a p ³¹								
67-1	t e t ⁵⁵								
864-1	p ʐ a ³¹								
126-1	ʈʂ ʐ o ʔ ³¹								
656-1	a m ³⁵								
635-1	kʰ o ʔ ⁵⁵								
473-1	l a m ⁵⁵								
98-1	ʂ w a ³¹								
445-1	m̥ ȵ u ⁵⁵								
379-1	l e m ⁵⁵								
665-2		ŋ o ⁵¹							
495-2		n i ⁵⁵							
838-2		j i ²¹							
438-2		m j o ʔ ⁵⁵							
334-2		l o ʔ ²¹							
360-2		l i̱ ²¹							
394-2		p j i̱ ²¹							
221-2		j i p ⁵⁵							
202-2		k i ²¹							
935-2		e ⁵⁵							
93-2		ts a̱ ŋ ⁵⁵							
7-2		p a n ²¹							
664-2		a̱ ŋ ⁵¹							
246-2		k j a ʔ ⁵⁵							
547-2		p j i k ⁵⁵							
555-2		j i m ⁵¹							
464-2		m i̱ ²¹							
119-2		j i̱ n ⁵¹							
835-2		p n a p ⁵⁵							
79-2		j i̱ ⁵⁵							
693-2		ŋ i̱ ⁵¹							
477-2		ŋ j a̱ ʔ ⁵⁵							
891-2		j ŋ e ²¹							
528-2		i e ⁵¹							
797-2		k j u k ⁵⁵							
493-2		n i k ²¹							
217-2		p j a p ⁵⁵							
896-2		i ⁵⁵							
452-2		m j i k ⁵¹							
580-2		p j i ⁵⁵							
833-2		n a̱ ⁵¹							
390-2		m j a ŋ ²¹							
696-2		ŋ j i̱ ⁵¹							
86-2		i ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		a m ⁵¹							
536-2		p j a̱ ʔ ⁵⁵							
731-2		i̱ ⁵⁵							
779-2		o ²¹							
589-2		kʰ a̱ ŋ ²¹							
680-2		ŋ a̱ ʔ ⁵⁵							
658-2		a̱ m ²¹							
456-2		m j a ŋ ²¹							
183-2		k j ui ⁵⁵							
785-2		kʰ o ²¹							
714-2		i ²¹							
331-2		l o ⁵⁵							
206-2		j o ⁵¹							
930-2		ŋ a̱ p ⁵⁵							
353-2		l i̱ ⁵¹							
161-2		k j a ŋ ⁵¹							
814-2		kʰ j i̱ ⁵⁵							
179-2		k j a a ui ²¹							
194-2		p j o ʔ ²¹							
727-2		a̱ ŋ ⁵¹							
260-2		kʰ j a p ⁵⁵							
144-2		k j a̱ m ⁵¹							
53-2		p i m ⁵¹							
59-2		ts o ʔ ²¹							
506-2		pʰ i ⁵⁵							
29-2		p i ²¹							
316-2		p j o ʔ ⁵¹							
389-2		m j a a ŋ ²¹							
118-2		m o ⁵⁵							
312-2		kʰ i e ⁵⁵							
490-2		ŋ j i̱ e ⁵⁵							
436-2		m j o ŋ ⁵⁵							
927-2		a n ⁵¹							
383-2		m o ʔ ⁵⁵							
211-2		j a m ⁵¹							
873-2		k i ŋ ²¹							
371-2		l i ŋ ²¹							
877-2		a ⁵⁵							
344-2		l a m ⁵¹							
666-2		ŋ a̱ ⁵⁵							
595-2		j a̱ ⁵⁵							
660-2		ts a̱ ʔ ²¹							
642-2		a ŋ ²¹							
257-2		kʰ j a m ⁵¹							
167-2		k j o ⁵⁵							
880-2		a p ⁵⁵							
337-2		i o ⁵¹							
484-2		n j a ŋ ⁵¹							
574-2		j i m ⁵⁵							
718-2		j a n ⁵⁵							
811-2		kʰ i ⁵⁵							
458-2		i ŋ ⁵⁵							
884-2		tʃ i ²¹							
205-2		k i ²¹							
499-2		n a ⁵¹							
706-2		a o ⁵¹							
920-2		i ŋ ⁵⁵							
36-2		p j a p ⁵¹							
12-2		p j i̱ ⁵¹							
350-2		l j a ŋ e ⁵⁵							
4-2		p a n ⁵¹							
342-2		j a k ²¹							
280-2		kʰ j i̱ ²¹							
638-2		p j a̱ ʔ ⁵⁵							
729-2		p j i̱ ²¹							
72-2		j a̱ ²¹							
612-2		j a ŋ ⁵⁵							
459-2		m j a ŋ ²¹							
569-2		k i̱ ⁵⁵							
283-2		kʰ j ui ⁵⁵							
501-2		pʰ a̱ ⁵⁵							
652-2		e ²¹							
220-2		ŋ j a ŋ ²¹							
233-2		j a ²¹							
562-2		j a ŋ ⁵⁵							
31-2		p j o ʔ ⁵⁵							
386-2		m a̱ k ²¹							
684-2		ŋ j o ʔ ²¹							
804-2		kʰ j a ŋ ⁵⁵							
618-2		ts i ⁵⁵							
565-2		ui ⁵⁵							
468-2		n o k ²¹							
369-2		l a̱ k ²¹							
314-2		k j a o ŋ ⁵⁵							
776-2		p j a k ⁵⁵							
170-2		k j a̱ ⁵⁵							
823-2		l a p ⁵⁵							
471-2		a m ²¹							
249-2		kʰ a̱ m ⁵¹							
367-2		l i̱ ⁵⁵							
414-2		m j i̱ ²¹							
503-2		p a̱ ⁵⁵							
40-2		p j a ŋ ⁵⁵							
647-2		i ⁵¹							
105-2		tʃ ui ⁵⁵							
141-2		k e ⁵¹							
272-2		kʰ j a ŋ ²¹							
463-2		m ui ⁵¹							
1-2		p o ⁵¹							
349-2		l j a̱ ŋ ²¹							
214-2		j a m ²¹							
841-2		n j i ⁵⁵							
123-2		k i ʔ ²¹							
646-2		i ⁵⁵							
433-2		m j i ŋ ⁵¹							
512-2		pʰ j a k ⁵⁵							
518-2		pʰ j e ²¹							
878-2		k a̱ ⁵⁵							
849-2		pʰ a t ⁵⁵							
524-2		pʰ i k ⁵⁵							
90-2		a̱ ⁵⁵							
541-2		k a n ⁵⁵							
933-2		ŋ j ui ⁵⁵							
164-2		k a̱ ŋ ²¹							
686-2		ŋ j a̱ p ⁵⁵							
467-2		ui ²¹							
201-2		k j i k ⁵¹							
784-2		p j a ⁵⁵							
487-2		ŋ j ui ⁵¹							
504-2		pʰ j o ʔ ⁵⁵							
49-2		p j i̱ ²¹							
822-2		l a̱ ʔ ⁵⁵							
52-2		p i ⁵⁵							
281-2		kʰ j au ⁵¹							
46-2		p j a̱ ⁵¹							
377-2		l i k ⁵⁵							
127-2		tʃ a p ²¹							
67-2		a p ⁵⁵							
192-2		k j a̱ ʔ ⁵⁵							
864-2		i a ²¹							
126-2		p j o ʔ ²¹							
546-2		k a̱ ŋ ⁵¹							
635-2		tʃ a̱ ui ²¹							
473-2		k a m ⁵¹							
3-2		p i o ⁵⁵							
98-2		k a o ⁵⁵							
445-2		m j i ⁵¹							
608-2		k a̱ m ⁵¹							
210-2		j o ʔ ²¹							
140-2		k j e ²¹							
868-2		k o ⁵⁵							
520-2		p j e ²¹							
166-2		k j a ²¹							
48-2		p j a ŋ ⁵¹							
270-2		kʰ j a̱ ŋ ⁵¹							
379-2		l i̱ t ⁵⁵							
55-2		ts i ²¹							
665-3			ŋ a ⁵⁵						
495-3			ŋ a ³⁵						
838-3			n u ⁵⁵						
438-3			m j a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l a ³¹						
394-3			ŋ j u ³¹						
221-3			j a ⁵⁵						
202-3			k a ³¹						
935-3			ui ³¹						
93-3			k u ³¹						
7-3			p u ³¹						
664-3			v ɔ̃ ³¹						
246-3			k u ʔ ³¹						
547-3			j a k ⁵⁵						
555-3			j a m ⁵⁵						
464-3			m a ³¹						
119-3			j a ŋ ³⁵						
835-3			n ɛ̱ ʔ ⁵⁵						
79-3			t u ³¹						
693-3			ŋ a ³⁵						
477-3			ŋ ɛ ʔ ³¹						
891-3			t j ŋ ³⁵						
528-3			u i ⁵⁵						
797-3			k j a k ⁵⁵						
493-3			ŋ a k ⁵⁵						
217-3			j ɛ ʔ ³¹						
896-3			k a ³¹						
452-3			m j a k ³¹						
580-3			j a ⁵⁵						
833-3			n u ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			ŋ ui ⁵⁵						
86-3			t a ŋ ³¹						
384-3			m u ³⁵						
61-3			t ɛ̃ ³¹						
536-3			j u ʔ ³¹						
779-3			a ⁵⁵						
589-3			tʰ ɔ̃ ³⁵						
680-3			ŋ u ʔ ³¹						
456-3			m j ɔ̃ ³¹						
183-3			k u i ³¹						
785-3			kʰ a ³¹						
331-3			l a ³¹						
206-3			j a ⁵⁵						
930-3			ŋ ɛ̱ ʔ ³⁵						
353-3			k a ⁵⁵						
161-3			k ɔ̃ ⁵⁵						
179-3			k j a u ʔ ³¹						
194-3			j a ʔ ³¹						
727-3			ʃ ɔ̃ ³¹						
260-3			kʰ j ɛ ʔ ³¹						
144-3			k ɛ̃ ⁵⁵						
53-3			p a ⁵⁵						
59-3			t a ʔ ³¹						
506-3			pʰ a k ⁵⁵						
29-3			p a k ⁵⁵						
316-3			tʰ a ʔ ³¹						
312-3			kʰ i ³¹						
436-3			m j a ³¹						
927-3			ŋ a̱ ⁵⁵						
383-3			m a ʔ ³¹						
211-3			j ɛ̃ ⁵⁵						
873-3			k a ŋ ⁵⁵						
371-3			k a ŋ ³¹						
877-3			s ɛ ³⁵						
344-3			l ɛ̃ ⁵⁵						
666-3			ŋ ɔ̆ ³¹						
595-3			tʰ ɔ̃ ³⁵						
660-3			v ɛ ʔ ³¹						
642-3			tʃʰ ɔ̃ ³⁵						
257-3			kʰ j ɛ̃ ⁵⁵						
167-3			k j a ³¹						
880-3			tʃ ɛ̱ ʔ ³⁵						
337-3			u a ⁵⁵						
484-3			ŋ ɔ̃ ⁵⁵						
574-3			v j a m ³¹						
718-3			ʃ u ³¹						
811-3			k a ³¹						
458-3			tʰ a ŋ ³¹						
884-3			t a̱ ³⁵						
205-3			k a k ⁵⁵						
499-3			ŋ ɛ ⁵⁵						
706-3			u a ⁵⁵						
920-3			a ŋ ³¹						
36-3			p j ɔ̃ ³⁵						
12-3			p u ⁵⁵						
350-3			l ɔ̃ ³⁵						
4-3			p u ⁵⁵						
342-3			a k ⁵⁵						
638-3			tʃʰ ɛ ʔ ³¹						
729-3			ʃ u ʔ ³⁵						
72-3			t ɔ̃ ³¹						
283-3			kʰ j u̱ ³⁵						
501-3			p u ³⁵						
148-3			k a ³¹						
220-3			j ɔ̃ ³¹						
233-3			j u k ³¹						
31-3			p j a ʔ ⁵⁵						
386-3			m ɛ ʔ ³¹						
684-3			ŋ j a ʔ ³¹						
804-3			kʰ j a ŋ ³¹						
618-3			tʃʰ u ³¹						
565-3			ʃ ɔ̆ ³¹						
468-3			n a ʔ ⁵⁵						
369-3			l a k ⁵⁵						
776-3			ʃ u k ⁵⁵						
170-3			k j u ³⁵						
823-3			l ɛ̱ ʔ ⁵⁵						
249-3			kʰ ɛ̃ ⁵⁵						
414-3			m j i u ³⁵						
647-3			tʃʰ i ⁵⁵						
105-3			k i ³¹						
393-3			m ɔ̃ ³⁵						
141-3			k ai ⁵⁵						
272-3			kʰ j ɔ̃ ³⁵						
463-3			v u u̱ ⁵⁵						
1-3			p a ⁵⁵						
349-3			l ɔ̃ ³¹						
214-3			j ɛ̃ ³¹						
841-3			n a̱ ⁵⁵						
646-3			tʃʰ u ³¹						
433-3			m a ŋ ⁵⁵						
512-3			v j a ⁵⁵						
878-3			t a̱ ³¹						
524-3			pʰ a k ³¹						
668-3			ŋ ai ⁵⁵						
164-3			k ɔ̃ ³¹						
686-3			ŋ j ɛ ʔ ³¹						
201-3			k j u kʰ ³¹						
784-3			j a̱ k ⁵⁵						
487-3			ŋ u i ⁵⁵						
504-3			pʰ a ʔ ³¹						
49-3			p u ³¹						
822-3			l u ʔ ³¹						
52-3			p a ⁵⁵						
281-3			kʰ j u ⁵⁵						
46-3			p j u ŋ ³¹						
127-3			tʃ ɛ ʔ ³¹						
192-3			k j u ʔ ³¹						
126-3			tʃ a ʔ ⁵⁵						
656-3			v ɛ̃ ³⁵						
546-3			s ɔ̃ ⁵⁵						
473-3			n ɛ̃ ⁵⁵						
3-3			p a ³⁵						
608-3			k ɛ̃ ⁵⁵						
210-3			j a ʔ ³¹						
868-3			a ³¹						
166-3			k a k ⁵⁵						
48-3			p j u ŋ ⁵⁵						
270-3			kʰ j ɔ̃ ⁵⁵						
379-3			l u ³⁵						
55-3			p a ⁵⁵						
665-4				ŋ a ³¹					
495-4				n a ⁵⁵					
838-4				a a a ³¹					
438-4				tʃ j a a ³¹					
334-4				l a a ³¹					
360-4				l a ³¹					
394-4				m a ³¹					
221-4				j a p ⁵⁵					
202-4				k u ³¹					
935-4				u ³¹					
93-4				tʃ a ⁵⁵					
7-4				p a ³¹					
664-4				tʃ a ŋ ³¹					
246-4				k a ŋ ³¹					
547-4				a a k ⁵⁵					
555-4				j ə̱ m ³¹					
464-4				m a ³¹					
119-4				m a a ŋ ⁵⁵					
835-4				n a pʰ ⁵⁵					
79-4				t a ³¹					
693-4				ŋ a ³¹					
477-4				ŋ a pʰ ⁵⁵					
891-4				t ə̱ ŋ ⁵⁵					
528-4				a a ³¹					
797-4				k j a a ⁵⁵					
493-4				n a k ³¹					
217-4				j a pʰ ³¹					
896-4				tʃ ə̱ t ⁵⁵					
452-4				m j a a ³¹					
580-4				ŋ a a ⁵⁵					
833-4				n a ³¹					
390-4				m a ŋ ³¹					
696-4				ŋ a ³¹					
86-4				t a ŋ ³¹					
384-4				m a ⁵⁵					
61-4				tʃ a ³¹					
536-4				a a n ³¹					
731-4				tʃ aːu a ³¹					
779-4				a ³¹					
589-4				kʰ a ŋ ³¹					
680-4				ŋ a a ⁵⁵					
658-4				tʃ a̱ m ³¹					
456-4				m j a ŋ ³¹					
183-4				k a ³¹					
785-4				kʰ a ³¹					
714-4				tʃ ə̱ t ³¹					
331-4				l a ³¹					
206-4				j a ³¹					
930-4				ŋ a pʰ ⁵⁵					
353-4				l a ³¹					
161-4				k a ŋ ³¹					
814-4				kʰ a aːu a ³¹					
179-4				a a ³¹ ³¹					
194-4				a a a ³¹					
727-4				tʃ a ŋ ³¹					
260-4				kʰ j a pʰ ⁵⁵					
144-4				k a̱ m ³¹					
53-4				p a̱ m ³¹					
59-4				t a a ³¹					
506-4				pʰ ɛː k ⁵⁵					
29-4				p a k ³¹					
316-4				tʃ j a ⁵⁵					
389-4				m a a a ³¹ ³¹					
118-4				m a a ⁵⁵					
312-4				kʰ a ³¹					
490-4				ŋ a a a ³¹ ⁵⁵					
436-4				m j a ³¹					
927-4				ŋ ə̱ ³¹					
383-4				m a a ³¹					
211-4				j a̱ m ³¹					
873-4				tʃ a ŋ ³¹					
371-4				l ɛː ŋ ³¹					
877-4				a ɛː ⁵⁵					
344-4				l a̱ m ³¹					
666-4				ŋ a ³¹					
595-4				tʃ a ŋ ³¹					
660-4				tʃ a pʰ ³¹					
642-4				tʃ a ŋ ³¹					
257-4				kʰ j a̱ m ³¹					
167-4				k j a ³¹					
880-4				tʃ a pʰ ⁵⁵					
337-4				a a ³¹					
484-4				n a ŋ ³¹					
574-4				a u m ³¹					
718-4				a a n ³¹					
811-4				kʰ a ³¹					
458-4				tʃ a ŋ ³¹					
884-4				p ə̱ ⁵⁵					
499-4				n ɛː ³¹					
706-4				a a ³¹					
920-4				a ŋ ³¹					
36-4				p j a ŋ ³¹					
12-4				p a ³¹					
350-4				l a ŋ ³¹ ⁵⁵					
4-4				p a ⁵⁵					
342-4				tʃ a a ³¹					
280-4				tʃ a a a ³¹					
638-4				a a pʰ ⁵⁵					
729-4				a a ³¹					
72-4				tʃ a ³¹					
612-4				tʃ a a ŋ ³¹					
459-4				m a a ŋ ³¹					
569-4				tʃ aːu a ³¹					
283-4				kʰ j aːu ³¹					
501-4				p a ⁵⁵					
148-4				tʃ a a ³¹					
220-4				j a ŋ ³¹					
233-4				j a a ³¹					
562-4				tʃ a a n ³¹					
386-4				m a a ³¹					
684-4				ŋ j a a ³¹					
804-4				kʰ j a ŋ ³¹					
618-4				tʃ a ³¹					
565-4				a a ⁵⁵					
468-4				n a a ³¹					
369-4				l a k ³¹					
125-4				tʃ a a a ³¹					
314-4				tʃ a̱ m a ³¹ ⁵⁵					
776-4				a a a ⁵⁵					
170-4				k j a ⁵⁵					
823-4				l a pʰ ⁵⁵					
471-4				n a̱ m ³¹					
249-4				kʰ a̱ m ³¹					
367-4				l ə̱ a ³¹					
414-4				m a ³¹ ⁵⁵					
503-4				pʰ a ³¹					
40-4				pʰ a a ŋ ⁵⁵					
647-4				tʃ a ³¹					
105-4				a a ³¹					
393-4				tʃ a ³¹					
141-4				k ɛː ³¹					
272-4				kʰ j a ŋ ⁵⁵					
463-4				m a ³¹					
1-4				p a ³¹					
349-4				l a ŋ ³¹					
214-4				j a̱ m ³¹					
841-4				n ə̱ t ⁵⁵					
123-4				t a t ³¹					
646-4				tʃ a ³¹					
433-4				m a ŋ ³¹					
512-4				tʃ j a k ⁵⁵					
518-4				pʰ a a ³¹					
878-4				a a ³¹					
849-4				pʰ a t ⁵⁵					
524-4				pʰ a a ³¹					
90-4				tʃ a a ⁵⁵					
541-4				tʃ a n ³¹					
933-4				ŋ a a ³¹					
668-4				ŋ a ³¹					
164-4				k a ŋ ³¹					
686-4				ŋ j a p ³¹					
467-4				n a ³¹					
201-4				k j a a ³¹					
784-4				j ə̱ k ⁵⁵					
487-4				tʃ a ⁵⁵					
504-4				pʰ a a ⁵⁵					
49-4				p u ³¹					
822-4				l a a ⁵⁵					
52-4				pʰ a a ⁵⁵					
281-4				kʰ j aːu ³¹					
46-4				p j a ³¹					
377-4				n a a ⁵⁵					
127-4				tʃ a pʰ ³¹					
67-4				t a t ³¹					
192-4				k j a a ⁵⁵					
126-4				tʃ a a ³¹					
656-4				tʃ a ³¹					
546-4				tʃ a ŋ ³¹					
635-4				tʃ a a ⁵⁵					
473-4				n a̱ m ³¹					
3-4				p a ³¹					
98-4				tʃ a a ³¹					
608-4				tʃ a ³¹					
210-4				j a a ³¹					
140-4				tʃ a a ³¹					
868-4				a a ³¹					
520-4				pʰ a a ³¹					
48-4				p j a ŋ ³¹					
270-4				kʰ j a ŋ ³¹					
379-4				tʃ a a ⁵⁵					
665-5					ŋ ɔ ³¹				
495-5					n u̱ k ⁵⁵				
838-5					l a k ³⁵				
438-5					m j ɔ ʔ ³¹				
334-5					l ɔ ʔ ³¹				
360-5					l i ⁵⁵				
394-5					k i k ⁵⁵				
221-5					j a̱ ʔ ³¹				
202-5					kʰ u̱ ⁵⁵				
935-5					ui ³⁵				
93-5					ts ɔ ⁵⁵				
7-5					p ɛ̃ ³⁵				
664-5					v ɔ̃ ³¹				
246-5					k ɔ̱ ʔ ³¹				
547-5					ʃ a k ³¹				
555-5					j a m ³¹				
464-5					m u̱ k ⁵⁵				
119-5					u a ŋ ³¹				
835-5					n ɛ̱ ʔ ³¹				
79-5					t ɔ̃ ⁵⁵				
693-5					ŋ u̱ k ³¹				
477-5					n ɛ ʔ ³¹				
891-5					t a ŋ ⁵⁵				
528-5					j ɔ̃ ³¹				
797-5					k j au ʔ ³¹				
493-5					n a k ³¹				
217-5					j ɛ ʔ ³¹				
896-5					ts a̱ t ⁵⁵				
452-5					m j a̱ ʔ ³¹				
580-5					ŋ a̱ ʔ ³¹				
833-5					n ɔ̱ ³¹				
390-5					m ɔ̃ ³⁵				
696-5					ŋ ɔ̃ ³¹				
86-5					t a ŋ ³¹				
384-5					m ɛ̃ ⁵⁵				
61-5					t ɛ̃ ³¹				
536-5					ʃ ɔ ʔ ³¹				
731-5					s i k ⁵⁵				
779-5					ɔ ³¹				
589-5					t ɔ̃ ³¹				
680-5					ŋ ɔ̱ ʔ ⁵⁵				
658-5					v ɛ̃ m ³¹				
456-5					m j ɔ̃ k ³⁵				
785-5					kʰ ɔ ³⁵				
714-5					l u k ³¹				
331-5					l ɔ ³⁵				
206-5					j ɔ ³¹				
930-5					ŋ ɛ̱ ʔ ⁵⁵				
353-5					l i ³¹				
161-5					k ɔ̃ k ³¹				
814-5					k u k ⁵⁵				
194-5					j ɔ ʔ ³¹				
727-5					ʃ ɔ̃ ³¹				
260-5					kʰ j ɛ ʔ ³¹				
144-5					k ɛ̃ k ³¹				
53-5					p ɔ m ³¹				
59-5					t ɔ ʔ ³¹				
506-5					pʰ a k ³¹				
29-5					p a k ³¹				
316-5					t k ɔ ʔ ³¹				
389-5					m j k ɔ̱̃ ³¹				
118-5					m ɔ k ⁵⁵				
312-5					kʰ ɔ̃ ³⁵				
490-5					l i k ⁵⁵				
436-5					m j ɔ k ⁵⁵				
927-5					ŋ ɛ̃ ³¹				
383-5					m ɔ ʔ ³¹				
211-5					j ɛ̃ k ³¹				
873-5					x a ŋ ³¹				
371-5					l a ŋ ³⁵				
877-5					ʃ ɛ ⁵⁵				
344-5					l ɛ̃ ³¹				
595-5					t ɔ̃ ³¹				
660-5					v ɛ ʔ ³¹				
642-5					tʰ ɔ̃ ⁵⁵				
257-5					kʰ j ɛ̃ k ³¹				
167-5					k j ɔ ³⁵				
880-5					t ɛ̱ ʔ ⁵⁵				
337-5					u ɔ ³¹				
484-5					n ɔ̃ ³¹				
718-5					ʃ ɔ̃ n ³⁵				
458-5					tʰ a ŋ ³⁵				
884-5					tʰ i ⁵⁵				
205-5					kʰ a̱ ʔ ³¹				
499-5					n ɛ ³¹				
706-5					ʃ ɔ ³¹				
920-5					a ŋ ³⁵				
36-5					p j ɔ̃ k ³¹				
12-5					p i k ³¹				
350-5					l ɔ̃ ⁵⁵				
4-5					p ɛ̃ ³¹				
342-5					j au ʔ ³¹				
280-5					k j ai k ⁵⁵				
638-5					tʃʰ ɛ ʔ ⁵⁵				
729-5					ʃ i ³¹				
72-5					t ɔ̃ ³⁵				
612-5					t k ɔ̱̃ ³⁵				
459-5					m j a ŋ ³¹				
569-5					s u k ⁵⁵				
148-5					kʰ a ʔ ³⁵				
652-5					v ai ³¹				
220-5					j ɔ̃ k ³⁵				
233-5					j a̱ ʔ ³¹				
562-5					k s a ŋ ³⁵				
31-5					p j a ʔ ³¹				
386-5					m ɛ ʔ ³¹				
684-5					ŋ j ɔ ʔ ³¹				
618-5					tʃʰ u ⁵⁵				
468-5					n ɔ ʔ ³¹				
369-5					l a k ³¹				
125-5					t k u k ⁵⁵				
314-5					k j ɔ k ³¹				
776-5					ʃ a̱ ʔ ⁵⁵				
823-5					l ɛ̱ ʔ ³¹				
249-5					kʰ ɛ̃ ³¹				
367-5					l i k ⁵⁵				
503-5					p ɔ ³⁵				
40-5					p j a ŋ ⁵⁵				
393-5					m ɔ̃ ³¹				
141-5					kʰ ai ³¹				
272-5					kʰ j ɔ̃ k ³¹				
1-5					p ɔ ³¹				
349-5					l ɔ̃ ³⁵				
214-5					j ɛ̃ k ³⁵				
841-5					n u ⁵⁵				
123-5					t u k ³¹				
646-5					tʰ i ⁵⁵				
433-5					m a ŋ ³¹				
512-5					k j ɔ ³¹				
518-5					pʰ j u ³¹				
878-5					t ɔ̱ ³⁵				
524-5					pʰ a̱ ʔ ³¹				
90-5					t ɔ k ⁵⁵				
541-5					s ɛ̃ u ³⁵				
668-5					ŋ ai ³¹				
164-5					kʰ ɔ̃ ³⁵				
686-5					ŋ j ɛ ʔ ³¹				
784-5					j a̱ k ⁵⁵				
504-5					pʰ ɔ ʔ ⁵⁵				
49-5					p u ³⁵				
822-5					l ɔ̱ ʔ ³¹				
52-5					p ɔ ʔ ³¹				
281-5					kʰ j u k ³¹				
