index	index_p	rindex	rindex_p	cogid	id_Achang	segment_Achang	segment_Achang_L1	segment_Achang_L2	segment_Achang_L3	segment_Achang_R1	segment_Achang_R2	segment_Achang_R3	SC_Achang	SC_Achang_L1	SC_Achang_L2	SC_Achang_L3	SC_Achang_R1	SC_Achang_R2	SC_Achang_R3	PROSODY_Achang	PROSODY_Achang_L1	PROSODY_Achang_L2	PROSODY_Achang_L3	PROSODY_Achang_R1	PROSODY_Achang_R2	PROSODY_Achang_R3	id_Bela	segment_Bela	segment_Bela_L1	segment_Bela_L2	segment_Bela_L3	segment_Bela_R1	segment_Bela_R2	segment_Bela_R3	SC_Bela	SC_Bela_L1	SC_Bela_L2	SC_Bela_L3	SC_Bela_R1	SC_Bela_R2	SC_Bela_R3	PROSODY_Bela	PROSODY_Bela_L1	PROSODY_Bela_L2	PROSODY_Bela_L3	PROSODY_Bela_R1	PROSODY_Bela_R2	PROSODY_Bela_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_Phon	segment_Phon	segment_Phon_L1	segment_Phon_L2	segment_Phon_L3	segment_Phon_R1	segment_Phon_R2	segment_Phon_R3	SC_Phon	SC_Phon_L1	SC_Phon_L2	SC_Phon_L3	SC_Phon_R1	SC_Phon_R2	SC_Phon_R3	PROSODY_Phon	PROSODY_Phon_L1	PROSODY_Phon_L2	PROSODY_Phon_L3	PROSODY_Phon_R1	PROSODY_Phon_R2	PROSODY_Phon_R3	id_WrittenBurmese	segment_WrittenBurmese	segment_WrittenBurmese_L1	segment_WrittenBurmese_L2	segment_WrittenBurmese_L3	segment_WrittenBurmese_R1	segment_WrittenBurmese_R2	segment_WrittenBurmese_R3	SC_WrittenBurmese	SC_WrittenBurmese_L1	SC_WrittenBurmese_L2	SC_WrittenBurmese_L3	SC_WrittenBurmese_R1	SC_WrittenBurmese_R2	SC_WrittenBurmese_R3	PROSODY_WrittenBurmese	PROSODY_WrittenBurmese_L1	PROSODY_WrittenBurmese_L2	PROSODY_WrittenBurmese_L3	PROSODY_WrittenBurmese_R1	PROSODY_WrittenBurmese_R2	PROSODY_WrittenBurmese_R3	id_Zaiwa	segment_Zaiwa	segment_Zaiwa_L1	segment_Zaiwa_L2	segment_Zaiwa_L3	segment_Zaiwa_R1	segment_Zaiwa_R2	segment_Zaiwa_R3	SC_Zaiwa	SC_Zaiwa_L1	SC_Zaiwa_L2	SC_Zaiwa_L3	SC_Zaiwa_R1	SC_Zaiwa_R2	SC_Zaiwa_R3	PROSODY_Zaiwa	PROSODY_Zaiwa_L1	PROSODY_Zaiwa_L2	PROSODY_Zaiwa_L3	PROSODY_Zaiwa_R1	PROSODY_Zaiwa_R2	PROSODY_Zaiwa_R3
2	0.5000	3	0.7500	13	6	a	k	∅	∅	n	²	∅	A	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																													7	e	g	∅	∅	n	⁴	∅	E	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																													8	a	g	∅	∅	n	²	∅	A	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅
3	0.7500	2	0.5000	13	6	n	a	k	∅	²	∅	∅	N	A	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																													7	n	e	g	∅	⁴	∅	∅	N	E	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																													8	n	a	g	∅	²	∅	∅	N	A	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	13	6	²	n	a	k	∅	∅	∅	_	N	A	K	∅	∅	∅	0	4	7	1	∅	∅	∅																																													7	⁴	n	e	g	∅	∅	∅	_	N	E	K	∅	∅	∅	0	4	7	1	∅	∅	∅																																													8	²	n	a	g	∅	∅	∅	_	N	A	K	∅	∅	∅	0	4	7	1	∅	∅	∅
1	0.1667	6	1.0000	14																																													9	-	∅	∅	∅	l	-	æ̰	_	∅	∅	∅	L	_	E	0	∅	∅	∅	5	0	7																																													10	h	∅	∅	∅	l	j	a	H	∅	∅	∅	L	J	A	3	∅	∅	∅	5	6	7	11	-	∅	∅	∅	l	-	a̰	_	∅	∅	∅	L	_	A	0	∅	∅	∅	5	0	7
2	0.3333	5	0.8333	14																																													9	l	-	∅	∅	-	æ̰	p	L	_	∅	∅	_	E	P	5	0	∅	∅	0	7	1																																													10	l	h	∅	∅	j	a	p	L	H	∅	∅	J	A	P	5	3	∅	∅	6	7	1	11	l	-	∅	∅	-	a̰	p	L	_	∅	∅	_	A	P	5	0	∅	∅	0	7	1
3	0.5000	4	0.6667	14																																													9	-	l	-	∅	æ̰	p	⁵³	_	L	_	∅	E	P	_	0	5	0	∅	7	1	0																																													10	j	l	h	∅	a	p	-	J	L	H	∅	A	P	_	6	5	3	∅	7	1	0	11	-	l	-	∅	a̰	p	⁴	_	L	_	∅	A	P	_	0	5	0	∅	7	1	0
4	0.6667	3	0.5000	14																																													9	æ̰	-	l	-	p	⁵³	∅	E	_	L	_	P	_	∅	7	0	5	0	1	0	∅																																													10	a	j	l	h	p	-	∅	A	J	L	H	P	_	∅	7	6	5	3	1	0	∅	11	a̰	-	l	-	p	⁴	∅	A	_	L	_	P	_	∅	7	0	5	0	1	0	∅
5	0.8333	2	0.3333	14																																													9	p	æ̰	-	l	⁵³	∅	∅	P	E	_	L	_	∅	∅	1	7	0	5	0	∅	∅																																													10	p	a	j	l	-	∅	∅	P	A	J	L	_	∅	∅	1	7	6	5	0	∅	∅	11	p	a̰	-	l	⁴	∅	∅	P	A	_	L	_	∅	∅	1	7	0	5	0	∅	∅
6	1.0000	1	0.1667	14																																													9	⁵³	p	æ̰	-	∅	∅	∅	_	P	E	_	∅	∅	∅	0	1	7	0	∅	∅	∅																																													10	-	p	a	j	∅	∅	∅	_	P	A	J	∅	∅	∅	0	1	7	6	∅	∅	∅	11	⁴	p	a̰	-	∅	∅	∅	_	P	A	_	∅	∅	∅	0	1	7	0	∅	∅	∅
1	0.1667	6	1.0000	15																																													12	g	∅	∅	∅	-	w	ɛ	K	∅	∅	∅	_	W	E	1	∅	∅	∅	0	6	7																																													13	k	∅	∅	∅	r	w	iː	K	∅	∅	∅	R	W	I	1	∅	∅	∅	5	6	7	14	g	∅	∅	∅	-	-	u	K	∅	∅	∅	_	_	Y	1	∅	∅	∅	0	0	7
2	0.3333	5	0.8333	15																																													12	-	g	∅	∅	w	ɛ	m	_	K	∅	∅	W	E	M	0	1	∅	∅	6	7	4																																													13	r	k	∅	∅	w	iː	-	R	K	∅	∅	W	I	_	5	1	∅	∅	6	7	0	14	-	g	∅	∅	-	u	m	_	K	∅	∅	_	Y	M	0	1	∅	∅	0	7	4
3	0.5000	4	0.6667	15																																													12	w	-	g	∅	ɛ	m	³	W	_	K	∅	E	M	_	6	0	1	∅	7	4	0																																													13	w	r	k	∅	iː	-	-	W	R	K	∅	I	_	_	6	5	1	∅	7	0	0	14	-	-	g	∅	u	m	⁵³	_	_	K	∅	Y	M	_	0	0	1	∅	7	4	0
4	0.6667	3	0.5000	15																																													12	ɛ	w	-	g	m	³	∅	E	W	_	K	M	_	∅	7	6	0	1	4	0	∅																																													13	iː	w	r	k	-	-	∅	I	W	R	K	_	_	∅	7	6	5	1	0	0	∅	14	u	-	-	g	m	⁵³	∅	Y	_	_	K	M	_	∅	7	0	0	1	4	0	∅
5	0.8333	2	0.3333	15																																													12	m	ɛ	w	-	³	∅	∅	M	E	W	_	_	∅	∅	4	7	6	0	0	∅	∅																																													13	-	iː	w	r	-	∅	∅	_	I	W	R	_	∅	∅	0	7	6	5	0	∅	∅	14	m	u	-	-	⁵³	∅	∅	M	Y	_	_	_	∅	∅	4	7	0	0	0	∅	∅
6	1.0000	1	0.1667	15																																													12	³	m	ɛ	w	∅	∅	∅	_	M	E	W	∅	∅	∅	0	4	7	6	∅	∅	∅																																													13	-	-	iː	w	∅	∅	∅	_	_	I	W	∅	∅	∅	0	0	7	6	∅	∅	∅	14	⁵³	m	u	-	∅	∅	∅	_	M	Y	_	∅	∅	∅	0	4	7	0	∅	∅	∅
1	0.2500	4	1.0000	17																																													15	p	∅	∅	∅	a	ŋ	⁵³	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	16	b	∅	∅	∅	a	ʔ	²¹	P	∅	∅	∅	A	H	_	1	∅	∅	∅	7	1	0																																																																		
2	0.5000	3	0.7500	17																																													15	a	p	∅	∅	ŋ	⁵³	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	16	a	b	∅	∅	ʔ	²¹	∅	A	P	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																																																																		
3	0.7500	2	0.5000	17																																													15	ŋ	a	p	∅	⁵³	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅	16	ʔ	a	b	∅	²¹	∅	∅	H	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																																																		
4	1.0000	1	0.2500	17																																													15	⁵³	ŋ	a	p	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅	16	²¹	ʔ	a	b	∅	∅	∅	_	H	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																																																		
1	0.3333	3	1.0000	25	17	j	∅	∅	∅	ɔ	³¹	∅	J	∅	∅	∅	U	_	∅	6	∅	∅	∅	7	0	∅																							18	j	∅	∅	∅	ɔ	⁴²	∅	J	∅	∅	∅	U	_	∅	6	∅	∅	∅	7	0	∅																																																																																								
2	0.6667	2	0.6667	25	17	ɔ	j	∅	∅	³¹	∅	∅	U	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅																							18	ɔ	j	∅	∅	⁴²	∅	∅	U	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅																																																																																								
3	1.0000	1	0.3333	25	17	³¹	ɔ	j	∅	∅	∅	∅	_	U	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅																							18	⁴²	ɔ	j	∅	∅	∅	∅	_	U	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅																																																																																								
1	0.3333	3	1.0000	26																							19	m	∅	∅	∅	a	²³	∅	M	∅	∅	∅	A	_	∅	4	∅	∅	∅	7	0	∅																							20	m	∅	∅	∅	ɔ	³⁵	∅	M	∅	∅	∅	U	_	∅	4	∅	∅	∅	7	0	∅																																													21	m	∅	∅	∅	a	³	∅	M	∅	∅	∅	A	_	∅	4	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	26																							19	a	m	∅	∅	²³	∅	∅	A	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							20	ɔ	m	∅	∅	³⁵	∅	∅	U	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																													21	a	m	∅	∅	³	∅	∅	A	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅
3	1.0000	1	0.3333	26																							19	²³	a	m	∅	∅	∅	∅	_	A	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							20	³⁵	ɔ	m	∅	∅	∅	∅	_	U	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																													21	³	a	m	∅	∅	∅	∅	_	A	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅
1	0.2000	5	1.0000	31	22	d	∅	∅	∅	z	o̰	ŋ	T	∅	∅	∅	S	U	N	1	∅	∅	∅	3	7	4	23	-	∅	∅	∅	ts	a	ŋ	_	∅	∅	∅	C	A	N	0	∅	∅	∅	2	7	4	24	-	∅	∅	∅	ts	o̰	ŋ	_	∅	∅	∅	C	U	N	0	∅	∅	∅	2	7	4																																																																																								
2	0.4000	4	0.8000	31	22	z	d	∅	∅	o̰	ŋ	³²	S	T	∅	∅	U	N	_	3	1	∅	∅	7	4	0	23	ts	-	∅	∅	a	ŋ	³	C	_	∅	∅	A	N	_	2	0	∅	∅	7	4	0	24	ts	-	∅	∅	o̰	ŋ	³²	C	_	∅	∅	U	N	_	2	0	∅	∅	7	4	0																																																																																								
3	0.6000	3	0.6000	31	22	o̰	z	d	∅	ŋ	³²	∅	U	S	T	∅	N	_	∅	7	3	1	∅	4	0	∅	23	a	ts	-	∅	ŋ	³	∅	A	C	_	∅	N	_	∅	7	2	0	∅	4	0	∅	24	o̰	ts	-	∅	ŋ	³²	∅	U	C	_	∅	N	_	∅	7	2	0	∅	4	0	∅																																																																																								
4	0.8000	2	0.4000	31	22	ŋ	o̰	z	d	³²	∅	∅	N	U	S	T	_	∅	∅	4	7	3	1	0	∅	∅	23	ŋ	a	ts	-	³	∅	∅	N	A	C	_	_	∅	∅	4	7	2	0	0	∅	∅	24	ŋ	o̰	ts	-	³²	∅	∅	N	U	C	_	_	∅	∅	4	7	2	0	0	∅	∅																																																																																								
5	1.0000	1	0.2000	31	22	³²	ŋ	o̰	z	∅	∅	∅	_	N	U	S	∅	∅	∅	0	4	7	3	∅	∅	∅	23	³	ŋ	a	ts	∅	∅	∅	_	N	A	C	∅	∅	∅	0	4	7	2	∅	∅	∅	24	³²	ŋ	o̰	ts	∅	∅	∅	_	N	U	C	∅	∅	∅	0	4	7	2	∅	∅	∅																																																																																								
1	0.3333	3	1.0000	32	25	t	∅	∅	∅	ḭ	³²	∅	T	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅	26	p	∅	∅	∅	i	³	∅	P	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅	27	b	∅	∅	∅	i	³²	∅	P	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅																																																																																								
2	0.6667	2	0.6667	32	25	ḭ	t	∅	∅	³²	∅	∅	I	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	26	i	p	∅	∅	³	∅	∅	I	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	27	i	b	∅	∅	³²	∅	∅	I	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																																								
3	1.0000	1	0.3333	32	25	³²	ḭ	t	∅	∅	∅	∅	_	I	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	26	³	i	p	∅	∅	∅	∅	_	I	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	27	³²	i	b	∅	∅	∅	∅	_	I	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																																								
1	0.3333	3	1.0000	33	28	dʒ	∅	∅	∅	ei	⁴²	∅	T	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																																																																			29	tsʰ	∅	∅	∅	i	⁵⁵	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅	30	r	∅	∅	∅	e	-	∅	R	∅	∅	∅	E	_	∅	5	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	33	28	ei	dʒ	∅	∅	⁴²	∅	∅	E	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																			29	i	tsʰ	∅	∅	⁵⁵	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅	30	e	r	∅	∅	-	∅	∅	E	R	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	33	28	⁴²	ei	dʒ	∅	∅	∅	∅	_	E	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																			29	⁵⁵	i	tsʰ	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅	30	-	e	r	∅	∅	∅	∅	_	E	R	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅																						
1	0.3333	3	1.0000	43	31	l	∅	∅	∅	a̰u	⁵¹	∅	L	∅	∅	∅	A	_	∅	5	∅	∅	∅	7	0	∅																							32	l	∅	∅	∅	au	⁵¹	∅	L	∅	∅	∅	A	_	∅	5	∅	∅	∅	7	0	∅																																																																			33	l	∅	∅	∅	au	⁵³	∅	L	∅	∅	∅	A	_	∅	5	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	43	31	a̰u	l	∅	∅	⁵¹	∅	∅	A	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅																							32	au	l	∅	∅	⁵¹	∅	∅	A	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅																																																																			33	au	l	∅	∅	⁵³	∅	∅	A	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅
3	1.0000	1	0.3333	43	31	⁵¹	a̰u	l	∅	∅	∅	∅	_	A	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅																							32	⁵¹	au	l	∅	∅	∅	∅	_	A	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅																																																																			33	⁵³	au	l	∅	∅	∅	∅	_	A	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅
1	0.3333	3	1.0000	45	34	s	∅	∅	∅	i	⁵	∅	S	∅	∅	∅	I	_	∅	3	∅	∅	∅	7	0	∅																																																																																									35	s	∅	∅	∅	a	-	∅	S	∅	∅	∅	A	_	∅	3	∅	∅	∅	7	0	∅	36	s	∅	∅	∅	u	³⁵	∅	S	∅	∅	∅	Y	_	∅	3	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	45	34	i	s	∅	∅	⁵	∅	∅	I	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																																																																									35	a	s	∅	∅	-	∅	∅	A	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅	36	u	s	∅	∅	³⁵	∅	∅	Y	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅
3	1.0000	1	0.3333	45	34	⁵	i	s	∅	∅	∅	∅	_	I	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																																																																									35	-	a	s	∅	∅	∅	∅	_	A	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅	36	³⁵	u	s	∅	∅	∅	∅	_	Y	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅
1	0.2500	4	1.0000	48	37	ʃ	∅	∅	∅	ə	-	⁴³	S	∅	∅	∅	E	_	_	3	∅	∅	∅	7	0	0																							38	ʃ	∅	∅	∅	o	-	⁵³	S	∅	∅	∅	U	_	_	3	∅	∅	∅	7	0	0																																													39	tʰ	∅	∅	∅	u	mˀ	-	T	∅	∅	∅	Y	M	_	1	∅	∅	∅	7	4	0	40	tʃʰ	∅	∅	∅	ɔ	-	³²	T	∅	∅	∅	U	_	_	1	∅	∅	∅	7	0	0
2	0.5000	3	0.7500	48	37	ə	ʃ	∅	∅	-	⁴³	∅	E	S	∅	∅	_	_	∅	7	3	∅	∅	0	0	∅																							38	o	ʃ	∅	∅	-	⁵³	∅	U	S	∅	∅	_	_	∅	7	3	∅	∅	0	0	∅																																													39	u	tʰ	∅	∅	mˀ	-	∅	Y	T	∅	∅	M	_	∅	7	1	∅	∅	4	0	∅	40	ɔ	tʃʰ	∅	∅	-	³²	∅	U	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅
3	0.7500	2	0.5000	48	37	-	ə	ʃ	∅	⁴³	∅	∅	_	E	S	∅	_	∅	∅	0	7	3	∅	0	∅	∅																							38	-	o	ʃ	∅	⁵³	∅	∅	_	U	S	∅	_	∅	∅	0	7	3	∅	0	∅	∅																																													39	mˀ	u	tʰ	∅	-	∅	∅	M	Y	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅	40	-	ɔ	tʃʰ	∅	³²	∅	∅	_	U	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	48	37	⁴³	-	ə	ʃ	∅	∅	∅	_	_	E	S	∅	∅	∅	0	0	7	3	∅	∅	∅																							38	⁵³	-	o	ʃ	∅	∅	∅	_	_	U	S	∅	∅	∅	0	0	7	3	∅	∅	∅																																													39	-	mˀ	u	tʰ	∅	∅	∅	_	M	Y	T	∅	∅	∅	0	4	7	1	∅	∅	∅	40	³²	-	ɔ	tʃʰ	∅	∅	∅	_	_	U	T	∅	∅	∅	0	0	7	1	∅	∅	∅
