index	index_p	rindex	rindex_p	cogid	id_Achang	segment_Achang	segment_Achang_L1	segment_Achang_L2	segment_Achang_L3	segment_Achang_R1	segment_Achang_R2	segment_Achang_R3	SC_Achang	SC_Achang_L1	SC_Achang_L2	SC_Achang_L3	SC_Achang_R1	SC_Achang_R2	SC_Achang_R3	PROSODY_Achang	PROSODY_Achang_L1	PROSODY_Achang_L2	PROSODY_Achang_L3	PROSODY_Achang_R1	PROSODY_Achang_R2	PROSODY_Achang_R3	id_Bela	segment_Bela	segment_Bela_L1	segment_Bela_L2	segment_Bela_L3	segment_Bela_R1	segment_Bela_R2	segment_Bela_R3	SC_Bela	SC_Bela_L1	SC_Bela_L2	SC_Bela_L3	SC_Bela_R1	SC_Bela_R2	SC_Bela_R3	PROSODY_Bela	PROSODY_Bela_L1	PROSODY_Bela_L2	PROSODY_Bela_L3	PROSODY_Bela_R1	PROSODY_Bela_R2	PROSODY_Bela_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_Phon	segment_Phon	segment_Phon_L1	segment_Phon_L2	segment_Phon_L3	segment_Phon_R1	segment_Phon_R2	segment_Phon_R3	SC_Phon	SC_Phon_L1	SC_Phon_L2	SC_Phon_L3	SC_Phon_R1	SC_Phon_R2	SC_Phon_R3	PROSODY_Phon	PROSODY_Phon_L1	PROSODY_Phon_L2	PROSODY_Phon_L3	PROSODY_Phon_R1	PROSODY_Phon_R2	PROSODY_Phon_R3	id_WrittenBurmese	segment_WrittenBurmese	segment_WrittenBurmese_L1	segment_WrittenBurmese_L2	segment_WrittenBurmese_L3	segment_WrittenBurmese_R1	segment_WrittenBurmese_R2	segment_WrittenBurmese_R3	SC_WrittenBurmese	SC_WrittenBurmese_L1	SC_WrittenBurmese_L2	SC_WrittenBurmese_L3	SC_WrittenBurmese_R1	SC_WrittenBurmese_R2	SC_WrittenBurmese_R3	PROSODY_WrittenBurmese	PROSODY_WrittenBurmese_L1	PROSODY_WrittenBurmese_L2	PROSODY_WrittenBurmese_L3	PROSODY_WrittenBurmese_R1	PROSODY_WrittenBurmese_R2	PROSODY_WrittenBurmese_R3	id_Zaiwa	segment_Zaiwa	segment_Zaiwa_L1	segment_Zaiwa_L2	segment_Zaiwa_L3	segment_Zaiwa_R1	segment_Zaiwa_R2	segment_Zaiwa_R3	SC_Zaiwa	SC_Zaiwa_L1	SC_Zaiwa_L2	SC_Zaiwa_L3	SC_Zaiwa_R1	SC_Zaiwa_R2	SC_Zaiwa_R3	PROSODY_Zaiwa	PROSODY_Zaiwa_L1	PROSODY_Zaiwa_L2	PROSODY_Zaiwa_L3	PROSODY_Zaiwa_R1	PROSODY_Zaiwa_R2	PROSODY_Zaiwa_R3
2	0.6667	2	0.6667	5	12	ṵ	m	∅	∅	⁵	∅	∅	Y	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	13	ə	m	∅	∅	⁵²	∅	∅	E	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	14	ɔ	m	∅	∅	⁵³	∅	∅	U	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																																																			15	ɔ	m	∅	∅	⁴	∅	∅	U	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅
3	1.0000	1	0.3333	5	12	⁵	ṵ	m	∅	∅	∅	∅	_	Y	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	13	⁵²	ə	m	∅	∅	∅	∅	_	E	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	14	⁵³	ɔ	m	∅	∅	∅	∅	_	U	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																																																			15	⁴	ɔ	m	∅	∅	∅	∅	_	U	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅
1	0.2500	4	1.0000	6	16	g	∅	∅	∅	-	i	²	K	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	17	k	∅	∅	∅	-	ḭ	³	K	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	18	k	∅	∅	∅	-	ḭ	⁵³	K	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	19	g	∅	∅	∅	-	i	⁵²	K	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0																							20	k	∅	∅	∅	r	ai	-	K	∅	∅	∅	R	A	_	1	∅	∅	∅	5	7	0	21	k	∅	∅	∅	-	ḭ	⁵³	K	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0
2	0.5000	3	0.7500	6	16	-	g	∅	∅	i	²	∅	_	K	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅	17	-	k	∅	∅	ḭ	³	∅	_	K	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅	18	-	k	∅	∅	ḭ	⁵³	∅	_	K	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅	19	-	g	∅	∅	i	⁵²	∅	_	K	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅																							20	r	k	∅	∅	ai	-	∅	R	K	∅	∅	A	_	∅	5	1	∅	∅	7	0	∅	21	-	k	∅	∅	ḭ	⁵³	∅	_	K	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	6	16	i	-	g	∅	²	∅	∅	I	_	K	∅	_	∅	∅	7	0	1	∅	0	∅	∅	17	ḭ	-	k	∅	³	∅	∅	I	_	K	∅	_	∅	∅	7	0	1	∅	0	∅	∅	18	ḭ	-	k	∅	⁵³	∅	∅	I	_	K	∅	_	∅	∅	7	0	1	∅	0	∅	∅	19	i	-	g	∅	⁵²	∅	∅	I	_	K	∅	_	∅	∅	7	0	1	∅	0	∅	∅																							20	ai	r	k	∅	-	∅	∅	A	R	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅	21	ḭ	-	k	∅	⁵³	∅	∅	I	_	K	∅	_	∅	∅	7	0	1	∅	0	∅	∅
4	1.0000	1	0.2500	6	16	²	i	-	g	∅	∅	∅	_	I	_	K	∅	∅	∅	0	7	0	1	∅	∅	∅	17	³	ḭ	-	k	∅	∅	∅	_	I	_	K	∅	∅	∅	0	7	0	1	∅	∅	∅	18	⁵³	ḭ	-	k	∅	∅	∅	_	I	_	K	∅	∅	∅	0	7	0	1	∅	∅	∅	19	⁵²	i	-	g	∅	∅	∅	_	I	_	K	∅	∅	∅	0	7	0	1	∅	∅	∅																							20	-	ai	r	k	∅	∅	∅	_	A	R	K	∅	∅	∅	0	7	5	1	∅	∅	∅	21	⁵³	ḭ	-	k	∅	∅	∅	_	I	_	K	∅	∅	∅	0	7	0	1	∅	∅	∅
1	0.2500	4	1.0000	7	22	dʒ	∅	∅	∅	ə	-	³²	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	23	ts	∅	∅	∅	a̰	m	³	C	∅	∅	∅	A	M	_	2	∅	∅	∅	7	4	0	24	dʒ	∅	∅	∅	ɛ	-	⁵³	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	25	dʒ	∅	∅	∅	a̰	m	³¹	T	∅	∅	∅	A	M	_	1	∅	∅	∅	7	4	0																							26	t	∅	∅	∅	i	m	-	T	∅	∅	∅	I	M	_	1	∅	∅	∅	7	4	0	27	d	∅	∅	∅	u	m	⁴²	T	∅	∅	∅	Y	M	_	1	∅	∅	∅	7	4	0
2	0.5000	3	0.7500	7	22	ə	dʒ	∅	∅	-	³²	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	23	a̰	ts	∅	∅	m	³	∅	A	C	∅	∅	M	_	∅	7	2	∅	∅	4	0	∅	24	ɛ	dʒ	∅	∅	-	⁵³	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	25	a̰	dʒ	∅	∅	m	³¹	∅	A	T	∅	∅	M	_	∅	7	1	∅	∅	4	0	∅																							26	i	t	∅	∅	m	-	∅	I	T	∅	∅	M	_	∅	7	1	∅	∅	4	0	∅	27	u	d	∅	∅	m	⁴²	∅	Y	T	∅	∅	M	_	∅	7	1	∅	∅	4	0	∅
3	0.7500	2	0.5000	7	22	-	ə	dʒ	∅	³²	∅	∅	_	E	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅	23	m	a̰	ts	∅	³	∅	∅	M	A	C	∅	_	∅	∅	4	7	2	∅	0	∅	∅	24	-	ɛ	dʒ	∅	⁵³	∅	∅	_	E	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅	25	m	a̰	dʒ	∅	³¹	∅	∅	M	A	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅																							26	m	i	t	∅	-	∅	∅	M	I	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅	27	m	u	d	∅	⁴²	∅	∅	M	Y	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	7	22	³²	-	ə	dʒ	∅	∅	∅	_	_	E	T	∅	∅	∅	0	0	7	1	∅	∅	∅	23	³	m	a̰	ts	∅	∅	∅	_	M	A	C	∅	∅	∅	0	4	7	2	∅	∅	∅	24	⁵³	-	ɛ	dʒ	∅	∅	∅	_	_	E	T	∅	∅	∅	0	0	7	1	∅	∅	∅	25	³¹	m	a̰	dʒ	∅	∅	∅	_	M	A	T	∅	∅	∅	0	4	7	1	∅	∅	∅																							26	-	m	i	t	∅	∅	∅	_	M	I	T	∅	∅	∅	0	4	7	1	∅	∅	∅	27	⁴²	m	u	d	∅	∅	∅	_	M	Y	T	∅	∅	∅	0	4	7	1	∅	∅	∅
1	0.2000	5	1.0000	8																																													28	-	∅	∅	∅	ŋ	ãɪ	-	_	∅	∅	∅	N	A	_	0	∅	∅	∅	4	7	0	29	-	∅	∅	∅	ŋ	ɪ	n	_	∅	∅	∅	N	I	N	0	∅	∅	∅	4	7	4																							30	h	∅	∅	∅	n	a	ŋ	H	∅	∅	∅	N	A	N	3	∅	∅	∅	4	7	4	31	-	∅	∅	∅	ŋ	a̰	n	_	∅	∅	∅	N	A	N	0	∅	∅	∅	4	7	4
2	0.4000	4	0.8000	8																																													28	ŋ	-	∅	∅	ãɪ	-	³	N	_	∅	∅	A	_	_	4	0	∅	∅	7	0	0	29	ŋ	-	∅	∅	ɪ	n	⁴²	N	_	∅	∅	I	N	_	4	0	∅	∅	7	4	0																							30	n	h	∅	∅	a	ŋ	-	N	H	∅	∅	A	N	_	4	3	∅	∅	7	4	0	31	ŋ	-	∅	∅	a̰	n	⁵³	N	_	∅	∅	A	N	_	4	0	∅	∅	7	4	0
3	0.6000	3	0.6000	8																																													28	ãɪ	ŋ	-	∅	-	³	∅	A	N	_	∅	_	_	∅	7	4	0	∅	0	0	∅	29	ɪ	ŋ	-	∅	n	⁴²	∅	I	N	_	∅	N	_	∅	7	4	0	∅	4	0	∅																							30	a	n	h	∅	ŋ	-	∅	A	N	H	∅	N	_	∅	7	4	3	∅	4	0	∅	31	a̰	ŋ	-	∅	n	⁵³	∅	A	N	_	∅	N	_	∅	7	4	0	∅	4	0	∅
4	0.8000	2	0.4000	8																																													28	-	ãɪ	ŋ	-	³	∅	∅	_	A	N	_	_	∅	∅	0	7	4	0	0	∅	∅	29	n	ɪ	ŋ	-	⁴²	∅	∅	N	I	N	_	_	∅	∅	4	7	4	0	0	∅	∅																							30	ŋ	a	n	h	-	∅	∅	N	A	N	H	_	∅	∅	4	7	4	3	0	∅	∅	31	n	a̰	ŋ	-	⁵³	∅	∅	N	A	N	_	_	∅	∅	4	7	4	0	0	∅	∅
5	1.0000	1	0.2000	8																																													28	³	-	ãɪ	ŋ	∅	∅	∅	_	_	A	N	∅	∅	∅	0	0	7	4	∅	∅	∅	29	⁴²	n	ɪ	ŋ	∅	∅	∅	_	N	I	N	∅	∅	∅	0	4	7	4	∅	∅	∅																							30	-	ŋ	a	n	∅	∅	∅	_	N	A	N	∅	∅	∅	0	4	7	4	∅	∅	∅	31	⁵³	n	a̰	ŋ	∅	∅	∅	_	N	A	N	∅	∅	∅	0	4	7	4	∅	∅	∅
1	0.2500	4	1.0000	9	32	dʒ	∅	∅	∅	w	e	⁴⁵	T	∅	∅	∅	W	E	_	1	∅	∅	∅	6	7	0																																													33	tʃʰ	∅	∅	∅	-	e	⁴³	T	∅	∅	∅	_	E	_	1	∅	∅	∅	0	7	0																																																																		
2	0.5000	3	0.7500	9	32	w	dʒ	∅	∅	e	⁴⁵	∅	W	T	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅																																													33	-	tʃʰ	∅	∅	e	⁴³	∅	_	T	∅	∅	E	_	∅	0	1	∅	∅	7	0	∅																																																																		
3	0.7500	2	0.5000	9	32	e	w	dʒ	∅	⁴⁵	∅	∅	E	W	T	∅	_	∅	∅	7	6	1	∅	0	∅	∅																																													33	e	-	tʃʰ	∅	⁴³	∅	∅	E	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅																																																																		
4	1.0000	1	0.2500	9	32	⁴⁵	e	w	dʒ	∅	∅	∅	_	E	W	T	∅	∅	∅	0	7	6	1	∅	∅	∅																																													33	⁴³	e	-	tʃʰ	∅	∅	∅	_	E	_	T	∅	∅	∅	0	7	0	1	∅	∅	∅																																																																		
1	0.2000	5	1.0000	10																																													34	-	∅	∅	∅	w	ɔ	-	_	∅	∅	∅	W	U	_	0	∅	∅	∅	6	7	0																							35	-	∅	∅	∅	w	a	ʔ	_	∅	∅	∅	W	A	H	0	∅	∅	∅	6	7	1	36	r	∅	∅	∅	w	a	-	R	∅	∅	∅	W	A	_	5	∅	∅	∅	6	7	0																						
2	0.4000	4	0.8000	10																																													34	w	-	∅	∅	ɔ	-	⁵¹	W	_	∅	∅	U	_	_	6	0	∅	∅	7	0	0																							35	w	-	∅	∅	a	ʔ	⁵⁵	W	_	∅	∅	A	H	_	6	0	∅	∅	7	1	0	36	w	r	∅	∅	a	-	-	W	R	∅	∅	A	_	_	6	5	∅	∅	7	0	0																						
3	0.6000	3	0.6000	10																																													34	ɔ	w	-	∅	-	⁵¹	∅	U	W	_	∅	_	_	∅	7	6	0	∅	0	0	∅																							35	a	w	-	∅	ʔ	⁵⁵	∅	A	W	_	∅	H	_	∅	7	6	0	∅	1	0	∅	36	a	w	r	∅	-	-	∅	A	W	R	∅	_	_	∅	7	6	5	∅	0	0	∅																						
4	0.8000	2	0.4000	10																																													34	-	ɔ	w	-	⁵¹	∅	∅	_	U	W	_	_	∅	∅	0	7	6	0	0	∅	∅																							35	ʔ	a	w	-	⁵⁵	∅	∅	H	A	W	_	_	∅	∅	1	7	6	0	0	∅	∅	36	-	a	w	r	-	∅	∅	_	A	W	R	_	∅	∅	0	7	6	5	0	∅	∅																						
5	1.0000	1	0.2000	10																																													34	⁵¹	-	ɔ	w	∅	∅	∅	_	_	U	W	∅	∅	∅	0	0	7	6	∅	∅	∅																							35	⁵⁵	ʔ	a	w	∅	∅	∅	_	H	A	W	∅	∅	∅	0	1	7	6	∅	∅	∅	36	-	-	a	w	∅	∅	∅	_	_	A	W	∅	∅	∅	0	0	7	6	∅	∅	∅																						
1	0.2000	5	1.0000	11	37	s	∅	∅	∅	ai	-	-	S	∅	∅	∅	A	_	_	3	∅	∅	∅	7	0	0																							38	s	∅	∅	∅	ə	ŋ	-	S	∅	∅	∅	E	N	_	3	∅	∅	∅	7	4	0	39	s	∅	∅	∅	a	ŋ	k	S	∅	∅	∅	A	N	K	3	∅	∅	∅	7	4	1	40	s	∅	∅	∅	ə	-	-	S	∅	∅	∅	E	_	_	3	∅	∅	∅	7	0	0	41	s	∅	∅	∅	a	-	k	S	∅	∅	∅	A	_	K	3	∅	∅	∅	7	0	1																						
2	0.4000	4	0.8000	11	37	ai	s	∅	∅	-	-	³⁵	A	S	∅	∅	_	_	_	7	3	∅	∅	0	0	0																							38	ə	s	∅	∅	ŋ	-	⁴³	E	S	∅	∅	N	_	_	7	3	∅	∅	4	0	0	39	a	s	∅	∅	ŋ	k	⁵³	A	S	∅	∅	N	K	_	7	3	∅	∅	4	1	0	40	ə	s	∅	∅	-	-	-	E	S	∅	∅	_	_	_	7	3	∅	∅	0	0	0	41	a	s	∅	∅	-	k	-	A	S	∅	∅	_	K	_	7	3	∅	∅	0	1	0																						
3	0.6000	3	0.6000	11	37	-	ai	s	∅	-	³⁵	∅	_	A	S	∅	_	_	∅	0	7	3	∅	0	0	∅																							38	ŋ	ə	s	∅	-	⁴³	∅	N	E	S	∅	_	_	∅	4	7	3	∅	0	0	∅	39	ŋ	a	s	∅	k	⁵³	∅	N	A	S	∅	K	_	∅	4	7	3	∅	1	0	∅	40	-	ə	s	∅	-	-	∅	_	E	S	∅	_	_	∅	0	7	3	∅	0	0	∅	41	-	a	s	∅	k	-	∅	_	A	S	∅	K	_	∅	0	7	3	∅	1	0	∅																						
