index	index_p	rindex	rindex_p	cogid	id_Achang	segment_Achang	segment_Achang_L1	segment_Achang_L2	segment_Achang_L3	segment_Achang_R1	segment_Achang_R2	segment_Achang_R3	SC_Achang	SC_Achang_L1	SC_Achang_L2	SC_Achang_L3	SC_Achang_R1	SC_Achang_R2	SC_Achang_R3	PROSODY_Achang	PROSODY_Achang_L1	PROSODY_Achang_L2	PROSODY_Achang_L3	PROSODY_Achang_R1	PROSODY_Achang_R2	PROSODY_Achang_R3	id_Bela	segment_Bela	segment_Bela_L1	segment_Bela_L2	segment_Bela_L3	segment_Bela_R1	segment_Bela_R2	segment_Bela_R3	SC_Bela	SC_Bela_L1	SC_Bela_L2	SC_Bela_L3	SC_Bela_R1	SC_Bela_R2	SC_Bela_R3	PROSODY_Bela	PROSODY_Bela_L1	PROSODY_Bela_L2	PROSODY_Bela_L3	PROSODY_Bela_R1	PROSODY_Bela_R2	PROSODY_Bela_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_Phon	segment_Phon	segment_Phon_L1	segment_Phon_L2	segment_Phon_L3	segment_Phon_R1	segment_Phon_R2	segment_Phon_R3	SC_Phon	SC_Phon_L1	SC_Phon_L2	SC_Phon_L3	SC_Phon_R1	SC_Phon_R2	SC_Phon_R3	PROSODY_Phon	PROSODY_Phon_L1	PROSODY_Phon_L2	PROSODY_Phon_L3	PROSODY_Phon_R1	PROSODY_Phon_R2	PROSODY_Phon_R3	id_WrittenBurmese	segment_WrittenBurmese	segment_WrittenBurmese_L1	segment_WrittenBurmese_L2	segment_WrittenBurmese_L3	segment_WrittenBurmese_R1	segment_WrittenBurmese_R2	segment_WrittenBurmese_R3	SC_WrittenBurmese	SC_WrittenBurmese_L1	SC_WrittenBurmese_L2	SC_WrittenBurmese_L3	SC_WrittenBurmese_R1	SC_WrittenBurmese_R2	SC_WrittenBurmese_R3	PROSODY_WrittenBurmese	PROSODY_WrittenBurmese_L1	PROSODY_WrittenBurmese_L2	PROSODY_WrittenBurmese_L3	PROSODY_WrittenBurmese_R1	PROSODY_WrittenBurmese_R2	PROSODY_WrittenBurmese_R3	id_Zaiwa	segment_Zaiwa	segment_Zaiwa_L1	segment_Zaiwa_L2	segment_Zaiwa_L3	segment_Zaiwa_R1	segment_Zaiwa_R2	segment_Zaiwa_R3	SC_Zaiwa	SC_Zaiwa_L1	SC_Zaiwa_L2	SC_Zaiwa_L3	SC_Zaiwa_R1	SC_Zaiwa_R2	SC_Zaiwa_R3	PROSODY_Zaiwa	PROSODY_Zaiwa_L1	PROSODY_Zaiwa_L2	PROSODY_Zaiwa_L3	PROSODY_Zaiwa_R1	PROSODY_Zaiwa_R2	PROSODY_Zaiwa_R3
4	0.8000	2	0.4000	8																																													10	-	ãɪ	ŋ	-	³	∅	∅	_	A	N	_	_	∅	∅	0	7	4	0	0	∅	∅	11	n	ɪ	ŋ	-	⁴²	∅	∅	N	I	N	_	_	∅	∅	4	7	4	0	0	∅	∅																							12	ŋ	a	n	h	-	∅	∅	N	A	N	H	_	∅	∅	4	7	4	3	0	∅	∅	13	n	a̰	ŋ	-	⁵³	∅	∅	N	A	N	_	_	∅	∅	4	7	4	0	0	∅	∅
5	1.0000	1	0.2000	8																																													10	³	-	ãɪ	ŋ	∅	∅	∅	_	_	A	N	∅	∅	∅	0	0	7	4	∅	∅	∅	11	⁴²	n	ɪ	ŋ	∅	∅	∅	_	N	I	N	∅	∅	∅	0	4	7	4	∅	∅	∅																							12	-	ŋ	a	n	∅	∅	∅	_	N	A	N	∅	∅	∅	0	4	7	4	∅	∅	∅	13	⁵³	n	a̰	ŋ	∅	∅	∅	_	N	A	N	∅	∅	∅	0	4	7	4	∅	∅	∅
1	0.2500	4	1.0000	9	14	dʒ	∅	∅	∅	w	e	⁴⁵	T	∅	∅	∅	W	E	_	1	∅	∅	∅	6	7	0																																													15	tʃʰ	∅	∅	∅	-	e	⁴³	T	∅	∅	∅	_	E	_	1	∅	∅	∅	0	7	0																																																																		
2	0.5000	3	0.7500	9	14	w	dʒ	∅	∅	e	⁴⁵	∅	W	T	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅																																													15	-	tʃʰ	∅	∅	e	⁴³	∅	_	T	∅	∅	E	_	∅	0	1	∅	∅	7	0	∅																																																																		
3	0.7500	2	0.5000	9	14	e	w	dʒ	∅	⁴⁵	∅	∅	E	W	T	∅	_	∅	∅	7	6	1	∅	0	∅	∅																																													15	e	-	tʃʰ	∅	⁴³	∅	∅	E	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅																																																																		
4	1.0000	1	0.2500	9	14	⁴⁵	e	w	dʒ	∅	∅	∅	_	E	W	T	∅	∅	∅	0	7	6	1	∅	∅	∅																																													15	⁴³	e	-	tʃʰ	∅	∅	∅	_	E	_	T	∅	∅	∅	0	7	0	1	∅	∅	∅																																																																		
1	0.2000	5	1.0000	10																																													16	-	∅	∅	∅	w	ɔ	-	_	∅	∅	∅	W	U	_	0	∅	∅	∅	6	7	0																							17	-	∅	∅	∅	w	a	ʔ	_	∅	∅	∅	W	A	H	0	∅	∅	∅	6	7	1	18	r	∅	∅	∅	w	a	-	R	∅	∅	∅	W	A	_	5	∅	∅	∅	6	7	0																						
2	0.4000	4	0.8000	10																																													16	w	-	∅	∅	ɔ	-	⁵¹	W	_	∅	∅	U	_	_	6	0	∅	∅	7	0	0																							17	w	-	∅	∅	a	ʔ	⁵⁵	W	_	∅	∅	A	H	_	6	0	∅	∅	7	1	0	18	w	r	∅	∅	a	-	-	W	R	∅	∅	A	_	_	6	5	∅	∅	7	0	0																						
3	0.6000	3	0.6000	10																																													16	ɔ	w	-	∅	-	⁵¹	∅	U	W	_	∅	_	_	∅	7	6	0	∅	0	0	∅																							17	a	w	-	∅	ʔ	⁵⁵	∅	A	W	_	∅	H	_	∅	7	6	0	∅	1	0	∅	18	a	w	r	∅	-	-	∅	A	W	R	∅	_	_	∅	7	6	5	∅	0	0	∅																						
4	0.8000	2	0.4000	10																																													16	-	ɔ	w	-	⁵¹	∅	∅	_	U	W	_	_	∅	∅	0	7	6	0	0	∅	∅																							17	ʔ	a	w	-	⁵⁵	∅	∅	H	A	W	_	_	∅	∅	1	7	6	0	0	∅	∅	18	-	a	w	r	-	∅	∅	_	A	W	R	_	∅	∅	0	7	6	5	0	∅	∅																						
5	1.0000	1	0.2000	10																																													16	⁵¹	-	ɔ	w	∅	∅	∅	_	_	U	W	∅	∅	∅	0	0	7	6	∅	∅	∅																							17	⁵⁵	ʔ	a	w	∅	∅	∅	_	H	A	W	∅	∅	∅	0	1	7	6	∅	∅	∅	18	-	-	a	w	∅	∅	∅	_	_	A	W	∅	∅	∅	0	0	7	6	∅	∅	∅																						
1	0.2000	5	1.0000	11	19	s	∅	∅	∅	ai	-	-	S	∅	∅	∅	A	_	_	3	∅	∅	∅	7	0	0																							20	s	∅	∅	∅	ə	ŋ	-	S	∅	∅	∅	E	N	_	3	∅	∅	∅	7	4	0	21	s	∅	∅	∅	a	ŋ	k	S	∅	∅	∅	A	N	K	3	∅	∅	∅	7	4	1	22	s	∅	∅	∅	ə	-	-	S	∅	∅	∅	E	_	_	3	∅	∅	∅	7	0	0	23	s	∅	∅	∅	a	-	k	S	∅	∅	∅	A	_	K	3	∅	∅	∅	7	0	1																						
2	0.4000	4	0.8000	11	19	ai	s	∅	∅	-	-	³⁵	A	S	∅	∅	_	_	_	7	3	∅	∅	0	0	0																							20	ə	s	∅	∅	ŋ	-	⁴³	E	S	∅	∅	N	_	_	7	3	∅	∅	4	0	0	21	a	s	∅	∅	ŋ	k	⁵³	A	S	∅	∅	N	K	_	7	3	∅	∅	4	1	0	22	ə	s	∅	∅	-	-	-	E	S	∅	∅	_	_	_	7	3	∅	∅	0	0	0	23	a	s	∅	∅	-	k	-	A	S	∅	∅	_	K	_	7	3	∅	∅	0	1	0																						
3	0.6000	3	0.6000	11	19	-	ai	s	∅	-	³⁵	∅	_	A	S	∅	_	_	∅	0	7	3	∅	0	0	∅																							20	ŋ	ə	s	∅	-	⁴³	∅	N	E	S	∅	_	_	∅	4	7	3	∅	0	0	∅	21	ŋ	a	s	∅	k	⁵³	∅	N	A	S	∅	K	_	∅	4	7	3	∅	1	0	∅	22	-	ə	s	∅	-	-	∅	_	E	S	∅	_	_	∅	0	7	3	∅	0	0	∅	23	-	a	s	∅	k	-	∅	_	A	S	∅	K	_	∅	0	7	3	∅	1	0	∅																						
4	0.8000	2	0.4000	11	19	-	-	ai	s	³⁵	∅	∅	_	_	A	S	_	∅	∅	0	0	7	3	0	∅	∅																							20	-	ŋ	ə	s	⁴³	∅	∅	_	N	E	S	_	∅	∅	0	4	7	3	0	∅	∅	21	k	ŋ	a	s	⁵³	∅	∅	K	N	A	S	_	∅	∅	1	4	7	3	0	∅	∅	22	-	-	ə	s	-	∅	∅	_	_	E	S	_	∅	∅	0	0	7	3	0	∅	∅	23	k	-	a	s	-	∅	∅	K	_	A	S	_	∅	∅	1	0	7	3	0	∅	∅																						
5	1.0000	1	0.2000	11	19	³⁵	-	-	ai	∅	∅	∅	_	_	_	A	∅	∅	∅	0	0	0	7	∅	∅	∅																							20	⁴³	-	ŋ	ə	∅	∅	∅	_	_	N	E	∅	∅	∅	0	0	4	7	∅	∅	∅	21	⁵³	k	ŋ	a	∅	∅	∅	_	K	N	A	∅	∅	∅	0	1	4	7	∅	∅	∅	22	-	-	-	ə	∅	∅	∅	_	_	_	E	∅	∅	∅	0	0	0	7	∅	∅	∅	23	-	k	-	a	∅	∅	∅	_	K	_	A	∅	∅	∅	0	1	0	7	∅	∅	∅																						
1	0.2000	5	1.0000	12	24	-	∅	∅	∅	j	a	ŋ	_	∅	∅	∅	J	A	N	0	∅	∅	∅	6	7	4																							25	-	∅	∅	∅	j	ɔ	ʔ	_	∅	∅	∅	J	U	H	0	∅	∅	∅	6	7	1	26	-	∅	∅	∅	j	a	-	_	∅	∅	∅	J	A	_	0	∅	∅	∅	6	7	0	27	-	∅	∅	∅	j	ʊ	ŋ	_	∅	∅	∅	J	Y	N	0	∅	∅	∅	6	7	4																							28	β	∅	∅	∅	w	ɔ	ʔ	B	∅	∅	∅	W	U	H	3	∅	∅	∅	6	7	1
2	0.4000	4	0.8000	12	24	j	-	∅	∅	a	ŋ	⁵³	J	_	∅	∅	A	N	_	6	0	∅	∅	7	4	0																							25	j	-	∅	∅	ɔ	ʔ	³¹	J	_	∅	∅	U	H	_	6	0	∅	∅	7	1	0	26	j	-	∅	∅	a	-	⁴¹	J	_	∅	∅	A	_	_	6	0	∅	∅	7	0	0	27	j	-	∅	∅	ʊ	ŋ	-	J	_	∅	∅	Y	N	_	6	0	∅	∅	7	4	0																							28	w	β	∅	∅	ɔ	ʔ	³²	W	B	∅	∅	U	H	_	6	3	∅	∅	7	1	0
3	0.6000	3	0.6000	12	24	a	j	-	∅	ŋ	⁵³	∅	A	J	_	∅	N	_	∅	7	6	0	∅	4	0	∅																							25	ɔ	j	-	∅	ʔ	³¹	∅	U	J	_	∅	H	_	∅	7	6	0	∅	1	0	∅	26	a	j	-	∅	-	⁴¹	∅	A	J	_	∅	_	_	∅	7	6	0	∅	0	0	∅	27	ʊ	j	-	∅	ŋ	-	∅	Y	J	_	∅	N	_	∅	7	6	0	∅	4	0	∅																							28	ɔ	w	β	∅	ʔ	³²	∅	U	W	B	∅	H	_	∅	7	6	3	∅	1	0	∅
4	0.8000	2	0.4000	12	24	ŋ	a	j	-	⁵³	∅	∅	N	A	J	_	_	∅	∅	4	7	6	0	0	∅	∅																							25	ʔ	ɔ	j	-	³¹	∅	∅	H	U	J	_	_	∅	∅	1	7	6	0	0	∅	∅	26	-	a	j	-	⁴¹	∅	∅	_	A	J	_	_	∅	∅	0	7	6	0	0	∅	∅	27	ŋ	ʊ	j	-	-	∅	∅	N	Y	J	_	_	∅	∅	4	7	6	0	0	∅	∅																							28	ʔ	ɔ	w	β	³²	∅	∅	H	U	W	B	_	∅	∅	1	7	6	3	0	∅	∅
5	1.0000	1	0.2000	12	24	⁵³	ŋ	a	j	∅	∅	∅	_	N	A	J	∅	∅	∅	0	4	7	6	∅	∅	∅																							25	³¹	ʔ	ɔ	j	∅	∅	∅	_	H	U	J	∅	∅	∅	0	1	7	6	∅	∅	∅	26	⁴¹	-	a	j	∅	∅	∅	_	_	A	J	∅	∅	∅	0	0	7	6	∅	∅	∅	27	-	ŋ	ʊ	j	∅	∅	∅	_	N	Y	J	∅	∅	∅	0	4	7	6	∅	∅	∅																							28	³²	ʔ	ɔ	w	∅	∅	∅	_	H	U	W	∅	∅	∅	0	1	7	6	∅	∅	∅
1	0.2500	4	1.0000	13	29	k	∅	∅	∅	a	n	²	K	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0																																													30	g	∅	∅	∅	e	n	⁴	K	∅	∅	∅	E	N	_	1	∅	∅	∅	7	4	0																																													31	g	∅	∅	∅	a	n	²	K	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0
2	0.5000	3	0.7500	13	29	a	k	∅	∅	n	²	∅	A	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																													30	e	g	∅	∅	n	⁴	∅	E	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																													31	a	g	∅	∅	n	²	∅	A	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅
3	0.7500	2	0.5000	13	29	n	a	k	∅	²	∅	∅	N	A	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																													30	n	e	g	∅	⁴	∅	∅	N	E	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																													31	n	a	g	∅	²	∅	∅	N	A	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	13	29	²	n	a	k	∅	∅	∅	_	N	A	K	∅	∅	∅	0	4	7	1	∅	∅	∅																																													30	⁴	n	e	g	∅	∅	∅	_	N	E	K	∅	∅	∅	0	4	7	1	∅	∅	∅																																													31	²	n	a	g	∅	∅	∅	_	N	A	K	∅	∅	∅	0	4	7	1	∅	∅	∅
1	0.1667	6	1.0000	14																																													32	-	∅	∅	∅	l	-	æ̰	_	∅	∅	∅	L	_	E	0	∅	∅	∅	5	0	7																																													33	h	∅	∅	∅	l	j	a	H	∅	∅	∅	L	J	A	3	∅	∅	∅	5	6	7	34	-	∅	∅	∅	l	-	a̰	_	∅	∅	∅	L	_	A	0	∅	∅	∅	5	0	7
2	0.3333	5	0.8333	14																																													32	l	-	∅	∅	-	æ̰	p	L	_	∅	∅	_	E	P	5	0	∅	∅	0	7	1																																													33	l	h	∅	∅	j	a	p	L	H	∅	∅	J	A	P	5	3	∅	∅	6	7	1	34	l	-	∅	∅	-	a̰	p	L	_	∅	∅	_	A	P	5	0	∅	∅	0	7	1
3	0.5000	4	0.6667	14																																													32	-	l	-	∅	æ̰	p	⁵³	_	L	_	∅	E	P	_	0	5	0	∅	7	1	0																																													33	j	l	h	∅	a	p	-	J	L	H	∅	A	P	_	6	5	3	∅	7	1	0	34	-	l	-	∅	a̰	p	⁴	_	L	_	∅	A	P	_	0	5	0	∅	7	1	0
4	0.6667	3	0.5000	14																																													32	æ̰	-	l	-	p	⁵³	∅	E	_	L	_	P	_	∅	7	0	5	0	1	0	∅																																													33	a	j	l	h	p	-	∅	A	J	L	H	P	_	∅	7	6	5	3	1	0	∅	34	a̰	-	l	-	p	⁴	∅	A	_	L	_	P	_	∅	7	0	5	0	1	0	∅
5	0.8333	2	0.3333	14																																													32	p	æ̰	-	l	⁵³	∅	∅	P	E	_	L	_	∅	∅	1	7	0	5	0	∅	∅																																													33	p	a	j	l	-	∅	∅	P	A	J	L	_	∅	∅	1	7	6	5	0	∅	∅	34	p	a̰	-	l	⁴	∅	∅	P	A	_	L	_	∅	∅	1	7	0	5	0	∅	∅
6	1.0000	1	0.1667	14																																													32	⁵³	p	æ̰	-	∅	∅	∅	_	P	E	_	∅	∅	∅	0	1	7	0	∅	∅	∅																																													33	-	p	a	j	∅	∅	∅	_	P	A	J	∅	∅	∅	0	1	7	6	∅	∅	∅	34	⁴	p	a̰	-	∅	∅	∅	_	P	A	_	∅	∅	∅	0	1	7	0	∅	∅	∅
1	0.1667	6	1.0000	15																																													35	g	∅	∅	∅	-	w	ɛ	K	∅	∅	∅	_	W	E	1	∅	∅	∅	0	6	7																																													36	k	∅	∅	∅	r	w	iː	K	∅	∅	∅	R	W	I	1	∅	∅	∅	5	6	7	37	g	∅	∅	∅	-	-	u	K	∅	∅	∅	_	_	Y	1	∅	∅	∅	0	0	7
2	0.3333	5	0.8333	15																																													35	-	g	∅	∅	w	ɛ	m	_	K	∅	∅	W	E	M	0	1	∅	∅	6	7	4																																													36	r	k	∅	∅	w	iː	-	R	K	∅	∅	W	I	_	5	1	∅	∅	6	7	0	37	-	g	∅	∅	-	u	m	_	K	∅	∅	_	Y	M	0	1	∅	∅	0	7	4
3	0.5000	4	0.6667	15																																													35	w	-	g	∅	ɛ	m	³	W	_	K	∅	E	M	_	6	0	1	∅	7	4	0																																													36	w	r	k	∅	iː	-	-	W	R	K	∅	I	_	_	6	5	1	∅	7	0	0	37	-	-	g	∅	u	m	⁵³	_	_	K	∅	Y	M	_	0	0	1	∅	7	4	0
4	0.6667	3	0.5000	15																																													35	ɛ	w	-	g	m	³	∅	E	W	_	K	M	_	∅	7	6	0	1	4	0	∅																																													36	iː	w	r	k	-	-	∅	I	W	R	K	_	_	∅	7	6	5	1	0	0	∅	37	u	-	-	g	m	⁵³	∅	Y	_	_	K	M	_	∅	7	0	0	1	4	0	∅
