** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7596        0.2205       0.7766         0.6852       0.1635        0.0508       0.9336         0.9168
Changsha              0.9808        0.2870       0.7051         0.6056       0.3750        0.1205       0.8611         0.8236
Chaozhou              1.6538        0.4216       0.5319         0.4336       1.3462        0.3524       0.5643         0.5109
Chengdu               0.6731        0.1893       0.8051         0.7084       0.2019        0.0553       0.9228         0.9107
Fuzhou                1.1154        0.2824       0.6739         0.5837       0.7788        0.1994       0.7353         0.6961
Guangzhou             1.2596        0.3627       0.6394         0.4944       0.5385        0.1497       0.7809         0.7712
Hankou                0.6827        0.2006       0.7943         0.7053       0.1538        0.0447       0.9389         0.9291
Jinan                 0.7019        0.2173       0.7801         0.7023       0.1923        0.0641       0.9185         0.8941
Meixian               1.0673        0.2795       0.6589         0.5950       0.5865        0.1590       0.7794         0.7512
Nanchang              1.0962        0.3040       0.6732         0.5630       0.5096        0.1340       0.8058         0.7939
Shanghai              1.3558        0.3909       0.6236         0.4843       0.4135        0.1277       0.8263         0.8208
Shuangfeng            1.1346        0.3176       0.6650         0.5638       0.4712        0.1391       0.8136         0.7865
Suzhou                1.0962        0.3019       0.7047         0.5749       0.4519        0.1353       0.8308         0.7857
Taiyuan               1.0096        0.2715       0.6868         0.6192       0.2308        0.0556       0.9133         0.9201
Wenzhou               1.5577        0.4582       0.5514         0.4012       0.7788        0.2465       0.6952         0.6688
Xiamen                1.0673        0.2809       0.6841         0.5813       2.7788        0.7287       0.4675         0.1317
XiAn                  0.8462        0.2550       0.7480         0.6292       2.7596        0.7151       0.5257         0.1343
Yangzhou              0.9519        0.2611       0.7235         0.6381       0.2788        0.0755       0.8856         0.8833
ZhongyuanYinyun       2.5865        0.6192       0.4393         0.2519       0.3750        0.0974       0.8653         0.8372
TOTAL                 1.1366        0.3116       0.6771         0.5695       0.7045        0.1921       0.7928         0.7350


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7677        0.2286       0.7653         0.6769       0.1806        0.0574       0.9165         0.9085
Changsha              0.9484        0.2814       0.6961         0.6100       0.3935        0.1298       0.8289         0.8118
Chaozhou              1.5613        0.4115       0.5403         0.4379       1.2645        0.3405       0.5542         0.5283
Chengdu               0.6903        0.1945       0.7900         0.7067       0.1548        0.0437       0.9410         0.9267
Fuzhou                1.1290        0.2926       0.6526         0.5710       0.7806        0.2032       0.7154         0.6885
Guangzhou             1.2065        0.3488       0.6545         0.5149       0.5290        0.1517       0.7821         0.7626
Hankou                0.6774        0.1991       0.7853         0.7082       0.1484        0.0428       0.9352         0.9308
Jinan                 0.7355        0.2310       0.7674         0.6761       0.1742        0.0586       0.9150         0.9041
Meixian               0.9484        0.2578       0.6696         0.6203       0.5226        0.1425       0.7900         0.7768
Nanchang              1.0065        0.2837       0.6717         0.5795       0.4645        0.1274       0.7981         0.8034
Shanghai              1.4129        0.4134       0.5914         0.4485       0.5290        0.1647       0.7708         0.7570
Shuangfeng            1.1226        0.3217       0.6444         0.5624       0.5806        0.1740       0.7641         0.7426
Suzhou                1.0774        0.3025       0.6899         0.5672       0.5613        0.1690       0.7855         0.7342
Taiyuan               0.9419        0.2588       0.6991         0.6328       0.2258        0.0559       0.9041         0.9142
Wenzhou               1.6710        0.4819       0.5362         0.3828       0.8323        0.2644       0.6632         0.6351
Xiamen                1.0516        0.2815       0.6623         0.5929       2.7484        0.7361       0.4539         0.1344
XiAn                  0.8258        0.2514       0.7346         0.6335       2.6903        0.7141       0.5230         0.1466
Yangzhou              0.9097        0.2561       0.7240         0.6397       0.3032        0.0857       0.8780         0.8727
ZhongyuanYinyun       2.5226        0.6205       0.4318         0.2443       0.2839        0.0739       0.8887         0.8761
TOTAL                 1.1161        0.3114       0.6688         0.5687       0.7036        0.1966       0.7794         0.7292


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.6739        0.2663       0.6673         0.6416       0.6304        0.2763       0.7107         0.6347
Jerigaon         0.5978        0.2518       0.7378         0.6458       0.3913        0.1812       0.7978         0.7642
Khispi           0.6413        0.2536       0.6728         0.6395       0.4891        0.2101       0.7449         0.7017
Khoina           0.4891        0.2156       0.7666         0.7133       0.4615        0.2051       0.7923         0.7306
Khoitam          0.3077        0.1227       0.8265         0.8239       0.2637        0.1245       0.8484         0.8412
Rahung           0.3804        0.1630       0.7945         0.7836       0.3956        0.1685       0.7936         0.7626
Rupa             0.4239        0.1757       0.8012         0.7550       0.3407        0.1484       0.8385         0.7992
Shergaon         0.3913        0.1667       0.7861         0.7758       0.4130        0.1975       0.7765         0.7379
TOTAL            0.4882        0.2019       0.7566         0.7223       0.4232        0.1889       0.7878         0.7465


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7049        0.2791       0.6347         0.6270       0.6120        0.2518       0.6648         0.6640
Jerigaon         0.4396        0.2015       0.7634         0.7336       0.4098        0.1935       0.7594         0.7508
Khispi           0.5027        0.2049       0.7109         0.7151       0.4863        0.2031       0.7248         0.7244
Khoina           0.5410        0.2413       0.7237         0.6871       0.5549        0.2436       0.7046         0.6824
Khoitam          0.3077        0.1291       0.8104         0.8190       0.3022        0.1383       0.8141         0.8200
Rahung           0.3224        0.1357       0.8027         0.8206       0.3901        0.1685       0.7741         0.7678
Rupa             0.3934        0.1621       0.7978         0.7687       0.4176        0.1804       0.7799         0.7547
Shergaon         0.3552        0.1503       0.7807         0.7957       0.4536        0.2086       0.7196         0.7318
TOTAL            0.4459        0.1880       0.7531         0.7458       0.4533        0.1985       0.7426         0.7370


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7236        0.2952       0.6135         0.5993       0.7455        0.3106       0.5992         0.5875
Jerigaon         0.4708        0.2214       0.7583         0.7115       0.5491        0.2512       0.6862         0.6745
Khispi           0.6291        0.2548       0.6551         0.6505       0.5782        0.2394       0.6742         0.6742
Khoina           0.5328        0.2366       0.7242         0.6916       0.7263        0.3248       0.6292         0.5778
Khoitam          0.3248        0.1423       0.8045         0.7998       0.4745        0.2165       0.7254         0.7086
Rahung           0.3636        0.1497       0.7770         0.7941       0.5165        0.2302       0.7013         0.6919
Rupa             0.4182        0.1715       0.7863         0.7531       0.5511        0.2433       0.7070         0.6734
Shergaon         0.4073        0.1776       0.7527         0.7564       0.5382        0.2394       0.6722         0.6767
TOTAL            0.4838        0.2061       0.7339         0.7195       0.5849        0.2569       0.6744         0.6581


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8898        0.3656       0.5244         0.5191       0.9689        0.4056       0.5077         0.4772
Jerigaon         0.5253        0.2402       0.7120         0.6861       0.9552        0.4272       0.5452         0.4712
Khispi           0.7790        0.3203       0.5738         0.5778       0.8300        0.3535       0.5551         0.5361
Khoina           0.6986        0.3038       0.7034         0.5971       1.0702        0.4813       0.5188         0.4212
Khoitam          0.3659        0.1597       0.7858         0.7772       0.6379        0.2797       0.6389         0.6286
Rahung           0.4270        0.1809       0.7451         0.7562       0.7191        0.3235       0.6084         0.5861
Rupa             0.5000        0.2122       0.7277         0.7048       0.6694        0.2999       0.6326         0.6042
Shergaon         0.5183        0.2413       0.7109         0.6756       0.8789        0.3901       0.5239         0.5021
TOTAL            0.5880        0.2530       0.6854         0.6617       0.8412        0.3701       0.5663         0.5283


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8682        0.3563       0.5249         0.5376       1.3234        0.5493       0.4032         0.3238
Jerigaon         0.6123        0.2738       0.6801         0.6451       1.2665        0.5466       0.4143         0.3504
Khispi           0.7816        0.3179       0.5652         0.5838       1.1563        0.4825       0.4713         0.3938
Khoina           0.6912        0.3076       0.6386         0.6031       1.2949        0.5674       0.4117         0.3398
Khoitam          0.3834        0.1670       0.7691         0.7753       0.7494        0.3229       0.5779         0.5834
Rahung           0.4176        0.1781       0.7459         0.7663       1.0971        0.4857       0.4890         0.3971
Rupa             0.5533        0.2300       0.7001         0.6902       0.9467        0.4207       0.5229         0.4670
Shergaon         0.6619        0.2924       0.6435         0.6161       1.0853        0.4906       0.4590         0.3933
TOTAL            0.6212        0.2654       0.6584         0.6522       1.1150        0.4832       0.4686         0.4061


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              0.9000        0.3667       0.7688         0.4858       1.2000        0.4583       0.7165         0.4114
ChaYeQing           1.1000        0.4583       0.7239         0.4133       1.3500        0.5333       0.7220         0.3128
ChuDongGua          1.4000        0.5208       0.6711         0.3128       1.3000        0.5083       0.7426         0.3477
GuangKa             0.8000        0.3250       0.8347         0.5633       1.1000        0.4250       0.7616         0.4477
HtanHsan            1.1500        0.4500       0.7803         0.4013       1.0500        0.3917       0.7599         0.5101
KhunHawt            1.2500        0.4750       0.7387         0.3666       1.3500        0.5167       0.6460         0.3441
MangBang            0.8500        0.3250       0.7707         0.5674       1.4500        0.5667       0.7434         0.2941
ManLoi              1.2000        0.4750       0.7309         0.3692       1.3500        0.5333       0.7046         0.3573
MengDan             1.2500        0.4542       0.7019         0.3985       1.1000        0.4250       0.7607         0.4491
NamHsan             1.2000        0.4583       0.7398         0.4133       1.4000        0.5250       0.7063         0.3675
NanSang             0.6500        0.2583       0.8427         0.6559       1.0000        0.4083       0.7628         0.4748
NoeLae              0.8500        0.3500       0.8085         0.4973       1.0000        0.4000       0.7408         0.4670
NyaungGone          0.9500        0.3917       0.8098         0.4707       1.0000        0.4000       0.7656         0.4826
PangKham            1.0500        0.3917       0.7515         0.4862       1.1000        0.4250       0.6934         0.4405
PongNuea            1.2000        0.4917       0.7803         0.3551       0.9000        0.3667       0.7729         0.5013
XiangZhaiTang       1.4000        0.5333       0.7021         0.3013       0.9000        0.3583       0.7988         0.4936
TOTAL               1.0750        0.4203       0.7597         0.4411       1.1594        0.4526       0.7374         0.4189


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.1538        0.4252       0.6937         0.4543       1.2564        0.4560       0.6127         0.4201
ChaYeQing           1.5385        0.5620       0.5867         0.3004       1.7436        0.6427       0.5433         0.2421
ChuDongGua          1.4872        0.5436       0.6228         0.2993       1.6410        0.5970       0.5593         0.2851
GuangKa             1.2051        0.4402       0.7004         0.4133       1.4359        0.5342       0.6260         0.3469
HtanHsan            1.5128        0.5278       0.5836         0.3526       1.7436        0.6278       0.4953         0.2602
KhunHawt            1.5641        0.5534       0.5850         0.3039       1.8462        0.6568       0.4925         0.2202
MangBang            1.1538        0.4209       0.6691         0.4412       1.8718        0.6551       0.5204         0.2225
ManLoi              1.2564        0.4701       0.7078         0.3772       1.5897        0.5795       0.6183         0.3033
MengDan             1.4872        0.5325       0.6588         0.3430       1.5128        0.5436       0.5639         0.3293
NamHsan             1.3846        0.5073       0.6458         0.3522       1.6154        0.5714       0.5401         0.2953
NanSang             1.0513        0.3803       0.7303         0.5048       1.3590        0.5026       0.6184         0.3735
NoeLae              1.0513        0.3910       0.7297         0.4778       1.3846        0.4953       0.6096         0.3700
NyaungGone          1.1026        0.4124       0.7285         0.4439       1.4872        0.5350       0.5404         0.3179
PangKham            1.0769        0.3889       0.7394         0.4728       1.4615        0.5231       0.5124         0.3318
PongNuea            1.3077        0.4936       0.6955         0.3590       1.3846        0.5064       0.6453         0.3674
XiangZhaiTang       1.5128        0.5628       0.6664         0.2835       1.3846        0.5030       0.6201         0.3557
TOTAL               1.3029        0.4757       0.6715         0.3862       1.5449        0.5581       0.5699         0.3151


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.2542        0.4534       0.6297         0.4225       1.5593        0.5540       0.5633         0.2956
ChaYeQing           1.5000        0.5432       0.5582         0.3226       1.8036        0.6369       0.4540         0.2440
ChuDongGua          1.6610        0.5994       0.5120         0.2550       1.6610        0.5859       0.4840         0.2970
GuangKa             1.2712        0.4534       0.6184         0.4100       1.5593        0.5692       0.5294         0.2869
HtanHsan            1.4576        0.4944       0.5535         0.3903       1.9322        0.6836       0.4229         0.2148
KhunHawt            1.5593        0.5297       0.5379         0.3434       2.0169        0.7034       0.3947         0.1920
MangBang            1.2373        0.4421       0.6022         0.4152       2.0000        0.6822       0.4076         0.2020
ManLoi              1.3220        0.4831       0.6383         0.3631       1.8644        0.6568       0.4895         0.2234
MengDan             1.6102        0.5653       0.5263         0.3135       2.3729        0.8020       0.2122         0.1062
NamHsan             1.4068        0.5020       0.5884         0.3503       1.9661        0.6743       0.4272         0.2198
NanSang             1.1695        0.4124       0.6319         0.4581       1.7288        0.6251       0.4462         0.2630
NoeLae              1.0847        0.3969       0.6916         0.4667       1.5593        0.5540       0.5647         0.2946
NyaungGone          1.1186        0.4082       0.6807         0.4522       1.7797        0.6274       0.5081         0.2513
PangKham            1.1525        0.4124       0.6815         0.4484       1.7288        0.5901       0.4407         0.2546
PongNuea            1.2373        0.4619       0.6522         0.3941       1.5593        0.5621       0.5841         0.3086
XiangZhaiTang       1.5254        0.5534       0.5674         0.2838       1.5085        0.5452       0.5395         0.3141
TOTAL               1.3480        0.4819       0.6044         0.3806       1.7875        0.6283       0.4668         0.2480


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.3896        0.5141       0.5785         0.3591       2.1039        0.7442       0.3507         0.1506
ChaYeQing           1.5811        0.5845       0.5250         0.2801       2.2162        0.7554       0.3160         0.1452
ChuDongGua          1.6883        0.6141       0.4826         0.2418       2.6104        0.8561       0.1470         0.0626
GuangKa             1.7763        0.5803       0.4666         0.2770       1.9868        0.7206       0.3616         0.1582
HtanHsan            1.4400        0.4951       0.5544         0.3930       2.2000        0.7662       0.3165         0.1399
KhunHawt            1.5694        0.5373       0.5363         0.3360       2.0972        0.7028       0.3272         0.1884
MangBang            1.4605        0.5296       0.5132         0.3100       2.1842        0.7522       0.3425         0.1554
ManLoi              1.5256        0.5662       0.5624         0.2961       2.1410        0.7865       0.3215         0.1184
MengDan             1.8533        0.6553       0.4632         0.2487       2.3600        0.7860       0.1979         0.1303
NamHsan             1.6623        0.5989       0.4770         0.2684       2.2208        0.7361       0.3102         0.1701
NanSang             1.6184        0.5855       0.4762         0.2745       2.3421        0.8318       0.2014         0.0746
NoeLae              1.1795        0.4370       0.6216         0.4143       1.8590        0.6703       0.3499         0.2190
NyaungGone          1.1818        0.4405       0.6267         0.4115       1.9870        0.7216       0.3522         0.1593
PangKham            1.2208        0.4448       0.6259         0.4227       2.1299        0.7392       0.3235         0.1492
PongNuea            1.3766        0.5115       0.5764         0.3490       2.0260        0.7227       0.3479         0.1821
XiangZhaiTang       1.5789        0.5842       0.5055         0.2559       2.1316        0.7581       0.3137         0.1434
TOTAL               1.5064        0.5424       0.5370         0.3211       2.1623        0.7531       0.3050         0.1467


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.7527        0.6523       0.4740         0.2454       2.5484        0.9217       0.1181         0.0282
ChaYeQing           1.7444        0.6441       0.4619         0.2423       2.5556        0.8563       0.2365         0.0819
ChuDongGua          1.8495        0.6652       0.4327         0.2051       2.6667        0.9002       0.1354         0.0272
GuangKa             1.8222        0.5941       0.4277         0.2739       2.3778        0.8191       0.2617         0.1094
HtanHsan            1.6747        0.5689       0.4845         0.3206       2.2651        0.7757       0.2864         0.1332
KhunHawt            1.4872        0.5184       0.5622         0.3621       2.4615        0.8128       0.2641         0.1167
MangBang            1.4725        0.5357       0.4942         0.3135       2.2747        0.8108       0.2767         0.1090
ManLoi              1.5789        0.5868       0.5231         0.2939       2.3789        0.8418       0.2692         0.0777
MengDan             1.9551        0.6865       0.4057         0.2113       2.6556        0.8926       0.1554         0.0455
NamHsan             1.6667        0.5927       0.4671         0.2793       2.4643        0.8190       0.2554         0.1282
NanSang             1.8065        0.6102       0.4056         0.2713       2.2796        0.7756       0.2548         0.1339
NoeLae              1.3438        0.4948       0.5897         0.3776       2.2812        0.7922       0.2562         0.1391
NyaungGone          1.3936        0.4998       0.5573         0.3497       2.2553        0.7968       0.2568         0.1245
PangKham            1.5376        0.5579       0.5335         0.3105       2.5054        0.8384       0.2520         0.0780
PongNuea            1.2872        0.4801       0.5848         0.3884       2.2660        0.7738       0.2692         0.1321
XiangZhaiTang       1.5699        0.5763       0.4818         0.2785       2.5699        0.8923       0.1105         0.0299
TOTAL               1.6214        0.5790       0.4929         0.2952       2.4254        0.8324       0.2286         0.0934


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
