COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
192-4				n a̰ ³¹			
195-4				n a ³			
200-4				g i t ⁵⁴			
216-4				ʃ a n ⁵⁴			
218-4				l ɔ ʔ ³²			
225-4				ʃ a ŋ ⁵⁴			
235-4				kʰ i ³¹			
244-4				ʃ i t ⁵⁴			
253-4				m i ³¹			
270-4				m i ³¹			
278-4				m a ŋ ³¹			
279-4				a ³¹			
285-4				ʔ a̰ m ³¹			
308-4				pʰ ḭ ⁵⁴			
322-4				m i ³²			
325-4				kʰ o̰ ⁵			
337-4				m a ŋ ³¹			
341-4				d z ɔ ³			
347-4				ʃ au ʔ ⁵⁴			
362-4				ɣ i ³			
391-4				ʔ a ʔ ⁵⁴			
394-4				m ɔ ʔ ⁵⁴			
397-4				tʃʰ i ⁵⁴			
443-4				m j a̰ ʔ ⁵⁴			
460-4				ʃ e t ⁵⁴			
463-4				w i ³¹			
464-4				ʔ au ŋ ⁵⁴			
473-4				ʃ o ŋ ⁵⁴			
476-4				kʰ au ʔ ³¹			
481-4				tsʰ a t ³¹			
494-4				l ɔ ⁵⁴			
496-4				ʃ a ŋ ³¹			
516-4				w i ³			
1-5					m u ⁵⁵		
4-5					l a ⁵⁵		
18-5					m i ⁵⁵		
19-5					n i ⁵⁵		
44-5					l u ⁵⁵		
50-5					ʃ a ŋ ⁵⁵		
62-5					ʃ i ʔ ⁵⁵		
70-5					p a n ⁵⁵		
75-5					m j a ³¹		
97-5					ts a ŋ ⁵⁵		
112-5					ʃ a ³¹		
122-5					m o ⁵⁵		
127-5					kʰ w i ⁵⁵		
132-5					w a ʔ ⁵⁵		
133-5					n u ŋ ³¹		
135-5					n u ³¹		
142-5					t i ⁵⁵		
143-5					ŋ a ʔ ⁵⁵		
149-5					ɹ u ⁵⁵		
152-5					ŋ a ⁵⁵		
157-5					pʰ a ³¹		
183-5					ʔ u ⁵⁵		
184-5					n u ⁵⁵		
185-5					ʃ ɛ m ⁵⁵		
189-5					m j a ʔ ⁵⁵		
192-5					n i ⁵⁵		
195-5					n a ⁵⁵		
200-5					ʃ i ⁵⁵		
216-5					ʃ i ŋ ⁵⁵		
218-5					l a ʔ ⁵⁵		
225-5					ʃ a ŋ ⁵⁵		
235-5					kʰ i ⁵⁵		
244-5					ʃ w i ⁵⁵		
253-5					m i ³¹		
270-5					m i ³¹		
278-5					m j i ŋ ⁵⁵		
279-5					w a ³¹		
285-5					ɹ i ³¹		
308-5					p i ³¹		
322-5					m i ³¹		
325-5					kʰ u ⁵⁵		
337-5					m j a ŋ ⁵⁵		
341-5					t a ³¹		
347-5					ʃ o ʔ ⁵⁵		
362-5					ɹ i ⁵⁵		
391-5					ɹ i ʔ ⁵⁵		
394-5					m a ʔ ⁵⁵		
397-5					ʃ i ⁵⁵		
443-5					m j i ʔ ⁵⁵		
460-5					ʃ a ⁵⁵		
463-5					w i ⁵⁵		
464-5					ʔ a ŋ ⁵⁵		
473-5					ʃ a m ⁵⁵		
476-5					kʰ j ɔ ⁵⁵		
481-5					tʰ i ⁵⁵		
494-5					ɹ i ⁵⁵		
496-5					ʃ a ŋ ⁵⁵		
516-5					w i ⁵⁵		
1-6						m w iː	
4-6						l a	
18-6						m r a n	
19-6						n r e	
44-6						l au	
50-6						tsʰ w i	
62-6						s a k	
70-6						p a n	
75-6						m r a n	
97-6						tsʰ a	
112-6						tsʰ a	
122-6						m j w i	
127-6						kʰ w e	
132-6						w a	
133-6						n w u	
135-6						n w iː	
142-6						t w u	
143-6						ŋ a	
149-6						r u	
152-6						ŋ a	
157-6						p w i	
183-6						w i	
184-6						n w iː	
185-6						tsʰ a m	
189-6						m r a	
192-6						n u	
195-6						n a	
200-6						kʰ a	
216-6						s a	
218-6						l a	
225-6						s a	
235-6						kʰ e	
244-6						s w iː	
253-6						m j a	
270-6						m a	
278-6						m j i	
279-6						w a	
285-6						r a	
308-6						pʰ a	
322-6						m a	
325-6						kʰ w iː	
337-6						m r a	
341-6						t a	
347-6						tsʰ au	
362-6						r a	
391-6						r a	
394-6						m a	
397-6						tsʰ e	
443-6						m r a p	
460-6						s a	
463-6						w e	
464-6						l a	
473-6						s a m	
476-6						kʰ r	
481-6						tsʰ a	
494-6						k w i	
496-6						tsʰ j i	
516-6						w i	
1-7							m au ³¹
4-7							l a ³¹
18-7							m i ³¹
19-7							n i ³¹
44-7							l u ³¹
50-7							ʃ i ŋ ⁵³
62-7							ʃ i ⁵
70-7							b a n ³²
75-7							m ɔ n ⁵
97-7							tʃʰ a ŋ ⁵
112-7							tsʰ ɔ ³¹
122-7							m j u ŋ ⁵³
127-7							kʰ w i ³¹
132-7							w ɔ ³¹
133-7							n w i ŋ ³²
135-7							n w i ³¹
142-7							d z i ³¹
143-7							ŋ ɔ ʔ ⁵
149-7							ʔ u ⁵
152-7							ŋ ɔ ³¹
157-7							pʰ ɔ ³¹
183-7							ʔ u ³
184-7							n u ⁵³
185-7							tsʰ a m ⁵³
189-7							m j ɔ ʔ ³¹
192-7							n i ³¹
195-7							n ɔ ³¹
200-7							g i t ⁵
216-7							ʃ i ŋ ³
218-7							l ɔ ʔ ³²
225-7							ʃ i ŋ ³
235-7							kʰ i t ⁵
244-7							ʃ w i ³¹
253-7							m i ³¹
270-7							m i ⁵³
278-7							m i ŋ ⁵³
279-7							w ʊ ³¹
285-7							w i ³¹
308-7							pʰ i ³¹
322-7							m i ³¹
325-7							kʰ au ⁵
337-7							m j a ŋ ³²
341-7							d z ɔ ³¹
347-7							ʃ u t ⁵
362-7							w i ³¹
391-7							ʔ i t ⁵
394-7							m ɔ ³¹
397-7							tʃʰ i ⁵
443-7							m ɔ t ⁵
460-7							ʃ a t ⁵
463-7							w i ³¹
464-7							j a ŋ ⁵
473-7							ʃ ɔ m ⁵
476-7							kʰ j u ŋ ⁵
481-7							tsʰ i t ⁵
494-7							g i ⁵
496-7							ʃ i ŋ ⁵³
516-7							w i ³¹
