index	index_p	rindex	rindex_p	cogid	id_1	segment_1	segment_1_L1	segment_1_L2	segment_1_L3	segment_1_R1	segment_1_R2	segment_1_R3	SC_1	SC_1_L1	SC_1_L2	SC_1_L3	SC_1_R1	SC_1_R2	SC_1_R3	PROSODY_1	PROSODY_1_L1	PROSODY_1_L2	PROSODY_1_L3	PROSODY_1_R1	PROSODY_1_R2	PROSODY_1_R3	id_2	segment_2	segment_2_L1	segment_2_L2	segment_2_L3	segment_2_R1	segment_2_R2	segment_2_R3	SC_2	SC_2_L1	SC_2_L2	SC_2_L3	SC_2_R1	SC_2_R2	SC_2_R3	PROSODY_2	PROSODY_2_L1	PROSODY_2_L2	PROSODY_2_L3	PROSODY_2_R1	PROSODY_2_R2	PROSODY_2_R3	id_3	segment_3	segment_3_L1	segment_3_L2	segment_3_L3	segment_3_R1	segment_3_R2	segment_3_R3	SC_3	SC_3_L1	SC_3_L2	SC_3_L3	SC_3_R1	SC_3_R2	SC_3_R3	PROSODY_3	PROSODY_3_L1	PROSODY_3_L2	PROSODY_3_L3	PROSODY_3_R1	PROSODY_3_R2	PROSODY_3_R3	id_4	segment_4	segment_4_L1	segment_4_L2	segment_4_L3	segment_4_R1	segment_4_R2	segment_4_R3	SC_4	SC_4_L1	SC_4_L2	SC_4_L3	SC_4_R1	SC_4_R2	SC_4_R3	PROSODY_4	PROSODY_4_L1	PROSODY_4_L2	PROSODY_4_L3	PROSODY_4_R1	PROSODY_4_R2	PROSODY_4_R3	id_5	segment_5	segment_5_L1	segment_5_L2	segment_5_L3	segment_5_R1	segment_5_R2	segment_5_R3	SC_5	SC_5_L1	SC_5_L2	SC_5_L3	SC_5_R1	SC_5_R2	SC_5_R3	PROSODY_5	PROSODY_5_L1	PROSODY_5_L2	PROSODY_5_L3	PROSODY_5_R1	PROSODY_5_R2	PROSODY_5_R3	id_6	segment_6	segment_6_L1	segment_6_L2	segment_6_L3	segment_6_R1	segment_6_R2	segment_6_R3	SC_6	SC_6_L1	SC_6_L2	SC_6_L3	SC_6_R1	SC_6_R2	SC_6_R3	PROSODY_6	PROSODY_6_L1	PROSODY_6_L2	PROSODY_6_L3	PROSODY_6_R1	PROSODY_6_R2	PROSODY_6_R3	id_7	segment_7	segment_7_L1	segment_7_L2	segment_7_L3	segment_7_R1	segment_7_R2	segment_7_R3	SC_7	SC_7_L1	SC_7_L2	SC_7_L3	SC_7_R1	SC_7_R2	SC_7_R3	PROSODY_7	PROSODY_7_L1	PROSODY_7_L2	PROSODY_7_L3	PROSODY_7_R1	PROSODY_7_R2	PROSODY_7_R3	id_8	segment_8	segment_8_L1	segment_8_L2	segment_8_L3	segment_8_R1	segment_8_R2	segment_8_R3	SC_8	SC_8_L1	SC_8_L2	SC_8_L3	SC_8_R1	SC_8_R2	SC_8_R3	PROSODY_8	PROSODY_8_L1	PROSODY_8_L2	PROSODY_8_L3	PROSODY_8_R1	PROSODY_8_R2	PROSODY_8_R3	id_9	segment_9	segment_9_L1	segment_9_L2	segment_9_L3	segment_9_R1	segment_9_R2	segment_9_R3	SC_9	SC_9_L1	SC_9_L2	SC_9_L3	SC_9_R1	SC_9_R2	SC_9_R3	PROSODY_9	PROSODY_9_L1	PROSODY_9_L2	PROSODY_9_L3	PROSODY_9_R1	PROSODY_9_R2	PROSODY_9_R3	id_10	segment_10	segment_10_L1	segment_10_L2	segment_10_L3	segment_10_R1	segment_10_R2	segment_10_R3	SC_10	SC_10_L1	SC_10_L2	SC_10_L3	SC_10_R1	SC_10_R2	SC_10_R3	PROSODY_10	PROSODY_10_L1	PROSODY_10_L2	PROSODY_10_L3	PROSODY_10_R1	PROSODY_10_R2	PROSODY_10_R3
4	1.0000	1	0.2500	24																							5	a	x	u	tʰ	∅	∅	∅	A	G	Y	T	∅	∅	∅	7	3	7	1	∅	∅	∅																							6	-	k	u	t	∅	∅	∅	_	K	Y	T	∅	∅	∅	0	1	7	1	∅	∅	∅																																																																																									7	a	χ	ʊ	r	∅	∅	∅	A	G	Y	R	∅	∅	∅	7	3	7	5	∅	∅	∅																						
1	0.3333	3	1.0000	32	8	ɔ	∅	∅	∅	s	ɛ	∅	U	∅	∅	∅	S	E	∅	7	∅	∅	∅	3	7	∅																																																																																									9	o	∅	∅	∅	s	e	∅	U	∅	∅	∅	S	E	∅	7	∅	∅	∅	3	7	∅																																																																																								
2	0.6667	2	0.6667	32	8	s	ɔ	∅	∅	ɛ	∅	∅	S	U	∅	∅	E	∅	∅	3	7	∅	∅	7	∅	∅																																																																																									9	s	o	∅	∅	e	∅	∅	S	U	∅	∅	E	∅	∅	3	7	∅	∅	7	∅	∅																																																																																								
3	1.0000	1	0.3333	32	8	ɛ	s	ɔ	∅	∅	∅	∅	E	S	U	∅	∅	∅	∅	7	3	7	∅	∅	∅	∅																																																																																									9	e	s	o	∅	∅	∅	∅	E	S	U	∅	∅	∅	∅	7	3	7	∅	∅	∅	∅																																																																																								
1	0.2000	5	1.0000	43	10	z	∅	∅	∅	i	-	m	S	∅	∅	∅	I	_	M	3	∅	∅	∅	7	0	4																																																																																																															12	d	∅	∅	∅	î	-	m	T	∅	∅	∅	I	_	M	1	∅	∅	∅	7	0	4																							13	d	∅	∅	∅	i	-	m	T	∅	∅	∅	I	_	M	1	∅	∅	∅	7	0	4	11	s	∅	∅	∅	i	i	m	S	∅	∅	∅	I	I	M	3	∅	∅	∅	7	7	4
2	0.4000	4	0.8000	43	10	i	z	∅	∅	-	m	u	I	S	∅	∅	_	M	Y	7	3	∅	∅	0	4	7																																																																																																															12	î	d	∅	∅	-	m	u	I	T	∅	∅	_	M	Y	7	1	∅	∅	0	4	7																							13	i	d	∅	∅	-	m	ʊ	I	T	∅	∅	_	M	Y	7	1	∅	∅	0	4	7	11	i	s	∅	∅	i	m	u	I	S	∅	∅	I	M	Y	7	3	∅	∅	7	4	7
3	0.6000	3	0.6000	43	10	-	i	z	∅	m	u	∅	_	I	S	∅	M	Y	∅	0	7	3	∅	4	7	∅																																																																																																															12	-	î	d	∅	m	u	∅	_	I	T	∅	M	Y	∅	0	7	1	∅	4	7	∅																							13	-	i	d	∅	m	ʊ	∅	_	I	T	∅	M	Y	∅	0	7	1	∅	4	7	∅	11	i	i	s	∅	m	u	∅	I	I	S	∅	M	Y	∅	7	7	3	∅	4	7	∅
4	0.8000	2	0.4000	43	10	m	-	i	z	u	∅	∅	M	_	I	S	Y	∅	∅	4	0	7	3	7	∅	∅																																																																																																															12	m	-	î	d	u	∅	∅	M	_	I	T	Y	∅	∅	4	0	7	1	7	∅	∅																							13	m	-	i	d	ʊ	∅	∅	M	_	I	T	Y	∅	∅	4	0	7	1	7	∅	∅	11	m	i	i	s	u	∅	∅	M	I	I	S	Y	∅	∅	4	7	7	3	7	∅	∅
5	1.0000	1	0.2000	43	10	u	m	-	i	∅	∅	∅	Y	M	_	I	∅	∅	∅	7	4	0	7	∅	∅	∅																																																																																																															12	u	m	-	î	∅	∅	∅	Y	M	_	I	∅	∅	∅	7	4	0	7	∅	∅	∅																							13	ʊ	m	-	i	∅	∅	∅	Y	M	_	I	∅	∅	∅	7	4	0	7	∅	∅	∅	11	u	m	i	i	∅	∅	∅	Y	M	I	I	∅	∅	∅	7	4	7	7	∅	∅	∅
1	0.2500	4	1.0000	55																																													15	ɲ	∅	∅	∅	a	m	a	N	∅	∅	∅	A	M	A	4	∅	∅	∅	7	4	7	16	n	∅	∅	∅	a	m	a	N	∅	∅	∅	A	M	A	4	∅	∅	∅	7	4	7																							17	-	∅	∅	∅	a	m	a	_	∅	∅	∅	A	M	A	0	∅	∅	∅	7	4	7																							18	ɲ	∅	∅	∅	a	m	a	N	∅	∅	∅	A	M	A	4	∅	∅	∅	7	4	7																							14	ɲ	∅	∅	∅	a	m	a	N	∅	∅	∅	A	M	A	4	∅	∅	∅	7	4	7
2	0.5000	3	0.7500	55																																													15	a	ɲ	∅	∅	m	a	∅	A	N	∅	∅	M	A	∅	7	4	∅	∅	4	7	∅	16	a	n	∅	∅	m	a	∅	A	N	∅	∅	M	A	∅	7	4	∅	∅	4	7	∅																							17	a	-	∅	∅	m	a	∅	A	_	∅	∅	M	A	∅	7	0	∅	∅	4	7	∅																							18	a	ɲ	∅	∅	m	a	∅	A	N	∅	∅	M	A	∅	7	4	∅	∅	4	7	∅																							14	a	ɲ	∅	∅	m	a	∅	A	N	∅	∅	M	A	∅	7	4	∅	∅	4	7	∅
3	0.7500	2	0.5000	55																																													15	m	a	ɲ	∅	a	∅	∅	M	A	N	∅	A	∅	∅	4	7	4	∅	7	∅	∅	16	m	a	n	∅	a	∅	∅	M	A	N	∅	A	∅	∅	4	7	4	∅	7	∅	∅																							17	m	a	-	∅	a	∅	∅	M	A	_	∅	A	∅	∅	4	7	0	∅	7	∅	∅																							18	m	a	ɲ	∅	a	∅	∅	M	A	N	∅	A	∅	∅	4	7	4	∅	7	∅	∅																							14	m	a	ɲ	∅	a	∅	∅	M	A	N	∅	A	∅	∅	4	7	4	∅	7	∅	∅
4	1.0000	1	0.2500	55																																													15	a	m	a	ɲ	∅	∅	∅	A	M	A	N	∅	∅	∅	7	4	7	4	∅	∅	∅	16	a	m	a	n	∅	∅	∅	A	M	A	N	∅	∅	∅	7	4	7	4	∅	∅	∅																							17	a	m	a	-	∅	∅	∅	A	M	A	_	∅	∅	∅	7	4	7	0	∅	∅	∅																							18	a	m	a	ɲ	∅	∅	∅	A	M	A	N	∅	∅	∅	7	4	7	4	∅	∅	∅																							14	a	m	a	ɲ	∅	∅	∅	A	M	A	N	∅	∅	∅	7	4	7	4	∅	∅	∅
1	0.2000	5	1.0000	76																																																																																																															20	i	∅	∅	∅	t	i	k	I	∅	∅	∅	T	I	K	7	∅	∅	∅	1	7	1																																																																			19	iː	∅	∅	∅	t	i	k	I	∅	∅	∅	T	I	K	7	∅	∅	∅	1	7	1
2	0.4000	4	0.8000	76																																																																																																															20	t	i	∅	∅	i	k	a	T	I	∅	∅	I	K	A	1	7	∅	∅	7	1	7																																																																			19	t	iː	∅	∅	i	k	a	T	I	∅	∅	I	K	A	1	7	∅	∅	7	1	7
3	0.6000	3	0.6000	76																																																																																																															20	i	t	i	∅	k	a	∅	I	T	I	∅	K	A	∅	7	1	7	∅	1	7	∅																																																																			19	i	t	iː	∅	k	a	∅	I	T	I	∅	K	A	∅	7	1	7	∅	1	7	∅
4	0.8000	2	0.4000	76																																																																																																															20	k	i	t	i	a	∅	∅	K	I	T	I	A	∅	∅	1	7	1	7	7	∅	∅																																																																			19	k	i	t	iː	a	∅	∅	K	I	T	I	A	∅	∅	1	7	1	7	7	∅	∅
5	1.0000	1	0.2000	76																																																																																																															20	a	k	i	t	∅	∅	∅	A	K	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅																																																																			19	a	k	i	t	∅	∅	∅	A	K	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.2500	4	1.0000	93	21	k	∅	∅	∅	ɔ	n	ɔ	K	∅	∅	∅	U	N	U	1	∅	∅	∅	7	4	7	23	x	∅	∅	∅	o	n	o	G	∅	∅	∅	U	N	U	3	∅	∅	∅	7	4	7																																																																			24	k	∅	∅	∅	o	n	o	K	∅	∅	∅	U	N	U	1	∅	∅	∅	7	4	7																																																																			22	k	∅	∅	∅	o	n	o	K	∅	∅	∅	U	N	U	1	∅	∅	∅	7	4	7
2	0.5000	3	0.7500	93	21	ɔ	k	∅	∅	n	ɔ	∅	U	K	∅	∅	N	U	∅	7	1	∅	∅	4	7	∅	23	o	x	∅	∅	n	o	∅	U	G	∅	∅	N	U	∅	7	3	∅	∅	4	7	∅																																																																			24	o	k	∅	∅	n	o	∅	U	K	∅	∅	N	U	∅	7	1	∅	∅	4	7	∅																																																																			22	o	k	∅	∅	n	o	∅	U	K	∅	∅	N	U	∅	7	1	∅	∅	4	7	∅
3	0.7500	2	0.5000	93	21	n	ɔ	k	∅	ɔ	∅	∅	N	U	K	∅	U	∅	∅	4	7	1	∅	7	∅	∅	23	n	o	x	∅	o	∅	∅	N	U	G	∅	U	∅	∅	4	7	3	∅	7	∅	∅																																																																			24	n	o	k	∅	o	∅	∅	N	U	K	∅	U	∅	∅	4	7	1	∅	7	∅	∅																																																																			22	n	o	k	∅	o	∅	∅	N	U	K	∅	U	∅	∅	4	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	93	21	ɔ	n	ɔ	k	∅	∅	∅	U	N	U	K	∅	∅	∅	7	4	7	1	∅	∅	∅	23	o	n	o	x	∅	∅	∅	U	N	U	G	∅	∅	∅	7	4	7	3	∅	∅	∅																																																																			24	o	n	o	k	∅	∅	∅	U	N	U	K	∅	∅	∅	7	4	7	1	∅	∅	∅																																																																			22	o	n	o	k	∅	∅	∅	U	N	U	K	∅	∅	∅	7	4	7	1	∅	∅	∅
1	0.2500	4	1.0000	94																																													25	b	∅	∅	∅	ɔ	g	ɔ	P	∅	∅	∅	U	K	U	1	∅	∅	∅	7	1	7	26	β	∅	∅	∅	o	k	o	B	∅	∅	∅	U	K	U	3	∅	∅	∅	7	1	7																																													27	β	∅	∅	∅	ɔ	k	ɔ	B	∅	∅	∅	U	K	U	3	∅	∅	∅	7	1	7	28	b	∅	∅	∅	o	k	o	P	∅	∅	∅	U	K	U	1	∅	∅	∅	7	1	7	29	b	∅	∅	∅	ɔ	χ	ɔ	P	∅	∅	∅	U	G	U	1	∅	∅	∅	7	3	7																						
2	0.5000	3	0.7500	94																																													25	ɔ	b	∅	∅	g	ɔ	∅	U	P	∅	∅	K	U	∅	7	1	∅	∅	1	7	∅	26	o	β	∅	∅	k	o	∅	U	B	∅	∅	K	U	∅	7	3	∅	∅	1	7	∅																																													27	ɔ	β	∅	∅	k	ɔ	∅	U	B	∅	∅	K	U	∅	7	3	∅	∅	1	7	∅	28	o	b	∅	∅	k	o	∅	U	P	∅	∅	K	U	∅	7	1	∅	∅	1	7	∅	29	ɔ	b	∅	∅	χ	ɔ	∅	U	P	∅	∅	G	U	∅	7	1	∅	∅	3	7	∅																						
3	0.7500	2	0.5000	94																																													25	g	ɔ	b	∅	ɔ	∅	∅	K	U	P	∅	U	∅	∅	1	7	1	∅	7	∅	∅	26	k	o	β	∅	o	∅	∅	K	U	B	∅	U	∅	∅	1	7	3	∅	7	∅	∅																																													27	k	ɔ	β	∅	ɔ	∅	∅	K	U	B	∅	U	∅	∅	1	7	3	∅	7	∅	∅	28	k	o	b	∅	o	∅	∅	K	U	P	∅	U	∅	∅	1	7	1	∅	7	∅	∅	29	χ	ɔ	b	∅	ɔ	∅	∅	G	U	P	∅	U	∅	∅	3	7	1	∅	7	∅	∅																						
4	1.0000	1	0.2500	94																																													25	ɔ	g	ɔ	b	∅	∅	∅	U	K	U	P	∅	∅	∅	7	1	7	1	∅	∅	∅	26	o	k	o	β	∅	∅	∅	U	K	U	B	∅	∅	∅	7	1	7	3	∅	∅	∅																																													27	ɔ	k	ɔ	β	∅	∅	∅	U	K	U	B	∅	∅	∅	7	1	7	3	∅	∅	∅	28	o	k	o	b	∅	∅	∅	U	K	U	P	∅	∅	∅	7	1	7	1	∅	∅	∅	29	ɔ	χ	ɔ	b	∅	∅	∅	U	G	U	P	∅	∅	∅	7	3	7	1	∅	∅	∅																						
1	0.2500	4	1.0000	104	30	a	∅	∅	∅	a	p	a	A	∅	∅	∅	A	P	A	7	∅	∅	∅	7	1	7																																													31	a	∅	∅	∅	-	p	a	A	∅	∅	∅	_	P	A	7	∅	∅	∅	0	1	7																																																																																																																																				
2	0.5000	3	0.7500	104	30	a	a	∅	∅	p	a	∅	A	A	∅	∅	P	A	∅	7	7	∅	∅	1	7	∅																																													31	-	a	∅	∅	p	a	∅	_	A	∅	∅	P	A	∅	0	7	∅	∅	1	7	∅																																																																																																																																				
3	0.7500	2	0.5000	104	30	p	a	a	∅	a	∅	∅	P	A	A	∅	A	∅	∅	1	7	7	∅	7	∅	∅																																													31	p	-	a	∅	a	∅	∅	P	_	A	∅	A	∅	∅	1	0	7	∅	7	∅	∅																																																																																																																																				
4	1.0000	1	0.2500	104	30	a	p	a	a	∅	∅	∅	A	P	A	A	∅	∅	∅	7	1	7	7	∅	∅	∅																																													31	a	p	-	a	∅	∅	∅	A	P	_	A	∅	∅	∅	7	1	0	7	∅	∅	∅																																																																																																																																				
1	0.1667	6	1.0000	105																																																																																																																																					33	k	∅	∅	∅	w	á	-	K	∅	∅	∅	W	A	_	1	∅	∅	∅	6	7	0																							34	χ	∅	∅	∅	w	á	-	G	∅	∅	∅	W	A	_	3	∅	∅	∅	6	7	0	32	g	∅	∅	∅	w	a	a	K	∅	∅	∅	W	A	A	1	∅	∅	∅	6	7	7
2	0.3333	5	0.8333	105																																																																																																																																					33	w	k	∅	∅	á	-	p	W	K	∅	∅	A	_	P	6	1	∅	∅	7	0	1																							34	w	χ	∅	∅	á	-	f	W	G	∅	∅	A	_	B	6	3	∅	∅	7	0	3	32	w	g	∅	∅	a	a	p	W	K	∅	∅	A	A	P	6	1	∅	∅	7	7	1
3	0.5000	4	0.6667	105																																																																																																																																					33	á	w	k	∅	-	p	a	A	W	K	∅	_	P	A	7	6	1	∅	0	1	7																							34	á	w	χ	∅	-	f	a	A	W	G	∅	_	B	A	7	6	3	∅	0	3	7	32	a	w	g	∅	a	p	a	A	W	K	∅	A	P	A	7	6	1	∅	7	1	7
4	0.6667	3	0.5000	105																																																																																																																																					33	-	á	w	k	p	a	∅	_	A	W	K	P	A	∅	0	7	6	1	1	7	∅																							34	-	á	w	χ	f	a	∅	_	A	W	G	B	A	∅	0	7	6	3	3	7	∅	32	a	a	w	g	p	a	∅	A	A	W	K	P	A	∅	7	7	6	1	1	7	∅
5	0.8333	2	0.3333	105																																																																																																																																					33	p	-	á	w	a	∅	∅	P	_	A	W	A	∅	∅	1	0	7	6	7	∅	∅																							34	f	-	á	w	a	∅	∅	B	_	A	W	A	∅	∅	3	0	7	6	7	∅	∅	32	p	a	a	w	a	∅	∅	P	A	A	W	A	∅	∅	1	7	7	6	7	∅	∅
6	1.0000	1	0.1667	105																																																																																																																																					33	a	p	-	á	∅	∅	∅	A	P	_	A	∅	∅	∅	7	1	0	7	∅	∅	∅																							34	a	f	-	á	∅	∅	∅	A	B	_	A	∅	∅	∅	7	3	0	7	∅	∅	∅	32	a	p	a	a	∅	∅	∅	A	P	A	A	∅	∅	∅	7	1	7	7	∅	∅	∅
1	0.3333	3	1.0000	131																																																																			35	f	∅	∅	∅	w	i	∅	B	∅	∅	∅	W	I	∅	3	∅	∅	∅	6	7	∅																							36	v	∅	∅	∅	w	i	∅	B	∅	∅	∅	W	I	∅	3	∅	∅	∅	6	7	∅																																																																																								
2	0.6667	2	0.6667	131																																																																			35	w	f	∅	∅	i	∅	∅	W	B	∅	∅	I	∅	∅	6	3	∅	∅	7	∅	∅																							36	w	v	∅	∅	i	∅	∅	W	B	∅	∅	I	∅	∅	6	3	∅	∅	7	∅	∅																																																																																								
3	1.0000	1	0.3333	131																																																																			35	i	w	f	∅	∅	∅	∅	I	W	B	∅	∅	∅	∅	7	6	3	∅	∅	∅	∅																							36	i	w	v	∅	∅	∅	∅	I	W	B	∅	∅	∅	∅	7	6	3	∅	∅	∅	∅																																																																																								
1	0.1667	6	1.0000	134	37	s	∅	∅	∅	ɔ	ɔ	ŋ	S	∅	∅	∅	U	U	N	3	∅	∅	∅	7	7	4																																																																																																																																					38	s	∅	∅	∅	o	-	ŋ	S	∅	∅	∅	U	_	N	3	∅	∅	∅	7	0	4																																												
2	0.3333	5	0.8333	134	37	ɔ	s	∅	∅	ɔ	ŋ	g	U	S	∅	∅	U	N	K	7	3	∅	∅	7	4	1																																																																																																																																					38	o	s	∅	∅	-	ŋ	g	U	S	∅	∅	_	N	K	7	3	∅	∅	0	4	1																																												
3	0.5000	4	0.6667	134	37	ɔ	ɔ	s	∅	ŋ	g	a	U	U	S	∅	N	K	A	7	7	3	∅	4	1	7																																																																																																																																					38	-	o	s	∅	ŋ	g	o	_	U	S	∅	N	K	U	0	7	3	∅	4	1	7																																												
4	0.6667	3	0.5000	134	37	ŋ	ɔ	ɔ	s	g	a	∅	N	U	U	S	K	A	∅	4	7	7	3	1	7	∅																																																																																																																																					38	ŋ	-	o	s	g	o	∅	N	_	U	S	K	U	∅	4	0	7	3	1	7	∅																																												
