COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1704-2		ʔ i h														
304-2		dʑ a m														
1796-2		dʑ a ŋ														
720-2		d ɔ h														
287-2		k a b														
321-2		a o k														
206-2		d o k														
1950-2		ʔ a a														
665-2		b a n														
703-2		n o k														
1290-2		m aːi̯														
1391-2		a a ʔ														
269-2		k a ʔ														
855-2		dʑ a n														
2078-2		s a														
2213-2		m a														
1859-3			ŋ ə													
175-3			k a													
241-3			ʔ ə													
2163-3			ə ə r													
2181-3			n a m													
2060-3			ʔ ə m													
410-3			d ə													
1841-3			m ə													
2017-3			h ə													
1004-3			l ə													
614-3			b o h													
686-3			b l ə													
88-3			k a ʔ													
872-3			n ə ŋ													
1891-3			ə ə													
68-3			s ə m													
631-3			b ə ə													
594-3			k ə													
1759-3			h a n													
805-3			k ə ŋ													
756-3			h ə ʔ													
1201-3			m ɔː ʔ													
2042-3			ʔ ə													
1968-3			d a ʔ													
2000-3			ə ə ŋ													
17-3			ə a ʔ													
4-3			b ə m													
788-3			ə ə													
1219-3			h ə m													
141-3			ʔ ə ŋ													
541-3			b r j a ŋ													
1687-3			h ə r													
123-3			ə ə m													
1652-3			ə ə ə													
576-3			ŋ a													
1738-3			ə a ʔ													
442-3			h ɔː m													
368-3			d j a ŋ													
1778-3			b a ʔ													
957-3			n a b													
1704-3			ʔ ə ʔ													
304-3			j a m													
1796-3			ə a ŋ													
720-3			d ə h													
287-3			k a b													
321-3			l ə ʔ													
206-3			ə o ʔ													
1950-3			ʔ ə													
665-3			b ə ə n													
703-3			n o ʔ													
1290-3			m ə													
1391-3			ə ə ə													
269-3			k a ə													
855-3			ə a n													
2078-3			s ə													
2213-3			m ə													
1858-3			s ə													
1151-3			k j a r													
737-3			b ə ə													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				g uː ɲ												
2181-4				n ɔ m												
2060-4				ʔ ɛ m												
410-4				t aːi̯												
1841-4				m eu̯												
2017-4				h eu̯												
1004-4				l eu̯												
614-4				tɕʰ o eu̯												
686-4				tɕʰ l eu̯												
88-4				g ɔ k												
872-4				n iː ŋ												
1891-4				t uː												
68-4				s iː m												
631-4				tɕʰ iː ɲ												
594-4				k uː												
1759-4				h a n												
805-4				k ɛ n												
756-4				h iː k												
1201-4				m aːu̯ ʔ												
2042-4				ʔ uː												
1968-4				t uː ʔ												
2000-4				tɕʰ aː ŋ												
17-4				tɕʰ a t												
4-4				tɕʰ uː m												
788-4				t ai̯												
1219-4				tɕʰ iː m												
141-4				ʔ uː ŋ												
541-4				tɕʰ k j o ŋ												
1687-4				h aːu̯ ɲ												
123-4				ɲ ai̯ m												
1652-4				dʑ ɛ n												
576-4				ŋ ai̯												
1738-4				t a k												
442-4				h o m												
368-4				t o ŋ												
1778-4				p a t												
957-4				n o ʔ												
1704-4				ʔ iː ʔ												
304-4				j ɔ m												
1796-4				dʑ ɔ ŋ												
720-4				d uː h												
287-4				k a eu̯												
321-4				l o k												
206-4				t o k												
1950-4				ʔ eu̯												
665-4				tɕʰ aːu̯ m												
703-4				n o k												
1290-4				m aːi̯												
1391-4				g ɔː ʔ												
269-4				k ɔː ʔ												
855-4				dʑ ɔː n												
2078-4				s aːu̯												
2213-4				m ai̯												
1858-4				s a												
1151-4				k j aːu̯ ɲ												
737-4				b ɛ												
1859-5					ŋ ei̯											
175-5					k ɔ											
241-5					ʔ o h											
2163-5					l̥ o											
2181-5					n ɔ m											
2060-5					ʔ oː m											
410-5					m̥ ɔː											
1841-5					m ɔː											
2017-5					h ɔː											
1004-5					m̥ ɔː											
614-5					p o h											
686-5					b l h											
88-5					k a ʔ											
872-5					n u ɲ											
1891-5					ɗ ɔː											
68-5					s ei̯ m											
631-5					p w ə r̥											
594-5					k ə											
1759-5					h a h											
805-5					k ə ŋ											
756-5					h u ʔ											
1201-5					m p o r̥											
2042-5					ʔ a											
1968-5					ɗ a ʔ											
2000-5					r aː ŋ											
17-5					l̥ a h											
4-5					p əː m											
788-5					ɗ ei̯											
1219-5					h ei̯ m											
141-5					ʔ aː ŋ											
541-5					b r j a ŋ											
1687-5					h u r̥											
123-5					l̥ oː m											
1652-5					dʑ aː ŋ											
576-5					ŋ a											
1738-5					ɗ ɨ k											
442-5					h oː m											
368-5					k j a ŋ											
1778-5					p h											
957-5					n a p											
1704-5					ʔ ei̯ h											
304-5					j a m											
1796-5					dʑ ɔ ŋ											
720-5					l̥ o h											
287-5					k ə p											
321-5					k əː h											
206-5					l̥ u h											
1950-5					ʔ p h											
665-5					p w o n											
703-5					n ɔ ʔ											
1290-5					m ɔː											
1391-5					ʔ o n											
269-5					k a ʔ											
855-5					dʑ a n											
2078-5					s ei̯											
2213-5					m ei̯											
1858-5					s a											
1151-5					k j a											
737-5					b f											
1859-6						ŋ iː										
175-6						k a										
241-6						ʔ o iː										
2163-6						k o r										
2181-6						n iː m										
2060-6						ʔ o m										
410-6						ɗ iː										
1841-6						m iː										
2017-6						h iː										
1004-6						j iː										
614-6						p o h										
686-6						p l iː										
88-6						k a ʔ										
872-6						n i k										
1891-6						ɗ iː										
68-6						s i m										
631-6						p i r										
594-6						k iː										
1759-6						h iː iː										
805-6						k iː iː										
756-6						h i ʔ										
1201-6						m o ʔ										
2042-6						ʔ iː										
1968-6						ɗ a ʔ										
2000-6						r iː ŋ										
17-6						j iː ʔ										
4-6						p əː m										
788-6						ɗ iː										
1219-6						h i m										
141-6						ʔ iː ŋ										
541-6						p r ə a ŋ										
1687-6						h o r										
123-6						j iː m										
1652-6						dʑ iː iː										
576-6						ŋ a iː										
1738-6						ɗ iː ʔ										
442-6						h o m										
368-6						ɗ j a ŋ										
1778-6						p l ʔ										
957-6						n a p										
1704-6						ʔ i ʔ										
304-6						j a m										
1796-6						dʑ a ŋ										
720-6						d iː h										
287-6						k iː p										
321-6						k əː ŋ										
206-6						k o ʔ										
1950-6						ʔ iː iː										
665-6						p o n										
703-6						n o ʔ										
1290-6						m iː										
1391-6						j iː n										
269-6						k a iː										
855-6						dʑ a n										
2078-6						s iː n										
2213-6						m iː										
1858-6						s a										
1151-6						k j a										
737-6						p r iː										
1859-7							ŋ									
175-7							kʰ a									
241-7							ʔ u t									
2163-7							kʰ u n									
2181-7							n a m									
2060-7							ʔ u m									
410-7							t									
1841-7							m									
2017-7							h eː									
1004-7							l									
614-7							o h									
686-7							b l eː									
88-7							kʰ a ʔ									
872-7							n u ŋ									
1891-7							t									
68-7							s m									
631-7							u n									
594-7							g									
1759-7							h a									
805-7							g a									
756-7							h u ʔ									
1201-7							m a ʔ									
2042-7							ʔ									
1968-7							t a ʔ									
2000-7							a ŋ									
17-7							a ʔ									
4-7							eː m									
788-7							t									
1219-7							h m									
141-7							ʔ a ŋ									
541-7							b r j a ŋ									
1687-7							h u n									
123-7							m									
1652-7							tɕ a ŋ									
576-7							ŋ									
1738-7							t ɔː ʔ									
442-7							h ɔː m									
368-7							t j a ŋ									
1778-7							a ʔ									
957-7							n a									
1704-7							ʔ t									
304-7							j a m									
1796-7							tɕ a ŋ									
720-7							t eː h									
287-7							kʰ a									
321-7							g ɔː ʔ									
206-7							t ɔː ʔ									
1950-7							ʔ ɔː									
665-7							a n									
703-7							n o ʔ									
1290-7							m									
1391-7							kʰ a t									
269-7							g j a									
855-7							tɕ a n									
2078-7							s a									
2213-7							m									
1858-7							s a									
1151-7							g j a n									
737-7							b r									
1859-8								ŋ ai̯								
175-8								k a								
241-8								ʔ ɔːi̯ ʔ								
2163-8								s əː								
2181-8								n a m								
2060-8								ʔ ə m								
410-8								t aːi̯								
1841-8								m aː								
2017-8								h ɔːi̯								
1004-8								s aː								
614-8								p o h								
686-8								p l aː								
88-8								g ɔ k								
872-8								n i								
1891-8								t aː								
68-8								s i m								
631-8								p i								
594-8								k aː								
1759-8								h a n								
805-8								k ə n								
756-8								h i k								
1201-8								m au̯ ʔ								
2042-8								ʔ ɔːi̯								
1968-8								t a ʔ								
2000-8								s aː ŋ								
17-8								v a t								
4-8								s əː m								
788-8								t ai̯								
1219-8								s i m								
141-8								ʔ ɔːi̯ ŋ								
541-8								p j o ŋ								
1687-8								h ɔːi̯								
123-8								ɲ əː m								
1652-8								dʑ ə n								
576-8								ŋ ai̯ ʔ								
1738-8								t ɔ k								
442-8								h au̯ m								
368-8								tʰ o ŋ								
1778-8								s a t								
957-8								n ɔː								
1704-8								ʔ i ʔ								
304-8								j ɔː m								
1796-8								dʑ ɔ ŋ								
720-8								d aːi̯ h								
287-8								k a p								
321-8								s ə k								
206-8								t o k								
1950-8								ʔ ɔ								
665-8								g o n								
703-8								n o k								
1290-8								m aːi̯								
1391-8								s ɔː ʔ								
269-8								k ɔː ʔ								
855-8								dʑ a n								
2078-8								s ə n								
2213-8								m ai̯								
1858-8								s a								
1151-8								k j eu̯								
737-8								l a t								
1859-9									ŋ ə							
175-9									k a							
241-9									ʔ u ə							
2163-9									ə ə							
2181-9									n a m							
2060-9									ʔ ə m							
410-9									ɗ aːi̯							
1841-9									m ə							
2017-9									h ə							
1004-9									l ə							
614-9									b o h							
686-9									b l iː							
88-9									k a k							
872-9									n ə ŋ							
1891-9									d ə							
68-9									s ə m							
631-9									b ə ŋ							
594-9									k ə							
1759-9									h a n							
805-9									k ə ŋ							
756-9									h ə k							
1201-9									m a ʔ							
2042-9									ʔ ə							
1968-9									ɗ a ʔ							
2000-9									ə ə ŋ							
17-9									ə ə ʔ							
4-9									b ə m							
788-9									ɗ ə							
1219-9									h ə m							
141-9									ʔ ə ŋ							
541-9									b r ə a ŋ							
1687-9									h ə r							
123-9									ŋ ə m							
1652-9									tɕ ə n							
576-9									ŋ ɔ							
1738-9									ɗ a k							
442-9									h o m							
368-9									d a ŋ							
1778-9									b ə ʔ							
957-9									n a ʔ							
1704-9									ʔ u ə							
304-9									ə ə m							
1796-9									tɕ a ŋ							
720-9									d u h							
287-9									k a b							
321-9									k o ʔ							
206-9									ɗ o k							
1950-9									ʔ ɔ							
665-9									b ɔ ŋ							
703-9									n o k							
1290-9									m ə							
1391-9									ə a ʔ							
269-9									k a ʔ							
855-9									tɕ ɔ n							
2078-9									s ə							
2213-9									m ə							
1858-9									s a							
1151-9									k							
737-9									b r							
1859-10										ŋ iː						
175-10										k a						
241-10										ʔ u n						
2163-10										kʰ u r						
2181-10										ə m						
2060-10										ʔ aː m						
410-10										ɗ aː						
1841-10										m aː						
2017-10										h e						
1004-10										j a						
614-10										b ɔː h						
686-10										b l e						
88-10										kʰ a ʔ						
872-10										u k						
1891-10										ɗ a						
68-10										s aː m						
631-10										b ə r						
594-10										k a						
1759-10										h ɔː n						
805-10										k aː n						
756-10										h aː ʔ						
1201-10										m r u r						
2042-10										ʔ a						
1968-10										ɗ a ʔ						
2000-10										r a ŋ						
17-10										j aː n						
4-10										b e m						
788-10										ɗ iː						
1219-10										h aː m						
141-10										ʔ a ŋ						
541-10										b r a ŋ						
1687-10										h u r						
123-10										j a m						
1652-10										dʑ aː n						
576-10										ŋ a r						
1738-10										ɗ ɔː k						
442-10										h ɔ m						
368-10										d j a ŋ						
1778-10										b aː n						
957-10										a b						
1704-10										h iː n						
304-10										j a m						
1796-10										dʑ a ŋ						
720-10										d aː h						
287-10										kʰ w ə b						
321-10										k ɔː ŋ						
206-10										ɗ u n						
1950-10										ʔ aː ɔː						
665-10										b r ɔː n						
703-10										ɔː ʔ						
1290-10										m aː						
1391-10										ʔ aː n						
269-10										k r a n						
855-10										dʑ a n						
2078-10										s ə						
2213-10										m iː						
1858-10										s a						
1151-10										k j a n						
737-10										b r e						
1859-11											ŋ ai̯					
175-11											k a					
241-11											ʔ ɔi̯ ʔ					
2163-11											k ai̯					
2181-11											n a m					
2060-11											ʔ ə m					
410-11											t əː					
1841-11											m ai̯					
2017-11											h əː					
1004-11											l ai̯					
614-11											b o h					
686-11											b l					
88-11											k ɔ k					
872-11											n ai̯ ŋ					
1891-11											t ai̯					
68-11											s i m					
631-11											b əː					
594-11											k ai̯					
1759-11											h a n					
805-11											k ə n					
756-11											h ɔi̯ k					
1201-11											m ai̯ ʔ					
2042-11											ʔ ɔi̯					
1968-11											t ai̯ ʔ					
2000-11											ai̯ ŋ					
17-11											v a t					
4-11											b əː m					
788-11											t ai̯					
1219-11											k i m					
141-11											ʔ ɔi̯ ŋ					
541-11											b j o ŋ					
1687-11											h ɔi̯					
123-11											ɲ ai̯ m					
1652-11											dʑ ə n					
576-11											ŋ ɔː					
1738-11											t a k					
442-11											h o m					
368-11											tɕ o ŋ					
1778-11											b a t					
957-11											n ai̯ ʔ					
1704-11											ʔ i ʔ					
304-11											j ai̯ m					
1796-11											dʑ ɔ ŋ					
720-11											d əː h					
287-11											k j a					
321-11											k o					
206-11											t o k					
1950-11											ʔ					
665-11											b ɔː m					
703-11											n o k					
1290-11											m əː					
1391-11											k ai̯ ʔ					
269-11											k ai̯ ʔ					
855-11											dʑ ai̯ n					
2078-11											s ai̯					
2213-11											m ai̯					
1858-11											s a					
1151-11											j əː					
737-11											b ə t					
1859-12												ŋ ɛ				
175-12												k a ŋ				
241-12												ʔ u ʔ				
2163-12												kʰ u n				
2181-12												n ă m				
2060-12												ʔ i m				
410-12												d ai̯				
1841-12												m a				
2017-12												h e				
1004-12												a a				
614-12												b ou̯ h				
686-12												b l e				
88-12												k a ʔ				
872-12												n i ŋ				
1891-12												d a				
68-12												s i m				
631-12												b a n				
594-12												g a				
1759-12												h a ɲ				
805-12												g i ɲ				
756-12												h i k				
1201-12												m o c				
2042-12												h a				
1968-12												d ă ʔ				
2000-12												a a ŋ				
17-12												v ă c				
4-12												a ə m				
788-12												d ɛ				
1219-12												h i m				
141-12												ʔ a ŋ				
541-12												b r j a ŋ				
1687-12												h u n				
123-12												a a m				
1652-12												c i n				
576-12												ŋ ɔ				
1738-12												d ă k				
442-12												h o m				
368-12												d j a ŋ				
1778-12												p ă c				
957-12												n ă p				
1704-12												ʔ i ʔ				
304-12												j ă m				
1796-12												c ɔ ŋ				
720-12												t ai̯ h				
287-12												k a p				
321-12												g a h				
206-12												d ou̯ ʔ				
1950-12												ʔ o				
665-12												a a n				
703-12												n ou̯ ʔ				
1290-12												m ai̯				
1391-12												k ă t				
269-12												g ă t				
855-12												c a n				
2078-12												s e				
2213-12												m ɛ				
1858-12												s a				
1151-12												g j a n				
737-12												p a t				
1859-13													ŋ ɛ			
175-13													g a			
241-13													ʔ u			
2163-13													g u n			
2181-13													n ă m			
2060-13													ʔ ɨ m			
410-13													t ai̯			
1841-13													m e			
2017-13													h e			
1004-13													ɲ̊ a			
614-13													b ou̯ h			
686-13													b l n			
88-13													g ă ʔ			
872-13													n ɨ k			
1891-13													t a			
68-13													s e m			
631-13													b e n			
594-13													g a			
1759-13													h a n			
805-13													g ɨ n			
756-13													h ɨ g			
1201-13													m o c			
2042-13													ʔ a			
1968-13													t ă ʔ			
2000-13													ɲ̊ a k			
17-13													v ă t			
4-13													p ə m			
788-13													t ɛ			
1219-13													h e m			
141-13													ʔ a k			
541-13													b r j a			
1687-13													h u n			
123-13													ɲ̊ a m			
1652-13													c e n			
576-13													ŋ ɔ			
1738-13													t ă g			
442-13													h o m			
368-13													k j a			
1778-13													p ă t			
957-13													n e n			
1704-13													ʔ e ʔ			
304-13													j e m			
1796-13													c ɔ k			
720-13													t e h			
287-13													g e p			
321-13													g ou̯ h			
206-13													t ou̯ ʔ			
1950-13													ʔ ɛ o			
665-13													p d a n			
703-13													n ou̯ ʔ			
1290-13													m ai̯			
1391-13													g e n			
269-13													g e n			
855-13													c e n			
2078-13													s e			
2213-13													m ɛ			
1858-13													s a			
1151-13													g j a n			
737-13													p e t			
1859-14														ŋ ai̯		
175-14														g a		
241-14														ʔ u t		
2163-14														g i		
2181-14														n a m		
2060-14														ʔ a m		
410-14														d aːi̯		
1841-14														m a		
2017-14														h eː		
1004-14														a eː		
614-14														b o h		
686-14														b l eː		
88-14														g a ʔ		
872-14														n u ŋ		
1891-14														a eː		
68-14														s a m		
631-14														b eː r		
594-14														g eː		
1759-14														h a n		
805-14														g i ŋ		
756-14														h u ʔ		
1201-14														m a a ʔ		
2042-14														ʔ eː		
1968-14														d a ʔ		
2000-14														a aː ŋ		
17-14														a a ʔ		
4-14														b eː m		
788-14														a ai̯		
1219-14														h a m		
141-14														ʔ aː ŋ		
541-14														b r j a ŋ		
1687-14														h u r		
123-14														a aː m		
1652-14														tɕ a n		
576-14														ŋ ɔː		
1738-14														a a ʔ		
442-14														h ɔː m		
368-14														d j a ŋ		
1778-14														b a ʔ		
957-14														n a t		
1704-14														ʔ a t		
304-14														j aː m		
1796-14														tɕ a ŋ		
720-14														d eː h		
287-14														g a b		
321-14														g eː ʔ		
206-14														a o ʔ		
1950-14														ʔ a ɔː		
665-14														b n		
703-14														n o ʔ		
1290-14														m aːi̯		
1391-14														g a t		
269-14														g a t		
855-14														tɕ ɔ n		
2078-14														s a		
2213-14														m ai̯		
1858-14														s a		
1151-14														g j aː		
737-14														b r		
1859-15															ŋ a	
175-15															a a	
241-15															ʔ u ʔ	
2163-15															kʰ u n	
2181-15															n ə m	
2060-15															ʔ a m	
410-15															d aːi̯	
1841-15															m a	
2017-15															h a	
1004-15															l a	
614-15															b au̯ h	
686-15															b l a	
88-15															a a ʔ	
872-15															n o ŋ	
1891-15															d a	
68-15															s ɨi̯ m	
631-15															b ə n	
594-15															g a	
1759-15															h a ɲ	
805-15															g ɨi̯ ɲ	
756-15															h a a	
1201-15															m a c	
2042-15															a a	
1968-15															d a ʔ	
2000-15															r a ŋ	
17-15															v a c	
4-15															a a m	
788-15															d a	
1219-15															h ɨi̯ m	
141-15															ʔ a ŋ	
541-15															b r j a ŋ	
1687-15															h u n	
123-15															a a m	
1652-15															c ɨi̯ ɲ	
576-15															ŋ ɔː	
1738-15															d a a	
442-15															h a m	
368-15															d j e ŋ	
1778-15															a a c	
957-15															n a a	
1704-15															ʔ ɨi̯ ʔ	
304-15															j a m	
1796-15															c ɔː ŋ	
720-15															t au̯ h	
287-15															a ə h	
321-15															g ə h	
206-15															d ou̯ ʔ	
1950-15															ʔ a	
665-15															a a e n	
703-15															n ou̯ ʔ	
1290-15															m aːi̯	
1391-15															a a t	
269-15															g a t	
855-15															c a n	
2078-15															s a	
2213-15															m a	
1858-15															s a	
1151-15															g j e n	
737-15															a ə t	
1859-16																ŋ ɛː
175-16																j̊ a
241-16																ʔ o ʔ
2163-16																j̊ a ŋ
2181-16																n ə m
2060-16																ʔ ɨ m
410-16																t aːi̯
1841-16																m ŋ
2017-16																h ei̯
1004-16																l a
614-16																b ou̯ h
686-16																b l ei̯
88-16																j̊ ɔ ʔ
872-16																n o ŋ
1891-16																t a
68-16																s a m
631-16																b ə ŋ
594-16																g a
1759-16																h a n
805-16																g ɨ n
756-16																h o ŋ
1201-16																m o ʔ
2042-16																h a
1968-16																t o ʔ
2000-16																r a ŋ
17-16																v a ŋ
4-16																j̊ ei̯ m
788-16																t ɛː
1219-16																h a m
141-16																ʔ a ŋ
541-16																b r j a ŋ
1687-16																h a ŋ
123-16																j̊ a m
1652-16																tɕ ɨ n
576-16																ŋ a
1738-16																t a ŋ
442-16																h a m
368-16																t j a ŋ
1778-16																p a ŋ
957-16																n o p
1704-16																ʔ o ʔ
304-16																j ɔ m
1796-16																tɕ ɔ ŋ
720-16																t ei̯ h
287-16																j̊ ə p
321-16																g ə h
206-16																t ou̯ ʔ
1950-16																ʔ ou̯
665-16																j̊ a a ŋ
703-16																n ou̯ ʔ
1290-16																m aːi̯
1391-16																j̊ ɔ t
269-16																g o ŋ
855-16																tɕ a n
2078-16																s u
2213-16																m ɛː
1858-16																s a
1151-16																g j a ŋ
737-16																p ə ŋ
