COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
390-8								m ɑ ⁵⁵	
696-8								n̥ w e ²²	
86-8								t ɑu ⁵⁵	
384-8								m ɑ ⁵⁵	
61-8								sʰ ɑ ⁵⁵	
536-8								t θ ɛ ʔ ⁴	
731-8								tɕʰ e ⁵⁵	
779-8								j ɑ ⁵⁵	
589-8								tʰ e ⁵⁵	
680-8								n̥ ɑ ʔ ⁴	
658-8								w ɑ ²²	
456-8								m j ɑ ⁵⁵	
183-8								i ⁵⁵	
785-8								kʰ ɑ ⁵⁵	
714-8								kʰ õ ²²	
331-8								ɬ ɑ ⁵⁵	
665-9									ŋ ɔ ⁵⁵
495-9									n a ³¹
838-9									ɔ ⁵⁵
438-9									ʐ ɔ ⁵⁵
334-9									l ɔ ʔ ⁵⁵
360-9									l a ³¹
394-9									n i ³¹
221-9									j i p ⁵⁵
202-9									k ɔ ³¹
935-9									u ³¹
93-9									s ɔ ³¹
7-9									p a n ³¹
664-9									o ŋ ⁵⁵
246-9									k ʐ ɔ ʔ ⁵⁵
547-9									ʂ ɯ ʔ ⁵⁵
555-9									j a ŋ ⁵⁵
464-9									m ɔ ³¹
119-9									ɲ̊ i ⁵⁵
835-9									ŋ̊ a p ⁵⁵
79-9									t ɔ ³¹
693-9									ŋ ɔ ⁵⁵
477-9									n ɔ ⁵⁵
891-9									tʰ i ŋ ³⁵
528-9									ʐ ɔ ⁵⁵
797-9									f ʐ u ʔ ⁵⁵
493-9									n i ʔ ⁵⁵
217-9									ʐ a p ⁵⁵
896-9									s u t ⁵⁵
452-9									ʐ u ʔ ⁵⁵
580-9									ʂ o ʔ ⁵⁵
833-9									ŋ̊ ɔ ⁵⁵
390-9									m ɔ ŋ ³¹
696-9									ŋ ɔ ⁵⁵
86-9									t u ŋ ⁵⁵
384-9									m a n ³¹
61-9									ʈʂʰ a ŋ ⁵⁵
536-9									ʂ ɔ ʔ ⁵⁵
731-9									s ui ³¹
779-9									c ɔ ⁵⁵
589-9									kʰ ɔ ŋ ⁵⁵
680-9									n ɔ ʔ ⁵⁵
658-9									ui m ⁵⁵
456-9									ŋ̊ ʐ a ŋ ³¹
183-9									k ʐ au ³¹
785-9									ʈʂʰ ɔ ³¹
714-9									u ⁵⁵
331-9									c ɔ ³¹
