ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	PARTIAL_COGNACY	COGIDS
1254	6_ashesfireplace	ashes, fireplace	NorthernPao	Northern Pa-O	pha⁵⁵	pha⁵⁵	pʰ a ⁵⁵	nort2705			Sino-Tibetan	72	72
2126	6_ashesfireplace	ashes, fireplace	SouthernPao	Southern Pa-O	pha³³	pha³³	pʰ a ³³	sout2712			Sino-Tibetan	72	72
7	7_astringent	astringent	ProtoKaren	Proto-Karen	*kjaɁᴰ	*kjaɁᴰ	k j a ʔ̚ ⁵¹	kare1337			Sino-Tibetan	81	81
351	7_astringent	astringent	Kayah	Kayah	khja⁵⁵	khja⁵⁵	kʰ j a ⁵⁵	kaya1317			Sino-Tibetan	81	81
649	7_astringent	astringent	Kayan	Kayan	khiɁ⁴⁵	khiɁ⁴⁵	kʰ i ʔ ⁴⁵	kaya1315	19.5183	97.4138	Sino-Tibetan	81	81
1255	7_astringent	astringent	NorthernPao	Northern Pa-O	khjaɁ²¹	khjaɁ²¹	kʰ j a ʔ ²¹	nort2705			Sino-Tibetan	81	81
1533	7_astringent	astringent	NorthernPwo	Northern Pwo	kaiɁ⁴⁵	kaiɁ⁴⁵	k ai ʔ ⁴⁵	nort2704			Sino-Tibetan	81	81
8	8_bamboo	bamboo	ProtoKaren	Proto-Karen	*hwaᴮ	*hwaᴮ	h w a ¹¹	kare1337			Sino-Tibetan	91	91
352	8_bamboo	bamboo	Kayah	Kayah	we¹¹	we¹¹	w e ¹¹	kaya1317			Sino-Tibetan	91	91
650	8_bamboo	bamboo	Kayan	Kayan	hwa¹¹~hau¹¹	hwa¹¹	h w a ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	91	91
1256	8_bamboo	bamboo	NorthernPao	Northern Pa-O	wa⁵⁵	wa⁵⁵	w a ⁵⁵	nort2705			Sino-Tibetan	91	91
1534	8_bamboo	bamboo	NorthernPwo	Northern Pwo	wa³³	wa³³	w a ³³	nort2704			Sino-Tibetan	91	91
2127	8_bamboo	bamboo	SouthernPao	Southern Pa-O	wa³³	wa³³	w a ³³	sout2712			Sino-Tibetan	91	91
2988	8_bamboo	bamboo	WesternBwe	Western Bwe	hʊ³³	hʊ³³	h ɛ ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	91	91
9	9_bamboorat	bamboo rat	ProtoKaren	Proto-Karen	*(jowᴮ)khanᴬ	*khanᴬ	kʰ a ŋ ⁵⁵	kare1337			Sino-Tibetan	103	103
651	9_bamboorat	bamboo rat	Kayan	Kayan	ɟu¹¹khaŋ⁵³	ɟu¹¹khaŋ⁵³	ɟ u ¹¹ + kʰ a ŋ ⁵³	kaya1315	19.5183	97.4138	Sino-Tibetan	2349 103	2349 103
941	9_bamboorat	bamboo rat	Kayaw	Kayaw	(ju¹¹)khɔ⁵⁵	khɔ⁵⁵	kʰ ɔ ⁵⁵	kaya1316			Sino-Tibetan	103	103
1257	9_bamboorat	bamboo rat	NorthernPao	Northern Pa-O	(ju⁵⁵)khan³¹ ̈	khan³¹̈	kʰ a ŋ ɦ ³¹	nort2705			Sino-Tibetan	103	103
1535	9_bamboorat	bamboo rat	NorthernPwo	Northern Pwo	khɛ̃³⁵	khɛ̃³⁵	kʰ ɛ̃ ³⁵	nort2704			Sino-Tibetan	103	103
2989	9_bamboorat	bamboo rat	WesternBwe	Western Bwe	khɛ⁵⁵	khɛ⁵⁵	kʰ a ⁵⁵	bwek1238	18.9796	96.9936	Sino-Tibetan	103	103
11	11_bambooshoot	bamboo shoot	ProtoKaren	Proto-Karen	*Ɂbaŋᴮ	*Ɂbaŋᴮ	ˀb a ŋ ¹¹	kare1337			Sino-Tibetan	114	114
354	11_bambooshoot	bamboo shoot	Kayah	Kayah	bɛ¹¹	bɛ¹¹	b ɛ ¹¹	kaya1317			Sino-Tibetan	114	114
653	11_bambooshoot	bamboo shoot	Kayan	Kayan	baŋ¹¹	baŋ¹¹	b a ŋ ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	114	114
943	11_bambooshoot	bamboo shoot	Kayaw	Kayaw	bɔ¹¹	bɔ¹¹	b ɔ ¹¹	kaya1316			Sino-Tibetan	114	114
1259	11_bambooshoot	bamboo shoot	NorthernPao	Northern Pa-O	baŋ⁵⁵	baŋ⁵⁵	b a ŋ ⁵⁵	nort2705			Sino-Tibetan	114	114
1537	11_bambooshoot	bamboo shoot	NorthernPwo	Northern Pwo	bɛ̃³³	bɛ̃³³	b ɛ̃ ³³	nort2704			Sino-Tibetan	114	114
2129	11_bambooshoot	bamboo shoot	SouthernPao	Southern Pa-O	baŋ³³	baŋ³³	b a ŋ ³³	sout2712			Sino-Tibetan	114	114
2991	11_bambooshoot	bamboo shoot	WesternBwe	Western Bwe	ɓa³³	ɓa³³	ɓ a ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	114	114
10	10_bamboostrip	bamboo strip	ProtoKaren	Proto-Karen	*sraᴬ	*sraᴬ	s r a ⁵⁵	kare1337			Sino-Tibetan	126	126
353	10_bamboostrip	bamboo strip	Kayah	Kayah	se³³	se³³	s e ³³	kaya1317			Sino-Tibetan	126	126
652	10_bamboostrip	bamboo strip	Kayan	Kayan	θa⁵³	θa⁵³	θ a ⁵³	kaya1315	19.5183	97.4138	Sino-Tibetan	126	126
942	10_bamboostrip	bamboo strip	Kayaw	Kayaw	sa⁵⁵	sa⁵⁵	s a ⁵⁵	kaya1316			Sino-Tibetan	126	126
1258	10_bamboostrip	bamboo strip	NorthernPao	Northern Pa-O	sa³¹ ̈	sa³¹̈	s a ɦ ³¹	nort2705			Sino-Tibetan	126	126
1536	10_bamboostrip	bamboo strip	NorthernPwo	Northern Pwo	sja³⁵	sja³⁵	s j a ³⁵	nort2704			Sino-Tibetan	126	126
2128	10_bamboostrip	bamboo strip	SouthernPao	Southern Pa-O	sa³¹ ̈	sa³¹̈	s a ɦ ³¹	sout2712			Sino-Tibetan	126	126
2990	10_bamboostrip	bamboo strip	WesternBwe	Western Bwe	θrɛ⁵⁵~θə⁵⁵rɛ⁵⁵	θrɛ⁵⁵	θ r ɛ ⁵⁵	bwek1238	18.9796	96.9936	Sino-Tibetan	126	126
12	12_barknleatherskin	bark (n.), leather, skin	ProtoKaren	Proto-Karen	*pheɁᴰ	*pheɁᴰ	pʰ e ʔ̚ ⁵¹	kare1337			Sino-Tibetan	138	138
355	12_barknleatherskin	bark (n.), leather, skin	Kayah	Kayah	pha⁵⁵	pha⁵⁵	pʰ a ⁵⁵	kaya1317			Sino-Tibetan	138	138
944	12_barknleatherskin	bark (n.), leather, skin	Kayaw	Kayaw	phe³³	phe³³	pʰ e ³³	kaya1316			Sino-Tibetan	138	138
1260	12_barknleatherskin	bark (n.), leather, skin	NorthernPao	Northern Pa-O	pheɁ²¹	pheɁ²¹	pʰ e ʔ ²¹	nort2705			Sino-Tibetan	138	138
1538	12_barknleatherskin	bark (n.), leather, skin	NorthernPwo	Northern Pwo	phaiɁ⁴⁵	phaiɁ⁴⁵	pʰ ai ʔ ⁴⁵	nort2704			Sino-Tibetan	138	138
2992	12_barknleatherskin	bark (n.), leather, skin	WesternBwe	Western Bwe	phe³³	phe³³	pʰ e ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	138	138
13	13_bat	bat	ProtoKaren	Proto-Karen	*plaᴬ/ᴮ	*plaᴬᴮ	p l a ⁵⁵	kare1337			Sino-Tibetan	149	149
356	13_bat	bat	Kayah	Kayah	ple¹¹	ple¹¹	p l e ¹¹	kaya1317			Sino-Tibetan	149	149
654	13_bat	bat	Kayan	Kayan	bla¹¹	bla¹¹	b l a ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	149	149
945	13_bat	bat	Kayaw	Kayaw	pla¹¹	pla¹¹	p l a ¹¹	kaya1316			Sino-Tibetan	149	149
1261	13_bat	bat	NorthernPao	Northern Pa-O	pla³¹ ̈	pla³¹̈	p l a ɦ ³¹	nort2705			Sino-Tibetan	149	149
1539	13_bat	bat	NorthernPwo	Northern Pwo	phla³³	phla³³	pʰ l a ³³	nort2704			Sino-Tibetan	149	149
2130	13_bat	bat	SouthernPao	Southern Pa-O	pla³¹ ̈	pla³¹̈	p l a ɦ ³¹	sout2712			Sino-Tibetan	149	149
2993	13_bat	bat	WesternBwe	Western Bwe	plɛ¹¹	plɛ¹¹	p l ɛ ¹¹	bwek1238	18.9796	96.9936	Sino-Tibetan	149	149
14	14_bathe	bathe	ProtoKaren	Proto-Karen	*hlowᴮ	*hlowᴮ	l̥ ou ¹¹	kare1337			Sino-Tibetan	161	161
357	14_bathe	bathe	Kayah	Kayah	lo¹¹	lo¹¹	l o ¹¹	kaya1317			Sino-Tibetan	161	161
946	14_bathe	bathe	Kayaw	Kayaw	lu¹¹	lu¹¹	l u ¹¹	kaya1316			Sino-Tibetan	161	161
1262	14_bathe	bathe	NorthernPao	Northern Pa-O	lu⁵⁵	lu⁵⁵	l u ⁵⁵	nort2705			Sino-Tibetan	161	161
1540	14_bathe	bathe	NorthernPwo	Northern Pwo	lou³³	lou³³	l ou ³³	nort2704			Sino-Tibetan	161	161
2131	14_bathe	bathe	SouthernPao	Southern Pa-O	lu³³	lu³³	l u ³³	sout2712			Sino-Tibetan	161	161
15	15_bearanimal	bear (animal)	ProtoKaren	Proto-Karen	*thamᴬ	*thamᴬ	tʰ a m ⁵⁵	kare1337			Sino-Tibetan	171	171
358	15_bearanimal	bear (animal)	Kayah	Kayah	the³³	the³³	tʰ e ³³	kaya1317			Sino-Tibetan	171	171
655	15_bearanimal	bear (animal)	Kayan	Kayan	thaŋ⁵³	thaŋ⁵³	tʰ a ŋ ⁵³	kaya1315	19.5183	97.4138	Sino-Tibetan	171	171
947	15_bearanimal	bear (animal)	Kayaw	Kayaw	thɔ⁵⁵	thɔ⁵⁵	tʰ ɔ ⁵⁵	kaya1316			Sino-Tibetan	171	171
1263	15_bearanimal	bear (animal)	NorthernPao	Northern Pa-O	tham³¹ ̈	tham³¹̈	tʰ a m ɦ ³¹	nort2705			Sino-Tibetan	171	171
1541	15_bearanimal	bear (animal)	NorthernPwo	Northern Pwo	(phɨ¹¹ ̈) thɔ̃³⁵	_thɔ̃³⁵	tʰ ã ³⁵	nort2704			Sino-Tibetan	171	171
2132	15_bearanimal	bear (animal)	SouthernPao	Southern Pa-O	tham³¹ ̈	tham³¹̈	tʰ a m ɦ ³¹	sout2712			Sino-Tibetan	171	171
2994	15_bearanimal	bear (animal)	WesternBwe	Western Bwe	thɛ⁵⁵	thɛ⁵⁵	tʰ ɛ ⁵⁵	bwek1238	18.9796	96.9936	Sino-Tibetan	171	171
16	16_bedbug	bedbug	ProtoKaren	Proto-Karen	*gramᴬ	*gramᴬ	g r a m ⁵⁵	kare1337			Sino-Tibetan	182	182
359	16_bedbug	bedbug	Kayah	Kayah	khrɛ¹¹	khrɛ¹¹	kʰ r ɛ ¹¹	kaya1317			Sino-Tibetan	182	182
656	16_bedbug	bedbug	Kayan	Kayan	caŋ³³	caŋ³³	c a ŋ ³³	kaya1315	19.5183	97.4138	Sino-Tibetan	183	183
948	16_bedbug	bedbug	Kayaw	Kayaw	cɔ³³	cɔ³³	c ɔ ³³	kaya1316			Sino-Tibetan	183	183
1264	16_bedbug	bedbug	NorthernPao	Northern Pa-O	sam³³~ɕam³³	sam³³	s a m ³³	nort2705			Sino-Tibetan	184	184
2133	16_bedbug	bedbug	SouthernPao	Southern Pa-O	sam⁵³~saŋ⁵³	sam⁵³	s a m ⁵³	sout2712			Sino-Tibetan	184	184
17	17_beeapiscerana	bee (Apis cerana)	ProtoKaren	Proto-Karen	*kwatᴰ	*kwatᴰ	k w a t̚ ⁵¹	kare1337			Sino-Tibetan	191	191
360	17_beeapiscerana	bee (Apis cerana)	Kayah	Kayah	wɛ⁵⁵	wɛ⁵⁵	w ɛ ⁵⁵	kaya1317			Sino-Tibetan	191	191
657	17_beeapiscerana	bee (Apis cerana)	Kayan	Kayan	hwɛɁ⁴⁵	hwɛɁ⁴⁵	h w ɛ ʔ ⁴⁵	kaya1315	19.5183	97.4138	Sino-Tibetan	191	191
949	17_beeapiscerana	bee (Apis cerana)	Kayaw	Kayaw	hwɛ³³~khwɛ³³	hwɛ³³	h w ɛ ³³	kaya1316			Sino-Tibetan	191	191
1265	17_beeapiscerana	bee (Apis cerana)	NorthernPao	Northern Pa-O	wat²¹	wat²¹	w a t ²¹	nort2705			Sino-Tibetan	191	191
1542	17_beeapiscerana	bee (Apis cerana)	NorthernPwo	Northern Pwo	kwɛ⁵⁵	kwɛ⁵⁵	k w ɛ ⁵⁵	nort2704			Sino-Tibetan	191	191
2134	17_beeapiscerana	bee (Apis cerana)	SouthernPao	Southern Pa-O	wat²¹	wat²¹	w a p ²¹	sout2712			Sino-Tibetan	191	191
2995	17_beeapiscerana	bee (Apis cerana)	WesternBwe	Western Bwe	wɛ³³~θə⁵⁵kwɛ⁵⁵	wɛ³³	w ɛ ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	191	191
18	18_beeapisdorsata	bee (Apis dorsata)	ProtoKaren	Proto-Karen	*k-hneᴬ	*k-hneᴬ	k ə ⁰ + n̥ e ⁵⁵	kare1337			Sino-Tibetan	204 203	204 203
361	18_beeapisdorsata	bee (Apis dorsata)	Kayah	Kayah	ni³³	ni³³	n i ³³	kaya1317			Sino-Tibetan	203	203
658	18_beeapisdorsata	bee (Apis dorsata)	Kayan	Kayan	nai⁵³	nai⁵³	n ai ⁵³	kaya1315	19.5183	97.4138	Sino-Tibetan	203	203
950	18_beeapisdorsata	bee (Apis dorsata)	Kayaw	Kayaw	ni⁵⁵	ni⁵⁵	n i ⁵⁵	kaya1316			Sino-Tibetan	203	203
1266	18_beeapisdorsata	bee (Apis dorsata)	NorthernPao	Northern Pa-O	ne³¹ ̈	ne³¹̈	n e ɦ ³¹	nort2705			Sino-Tibetan	203	203
1543	18_beeapisdorsata	bee (Apis dorsata)	NorthernPwo	Northern Pwo	ni³⁵	ni³⁵	n i ³⁵	nort2704			Sino-Tibetan	203	203
2135	18_beeapisdorsata	bee (Apis dorsata)	SouthernPao	Southern Pa-O	ne³¹ ̈	ne³¹̈	n e ɦ ³¹	sout2712			Sino-Tibetan	203	203
2996	18_beeapisdorsata	bee (Apis dorsata)	WesternBwe	Western Bwe	(gə) nɪ³³	_nɪ³³	n ɪ ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	203	203
19	19_believe	believe	ProtoKaren	Proto-Karen	*jɨmᴮ	*jɨmᴮ	j ɨ m ¹¹	kare1337			Sino-Tibetan	217	217
362	19_believe	believe	Kayah	Kayah	ji¹¹	ji¹¹	j i ¹¹	kaya1317			Sino-Tibetan	217	217
659	19_believe	believe	Kayan	Kayan	ɟɨ¹¹	ɟɨ¹¹	ɟ ɨ ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	217	217
951	19_believe	believe	Kayaw	Kayaw	jɨ¹¹	jɨ¹¹	j ɨ ¹¹	kaya1316			Sino-Tibetan	217	217
1267	19_believe	believe	NorthernPao	Northern Pa-O	jum⁵³	jum⁵³	j u m ⁵³	nort2705			Sino-Tibetan	217	217
2136	19_believe	believe	SouthernPao	Southern Pa-O	jəm⁵⁵~jən⁵⁵	jəm⁵⁵	j ə m ⁵⁵	sout2712			Sino-Tibetan	217	217
20	20_belowunderunderneath	below, under, underneath	ProtoKaren	Proto-Karen	*~laɁᴰ	*~laɁᴰ	l a ʔ̚ ⁵¹	kare1337			Sino-Tibetan	224	224
363	20_belowunderunderneath	below, under, underneath	Kayah	Kayah	le³³	le³³	l e ³³	kaya1317			Sino-Tibetan	224	224
660	20_belowunderunderneath	below, under, underneath	Kayan	Kayan	laɁ⁴⁵	laɁ⁴⁵	l a ʔ ⁴⁵	kaya1315	19.5183	97.4138	Sino-Tibetan	224	224
952	20_belowunderunderneath	below, under, underneath	Kayaw	Kayaw	lɔ³³	lɔ³³	l ɔ ³³	kaya1316			Sino-Tibetan	224	224
1268	20_belowunderunderneath	below, under, underneath	NorthernPao	Northern Pa-O	(ka³³) laɁ⁴⁵	_laɁ⁴⁵	l a ʔ ⁴⁵	nort2705			Sino-Tibetan	224	224
1544	20_belowunderunderneath	below, under, underneath	NorthernPwo	Northern Pwo	chaɁ⁴⁵laɁ²¹	chaɁ⁴⁵laɁ²¹	cʰ a ʔ ⁴⁵ + l a ʔ ²¹	nort2704			Sino-Tibetan	225 224	225 224
2137	20_belowunderunderneath	below, under, underneath	SouthernPao	Southern Pa-O	laɁ⁴⁵	laɁ⁴⁵	l a ʔ ⁴⁵	sout2712			Sino-Tibetan	224	224
2997	20_belowunderunderneath	below, under, underneath	WesternBwe	Western Bwe	gɔ¹¹lɛ¹¹/-lɛ¹¹	gɔ¹¹lɛ¹¹	g ɔ ¹¹ + l a ¹¹	bwek1238	18.9796	96.9936	Sino-Tibetan	227 224	227 224
2998	20_belowunderunderneath	below, under, underneath	WesternBwe	Western Bwe	gɔ¹¹lɛ¹¹/-lɛ¹¹	-lɛ¹¹	l a ¹¹	bwek1238	18.9796	96.9936	Sino-Tibetan	224	224
21	21_biglarge	big, large	ProtoKaren	Proto-Karen	*Ɂdoᴮ	*Ɂdoᴮ	ˀd o ¹¹	kare1337			Sino-Tibetan	242	242
364	21_biglarge	big, large	Kayah	Kayah	du¹¹	du¹¹	d u ¹¹	kaya1317			Sino-Tibetan	242	242
661	21_biglarge	big, large	Kayan	Kayan	dau¹¹	dau¹¹	d au ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	242	242
953	21_biglarge	big, large	Kayaw	Kayaw	du¹¹	du¹¹	d u ¹¹	kaya1316			Sino-Tibetan	242	242
1545	21_biglarge	big, large	NorthernPwo	Northern Pwo	du³³	du³³	d u ³³	nort2704			Sino-Tibetan	242	242
2999	21_biglarge	big, large	WesternBwe	Western Bwe	do³³	do³³	ɗ o ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	242	242
22	22_bird	bird	ProtoKaren	Proto-Karen	*thoᴮ	*thoᴮ	tʰ o ¹¹	kare1337			Sino-Tibetan	253	253
365	22_bird	bird	Kayah	Kayah	thu¹¹	thu¹¹	tʰ u ¹¹	kaya1317			Sino-Tibetan	253	253
662	22_bird	bird	Kayan	Kayan	thau¹¹	thau¹¹	tʰ au ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	253	253
954	22_bird	bird	Kayaw	Kayaw	thu¹¹	thu¹¹	tʰ u ¹¹	kaya1316			Sino-Tibetan	253	253
1546	22_bird	bird	NorthernPwo	Northern Pwo	thu³³	thu³³	tʰ u ³³	nort2704			Sino-Tibetan	253	253
3000	22_bird	bird	WesternBwe	Western Bwe	tho³³	tho³³	tʰ o ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	253	253
23	23_bitev	bite (v.)	ProtoKaren	Proto-Karen	*ɁɛNᴮ	*ɁɛNᴮ	ʔ ɛ ɴ ¹¹	kare1337			Sino-Tibetan	264	264
366	23_bitev	bite (v.)	Kayah	Kayah	Ɂa¹¹	Ɂa¹¹	ʔ a ¹¹	kaya1317			Sino-Tibetan	264	264
663	23_bitev	bite (v.)	Kayan	Kayan	Ɂi¹¹	Ɂi¹¹	ʔ i ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	264	264
