COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
1993-1	pʰ w i ⁵⁵							
2059-1	ʔ o ¹¹							
2098-1	ŋ j a ʔ ⁴⁵							
2086-1	tʰ o ⁵⁵							
2153-1	s ɨ ¹¹							
2180-1	l o ŋ ¹¹							
2205-1	kʰ w o ⁵⁵							
2328-1	l a ⁵⁵							
2349-1	j u ¹¹							
2372-1	m i ¹¹							
2388-1	m i n ³³							
2413-1	d e ⁵⁵							
2637-1	p l o m ¹¹							
2649-1	c u ⁵⁵							
2693-1	p ə ŋ ⁵⁵							
2755-1	s ɔ ʔ ²¹							
2858-1	m i n ⁵⁵							
2953-1	c a ⁵⁵							
2986-1	cʰ a ʔ ²¹							
3034-1	kʰ a ʔ ²¹							
3088-1	p l ɛ ʔ ⁴⁵							
3113-1	p l e ⁵⁵							
3154-1	r u ¹¹							
3179-1	ɕ j a ¹¹							
3246-1	d a ⁵⁵							
3259-1	c i m ¹¹							
3282-1	tʰ ə ŋ ¹¹							
3295-1	cʰ a ¹¹							
3338-1	l o ŋ ¹¹							
3351-1	p l i ³³							
3375-1	m ɨ ¹¹							
3410-1	j ɔ ʔ ²¹							
3423-1	m e ¹¹							
3445-1	ɕ i ⁵⁵							
3485-1	p i ¹¹							
3500-1	p l o ŋ ¹¹							
3545-1	t u ¹¹							
3557-1	s ə m ⁵⁵							
3581-1	c ə ŋ ⁵⁵							
3594-1	kʰ e ⁵⁵							
3618-1	s u ¹¹							
3654-1	p l e ³³							
3667-1	t ɛ ʔ ⁴⁵							
3680-1	kʰ l i ʔ ²¹							
3763-1	p r ɔ ʔ ²¹							
3850-1	p l a ¹¹							
3878-1	tʰ i ⁵⁵							
3903-1	tʰ ɛ ŋ ⁵⁵							
3938-1	c au ¹¹							
3963-1	l ɛ ¹¹							
3977-1	m a ⁵⁵							
1464-1	l i ⁵⁵							
21-2		t ə ¹¹						
33-2		t ə ³³						
46-2		p l a ¹¹						
126-2		s a ⁵⁵						
114-2		b a ³³						
149-2		p l a ¹¹						
171-2		tʰ a ⁵⁵						
191-2		w ɛ ⁵⁵						
203-2		n i ³³						
224-2		l a ʔ ³³						
275-2		kʰ a ³³						
302-2		ʔ u ⁵⁵						
315-2		tʰ ɔ ʔ ²¹						
394-2		n o ³³						
431-2		pʰ a ʔ ²¹						
444-2		p a ʔ ²¹						
445-2		n a ¹¹						
514-2		s i ²¹						
555-2		kʰ w i ³³						
579-2		cʰ a ⁵⁵						
603-2		kʰ a ³³						
737-2		l u ³³						
763-2		cʰ w ɛ ³³						
870-2		kʰ i ʔ ²¹						
918-2		ʔ ə ⁵⁵						
979-2		l a ³³						
1013-2		m a ¹¹						
1040-2		tʰ w i ³³						
1027-2		m a ⁵⁵						
1053-2		l w i ¹¹						
1065-2		m a ŋ ¹¹						
1091-2		m u ³³						
1116-2		ʔ i ³³						
1129-2		n a ¹¹						
1173-2		d i ³³						
1207-2		cʰ a ⁵⁵						
1255-2		p i ʔ ²¹						
1277-2		t e ʔ ³³						
1290-2		b ə ³³						
1301-2		cʰ ə ³³						
1337-2		m ɨ ³³						
1323-2		m u ¹¹						
1350-2		m i ³³						
1372-2		j ɛ ¹¹						
1498-2		d i ³³						
1664-2		l e ³³						
1652-2		ʔ ɔ ³³						
1687-2		s a ʔ ³³						
1708-2		ɕ ɔ ³³						
1732-2		t o ¹¹						
1742-2		n o ¹¹						
1755-2		pʰ l ɨ ⁵⁵						
1767-2		s i ³³						
1786-2		j a ³³						
1803-2		w a ³³						
1815-2		cʰ a ⁵⁵						
1840-2		pʰ r i ʔ ³³						
1853-2		tʰ a ʔ ²¹						
1866-2		s a ʔ ²¹						
1894-2		l a ³³						
1934-2		c i ³³						
1947-2		kʰ a ³³						
1993-2		pʰ w i ⁵⁵						
2059-2		ʔ o ³³						
2098-2		j a ʔ ³³						
2086-2		tʰ o ⁵⁵						
2153-2		s ɨ ¹¹						
2180-2		l o ³³						
2205-2		kʰ w o ⁵⁵						
2328-2		l a ⁵⁵						
2349-2		j u ¹¹						
2372-2		m i ³³						
2388-2		m i ³³						
2413-2		d i ⁵⁵						
2637-2		p l o ³³						
2649-2		c u ⁵⁵						
2693-2		p ə ⁵⁵						
2755-2		s ɔ ʔ ²¹						
2858-2		m i ⁵⁵						
2953-2		cʰ a ⁵⁵						
2986-2		cʰ a ʔ ²¹						
3034-2		kʰ a ʔ ²¹						
3088-2		p l ɛ ʔ ³³						
3113-2		p l i ⁵⁵						
3154-2		r u ¹¹						
3179-2		cʰ a ³³						
3246-2		d a ⁵⁵						
3259-2		c i ¹¹						
3282-2		tʰ ə ³³						
3295-2		cʰ a ³³						
3338-2		l o ŋ ¹¹						
3351-2		p l i ³³						
3375-2		m ɨ ¹¹						
3410-2		j ɔ ʔ ²¹						
3423-2		m e ¹¹						
3445-2		cʰ i ⁵⁵						
3485-2		p i ¹¹						
3500-2		p l o ³³						
3545-2		t u ¹¹						
3557-2		s ə ⁵⁵						
3581-2		c ə ⁵⁵						
3594-2		kʰ i ⁵⁵						
3618-2		s u ³³						
3654-2		p l i ⁵⁵						
3667-2		t ɛ ʔ ³³						
3680-2		kʰ l i ʔ ³³						
3763-2		p r ɔ ʔ ³³						
3850-2		p l a ¹¹						
3878-2		tʰ i ⁵⁵						
3903-2		tʰ ɛ ⁵⁵						
3938-2		c ɔ ³³						
3963-2		l ɛ ¹¹						
3977-2		m a ⁵⁵						
1464-2		l i ⁵⁵						
21-3			t ə ŋ ¹¹					
33-3			t ə ¹¹					
46-3			p l a ¹¹					
126-3			s a ³¹					
114-3			b a ŋ ⁵⁵					
149-3			p l a ³¹					
171-3			tʰ a m ³¹					
191-3			w a ²¹					
203-3			n e ³¹					
224-3			l a ʔ ⁴⁵					
275-3			kʰ a ⁵⁵					
302-3			ʔ u ³¹					
315-3			tʰ ɔ ʔ ²¹					
394-3			n o k ⁴⁵					
431-3			p a ʔ ²¹					
444-3			p a ʔ ²¹					
445-3			n a ¹¹					
514-3			s i ʔ ²¹					
555-3			kʰ w i ⁵⁵					
579-3			ɕ j a n ³¹					
603-3			kʰ a ⁵⁵					
737-3			l u ⁵⁵					
763-3			cʰ w ɛ ⁵⁵					
870-3			kʰ i ʔ ²¹					
918-3			ʔ ə ŋ ³¹					
979-3			l a ŋ ³³					
1013-3			m a ¹¹					
1040-3			tʰ w i ⁵⁵					
1027-3			m a ⁵⁵					
1053-3			l w i ¹¹					
1065-3			m a ŋ ¹¹					
1091-3			m u ³³					
1116-3			ʔ e ⁵⁵					
1129-3			n a ¹¹					
1173-3			d i ⁵⁵					
1207-3			cʰ a ŋ ³¹					
1255-3			p i ʔ ²¹					
1277-3			t ɛ ʔ ⁴⁵					
1290-3			p l ə ŋ ⁵⁵					
1301-3			cʰ ə ⁵⁵					
1337-3			m ɨ ⁵⁵					
1323-3			m u ¹¹					
1350-3			m e ⁵⁵					
1372-3			ŋ a ⁴⁵					
1498-3			d e ⁵⁵					
1664-3			l e ʔ ⁴⁵					
1652-3			ʔ au ⁵⁵					
1687-3			s a ʔ ²¹					
1708-3			s au ⁵⁵					
1732-3			t o ŋ ¹¹					
1742-3			n o ŋ ³³					
1755-3			pʰ r ɨ ³¹					
1767-3			s e ³¹					
1786-3			r j a ³³					
1803-3			w a ³³					
1815-3			cʰ a ³¹					
1840-3			pʰ r e ʔ ⁴⁵					
1853-3			tʰ a ʔ ²¹					
1866-3			s a ʔ ²¹					
1894-3			l a ⁵⁵					
1934-3			c e ⁵⁵					
1947-3			kʰ a ŋ ⁵⁵					
1993-3			pʰ w i ³¹					
2059-3			ʔ o ŋ ⁵⁵					
2098-3			ŋ j a ʔ ⁴⁵					
2086-3			tʰ o ³¹					
2153-3			s ɨ ¹¹					
2180-3			l o ŋ ⁵⁵					
2205-3			kʰ w o ³¹					
2328-3			l a ³¹					
2349-3			j u ¹¹					
2372-3			m i ⁵⁵					
2388-3			m i n ³³					
2413-3			d e ³¹					
2637-3			p l o m ⁵⁵					
2649-3			c u ³¹					
2693-3			p ə ŋ ³³					
2755-3			s ɔ ʔ ²¹					
2858-3			m i n ³¹					
2953-3			c a ³¹					
2986-3			cʰ a ʔ ²¹					
3034-3			kʰ a ʔ ²¹					
3088-3			p l ɛ ʔ ⁴⁵					
3113-3			p l e ³¹					
3154-3			r u ¹¹					
3179-3			ɕ j a n ⁵⁵					
3246-3			d a ³¹					
3259-3			c i m ¹¹					
3282-3			tʰ ə ŋ ⁵⁵					
3295-3			cʰ a ⁵⁵					
3338-3			l o ŋ ¹¹					
3351-3			p l i ³³					
3375-3			m ɨ ¹¹					
3410-3			j ɔ ʔ ²¹					
3423-3			m e ¹¹					
3445-3			ɕ i ³¹					
3485-3			p i ¹¹					
3500-3			p l o ŋ ⁵⁵					
3545-3			t u ¹¹					
3557-3			s ə m ³¹					
3581-3			c ə ŋ ³¹					
3594-3			kʰ e ³¹					
3618-3			s u ⁵⁵					
3654-3			p l e ³³					
3667-3			t ɛ ʔ ⁴⁵					
3680-3			kʰ l i ʔ ²¹					
3763-3			p r ɔ ʔ ²¹					
3850-3			p l a ¹¹					
3878-3			tʰ i ³¹					
3903-3			tʰ ɛ ŋ ³¹					
3938-3			c au ⁵⁵					
3963-3			l ɛ ¹¹					
3977-3			m a ³¹					
1464-3			l i p ⁴⁵					
21-4				t ə ¹¹				
33-4				t ə ¹¹				
46-4				p l a ¹¹				
126-4				s a ⁵⁵				
114-4				b a ¹¹				
149-4				p l a ¹¹				
171-4				tʰ a ⁵⁵				
191-4				h w ɛ ³³				
203-4				n i ⁵⁵				
224-4				l a ³³				
275-4				kʰ a ¹¹				
302-4				ʔ u ⁵⁵				
315-4				tʰ ɔ ³³				
394-4				n ə ³³				
431-4				pʰ a ³³				
444-4				p a ³³				
445-4				n a ¹¹				
514-4				s i ³³				
555-4				kʰ w i ¹¹				
579-4				ɕ a ⁵⁵				
603-4				kʰ a ¹¹				
737-4				l u ¹¹				
763-4				cʰ w ɛ ¹¹				
870-4				kʰ i ³³				
918-4				ʔ ə ⁵⁵				
979-4				l a ³³				
1013-4				m a ¹¹				
1040-4				tʰ w i ¹¹				
1027-4				m a ⁵⁵				
1053-4				l w i ¹¹				
1065-4				m a ¹¹				
1091-4				m ɨ ³³				
1116-4				ʔ i ¹¹				
1129-4				n a ¹¹				
1173-4				d i ¹¹				
1207-4				cʰ a ⁵⁵				
1255-4				p i ³³				
1277-4				t e ³³				
1290-4				b u ¹¹				
1301-4				ɕ u ¹¹				
1337-4				m ɨ ¹¹				
1323-4				m u ¹¹				
1350-4				m i ¹¹				
1372-4				j ɛ ³³				
1498-4				d i ¹¹				
1664-4				l e ³³				
1652-4				ʔ o ¹¹				
1687-4				s a ³³				
1708-4				s o ¹¹				
1732-4				t o ¹¹				
1742-4				n o ¹¹				
1755-4				pʰ r ɨ ⁵⁵				
1767-4				s i ³³				
1786-4				j a ³³				
1803-4				w a ³³				
1815-4				cʰ a ⁵⁵				
1840-4				p r e ³³				
1853-4				tʰ a ³³				
1866-4				s a ³³				
1894-4				l a ¹¹				
1934-4				c i ¹¹				
1947-4				kʰ a ¹¹				
1993-4				pʰ w i ⁵⁵				
2059-4				ʔ o ¹¹				
2098-4				ŋ j a ³³				
2086-4				tʰ u ⁵⁵				
2153-4				s ɨ ¹¹				
2180-4				l o ¹¹				
2205-4				kʰ w u ⁵⁵				
2328-4				l a ⁵⁵				
2349-4				j u ¹¹				
2372-4				m i ¹¹				
2388-4				m i ³³				
2413-4				d i ³³				
2637-4				p l o ¹¹				
2649-4				c u ⁵⁵				
2693-4				p ə ⁵⁵				
2755-4				s ɔ ³³				
2858-4				m i ⁵⁵				
2953-4				cʰ a ⁵⁵				
2986-4				cʰ a ³³				
3034-4				kʰ a ³³				
3088-4				p l ɛ ³³				
3113-4				p l i ⁵⁵				
3154-4				r u ¹¹				
3179-4				ɕ a ¹¹				
3246-4				d a ⁵⁵				
3259-4				c i ¹¹				
3282-4				tʰ ə ¹¹				
3295-4				cʰ a ¹¹				
3338-4				l o ¹¹				
3351-4				p l i ³³				
3375-4				m ɨ ¹¹				
3410-4				j ɔ ³³				
3423-4				m i ¹¹				
3445-4				ɕ i ⁵⁵				
3485-4				p i ¹¹				
3500-4				p l o ¹¹				
3545-4				t u ¹¹				
3557-4				s ə ⁵⁵				
3581-4				c ə ⁵⁵				
3594-4				kʰ i ⁵⁵				
3618-4				s u ¹¹				
3654-4				p l i ³³				
3667-4				t ɛ ³³				
3680-4				kʰ l i ³³				
3763-4				p r ɔ ³³				
3850-4				p l a ¹¹				
3878-4				tʰ i ⁵⁵				
3903-4				tʰ i ⁵⁵				
3938-4				c o ¹¹				
3963-4				l ɛ ¹¹				
3977-4				m a ⁵⁵				
1464-4				l i ⁵⁵				
21-5					t ə ¹¹			
33-5					t ə ¹¹			
46-5					p l a ¹¹			
126-5					θ a ⁵⁵			
114-5					b a ŋ ¹¹			
149-5					p l a ¹¹			
171-5					tʰ a ⁵⁵			
191-5					w ɛ ³³			
203-5					n e ³³			
224-5					l a ʔ ⁴⁵			
275-5					kʰ a ¹¹			
302-5					ʔ u ³³			
315-5					tʰ ɔ ʔ ³³			
394-5					n o ¹¹			
431-5					pʰ a ʔ ³³			
444-5					b a ʔ ³³			
445-5					n a ¹¹			
514-5					θ i ʔ ³³			
555-5					kʰ w i ¹¹			
579-5					ɕ a ⁵⁵			
603-5					kʰ a ¹¹			
737-5					l u ¹¹			
763-5					cʰ w ɛ ¹¹			
870-5					kʰ i ʔ ³³			
918-5					ʔ ə ŋ ⁵⁵			
979-5					l a ŋ ³³			
1013-5					m a ¹¹			
1040-5					tʰ w i ¹¹			
1027-5					m a ³³			
1053-5					l w i ¹¹			
1065-5					m a ŋ ¹¹			
1091-5					m ɨ ³³			
1116-5					ʔ e ¹¹			
1129-5					n a ¹¹			
1173-5					d i ¹¹			
1207-5					cʰ a ŋ ⁵⁵			
1255-5					p i ʔ ²¹			
1277-5					t ɛ ʔ ¹¹			
1290-5					b w ʊ ŋ ¹¹			
1301-5					cʰ ʊ ¹¹			
1337-5					m ɨ ¹¹			
1323-5					m u ¹¹			
1350-5					m e ¹¹			
1372-5					ŋ ɛ ¹¹			
1498-5					d i ¹¹			
1664-5					l e ¹¹			
1652-5					ʔ au ¹¹			
1687-5					θ a ʔ ³³			
1708-5					θ au ¹¹			
1732-5					t o ¹¹			
1742-5					n o ¹¹			
1755-5					pʰ r ɨ ⁵⁵			
1767-5					θ i ³³			
1786-5					j a ³³			
1803-5					w a ³³			
1815-5					cʰ a ⁵⁵			
1840-5					pʰ r i ʔ ¹¹			
1853-5					tʰ a ʔ ³³			
1866-5					θ a ʔ ³³			
1894-5					l a ¹¹			
1934-5					c e ¹¹			
1947-5					kʰ a ŋ ¹¹			
1993-5					pʰ w i ⁵⁵			
2059-5					ʔ o ¹¹			
2098-5					ŋ j a ʔ ³³			
2086-5					tʰ o ⁵⁵			
2153-5					θ ɨ ¹¹			
2180-5					l o ¹¹			
2205-5					kʰ w o ⁵⁵			
2328-5					l a ⁵⁵			
2349-5					j u ¹¹			
2372-5					m i ¹¹			
2388-5					m i ³³			
2413-5					d i ⁵⁵			
2637-5					p l o ¹¹			
2649-5					c u ⁵⁵			
2693-5					p ə ³³			
2755-5					θ ɔ ʔ ³³			
2858-5					m i ⁵⁵			
2953-5					cʰ a ⁵⁵			
2986-5					cʰ a ʔ ³³			
3034-5					kʰ a ʔ ³³			
3088-5					p l ɛ ʔ ¹¹			
3113-5					p l i ⁵⁵			
3154-5					r u ¹¹			
3179-5					ɕ a ¹¹			
3246-5					d a ⁵⁵			
3259-5					c i ¹¹			
3282-5					tʰ ə ¹¹			
3295-5					cʰ a ¹¹			
3338-5					l o ¹¹			
3351-5					p l i ³³			
3375-5					m ɨ ¹¹			
3410-5					j ɔ ʔ ³³			
3423-5					m e ¹¹			
3445-5					ɕ i ⁵⁵			
3485-5					p i ¹¹			
3500-5					p l o ¹¹			
3545-5					t u ¹¹			
3557-5					θ ə ⁵⁵			
3581-5					c ə ⁵⁵			
3594-5					kʰ i ⁵⁵			
3618-5					θ u ¹¹			
3654-5					p l i ³³			
3667-5					t ɛ ʔ ³³			
3680-5					kʰ l i ʔ ³³			
3763-5					p r ɔ ʔ ³³			
3850-5					p l a ¹¹			
3878-5					tʰ i ⁵⁵			
3903-5					tʰ ɛ ⁵⁵			
3938-5					c au ¹¹			
3963-5					l ɛ ¹¹			
3977-5					m a ⁵⁵			
1464-5					l i ⁵⁵			
21-6						t ə ¹¹		
33-6						t ə ¹¹		
46-6						p l a ¹¹		
126-6						s a ³¹		
114-6						b a ¹¹		
149-6						p l a ¹¹		
171-6						tʰ a ³¹		
191-6						w ɛ ⁵⁵		
203-6						n i ³³		
224-6						l a ³³		
275-6						kʰ a ¹¹		
302-6						ʔ u ³³		
315-6						tʰ ɔ ²¹		
394-6						n ɔ ³³		
431-6						pʰ a ²¹		
444-6						p a ²¹		
445-6						n a ¹¹		
514-6						s i ²¹		
555-6						kʰ w i ¹¹		
579-6						ɕ a ³¹		
603-6						kʰ a ¹¹		
737-6						l u ¹¹		
763-6						cʰ w ɛ ¹¹		
870-6						kʰ i ²¹		
918-6						ʔ ə ⁵⁵		
979-6						l a ³³		
1013-6						m a ¹¹		
1040-6						tʰ w i ¹¹		
1027-6						m a ³³		
1053-6						l w i ¹¹		
1065-6						m a ¹¹		
1091-6						m ɨ ³³		
1116-6						ʔ i ¹¹		
1129-6						n a ¹¹		
1173-6						d i ¹¹		
1207-6						cʰ a ³¹		
1255-6						p i ³³		
1277-6						t ɛ ³³		
1290-6						b ə ¹¹		
1301-6						ɕ ə ¹¹		
1337-6						m ɨ ¹¹		
1323-6						m u ¹¹		
1350-6						m i ¹¹		
1372-6						ŋ ɛ ³³		
1498-6						d i ¹¹		
1664-6						l e ³³		
1652-6						ʔ o ¹¹		
1687-6						s a ²¹		
1708-6						s o ¹¹		
1732-6						t o ¹¹		
1742-6						n o ¹¹		
1755-6						pʰ r ɨ ³¹		
1767-6						s i ³³		
1786-6						j a ³³		
1803-6						w a ³³		
1815-6						cʰ a ³¹		
1840-6						pʰ r e ³³		
1853-6						tʰ a ²¹		
1866-6						s a ²¹		
1894-6						l a ¹¹		
1934-6						c i ¹¹		
1947-6						kʰ a ¹¹		
1993-6						pʰ w i ³¹		
2059-6						ʔ o ¹¹		
2098-6						ŋ j a ³³		
2086-6						tʰ u ³¹		
2153-6						s ɨ ¹¹		
2180-6						l o ¹¹		
2205-6						kʰ w u ³¹		
2328-6						l a ⁵⁵		
2349-6						j u ¹¹		
2372-6						m i ¹¹		
2388-6						m i ³³		
2413-6						d i ³³		
2637-6						p l o ¹¹		
2649-6						c u ⁵⁵		
2693-6						p ə ³³		
2755-6						s ɔ ²¹		
2858-6						m i ⁵⁵		
2953-6						cʰ a ³¹		
2986-6						cʰ a ²¹		
3034-6						kʰ a ²¹		
3088-6						p l ɛ ³³		
3113-6						p l i ³¹		
3154-6						r u ¹¹		
3179-6						ɕ a ¹¹		
3246-6						d a ⁵⁵		
3259-6						c i ¹¹		
3282-6						tʰ ə ¹¹		
3295-6						cʰ a ¹¹		
3338-6						l o ¹¹		
3351-6						p l i ³³		
3375-6						m ɨ ¹¹		
3410-6						j ɔ ²¹		
3423-6						m i ¹¹		
3445-6						ɕ i ³¹		
3485-6						p i ¹¹		
3500-6						p l o ¹¹		
3545-6						t u ¹¹		
3557-6						s ə ³¹		
3581-6						c ə ⁵⁵		
3594-6						kʰ i ³¹		
3618-6						s u ¹¹		
3654-6						p l i ³³		
3667-6						t ɛ ³³		
3680-6						kʰ l i ²¹		
3763-6						p r ɔ ²¹		
3850-6						p l a ¹¹		
3878-6						tʰ i ³¹		
3903-6						tʰ ɛ ³¹		
3938-6						c o ¹¹		
3963-6						l ɛ ¹¹		
3977-6						m a ³¹		
1464-6						l w i ⁴⁵		
21-7							t ə ¹¹	
33-7							t ə ¹¹	
46-7							p l a ¹¹	
126-7							s a ⁵⁵	
114-7							b a ¹¹	
149-7							p l a ¹¹	
171-7							tʰ a ⁵⁵	
191-7							w ɛ ⁵⁵	
203-7							n i ³³	
224-7							l a ³³	
275-7							kʰ a ¹¹	
302-7							ʔ u ⁵⁵	
315-7							tʰ ɔ ³³	
394-7							n o ²¹	
431-7							pʰ a ³³	
444-7							p a ²¹	
445-7							n a ¹¹	
514-7							s i ³³	
555-7							kʰ w i ¹¹	
579-7							cʰ a ⁵⁵	
603-7							kʰ a ¹¹	
737-7							l u ¹¹	
763-7							cʰ w ɛ ¹¹	
870-7							kʰ i ³³	
918-7							ʔ ə ⁵⁵	
979-7							l a ³³	
1013-7							m a ¹¹	
1040-7							tʰ w i ¹¹	
1027-7							m a ⁵⁵	
1053-7							l w i ¹¹	
1065-7							m a ŋ ¹¹	
1091-7							m ɨ ³³	
1116-7							ʔ i ¹¹	
1129-7							n a ¹¹	
1173-7							d i ¹¹	
1207-7							cʰ a ⁵⁵	
1255-7							p i ²¹	
1277-7							t ɛ ²¹	
1290-7							b u ¹¹	
1301-7							cʰ u ¹¹	
1337-7							m ɨ ¹¹	
1323-7							m u ¹¹	
1350-7							m i ¹¹	
1372-7							ŋ ɛ ¹¹	
1498-7							d i ¹¹	
1664-7							l e ²¹	
1652-7							ʔ ɔ ¹¹	
1687-7							s a ³³	
1708-7							θ ɔ ¹¹	
1732-7							t o ¹¹	
1742-7							n o ¹¹	
1755-7							pʰ r ɨ ⁵⁵	
1767-7							s i ³³	
1786-7							j a ³³	
1803-7							w a ³³	
1815-7							cʰ a ⁵⁵	
1840-7							p r i ²¹	
1853-7							tʰ a ³³	
1866-7							s a ³³	
1894-7							l a ¹¹	
1934-7							c i ¹¹	
1947-7							kʰ a ¹¹	
1993-7							pʰ w i ⁵⁵	
2059-7							ʔ o ¹¹	
2098-7							ŋ j a ³³	
2086-7							tʰ u ⁵⁵	
2153-7							s ɨ ¹¹	
2180-7							l o ¹¹	
2205-7							kʰ w u ⁵⁵	
2328-7							l a ⁵⁵	
2349-7							j u ¹¹	
2372-7							m i ¹¹	
2388-7							m i ³³	
2413-7							d i ⁵⁵	
2637-7							p l o ¹¹	
2649-7							c u ⁵⁵	
2693-7							p ə ⁵⁵	
2755-7							s ɔ ³³	
2858-7							m i ⁵⁵	
2953-7							cʰ a ⁵⁵	
2986-7							cʰ a ³³	
3034-7							kʰ a ³³	
3088-7							p l ɛ ²¹	
3113-7							p l i ⁵⁵	
3154-7							r u ¹¹	
3179-7							cʰ a ¹¹	
3246-7							d a ⁵⁵	
3259-7							c i ¹¹	
3282-7							tʰ ə ¹¹	
3295-7							cʰ a ¹¹	
3338-7							l o ¹¹	
3351-7							p l i ³³	
3375-7							m ɨ ¹¹	
3410-7							j ɔ ³³	
3423-7							m e ¹¹	
3445-7							cʰ i ⁵⁵	
3485-7							p i ¹¹	
3500-7							p l o ¹¹	
3545-7							t u ¹¹	
3557-7							s ə ⁵⁵	
3581-7							c ə ⁵⁵	
3594-7							kʰ i ⁵⁵	
3618-7							s u ¹¹	
3654-7							p l i ³³	
3667-7							t ɛ ³³	
3680-7							kʰ l i ³³	
3763-7							p r ɔ ³³	
3850-7							p l a ¹¹	
3878-7							tʰ i ⁵⁵	
3903-7							tʰ ɛ ⁵⁵	
3938-7							c ɔ ¹¹	
3963-7							l ɛ ¹¹	
3977-7							m a ⁵⁵	
1464-7							l w i ⁵⁵	
21-8								t ə ¹¹
33-8								t ə ¹¹
46-8								p l a ¹¹
126-8								s a ³⁵
114-8								b a ŋ ¹¹
149-8								p l a ¹¹
171-8								tʰ a ³⁵
191-8								k w ɛ ⁵⁵
203-8								n i ³⁵
224-8								l a ʔ ⁴⁵
275-8								kʰ a ¹¹
302-8								ʔ u ⁵⁵
315-8								tʰ ɔ ʔ ⁴⁵
394-8								n ɔ ʔ ²¹
431-8								pʰ a ʔ ⁴⁵
444-8								p a ʔ ²¹
445-8								n a ¹¹
514-8								s ɨ ʔ ²¹
555-8								kʰ w i ¹¹
579-8								ɕ a ³⁵
603-8								kʰ a ¹¹
737-8								l u ¹¹
763-8								cʰ w ɛ ¹¹
870-8								kʰ i ʔ ⁴⁵
918-8								ʔ ə ŋ ⁵⁵
979-8								l a ŋ ³³
1013-8								m a ¹¹
1040-8								tʰ w i ¹¹
1027-8								m a ³³
1053-8								l w i ¹¹
1065-8								m a ŋ ¹¹
1091-8								m ɨ ³³
1116-8								ʔ i ¹¹
1129-8								n a ¹¹
1173-8								d i ¹¹
1207-8								cʰ a ŋ ³⁵
1255-8								p i ʔ ²¹
1277-8								t ɛ ʔ ²¹
1290-8								b ɑ̃ ŋ ¹¹
1301-8								cʰ ɑ̃ ¹¹
1337-8								m ɨ ¹¹
1323-8								m u ¹¹
1350-8								m i ¹¹
1372-8								ŋ ɛ ¹¹
1498-8								d i ¹¹
1664-8								l e ʔ ²¹
1652-8								ʔ au ¹¹
1687-8								s a ʔ ⁴⁵
1708-8								ɕ au ¹¹
1732-8								t o ¹¹
1742-8								n o ⁵⁵
1755-8								pʰ r ɨ ³⁵
1767-8								s i ³³
1786-8								j a ³³
1803-8								w a ³³
1815-8								cʰ a ³⁵
1840-8								p r i ʔ ²¹
1853-8								tʰ a ʔ ⁴⁵
1866-8								s a ʔ ⁴⁵
1894-8								l a ¹¹
1934-8								c i ¹¹
1947-8								kʰ a ŋ ¹¹
1993-8								pʰ w i ³⁵
2059-8								ʔ o ¹¹
2098-8								ŋ j a ʔ ³³
2086-8								tʰ au ³⁵
2153-8								s ɨ ¹¹
