COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
383	s ə ¹¹		s i ¹¹	s i ⁵⁵	s ei ³³	s r ei ¹¹	s i ³³	θ r e ³³
17	kʰ u ¹¹		kʰ u ³³		kʰ u ⁵⁵	kʰ o ⁵⁵		
394	n ɔ ³³	n ɔ ʔ ²¹	n ə ³³	n o k ⁴⁵	n au ʔ ²¹	n o k̚ ⁵¹	n u ʔ ⁴⁵	n o ¹¹
408	pʰ i ³³	pʰ ai ⁵³	pʰ i ⁵⁵	pʰ e ɦ ³¹	pʰ i ³⁵	pʰ e ⁵⁵	pʰ e ɦ ³¹	
420	n u ¹¹	n u ¹¹	n u ¹¹		n u ɦ ¹¹	n u ¹¹		n u ³³
431	pʰ e ⁵⁵	pʰ a ʔ ⁴⁵	pʰ ɔ ³³	p a ʔ ²¹	pʰ a ʔ ⁴⁵	p a ʔ̚ ⁵¹	p a ʔ ²¹	pʰ a ³³
444	p e ⁵⁵	b u ʔ ⁴⁵	p a ³³	p a ʔ ²¹	p a ʔ ²¹	p ə ʔ̚ ⁰	p a ʔ ²¹	b ə ³³
445	n e ¹¹	n a ¹¹	n a ¹¹	n a ⁵³	n a ɦ ¹¹	n a ¹¹	n a ⁵⁵	n ɛ ³³
469	pʰ r i ¹¹	p r ai ³³	p r i ³³	pʰ r e ³³		b r e ⁵⁵	pʰ r e ⁵³	b w ɪ ³³
495	pʰ ɨ ³³		pʰ u ⁵⁵	pʰ r ɨ ⁵⁵	pʰ ã ³⁵	pʰ r u ɴ ⁵⁵		
506			pʰ ɨ ¹¹		p əɨ̯ ³³	p ɨ ¹¹		pʰ u ³³
514	s i ⁵⁵	θ ɨ ʔ ⁴⁵	s i ³³	s e ʔ ²¹	s ɨ ³⁵	s i ʔ ⁵¹	s i ʔ ²¹	θ a ³³
527	k u ¹¹	k u ⁵³	k u ¹¹	k u ɦ ³¹		k u ⁵⁵	k u ɦ ³¹	
483	k ɔ ³³	k o ⁵³	k ɨ ⁵⁵		k ou̯ ⁵⁵	k ɨ ⁵⁵		k o ⁵⁵
537		t a ʔ ¹¹		t a ʔ ⁴⁵		t a ʔ̚ ⁵¹	t a ʔ ⁴⁵	
538		b a ŋ ⁵³		b a ŋ ɦ ³¹		ˀb a ŋ ⁵⁵	b a ŋ ɦ ³¹	
555	kʰ w i ¹¹	kʰ w i ¹¹	kʰ w i ¹¹	kʰ w i ⁵⁵	kʰ w i ³³	kʰ w i ¹¹	kʰ w i ³³	kʰ w i ³³
567	s u ¹¹	θ au ¹¹	s u ¹¹	s w a ⁵⁵	s w a ³³	s w w a ¹¹	s w a ³³	
579	cʰ ɛ ³³	ɕ a ŋ ⁵³	ɕ ɔ ⁵⁵	ɕ j a n ɦ ³¹	cʰ ɛ̃ ³⁵	cʰ j a ɴ ⁵⁵	ɕ j a n ɦ ³¹	ʃ a ⁵⁵
592	h ɛ ⁵⁵	h ɛ ʔ ⁴⁵	h ɛ ³³	h a t ²¹		h a t̚ ⁵¹	h a p ²¹	h ɛ ³³
603	kʰ e ¹¹	kʰ a ¹¹	kʰ a ¹¹	kʰ a ⁵⁵	kʰ a ³³	kʰ a ¹¹	kʰ a ³³	kʰ ɛ ³³
616	j a ¹¹	j ai ³³		ŋ j ai ³³	j ai ⁵⁵	ŋ j ai ⁵⁵		
625		tʰ u ¹¹	tʰ u ¹¹			tʰ u ¹¹		tʰ u ³³
646	s ə ¹¹	θ ɨ ¹¹	s i ¹¹	s i ⁵⁵	s ei ³³	s ei ¹¹	s i ³³	
666	b e ¹¹	b a ¹¹	b a ¹¹	b a ⁵⁵	b ai ³³	ˀb a ¹¹	b a ³³	
696	pʰ r e ¹¹	p r a ³³	p r a ³³	pʰ r a ³³	p ɣ a ⁵⁵	b r a ⁵⁵	pʰ r a ⁵³	
656	p l ɔ ¹¹		p l o ¹¹	p l ɔ ŋ ⁵⁵	pʰ l ɔ̃ ³³	p l ɔ ŋ ¹¹		
709		kʰ au ¹¹			kʰ u ³³	kʰ o ¹¹		
634	pʰ l ɔ ¹¹	pʰ l əu ¹¹	pʰ l ə ¹¹	pʰ l o ŋ ⁵⁵	pʰ l ãu ³³	pʰ l o ŋ ¹¹	pʰ l o ŋ ³³	
686	b o ³³	b ɔ ⁵³	b o ⁵⁵		b ɔ̃ ⁵⁵	ˀb ɔ ɴ ⁵⁵		
677	d o ³³	d əɨ ⁵³	d ə ⁵⁵		d əɨ ⁵⁵	ˀd ə ⁵⁵		
716		b i ¹¹	b i ¹¹		b ei ³³	ˀb i ¹¹		
725	kʰ w i ⁵⁵	kʰ w i ʔ ⁴⁵	w i ³³	w u t ²¹	kʰ w i ³⁵	kʰ w i t ⁵¹		kʰ w i ³³
737	l o ¹¹	l u ¹¹	l u ¹¹	l u ⁵⁵	l ou ³³	l̥ ou ¹¹	l u ³³	l u ³³
750	kʰ ɨ ⁵⁵	kʰ u ʔ ⁴⁵	kʰ ɨ ³³	kʰ u k ²¹	kʰ au ʔ ⁴⁵	kʰ u k̚ ⁵¹		kʰ u ³³
763	cʰ w a ¹¹	cʰ w ɛ ¹¹	cʰ ɛ ¹¹	cʰ w ɛ ⁵⁵	cʰ w ɛ ³³	cʰ w ɛ ¹¹	cʰ w ɛ ³³	ʃ w ɛ ³³
776	k i ³³	k i ⁵³	k i ⁵⁵	k i ɦ ³¹		k i ⁵⁵	k i ɦ ³¹	
789						s ə ⁰		θ ə ³³
788			m a ¹¹		m a ³³	m̥ a ¹¹		m ɛ ³³
800	k ɛ ³³		k i ¹¹			k ə ⁰		k ə ⁵⁵
801	n i ³³		n i ⁵⁵		n ei ³⁵	n̥ i ⁵⁵		n i ⁵⁵
815	kʰ ɛ ³³		kʰ ɔ ⁵⁵		kʰ ɛ̃ ³⁵	kʰ a ɴ ⁵⁵		
823	kʰ l ə ¹¹		kʰ l i ¹¹	kʰ l i ⁵⁵	kʰ l ei ³³	kʰ l ei ¹¹	kʰ l i ³³	kʰ l i ³³
835	ʔ u ¹¹		ʔ u ¹¹	ʔ o ⁵⁵	ʔ u ³³	ʔ o ¹¹	ʔ o ³³	o ³³
849						k ə ⁰		k ə ³³
848	n o ¹¹		n o ¹¹		n ɔ̃ ³³	n̥ ɔ ɴ ¹¹		n ʊ ³³
859	d ə ³³		d i ⁵⁵		d ei ⁵⁵	ˀd ei ⁵⁵	d i ɦ ³¹	ɗ i ⁵⁵
870	kʰ i ⁵⁵	kʰ ɨ ʔ ⁴⁵	kʰ i ³³	kʰ e ʔ ²¹	kʰ ai ʔ ⁴⁵	kʰ i ʔ̚ ⁵¹	kʰ i ʔ ²¹	kʰ i ³³
883	d ɛ ¹¹	d ɛ ¹¹	d ɛ ¹¹		d ɛ ³³	ˀd ɛ ¹¹		ɗ ɛ ³³
894	n ə ¹¹		n i ³³	n i ³³	n ei ⁵⁵	n ei ⁵⁵	n i ⁵³	n i ³³
906		s ə ³³	s i ⁵⁵	s i ɦ ³¹	s ei ³⁵	s ei ⁵⁵	s i ɦ ³¹	θ ɨ ⁵⁵
918	ʔ ɔ ³³	ʔ ə ŋ ⁵³	ʔ ə ⁵⁵	ʔ ə ŋ ɦ ³¹	ʔ ɑ̃ ⁵⁵	ʔ ə ŋ ⁵⁵	ʔ ə ŋ ɦ ³¹	o ⁵⁵
930	j ɛ ³³	ɟ au ʔ ²¹		j ɔ ʔ ⁴⁵	j o ʔ ²¹	j ɔ ʔ̚ ⁵¹	j ɔ ʔ ⁴⁵	j ɔ ¹¹
943						d ə ⁰		d o ¹¹
942	kʰ ə ³³	kʰ ɨ ⁵³	kʰ i ⁵⁵	kʰ i ɦ ³¹		kʰ ei ⁵⁵	kʰ i ɦ ³¹	kʰ i ⁵⁵
954					t a ³³	t ə ⁰		
953	kʰ r ɔ ⁵⁵	kʰ j ɔ ʔ ⁴⁵	kʰ ə ³³	kʰ j o ʔ ²¹		kʰ r o ʔ ⁵¹	kʰ j u ʔ ²¹	
969	w i ¹¹	ʔ w i ¹¹	w i ¹¹	ʔ w i ⁵⁵	ʔ w i ³³	ʔ w i ¹¹	ʔ w i ³³	
979	l ɛ ¹¹	l a ŋ ³³	l ɔ ³³	l a ŋ ³³	l ɛ̃ ⁵⁵	l a ŋ ⁵⁵	l a ŋ ⁵³	l a ³³
992	kʰ u ¹¹		kʰ u ¹¹	kʰ u ⁵⁵	kʰ u ³³	kʰ u ¹¹	kʰ u ³³	
1003		d u ¹¹	d u ¹¹		d ãə ³³	ˀd ə ŋ ¹¹		ɗ ɔ ⁵⁵
1	tʰ ɔ ³³	tʰ ə ⁵³	tʰ ə ⁵⁵	tʰ ə̤ ŋ ³¹	tʰ ɑ̃ ⁵⁵	tʰ ə ɴ ⁵⁵		
1013	m e ¹¹	m a ¹¹	m a ¹¹	m a ⁵³	m a ɦ ¹¹	m a ¹¹	m a ⁵⁵	m ɛ ³³
1040	tʰ w i ¹¹	tʰ w i ¹¹	tʰ i ¹¹	tʰ w i ⁵⁵	tʰ w i ³³	tʰ w i ¹¹	tʰ w i ³³	tʰ w i ³³
1027	m e ¹¹	m a ³³	m a ³³	m a ³³	m a ⁵⁵	m a ⁵⁵	m a ⁵³	m ɛ ⁵⁵
1053	l w i ¹¹	l w i ¹¹	l i ¹¹	l w i ⁵³	l ei ɦ ¹¹	l w i ¹¹	l w i ⁵⁵	l w i ³³
1065	m ɛ ¹¹	m a ŋ ¹¹	m ɔ ¹¹	m a ŋ ⁵³	m ɛ̃ ɦ ¹¹	m a ŋ ¹¹	m a ŋ ⁵⁵	m a ³³
1080	ʔ o ³³	ʔ au ⁵³	ʔ o ⁵⁵		ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵		ɔ ⁵⁵
1104		l au ⁵³	l u ⁵⁵	l o ɦ ³¹	l u ³⁵	l̥ o ⁵⁵	l o ɦ ³¹	l o ⁵⁵
1091	m ɨ ¹¹	m ɨ ³³	m ʉ ³³	m u n ³³	m ɑ̃ ⁵⁵	m w ɨ ɴ ⁵⁵	m w ə m ⁵³	m u ³³
1116	ʔ i ¹¹	ʔ ai ¹¹	ʔ i ¹¹	ʔ e ⁵⁵	ʔ i ³³	ʔ e ¹¹	ʔ e ³³	ɪ ³³
1129	n e ¹¹	n a ¹¹	n a ¹¹	n a ⁵³	n a ɦ ¹¹	n a ¹¹	n a ⁵⁵	n ɛ ³³
1142	j a ³³	ɟ ɛ ʔ ²¹	j e ³³	j ɛ ʔ ⁴⁵		j ɛ ʔ ⁵¹	j ɛ ʔ ⁴⁵	
1160	ʔ e ¹¹	ʔ a ŋ ¹¹	ʔ ɔ ¹¹	ʔ a m ⁵⁵	ʔ ã ³³	ʔ a m ¹¹	ʔ a m ³³	
1173	d ə ¹¹	d ɨ ¹¹	d i ¹¹	d i ⁵⁵	d ei ³³	ˀd ei ¹¹	d i ³³	ɗ i ³³
1186	k ɛ ¹¹	k a ŋ ³³	k ɔ ³³			g a ŋ ⁵⁵		
1195		cʰ au ʔ ⁴⁵	x ɔ ¹¹	s ə t ²¹	x o ʔ ²¹	kʰ r ɔ t ⁵¹	s ɔ t ²¹	
1209					k a ¹¹	k ə ⁰		
1207	cʰ ɛ ³³	cʰ a ŋ ⁵³	cʰ ɔ ⁵⁵	cʰ a ŋ ɦ ³¹	cʰ ɛ̃ ³⁵	cʰ a ŋ ⁵⁵	cʰ a ŋ ɦ ³¹	ʃ a ⁵⁵
1226	pʰ ɛ ⁵⁵		pʰ o ³³	pʰ ɔ ʔ ²¹	pʰ o ʔ ⁴⁵	pʰ ɔ ʔ̚ ⁵¹		pʰ ɔ ³³
1237	n o ³³		n u ³³		n aə ʔ ²¹	n ə ʔ ⁵¹	n ə ʔ ⁴⁵	n u ¹¹
1247	cʰ ɨ ³³	cʰ w a ŋ ⁵³	cʰ u ⁵⁵	cʰ ə ŋ ɦ ³¹		cʰ u ɴ ⁵⁵	cʰ w ə m ³¹	
1255	p i ³³	p ɨ ʔ ²¹	p i ³³	p e ʔ ²¹	pʰ ai ʔ ²¹	p i ʔ̚ ⁵¹	p i ʔ ²¹	b ɪ ¹¹
1268				m ɛ ʔ ⁴⁵	m e ʔ ²¹	m ɛ ʔ̚ ⁵¹	m ɛ ʔ ⁴⁵	
1277	t a ³³	t ɛ ʔ ²¹	t e ³³	tʰ ɛ ʔ ⁴⁵	tʰ e ʔ ²¹	d ɛ ʔ̚ ⁵¹	t ɛ ʔ ⁴⁵	d e ¹¹
1290	b ɨ ¹¹	b w a ŋ ¹¹	b u ¹¹	p l ə ŋ ⁵⁵	b ɑ̃ ³³	ˀb l u ŋ ¹¹	p w ə ŋ ³³	ɓ ʊ ³³
1301	ɕ ɨ ¹¹	cʰ w a ŋ ¹¹	ɕ u ¹¹	cʰ ə n ⁵⁵	cʰ ɑ̃ ³³	cʰ u ɴ ¹¹	cʰ w ə m ³³	ʃ ʊ ³³
1314	k ɔ ⁵⁵	k ə ʔ ⁴⁵	k ə ³³	k ə ʔ ²¹	k aə ʔ ⁴⁵	k ə ʔ̚ ⁵¹	k ə ʔ ²¹	
1337	m ɔ ¹¹	m ɨ ¹¹	m ɨ ¹¹	m ɨ ⁵⁵	m əɨ̯ ³³	m̥ ɨ ¹¹	m ɨ ³³	m o ³³
1323	m u ¹¹	m u ¹¹	m u ¹¹	m u ⁵³	m u ɦ ¹¹	m u ¹¹	m u ⁵⁵	m u ³³
1350	m i ¹¹	m ai ¹¹	m i ¹¹	m e ⁵⁵	m i ³³	m̥ e ¹¹	m e ³³	m ɪ ³³
1363	t e ³³	t a ʔ ²¹	t ɔ ³³	tʰ a ʔ ⁴⁵		d a ʔ̚ ⁵¹	t a ʔ ⁴⁵	d a ¹¹
1372	ŋ ɛ ³³	ŋ ɛ ʔ ²¹	j ɛ ³³	ŋ a t ⁴⁵	j ɛ ɦ ¹¹	ŋ j a t̚ ⁵¹	n a p ⁴⁵	j ɛ ¹¹
1385	r ɔ ³³	r ə ʔ ²¹	r ə ³³	r ə ʔ ⁴⁵	ɣ aə ʔ ²¹	r ə ʔ̚ ⁵¹	r ə ʔ ⁴⁵	
1397		b j a ¹¹		p j a ⁵⁵	p a ³³	p j a ¹¹	p j a ³³	ɓ a ³³
6	kʰ l a ⁵⁵		kʰ l e ³³			kʰ l i ⁵⁵		kʰ l e ³³
1407		kʰ l i ʔ ⁴⁵		kʰ l i ɦ ³¹	kʰ l ei ³⁵	kʰ l i ʔ ⁵¹		
1432	pʰ o ³³	pʰ au ⁵³	pʰ o ⁵⁵		pʰ ɔ ³⁵	pʰ ɔ ⁵⁵		pʰ ɔ ⁵⁵
1455	p a ¹¹	p e ³³	p e ³³	pʰ e ŋ ³³		b e ŋ ⁵⁵	p e ŋ ⁵³	
1443	k l e ³³		k l a ⁵⁵	k l a ɦ ³¹	k l a ⁵⁵	k l a ⁵⁵	k l a ɦ ³¹	
1498	d i ¹¹	d ai ¹¹	d i ¹¹	d e ⁵⁵	d i ³³	ˀd e ¹¹	d e ³³	ɗ i ³³
1511	ŋ e ³³	ŋ a ⁵³		ŋ a ɦ ³¹		ŋ̊ a ⁵⁵	ŋ a ɦ ³¹	
1519	s e ¹¹	θ a ¹¹	s a ¹¹		s a ³³	s a ¹¹		θ ɛ ³³
1530	b a ³³	b w ɛ ⁵³	b ɛ ⁵⁵	b w ɛ ɦ ³¹		p w ɛ ⁵⁵	b w ɛ ɦ ³¹	p w e ⁵⁵
1539	ʔ a ³³	ʔ e ⁵³	ʔ e ⁵⁵	ʔ e ŋ ɦ ³¹	ʔ ãi ⁵⁵	ʔ e ŋ ⁵⁵	ʔ e ŋ ɦ ³¹	
1554		l ɛ ³³	l ɛ ³³	l w ɛ ³³	l e ⁵⁵	l w ɛ ⁵⁵	l w ɛ ⁵³	l e ³³
1577		d w ɛ ¹¹	d ɛ ¹¹	d w ɛ ⁵⁵	tʰ w ɛ ³³	ˀd w ɛ ¹¹	d w ɛ ³³	ɗ ɛ ³³
1565	l ə ¹¹		l i ³³	l i ³³	l ei ⁵⁵	l ei ⁵⁵	l i ⁵³	l i ¹¹
1588	l u ¹¹	l au ³³	l u ³³		l u ⁵⁵	l o ⁵⁵	l o ⁵³	
1599	l e ¹¹	l a ³³	l a ³³	l a ³³	l a ⁵⁵	l a ⁵⁵	l a ⁵³	
1611	kʰ u ⁵⁵		kʰ u ¹¹		kʰ u ³³	kʰ u ¹¹		kʰ u ⁵⁵
1612	l u ¹¹	l u ³³	l u ³³	l u ³³		l u ⁵⁵	l u ⁵³	l u ⁵⁵
1632	t u ¹¹		t u ¹¹	tʰ o ⁵³	tʰ u ɦ ¹¹	d o ¹¹	t o ⁵⁵	d o ³³
1643	k l o ¹¹	k l ɔ ¹¹	k l ə ¹¹	k l o ŋ ⁵⁵		k l ə ŋ ¹¹	k l o ŋ ³³	k l o ³³
1664	l a ³³	l i ʔ ²¹	l e ³³	l e ʔ ⁴⁵	l ai ʔ ²¹	l e k̚ ⁵¹	l e k ⁴⁵	l e ¹¹
1652	ʔ o ¹¹	ʔ au ¹¹	ʔ o ¹¹	ʔ au ⁵⁵	ʔ ɔ ³³	ʔ ɔ ¹¹	ʔ au ³³	ɔ ³³
1676	k l ɔ ⁵⁵	k l ə ʔ ⁴⁵	k l ɨ ³³	k l ə ʔ ²¹		k l ə ʔ̚ ⁵¹	k l ə ʔ ²¹	k l u ³³
1687	s e ⁵⁵	θ a ʔ ⁴⁵	s ɔ ³³	s a ʔ ²¹	s a ʔ ⁴⁵	s a ʔ̚ ⁵¹	s a ʔ ²¹	θ a ³³
1700	tʰ o ¹¹	tʰ əɨ ¹¹	tʰ ə ¹¹	tʰ ɨ ⁵⁵		tʰ ə ¹¹	tʰ ɨ ³³	tʰ o ³³
1708	s o ¹¹	θ au ¹¹	s o ¹¹	s au ⁵⁵	ɕ j ɔ ³³	s r ɔ ¹¹	ɕ au ³³	θ r ɔ ³³
1720	k l e ¹¹	k a ŋ ¹¹	k ɔ ¹¹		k w ã ɦ ¹¹	g l a m ¹¹	k w a m ⁵⁵	
1732	t ɔ ¹¹	t əu ¹¹	t ə ¹¹	tʰ o ŋ ⁵³	tʰ ãu ɦ ¹¹	d o ŋ ¹¹	t o ŋ ⁵⁵	d o ³³
1742	n ɔ ¹¹	n əu ³³	n ə ¹¹	n o ŋ ³³	n ãu ⁵⁵	n o ŋ ⁵⁵	n o ŋ ⁵³	n o ¹¹
1755	pʰ l ɨ ³³	pʰ r ɨ ⁵³	pʰ r ɨ ⁵⁵	pʰ r ɨ m ɦ ³¹	pʰ l ɑ̃ ³⁵	pʰ r ɨ ɴ ⁵⁵	pʰ r ɨ n ɦ ³¹	pʰ l u ⁵⁵
1768					k a ʔ ²¹	k ə ʔ ⁰		
1767	s i ⁵⁵	θ i ʔ ⁴⁵	s i ³³	s e ɦ ³¹	s i ³³	s r e ³³	s e ɦ ³¹	θ r ɪ ³³
1787						g ə ⁰		g ə ³³
1786	j e ¹¹	j a ³³	j a ³³	r j a ³³	j a ⁵⁵	r j a ⁵⁵	r j a ⁵³	j ɛ ³³
1803	w e ¹¹	g w a ³³	w a ³³	w a ³³	w a ⁵⁵	g w a ⁵⁵	w a ⁵³	w ɛ ³³
1815	cʰ e ³³	cʰ a ⁵³	cʰ a ⁵⁵	cʰ a ɦ ³¹	cʰ a ³⁵	cʰ a ⁵⁵	cʰ a ɦ ³¹	ʃ ɛ ⁵⁵
1829	kʰ r e ¹¹	c a ¹¹	c a ¹¹	s a ⁵³	x a ɦ ¹¹	g r a ¹¹	ɕ a ⁵⁵	
1840	pʰ r a ³³	p r i ʔ ²¹	p r e ³³	pʰ r e ʔ ⁴⁵	p ɣ ai ʔ ²¹	b r e ʔ̚ ⁵¹	pʰ r i ʔ ⁴⁵	b w i ¹¹
1853	tʰ e ⁵⁵	tʰ a ʔ ⁴⁵	tʰ ɔ ³³	tʰ a ʔ ²¹	tʰ a ʔ ⁴⁵	tʰ a ʔ̚ ⁵¹	tʰ a ʔ ²¹	tʰ a ³³
1866	s e ⁵⁵	θ a ʔ ⁴⁵	s ɔ ³³	s a ʔ ²¹	s a ʔ ⁴⁵	s a ʔ̚ ⁵¹	s a ʔ ²¹	θ a ³³
1878	l i ¹¹	l ai ¹¹	l i ¹¹	l e ⁵³	l i ɦ ¹¹	l e ¹¹		l i ³³
1894	l e ¹¹	l a ¹¹	l a ¹¹	l a ⁵⁵	l a ³³	l̥ a ¹¹	l a ³³	l ɛ ³³
1907	s w e ⁵⁵	θ a ʔ ⁴⁵	s ɔ ³³	w a ʔ ²¹	w a ʔ ²¹	s w a ʔ̚ ⁵¹	w a ʔ ²¹	
1921			l i ³³		l ei ⁵⁵	l ei ⁵⁵		l ɪ ³³
1934	c i ¹¹	c ai ¹¹	c i ¹¹	c e ⁵⁵	c i ³³	c e ¹¹	c e ³³	c ɪ ³³
1947	kʰ ɛ ¹¹	kʰ a ŋ ¹¹	kʰ ɔ ¹¹	kʰ a ŋ ⁵⁵	kʰ ɛ̃ ³³	kʰ a ŋ ¹¹	kʰ a ŋ ³³	kʰ a ³³
1959	p l a ³³		p l e ³³	pʰ l i ʔ ²¹	pʰ l ai ʔ ²¹	b l e ʔ ⁵¹		b l i ³³
1971		l ai ¹¹	l i ¹¹			l̥ ai ¹¹	l ai ³³	l i ³³
1981	m ə ³³	m ai ⁵³	m i ⁵⁵		m ei ³⁵	m̥ ei ⁵⁵		m i ⁵⁵
1993	pʰ w i ³³	pʰ w i ⁵³	pʰ i ⁵⁵	pʰ w i ɦ ³¹	kʰ w i ³⁵	pʰ w i ⁵⁵	pʰ w i ɦ ³¹	pʰ w i ⁵⁵
2005	tʰ e ³³	tʰ a ⁵³		tʰ a ɦ ³¹	tʰ a ³⁵	tʰ a ⁵⁵	tʰ a ɦ ³¹	
2025	t ɨ ¹¹	t ɨ ³³	t ɨ ³³	tʰ o m ³³	tʰ ɑ̃ ⁵⁵	d ɨ m ⁵⁵	t ə m ⁵³	
2036	kʰ l i ³³	kʰ l a ŋ ⁵³		kʰ l ɛ m ɦ ³¹	kʰ l ãi ³⁵	kʰ l ɛ ɴ ⁵⁵	kʰ l ɛ ŋ ɦ ³¹	
2046		n a ¹¹	n a ¹¹	n a ⁵⁵	n a ³³	n̥ a ¹¹	n a ³³	n ɛ ³³
