COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
338-2		b r u ŋ						
436-2		ʃ u m u						
483-2		e a						
571-2		g e l e n i						
699-2		d o ŋ b a						
845-2		r o k						
971-2		dʒ i ŋ p u						
1161-2		a m						
1180-2		ʃ i						
1235-2		n a m i ŋ						
1280-2		ʃ i ŋ a ŋ						
1307-2		b e p						
1352-2		g u						
1379-2		ʃ i						
1415-2		r a						
1636-2		b e n a						
1654-2		i						
1680-2		kʰ a ŋ tʰ a						
1725-2		kʰ i ŋ tʃ u						
2127-2		dʒ a m ʃ u						
2181-2		ʃ i o						
2366-2		j a a n						
2672-2		w a g a						
2681-2		b a l a ŋ b u						
55-2		d̪ a ʃ i b a						
80-2		tʰ u ŋ g a						
116-2		tʃʰ u i						
154-2		ʃ i						
181-2		n i z u m u						
210-2		g o i						
267-2		i						
319-2		g o ŋ a n						
389-2		g o g a						
453-2		tʃʰ i ŋ p u						
508-2		ŋ o m						
563-2		ʃ i ŋ b u						
764-2		kʰ a n a ŋ a a u m a						
819-2		dʒ i m						
918-2		j a ŋ l u						
1244-2		pʰ a r o tʃ u ŋ						
1460-2		ʃ o ŋ						
1487-2		dʒ o p a ŋ						
1521-2		tʃʰ u						
2033-2		dʒ o n ʃ u						
2209-2		b i tʰ i ŋ p i n u						
2256-2		pʰ u u						
2517-2		ʃ i m a ŋ						
2654-2		b o b o ŋ						
2737-2		n i ŋ a						
329-2		tʃ a ŋ tʃ a ɾ a n						
464-2		g o tʃ a ŋ						
581-2		d u i b						
591-2		n e g a ŋ						
627-2		g a ɾ a ŋ o u i						
655-2		ʃ a tʃ i l a						
873-2		b u ŋ b u						
909-2		pʰ e l						
990-2		tʃʰ o tʃ o						
1013-2		g e n a ŋ						
1133-2		j u						
1584-2		g a ɾ i n a						
10-3			d̪ a ŋ					
37-3			n a ŋ					
46-3			n a ŋ					
98-3			kʰ a ŋ tʃ i l a					
125-3			b i u ŋ r a					
162-3			l a m i					
171-3			d̪ o m p a					
219-3			d̪ a ŋ p u					
247-3			tʃ a ŋ l u ŋ					
282-3			l u ŋ p u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			z u m b a i					
363-3			z a m b u					
397-3			b a m tʰ i					
406-3			kʰ a u					
426-3			j u k p a					
473-3			pʰ i ŋ d̪ a ŋ					
499-3			z a m i					
526-3			g a ŋ a					
544-3			kʰ u					
553-3			tʃ o tʰ a ŋ					
599-3			tʃ o ŋ tʰ a m					
608-3			b a tʃ o					
617-3			j a ŋ					
645-3			a ŋ a					
663-3			d̪ o ŋ tʰ u					
672-3			d̪ o ŋ p a					
681-3			ŋ i r i					
690-3			i ŋ					
708-3			tʰ a ŋ b i ŋ b u					
717-3			tʃ o k p u					
726-3			z i					
744-3			a p a					
782-3			i					
791-3			ŋ a					
800-3			ŋ a					
809-3			b o ŋ a ŋ					
836-3			p a i					
881-3			l a m					
890-3			r a l a					
899-3			s e r					
926-3			d̪ a					
944-3			d̪ a ɾ a ŋ					
953-3			tʃ i a ɾ a ŋ					
980-3			a a r u ŋ					
998-3			pʰ a i					
1022-3			ŋ a a tʰ u ŋ					
1031-3			b i n a ŋ kʰ u a					
1069-3			tʃ o ŋ a ŋ b a					
1079-3			ʃ i ŋ a ŋ a					
1098-3			j a ŋ b u					
1117-3			tʃ u ŋ					
1141-3			ɾ i ŋ b u					
1189-3			tʃ a ŋ					
1198-3			ŋ u					
1208-3			z a l a					
1217-3			l a ŋ i					
1253-3			a m a					
1271-3			tʃ o l a ŋ					
1289-3			i ŋ					
1316-3			ŋ a ŋ					
1325-3			kʰ a					
1334-3			i ŋ b a					
1343-3			b u i n a ŋ					
1361-3			j a n a ŋ a					
1370-3			ŋ a ŋ u					
1388-3			j a ŋ b a					
1397-3			tʰ u r					
1406-3			tʃ o ŋ					
1424-3			d̪ a j a ŋ p a a r					
1433-3			ʃ u r u					
1442-3			l a m					
1451-3			b a a					
1468-3			pʰ a k p a					
1477-3			ŋ a					
1502-3			ŋ a m u					
1511-3			m u ŋ j a ŋ b a					
1529-3			tʃ a l a					
1538-3			a u l u					
1557-3			tʃ o ŋ p u ŋ					
1618-3			i ŋ tʃ a					
1663-3			z u m					
1689-3			ŋ o i					
1698-3			kʰ u ŋ					
1707-3			tʃ o ŋ p a ŋ					
1716-3			ŋ a m					
1742-3			ɾ u u					
1751-3			b u i l a					
1778-3			z a					
1787-3			d̪ u ŋ p u					
1823-3			l a m					
1832-3			k a r a a					
1842-3			l u ŋ					
1860-3			ŋ a m					
1869-3			z u ŋ b a ŋ					
1888-3			z a m b i					
1897-3			s e					
1932-3			ɾ i n a ŋ tʃ o l a					
1950-3			z u					
1968-3			d̪ o ŋ p a u ɾ a					
1978-3			j u ŋ p a					
1987-3			z a m					
2015-3			ŋ a m o					
2118-3			b o ŋ p a o o					
2238-3			ŋ a ŋ o					
2507-3			tʃ i n u ŋ					
2526-3			l a					
2535-3			ʃ i a					
2544-3			ʃ i ŋ					
2560-3			d̪ o ŋ ɾ i i ŋ					
2569-3			kʰ a tʰ u ŋ					
2578-3			n i tʃ i ŋ					
2596-3			d̪ u ŋ					
2615-3			r i					
2663-3			i ŋ i a					
2690-3			i i					
2719-3			ɾ i ŋ i					
2728-3			tʃ o tʃ u ŋ					
2747-3			i ŋ b					
2756-3			d̪ a r b u					
2774-3			b o i ŋ					
89-3			d̪ a ŋ p u					
107-3			tʰ i m i ŋ					
145-3			tʃ u k p u					
190-3			b a i					
229-3			kʰ a					
257-3			d̪ a ŋ a					
436-3			z u l u					
483-3			a a					
535-3			a o o					
699-3			tʃ o ŋ p a					
845-3			tʃ o k p					
971-3			tʃ i k p u					
1049-3			b u					
1161-3			a a					
1180-3			r i a					
1226-3			l a ŋ i					
1235-3			ŋ a m i ŋ					
1280-3			b i ŋ tʃ a ŋ					
1307-3			tʃ e ŋ a a					
1352-3			kʰ u					
1379-3			z i					
1415-3			r a					
1636-3			b a a					
1654-3			l i					
1725-3			b a ŋ tʃ a n					
2127-3			z a m p o					
2181-3			tʃ i ŋ l o					
2366-3			dʒ j a k p o					
2672-3			a a k a					
2681-3			b a l u ŋ b u					
116-3			tʰ u ŋ a					
154-3			ʃ i					
181-3			a i z u m b u					
210-3			tʃ o ŋ					
267-3			tʃ i					
389-3			tʃ o g a					
563-3			z a ŋ b u					
637-3			a u					
764-3			d̪ a ɾ a ŋ b a u ŋ a					
819-3			z a m b a					
827-3			b i					
918-3			j a ŋ l u ŋ					
1244-3			k i a a ŋ tʃ u ŋ b u					
1487-3			tʃ o k p a ŋ					
1521-3			tʃʰ u					
1734-3			z i m b u					
2033-3			tʃ o k p o					
2172-3			b i l o					
2209-3			i tʰ i ŋ b a b o					
2256-3			pʰ a ŋ l o					
2517-3			ŋ a m d̪ a					
2654-3			a ŋ b o ŋ					
2737-3			ŋ i l o l a					
329-3			tʃ a ŋ tʃ a ɾ a ŋ					
415-3			k a o ŋ					
464-3			tʃ o ŋ a ŋ					
493-3			ɾ i l o					
581-3			tʃ u i p a					
591-3			l e a ŋ					
627-3			pʰ a r a ŋ a a i					
655-3			ɾ a tʃ i l a					
873-3			b u ŋ b u					
909-3			pʰ o l a a					
1150-3			tʃ o ŋ o					
10-4				kʰ a ŋ				
37-4				n a n				
46-4				n a n				
98-4				kʰ a ŋ kʰ i a				
125-4				ɲ i j a ŋ a a				
162-4				l e i a i				
171-4				l o m a a				
219-4				kʰ a ŋ p u				
247-4				kʰ a ŋ l a m				
282-4				l u ʃ p u				
292-4				kʰ a ŋ				
301-4				l i				
354-4				l u m k a tʃ i				
363-4				n a m tʃʰ u				
397-4				kʰ a m a i				
406-4				kʰ a m u m				
426-4				l u k tʃʰ a				
473-4				z i n tʃʰ a ŋ				
499-4				z a m a n				
526-4				n a a a a				
544-4				kʰ u				
553-4				k o t a ŋ				
599-4				k o ŋ tʃʰ a m				
608-4				kʰ a n tʃʰ a				
617-4				l a n				
645-4				a n a				
663-4				z i ŋ tʃʰ u r				
672-4				t o ŋ p a				
681-4				n i z i				
690-4				m i n				
708-4				tʰ a ŋ kʰ i ŋ p u				
717-4				l o k tʃʰ u				
726-4				z i				
744-4				a p a				
782-4				m i				
791-4				n a				
800-4				n a				
809-4				l o m n a				
836-4				p a z i				
881-4				l a m				
890-4				r a n a				
899-4				s e r				
926-4				kʰ a m				
944-4				g ă r a ŋ				
953-4				s i ă n a ŋ				
980-4				kʰ a r a ŋ				
998-4				kʰ a m i				
1022-4				kʰ ɲ a tʰ u r				
1031-4				tʃʰ i n a ŋ u a m				
1069-4				tʃ o r a a a a a				
1079-4				z i tʃʰ a a a				
1098-4				l a ŋ p u				
1117-4				tʃʰ a n				
1141-4				z i ŋ tʃʰ u				
1189-4				m a n				
1198-4				n a m				
1208-4				z i l a m a				
1217-4				l a i a				
1253-4				a m a				
1271-4				n o n a n				
1289-4				m i n				
1316-4				n a n				
1325-4				kʰ a m				
1334-4				z i ŋ tʃʰ a				
1343-4				n u i n a ŋ				
1361-4				l e n a ŋ a m				
1370-4				n a kʰ a m				
1388-4				kʰ a n k a				
1397-4				tʰ u r				
1406-4				tʃ a m				
1424-4				g ă z a ŋ p a a r a m				
1433-4				l i k u				
1442-4				l a m				
1451-4				kʰ a j a m				
1468-4				l a k a a				
1477-4				n a n				
1502-4				n a a a u				
1511-4				l u n l a ŋ p a				
1529-4				kʰ a l u				
1538-4				kʰ u l u				
1557-4				tʃ o i tʃʰ a m				
1618-4				i n tʃ a				
1663-4				z a m				
1689-4				n o i				
1698-4				kʰ a ŋ				
1707-4				kʰ o ŋ n a ŋ				
1716-4				n a m a m				
1742-4				kʰ a n u				
1751-4				p u r i a				
1778-4				z a				
1787-4				kʰ u r kʰ a r				
1823-4				l a m				
1832-4				k a r m a				
1842-4				l a m				
1860-4				n a m a m				
1869-4				z i tʃʰ a ŋ				
1888-4				l a m tʃʰ i				
1897-4				s i e				
1932-4				z i n a ŋ u tʃʰ a m				
1950-4				z u				
1968-4				kʰ o ŋ tʃʰ a u a m				
1978-4				k u t tʃʰ a m				
1987-4				kʰ a m				
2015-4				n a m tʃʰ a m a				
2118-4				m a n k a o ŋ tʃʰ a m				
2238-4				n a r tʃʰ a m				
2507-4				tʰ i n a ŋ				
2526-4				l a m				
2535-4				z i a m				
2544-4				z i ŋ				
2560-4				s i ŋ n a i ŋ				
2569-4				kʰ a m tʃʰ u r				
2578-4				n i tʃ i ŋ				
2596-4				kʰ a ŋ				
2615-4				z i				
2663-4				k i t i a m				
2690-4				z i tʃʰ				
2719-4				z i tʃ i				
2728-4				k o tʃ a ŋ				
2747-4				ɲ i ŋ tʃʰ a m				
2756-4				z e r tʃʰ u				
2774-4				kʰ a ɲ i n				
19-4				n a n i b a m				
28-4				n a n i b a m				
89-4				k a ŋ p a				
145-4				tʰ u g tʃʰ a m m				
229-4				kʰ a				
257-4				kʰ a n a				
338-4				n r u				
436-4				kʰ u l u				
535-4				s a z o				
571-4				kʰ e l a a i				
699-4				l i ŋ p a				
971-4				tʃʰ i ŋ p u				
1049-4				tʃ u				
1180-4				a i a				
1226-4				l a a m				
1307-4				k e p a a				
1352-4				k u				
1379-4				z i				
1636-4				l e tʃ a				
1654-4				n i				
1680-4				kʰ a n tʃʰ a				
1725-4				tʃ a ŋ tʃʰ a m				
2672-4				l a m a				
55-4				kʰ a ɲ i b a				
80-4				kʰ u ŋ a				
116-4				kʰ u l u				
210-4				n o i				
453-4				tʃ a ŋ p u				
637-4				a tʃ u				
754-4				i ɲ i ŋ p u r				
764-4				kʰ a r a ŋ b r u m a				
827-4				tʃʰ i m				
1244-4				g u r a ŋ tʃ a ŋ m a				
1460-4				s a n a				
1734-4				l i m tʰ u				
2033-4				tʰ o g tʃʰ a m				
2209-4				tʃʰ i t i ŋ tʃʰ a ŋ tʃʰ a m				
2517-4				ŋ a m tʃʰ a m				
2654-4				n a ŋ tʃʰ a m				
493-4				i i tʃʰ a m				
1133-4				n a				
10-5					dʒ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ŋ tʃ i ŋ a			
125-5					pʰ e a ŋ ɾ a			
162-5					l e i			
171-5					g o m a a			
219-5					t a ŋ p u			
247-5					t a ŋ l o ŋ			
282-5					l u s p u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					m u m a t i			
363-5					n a m b u			
397-5					g a m tʃ i			
406-5					kʰ a n u			
426-5					m u k p a			
473-5					pʰ i n a ŋ			
499-5					z a m a n			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					g o t a ŋ			
599-5					g o ŋ k a ŋ			
608-5					pʰ a n tʃ o			
617-5					j e n			
645-5					a n a			
663-5					s o ŋ kʰ u ŋ			
672-5					t o ŋ p a			
681-5					ɲ i ɾ i			
690-5					m a ŋ			
708-5					a ŋ r i ŋ p u			
717-5					tʃ o k p u			
726-5					ʃ i			
744-5					a p a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o m n a ŋ			
836-5					p ʃ i			
881-5					l a m			
890-5					ɾ a n a			
899-5					s e ŋ			
926-5					tʃ a ŋ			
944-5					g a ɾ a ŋ			
953-5					ʃ i a ɾ a ŋ			
980-5					o a ɾ o ŋ			
998-5					pʰ e i			
1022-5					g a n u ŋ			
1031-5					ɲ i n a ŋ kʰ u e n			
1069-5					tʃ o ŋ a ŋ a			
1079-5					ʃ i a n a			
1098-5					j a ŋ b u			
1117-5					tʃ u n			
1141-5					ɾ i ŋ b u			
1189-5					m a n			
1198-5					n u			
1208-5					z a l a			
1217-5					l a n i			
1253-5					a m a			
1271-5					n o ŋ a ŋ			
1289-5					m a ŋ			
1316-5					ŋ a ŋ			
1325-5					kʰ a m			
1334-5					z i ŋ b a			
1343-5					u i n a ŋ			
1361-5					j e n a ŋ			
1370-5					n a kʰ u n			
1388-5					m a n a			
1397-5					kʰ u ŋ			
1406-5					tʃ o ŋ			
1424-5					g a ɾ a ŋ p a r			
1433-5					ʃ u k u			
1442-5					l a m			
1451-5					a n a m			
1468-5					pʰ a k p a			
1477-5					ŋ a n			
1502-5					ŋ a m kʰ u			
1511-5					m u j a ŋ a			
1529-5					tʃ a l u			
1538-5					s a l u			
1557-5					tʃ o ŋ p a ŋ			
1618-5					i ŋ tʃ a			
1663-5					s a m			
1689-5					ŋ o i			
1698-5					kʰ u ŋ			
1707-5					m o ŋ n a ŋ			
1716-5					ŋ a m			
1742-5					m u u			
1751-5					b u tʃ i l a			
1778-5					z a			
1787-5					tʃ u r p u			
1823-5					l e m			
1832-5					kʰ a r m a			
1842-5					l u ŋ			
1860-5					ŋ a m			
1869-5					ʃ u p t a ŋ			
1888-5					ʃ a m p i			
1897-5					s e			
1932-5					ɾ i n a ŋ o kʰ a n			
1950-5					z u			
1968-5					t o ŋ t a ŋ			
1978-5					g u ŋ p a n			
1987-5					s a m			
2015-5					ŋ a m kʰ o			
2118-5					m o ŋ tʃ a o ŋ l a			
2238-5					ŋ a r kʰ o n			
2507-5					t a n a ŋ			
2526-5					l e			
2535-5					ʃ a			
2544-5					ʃ i ŋ			
2560-5					t o ŋ n i tʃ i ŋ			
2569-5					kʰ e ŋ kʰ u ŋ			
2578-5					n i tʃ i ŋ			
2596-5					t u ŋ			
2615-5					ɾ i			
2663-5					g i t i ŋ			
2690-5					s i a			
2719-5					ɾ i d a			
2728-5					k o tʃ u ŋ			
2747-5					ɲ i ŋ o			
2756-5					s e ŋ u			
2774-5					b o n a ŋ			
19-5					n a ŋ i a n			
28-5					n a ŋ i a n			
89-5					g a ŋ p u			
107-5					tʃ a m i n			
145-5					tʃ u ŋ p u u			
190-5					p u tʃ i			
229-5					kʰ a			
257-5					t a ŋ a			
338-5					g ɾ u ŋ			
436-5					z u l u			
483-5					o a			
535-5					s a s o			
571-5					g e l e n i			
699-5					d o ŋ p a			
845-5					ɾ o k			
971-5					tʃ i ŋ p u			
1049-5					b u			
1161-5					a m			
1180-5					ʃ a			
1226-5					l a n a n			
1235-5					n a m i ŋ			
1280-5					ɲ i ŋ p a ŋ			
1307-5					g e p k a			
1352-5					g u			
1379-5					s i			
1415-5					ɾ a			
1654-5					l o			
1680-5					kʰ a n tʃ a			
2127-5					dʒ a m kʰ a			
2181-5					tʃ i ŋ l o n			
2366-5					a kʰ o n			
2672-5					ʃ a g a			
2681-5					pʰ a l a ŋ b o			
80-5					n u ŋ g a			
154-5					ʃ i			
181-5					ɲ i z a m b a			
210-5					g o ŋ			
267-5					dʒ i			
319-5					pʰ o t kʰ a n			
389-5					g o ŋ a			
453-5					tʃ a ŋ p u			
508-5					ŋ a m			
563-5					dʒ a ŋ b o			
637-5					a kʰ u			
754-5					a t a ŋ kʰ u ŋ			
819-5					z a m b a			
827-5					s a			
918-5					j a ŋ l o			
1244-5					kʰ u r o ŋ tʃ o ŋ b			
1460-5					s o ŋ a			
1487-5					tʃ o k t a ŋ			
1521-5					t u			
1734-5					z a m b u			
2033-5					g o k p o			
2172-5					tʃ i kʰ o n			
2209-5					i ɲ a ŋ p i o			
2256-5					pʰ u r kʰ o n			
2517-5					ŋ a m o			
2654-5					b o ŋ			
2737-5					ŋ i l a			
329-5					tʃ a ŋ tʃ a ɾ a n			
415-5					kʰ a m u ŋ			
464-5					t o ŋ a ŋ			
493-5					i kʰ o n			
581-5					d u i p a			
591-5					n e g a ŋ			
627-5					g a r a ŋ k i r e			
655-5					ʃ a tʃ i k a			
873-5					pʰ o ŋ b e			
909-5					pʰ e l u a			
990-5					tʃ o ŋ o			
1013-5					g e dʒ a ŋ			
1133-5					n u			
1150-5					ʃ o ŋ a			
1584-5					g a ɾ i l a m			
10-6						tʃ a ŋ		
37-6						n a n		
46-6						n a n		
98-6						kʰ a ŋ tʃ i l a		
125-6						b i a ŋ ɾ a		
162-6						l e i i		
171-6						kʰ o m u a		
219-6						tʃ a ŋ p u		
247-6						tʃ a ŋ l u		
282-6						l u ŋ p u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						kʰ u m b a i		
363-6						n a m b u		
397-6						kʰ a m tʃ i		
406-6						kʰ a n u		
426-6						tʃ u k p a		
473-6						tʃ i n a ŋ		
499-6						z a m a n		
526-6						g a ŋ a		
544-6						kʰ u		
553-6						kʰ o t a ŋ		
599-6						kʰ o tʰ a m		
608-6						b a n tʃ o		
617-6						j a n		
645-6						a n a		
663-6						d̪ o ŋ u		
672-6						t o ŋ p a		
681-6						ŋ i i		
690-6						i ŋ		
708-6						d̪ a ŋ ɾ i ŋ p u		
717-6						tʃ o k p u		
726-6						z i		
744-6						a p a		
782-6						i		
791-6						ŋ a		
800-6						ŋ a		
809-6						kʰ o a n a ŋ		
836-6						ŋ a z i		
881-6						l a m		
890-6						r a l a		
899-6						z e		
926-6						tʃ a n		
944-6						g a r a ŋ		
953-6						ŋ j a r a ŋ		
980-6						j a n o ŋ		
998-6						pʰ e i		
1022-6						e a n u		
