COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
125-10										k a w i m a tʃ i ʔ
134-10										h w a p a tʃ i ʔ
139-10										m a tʃ i ʔ
142-10										p a r a m a tʃ i ʔ
145-10										k a r a tʃ i ʔ
148-10										t a r a w a
162-10										n i n ʔ
166-10										m i ʔ
179-10										t a k
201-10										p i
24-10										k a r a k a n
