COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
231-3			p a n a w a n							
232-3			p u j i o							
239-3			i m a k a n							
266-3			tʃ e m							
3-3			u k a r a k a							
4-3			p a i t i							
55-3			e m a j i							
109-3			u p a j o							
121-3			k a p a j a tʃ e							
149-3			t u k							
160-3			k i r o k							
52-4				t i t						
56-4				u m						
96-4				t a n						
99-4				r a n						
114-4				t o k						
115-4				j u m						
133-4				t i p a t						
144-4				a w a n						
150-4				k a w						
234-4				k o m						
236-4				p o k o n						
241-4				a w i n						
249-4				i tʃ						
1-4				w a ʒ̟ a						
2-4				w e m						
65-4				i w i						
74-4				p a n a						
93-4				t o p a t						
95-4				w i t						
106-4				t u n						
119-4				j i t						
128-4				p u k u r i						
147-4				t i m						
231-4				p a n a w						
232-4				u p e j e						
239-4				m a k o n						
266-4				p i t						
3-4				w o k o n						
4-4				w a ʒ̟ i						
51-4				i w i						
97-4				m o n o m						
109-4				u p e j e						
121-4				k a p i k						
149-4				t o k						
160-4				k i t						
163-4				u p e n						
52-5					t e t i ʔ					
56-5					o m i ʔ					
96-5					t r a j i ʔ					
99-5					t i j i n					
114-5					t o k i ʔ					
115-5					j o s i					
133-5					t i p a r a s i					
144-5					t r a w r i s i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a ʔ					
2-5					m i ʔ					
65-5					i w i ʔ					
74-5					p a n a ʔ					
93-5					t o p a r i p a s i					
95-5					w i t i ʔ					
106-5					t e n e s i					
119-5					i j a j i s i					
128-5					k o k i ʔ					
147-5					t i m i					
239-5					i m a k a n					
266-5					i p i m					
3-5					w o r i k o n					
4-5					w a t i ʔ					
51-5					i w i ʔ					
55-5					i n a m					
97-5					m o n o m					
109-5					i p i k i					
149-5					t o k					
160-5					k i r i k					
163-5					i p i n					
52-6						t e t e				
56-6						u m i				
96-6						t a i tʃ i				
99-6						a i t o n				
114-6						t u k i p a tʃ i				
115-6						t a i t a tʃ i				
133-6						tʃ i p a r a tʃ i				
144-6						w a i w a tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p e k i p e p e				
241-6						a w i n				
249-6						i tʃ i n				
1-6						w a				
2-6						w e m				
65-6						i w i				
74-6						p a n a				
93-6						t u p a r a tʃ i				
95-6						w i k i r a ɲ				
106-6						t a n i tʃ i				
119-6						t a i t i tʃ i				
128-6						h u k i tʃ i				
147-6						t e k e m a tʃ e				
231-6						p a n a w a				
232-6						u p e p e				
239-6						n a m a k a				
266-6						tʃ i m				
3-6						w a i k i				
4-6						w a i				
55-6						h u m				
97-6						a m u n				
109-6						a p u i tʃ i				
160-6						k i t i k				
52-7							t ë t i			
56-7							i m i			
96-7							a t a j i			
99-7							k i t i d n			
114-7							t u k i			
115-7							v i t i			
133-7							i p a t a d n			
144-7							a r a w a n			
150-7							k a w			
234-7							k u m			
236-7							p e k i d n			
241-7							a w i n			
249-7							i t e			
1-7							w a z a			
2-7							u m u			
65-7							i w i ʔ			
74-7							p a n a			
93-7							t u p a t			
95-7							w i t i			
106-7							t u r i m i			
119-7							j i t i			
128-7							p u k i			
147-7							t o s i p a			
231-7							p a n a w a d n			
232-7							p i j i o			
266-7							p i t i m i			
3-7							k u r i k o n			
4-7							w a n			
51-7							i w i ʔ			
55-7							i h u m			
97-7							a h u m o n			
109-7							p i			
121-7							k a p a k a			
149-7							t u k			
160-7							k i r i k			
163-7							i p i d n			
52-8								t e t e		
56-8								o m		
96-8								t r a i		
99-8								t r a k o n		
114-8								t u k i		
115-8								j e s i		
133-8								t r a p a s i		
144-8								t r a w a s i		
150-8								k a w		
234-8								k u m		
236-8								p a k i n		
241-8								a w i n		
249-8								i s i		
1-8								y a t j		
2-8								m u r a m		
65-8								i w i		
74-8								t u p a n		
93-8								t u p a r a s i		
95-8								k i t		
119-8								j i t i s i		
231-8								b a n a w a		
232-8								i p i d n		
239-8								m a k a n		
3-8								k r u k a n		
4-8								a r a i		
51-8								e v e		
55-8								h u m		
109-8								i p i s i		
121-8								k a p a k a s i		
149-8								t u k		
163-8								u p e j e m		
52-9									t e k i	
56-9									o m	
96-9									a r a ʃ i	
99-9									a r i k a n	
114-9									t o k i ʃ i	
115-9									t a r i j i ʃ i ʔ	
133-9									t a p a r a ʃ i ʔ	
144-9									t a r a w a ʃ i ʔ	
150-9									k a w	
234-9									k u m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ e	
1-9									w a t a	
2-9									u m a r	
65-9									i w i	
74-9									p a n a ʔ	
93-9									t o p a r i ʃ i ʔ	
95-9									k i t	
106-9									t a r i m	
119-9									j i t i ʃ i ʔ	
128-9									k a h i r e k i n	
147-9									t a k i n i ʃ i ʔ	
231-9									p a n a w o n	
232-9									p i j i k o n	
239-9									n i m a k a n	
266-9									p i m	
3-9									k a r i k o n	
4-9									w a r a h	
51-9									i w e	
55-9									n a m	
97-9									m a h o m	
109-9									i p i r i ʃ i ʔ	
121-9									k a p a k a ʃ i ʔ	
149-9									t o k	
160-9									k i r i k	
163-9									i p i n	
52-10										tʃ y t
56-10										m i ʔ
96-10										t a r a j i tʃ i ʔ
99-10										t y k y
114-10										t o k i tʃ i ʔ
115-10										t y r y
133-10										t a p a tʃ i
144-10										t a r a w a tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p i k i n
241-10										w i n ʔ
249-10										tʃ i ʔ
1-10										w a j a
2-10										m i
65-10										w i tʃ i
74-10										p a n a
93-10										t o p a r
95-10										w i k i ʔ
106-10										t e n e tʃ i ʔ
119-10										j a tʃ i n a tʃ i ʔ
128-10										k a k i ʔ
147-10										t o k i ʔ
231-10										p a n a w a
232-10										p i j i
239-10										n a m a k
266-10										t e r e m ʔ
3-10										w i r a k o n
4-10										w a r i ʔ
51-10										w e ʔ
55-10										h w i j i m a ʔ
97-10										h o m a k o n
121-10										k a p a k
149-10										t o k
160-10										t i k i ʔ
163-10										p i n ʔ
