COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
134-3			n a p a tʃ i							
135-3			tʃ i m a k i							
139-3			m a r i							
57-3			tʃ o k a w a							
71-3			u m a j o							
131-3			tʃ e k a tʃ e m							
146-3			k i m a s i							
227-3			w a p e r e							
52-4				t a n						
56-4				u m						
96-4				t i s a p						
99-4				t i k o n						
114-4				t o k o						
115-4				j u s i						
133-4				t i p a tʃ i						
144-4				a w a s i						
150-4				k a w						
234-4				k o m						
236-4				p a k u n						
241-4				n a w i n						
249-4				i tʃ i						
1-4				w a t a						
2-4				w i m						
65-4				i w						
74-4				p a n a						
93-4				t i p a tʃ i						
95-4				w i t						
106-4				t u n						
119-4				j i t						
128-4				p u k o						
147-4				t i m						
231-4				p a n a w o n						
232-4				p u j a						
239-4				n a m a k a n						
266-4				p i m						
3-4				w i r a k o n						
4-4				w i t						
51-4				u w						
97-4				t a m						
109-4				u p u n						
121-4				k a p a k						
149-4				t o k						
160-4				k i n						
163-4				u p e n						
167-4				p a p						
207-4				m						
259-4				t o w a						
66-4				k a r a k a w						
116-4				t o k a tʃ i						
134-4				n a p a t						
135-4				t i m a k						
139-4				m i tʃ i						
142-4				p a r a m a tʃ i ʔ						
145-4				k a r a t						
148-4				t a w a r a n						
162-4				i n						
166-4				m i						
179-4				t a n						
201-4				p i						
21-4				t a n						
24-4				t a r a k o n						
45-4				p a n j a m a						
50-4				i n a						
57-4				t u k a w a n						
71-4				u m						
84-4				p i w a n						
91-4				m a k o n						
131-4				t o k a ʒ̟ i						
146-4				k i m a k						
151-4				k i w						
154-4				u w i						
192-4				t o t						
205-4				p a n						
227-4				w i t						
235-4				tʃ o w						
237-4				n a m a j i						
246-4				i w						
250-4				p o ʒ̟ o n						
251-4				w a n a						
52-5					t a ʔ					
56-5					m i					
96-5					t a r i m					
99-5					w i r a k o n					
114-5					t o k i					
115-5					w o r i m					
133-5					t i p a r a m a					
144-5					m a w a r i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n i n					
241-5					a w i n					
249-5					s u r i m					
1-5					w a t a					
2-5					w i m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i					
95-5					w i k i					
106-5					t i m i					
119-5					t i j a s i					
128-5					p i k i					
147-5					t u k i n i					
239-5					n a m a k a n					
266-5					s i m					
3-5					w o r a k o n					
4-5					w o r a m					
51-5					w o r a m					
55-5					f o m					
97-5					t o m a m					
109-5					i p i k i n a s i					
149-5					t o k					
160-5					k r i k					
163-5					i p i j a m					
167-5					t a ʔ					
207-5					m i ʔ					
259-5					t o w a					
66-5					k r a k a w					
112-5					t a r i k a n a s i					
116-5					t o p a k a s i					
134-5					n a p a t i ʔ					
135-5					t o k o w a s i					
139-5					m e s e m					
142-5					p a r i m a s i					
145-5					k a r a m a s i					
148-5					s a r a w a n					
162-5					i j i n					
166-5					i m i					
179-5					t a k a					
201-5					p i ʔ					
21-5					t a w					
45-5					f o j a m a					
50-5					i n a ʔ					
71-5					m i					
84-5					p i w a n					
91-5					m a k o n					
146-5					k i m a k a m a					
151-5					k i w					
154-5					w e ʔ					
192-5					t i t					
197-5					w o r i m					
205-5					p a ʔ					
235-5					s u r i m					
237-5					m a j a m a					
250-5					m a s a r i k o					
251-5					w a n a					
52-6						t a t				
56-6						u m i tʃ i				
96-6						t a r a m				
99-6						t a r i m a n				
114-6						t i k i				
115-6						tʃ i r i				
133-6						t i p a r a				
144-6						a r a w a s i				
150-6						k a w				
234-6						k o m				
236-6						p a k i m				
241-6						n a w i n				
249-6						tʃ i k				
1-6						w a tʃ a				
2-6						w i m				
65-6						i w a h				
74-6						p a n a				
93-6						t a p a r i				
95-6						w i k i				
106-6						t i m i				
119-6						tʃ i t i				
128-6						h u k i ʔ				
147-6						tʃ i m i tʃ i				
231-6						p a n a w				
232-6						u p i tʃ i				
239-6						n a m a k a n				
266-6						tʃ i m				
3-6						w a r i k o n				
4-6						w a r i				
55-6						h a m				
97-6						m a h u m				
109-6						u p e tʃ e				
160-6						k w e r e s i				
207-6						m i tʃ i				
112-6						t a r a tʃ i				
116-6						t i p a k a w a s i				
125-6						k a tʃ i m a tʃ i				
134-6						n a p a t i n				
135-6						t i m i tʃ i				
139-6						m i k i m a				
201-6						p i tʃ i r a m				
21-6						tʃ a w a s a				
24-6						k a r a m a				
57-6						tʃ i k a w a n				
131-6						t i k i tʃ i				
227-6						w a p i tʃ i				
52-7							t a			
56-7							m e			
96-7							t a r i			
99-7							a r i k o n			
114-7							t o k i			
115-7							i r u			
133-7							t i p a r i			
144-7							a r a p			
150-7							k a w			
234-7							k o m			
236-7							p a k i n			
241-7							n a w i n			
249-7							i s i			
1-7							a t a			
2-7							a w i			
65-7							i w i			
74-7							p a n a			
93-7							t o p a r i			
95-7							v i k i			
106-7							t i k i n i			
119-7							j a t i			
128-7							p i k i n a ʃ i			
147-7							t i k i			
231-7							p a n a t o			
232-7							p i u			
266-7							p i t i			
3-7							w a r i k o n			
4-7							a r i			
51-7							v i t i			
55-7							h a m			
97-7							p a h u m			
109-7							u p e t e			
121-7							k i p a k			
149-7							t o k			
160-7							t u k u n			
163-7							u p e n			
167-7							t a p			
207-7							m i			
259-7							t o a			
66-7							k i r a k a w			
125-7							k a n a m a s i			
135-7							t i k i n a n			
142-7							p a r a m a s i			
145-7							k i r a t i ʔ			
148-7							t a r a w a n			
162-7							i j i n			
166-7							i m i			
179-7							t a k			
201-7							p i n			
21-7							t a s a k			
24-7							k i t a r a n			
50-7							i n a n			
57-7							t o k o w a n			
71-7							u m u			
84-7							p i w a n			
131-7							t o k a t i			
146-7							k i m a k			
151-7							k i w			
197-7							t e r e m			
205-7							p a n			
227-7							a p i t o			
237-7							n a m a j i			
246-7							i w i			
250-7							t o r o k o n			
251-7							w a n a			
52-8								t a ʔ		
56-8								m e		
96-8								t a s a		
99-8								r a k o n		
114-8								t o k i		
115-8								u r a m i		
133-8								t i p a r a		
144-8								a r a p		
150-8								k a w		
234-8								k o m		
236-8								p a k u n		
241-8								n a w		
249-8								tʃ i ʔ		
1-8								w a t a		
2-8								n a m		
65-8								i w a s		
74-8								p a n a		
93-8								t o p a r i		
95-8								w a k i		
119-8								s i t		
231-8								p a n a w o p		
232-8								p i tʃ i p		
239-8								n a m a k a n		
3-8								w a r a k o n		
4-8								w a t i ʔ		
51-8								i w e		
55-8								h a m		
109-8								p i tʃ i n a ʃ i		
121-8								k a p a k a tʃ i		
149-8								t o k		
163-8								u p e n		
167-8								p a p		
259-8								t o w a		
66-8								k a r a k a w		
112-8								t a r a p		
116-8								t u p a k		
125-8								k a t i m a s i		
145-8								k a r a t i s i		
45-8								j a m a p		
91-8								m a k o r i		
235-8								s u w		
246-8								i w i		
250-8								t u r a p a k o n		
52-9									t a i	
56-9									u m	
96-9									t a r a	
99-9									t a r a	
114-9									t o k i	
115-9									i r o	
133-9									t p a r a m a ʃ i ʔ	
144-9									w a r a w a ʃ i ʔ	
150-9									k a w	
234-9									k o	
236-9									p a k i n	
241-9									n a w	
249-9									ʃ i ʔ	
1-9									w a t a	
2-9									u m a m	
65-9									i w a h	
74-9									p a n a	
93-9									t r a p a r i ʔ	
95-9									u w a w	
106-9									t i k i n	
119-9									ʃ i t	
128-9									p i k	
147-9									t r a m	
231-9									p a n a w o	
232-9									p i j a m a	
239-9									n a m a k a n	
266-9									p a m	
3-9									u r a k o n	
4-9									w a r i	
51-9									u w a w	
55-9									h a m	
97-9									m a h o m	
109-9									i p a tʃ i ʔ	
121-9									k a p a k a tʃ i ʔ	
149-9									t o	
160-9									k i r i	
163-9									i p i n	
167-9									p a	
207-9									m i ʔ	
259-9									t o w a	
66-9									k a r a k a w	
112-9									t a r a p a t	
116-9									t o p a k	
125-9									k a t i m a ʃ i ʔ	
134-9									n a p a t i ʔ	
135-9									t r a m a p a	
142-9									p a r a m a ʃ i ʔ	
145-9									k a r a k a n	
148-9									a r a w a n a ʃ i ʔ	
162-9									i n	
166-9									i m	
179-9									t a	
201-9									p i p	
21-9									t a h u n	
24-9									w a r a k a n	
45-9									j a m a n	
50-9									i n a	
57-9									t o a w a n	
71-9									u m	
91-9									m a k o r e	
151-9									k i w	
154-9									u r a m	
192-9									t i t	
197-9									u r a m	
205-9									p a n	
227-9									p a p i t o ʔ	
235-9									ʃ i w a	
237-9									m a n j a m	
246-9									i w a w	
251-9									w a n a	
52-10										t a ʔ
56-10										m i ʔ
96-10										t a t
99-10										t a r i ʔ
114-10										t o k i ʔ
115-10										tʃ i ʔ
133-10										t a r a p a tʃ i ʔ
144-10										w i r a w a tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p i k i n
241-10										a w i n
249-10										tʃ i ʔ
1-10										w a tʃ a
2-10										w i m
65-10										i w a h
74-10										p a n a
93-10										t o p a r i ʔ
95-10										w i k i ʔ
106-10										t o m i tʃ i ʔ
119-10										tʃ i j i tʃ i ʔ
128-10										h y k i ʔ
147-10										t o k i ʔ
231-10										p a w
232-10										p i tʃ i n a ɲ
239-10										n a m a k a ʔ
266-10										p i tʃ i m
3-10										w i r i k o k o
4-10										w i tʃ i ʔ
51-10										w i tʃ i
55-10										h a m
97-10										h o m a m
121-10										k a ʔ
149-10										t o k
160-10										k w e r e tʃ i ʔ
163-10										ʔ
167-10										p a ʔ
207-10										m i ʔ
259-10										t o w a
112-10										t a tʃ i ʔ
116-10										t o p a k a tʃ i ʔ
125-10										k a tʃ i m a tʃ i ʔ
134-10										n a p a t i ʔ
139-10										m i tʃ i ʔ
142-10										h u r a m a tʃ i ʔ
145-10										k a r a t i ʔ
148-10										tʃ a w a r a ʔ
162-10										i j i n
166-10										m i tʃ i ʔ
179-10										t a k a ʔ
201-10										p i ʔ
24-10										k a r a m a ʔ
45-10										h w a n a m a ʔ
50-10										i n a ʔ
71-10										m i tʃ i ʔ
84-10										p i w a n
91-10										m o k o r e
146-10										k i m a k
151-10										k i w
154-10										w i ʔ
192-10										t o t
197-10										t a m ʔ
205-10										i p a n
235-10										tʃ o w
237-10										m a j i m a ʔ
250-10										m i tʃ e r e tʃ i ʔ
251-10										w i j a
