ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	PARTIAL_COGNACY	COGIDS
1347	149	(wind) blow	Shuangfeng	Shuangfeng	k.u.ɛ.²³	k.u.ɛ.²³	k u/w ɛ ²³	shua1258	27.4569781	111.916486	Sino-Tibetan	216	216
1348	149	(wind) blow	Nanchang	Nanchang	k.u.a.t.⁵	k.u.a.t.⁵	k u/w a t ⁵	nanc1254	28.706609	115.857468	Sino-Tibetan	216	216
1349	149	(wind) blow	Meixian	Meixian	k.u.a.t.¹	k.u.a.t.¹	k u/w a t ¹	yuet1238	24.3522958	115.8903375	Sino-Tibetan	216	216
1350	149	(wind) blow	Guangzhou	Guangzhou	k.u.a:.t.³	k.u.a:.t.³	k u/w aː t ³	guan1279	23.1253503	112.9476548	Sino-Tibetan	216	216
1351	149	(wind) blow	Xiamen	Xiamen	k.u.a.t.³²	k.u.a.t.³²	k u/w a t ³²	xiam1236	24.49421	118.08918	Sino-Tibetan	216	216
1352	149	(wind) blow	Chaozhou	Chaozhou	k.u.e.ʔ.²¹	k.u.e.ʔ.²¹	k u/w e ʔ ²¹	chao1238	23.666667	116.633333	Sino-Tibetan	216	216
1353	149	(wind) blow	Fuzhou	Fuzhou	k.u.a.ʔ.²³	k.u.a.ʔ.²³	k u/w a ʔ ²³	fuzh1239	26.08904	119.294243	Sino-Tibetan	216	216
1354	149	(wind) blow	Shanghai	Shanghai	k.u.a.ʔ.⁵	k.u.a.ʔ.⁵	k u/w a ʔ ⁵	shan1293	31.222902	121.475372	Sino-Tibetan	216	216
1355	149	(wind) blow	ZhongyuanYinyun	Zhongyuan_Yinyun	k.u.a.R¹	k.u.a.R¹	k u/w a R¹/²¹⁴		39.9385466	116.1172766	Sino-Tibetan	216	216
1277	150	1st day of the lunar month	Beijing	Beijing	tʂʰ.u.⁵⁵	tʂʰ.u.⁵⁵	ʈʂʰ u ⁵⁵	beij1234	39.9385466	116.1172766	Sino-Tibetan	211	211
1278	150	1st day of the lunar month	Jinan	Jinan	tʂʰ.u.²¹³	tʂʰ.u.²¹³	ʈʂʰ u ²¹³	jina1245	36.690777	116.997299	Sino-Tibetan	211	211
1279	150	1st day of the lunar month	XiAn	Xi_an	pfʰ.u.²¹	pfʰ.u.²¹	pfʰ u ²¹	xian1253	34.228154	108.960571	Sino-Tibetan	211	211
1280	150	1st day of the lunar month	Taiyuan	Taiyuan	ʦʰ.u.¹¹	ʦʰ.u.¹¹	tsʰ u ¹¹	taiy1243	37.8632119	112.4024883	Sino-Tibetan	211	211
1281	150	1st day of the lunar month	Hankou	Hankou	ʦʰ.o.u.⁵⁵	ʦʰ.o.u.⁵⁵	tsʰ ou ⁵⁵	hank1234	30.581179	114.272597	Sino-Tibetan	211	211
1282	150	1st day of the lunar month	Chengdu	Chengdu	ʦʰ.u.⁴⁴	ʦʰ.u.⁴⁴	tsʰ u ⁴⁴	chen1267	30.605768	103.970947	Sino-Tibetan	211	211
1283	150	1st day of the lunar month	Yangzhou	Yangzhou	ʦʰ.o.²¹	ʦʰ.o.²¹	tsʰ o ²¹	yang1306	32.4171449	119.209227	Sino-Tibetan	211	211
1284	150	1st day of the lunar month	Suzhou	Suzhou	ʦʰ.ə.u.⁴⁴	ʦʰ.ə.u.⁴⁴	tsʰ əu ⁴⁴	suzh1234	31.3280439	120.364116	Sino-Tibetan	211	211
1285	150	1st day of the lunar month	Wenzhou	Wenzhou	ʦʰ.ə.u.⁴⁴	ʦʰ.ə.u.⁴⁴	tsʰ əu ⁴⁴	ouji1238	28.005496	120.701179	Sino-Tibetan	211	211
1286	150	1st day of the lunar month	Changsha	Changsha	ʦʰ.ɤ.u.³³	ʦʰ.ɤ.u.³³	tsʰ ɤu ³³	chan1326	28.85032	112.943344	Sino-Tibetan	211	211
1287	150	1st day of the lunar month	Shuangfeng	Shuangfeng	ʦʰ.ə.u.⁵⁵	ʦʰ.ə.u.⁵⁵	tsʰ əu ⁵⁵	shua1258	27.4569781	111.916486	Sino-Tibetan	211	211
1288	150	1st day of the lunar month	Nanchang	Nanchang	ʦʰ.u.⁴²	ʦʰ.u.⁴²	tsʰ u ⁴²	nanc1254	28.706609	115.857468	Sino-Tibetan	211	211
1289	150	1st day of the lunar month	Meixian	Meixian	ʦʰ.ɿ.⁴⁴	ʦʰ.ɿ.⁴⁴	tsʰ ɿ ⁴⁴	yuet1238	24.3522958	115.8903375	Sino-Tibetan	211	211
1290	150	1st day of the lunar month	Guangzhou	Guangzhou	ʧʰ.ɔ.⁵³/⁵⁵	ʧʰ.ɔ.⁵³/⁵⁵	tʃʰ ɔ ⁵³/⁵⁵	guan1279	23.1253503	112.9476548	Sino-Tibetan	211	211
1291	150	1st day of the lunar month	Xiamen	Xiamen	ʦʰ.ɔ.⁵⁵	ʦʰ.ɔ.⁵⁵	tsʰ ɔ ⁵⁵	xiam1236	24.49421	118.08918	Sino-Tibetan	211	211
1292	150	1st day of the lunar month	Xiamen	Xiamen	ʦʰ.u.e.⁵⁵	ʦʰ.u.e.⁵⁵	tsʰ u/w e ⁵⁵	xiam1236	24.49421	118.08918	Sino-Tibetan	211	211
1293	150	1st day of the lunar month	Chaozhou	Chaozhou	ʦʰ.o.³³	ʦʰ.o.³³	tsʰ o ³³	chao1238	23.666667	116.633333	Sino-Tibetan	211	211
1294	150	1st day of the lunar month	Fuzhou	Fuzhou	ʦʰ.u.⁴⁴	ʦʰ.u.⁴⁴	tsʰ u ⁴⁴	fuzh1239	26.08904	119.294243	Sino-Tibetan	211	211
1295	150	1st day of the lunar month	Shanghai	Shanghai	ʦʰ.u.⁵³	ʦʰ.u.⁵³	tsʰ u ⁵³	shan1293	31.222902	121.475372	Sino-Tibetan	211	211
1296	150	1st day of the lunar month	ZhongyuanYinyun	Zhongyuan_Yinyun	ʧʰ.u.P	ʧʰ.u.P	tʃʰ u P/⁵⁵		39.9385466	116.1172766	Sino-Tibetan	211	211
4732	322	Han Chinese	Beijing	Beijing	ʦ.u.³⁵	ʦ.u.³⁵	ts u ³⁵	beij1234	39.9385466	116.1172766	Sino-Tibetan	1008	1008
4733	322	Han Chinese	Jinan	Jinan	ʦ.u.⁴²	ʦ.u.⁴²	ts u ⁴²	jina1245	36.690777	116.997299	Sino-Tibetan	1008	1008
4734	322	Han Chinese	XiAn	Xi_an	ʦ.o.u.²⁴	ʦ.o.u.²⁴	ts ou ²⁴	xian1253	34.228154	108.960571	Sino-Tibetan	1008	1008
4735	322	Han Chinese	Taiyuan	Taiyuan	ʦ.u.ə.ʔ.⁵⁴	ʦ.u.ə.ʔ.⁵⁴	ts u/w ə ʔ ⁵⁴	taiy1243	37.8632119	112.4024883	Sino-Tibetan	1008	1008
4736	322	Han Chinese	Hankou	Hankou	ʦʰ.o.u.²¹³	ʦʰ.o.u.²¹³	tsʰ ou ²¹³	hank1234	30.581179	114.272597	Sino-Tibetan	1008	1008
4737	322	Han Chinese	Chengdu	Chengdu	ʨʰ.y.o.³¹	ʨʰ.y.o.³¹	tɕʰ y/ɥ o ³¹	chen1267	30.605768	103.970947	Sino-Tibetan	1008	1008
4738	322	Han Chinese	Chengdu	Chengdu	ʨʰ.y.⁴⁴	ʨʰ.y.⁴⁴	tɕʰ y ⁴⁴	chen1267	30.605768	103.970947	Sino-Tibetan	1008	1008
4739	322	Han Chinese	Yangzhou	Yangzhou	ʦʰ.ɔ.ʔ.⁴	ʦʰ.ɔ.ʔ.⁴	tsʰ ɔ ʔ ⁴	yang1306	32.4171449	119.209227	Sino-Tibetan	1008	1008
4740	322	Han Chinese	Suzhou	Suzhou	z.o.ʔ.²³	z.o.ʔ.²³	z o ʔ ²³	suzh1234	31.3280439	120.364116	Sino-Tibetan	1008	1008
4741	322	Han Chinese	Wenzhou	Wenzhou	ɦ.i.u.²¹²	ɦ.i.u.²¹²	ɦ i/j u ²¹²	ouji1238	28.005496	120.701179	Sino-Tibetan	1008	1008
4742	322	Han Chinese	Changsha	Changsha	ʦ.ɤ.u.²⁴	ʦ.ɤ.u.²⁴	ts ɤu ²⁴	chan1326	28.85032	112.943344	Sino-Tibetan	1008	1008
4743	322	Han Chinese	Shuangfeng	Shuangfeng	ʦʰ.ə.u.³⁵	ʦʰ.ə.u.³⁵	tsʰ əu ³⁵	shua1258	27.4569781	111.916486	Sino-Tibetan	1008	1008
4744	322	Han Chinese	Nanchang	Nanchang	ʦʰ.u.k.⁵	ʦʰ.u.k.⁵	tsʰ u k ⁵	nanc1254	28.706609	115.857468	Sino-Tibetan	1008	1008
4745	322	Han Chinese	Meixian	Meixian	ʦʰ.u.k.⁵	ʦʰ.u.k.⁵	tsʰ u k ⁵	yuet1238	24.3522958	115.8903375	Sino-Tibetan	1008	1008
4746	322	Han Chinese	Guangzhou	Guangzhou	ʧ.u.k.²²/²	ʧ.u.k.²²/²	tʃ u k ²²/²	guan1279	23.1253503	112.9476548	Sino-Tibetan	1008	1008
4747	322	Han Chinese	Xiamen	Xiamen	ʦ.ɔ.k.⁵	ʦ.ɔ.k.⁵	ts ɔ k ⁵	xiam1236	24.49421	118.08918	Sino-Tibetan	1008	1008
4748	322	Han Chinese	Chaozhou	Chaozhou	ʦ.o.k.⁴	ʦ.o.k.⁴	ts o k ⁴	chao1238	23.666667	116.633333	Sino-Tibetan	1008	1008
4749	322	Han Chinese	Fuzhou	Fuzhou	ʦ.u.ʔ.²³	ʦ.u.ʔ.²³	ts u ʔ ²³	fuzh1239	26.08904	119.294243	Sino-Tibetan	1008	1008
4750	322	Han Chinese	Shanghai	Shanghai	z.o.ʔ.¹³	z.o.ʔ.¹³	z o ʔ ¹³	shan1293	31.222902	121.475372	Sino-Tibetan	1008	1008
4751	322	Han Chinese	ZhongyuanYinyun	Zhongyuan_Yinyun	ʦ.u.R²	ʦ.u.R²	ts u R²/²¹⁴		39.9385466	116.1172766	Sino-Tibetan	1008	1008
3975	340	I	Beijing	Beijing	.u.o.²¹⁴	.u.o.²¹⁴	u/w o ²¹⁴	beij1234	39.9385466	116.1172766	Sino-Tibetan	809	809
3976	340	I	Jinan	Jinan	.u.ə.⁵⁵	.u.ə.⁵⁵	u/w ə ⁵⁵	jina1245	36.690777	116.997299	Sino-Tibetan	809	809
3977	340	I	XiAn	Xi_an	ŋ.ɤ.⁵³	ŋ.ɤ.⁵³	ŋ ɤ ⁵³	xian1253	34.228154	108.960571	Sino-Tibetan	809	809
3978	340	I	Taiyuan	Taiyuan	ŋ.ə.⁵³	ŋ.ə.⁵³	ŋ ə ⁵³	taiy1243	37.8632119	112.4024883	Sino-Tibetan	809	809
3979	340	I	Hankou	Hankou	ŋ.o.⁴²	ŋ.o.⁴²	ŋ o ⁴²	hank1234	30.581179	114.272597	Sino-Tibetan	809	809
3980	340	I	Chengdu	Chengdu	ŋ.o.⁵³	ŋ.o.⁵³	ŋ o ⁵³	chen1267	30.605768	103.970947	Sino-Tibetan	809	809
3981	340	I	Yangzhou	Yangzhou	.o.⁴²	.o.⁴²	o ⁴²	yang1306	32.4171449	119.209227	Sino-Tibetan	809	809
3982	340	I	Suzhou	Suzhou	ŋ.ə.u.³¹	ŋ.ə.u.³¹	ŋ əu ³¹	suzh1234	31.3280439	120.364116	Sino-Tibetan	809	809
3983	340	I	Wenzhou	Wenzhou	.ŋ.³⁴	.ŋ.³⁴	ŋ ³⁴	ouji1238	28.005496	120.701179	Sino-Tibetan	809	809
3984	340	I	Changsha	Changsha	ŋ.o.⁴¹	ŋ.o.⁴¹	ŋ o ⁴¹	chan1326	28.85032	112.943344	Sino-Tibetan	809	809
3985	340	I	Shuangfeng	Shuangfeng	ŋ.ʊ.²¹	ŋ.ʊ.²¹	ŋ ʊ ²¹	shua1258	27.4569781	111.916486	Sino-Tibetan	809	809
3986	340	I	Nanchang	Nanchang	ŋ.o.²¹³	ŋ.o.²¹³	ŋ o ²¹³	nanc1254	28.706609	115.857468	Sino-Tibetan	809	809
3987	340	I	Meixian	Meixian	ŋ.o.⁴⁴	ŋ.o.⁴⁴	ŋ o ⁴⁴	yuet1238	24.3522958	115.8903375	Sino-Tibetan	809	809
3988	340	I	Guangzhou	Guangzhou	ŋ.ɔ.²³	ŋ.ɔ.²³	ŋ ɔ ²³	guan1279	23.1253503	112.9476548	Sino-Tibetan	809	809
3989	340	I	Xiamen	Xiamen	ŋ.ɔː ⁵¹	ŋ.ɔː ⁵¹	ŋ ɔː ⁵¹	xiam1236	24.49421	118.08918	Sino-Tibetan	809	809
3990	340	I	Xiamen	Xiamen	g.u.a.⁵¹	g.u.a.⁵¹	g u/w a ⁵¹	xiam1236	24.49421	118.08918	Sino-Tibetan	809	809
3991	340	I	Chaozhou	Chaozhou	.u.a.⁵³	.u.a.⁵³	u/w a ⁵³	chao1238	23.666667	116.633333	Sino-Tibetan	809	809
3992	340	I	Fuzhou	Fuzhou	ŋ.ɔ.³¹	ŋ.ɔ.³¹	ŋ ɔ ³¹	fuzh1239	26.08904	119.294243	Sino-Tibetan	809	809
3993	340	I	Fuzhou	Fuzhou	ŋ.u.a.i.³¹	ŋ.u.a.i.³¹	ŋ u/w ai ³¹	fuzh1239	26.08904	119.294243	Sino-Tibetan	809	809
3994	340	I	Shanghai	Shanghai	ŋ.o.u.¹³	ŋ.o.u.¹³	ŋ ou ¹³	shan1293	31.222902	121.475372	Sino-Tibetan	809	809
3995	340	I	ZhongyuanYinyun	Zhongyuan_Yinyun	.u.o.S	.u.o.S	u/w o S/³⁵		39.9385466	116.1172766	Sino-Tibetan	809	809
7603	151	a blind person	Beijing	Beijing	ɕ.i.a.⁵⁵	ɕ.i.a.⁵⁵	ɕ i/j a ⁵⁵	beij1234	39.9385466	116.1172766	Sino-Tibetan	1558	1558
7604	151	a blind person	Jinan	Jinan	ɕ.i.a.²¹³	ɕ.i.a.²¹³	ɕ i/j a ²¹³	jina1245	36.690777	116.997299	Sino-Tibetan	1558	1558
7605	151	a blind person	XiAn	Xi_an	x.a.²¹	x.a.²¹	x a ²¹	xian1253	34.228154	108.960571	Sino-Tibetan	1558	1558
7606	151	a blind person	Taiyuan	Taiyuan	ɕ.i.a.ʔ.²	ɕ.i.a.ʔ.²	ɕ i/j a ʔ ²	taiy1243	37.8632119	112.4024883	Sino-Tibetan	1558	1558
7607	151	a blind person	Hankou	Hankou	ɕ.i.a.²¹³	ɕ.i.a.²¹³	ɕ i/j a ²¹³	hank1234	30.581179	114.272597	Sino-Tibetan	1558	1558
7608	151	a blind person	Chengdu	Chengdu	ɕ.i.a.³¹	ɕ.i.a.³¹	ɕ i/j a ³¹	chen1267	30.605768	103.970947	Sino-Tibetan	1558	1558
7609	151	a blind person	Yangzhou	Yangzhou	x.a.ʔ.⁴	x.a.ʔ.⁴	x a ʔ ⁴	yang1306	32.4171449	119.209227	Sino-Tibetan	1558	1558
7610	151	a blind person	Yangzhou	Yangzhou	ɕ.i.a.ʔ.⁴	ɕ.i.a.ʔ.⁴	ɕ i/j a ʔ ⁴	yang1306	32.4171449	119.209227	Sino-Tibetan	1558	1558
7611	151	a blind person	Suzhou	Suzhou	h.a.ʔ.⁴	h.a.ʔ.⁴	h a ʔ ⁴	suzh1234	31.3280439	120.364116	Sino-Tibetan	1558	1558
7612	151	a blind person	Wenzhou	Wenzhou	x.a.³²³	x.a.³²³	x a ³²³	ouji1238	28.005496	120.701179	Sino-Tibetan	1558	1558
7613	151	a blind person	Changsha	Changsha	x.a.²⁴	x.a.²⁴	x a ²⁴	chan1326	28.85032	112.943344	Sino-Tibetan	1558	1558
7614	151	a blind person	Shuangfeng	Shuangfeng	x.a.²³	x.a.²³	x a ²³	shua1258	27.4569781	111.916486	Sino-Tibetan	1558	1558
7615	151	a blind person	Nanchang	Nanchang	h.a.t.⁵	h.a.t.⁵	h a t ⁵	nanc1254	28.706609	115.857468	Sino-Tibetan	1558	1558
7616	151	a blind person	Meixian	Meixian	h.a.t.¹	h.a.t.¹	h a t ¹	yuet1238	24.3522958	115.8903375	Sino-Tibetan	1558	1558
7617	151	a blind person	Guangzhou	Guangzhou	h.a.t.²²/²	h.a.t.²²/²	h a t ²²/²	guan1279	23.1253503	112.9476548	Sino-Tibetan	1558	1558
7618	151	a blind person	Xiamen	Xiamen	h.a.t.³²	h.a.t.³²	h a t ³²	xiam1236	24.49421	118.08918	Sino-Tibetan	1558	1558
7619	151	a blind person	Chaozhou	Chaozhou	h.a.k.²¹	h.a.k.²¹	h a k ²¹	chao1238	23.666667	116.633333	Sino-Tibetan	1558	1558
7620	151	a blind person	Fuzhou	Fuzhou	x.a.ʔ.²³	x.a.ʔ.²³	x a ʔ ²³	fuzh1239	26.08904	119.294243	Sino-Tibetan	1558	1558
7621	151	a blind person	Shanghai	Shanghai	h.a.ʔ.⁵	h.a.ʔ.⁵	h a ʔ ⁵	shan1293	31.222902	121.475372	Sino-Tibetan	1558	1558
7622	151	a blind person	ZhongyuanYinyun	Zhongyuan_Yinyun	x.a.R¹	x.a.R¹	x a R¹/²¹⁴		39.9385466	116.1172766	Sino-Tibetan	1558	1558
5924	1	air	Beijing	Beijing	ʨʰ.i.⁵¹	ʨʰ.i.⁵¹	tɕʰ i ⁵¹	beij1234	39.9385466	116.1172766	Sino-Tibetan	1230	1230
5925	1	air	Jinan	Jinan	ʨʰ.i.²¹	ʨʰ.i.²¹	tɕʰ i ²¹	jina1245	36.690777	116.997299	Sino-Tibetan	1230	1230
5926	1	air	XiAn	Xi_an	ʨʰ.i.⁵⁵	ʨʰ.i.⁵⁵	tɕʰ i ⁵⁵	xian1253	34.228154	108.960571	Sino-Tibetan	1230	1230
5927	1	air	Taiyuan	Taiyuan	ʨʰ.i.⁴⁵	ʨʰ.i.⁴⁵	tɕʰ i ⁴⁵	taiy1243	37.8632119	112.4024883	Sino-Tibetan	1230	1230
5928	1	air	Hankou	Hankou	ʨʰ.i.³⁵	ʨʰ.i.³⁵	tɕʰ i ³⁵	hank1234	30.581179	114.272597	Sino-Tibetan	1230	1230
5929	1	air	Chengdu	Chengdu	ʨʰ.i.¹³	ʨʰ.i.¹³	tɕʰ i ¹³	chen1267	30.605768	103.970947	Sino-Tibetan	1230	1230
5930	1	air	Yangzhou	Yangzhou	ʨʰ.i.⁵⁵	ʨʰ.i.⁵⁵	tɕʰ i ⁵⁵	yang1306	32.4171449	119.209227	Sino-Tibetan	1230	1230
5931	1	air	Suzhou	Suzhou	ʨʰ.i.⁴¹²	ʨʰ.i.⁴¹²	tɕʰ i ⁴¹²	suzh1234	31.3280439	120.364116	Sino-Tibetan	1230	1230
5932	1	air	Wenzhou	Wenzhou	ʦʰ.ɿ.⁴²	ʦʰ.ɿ.⁴²	tsʰ ɿ ⁴²	ouji1238	28.005496	120.701179	Sino-Tibetan	1230	1230
5933	1	air	Changsha	Changsha	ʨʰ.i.⁵⁵	ʨʰ.i.⁵⁵	tɕʰ i ⁵⁵	chan1326	28.85032	112.943344	Sino-Tibetan	1230	1230
5934	1	air	Shuangfeng	Shuangfeng	ʨʰ.i.³⁵	ʨʰ.i.³⁵	tɕʰ i ³⁵	shua1258	27.4569781	111.916486	Sino-Tibetan	1230	1230
5935	1	air	Nanchang	Nanchang	ʨʰ.i.²¹³	ʨʰ.i.²¹³	tɕʰ i ²¹³	nanc1254	28.706609	115.857468	Sino-Tibetan	1230	1230
5936	1	air	Meixian	Meixian	kʰ.i.⁵²	kʰ.i.⁵²	kʰ i ⁵²	yuet1238	24.3522958	115.8903375	Sino-Tibetan	1230	1230
5937	1	air	Guangzhou	Guangzhou	h.e.i.³³	h.e.i.³³	h ei ³³	guan1279	23.1253503	112.9476548	Sino-Tibetan	1230	1230
5938	1	air	Xiamen	Xiamen	kʰ.i.¹¹	kʰ.i.¹¹	kʰ i ¹¹	xiam1236	24.49421	118.08918	Sino-Tibetan	1230	1230
5939	1	air	Xiamen	Xiamen	kʰ.u.i.¹¹	kʰ.u.i.¹¹	kʰ u/w i ¹¹	xiam1236	24.49421	118.08918	Sino-Tibetan	1230	1230
5940	1	air	Chaozhou	Chaozhou	kʰ.i.²¹³	kʰ.i.²¹³	kʰ i ²¹³	chao1238	23.666667	116.633333	Sino-Tibetan	1230	1230
5941	1	air	Fuzhou	Fuzhou	kʰ.e.i.²¹³	kʰ.e.i.²¹³	kʰ ei ²¹³	fuzh1239	26.08904	119.294243	Sino-Tibetan	1230	1230
5942	1	air	Shanghai	Shanghai	ʨʰ.i.³⁵/⁵⁵	ʨʰ.i.³⁵/⁵⁵	tɕʰ i ³⁵/⁵⁵	shan1293	31.222902	121.475372	Sino-Tibetan	1230	1230
5943	1	air	ZhongyuanYinyun	Zhongyuan_Yinyun	kʰ.i.Q	kʰ.i.Q	kʰ i Q/⁵¹		39.9385466	116.1172766	Sino-Tibetan	1230	1230
10267	152	alcoholic beverage	Beijing	Beijing	ʨ.i.o.u.²¹⁴	ʨ.i.o.u.²¹⁴	tɕ i/j ou ²¹⁴	beij1234	39.9385466	116.1172766	Sino-Tibetan	2323	2323
10268	152	alcoholic beverage	Jinan	Jinan	ʨ.i.o.u.⁵⁵	ʨ.i.o.u.⁵⁵	tɕ i/j ou ⁵⁵	jina1245	36.690777	116.997299	Sino-Tibetan	2323	2323
10269	152	alcoholic beverage	XiAn	Xi_an	ʨ.i.o.u.⁵³	ʨ.i.o.u.⁵³	tɕ i/j ou ⁵³	xian1253	34.228154	108.960571	Sino-Tibetan	2323	2323
10270	152	alcoholic beverage	Taiyuan	Taiyuan	ʨ.i.o.u.⁵³	ʨ.i.o.u.⁵³	tɕ i/j ou ⁵³	taiy1243	37.8632119	112.4024883	Sino-Tibetan	2323	2323
10271	152	alcoholic beverage	Hankou	Hankou	ʨ.i.o.u.⁴²	ʨ.i.o.u.⁴²	tɕ i/j ou ⁴²	hank1234	30.581179	114.272597	Sino-Tibetan	2323	2323
