COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
458-1	θ u ɕ									
56-1	ʔ i g u									
62-1	ʔ ɨ b i									
70-1	a x									
96-1	m									
101-1	h									
114-1	x u b ɨ									
119-1	ts ɨ m u									
134-1	s ɨ g i r i									
138-1	s ɨ n u r i									
146-1	ʔ a dʑ u r i									
161-1	r u b									
182-1	x ɨ b u ɕ i									
188-1	a a r									
196-1	r u r u									
262-1	h ɨ r u d									
300-1	h u s									
313-1	u θ									
350-1	s ɨ b a s a r									
352-1	ɨ d a s a r									
396-1	h u r u ɕ a r i									
401-1	ʔ u r u r									
420-1	ʔ u θ ɨ r u r i									
424-1	ʔ u θ a r u r i									
442-1	s ɨ m ɨ g u x i r u r i									
455-1	ʔ ɨ k ɨ d i r i									
15-1	ʔ a r i									
49-1	ɨ n a g									
130-1	ʔ i r									
149-1	k i a									
175-1	s ɨ n a									
199-1	ʔ a r ɨ s a r i									
230-1	ʔ a m u a ɨ d									
233-1	ʔ a h ɨ i i a i a ɨ a									
264-1	ts ɨ r i									
274-1	b i j ɨ θ i									
298-1	x i r i ɨ									
303-1	h i i i a i a									
354-1	ʔ a r ɨ s a r									
369-1	k a ɨ r i									
376-1	d a r i a r									
415-1	m u ɕ u b u r i									
418-1	r i									
456-1	ts ɨ r a									
59-1	ʔ ɨ r u									
118-1	ʔ i a a									
142-1	θ u b u r i									
14-2		k o r e								
18-2		d a r e								
35-2		h i d o tɕ u								
36-2		h u d a tɕ u								
48-2		n a g a i								
60-2		d o r a i								
63-2		s i r a m i								
64-2		k i								
67-2		h a w a								
68-2		n e a								
71-2		tɕ i								
76-2		h o n e								
83-2		tɕ u n o								
87-2		h a n a e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i u u o								
103-2		tɕ u m e								
110-2		d e								
116-2		m r u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o o u								
156-2		d a d o r								
168-2		tɕ u k u i								
169-2		h o s i								
170-2		m i r u								
173-2		i s i								
180-2		k u m o								
185-2		h a a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k u a i								
193-2		k i r o i								
194-2		s i r a i								
195-2		k u r a i								
216-2		m a r a a								
221-2		n a a e								
239-2		i tɕ u								
252-2		m i d u								
253-2		o d u								
254-2		i tɕ u tɕ u								
266-2		k a a e								
267-2		n a g a r e r u								
268-2		r u m i								
272-2		a m e a								
276-2		a oː r a u								
281-2		m u s a i								
304-2		tɕ u b u a								
305-2		i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		d o								
311-2		n a i								
342-2		r u k i								
346-2		k u r a i								
347-2		k i r u								
348-2		h i r a i								
351-2		d o i								
361-2		m o a i								
379-2		k u s a d u a								
394-2		h i d a r i								
395-2		m i g u i								
400-2		h i a a r u								
412-2		s a k e r u								
413-2		r u k i s a s u a								
414-2		h o r u								
422-2		h u k u r u r e r u								
423-2		k a g a a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i d a e								
447-2		r u a								
458-2		d o s i								
56-2		h i d o								
65-2		k a a								
70-2		d a n e								
75-2		k u a a								
114-2		k u b i								
119-2		k i m a								
161-2		o								
171-2		k a a a								
188-2		a m a								
196-2		o r u								
262-2		h i r u m a								
300-2		h e s o								
313-2		a d e								
350-2		s e b a i								
352-2		tɕ i k a i								
396-2		h u r a a								
401-2		o s a								
420-2		o tɕ i r								
424-2		r u d a r u								
442-2		s i m e k e r u								
455-2		i k i tɕ o r								
22-2		n a a i								
24-2		m i g n a								
49-2		w o n a a								
78-2		a b u r a i u								
89-2		k e								
149-2		k u r u								
183-2		h i								
192-2		a a i								
250-2		h o k a n o								
264-2		k i r i								
298-2		k e g a a								
303-2		h a r a a d a								
314-2		o s i a								
354-2		a tɕ a a								
369-2		k i r e r u								
376-2		w a r e a								
415-2		m u s u b u								
451-2		h o k oː r i								
456-2		tɕ u n a								
72-2		n i k u								
80-2		d a m a g o								
104-2		a s i								
118-2		s i g a								
150-2		n e tɕ e r								
204-2		i a i								
14-3			k o e							
18-3			a e							
35-3			i t o t u							
36-3			u t i t u							
48-3			n a a e							
60-3			t o i							
63-3			s i a m e							
64-3			k i							
67-3			a							
68-3			n e							
71-3			t i							
76-3			o n e							
83-3			t u n o							
87-3			a n e							
95-3			m i m i							
98-3			a n a							
99-3			k u t i							
-102-3			s e a							
103-3			t u m e							
110-3			t e							
116-3			n e							
120-3			n o m u							
132-3			k i k u							
139-3			k o o s u							
140-3			o o u							
156-3			t a t o u							
168-3			t u k i							
169-3			o s i							
170-3			m e u							
173-3			e s i							
180-3			k u m o							
185-3			a							
186-3			m o e u							
187-3			m e t i							
190-3			a a k e							
193-3			k i o							
194-3			s i o e							
195-3			k u o e							
216-3			m a i							
221-3			n a							
239-3			e t u							
252-3			m i u							
253-3			o u							
254-3			e t u t u							
266-3			k a e							
267-3			n a k a e u							
268-3			u m i							
272-3			a m e							
276-3			a a u							
281-3			m u s i							
304-3			t u a k a							
305-3			t i							
308-3			a n a							
309-3			k u s a							
310-3			t o							
311-3			n i							
342-3			e k i							
346-3			k u a							
347-3			k i u							
348-3			i o e							
351-3			t o e							
361-3			o o a e							
379-3			k u s a a							
394-3			i a i							
395-3			m i i							
400-3			a a u							
412-3			s a k e u							
413-3			t a s a s u							
414-3			o u							
422-3			u k u e u							
423-3			k a a e u							
430-3			a k u							
435-3			u k u							
446-3			s i t a							
447-3			e e							
458-3			t o s i							
56-3			i t o							
62-3			e n u							
65-3			k a a							
70-3			t a n e							
75-3			k a a							
96-3			m e							
101-3			a							
114-3			k u i							
119-3			i m o							
134-3			s i o u							
138-3			s i n u							
146-3			a u k u							
161-3			e o							
171-3			k a a							
182-3			k e m u u							
188-3			a m a							
262-3			i a							
300-3			e s o							
313-3			e							
350-3			s e m a e							
352-3			t i k a e							
396-3			u i							
401-3			o s u							
420-3			o i u							
424-3			u t a u							
442-3			s i m e u							
455-3			e k e o u							
15-3			a e							
22-3			n a							
49-3			o a o							
78-3			a u a							
89-3			k e							
130-3			m i u							
149-3			k u u							
175-3			s u n a							
183-3			i							
192-3			a o e							
199-3			a t i u							
230-3			a o t o							
233-3			a o e t o a							
250-3			o k a n o							
264-3			i i							
274-3			n u e t a							
298-3			k e a a							
303-3			a a a t a							
314-3			m o s i							
354-3			a t i							
369-3			i							
376-3			a i							
418-3			n i							
456-3			t i n a							
59-3			e o							
72-3			n i k u							
80-3			t a m a o							
104-3			a s i							
118-3			s i i							
142-3			t o i							
150-3			n e i u							
204-3			e a e							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o u						
36-4				h u t a u						
48-4				n a n a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h						
68-4				n e						
71-4				i						
76-4				h o n e						
83-4				u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u i						
-102-4				s i t a						
103-4				u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o o n u						
156-4				t a r u						
168-4				u k i						
169-4				h o s i						
170-4				m i u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e r u						
187-4				m i i						
190-4				a k a i						
193-4				k r o i						
194-4				s i r o i						
195-4				k u r o i						
216-4				m a r u						
221-4				n						
239-4				i u						
252-4				m i u						
253-4				o u						
254-4				i u u						
266-4				k a e						
267-4				n a a r e r u						
268-4				u m i						
272-4				a m e a						
276-4				a r a u						
281-4				m u s i						
304-4				u b a						
305-4				i i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				u k i						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o i						
351-4				t oː i						
361-4				oː o m a i						
379-4				k u s a a						
394-4				h i d a r i						
395-4				m i n i						
400-4				h i a r u						
412-4				s a k e r u						
413-4				u k i s a s u						
414-4				h o r u						
422-4				h u k u r e r u						
423-4				k a n n a e r u						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a						
447-4				u e						
458-4				t o s i						
56-4				h i t o						
62-4				i n u						
65-4				k a a						
70-4				t a n e						
75-4				k a a						
96-4				m e						
101-4				h						
114-4				k u b i						
119-4				k i m o						
134-4				s i r u						
138-4				s i n u						
146-4				a r u k u						
161-4				u						
171-4				k a a						
182-4				k e m u r						
188-4				a m a						
196-4				o r u						
262-4				h i r u m a						
300-4				h o s o						
313-4				d e						
350-4				s e m a i						
352-4				i k a i						
396-4				h u r						
424-4				u t a u						
442-4				s i m e u k e u						
455-4				i k i r u						
15-4				a r e						
22-4				n a i						
24-4				m i n n a						
49-4				o a oː						
78-4				a b u r a						
89-4				k e						
130-4				m i r u						
149-4				k u r u						
175-4				s u n a						
183-4				h i						
192-4				a o i						
199-4				a						
230-4				a o h i o						
233-4				a o h i o a r a						
250-4				h o k a n o						
264-4				k i r i						
274-4				n u r e t a						
298-4				k e n a a						
303-4				h a r a a t a						
354-4				u						
369-4				k i r r						
415-4				m u s u b u						
418-4				n						
451-4				h o k o r i						
456-4				u n						
59-4				u						
72-4				n i k u						
80-4				t a m a n o						
104-4				a s i						
142-4				t o b						
150-4				n e r u						
204-4				i a i						
14-5					k o r e					
18-5					d a r e					
35-5					t i r o ts u					
36-5					h u t a ts u					
48-5					n a ŋ a i					
60-5					t o r					
63-5					s i r a m					
64-5					k					
67-5					h ɴ a					
68-5					n e h o					
71-5					tɕ					
76-5					h o n e					
83-5					ts n o					
87-5					h a n e					
95-5					m m					
98-5					h a n a					
99-5					k u tɕ					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m ɴ u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r o tɕ u					
140-5					o h o ŋ u					
156-5					t a h e r u					
168-5					ts u k					
169-5					h o tɕ					
170-5					m iː z u					
173-5					i tɕ					
180-5					k m o					
185-5					h a					
186-5					m o e r u					
187-5					m i tɕ					
190-5					a k a					
193-5					k aː r o					
194-5					s i r o i					
195-5					k r o i					
216-5					m a r r					
221-5					n a m e					
239-5					i ts u					
252-5					m i sː u					
253-5					t o ɴ u					
254-5					i ts u ts u					
266-5					k a z e					
267-5					n a ŋ a r e r u					
268-5					u m					
272-5					a m e ɴ					
276-5					a r a u					
281-5					m u s					
304-5					ts u b a					
305-5					o h i tɕ					
308-5					h a n a					
309-5					k u tɕ a					
310-5					t o					
311-5					n					
342-5					h u k					
346-5					k u r a i					
347-5					k i r u					
348-5					h i r o i					
351-5					t oː e					
361-5					o m o					
379-5					k u s a h a					
394-5					h i d a r					
395-5					m iː ŋ					
400-5					h i h a r u					
412-5					a k e r u					
413-5					ts u k i s a s u					
414-5					h o r u					
422-5					h u k u r e r u					
423-5					k a n ŋ a e r u					
430-5					h a k u					
435-5					h u k u					
446-5					s i t e					
447-5					u ui					
458-5					t o e					
56-5					h i t o					
62-5					n u					
65-5					k a w a					
70-5					t a n e					
75-5					k a w a					
96-5					m e					
101-5					t a					
114-5					k u b					
119-5					k m o					
134-5					s i h e r u					
138-5					s n u					
146-5					a r u k u					
161-5					h ui					
171-5					k a w a					
182-5					k e m u					
188-5					t a m a					
196-5					ɕ o r u					
262-5					h i r u m a					
300-5					o h e tɕ o					
313-5					d e					
350-5					s e ɴ a i					
352-5					tɕ i k a i					
396-5					h u r ui					
401-5					o s u					
420-5					o h o tɕ i r u					
424-5					u t a u					
455-5					i k i t e r u					
15-5					a r e					
22-5					n a i					
24-5					m n n a					
49-5					o n n a					
78-5					a b u r a m i					
89-5					k e					
130-5					m i r u					
149-5					k u r u					
175-5					s u n a					
183-5					h i					
192-5					a o i					
199-5					a ts r					
230-5					a n o ɴ i r o					
233-5					a n o ɴ i r o r a ɴ					
250-5					h o k a n o					
264-5					k i r					
274-5					n u r e t e					
298-5					k e ŋ a w a					
303-5					h a r a w t a					
314-5					m o s i					
369-5					k i r e h u					
376-5					w a r r					
415-5					m u s u b u					
418-5					n oː					
451-5					h o k o h i					
72-5					n i k u					
80-5					t a m a ŋ o					
104-5					a tɕ i					
118-5					s n z oː					
142-5					t o b u					
150-5					n e t e r u					
204-5					iː ɴ a i					
14-6						u u i				
18-6						t a i				
35-6						t i s i				
36-6						t u s i				
48-6						n a b a s a i				
60-6						t u i				
63-6						s i b a i				
64-6						u i				
67-6						a				
68-6						n i i				
71-6						ts i				
76-6						u n i				
83-6						s i n u				
87-6						b a i i				
95-6						m i m i				
98-6						b a n a				
99-6						m u ts i				
-102-6						s i a				
103-6						s i m i				
110-6						t i				
116-6						n i				
120-6						n u u i				
132-6						i u i				
139-6						u u s u				
140-6						i s u i				
156-6						t a u i				
168-6						s i i				
169-6						u s i				
170-6						m i u i				
173-6						i s i				
180-6						u m u				
185-6						u i				
186-6						m u u i				
187-6						m i ts i				
190-6						b b s a n i				
193-6						i a i				
194-6						s i k u s a i				
195-6						k u s a i				
216-6						m a k s a n i				
221-6						n i				
239-6						m i s i				
252-6						m i s i				
253-6						m u s i				
254-6						m i s i s i				
266-6						b a u i				
267-6						n a b a i u i				
268-6						u m i				
272-6						b a m i u				
276-6						b a b a u i				
281-6						m s i				
304-6						s i u				
305-6						ts i				
308-6						b a n a				
309-6						k u s a				
310-6						t u				
311-6						n a b i				
342-6						u u i				
346-6						k b a s a i				
347-6						i u i				
348-6						i k u s a i				
351-6						t u s a i				
361-6						k u s a i				
379-6						a a i				
394-6						m i s a i				
395-6						n i i i				
400-6						i a i				
412-6						s i u i				
413-6						s i ts i a u i				
414-6						u u i				
422-6						i u i				
423-6						b a u i				
430-6						b a u i				
435-6						u i				
446-6						s i b k b i				
447-6						i b i				
458-6						t u s i				
56-6						ts u				
62-6						i n i				
65-6						u i				
70-6						a n u				
75-6						u i				
96-6						m i				
101-6						u a				
119-6						i m u				
134-6						s i ts u i				
138-6						s i u i				
146-6						b a u i				
171-6						k b u				
182-6						i s i				
188-6						a u a				
196-6						u u u				
401-6						u s u				
420-6						u t i u				
442-6						s i m i u i				
24-6						n b u				
78-6						u u u				
130-6						u u u				
192-6						u u				
199-6						b a s i s a i				
250-6						u u u u				
264-6						i u i				
314-6						m u s i				
369-6						u				
418-6						n u				
451-6						u u				
456-6						s i n a				
59-6						i u				
14-7							k o r a			
18-7							d a r a			
35-7							ɸ i t o tɕ u			
36-7							ɸ u t a tɕ u			
48-7							n a ŋ eː e			
60-7							t o r i			
63-7							s i r a m eː			
64-7							k i			
67-7							ɴ a			
68-7							n e			
71-7							tɕ i			
76-7							ɸ o n e			
83-7							tɕ u n o			
87-7							ɸ a n e			
95-7							m i m i			
98-7							ɸ a n a			
99-7							k u tɕ i			
-102-7							s i t ŋ a			
103-7							tɕ u m e			
110-7							t e			
116-7							m u n e			
120-7							n o m u			
132-7							k i k			
139-7							s u k o r o s u			
140-7							s o o u			
156-7							t a t o r u			
168-7							tɕ u k i			
169-7							ɸ o s i			
170-7							m i s			
173-7							i s i			
180-7							k u m o			
185-7							ɴ a i			
186-7							m o oː r u			
187-7							m e tɕ i			
190-7							a k ŋ a ŋ eː			
193-7							k i r o i			
194-7							s i r o eː e			
195-7							k u r o eː e			
216-7							m a r o ŋ ŋ			
221-7							n a			
239-7							tɕ			
252-7							m i k			
253-7							j o k u			
254-7							tɕ tɕ u			
266-7							k a s e			
267-7							n a ŋ a r e r u			
268-7							u m i			
272-7							a m e			
276-7							a r ŋ u ŋ			
281-7							m u s i			
304-7							tɕ u ɴ ŋ a			
305-7							ts e tɕ e			
308-7							ɸ a n a			
309-7							k u s a			
310-7							t o			
311-7							n i			
342-7							j u k i			
346-7							k u r a i e			
347-7							k i r			
348-7							ɴ s i r o eː e			
351-7							t e eː ŋ			
361-7							o m o i			
379-7							k u s a ɴ a ŋ			
394-7							ɴ i d a r i			
395-7							m i ɴ i			
400-7							ɴ i ts a r u			
412-7							s a k e r u			
413-7							tɕ u k i s a s u			
414-7							ɸ o r u			
422-7							ɸ u k u r oː r u			
423-7							k a n eː oː r u			
430-7							ɸ a k u			
435-7							ɸ u k u			
446-7							s i t e			
447-7							u ŋ ŋ e			
458-7							t o s i			
56-7							ɸ i t o			
62-7							i n			
65-7							k a k a			
70-7							t a n e			
75-7							k a a			
96-7							m e			
101-7							ɴ a			
114-7							k u k i			
134-7							s i h o r u			
138-7							s i n			
146-7							a r u u			
161-7							ɴ uː			
171-7							k a t a			
182-7							k e m u r a			
188-7							j a m a			
196-7							j o r u			
262-7							ɴ i r m a			
300-7							ɸ e s ŋ s o			
313-7							d e			
350-7							s e b eː e			
352-7							tɕ i k eː e			
396-7							ɸ u r ŋ iː			
401-7							o s u			
420-7							o ŋ ts i r			
424-7							u t a u ŋ			
442-7							s i b e tɕ u k e r u			
455-7							i k i t o r u			
15-7							a r a			
22-7							n a i			
24-7							m i k n a			
78-7							a t u r a			
89-7							k e			
130-7							m i r			
149-7							k u r u			
175-7							s u n a			
183-7							ɴ i			
192-7							a o i			
230-7							s a n o ɸ i t o			
233-7							s a n o ɸ i t o t ɴ i			
250-7							ɸ o k n o			
274-7							n u r e t			
298-7							k e ŋ t a			
303-7							ɸ a r a a t a			
314-7							m o s i			
354-7							a tɕ e			
369-7							k i r ɴ			
376-7							h a r o ŋ			
415-7							m u s u u			
418-7							n o			
451-7							ɸ o k o r i			
456-7							tɕ ɸ h a			
59-7							u o			
72-7							n i k			
80-7							t a m a o			
104-7							a s i			
118-7							s i ɴ s a			
142-7							t o t ɴ			
150-7							n e t o r u			
204-7							eː k eː			
14-8								k o r e		
18-8								d a r e		
35-8								i t o ts u		
36-8								h u t a ts u		
48-8								n a g a i		
60-8								t o r i		
63-8								s i r a m i		
64-8								k i		
67-8								h a a		
68-8								n e k		
71-8								tɕ i		
76-8								h o n e		
83-8								ts u n o		
87-8								h a n e		
95-8								m i m i		
98-8								h a n a		
99-8								k u tɕ i		
-102-8								s i k a		
103-8								ts u m e		
110-8								t e		
116-8								m u n e		
120-8								n o m u		
132-8								k i k u		
139-8								k o r o s u		
140-8								o j o g u		
156-8								t a k o r u		
168-8								ts u k i		
169-8								h o s i		
170-8								m i d u		
173-8								i s i		
180-8								k u m o		
185-8								h a i		
186-8								m o e r u		
187-8								m i tɕ i		
190-8								a k a i		
193-8								k ui r o i		
194-8								s i r o i		
195-8								k u r o i		
216-8								m a r ui		
221-8								n a m a		
239-8								i ts u		
252-8								m i k u		
253-8								j o k u		
254-8								i ts u ts u		
266-8								k a iː e		
267-8								n a g a r e r u		
268-8								o m i		
272-8								a m e g a		
276-8								a r a o		
281-8								m o s i		
304-8								ts u iː a		
305-8								tɕ i tɕ i		
308-8								h a n a		
309-8								k u s a		
310-8								t o		
311-8								n i		
342-8								i u k i		
346-8								k u r a i		
347-8								k i r u		
348-8								h i r o i		
351-8								t o i		
361-8								o m a i		
379-8								k u s a k a		
394-8								h i d a r i		
395-8								m i g i		
400-8								h i b a r u		
412-8								s a k e r u		
413-8								ts u k i s a s u		
414-8								h o r u		
422-8								h u k u r e r u		
423-8								k a k g a e r u		
430-8								h a k u		
435-8								h u k u		
446-8								s i t a i		
447-8								u e		
458-8								t o s i		
62-8								i n o		
65-8								k a a		
70-8								t a n e		
75-8								k a b a		
96-8								m e		
101-8								k a		
114-8								k u b i		
119-8								k i m o		
134-8								s i i o r u		
138-8								s i n o		
146-8								a r u k u		
161-8								i o		
171-8								k a a		
182-8								k e m o		
188-8								j a m a		
196-8								j o r u		
262-8								h i r u m a		
300-8								e s o		
313-8								d e		
350-8								s e m a i		
352-8								tɕ i k a i		
396-8								h u r ui		
401-8								o s u		
420-8								o k tɕ i r u		
424-8								o t a o		
442-8								k i m e u k r u		
455-8								i k i k o r u		
15-8								a r e		
22-8								n a i		
24-8								m i k n a		
49-8								i n a		
78-8								a b u r a m		
89-8								k e		
130-8								m i r u		
149-8								k u r u		
175-8								s u n a		
183-8								h i		
192-8								a i i		
199-8								a ts iː		
230-8								a n o k i r e		
233-8								a n iː k i r iː k a k a		
250-8								h o k a n o		
274-8								n o r e t a		
298-8								k e g a a		
303-8								h a r a a t a		
314-8								m o s i		
354-8								a k ui		
376-8								w a r ui		
415-8								m o s u b u		
418-8								n i		
451-8								h o k iː k i		
59-8								e o		
72-8								n i k u		
80-8								t a m a g o		
104-8								a s i		
118-8								s i k k oː		
150-8								n e r u		
204-8								i b a i		
14-9									k oː i	
18-9									t a r oː	
35-9									w d i b aː	
36-9									d b aː	
48-9									n a g a s a ɴ	
60-9									t u	
63-9									ʃ iː z a r	
64-9									k aː	
67-9									h a	
68-9									n iː ɴ	
71-9									w tː aː	
76-9									h oː n aː	
83-9									w iː n a	
87-9									h a n r	
95-9									m iː n	
98-9									h a n aː	
99-9									z oː dʑ	
-102-9									ʃ iː w aː	
103-9									w iː m	
110-9									t aː	
116-9									w oː s	
120-9									n u m oː ɴ	
132-9									w iː b oː ɴ	
139-9									k ɕ u i	
140-9									iː g oː ɴ	
156-9									t a d u	
168-9									w iː ɴ aː	
169-9									h s aː	
170-9									m iː aː	
173-9									ʔ iː s aː	
180-9									z oː m a	
185-9									h	
186-9									m u ɴ	
187-9									ɴ dʑ aː	
190-9									h s a ɴ	
193-9									w iː s a ɴ	
194-9									ʃ iː z s a ɴ	
195-9									z u z s a ɴ	
216-9									m a r u ʃ a ɴ	
221-9									n	
239-9									ʔ iː aː	
252-9									m iː aː	
253-9									z aː	
254-9									ʔ iː i b	
266-9									k a dʑ r	
267-9									n a g a r iː j oː ɴ	
268-9									ʔ m	
272-9									ʔ a m iː	
276-9									ʔ a r a ɴ	
281-9									m u s aː	
304-9									w iː ɕ aː	
305-9									dʑ aː	
308-9									h a n a	
309-9									z oː s a	
310-9									t oː	
311-9									n a n u	
342-9									z oː dʑ	
346-9									k r aː s a ɴ	
347-9									w iː j oː ɴ	
348-9									h w iː r u s a ɴ	
351-9									t s a ɴ	
361-9									ʔ k u s a ɴ	
379-9									z u ʃ a r iː t aː	
394-9									h w iː ts a ɴ	
395-9									n ɴ	
400-9									h w iː ts a ɴ	
412-9									ʃ tː iː j oː ɴ	
413-9									w ʃ aː s oː ɴ	
414-9									h j oː ɴ	
422-9									h uː k oː i j oː ɴ	
423-9									k a n g s ɴ	
430-9									h aː tː oː ɴ	
435-9									h uː ɴ	
446-9									tɕ i ɕ w aː	
447-9									uː iː dʑ aː	
458-9									t oː s aː	
56-9									w dʑ oː	
62-9									ʔ iː n	
65-9									b z a	
75-9									b z a	
96-9									m aː	
101-9									h a	
114-9									k oː m	
119-9									w iː m a	
134-9									ʃ iː z ɴ	
138-9									ʃ iː u ɴ	
146-9									ʔ a u ɴ	
161-9									k u i	
171-9									b z z z u	
182-9									k iː u s	
196-9									z oː r oː	
262-9									h iː j u s n ɴ aː	
300-9									h n oː	
313-9									n a n t aː	
350-9									ʃ a s a ɴ	
352-9									k iː ts a s a ɴ	
396-9									h r oː s a ɴ	
401-9									ʔ s oː ɴ	
420-9									ʔ t j oː ɴ	
424-9									t a oː ɴ	
442-9									ʃ iː m iː z z j oː ɴ	
455-9									ʔ iː p i s oː ɴ	
15-9									ʔ a i	
22-9									a m u	
24-9									ɴ	
49-9									n a oː	
89-9									tɕ iː	
175-9									ʃ iː n a	
183-9									tɕ i iː	
199-9									ʔ a i s a ɴ	
230-9									ʔ a n ɴ u	
233-9									ʔ a n ɕ u n n ɴ aː	
264-9									w iː z i	
274-9									n s t a	
314-9									m ɕ i b a	
354-9									ʔ a ɕ i s a ɴ	
376-9									k a r u s a ɴ	
415-9									k u ʃ uː s oː ɴ	
451-9									tɕ m u u	
456-9									w iː n a	
59-9									u	
142-9									t uː m u ɴ	
14-10										k o r e
18-10										d a r e
35-10										h i t o ts u
36-10										h u t a ts u
48-10										n a ŋ a s iː s
60-10										t o r tɕ iː
63-10										s i r a m iː
64-10										k iː
67-10										h a
68-10										n iː
71-10										tɕ iː
76-10										h o n e
83-10										ts u n o
87-10										h a n a s i
95-10										m iː m iː
98-10										h a n a
99-10										k u tɕ iː
-102-10										s i t a
103-10										ts u m e
110-10										t e
116-10										m u n e
120-10										n o m u
132-10										k i k u
139-10										s k o r o tɕː u
140-10										o iː o ŋ u
156-10										t a e r u
168-10										ts u k iː
169-10										h o tɕː iː
170-10										m iː z u
173-10										iː tɕː iː
180-10										k u m o
185-10										h a iː
186-10										m o e r u
187-10										m iː tɕ iː
190-10										s a k a s a iː
193-10										k i r o tɕ iː
194-10										s i r o tɕ iː
195-10										k u r o tɕ iː
216-10										m a r uː s i
221-10										n a s
239-10										iː ts u
252-10										m iː u
253-10										iː o u
254-10										i ts u ts u
266-10										k a z i
267-10										n a ŋ a r e r u tɕ i
268-10										u m iː
272-10										a m e ŋ a
276-10										a r a tɕ u s
281-10										m u s iː
304-10										ts u b a
305-10										tɕ iː tɕ iː
308-10										h a n a
309-10										k u tɕː a
310-10										t o
311-10										n iː
342-10										s u k iː
346-10										k u r a tɕ iː s
347-10										k i r u tɕ i
348-10										h i r o tɕ iː
351-10										t oː iː
361-10										o m o t a iː
379-10										k u s a a s a
394-10										h i d a r iː
395-10										m i ŋ iː
400-10										h i b a r u s i
412-10										s a k e r u tɕ i
413-10										ts u k i s a s u s
414-10										h o r u tɕ i
422-10										h u k u r u
423-10										k a ɴ ŋ a e u
430-10										h a k u s
435-10										h u k u
446-10										s i t a i
447-10										u iː
458-10										t o tɕː iː
56-10										h iː t o
62-10										iː n u
65-10										k a w a
70-10										t a n e
75-10										k a w a
96-10										m iː
101-10										h a
114-10										k u b i
119-10										k iː m o
134-10										s i e r u
138-10										s i n u
146-10										a r u k u
161-10										ɕ ui
171-10										k a w a
182-10										k e m u r iː
188-10										iː a m a
196-10										iː o r u
262-10										h i r u tɕ i a
300-10										h e tɕː o
