ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
66	9_because	because	English	English	because	b.ə.k.ɔ.z	b ə k ɔ z	stan1293	53.0	-1.0	Indo-European	337
67	9_because	because	French	French	parce que	p.a.r.s	p a r s	stan1290	48.0	2.0	Indo-European	336
68	9_because	because	German	German	weil	v.ai.l	v ai l	stan1295	48.649	12.4676	Indo-European	335
70	9_because	because	Latin	Latin	quod	kw.o.d	kʷ o d	lati1261	41.9026	12.4502	Indo-European	340
73	10_belly	belly	Albanian	Albanian	bark	b.a.r.k	b a r k	gheg1238	42.317	21.3837	Indo-European	1012
74	10_belly	belly	English	English	belly	b.ɛ.l.i	b ɛ l i	stan1293	53.0	-1.0	Indo-European	1010
75	10_belly	belly	French	French	ventre	v.ɑ̃.t.r	v ɑ̃ t r	stan1290	48.0	2.0	Indo-European	1009
76	10_belly	belly	German	German	Bauch	b.au.x	b au x	stan1295	48.649	12.4676	Indo-European	1008
78	10_belly	belly	Latin	Latin	venter	w.e.n.t.r	w e n t r	lati1261	41.9026	12.4502	Indo-European	1009
81	11_big	big	Albanian	Albanian	madh	m.a.ð	m a ð	gheg1238	42.317	21.3837	Indo-European	198
82	11_big	big	English	English	big	b.ɪ.g	b ɪ g	stan1293	53.0	-1.0	Indo-European	196
83	11_big	big	French	French	grand	g.r.ɑ̃.d	g r ɑ̃ d	stan1290	48.0	2.0	Indo-European	195
84	11_big	big	German	German	groß	g.r.oː.s	g r oː s	stan1295	48.649	12.4676	Indo-European	194
86	11_big	big	Latin	Latin	magnus	m.a.g.n.o	m a g n o	lati1261	41.9026	12.4502	Indo-European	198
89	12_bird	bird	Albanian	Albanian	zog	z.o.g	z o g	gheg1238	42.317	21.3837	Indo-European	482
90	12_bird	bird	English	English	bird	b.ə.r.d	b ə r d	stan1293	53.0	-1.0	Indo-European	480
91	12_bird	bird	French	French	oiseau	w.a.z.o	w a z o	stan1290	48.0	2.0	Indo-European	479
92	12_bird	bird	German	German	Vogel	f.oː.g.ə.l	f oː g ə l	stan1295	48.649	12.4676	Indo-European	478
94	12_bird	bird	Latin	Latin	avis	a.w.i	a w i	lati1261	41.9026	12.4502	Indo-European	479
97	13_bite	bite	Albanian	Albanian	kafshon	k.a.f.ʃ.o	k a f ʃ o	gheg1238	42.317	21.3837	Indo-European	714
98	13_bite	bite	English	English	bites	b.ai.t	b ai t	stan1293	53.0	-1.0	Indo-European	711
99	13_bite	bite	French	French	mord	m.ɔ.r	m ɔ r	stan1290	48.0	2.0	Indo-European	712
100	13_bite	bite	German	German	beißt	b.ai.s	b ai s	stan1295	48.649	12.4676	Indo-European	711
102	13_bite	bite	Latin	Latin	mordet	m.o.r.d.eː	m o r d eː	lati1261	41.9026	12.4502	Indo-European	712
105	14_black	black	Albanian	Albanian	zi	z.e.z	z e z	gheg1238	42.317	21.3837	Indo-European	133
106	14_black	black	English	English	black	b.l.a.k	b l a k	stan1293	53.0	-1.0	Indo-European	131
107	14_black	black	French	French	noir	n.w.a.r	n w a r	stan1290	48.0	2.0	Indo-European	130
108	14_black	black	German	German	schwarz	ʃ.v.a.r.ʦ	ʃ v a r ts	stan1295	48.649	12.4676	Indo-European	129
110	14_black	black	Latin	Latin	ater	aː.t.r.o	aː t r o	lati1261	41.9026	12.4502	Indo-European	135
113	15_blood	blood	Albanian	Albanian	gjak	ɟ.a.k.r	ɟ a k r	gheg1238	42.317	21.3837	Indo-European	1115
114	15_blood	blood	English	English	blood	b.l.ə.d	b l ə d	stan1293	53.0	-1.0	Indo-European	1112
115	15_blood	blood	French	French	sang	s.ɑ̃	s ɑ̃	stan1290	48.0	2.0	Indo-European	1113
116	15_blood	blood	German	German	Blut	b.l.uː.t	b l uː t	stan1295	48.649	12.4676	Indo-European	1112
118	15_blood	blood	Latin	Latin	sanguis	s.a.n.gw.i.n	s a n gʷ i n	lati1261	41.9026	12.4502	Indo-European	1113
121	16_blow	blow	Albanian	Albanian	fryn	f.r.y	f r y	gheg1238	42.317	21.3837	Indo-European	81
122	16_blow	blow	English	English	blows	b.l.o	b l o	stan1293	53.0	-1.0	Indo-European	78
123	16_blow	blow	French	French	vente	v.ɑ̃.t.e	v ɑ̃ t e	stan1290	48.0	2.0	Indo-European	79
124	16_blow	blow	German	German	bläst	b.l.aː.z	b l aː z	stan1295	48.649	12.4676	Indo-European	78
126	16_blow	blow	Latin	Latin	flat	f.l.aː	f l aː	lati1261	41.9026	12.4502	Indo-European	78
129	17_bone	bone	Albanian	Albanian	kockë	k.o.ʦ.k	k o ts k	gheg1238	42.317	21.3837	Indo-European	608
130	17_bone	bone	English	English	bone	b.o.n	b o n	stan1293	53.0	-1.0	Indo-European	606
131	17_bone	bone	French	French	os	ɔ.s	ɔ s	stan1290	48.0	2.0	Indo-European	605
132	17_bone	bone	German	German	Knochen	k.n.o.x.ə.n	k n o x ə n	stan1295	48.649	12.4676	Indo-European	604
134	17_bone	bone	Latin	Latin	os	o.s.s	o s s	lati1261	41.9026	12.4502	Indo-European	605
137	18_breast	breast	Albanian	Albanian	gji	ɟ.i.r	ɟ i r	gheg1238	42.317	21.3837	Indo-European	208
138	18_breast	breast	English	English	breast	b.r.ɛ.s.t	b r ɛ s t	stan1293	53.0	-1.0	Indo-European	205
139	18_breast	breast	French	French	sein	s.ɛ̃	s ɛ̃	stan1290	48.0	2.0	Indo-European	206
140	18_breast	breast	German	German	Brust	b.r.u.s.t	b r u s t	stan1295	48.649	12.4676	Indo-European	205
142	18_breast	breast	Latin	Latin	mamma	m.a.mː.a	m a mː a	lati1261	41.9026	12.4502	Indo-European	210
145	19_breathe	breathe	Albanian	Albanian	marr frymë	f.r.y.m	f r y m	gheg1238	42.317	21.3837	Indo-European	755
146	19_breathe	breathe	English	English	breathes	b.r.i.ð	b r i ð	stan1293	53.0	-1.0	Indo-European	753
147	19_breathe	breathe	French	French	respire	r.ɛ.s.p.i.r.e	r ɛ s p i r e	stan1290	48.0	2.0	Indo-European	752
148	19_breathe	breathe	German	German	atmet	aː.t.m	aː t m	stan1295	48.649	12.4676	Indo-European	751
150	19_breathe	breathe	Latin	Latin	spirat	s.p.iː.r.aː	s p iː r aː	lati1261	41.9026	12.4502	Indo-European	752
153	20_burn	burn	Albanian	Albanian	digjet	d.i.ɟ	d i ɟ	gheg1238	42.317	21.3837	Indo-European	516
154	20_burn	burn	English	English	burns	b.ə.r.n	b ə r n	stan1293	53.0	-1.0	Indo-European	514
155	20_burn	burn	French	French	brûle	b.r.y.l.e	b r y l e	stan1290	48.0	2.0	Indo-European	514
156	20_burn	burn	German	German	brennt	b.r.e.n	b r e n	stan1295	48.649	12.4676	Indo-European	514
158	20_burn	burn	Latin	Latin	ardet	aː.r.d.eː	aː r d eː	lati1261	41.9026	12.4502	Indo-European	518
161	21_child	child	Albanian	Albanian	fëmiljë	f.ə.m.i.ʎ	f ə m i ʎ	gheg1238	42.317	21.3837	Indo-European	804
162	21_child	child	English	English	child	ʧ.ai.l.d	tʃ ai l d	stan1293	53.0	-1.0	Indo-European	802
163	21_child	child	French	French	enfant	ɑ̃.f.ɑ̃.t	ɑ̃ f ɑ̃ t	stan1290	48.0	2.0	Indo-European	801
164	21_child	child	German	German	Kind	k.i.n.d	k i n d	stan1295	48.649	12.4676	Indo-European	800
166	21_child	child	Latin	Latin	puer	p.u.e.r	p u e r	lati1261	41.9026	12.4502	Indo-European	806
169	22_claw	claw	Albanian	Albanian	thua	θ.o.n	θ o n	gheg1238	42.317	21.3837	Indo-European	304
170	22_claw	claw	English	English	claw	k.l.ɔ	k l ɔ	stan1293	53.0	-1.0	Indo-European	301
171	22_claw	claw	French	French	griffe	g.r.i.f	g r i f	stan1290	48.0	2.0	Indo-European	302
172	22_claw	claw	German	German	Klaue	k.l.au.ə	k l au ə	stan1295	48.649	12.4676	Indo-European	301
174	22_claw	claw	Latin	Latin	unguis	u.n.gw.i	u n gʷ i	lati1261	41.9026	12.4502	Indo-European	306
177	23_cloud	cloud	Albanian	Albanian	re	r.e	r e	gheg1238	42.317	21.3837	Indo-European	698
178	23_cloud	cloud	English	English	cloud	k.l.au.d	k l au d	stan1293	53.0	-1.0	Indo-European	696
179	23_cloud	cloud	French	French	nuage	n.ɥ.a.ʒ	n ɥ a ʒ	stan1290	48.0	2.0	Indo-European	695
180	23_cloud	cloud	German	German	Wolke	v.o.l.k.ə	v o l k ə	stan1295	48.649	12.4676	Indo-European	694
182	23_cloud	cloud	Latin	Latin	nubes	n.uː.b.eː	n uː b eː	lati1261	41.9026	12.4502	Indo-European	695
185	24_cold	cold	Albanian	Albanian	ftohët	f.t.o.h.ə.t	f t o h ə t	gheg1238	42.317	21.3837	Indo-European	75
186	24_cold	cold	English	English	cold	k.o.l.d	k o l d	stan1293	53.0	-1.0	Indo-European	72
187	24_cold	cold	French	French	froid	f.r.w.a.d	f r w a d	stan1290	48.0	2.0	Indo-European	73
188	24_cold	cold	German	German	kalt	k.a.l.t	k a l t	stan1295	48.649	12.4676	Indo-European	72
190	24_cold	cold	Latin	Latin	frigidus	f.r.iː.g.i.d.o	f r iː g i d o	lati1261	41.9026	12.4502	Indo-European	73
193	25_come	come	Albanian	Albanian	vjen	v.j.e.n	v j e n	gheg1238	42.317	21.3837	Indo-European	560
194	25_come	come	English	English	comes	k.ə.m	k ə m	stan1293	53.0	-1.0	Indo-European	560
195	25_come	come	French	French	vient	v.j.ɛ̃	v j ɛ̃	stan1290	48.0	2.0	Indo-European	560
196	25_come	come	German	German	kommt	k.o.m	k o m	stan1295	48.649	12.4676	Indo-European	560
198	25_come	come	Latin	Latin	venit	w.e.n.iː	w e n iː	lati1261	41.9026	12.4502	Indo-European	560
201	26_count	count	Albanian	Albanian	numëron	n.u.m.ə.r.u.a.r	n u m ə r u a r	gheg1238	42.317	21.3837	Indo-European	164
202	26_count	count	English	English	counts	k.au.n.t	k au n t	stan1293	53.0	-1.0	Indo-European	162
203	26_count	count	French	French	compte	k.ɔ̃.t.e	k ɔ̃ t e	stan1290	48.0	2.0	Indo-European	162
204	26_count	count	German	German	zählt	ʦ.eː.l	ts eː l	stan1295	48.649	12.4676	Indo-European	161
206	26_count	count	Latin	Latin	numerat	n.u.m.e.r.aː	n u m e r aː	lati1261	41.9026	12.4502	Indo-European	164
209	27_cut	cut	Albanian	Albanian	pres	p.r.e.s	p r e s	gheg1238	42.317	21.3837	Indo-European	88
210	27_cut	cut	English	English	cuts	k.ə.t	k ə t	stan1293	53.0	-1.0	Indo-European	86
211	27_cut	cut	French	French	coupe	k.u.p.e	k u p e	stan1290	48.0	2.0	Indo-European	85
212	27_cut	cut	German	German	schneidet	ʃ.n.ai.d	ʃ n ai d	stan1295	48.649	12.4676	Indo-European	84
214	27_cut	cut	Latin	Latin	secat	s.e.k.aː	s e k aː	lati1261	41.9026	12.4502	Indo-European	90
217	28_day	day	Albanian	Albanian	ditë	d.i.t	d i t	gheg1238	42.317	21.3837	Indo-European	241
218	28_day	day	English	English	day	d.e	d e	stan1293	53.0	-1.0	Indo-European	238
219	28_day	day	French	French	jour	ʒ.u.r	ʒ u r	stan1290	48.0	2.0	Indo-European	239
220	28_day	day	German	German	Tag	t.aː.g	t aː g	stan1295	48.649	12.4676	Indo-European	238
222	28_day	day	Latin	Latin	dies	d.i.eː	d i eː	lati1261	41.9026	12.4502	Indo-European	239
225	29_die	die	Albanian	Albanian	vdes	v.d.e.s	v d e s	gheg1238	42.317	21.3837	Indo-European	260
226	29_die	die	English	English	dies	d.ai	d ai	stan1293	53.0	-1.0	Indo-European	258
227	29_die	die	French	French	meurt	m.œ.r	m œ r	stan1290	48.0	2.0	Indo-European	257
228	29_die	die	German	German	stirbt	ʃ.t.e.r.b	ʃ t e r b	stan1295	48.649	12.4676	Indo-European	256
230	29_die	die	Latin	Latin	moritur	m.o.r.iː	m o r iː	lati1261	41.9026	12.4502	Indo-European	257
233	30_dig	dig	Albanian	Albanian	gërmon	g.ə.r.m.o	g ə r m o	gheg1238	42.317	21.3837	Indo-European	543
234	30_dig	dig	English	English	digs	d.ɪ.g	d ɪ g	stan1293	53.0	-1.0	Indo-European	541
235	30_dig	dig	French	French	creuse	k.r.ø.z.e	k r ø z e	stan1290	48.0	2.0	Indo-European	540
236	30_dig	dig	German	German	gräbt	g.r.aː.b	g r aː b	stan1295	48.649	12.4676	Indo-European	539
238	30_dig	dig	Latin	Latin	fodit	f.o.d.e	f o d e	lati1261	41.9026	12.4502	Indo-European	545
241	31_dirty	dirty	Albanian	Albanian	ndyrë	n.d.y.r	n d y r	gheg1238	42.317	21.3837	Indo-European	900
242	31_dirty	dirty	English	English	dirty	d.ə.r.t.i	d ə r t i	stan1293	53.0	-1.0	Indo-European	898
243	31_dirty	dirty	French	French	sale	s.a.l	s a l	stan1290	48.0	2.0	Indo-European	897
244	31_dirty	dirty	German	German	schmutzig	ʃ.m.u.ʦ.i.x	ʃ m u ts i x	stan1295	48.649	12.4676	Indo-European	896
246	31_dirty	dirty	Latin	Latin	sordidus	s.o.r.d.i.d.o	s o r d i d o	lati1261	41.9026	12.4502	Indo-European	902
249	32_dog	dog	Albanian	Albanian	qen	c.e.n	c e n	gheg1238	42.317	21.3837	Indo-European	1181
250	32_dog	dog	English	English	dog	d.ɑ.g	d ɑ g	stan1293	53.0	-1.0	Indo-European	1182
251	32_dog	dog	French	French	chien	ʃ.j.ɛ.n	ʃ j ɛ n	stan1290	48.0	2.0	Indo-European	1181
252	32_dog	dog	German	German	Hund	h.u.n.d	h u n d	stan1295	48.649	12.4676	Indo-European	1181
254	32_dog	dog	Latin	Latin	canis	k.a.n.i	k a n i	lati1261	41.9026	12.4502	Indo-European	1181
257	33_drink	drink	Albanian	Albanian	pi	p.i	p i	gheg1238	42.317	21.3837	Indo-European	1079
258	33_drink	drink	English	English	drinks	d.r.ɪ.ŋ.k	d r ɪ ŋ k	stan1293	53.0	-1.0	Indo-European	1078
259	33_drink	drink	French	French	bois	b.w.a	b w a	stan1290	48.0	2.0	Indo-European	1079
260	33_drink	drink	German	German	trinkt	t.r.i.ŋ.k	t r i ŋ k	stan1295	48.649	12.4676	Indo-European	1078
262	33_drink	drink	Latin	Latin	bibit	b.i.b.e	b i b e	lati1261	41.9026	12.4502	Indo-European	1079
265	34_dry	dry	Albanian	Albanian	thatë	θ.a.t	θ a t	gheg1238	42.317	21.3837	Indo-European	575
266	34_dry	dry	English	English	dry	d.r.ai	d r ai	stan1293	53.0	-1.0	Indo-European	572
267	34_dry	dry	French	French	sec	s.ɛ.ʃ	s ɛ ʃ	stan1290	48.0	2.0	Indo-European	573
268	34_dry	dry	German	German	trocken	t.r.o.k.ə.n	t r o k ə n	stan1295	48.649	12.4676	Indo-European	572
270	34_dry	dry	Latin	Latin	siccus	s.i.kː.o	s i kː o	lati1261	41.9026	12.4502	Indo-European	573
273	35_dull	dull	Albanian	Albanian	pa mprehtë	m.p.r.e.h.t	m p r e h t	gheg1238	42.317	21.3837	Indo-European	823
274	35_dull	dull	English	English	dull	d.ə.l	d ə l	stan1293	53.0	-1.0	Indo-European	821
275	35_dull	dull	French	French	émoussé	e.m.u.s.e	e m u s e	stan1290	48.0	2.0	Indo-European	820
276	35_dull	dull	German	German	stumpf	ʃ.t.u.m.p͡f	ʃ t u m pf	stan1295	48.649	12.4676	Indo-European	819
278	35_dull	dull	Latin	Latin	hebes	h.e.b.e.t	h e b e t	lati1261	41.9026	12.4502	Indo-European	825
281	36_dust	dust	Albanian	Albanian	pluhur	p.l.u.h.u.r	p l u h u r	gheg1238	42.317	21.3837	Indo-European	1122
282	36_dust	dust	English	English	dust	d.ə.s.t	d ə s t	stan1293	53.0	-1.0	Indo-European	1120
283	36_dust	dust	French	French	poussière	p.u.s.j.ɛ.r	p u s j ɛ r	stan1290	48.0	2.0	Indo-European	1119
284	36_dust	dust	German	German	Staub	ʃ.t.au.b	ʃ t au b	stan1295	48.649	12.4676	Indo-European	1118
286	36_dust	dust	Latin	Latin	pulvis	p.u.l.w.i.s	p u l w i s	lati1261	41.9026	12.4502	Indo-European	1119
289	37_ear	ear	Albanian	Albanian	vesh	v.e.ʃ	v e ʃ	gheg1238	42.317	21.3837	Indo-European	438
290	37_ear	ear	English	English	ear	ɪ.r	ɪ r	stan1293	53.0	-1.0	Indo-European	438
291	37_ear	ear	French	French	oreille	ɔ.r.ɛ.j	ɔ r ɛ j	stan1290	48.0	2.0	Indo-European	438
292	37_ear	ear	German	German	Ohr	oː.r	oː r	stan1295	48.649	12.4676	Indo-European	438
294	37_ear	ear	Latin	Latin	auris	au.r.i	au r i	lati1261	41.9026	12.4502	Indo-European	438
297	38_earth	earth	Albanian	Albanian	dhe	ð.e.r	ð e r	gheg1238	42.317	21.3837	Indo-European	69
298	38_earth	earth	English	English	earth	ə.r.θ	ə r θ	stan1293	53.0	-1.0	Indo-European	66
299	38_earth	earth	French	French	terre	t.ɛ.r	t ɛ r	stan1290	48.0	2.0	Indo-European	67
300	38_earth	earth	German	German	Erde	eː.r.d.ə	eː r d ə	stan1295	48.649	12.4676	Indo-European	66
302	38_earth	earth	Latin	Latin	terra	t.e.rː.a	t e rː a	lati1261	41.9026	12.4502	Indo-European	67
305	39_eat	eat	Albanian	Albanian	ha	h.a	h a	gheg1238	42.317	21.3837	Indo-European	119
306	39_eat	eat	English	English	eats	i.t	i t	stan1293	53.0	-1.0	Indo-European	116
307	39_eat	eat	French	French	mange	m.ɑ̃.ʒ.e	m ɑ̃ ʒ e	stan1290	48.0	2.0	Indo-European	117
308	39_eat	eat	German	German	ißt	e.s	e s	stan1295	48.649	12.4676	Indo-European	116
310	39_eat	eat	Latin	Latin	edit	e.d.e	e d e	lati1261	41.9026	12.4502	Indo-European	116
313	40_egg	egg	Albanian	Albanian	vezë	v.e.z	v e z	gheg1238	42.317	21.3837	Indo-European	1222
314	40_egg	egg	English	English	egg	ɛ.g	ɛ g	stan1293	53.0	-1.0	Indo-European	1222
315	40_egg	egg	French	French	œuf	œ.f	œ f	stan1290	48.0	2.0	Indo-European	1222
316	40_egg	egg	German	German	Ei	ai	ai	stan1295	48.649	12.4676	Indo-European	1222
318	40_egg	egg	Latin	Latin	ovom	oː.w.o	oː w o	lati1261	41.9026	12.4502	Indo-European	1222
321	41_eye	eye	Albanian	Albanian	sy	s.y.r	s y r	gheg1238	42.317	21.3837	Indo-European	708
322	41_eye	eye	English	English	eye	ai	ai	stan1293	53.0	-1.0	Indo-European	706
323	41_eye	eye	French	French	œil	œ.j	œ j	stan1290	48.0	2.0	Indo-European	706
324	41_eye	eye	German	German	Auge	au.g.ə	au g ə	stan1295	48.649	12.4676	Indo-European	706
326	41_eye	eye	Latin	Latin	oculus	o.k.u.l.o	o k u l o	lati1261	41.9026	12.4502	Indo-European	706
329	42_fall	fall	Albanian	Albanian	bie	b.i.e	b i e	gheg1238	42.317	21.3837	Indo-European	223
330	42_fall	fall	English	English	falls	f.ɔ.l	f ɔ l	stan1293	53.0	-1.0	Indo-European	220
331	42_fall	fall	French	French	tombe	t.ɔ̃.b.e	t ɔ̃ b e	stan1290	48.0	2.0	Indo-European	221
332	42_fall	fall	German	German	fällt	f.a.l	f a l	stan1295	48.649	12.4676	Indo-European	220
334	42_fall	fall	Latin	Latin	cadit	k.a.d.e	k a d e	lati1261	41.9026	12.4502	Indo-European	225
337	43_far	far	Albanian	Albanian	larg	l.a.r.g	l a r g	gheg1238	42.317	21.3837	Indo-European	191
338	43_far	far	English	English	far	f.ɑ.r	f ɑ r	stan1293	53.0	-1.0	Indo-European	188
339	43_far	far	French	French	loin	l.w.ɛ̃	l w ɛ̃	stan1290	48.0	2.0	Indo-European	189
340	43_far	far	German	German	fern	f.e.r.n	f e r n	stan1295	48.649	12.4676	Indo-European	188
342	43_far	far	Latin	Latin	procul	p.r.o.k.u.l	p r o k u l	lati1261	41.9026	12.4502	Indo-European	188
345	44_father	father	Albanian	Albanian	babë	b.a.b.ə	b a b ə	gheg1238	42.317	21.3837	Indo-European	107
346	44_father	father	English	English	father	f.ɑ.ð.ə.r	f ɑ ð ə r	stan1293	53.0	-1.0	Indo-European	106
347	44_father	father	French	French	père	p.ɛ.r	p ɛ r	stan1290	48.0	2.0	Indo-European	106
348	44_father	father	German	German	Vater	f.aː.t.ə.r	f aː t ə r	stan1295	48.649	12.4676	Indo-European	106
350	44_father	father	Latin	Latin	pater	p.a.t.r	p a t r	lati1261	41.9026	12.4502	Indo-European	106
353	45_feather	feather	Albanian	Albanian	pendë	p.e.n.d	p e n d	gheg1238	42.317	21.3837	Indo-European	748
354	45_feather	feather	English	English	feather	f.ɛ.ð.ə.r	f ɛ ð ə r	stan1293	53.0	-1.0	Indo-European	745
355	45_feather	feather	French	French	plume	p.l.y.m	p l y m	stan1290	48.0	2.0	Indo-European	746
356	45_feather	feather	German	German	Feder	f.eː.d.ə.r	f eː d ə r	stan1295	48.649	12.4676	Indo-European	745
358	45_feather	feather	Latin	Latin	penna	p.e.nː.a	p e nː a	lati1261	41.9026	12.4502	Indo-European	745
361	46_few	few	Albanian	Albanian	pak	p.a.k	p a k	gheg1238	42.317	21.3837	Indo-European	741
362	46_few	few	English	English	few	f.j.u	f j u	stan1293	53.0	-1.0	Indo-European	741
363	46_few	few	French	French	peu de	p.ø	p ø	stan1290	48.0	2.0	Indo-European	741
364	46_few	few	German	German	wenige	v.eː.n.i.g	v eː n i g	stan1295	48.649	12.4676	Indo-European	740
366	46_few	few	Latin	Latin	pauci	p.au.k.o	p au k o	lati1261	41.9026	12.4502	Indo-European	741
369	47_fight	fight	Albanian	Albanian	lufton	l.u.f.t.o	l u f t o	gheg1238	42.317	21.3837	Indo-European	736
370	47_fight	fight	English	English	fights	f.ai.t	f ai t	stan1293	53.0	-1.0	Indo-European	734
371	47_fight	fight	French	French	bat	b.a.t	b a t	stan1290	48.0	2.0	Indo-European	733
372	47_fight	fight	German	German	kämpft	k.a.m.p͡f	k a m pf	stan1295	48.649	12.4676	Indo-European	732
374	47_fight	fight	Latin	Latin	pugnat	p.u.g.n.aː	p u g n aː	lati1261	41.9026	12.4502	Indo-European	738
377	48_fire	fire	Albanian	Albanian	zjarr	z.j.a.rː	z j a rː	gheg1238	42.317	21.3837	Indo-European	782
378	48_fire	fire	English	English	fire	f.ai.ə.r	f ai ə r	stan1293	53.0	-1.0	Indo-European	779
379	48_fire	fire	French	French	feu	f.ø	f ø	stan1290	48.0	2.0	Indo-European	780
