COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
1969-1	ɕ j e n ³⁵									
2018-1	ʈʂ o ŋ ²¹									
2029-1	k ã ³⁵									
2051-1	ʈʂ o ²¹									
2074-1	k ou ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
32-2		m a ⁴⁴								
53-2		ts ɛ ²¹								
93-2		k ɯ ²¹								
216-2		s w a ⁴⁴								
236-2		ts o ²²								
267-2		ts ɛ ⁴²								
316-2		p ɯ ²²								
327-2		ɣ ɯ ²²								
348-2		tɕ u ⁴⁴								
400-2		l o ²¹								
452-2		q a ⁴⁴								
463-2		qʰ o ⁴⁴								
512-2		t o ⁴²								
534-2		ts u ⁴⁴								
556-2		qʰ u ²²								
568-2		x ɯ ⁴⁴								
588-2		s w a ⁴⁴								
599-2		pʰ ɯ ⁵⁵								
656-2		k u ²¹								
678-2		k u ²¹								
689-2		m a ⁴²								
700-2		m ɛ ⁴²								
775-2		p ɛ ⁴² ⁴²								
786-2		q a ⁵⁵								
820-2		tɕ i u								
839-2		t i ²¹								
863-2		qʰ o ²²								
896-2		q a ⁵⁵								
929-2		dʑ i ⁴²								
1015-2		ɕ i ⁵⁵								
1035-2		tɕ u ²²								
1107-2		s a ⁴⁴								
1173-2		ɕ i ²²								
1195-2		ɕ i ²²								
1241-2		m ɛ ²¹								
1252-2		l o ²¹								
1294-2		q o ⁵⁵								
1326-2		tɕ y i ²²								
1348-2		tɕ i ⁴²								
1401-2		s ɛ ⁴²								
1451-2		s ɛ ²²								
1473-2		t w ɛ ²²								
1507-2		tɕʰ i ⁵⁵								
1532-2		q ɯ ⁵⁵								
1543-2		ɕ i ²²								
1575-2		s ɛ ⁵⁵								
1618-2		p ɯ ²¹								
1640-2		k o ⁴⁴								
1671-2		ɕ i ⁴⁴								
1731-2		ɕ j ⁵⁵ ⁵⁵								
1762-2		s w a ⁴²								
1773-2		t ɯ ⁴⁴								
1794-2		k o ⁵⁵								
1805-2		z i ⁴²								
1816-2		s y ²²								
1862-2		ts i ⁵⁵								
1885-2		qʰ a ⁴⁴								
1914-2		ɕ i ²²								
1936-2		p ɯ ²²								
1969-2		s ɛ ⁵⁵								
2018-2		tɕ u ²¹								
2029-2		q o ⁵⁵								
2051-2		tɕ i ²¹								
2074-2		q o ⁴⁴								
2085-2		m a ²²								
2130-2		p a ⁴⁴								
32-3			m æ ⁵⁵							
53-3			ts ɿ ²¹							
93-3			k ɯ ²¹							
216-3			s w a ⁵⁵							
236-3			ts u ²²							
267-3			ts i ɛ ⁴³							
316-3			p ɯ ²²							
327-3			ɣ ɯ ²²							
348-3			tɕ j ⁵⁵							
400-3			l o ²¹							
452-3			q æ ⁵⁵							
463-3			qʰ a ⁵⁵							
512-3			d o ⁴³							
534-3			ts u ⁵⁵							
556-3			qʰ u ²²							
568-3			χ ɯ ⁵⁵							
588-3			s w a ⁵⁵							
599-3			pʰ ɯ ²⁴							
656-3			k u ²¹							
678-3			k o ²¹							
689-3			m æ ⁴³							
700-3			m ɛ ⁴³							
775-3			p i ɛ ⁴³							
786-3			q ɛ ²⁴							
820-3			tɕ j o ⁴³							
839-3			t j ɯ ²¹							
863-3			qʰ u ²²							
896-3			q æ ²⁴							
929-3			d j ɯ ⁴³							
1015-3			ɕ j ²⁴							
1035-3			tɕ u ²²							
1107-3			ɕ j æ							
1173-3			ɕ i ²²							
1195-3			ɕ i ²²							
1241-3			m ɛ ²¹							
1252-3			l o ²¹							
1294-3			q a ²⁴							
1326-3			tɕ u ²² ²²							
1348-3			dʑ i ⁴³							
1401-3			s ɛ ⁴³							
1451-3			s i ²²							
1473-3			t ɥ ɛ ²²							
1507-3			tɕʰ i ²⁴							
1532-3			q ɯ ²⁴							
1543-3			ɕ j ɯ							
1575-3			s i ²⁴							
1618-3			p ɯ ²¹							
1640-3			k u ⁵⁵							
1671-3			ɕ i ⁵⁵							
1731-3			ɕ j o ²⁴							
1762-3			s w a ⁴³							
1773-3			t ɯ ⁵⁵							
1794-3			k o ²⁴							
1805-3			z ɿ ⁴³							
1816-3			ɕ u ²²							
1862-3			ts i ²⁴							
1885-3			qʰ æ ⁵⁵							
1914-3			ɕ j ɯ							
1936-3			p ɯ ²²							
1969-3			s i ²⁴							
2018-3			ts o o							
2029-3			q a ²⁴							
2051-3			tɕ j o ²¹							
2074-3			q o ⁵⁵							
2085-3			m æ ²²							
2130-3			p æ ⁵⁵							
32-4				m æ ²⁴						
53-4				ɖʐ i ¹²						
93-4				g ɯ ¹²						
216-4				s w a ²⁴						
236-4				ts o ŋ ²²						
267-4				tɕ j e n						
316-4				p u ²²						
327-4				ɣ u ²²						
348-4				ts ao ²⁴						
400-4				l ao ¹²						
452-4				q æ ²⁴						
463-4				qʰ a ²⁴						
512-4				d u ⁴²						
534-4				ts u ²⁴						
556-4				qʰ u ²²						
568-4				χ ɯ ²⁴						
588-4				s w a ²⁴						
599-4				pʰ u ⁵⁵						
656-4				g ao ¹²						
678-4				g ao ¹²						
689-4				m æ ⁴²						
700-4				m ɛ ⁴²						
775-4				p i e n ⁴²						
786-4				q ɛ ⁵⁵						
820-4				dz ao ⁴²						
839-4				d i ¹²						
863-4				qʰ u ²²						
896-4				q æ ⁵⁵ ⁵⁵						
929-4				ɖʐ i ⁴²						
1015-4				s ao ⁵⁵						
1035-4				ts ao ²²						
1107-4				s æ ²⁴						
1173-4				ɕ i ²²						
1195-4				ɕ i ²²						
1241-4				m i ¹²						
1252-4				l ao ¹² ¹²						
1294-4				q a ŋ ⁵⁵						
1326-4				tɕ y ²² ²²						
1348-4				dʑ i ⁴²						
1401-4				s e n ⁴²						
1451-4				ʂ i ²²						
1473-4				t ɥ e ²² ²²						
1507-4				tɕʰ i ⁵⁵						
1532-4				q e ⁵⁵						
1543-4				s i ²²						
1575-4				ɕ j e n ⁵⁵						
1618-4				b u ¹²						
1640-4				k u ²⁴						
1671-4				ɕ i ²⁴						
1731-4				s o ŋ ⁵⁵						
1762-4				s w a ŋ						
1773-4				d i ²⁴						
1794-4				k o ŋ ⁵⁵						
1805-4				ʐ i ⁴²						
1816-4				s u ²²						
1862-4				ʈʂ i ⁵⁵						
1885-4				qʰ æ ²⁴						
1914-4				s i ²²						
1936-4				p u ²²						
1969-4				ɕ j e n ⁵⁵						
2018-4				ts o ŋ ¹²						
2029-4				q a ŋ ⁵⁵						
2051-4				dz ao ¹²						
2074-4				q ao ²⁴						
2085-4				m æ ²²						
2130-4				p æ ²⁴						
32-5					m a ⁵⁵					
53-5					ʈʂ ə˞ ²¹					
93-5					k ɯ ²¹					
216-5					s w a ⁵⁵					
236-5					ts õ ²²					
267-5					tɕ ẽ ⁴²					
316-5					p ɯ ²²					
327-5					ɣ ɯ ²²					
348-5					tɕ i ⁵⁵					
400-5					l o ²¹					
452-5					q a ⁵⁵					
463-5					qʰ a ⁴⁴					
512-5					d o ⁴²					
534-5					ts o ⁵⁵					
556-5					qʰ u ²²					
568-5					x ɯ ⁵⁵					
588-5					s w a ⁵⁵					
599-5					pʰ ɯ ⁵⁵					
656-5					k o ²¹					
678-5					k o ²¹					
689-5					m a ⁴²					
700-5					m e ⁴²					
775-5					p ɥ e ⁴²					
786-5					q e ⁵⁵					
820-5					tɕ i ⁴²					
839-5					ʈ ɯ ²¹					
863-5					qʰ o ²²					
896-5					q ã ⁵⁵					
929-5					ɖ ɯ ⁴²					
1015-5					ɕ i ⁵⁵					
1035-5					tɕ u ²²					
1107-5					ɕ a ⁵⁵					
1173-5					ʂ i ²²					
1195-5					ʂ i ²²					
1241-5					m e ²¹					
1252-5					l o ²¹					
1294-5					q ã ⁵⁵					
1326-5					tɕ ɥ ²²					
1348-5					tɕ i ⁴²					
1401-5					s ə̃˞ ⁴²					
1451-5					ʂ ə˞ ²²					
1473-5					t w ẽ ²²					
1507-5					tɕʰ i ⁵⁵					
1532-5					q ɯ ⁵⁵					
1543-5					ɕ ɯ ²²					
1575-5					s ẽ ⁵⁵					
1618-5					b ɯ ²¹					
1640-5					k o ⁵⁵					
1671-5					s i ⁵⁵					
1731-5					ɕ õ ⁵⁵					
1762-5					s w a ⁴²					
1773-5					t ɯ ⁵⁵					
1794-5					k õ ⁵⁵					
1805-5					ʐ i ⁴²					
1816-5					s u ²²					
1862-5					ʈʂ ə˞ ⁵⁵					
1885-5					qʰ a ⁵⁵					
1914-5					ɕ ɯ ²²					
1936-5					p u ²²					
1969-5					s ẽ ⁵⁵					
2018-5					ts õ ²¹					
2029-5					q ã ⁵⁵					
2051-5					tɕ i ²¹					
2074-5					q o ⁵⁵					
2085-5					m a ²²					
2130-5					p a ⁵⁵					
32-6						m a ⁴⁴				
53-6						ts i ²¹				
93-6						k ɯ ²¹				
216-6						s u ɑ ⁴⁴				
236-6						ts ʯ̃ ³³				
267-6						tɕ j e n ⁴²				
316-6						p ə ³³				
327-6						ɣ ə ³³				
348-6						ts ʯ̃ ⁴⁴				
400-6						t ou ²¹				
452-6						k a ⁴⁴				
463-6						kʰ ɑ ⁴⁴				
512-6						t ɑ ⁴²				
534-6						ts ou ⁴⁴				
556-6						kʰ u ³³				
568-6						x ə̃ ⁴⁴				
588-6						s u ɑ ⁴⁴				
599-6						pʰ ə̃ ⁵⁵				
656-6						k õ ²¹				
678-6						k ʯ ²¹				
689-6						m a ⁴²				
700-6						m e ³¹				
775-6						p j e n ⁴²				
786-6						k i ⁵⁵				
820-6						ts ʯ̃ ³¹				
839-6						t ə ³¹				
863-6						kʰ õ ³³				
896-6						k a n ⁵⁵				
929-6						ts ɯ ³¹				
1015-6						s ʯ̃ ⁵⁵				
1035-6						ts ʯ̃ ³³				
1107-6						s a ⁴⁴				
1173-6						ɕ i ³³				
1195-6						ɕ i ³³				
1241-6						m e ²¹				
1252-6						l ou ²¹				
1294-6						k ɑ̃ ⁵⁵				
1326-6						ts ʯ̃ ³³				
1348-6						tɕ i ³¹				
1401-6						s e n ⁴²				
1451-6						s i ³³				
1473-6						t w e ³³ ³³				
1507-6						tɕʰ i ⁵⁵				
1532-6						k ɯ ⁵⁵				
1543-6						s ɯ ³³				
1575-6						ɕ j e n ⁵⁵				
1618-6						p u ²¹				
1640-6						k ou ⁴⁴				
1671-6						ɕ i ⁴⁴				
1731-6						s ou ⁵⁵				
1762-6						s w ɑ̃ ³¹				
1773-6						t ə̃ ⁴⁴				
1794-6						k õ ⁵⁵				
1805-6						t ɯ ³¹				
1816-6						s ʯ ³³				
1862-6						ts i ⁵⁵				
1885-6						kʰ a ⁴⁴				
1914-6						s ɯ ³³				
1936-6						p u ³³				
1969-6						ɕ j e n ⁵⁵				
2018-6						ts õ ²¹				
2029-6						k ɑ̃ ⁵⁵				
2051-6						ts ʯ̃ ²¹				
2074-6						k ou ⁴⁴				
2085-6						m a n				
2130-6						p a ⁴⁴				
32-7							m ə˞ ⁴⁴			
53-7							tsʰ i ²¹			
93-7							k əɯ ²¹			
216-7							s w a ⁴⁴			
236-7							ts o ŋ ³³			
267-7							tɕ ĩ n n			
316-7							p əɯ ³³			
327-7							ɣ ɯ ³³			
348-7							ts o ⁴⁴			
400-7							l o ²¹			
452-7							k ə˞ ⁴⁴			
463-7							kʰ a ⁴⁴			
512-7							t o ⁴²			
534-7							ts o ⁴⁴			
556-7							kʰ o ³³			
568-7							x ɯ ⁴⁴			
588-7							s w a ⁴⁴			
599-7							pʰ ɯ ⁵⁵			
656-7							k o ²¹			
678-7							k o ²¹			
689-7							m ə˞ ²¹			
700-7							m ɛ ⁴²			
775-7							p j e n			
786-7							k ĩ ⁵⁵			
820-7							dz õ ²¹			
839-7							t əɯ ²¹ ²¹			
863-7							kʰ o ³³			
896-7							k ə˞ ⁵⁵			
929-7							dz əɯ ²¹			
1015-7							s o ⁵⁵			
1035-7							ts u ³³			
1107-7							s ə˞ ⁴⁴			
1173-7							ɕ i ³³			
1195-7							ɕ i ³³			
1241-7							m ɛ ²¹			
1252-7							l o ²¹ ²¹			
1294-7							k a ŋ ⁵⁵			
1326-7							ts əɯ i ³³			
1348-7							tɕʰ i ²¹			
1401-7							s e n ⁴²			
1451-7							s i ³³			
1473-7							t w e ³³ ³³			
1507-7							tɕʰ i ⁵⁵			
1532-7							k ə ⁵⁵			
1543-7							s əɯ ³³			
1575-7							ɕ e n ⁵⁵			
1618-7							p ɯ ²¹			
1640-7							k o ⁴⁴			
1671-7							ɕ i ⁴⁴			
1731-7							ɕ ɥ ŋ ŋ			
1762-7							s w a ²¹ ²¹			
1773-7							t ɯ ⁴⁴			
1794-7							k o ŋ ⁵⁵			
1805-7							tɕʰ i ²¹			
1816-7							s ou ³³			
1862-7							ts i ⁵⁵			
1885-7							kʰ ə˞ ⁴⁴			
1914-7							s əɯ ³³			
1936-7							p əɯ ³³			
1969-7							ɕ e n ⁵⁵			
2018-7							ts o ŋ ²¹			
2029-7							k a ŋ ⁵⁵			
2051-7							dz õ ŋ ²¹			
2074-7							k o ⁴⁴			
2085-7							m ə̃˞ ³³			
2130-7							pʰ ə˞ ⁴⁴			
32-8								m æ ⁴		
53-8								ɖʐ i i		
93-8								g ɯ ¹		
216-8								sʰ w a ⁴		
236-8								ts u ŋ ²		
267-8								tɕ e n ⁵ ⁵		
316-8								p ɯ ²		
327-8								ɣ ɯ ²		
348-8								ɖʐ r ⁴		
400-8								l ɔ ¹		
452-8								q æ ⁴		
463-8								qʰ a ⁴		
512-8								d ɔ ⁵		
534-8								ts o ⁴		
556-8								qʰ u ²		
568-8								χ ɯ ⁴		
588-8								sʰ w a ⁴		
599-8								pʰ ɯ ¹		
656-8								g o ¹		
678-8								g r o		
689-8								m æ ³		
700-8								m ɛ ⁵		
775-8								p r e n ⁵		
786-8								q ɛ ¹		
820-8								ɖʐ r ³ ⁵		
839-8								d j ɯ ¹		
863-8								qʰ ɔ ² ²		
896-8								q æ ¹		
929-8								d r ɯ ³		
1015-8								s r u		
1035-8								ɖʐ u ²		
1107-8								s r ⁴		
1173-8								s r ²		
1195-8								s r ²		
1241-8								m e ¹		
1252-8								l ɔ o ¹		
1294-8								q a ŋ ¹		
1326-8								ts r i ²		
1348-8								dʑ i ³		
1401-8								s e n ⁵		
1451-8								s r ɯ		
1473-8								d w e n ²		
1507-8								tɕʰ r i		
1532-8								q ɯ ¹		
1543-8								sʰ r ɯ ²		
1575-8								s j e n ¹		
1618-8								b ɯ ¹		
1640-8								k ɔ ⁴		
1671-8								s r i		
1731-8								s r o ŋ ¹		
1762-8								s w a ŋ ³		
1773-8								d ɯ ⁴		
1794-8								k o ŋ ¹		
1805-8								z j ³		
1816-8								s r o		
1862-8								ts r ¹		
1885-8								qʰ æ ⁴		
1914-8								sʰ r ɯ ²		
1936-8								p u ²		
1969-8								s j e n ¹		
2018-8								ts o ŋ ¹		
2029-8								q a ŋ ¹		
2051-8								ɖʐ u o ¹		
2074-8								q o ⁴ ⁴		
2085-8								m æ ² ²		
2130-8								p æ ⁴		
32-9									m a ⁴²	
53-9									ʐ ə˞ ³⁵	
93-9									g ɯ ³⁵	
216-9									s w ɔ ⁴²	
236-9									ts ʯ ŋ ³³	
267-9									tɕ j e ²¹	
316-9									p ɯ ³³	
327-9									ɣ ɯ ³³	
348-9									ʈʂ ʯ ⁴²	
400-9									l ɔ ³⁵	
452-9									q a ⁴²	
463-9									qʰ ɔ ⁴²	
512-9									d o ²¹	
534-9									ts u ⁴²	
556-9									qʰ ʯ ³³	
568-9									x ɯ ⁴²	
588-9									s w ɔ ⁴²	
599-9									pʰ ɯ ⁵⁵	
656-9									g ʯ ³⁵	
678-9									g ʯ ³⁵	
689-9									m a ²¹	
700-9									m ɛ ²¹	
775-9									p i e n ²¹	
786-9									q a ⁵⁵	
820-9									ʐ ʯ ²¹	
839-9									d j ɯ ³⁵	
863-9									qʰ ɔ ³³	
896-9									q a ŋ ⁵⁵	
929-9									d j ɯ ²¹	
1015-9									ʂ ʯ ⁵⁵	
1035-9									ʈʂ ʯ ³³	
1107-9									ɕ a ⁴²	
1173-9									ɕ i ³³	
1195-9									ɕ i ³³	
1241-9									m ɛ ³⁵	
1252-9									l ɔ ³⁵ ³⁵	
1294-9									q ɔ ŋ ⁵⁵	
1326-9									ts ʯ ³³ ³³	
1348-9									ʑ i ²¹	
1401-9									s e n ²¹	
1451-9									ʂ i ³³	
1473-9									d w e ³³ ³³	
1507-9									tɕʰ i ⁵⁵	
1532-9									q ə˞ ⁵⁵	
1543-9									ɕ j ɯ	
1575-9									ɕ j e n ⁵⁵	
1618-9									b ɯ ³⁵	
1640-9									k o ⁴²	
1671-9									ɕ i ⁴²	
1731-9									ɕ j o ⁵⁵	
1762-9									s w a ŋ ²¹	
1773-9									t j ⁴²	
1794-9									k o ŋ ⁵⁵	
1805-9									z j ²¹	
1816-9									s ʯ ³³	
1862-9									ʈʂ ə̃˞ ⁵⁵	
1885-9									qʰ a ⁴²	
1914-9									ɕ j ɯ	
1936-9									p ɯ ³³	
1969-9									ɕ j e n ⁵⁵	
2018-9									d ʯ ŋ ³⁵	
2029-9									q ɔ ŋ ⁵⁵	
2051-9									ʐ ʯ ³⁵ ³⁵	
2074-9									q ɔ ⁴²	
2085-9									m a ³³	
2130-9									p a ⁴²	
32-10										m ɛ ⁴⁴
53-10										ts i ²¹
93-10										k ɯ ²¹
216-10										s w a ⁴⁴
236-10										ts ou ³³
267-10										tɕ i ɛ
316-10										p ɯ ³³
327-10										ɣ ɯ ³³
348-10										ts ʯ ⁴⁴
400-10										l o ²¹
452-10										k ɛ ⁴⁴
463-10										w a ⁴⁴
512-10										t o ⁴²
534-10										ts ou ⁴⁴
556-10										kʰ u ³³
568-10										x ɯ ⁴⁴
588-10										s w a ⁴⁴
599-10										pʰ ɯ ⁵⁵
656-10										k u ²¹
678-10										k ʯ ²¹
689-10										m ɛ ⁴²
700-10										m e ⁴²
775-10										p i e ²¹
786-10										k e ³⁵
820-10										ts ʯ ³¹
839-10										t ɯ ²¹
863-10										kʰ o ³³
896-10										k ɛ ³⁵
929-10										ts ɯ ³¹
1015-10										s ʯ ⁵⁵
1035-10										ts ʯ ³³
1107-10										s ɛ ⁴⁴
1173-10										ɕ i ³³
1195-10										ɕ i ³³
1241-10										m e ²¹
1252-10										l ou ²¹
1294-10										k a ³⁵
1326-10										ts ʯ ³³
1348-10										tɕ i ³¹
1401-10										s e ⁴²
1451-10										s i ³³
1473-10										t w e ³³
1507-10										tɕʰ i ⁵⁵
1532-10										k ɯ ³⁵
1543-10										s ɯ ³³
1575-10										ɕ e ³⁵
1618-10										p ɯ ²¹
1640-10										k ou ⁴⁴
1671-10										ɕ i ⁴⁴
1731-10										s ou ³⁵
1762-10										s w a ³¹
1773-10										t ɯ ⁴⁴
1794-10										k ou ³⁵
1805-10										ts i ³¹
1816-10										s ʯ ³³
1862-10										ts i ³⁵
1885-10										kʰ ɛ ⁴⁴
1914-10										s ɯ ³³
1936-10										p ɯ ³³
1969-10										ɕ e ³⁵
2018-10										ts ou ²¹
2029-10										k a ³⁵
2051-10										ts ʯ ²¹
2074-10										k o ⁴⁴
2085-10										m ɛ ³³
2130-10										p ɛ ⁴⁴
