GRAPHEME,SC,PROSODY,LENGTH,NASAL,TONE_START,TONE_END,TONE_DIR
æu,E,7,0,0,,,
aə,A,7,0,0,,,
ãə,A,7,0,1,,,
ai,A,7,0,0,,,
ai̯,A,7,0,0,,,
ãi,A,7,0,1,,,
a̰i,A,7,0,0,,,
a̱i,A,7,0,0,,,
aɪ,A,7,0,0,,,
ãɪ,A,7,0,0,,,
ao,A,7,0,0,,,
ão,A,7,0,0,,,
au,A,7,0,0,,,
au̯,A,7,0,0,,,
ãu,A,7,0,0,,,
a̰u,A,7,0,0,,,
a̱u,A,7,0,0,,,
auː,A,7,1,0,,,
aʊ,A,7,0,0,,,
aˀ,A,7,0,0,,,
ɐ,E,7,0,0,,,
ɐ̃,E,7,0,1,,,
ɐː,E,7,1,0,,,
ɐ̃ː,E,7,1,1,,,
ɐˀ,E,7,0,0,,,
ɑ,A,7,0,0,,,
ɑ,A,7,0,0,,,
ɑ̃,A,7,0,0,,,
ɑ̱,A,7,0,0,,,
ɑː,A,7,1,0,,,
ɑi,A,7,0,0,,,
ɑ̃i,A,7,0,1,,,
ɑu,A,7,0,0,,,
ɑ̃u,A,7,0,1,,,
ɒ,O,7,0,0,,,
ɒː,O,7,1,0,,,
b,P,1,0,0,,,
bː,P,1,1,0,,,
bʱ,P,1,0,0,,,
bʲ,P,1,0,0,,,
ɓ,P,1,0,0,,,
c,C,1,0,0,,,
ç,C,1,0,0,,,
cʰ,C,1,0,0,,,
ɕ,S,3,0,0,,,
ɕʰ,S,3,0,0,,,
d,T,1,0,0,,,
d̪,T,1,0,0,,,
ð,D,3,0,0,,,
dː,T,1,1,0,,,
dð,T,1,0,0,,,
dʱ,T,1,0,0,,,
d̪ʲ,T,1,0,0,,,
dʷ,T,1,0,0,,,
dz,C,2,0,0,,,
dz̪,T,1,0,0,,,
dʑ,C,2,0,0,,,
ʥ,T,2,0,0,,,
dʑʲ,C,2,0,0,,,
dʒ,T,1,0,0,,,
dʒː,T,1,1,0,,,
dʒʷ,T,1,0,0,,,
ɖ,T,1,0,0,,,
ɖʐ,C,2,0,0,,,
ɗ,T,1,0,0,,,
e,E,7,0,0,,,
ë,E,7,0,0,,,
ẽ,E,7,0,0,,,
ḛ,E,7,0,0,,,
e̱,E,7,0,0,,,
eː,E,7,1,0,,,
ẽː,E,7,1,0,,,
eːi,E,7,1,0,,,
eːi̯,E,7,1,0,,,
e̱ːi,E,7,1,0,,,
eːu,E,7,1,0,,,
eːu,E,7,1,0,,,
eːu̯,E,7,1,0,,,
eˑ,E,7,0,0,,,
eə,E,7,0,0,,,
ei,E,7,0,0,,,
ei̯,E,7,0,0,,,
e̱i,E,7,0,0,,,
eɪ,E,7,0,0,,,
eu,E,7,0,0,,,
eu̯,E,7,0,0,,,
euˀ,E,7,0,0,,,
eɯ,E,7,0,0,,,
eˀ,E,7,0,0,,,
ə,E,7,0,0,,,
ə̆,E,7,0,0,,,
ə̃,E,7,0,1,,,
ə̤,E,7,0,0,,,
ə̰,E,7,0,0,,,
ə̱,E,7,0,0,,,
ə˞,E,7,0,0,,,
ə̃˞,E,7,0,1,,,
əː,E,7,1,0,,,
ə̱ː,E,7,1,0,,,
əa,E,7,0,0,,,
əi,E,7,0,0,,,
əi̯,E,7,0,0,,,
ə̱i,E,7,0,0,,,
əɨ,E,7,0,0,,,
əɨ̯,E,7,0,0,,,
əu,E,7,0,0,,,
əɯ,E,7,0,0,,,
əɯ̯,E,7,0,0,,,
ə̃ɯ,E,7,0,1,,,
əʊ,E,7,0,0,,,
ɛ,E,7,0,0,,,
ɛ̃,E,7,0,0,,,
ɛ̰,E,7,0,0,,,
ɛ̱,E,7,0,0,,,
ɛ̱̃,E,7,0,1,,,
ɛː,E,7,1,0,,,
ɛ̃ː,E,7,1,0,,,
ɛ̱ː,E,7,1,0,,,
ɛːi̯,E,7,1,0,,,
ɛːu̯,E,7,1,0,,,
ɛa,E,7,0,0,,,
ɛi,E,7,0,0,,,
ɛĩ,E,7,0,0,,,
ɛi̯,E,7,0,0,,,
ɛ̃ĩ,E,7,0,1,,,
ɛ̃ĩː,E,7,1,1,,,
ɛɪ,E,7,0,0,,,
ɛu,E,7,0,0,,,
ɛˀ,E,7,0,0,,,
ɛ̃ˀ,E,7,0,1,,,
ɛ̃ˀː,E,7,1,1,,,
ɘ,E,7,0,0,,,
ɜ,E,7,0,0,,,
ɜ̃,E,7,0,0,,,
ɜː,E,7,1,0,,,
ɜo,E,7,0,0,,,
ɞ,U,7,0,0,,,
ɤ,E,7,0,0,,,
ɤ̃,E,7,0,0,,,
ɤu,E,7,0,0,,,
ɤɯ,E,7,0,0,,,
f,B,3,0,0,,,
fː,B,3,1,0,,,
g,K,1,0,0,,,
gː,K,1,1,0,,,
gʱ,K,1,0,0,,,
gʲ,K,1,0,0,,,
gʷ,K,1,0,0,,,
ɡ,K,1,0,0,,,
ɣ,G,3,0,0,,,
h,H,3,0,0,,,
h̃,H,3,0,0,,,
ħ,H,3,0,0,,,
h̥,H,3,0,0,,,
ʰt,T,1,0,0,,,
ɦ,H,3,0,0,,,
i,I,7,0,0,,,
ĭ,I,7,0,0,,,
î,I,7,0,0,3,3,0
ĩ,I,7,0,0,,,
i̯,I,7,0,0,,,
ḭ,I,7,0,0,,,
i̱,I,7,0,0,,,
iː,I,7,1,0,,,
ĩː,I,7,1,0,,,
i̱ː,I,7,1,0,,,
iːu̯,I,7,1,0,,,
iaː,A,7,1,0,,,
iɒː,O,7,1,0,,,
ieː,I,7,1,0,,,
iəː,I,7,1,0,,,
iɛː,I,7,1,0,,,
ìì,I,7,1,0,5,1,-1
iˀ,I,7,0,0,,,
ĩˀ,I,7,0,1,,,
ɪ,I,7,0,0,,,
ɪ̃,I,7,0,1,,,
ɪ̰,I,7,0,0,,,
ɪː,I,7,1,0,,,
ɪi,I,7,0,0,,,
ɨ,I,7,0,0,,,
ɨ̰,I,7,0,0,,,
ɨː,I,7,1,0,,,
ɨi̯,I,7,0,0,,,
ɨu,I,7,0,0,,,
j,J,6,0,0,,,
j̊,J,6,0,0,,,
j̃,J,6,0,0,,,
jː,J,6,1,0,,,
ʝ,S,3,0,0,,,
ɟ,C,1,0,0,,,
k,K,1,0,0,,,
k̚,K,1,0,0,,,
kː,K,1,1,0,,,
kʰ,K,1,0,0,,,
kʰʲ,K,1,0,0,,,
kʲ,K,1,0,0,,,
kʲʰ,K,1,0,0,,,
kʷ,K,1,0,0,,,
kx,K,1,0,0,,,
kʼ,K,1,0,0,,,
kʼː,K,1,1,0,,,
l,L,5,0,0,,,
l̩,L,5,0,0,,,
l̪,L,5,0,0,,,
ł,L,5,0,0,,,
l̥,L,5,0,0,,,
lː,L,5,1,0,,,
lʰ,L,5,0,0,,,
lʲ,L,5,0,0,,,
l̪ʲ,L,5,0,0,,,
lʷ,L,5,0,0,,,
ɬ,L,5,0,0,,,
ɬʰ,L,5,0,0,,,
ɭ,L,5,0,0,,,
m,M,4,0,1,,,
m̩,M,4,0,1,,,
m̥,M,4,0,1,,,
mː,M,4,1,1,,,
mʰ,M,4,0,0,,,
mʲ,M,4,0,1,,,
mʷ,M,4,0,1,,,
mˀ,M,4,0,1,,,
n,N,4,0,1,,,
n̩,N,4,0,1,,,
n̪,N,4,0,1,,,
n̥,N,4,0,1,,,
nː,N,4,1,1,,,
ⁿb,P,1,0,0,,,
ⁿd,T,1,0,0,,,
nʰ,N,4,0,0,,,
ⁿj,J,6,0,0,,,
nʷ,N,4,0,1,,,
nˀ,N,4,0,0,,,
ɴ,N,4,0,1,,,
ɴː,N,4,1,1,,,
ɲ,N,4,0,1,,,
ɲ̊,N,4,0,0,,,
ɲ̍,N,4,0,1,,,
ɲː,N,4,1,1,,,
ɲʰ,N,4,0,0,,,
ɲˀ,N,4,0,1,,,
ɳ,N,4,0,0,,,
ȵ,N,4,0,1,,,
ȵ̊,N,4,0,1,,,
ȵ̥,N,4,0,1,,,
ȵʲ,N,4,0,1,,,
ŋ,N,4,0,1,,,
ŋ̊,N,4,0,1,,,
ŋ̍,N,4,0,1,,,
ŋː,N,4,1,1,,,
ŋʰ,N,4,0,1,,,
ŋˀ,N,4,0,1,,,
o,U,7,0,0,,,
ŏ,U,7,0,0,,,
ŏ̱,O,7,0,0,,,
ô,O,7,0,0,3,3,0
õ,U,7,0,0,,,
ø,U,7,0,0,,,
ø̃,U,7,0,0,,,
o̰,U,7,0,0,,,
o̱,O,7,0,0,,,
oː,U,7,1,0,,,
õː,U,7,1,0,,,
øː,U,7,1,0,,,
oːi̯,O,7,1,0,,,
oːu̯,O,7,1,0,,,
oˑ,U,7,0,0,,,
oa,U,7,0,0,,,
oe,U,7,0,0,,,
œ,U,7,0,0,,,
œ̃,O,7,0,1,,,
œy,U,7,0,0,,,
oi,U,7,0,0,,,
oi̯,U,7,0,0,,,
õi,U,7,0,0,,,
o̰i,U,7,0,0,,,
oiː,O,7,1,0,,,
ou,U,7,0,0,,,
ou̯,O,7,0,0,,,
õu,U,7,0,0,,,
o̱u,O,7,0,0,,,
ouː,O,7,1,0,,,
øy,U,7,0,0,,,
øˀ,U,7,0,0,,,
ɶː,U,7,1,0,,,
ɔ,U,7,0,0,,,
ɔ̆,O,7,0,0,,,
ɔ̃,U,7,0,0,,,
ɔ̰,U,7,0,0,,,
ɔ̱,O,7,0,0,,,
ɔ̱̃,O,7,0,1,,,
ɔ̀:,U,7,1,0,,,
ɔː,U,7,1,0,,,
ɔ̃ː,U,7,1,0,,,
ɔ̱ː,O,7,1,0,,,
ɔːi,O,7,1,0,,,
ɔːi̯,O,7,1,0,,,
ɔə,U,7,0,0,,,
ɔi,U,7,0,0,,,
ɔi̯,O,7,0,0,,,
ɔu,U,7,0,0,,,
ɔ̃u,U,7,0,0,,,
ɔy,U,7,0,0,,,
ɔˀ,O,7,0,0,,,
ɵy,U,7,1,0,,,
p,P,1,0,0,,,
pː,P,1,1,0,,,
pf,B,2,0,0,,,
pfʰ,B,2,0,0,,,
pʰ,P,1,0,0,,,
pʲ,P,1,0,0,,,
pˢ,P,1,0,0,,,
ɸ,B,3,0,0,,,
q,K,1,0,0,,,
qʰ,K,1,0,0,,,
r,R,5,0,0,,,
r̃,R,5,0,0,,,
r̪,R,5,0,0,,,
r̥,R,5,0,0,,,
rː,R,5,1,0,,,
rʰ,R,5,0,0,,,
rʷ,R,5,0,0,,,
ʀ,R,5,0,0,,,
ɹ,R,5,0,0,,,
ɽ,R,5,0,0,,,
ɾ,R,5,0,0,,,
ɾ̥,R,5,0,0,,,
ɾʲ,R,5,0,0,,,
ɿ,I,7,0,0,,,
ɿ̃,I,7,0,0,,,
ʁ,R,5,0,0,,,
s,S,3,0,0,,,
s̪,S,3,0,0,,,
sː,S,3,1,0,,,
sʰ,S,3,0,0,,,
sʲ,S,3,0,0,,,
sʷ,S,3,0,0,,,
sʼ,S,3,0,0,,,
ʂ,S,3,0,0,,,
ʂʰ,S,3,0,0,,,
ʃ,S,3,0,0,,,
ʃː,S,3,1,0,,,
ʃʰ,S,3,0,0,,,
ʅ,I,7,0,0,,,
ʅ̃,I,7,0,0,,,
t,T,1,0,0,,,
t̚,T,1,0,0,,,
t̪,T,1,0,0,,,
tː,T,1,1,0,,,
tɕ,C,2,0,0,,,
ʨ,T,2,0,0,,,
tɕː,T,1,1,0,,,
tɕʰ,C,2,0,0,,,
ʨʰ,C,2,0,0,,,
tɕʲ,C,2,0,0,,,
tʰ,T,1,0,0,,,
t̪ʰ,T,1,0,0,,,
tʲ,T,1,0,0,,,
t̪ʲ,T,1,0,0,,,
tʲʰ,C,1,0,0,,,
tɬ,T,1,0,0,,,
tɬʰ,T,1,0,0,,,
ts,C,2,0,0,,,
ts̪,T,1,0,0,,,
tsː,T,1,1,0,,,
tsʰ,C,2,0,0,,,
tsʲʰ,C,1,0,0,,,
tsʷ,C,2,0,0,,,
tsʼ,T,1,0,0,,,
tʃ,T,1,0,0,,,
tʃː,T,1,1,0,,,
tʃʰ,T,1,0,0,,,
tʃʼ,T,1,0,0,,,
tʼ,T,1,0,0,,,
tʼː,T,1,1,0,,,
tʼʲ,T,1,0,0,,,
tθ,T,1,0,0,,,
tθʰ,T,1,0,0,,,
ʈ,T,1,0,0,,,
ʈʰ,T,1,0,0,,,
ʈʂ,C,2,0,0,,,
ʈʂʰ,C,2,0,0,,,
ȶ,T,1,0,0,,,
ȶʰ,T,1,0,0,,,
u,Y,7,0,0,,,
ŭ,Y,7,0,0,,,
ũ,Y,7,0,0,,,
u̥,U,7,0,0,,,
ṵ,Y,7,0,0,,,
ṵ̃,Y,7,0,0,,,
u̱,U,7,0,0,,,
uː,Y,7,1,0,,,
ũː,Y,7,1,0,,,
u̱ː,U,7,1,0,,,
uːi̯,U,7,1,0,,,
uaː,Y,7,1,0,,,
uæː,Y,7,1,0,,,
uɒː,O,7,1,0,,,
ueː,O,7,1,0,,,
uɛː,Y,7,1,0,,,
ui,Y,7,0,0,,,
ui̯,Y,7,0,0,,,
ũi,Y,7,0,0,,,
u̱i,U,7,0,0,,,
uiː,U,7,1,0,,,
uoː,Y,7,1,0,,,
uˀ,Y,7,0,0,,,
ʉ,Y,7,0,0,,,
ɥ,J,6,0,0,,,
ʯ,Y,7,0,0,,,
ʯ̃,Y,7,0,1,,,
ɯ,I,7,0,0,,,
ɯ̃,I,7,0,0,,,
ɯː,I,7,1,0,,,
ʊ,Y,7,0,0,,,
ʊ̀,Y,7,0,0,5,1,-1
ʊ̃,Y,7,0,0,,,
ʊ̰,Y,7,0,0,,,
ʊː,Y,7,1,0,,,
ʊu̯,Y,7,0,0,,,
v,B,3,0,0,,,
vː,B,3,1,0,,,
ʋ,W,6,0,0,,,
ʌ,E,7,0,0,,,
w,W,6,0,0,,,
w̃,W,6,0,0,,,
wː,W,6,1,0,,,
x,G,3,0,0,,,
xː,G,3,1,0,,,
xʰ,G,3,0,0,,,
xʲ,G,3,0,0,,,
y,Y,7,0,0,,,
ỹ,Y,7,0,0,,,
yː,Y,7,1,0,,,
yaː,Y,7,1,0,,,
yeː,E,7,1,0,,,
yiː,I,7,1,0,,,
yɪː,Y,7,1,0,,,
ʏ,Y,7,0,0,,,
z,S,3,0,0,,,
z̪,S,3,0,0,,,
zː,S,3,1,0,,,
ʐ,S,3,0,0,,,
ʑ,S,3,0,0,,,
ʒ,S,3,0,0,,,
ʒ̟,S,3,0,0,,,
ʒː,S,3,1,0,,,
ʔ,H,1,0,0,,,
ʔ̚,H,1,0,0,,,
ʔʲ,H,1,0,0,,,
ˀb,P,1,0,0,,,
ˀd,T,1,0,0,,,
ˀɣ,G,3,0,0,,,
ˀj,J,6,0,0,,,
ˀk,K,1,0,0,,,
ˀl,L,5,0,0,,,
ˀm,M,4,0,1,,,
ˀn,N,4,0,1,,,
ˀɲ,N,4,0,0,,,
ˀȵ,N,4,0,1,,,
ˀŋ,N,4,0,1,,,
ˀp,P,1,0,0,,,
ˀr,R,5,0,0,,,
ˀs,S,3,0,0,,,
ˀt,T,1,0,0,,,
ˀts,C,1,0,0,,,
ˀtʃ,T,1,0,0,,,
ʕ,H,1,0,0,,,
β,B,3,0,0,,,
β̞,B,3,0,0,,,
θ,D,3,0,0,,,
χ,G,3,0,0,,,
