COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
4921-5					s a ŋ b j e											
196-5					k u l e											
789-5					g i g a											
931-5					d e g a											
1298-5					g o l o m g a											
2145-5					d e a											
3639-5					d a w a											
3977-5					p o n d i											
3978-5					a n d e											
4260-5					t u g a											
5200-5					e g a											
5532-5					g i n i											
5866-5					g o ŋ ŋ g a											
432-5					g o n a											
446-5					p u ŋ g u g e											
521-5					k a d a l											
1124-5					e l e l e											
1237-5					p i n g e											
1579-5					d m p u l a											
1748-5					n ɛ											
2774-5					k a n a											
3198-5					s e l e											
3339-5					j ɛ j ɛ											
3534-5					d a n a											
3550-5					p u n u g u											
3684-5					k i n d a											
3944-5					t ɛ g a											
4611-5					k ɔ l a											
4738-5					g u n d a											
4983-5					s o n i											
5447-5					g i b e											
5656-5					p o n d i											
5830-5					j a											
1074-5					n u g u a											
1170-5					g a n d e											
1187-5					d u r u											
1454-5					s a l e a											
1841-5					g e											
1970-5					p u l a											
2977-5					k o b a											
3252-5					t ɛ ŋ g u											
3301-5					g a b a											
3463-5					a w e											
3498-5					n i											
4363-5					d a m a											
5038-5					g u l e ɛ											
5228-5					t u n d u											
5229-5					dʒ o ŋ g e											
5391-5					d a w											
5481-5					m e g a											
5793-5					g o m b e a											
5888-5					j a											
6007-5					p u n a											
178-5					k u u ŋ a l e											
568-5					n e n d a l e											
569-5					n e n d i l e											
1257-5					k o l o g a											
1433-5					p a l e											
1501-5					n i g e											
1684-5					s i l e											
1787-5					n e											
1864-5					k a g u l e											
1923-5					g i n a											
1988-5					k p u n d e											
2046-5					g e n d e											
2067-5					i l d ɛ											
2109-5					k a ŋ a u											
2127-5					n a l a											
2372-5					p ɛ l ɛ											
2599-5					n iː g e											
2756-5					w a l a											
2775-5					p a r u m i											
3254-5					d a l a m a											
3319-5					k u u g e											
3358-5					n aː											
3427-5					ŋ g e											
3622-5					d a g u											
3658-5					tʃ e g e											
3807-5					t ɛ g ɛ											
4008-5					g e ŋ g u											
4053-5					p i ŋ g e											
4280-5					t ŋ g a g a											
4630-5					n a											
4848-5					a m a n a n a											
4905-5					n a											
4985-5					s e											
5467-5					d u g u											
5606-5					d i n d i ŋ g e											
5640-5					n e ŋ g a											
2-5					k aː n u											
3-5					k a n i											
21-5					d aː b a											
26-5					t e g a											
64-5					k a r a											
117-5					d e											
224-5					j a g a											
241-5					d u g u											
312-5					b a j											
327-5					dʒ g g a											
361-5					k a r a											
651-5					d i ŋ g e											
873-5					s i l a											
1001-5					d e											
1053-5					k o n d e											
1207-5					g e											
715-6						dʒ i n i										
1089-6						n i g i										
1319-6						n i g i										
1398-6						k u n u n dʒ i										
1557-6						g i b i										
1626-6						k a g i										
1840-6						dʒ i n i										
2247-6						g a i										
4677-6						g a l i b i										
5162-6						m i n g i										
5406-6						dʒ u n dʒ i										
359-6						g a l a i										
1577-6						g i b i										
2196-6						n a l i										
2230-6						d i g i										
2533-6						b a n g i										
3605-6						g a n dʒ a										
4553-6						dʒ a ŋ g g i										
4822-6						g a m b i										
5254-6						dʒ i l i										
503-6						k i n a i										
1356-6						m a g i										
1881-6						n ɛ m ɛ g i										
2084-6						k a a b i										
2420-6						g a l i										
3218-6						b a b a dʒ i										
3372-6						n a m a										
3718-6						k a g a										
4135-6						b a n i i										
4694-6						g u b ŋ g i										
807-6						g a b g i										
2320-6						k a n a										
2842-6						d i g i i										
3719-6						m i										
4081-6						d a m b g i										
4313-6						n e m g i										
4460-6						k a n ɛ										
5514-6						n ɛ n dʒ i										
5810-6						k i n l i										
93-6						g a										
890-6						k a m g i l ɛ										
1336-6						d ŋ g i										
1703-6						b a ɛ										
4591-6						dʒ a g a										
5605-6						dʒ i n a i										
63-6						g a b i										
296-6						dʒ ɛ i g i										
463-6						dʒ u n dʒ u										
762-6						k a n a ŋ g i b i										
3425-6						g i										
4120-6						g a l i										
4423-6						dʒ a n i										
4759-6						n i i g i										
4904-6						n k ɛ n g i										
4960-6						g i n aː g i										
5125-6						k ɛ n dʒ o										
5339-6						d ŋ g a										
5771-6						k u g u b										
5922-6						b i g i										
5938-6						d a dʒ u n dʒ g a										
483-6						g a g i										
1542-6						n dʒ i i										
1683-6						s i n a										
2551-6						g o										
2957-6						m u n dʒ i										
3048-6						b i l i										
4402-6						g a										
5081-6						b i n dʒ a b i										
5622-6						k ŋ g ɛ g g a										
650-6						b n dʒ i										
716-6						i i										
1152-6						dʒ i b i										
1789-6						n o l i										
1862-6						i g i										
2618-6						k a l ɛ										
2880-6						g u n dʒ u g i										
2924-6						d a g i										
3136-6						k i g i										
3405-6						k a m i i										
3811-6						l i										
4535-6						d ŋ g i										
4888-6						d a m u n dʒ										
5751-6						dʒ i l i										
2179-6						n dʒ i										
2442-6						n u l i										
