COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
379-1	l ɔ ³⁵								
665-2		ŋ o ⁵¹							
495-2		n j ui ⁵⁵							
838-2		n o k ⁵⁵							
438-2		l i̱ ʔ ⁵⁵							
334-2		l o ʔ ⁵⁵							
360-2		l e ²¹							
394-2		m j i ²¹							
221-2		j a p ²¹							
202-2		k j ui ²¹							
935-2		u ²¹							
93-2		ts a̱ ŋ ⁵⁵							
7-2		p a n ²¹							
664-2		w a ŋ ⁵¹							
246-2		k ŏ̱ ʔ ⁵⁵							
547-2		s i k ⁵⁵							
555-2		u m ⁵¹							
464-2		m j u̱i ²¹							
119-2		ts o ⁵⁵							
835-2		n ²¹							
79-2		t o ²¹							
693-2		ŋ j ui ⁵¹							
477-2		n a p ²¹							
891-2		t i ŋ ⁵⁵							
528-2		j o ⁵¹							
797-2		k j u k ⁵⁵							
493-2		n i k ⁵⁵							
217-2		j a p ²¹							
896-2		ts o̱ t ⁵⁵							
452-2		m j u k ²¹							
580-2		k o ʔ ⁵⁵							
833-2		n o̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ ui ⁵¹							
86-2		ts j u ŋ ²¹							
384-2		m a ŋ ⁵⁵							
61-2		tʃ a m ²¹							
536-2		s o̱ a ʔ ²¹							
731-2		s e ²¹							
779-2		a o̱ ⁵¹							
589-2		tʰ a ŋ ²¹							
680-2		ŋ ŏ̱ ʔ ⁵⁵							
658-2		w a m ²¹							
456-2		k j a ŋ ²¹							
183-2		k j i ²¹							
785-2		kʰ o ⁵⁵							
714-2		u̱i ⁵¹							
331-2		l o ⁵⁵							
206-2		j o ⁵⁵							
930-2		ŋ a̱ p ⁵⁵							
353-2		l e ⁵¹							
161-2		p a ŋ ⁵¹							
814-2		k u̱i ²¹							
179-2		k j o ʔ ²¹							
194-2		j o ʔ ²¹							
727-2		x a ŋ ⁵¹							
260-2		k j a p ⁵⁵							
144-2		tʃ a m ⁵¹							
53-2		p o m ⁵¹							
59-2		t o ʔ ²¹							
506-2		p i k ⁵⁵							
29-2		p i k ²¹							
316-2		tʰ o ʔ ⁵⁵							
389-2		m j a ŋ ⁵¹							
118-2		m o ⁵⁵							
312-2		kʰ o ⁵⁵							
490-2		n a ⁵⁵							
436-2		m j e ²¹							
927-2		n a ŋ ²¹							
383-2		m o ʔ ²¹							
211-2		j a m ⁵¹							
873-2		x i ŋ ⁵¹							
371-2		l i ŋ ⁵⁵							
877-2		ts ²¹ ⁵⁵							
344-2		l a m ⁵¹							
666-2		ŋ o ⁵¹							
595-2		tʰ a ŋ ⁵⁵							
660-2		w u p ²¹							
642-2		tʃ a ŋ ⁵⁵							
257-2		k j a m ⁵¹							
167-2		k j o ²¹							
880-2		t ²¹							
337-2		w o ⁵¹							
484-2		n a ŋ ⁵¹							
574-2		ts u m ²¹							
718-2		x a n ²¹							
811-2		k j ui ²¹							
458-2		tʰ u ŋ ²¹							
884-2		t a ⁵⁵							
205-2		k au ²¹							
499-2		n a ⁵¹							
706-2		a i̱ ⁵¹							
920-2		j u ŋ ²¹							
36-2		p j a p ²¹							
12-2		p ²¹							
350-2		l a̱ ŋ ⁵⁵							
4-2		p a ŋ ⁵¹							
342-2		j u ʔ ²¹							
280-2		k j i̱ ⁵⁵							
638-2		tsʰ a p ⁵⁵							
729-2		x j e ²¹							
72-2		tʃ a m ²¹							
612-2		tʰ o ŋ ²¹							
459-2		m j i ŋ ²¹							
569-2		s ui ²¹							
283-2		k j ui ⁵⁵							
501-2		p o ⁵⁵							
652-2		w e ⁵¹							
220-2		tʃ a ŋ ²¹							
233-2		j au t ²¹							
562-2		p j e ²¹							
31-2		p j a k ²¹							
386-2		m a k ²¹							
684-2		tʃ o ʔ ⁵⁵							
804-2		ts j u ŋ ⁵⁵							
618-2		tʃ j ui ²¹							
565-2		s o ²¹							
468-2		n i ʔ ²¹							
369-2		l i k ⁵⁵							
314-2		p j o ⁵¹							
776-2		a j u ʔ ⁵⁵							
170-2		k j o ⁵⁵							
823-2		l a̱ p ⁵⁵							
471-2		tʃ a m ²¹							
249-2		k a m ⁵¹							
367-2		l i̱ ⁵⁵							
414-2		m j ²¹							
503-2		p ŏ̱ ²¹							
40-2		p j i ⁵⁵							
647-2		tsʰ j e ⁵¹							
105-2		ts e ²¹							
141-2		k e ⁵¹							
272-2		kʰ j a ŋ ⁵⁵							
463-2		m au ⁵¹							
1-2		p o ⁵¹							
349-2		l a ŋ ²¹							
214-2		j a m ²¹							
841-2		n ŏ̱ t ⁵⁵							
123-2		t u ⁵¹							
646-2		tsʰ j e ²¹							
433-2		ts a ŋ ⁵¹							
512-2		p a k ⁵⁵							
518-2		p j u ⁵¹							
878-2		t o̱ ²¹							
849-2		p a t ⁵⁵							
524-2		p j u̱i ⁵¹							
90-2		t o̱ ⁵⁵							
541-2		j a̱ ŋ ⁵⁵							
933-2		tʃ j ²¹							
164-2		k a ŋ ²¹							
686-2		ŋ j a p ⁵⁵							
467-2		n i̱ k ⁵⁵							
201-2		k j u k ²¹							
784-2		j a k ⁵⁵							
487-2		n e ⁵¹							
504-2		pʰ o ʔ ⁵⁵							
49-2		p j ²¹							
822-2		l o̱ ʔ ⁵⁵							
52-2		p a ⁵¹							
281-2		ts au ⁵¹							
46-2		p j a ⁵¹							
377-2		l ²¹ m ²¹							
127-2		tʃ a p ⁵⁵							
67-2		tʃ a̱ p ⁵⁵							
192-2		k j o̱ ²¹							
864-2		p j e ²¹							
126-2		tʃ o ʔ ⁵⁵							
546-2		ts a ŋ ⁵¹							
635-2		tʃ j ²¹							
473-2		n a m ²¹							
3-2		p o ⁵⁵							
98-2		x o ⁵⁵							
445-2		m j ʊ ⁵¹							
608-2		tsʰ a m ⁵¹							
210-2		j o ʔ ²¹							
140-2		k j i̱ ⁵¹							
868-2		x o ⁵⁵							
520-2		p j u̱i ⁵¹							
166-2		k j o ʔ ²¹							
48-2		p a ŋ ⁵¹							
270-2		k j a ŋ ⁵¹							
379-2		l o̱ ⁵⁵							
55-2		p o p ⁵⁵							
665-3			ŋ a ⁵⁵						
495-3			ŋ au ³⁵						
838-3			n a ʔ ³¹						
438-3			l a ŋ ³¹						
334-3			l a ʔ ³¹						
360-3			l ai ³¹						
394-3			m j a ŋ ³¹						
221-3			j u̱ p ⁵⁵						
202-3			k au ³¹						
935-3			a ³¹						
93-3			t ɔ̱̃ ³¹						
7-3			p a ŋ ³¹						
664-3			v ɔ̃ ⁵⁵						
246-3			k a̱ ʔ ⁵⁵						
547-3			s a̱ k ⁵⁵						
555-3			j a̱ m ⁵⁵						
464-3			m au ³¹						
119-3			t a ŋ ⁵⁵						
835-3			n ɛ̱ ʔ ⁵⁵						
79-3			t a ³¹						
693-3			ŋ au ⁵⁵						
477-3			n j a p ³¹						
891-3			t a ŋ ³⁵						
528-3			j a ⁵⁵						
797-3			t j u̱ ʔ ⁵⁵						
493-3			n a k ³¹						
217-3			j ɔ̃ ʔ ⁵⁵						
896-3			t u̱ t ⁵⁵						
452-3			m j a k ³¹						
580-3			kʰ a ʔ ⁵⁵						
833-3			n a̱ ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			ŋ a ⁵⁵						
86-3			t u̱ ŋ ⁵⁵						
384-3			kʰ a ŋ ³⁵						
61-3			tʃ a ŋ ⁵⁵						
536-3			x a̱ ʔ ⁵⁵						
779-3			ʃ a̱ ⁵⁵						
589-3			tʰ a ŋ ⁵⁵						
680-3			ŋ a̱ ʔ ⁵⁵						
456-3			kʰ j ɔ̃ ³¹						
183-3			k j i ³¹						
785-3			kʰ a ³¹						
331-3			l a ³¹						
206-3			j a ⁵⁵						
930-3			ŋ ɔ̱̃ ʔ ⁵⁵						
353-3			l a̱ ⁵⁵						
161-3			p ɔ̃ ⁵⁵						
179-3			k j a ʔ ³¹						
194-3			j a ʔ ³¹						
727-3			x ɔ̃ ⁵⁵						
260-3			t j a p ⁵⁵						
144-3			tʃ a m ⁵⁵						
53-3			p ɛ̱ m ⁵⁵						
59-3			t a ʔ ³¹						
506-3			p a k ⁵⁵						
29-3			p a k ³¹						
316-3			tʰ a ʔ ⁵⁵						
312-3			kʰ a ³¹						
436-3			m j a ŋ ³¹						
927-3			n ɔ̆ ⁵⁵						
383-3			m a ʔ ³¹						
211-3			j ɛ̃ ⁵⁵						
873-3			x a ŋ ⁵⁵						
371-3			l a ŋ ³¹						
877-3			tʃ ɛ̱ ³⁵						
344-3			l ɛ̃ ⁵⁵						
666-3			ŋ a ³¹						
595-3			tʰ a ŋ ³⁵						
660-3			v a ʔ ³¹						
642-3			tʃ ɔ̃ ³⁵						
257-3			t j ɛ̃ ⁵⁵						
167-3			k j a ³¹						
880-3			t a̱ p ⁵⁵						
337-3			v a ⁵⁵						
484-3			n ɔ̃ ⁵⁵						
574-3			tʃ a m ³¹						
718-3			x ɛ̱ ŋ ³¹						
811-3			k au ³¹						
458-3			tʰ a ŋ ³¹						
884-3			t a̱ ŋ ³¹						
205-3			k u̱ ʔ ⁵⁵						
499-3			n ɛ ⁵⁵						
706-3			ʃ a ⁵⁵						
920-3			au ŋ ³¹						
36-3			p j ɔ̃ ³¹						
12-3			p j i ⁵⁵						
350-3			l ɔ̃ ³⁵						
4-3			p a ŋ ⁵⁵						
342-3			j a ʔ ³¹						
638-3			tʃʰ ɛ ʔ ⁵⁵						
729-3			x e ⁵⁵						
72-3			v ɔ̃ ³¹						
283-3			t j ui ³⁵						
501-3			p v ³⁵						
148-3			k a ŋ ³¹						
220-3			tʃ ɔ̃ ³¹						
233-3			j au ³¹						
31-3			p j a̱ ŋ ³¹						
386-3			m a t ³¹						
684-3			tʃ a̱i ʔ ³¹						
804-3			t j a ŋ ³¹						
618-3			tʃ au ³¹						
565-3			x v a ³¹						
468-3			n a ʔ ³¹						
369-3			l a k ³¹						
776-3			x a ʔ ⁵⁵						
170-3			k j a ³⁵						
823-3			l ɛ̱ ʔ ⁵⁵						
249-3			kʰ a m ⁵⁵						
414-3			m j i̱ ŋ ³¹						
647-3			n i̱ ⁵⁵						
105-3			t i̱ ³¹						
393-3			m ɔ̃ ³⁵						
141-3			k ai ⁵⁵						
272-3			kʰ j ɔ̃ ³⁵						
463-3			m au ⁵⁵						
1-3			p a ⁵⁵						
349-3			l ɔ̃ ³¹						
214-3			j ɛ̃ ³¹						
841-3			n u̱ t ⁵⁵						
646-3			tsʰ ɛ ³¹						
433-3			t j ŋ ⁵⁵						
512-3			p a k ⁵⁵						
878-3			t a̱ ³¹						
524-3			p au ʔ ⁵⁵						
668-3			ŋ ai ⁵⁵						
164-3			k ɔ̃ ³¹						
686-3			ŋ j a p ³¹						
201-3			k j a k ³¹						
784-3			j a̱ k ⁵⁵						
487-3			ɔ̆ a̱ ⁵⁵						
504-3			pʰ a̱i ʔ ⁵⁵						
49-3			p ɛ ⁵⁵						
822-3			l a̱ ʔ ⁵⁵						
52-3			p ui ⁵⁵						
281-3			t j au ⁵⁵						
46-3			p j a ⁵⁵						
127-3			tʃ ɛ ʔ ⁵⁵						
192-3			k j a̱ ʔ ⁵⁵						
126-3			tʃ a ʔ ³¹						
656-3			v a m ³⁵						
546-3			tʃʰ ɔ̃ ⁵⁵						
473-3			n ɛ̃ ⁵⁵						
3-3			p a ³⁵						
608-3			n ɛ̃ ⁵⁵						
210-3			j a ʔ ³¹						
868-3			x a ³¹						
166-3			k j a k ³¹						
48-3			p a ŋ ⁵⁵						
270-3			kʰ j ɔ̃ ⁵⁵						
379-3			l a ŋ ³¹						
55-3			p a p ³¹						
665-4				ŋ ɔ̱ː ³³					
495-4				n j uː ŋ ³¹					
838-4				n ə p ⁵⁵					
438-4				l j aː ŋ ³¹					
334-4				l o ʔ ⁵⁵					
360-4				l ə̱ ⁵⁵					
394-4				m j iː ³¹					
221-4				j p ⁵⁵					
202-4				k j aːu ³¹					
935-4				p ⁵⁵					
93-4				tsʰ a̱ ŋ ⁵⁵					
7-4				p aː n ⁵⁵					
664-4				v aː ŋ ³¹					
246-4				k ɔ̱ː ʔ ⁵⁵					
547-4				p ə k ⁵⁵					
555-4				j ə̱ p ³¹					
464-4				p j aːu ³¹					
119-4				p aː ŋ ³³					
835-4				n ɛ̱ p ⁵⁵					
79-4				t ɔː ³³					
693-4				ŋ j aːu ³¹					
477-4				n aː p ³¹					
891-4				t ə ŋ ⁵⁵					
528-4				j uː ³¹					
797-4				k j uː ʔ ⁵⁵					
493-4				n ə k ⁵⁵					
217-4				j a̱ p ⁵⁵					
896-4				ts ɔ̱ː t ⁵⁵					
452-4				m j uː p ³¹					
580-4				p ɔ̱ː t ⁵⁵					
833-4				n ɔ̱ː ŋ ³³					
390-4				p aː ŋ ⁵⁵					
696-4				ŋ aːu ³¹					
86-4				t o̱u ŋ ³³					
384-4				kʰ a ŋ ⁵⁵					
61-4				tʃ a̱ ŋ ³³					
536-4				ʃ o ʔ ⁵⁵					
731-4				p aː ³³					
779-4				ʃ ɔ̱ː ³³					
589-4				tʰ a ŋ ⁵⁵					
680-4				ŋ ɔ̱ː ʔ ⁵⁵					
658-4				v aː p ³¹					
456-4				kʰ j aː ŋ ⁵⁵					
183-4				k j ɔː ³³					
785-4				kʰ o ⁵⁵					
714-4				ə̱ n ³³					
331-4				l ɔː ⁵⁵					
206-4				j ɔː ³³					
930-4				ŋ ɛ̱ p ⁵⁵					
353-4				l ə̱ ³³					
161-4				p aː ŋ ³¹					
814-4				k o̱u ⁵⁵					
179-4				k j aː k ³¹					
194-4				j ɔː ⁵⁵					
727-4				ʃ aː ŋ ³³					
260-4				t i p ⁵⁵					
144-4				tʃ a̱ ŋ ³³					
53-4				p ɛ̱ t ³¹					
59-4				t o ʔ ³¹					
506-4				p ə k ⁵⁵					
29-4				p ə k ³¹					
316-4				tʰ ɔ̱ː ʔ ⁵⁵					
389-4				p j aː ŋ ³¹					
118-4				p ɔ̱ː ŋ ³¹					
312-4				kʰ uː ⁵⁵					
490-4				n ɛː ŋ ³¹					
436-4				m j aː ŋ ³¹					
927-4				ŋ a̱ ŋ ³³					
383-4				p ɔ̱ː ʔ ³¹					
211-4				j aː m ³³					
873-4				kʰ a ŋ ³³					
371-4				l ə ŋ ⁵⁵					
877-4				tʃ o ⁵⁵					
344-4				l a̱ m ³³					
666-4				ŋ o ⁵⁵					
595-4				tʰ aː ŋ ⁵⁵					
660-4				o p ⁵⁵					
642-4				tʃ a ŋ ⁵⁵					
257-4				kʰ j aː t ⁵⁵					
167-4				k j ɔː ⁵⁵					
880-4				t ɛ̱ p ⁵⁵					
337-4				v o ³¹					
484-4				n aː ŋ ³¹					
574-4				tʃ u p ³³					
718-4				p aː n ⁵⁵					
811-4				k j ɔː ³³					
458-4				tʰ j uː ŋ ⁵⁵					
884-4				t o ⁵⁵					
499-4				n aː ³¹					
706-4				ʃ ɔ̱ː ³³					
920-4				j uː ŋ ⁵⁵					
36-4				p j aː ŋ ³¹					
12-4				p i ³¹					
350-4				l aː ŋ ⁵⁵					
4-4				p aː n ³¹					
342-4				j uː ʔ ³¹					
280-4				t j ə̱ k ⁵⁵					
638-4				tsʰ aː p ⁵⁵					
729-4				p j i̱ː ³³					
72-4				t aː ŋ ⁵⁵					
612-4				tʰ aː ŋ ⁵⁵					
459-4				m j ə ŋ ³¹					
569-4				ʃ aːu ⁵⁵					
283-4				t j aːu ⁵⁵					
501-4				p aː ŋ ³³					
148-4				k a n ⁵⁵					
220-4				j aː ŋ ⁵⁵					
233-4				j ou t ⁵⁵					
562-4				p ə ŋ ⁵⁵					
386-4				m a t ³¹					
684-4				tʃ aː p ⁵⁵					
804-4				pʰ j uː ŋ ⁵⁵					
618-4				tsʰ ou ³³					
565-4				ʃ ɔː ³³					
468-4				n ə ʔ ⁵⁵					
369-4				l ɔː k ⁵⁵					
125-4				t j ³³					
314-4				kʰ j ɔː ³³					
776-4				ʃ ou t ⁵⁵					
170-4				k j aː ŋ ⁵⁵					
823-4				l ɛ̱ p ⁵⁵					
471-4				tʃ aː ŋ ⁵⁵					
249-4				kʰ a̱ m ⁵⁵					
367-4				l ɛ̱ː ⁵⁵					
414-4				n j iː ³¹					
503-4				p ɔ̱ː ³³					
40-4				p j ə ŋ ⁵⁵					
647-4				tsʰ j iː ⁵⁵					
105-4				t iː ⁵⁵					
393-4				m a ŋ ⁵⁵					
141-4				k ə̱ ³³					
272-4				kʰ j a ŋ ⁵⁵					
463-4				p j aːu ³¹					
1-4				p ɔː ³³					
349-4				l a ŋ ⁵⁵					
214-4				j aː m ⁵⁵					
841-4				n o̱u t ⁵⁵					
123-4				t uː ³³					
646-4				tsʰ ɛː ⁵⁵					
433-4				t j ŋ ³³					
512-4				p ə k ⁵⁵					
518-4				p j aː p ³¹					
878-4				t ɔ̱ː ³³					
849-4				p aː t ⁵⁵					
524-4				p j uː k ⁵⁵					
90-4				t ɔ̱ː ŋ ³³					
541-4				j ə ŋ ⁵⁵					
933-4				tʃ j o̱u ³³					
668-4				ŋ ə̱ ³³					
164-4				k a ŋ ⁵⁵					
686-4				ŋ a̱ p ⁵⁵					
467-4				n ɔ̱ː ³³					
201-4				k j uː p ⁵⁵					
784-4				j o̱ ³³					
487-4				n ə̱ ŋ ³³					
504-4				pʰ aː t ⁵⁵					
49-4				p aː ³³					
822-4				l ɔ̱ː ʔ ⁵⁵					
52-4				p aː ³³					
281-4				t j aːu ³¹					
46-4				p j aː ŋ ³¹					
377-4				l ɛ̱ p ⁵⁵					
127-4				tʃ ɛː p ⁵⁵					
67-4				tʃ a̱ p ⁵⁵					
192-4				k j o̱ ʔ ⁵⁵					
126-4				tʃ ɔ̱ː ʔ ⁵⁵					
656-4				v a̱ m ⁵⁵					
546-4				ʃ aː ŋ ³³					
635-4				tʃ j ɛ̱ ʔ ⁵⁵					
473-4				n a̱ m ³³					
3-4				p ɔː ⁵⁵					
98-4				ʃ o ⁵⁵					
608-4				tsʰ a̱ p ⁵⁵					
210-4				j ɔ p ⁵⁵					
140-4				k j iː ³¹					
868-4				ʃ ɔː ⁵⁵					
520-4				p j o̱u ³³					
48-4				p ə ŋ ³³					
270-4				kʰ j aː ŋ ³³					
379-4				l ɔ̱ː ŋ ³³					
665-5					ŋ ɔ ³¹				
495-5					n u̱ ⁵⁵				
838-5					n ɔ ³⁵				
438-5					l ɔ ʔ ³¹				
334-5					l ɔ ʔ ³¹				
360-5					l ai ³⁵				
394-5					m j a k ³¹				
221-5					j u̱ p ⁵⁵				
202-5					k u̱ k ⁵⁵				
935-5					a ³⁵				
93-5					ts a ŋ ⁵⁵				
7-5					p ɛ̃ ³⁵				
664-5					v ɔ̃ ³¹				
246-5					k ɔ̱ ʔ ⁵⁵				
547-5					k a̱ k ⁵⁵				
555-5					j ɔ̱ ³¹				
464-5					m u̱ k ³¹				
119-5					ts ɔ̱ ⁵⁵				
835-5					n ɛ̱ ʔ ⁵⁵				
79-5					t ɔ ³⁵				
693-5					ŋ u̱ k ³¹				
477-5					n j ɛ ʔ ³¹				
891-5					t a ŋ ⁵⁵				
528-5					j ɔ ³¹				
797-5					k j u̱ ʔ ⁵⁵				
493-5					n a k ³¹				
217-5					j ɔ̃ ʔ ³¹				
896-5					ts ɔ̱ t ⁵⁵				
452-5					m j u k ³¹				
580-5					kʰ ɔ̱ ʔ ³¹				
833-5					n ɔ̱ ³¹				
390-5					m ɔ̃ ³⁵				
696-5					ŋ a ³¹				
86-5					t u̱ ŋ ³¹				
384-5					kʰ ɛ̃ ⁵⁵				
61-5					tʃ ɛ̃ ³¹				
536-5					k ɔ̱ ʔ ⁵⁵				
731-5					ʃ a̱i ³⁵				
779-5					ʃ ɔ̱ ³¹				
589-5					tʰ a ŋ ³⁵				
680-5					ŋ ɔ̱ ʔ ³¹				
658-5					v ɛ̃ ³¹				
456-5					kʰ j ɔ̃ ³⁵				
785-5					kʰ ɔ ³⁵				
714-5					u̱ ³¹				
331-5					l ɔ ³⁵				
206-5					j ɔ ³¹				
930-5					ŋ ɔ̱̃ ʔ ³¹				
353-5					l ai ³¹				
161-5					p ɔ̃ ³¹				
814-5					k u k ⁵⁵				
194-5					j ɔ ʔ ³¹				
727-5					ʃ ɔ̃ ³¹				
260-5					ts j ɛ ʔ ⁵⁵				
144-5					k a ŋ ³¹				
53-5					p ɛ̱ m ³¹				
59-5					a ɔ ʔ ³¹				
506-5					p a k ⁵⁵				
29-5					p a k ³¹				
316-5					tʰ ɔ ʔ ⁵⁵				
389-5					m j ɔ̃ ³¹				
118-5					m ɔ ⁵⁵				
312-5					kʰ ɔ ³⁵				
490-5					n ai ⁵⁵				
436-5					m j ɔ ³⁵				
927-5					n ɛ̃ ³¹				
383-5					m ɔ ʔ ³¹				
211-5					j ɛ̃ ³¹				
873-5					x a̱ ŋ ³¹				
371-5					l a ŋ ³⁵				
877-5					k ɛ̱ ⁵⁵				
344-5					l ɛ̃ ³¹				
595-5					tʰ ɔ ŋ ⁵⁵				
660-5					v a ʔ ³¹				
642-5					tʃ ɔ̃ ⁵⁵				
257-5					ts a m ³¹				
167-5					k j ɔ ³⁵				
880-5					t ɔ̱ ʔ ⁵⁵				
337-5					v ɔ ³¹				
484-5					n ɔ̃ ³¹				
718-5					ʃ ɛ̱ ʔ ⁵⁵				
458-5					tʰ u ŋ ³⁵				
884-5					t ɔ ⁵⁵				
205-5					k u̱ ʔ ³¹				
499-5					n ai ³¹				
706-5					ʃ ɔ ³¹				
920-5					u ŋ ³⁵				
36-5					p j ɔ̃ ⁵⁵				
12-5					p j i k ³¹				
350-5					l ɔ̃ ⁵⁵				
4-5					p ɛ̃ ³¹				
342-5					v a ʔ ³¹				
280-5					ts u̱ k ⁵⁵				
638-5					tʃʰ ɛ ʔ ⁵⁵				
729-5					ʃ i̱ ⁵⁵				
72-5					a ɔ̃ ³⁵				
612-5					tʰ ɔ ŋ ³⁵				
459-5					m j a ŋ ³¹				
569-5					k u k ³¹				
148-5					k a ʔ ³¹				
652-5					v ai ³¹				
220-5					tʃ ɔ̃ ³⁵				
233-5					j u ʔ ³¹				
562-5					p a̱ ŋ ³⁵				
31-5					p j ɔ̱ ʔ ³¹				
386-5					m a t ³¹				
684-5					tʃ j ɔ ʔ ³¹				
618-5					tʃ u k ⁵⁵				
468-5					n a ʔ ³¹				
369-5					l a k ³¹				
125-5					t u k ³¹				
314-5					p j ɔ ³¹				
776-5					ʃ u ʔ ⁵⁵				
823-5					l ɔ̱̃ ʔ ⁵⁵				
249-5					kʰ u k ⁵⁵				
