COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
383-2		m o ʔ ²¹							
211-2		j a m ⁵¹							
873-2		x i ŋ ⁵¹							
371-2		l i ŋ ⁵¹							
877-2		s e ⁵⁵							
344-2		l a̱ m ⁵¹							
666-2		ŋ o ²¹							
595-2		v a ŋ ²¹							
660-2		v u p ²¹							
642-2		tʃʰ a ŋ ⁵⁵							
257-2		kʰ j a m ⁵¹							
167-2		k j o ²¹							
880-2		t a p ²¹							
337-2		v o ⁵¹							
484-2		n a ŋ ⁵¹							
574-2		s u m ²¹							
718-2		ʃ a n ²¹							
811-2		k ui ²¹							
458-2		tʰ u ŋ ²¹							
884-2		t i ²¹							
205-2		k u ʔ ²¹							
499-2		n e ⁵¹							
706-2		a ⁵⁵							
920-2		o j ²¹							
36-2		p j a̱ ŋ ⁵¹							
665-3			ŋ a ⁵⁵						
495-3			n au ³⁵						
838-3			n a ʔ ³¹						
438-3			m a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l ɿ ³¹						
394-3			m j i ³¹						
221-3			j a̱ p ⁵⁵						
202-3			k au ³¹						
935-3			a̱u ³¹						
93-3			t ɔ̱̃ ³¹						
7-3			p ɛ̃ ³¹						
664-3			v ɔ̃ ⁵⁵						
246-3			k a̱ ʔ ⁵⁵						
547-3			s a̱ k ⁵⁵						
555-3			j a̱ m ⁵⁵						
464-3			m au ³¹						
119-3			t ɔ̆ ⁵⁵						
835-3			n ɛ̱ ʔ ⁵⁵						
79-3			t a ³¹						
693-3			ŋ au ⁵⁵						
477-3			m ɛ ʔ ³¹						
891-3			t a ŋ ³⁵						
528-3			ɣ a ⁵⁵						
797-3			k j a̱u ʔ ⁵⁵						
493-3			n a k ³¹						
217-3			j ɛ ʔ ³¹						
896-3			n a̱ t ⁵⁵						
452-3			m j au ʔ ³¹						
580-3			s au ʔ ⁵⁵						
833-3			n a̱ ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			ŋ a ⁵⁵						
86-3			t ɔ̱ ŋ ⁵⁵						
384-3			m ɔ̃ ³⁵						
61-3			t a̱ ŋ ⁵⁵						
536-3			s a̱ ʔ ⁵⁵						
779-3			ʃ ɛ ⁵⁵						
589-3			kʰ ɔ̃ ⁵⁵						
680-3			ŋ a̱ ʔ ⁵⁵						
456-3			m j ɔ̃ ³¹						
183-3			k j i ³¹						
785-3			kʰ a ³⁵						
331-3			l a̱ ³¹						
206-3			j a ⁵⁵						
930-3			ŋ ɛ̱ ʔ ⁵⁵						
353-3			l ɿ ⁵⁵						
161-3			k ɔ̃ ⁵⁵						
179-3			k j a ʔ ³¹						
194-3			ɣ a ʔ ³¹						
727-3			v ɔ̃ ⁵⁵						
260-3			kʰ j ɛ ʔ ⁵⁵						
144-3			kʰ a m ⁵⁵						
53-3			p ɛ̱ ⁵⁵						
59-3			t a ʔ ³¹						
506-3			pʰ a k ⁵⁵						
29-3			p a k ³¹						
316-3			tʰ a ʔ ⁵⁵						
312-3			kʰ a ³⁵						
436-3			m j a ³¹						
927-3			n ɔ̃ ⁵⁵						
383-3			m a ʔ ³¹						
211-3			j ɛ̃ ⁵⁵						
873-3			x a̱ ŋ ⁵⁵						
371-3			l a ŋ ³¹						
877-3			s ɛ̱ ³⁵						
344-3			l ɛ̃ ⁵⁵						
666-3			ŋ a ³¹						
595-3			v ɔ̃ ³⁵						
660-3			v ɛ ʔ ³¹						
642-3			kʰ ɔ̃ ³⁵						
257-3			kʰ j a m ⁵⁵						
167-3			k j a ³¹						
880-3			t ɛ̱ ʔ ⁵⁵						
337-3			v a ⁵⁵						
484-3			n ɔ̃ ⁵⁵						
574-3			s au ɛ̱ ³¹						
718-3			ʃ ɿ ŋ ³¹						
811-3			kʰ au ³⁵						
458-3			tʰ ɔ̃ ³¹						
884-3			t ɿ ³⁵						
205-3			k u̱ ʔ ⁵⁵						
499-3			n ɛ ⁵⁵						
706-3			ʃ ɿ ⁵⁵						
920-3			au ³¹						
36-3			p j ɔ̃ ⁵⁵						
665-4				ŋ ɔː ³¹					
495-4				n ou ⁵⁵					
838-4				n ə k ³¹					
438-4				m j əː k ³¹					
334-4				l ɔː ³¹					
360-4				l e̱i ⁵⁵					
394-4				m j i ³³					
221-4				j u̱ p ⁵⁵					
202-4				k ou ³³					
935-4				a̱ːu uː ⁵⁵					
93-4				ts a̱ ⁵⁵					
7-4				p a n ³¹					
664-4				w uː ŋ ³¹					
246-4				k a̱ː k ⁵⁵					
547-4				s ə̱ k ⁵⁵					
555-4				j ə̱ː k ⁵⁵					
464-4				m ou ³³					
119-4				pʰ j əː ŋ ⁵⁵					
835-4				n a̱ː p ⁵⁵					
79-4				t aː ³³					
693-4				ŋ j ou ³³					
477-4				n ɛ̱ ʔ ⁵⁵					
891-4				t ə ŋ ⁵⁵					
528-4				j uː ³¹					
797-4				k j u̱ ʔ ⁵⁵					
493-4				n əː k ³¹					
217-4				j a p ³¹					
896-4				tsʰ uː t ⁵⁵					
452-4				m j uː k ³¹					
580-4				s ui ⁵⁵					
833-4				n ɔ̱ː ³³					
390-4				m a ŋ ³¹					
696-4				ŋ uː ³¹					
86-4				t uː ŋ ³¹					
384-4				m a n ⁵⁵					
61-4				pʰ a ʔ ⁵⁵					
536-4				s uː k ⁵⁵					
731-4				ʃ ə̱i ³³					
779-4				ʃ ɔː ³¹					
589-4				kʰ a ŋ ⁵⁵					
680-4				ŋ ɔ ʔ ⁵⁵					
658-4				w uː m ³¹					
456-4				m j a ŋ ³¹					
183-4				k j əː ³³					
785-4				kʰ ɔː ⁵⁵					
714-4				⁵⁵					
331-4				l ɔː ⁵⁵					
206-4				j ɔː ³¹					
930-4				ŋ a̱ː p ⁵⁵					
353-4				l ɛː ³¹					
161-4				p a ŋ ³¹					
814-4				k ui ⁵⁵					
179-4				j ɔː ʔ ³¹					
194-4				j ɔː ʔ ³¹					
727-4				w a ŋ ³¹					
260-4				kʰ j a p ⁵⁵					
144-4				kʰ uː ⁵⁵					
53-4				p uː ³¹					
59-4				t ɔː ³¹					
506-4				pʰ əː k ⁵⁵					
29-4				p ə k ³¹					
316-4				tʰ j a k ⁵⁵					
389-4				m j a ŋ ³¹					
118-4				m ɔː ⁵⁵					
312-4				kʰ ɔ ⁵⁵					
490-4				n ə̱ k ⁵⁵					
436-4				m j ɔː ³¹					
927-4				ŋ a̱ n ⁵⁵					
383-4				m ɔː ³¹					
211-4				j a m ³³					
873-4				x ə ŋ ⁵⁵					
371-4				l aː ŋ ³³					
877-4				s ɛː ⁵⁵					
344-4				l a m ³³					
666-4				ŋ ɔː ³¹					
595-4				w ə̱ ŋ ⁵⁵					
660-4				j uː p ³¹					
642-4				kʰ a ŋ ⁵⁵					
257-4				kʰ j a m ³³					
167-4				k j ɔː ³³					
880-4				t a̱ː p ⁵⁵					
337-4				w ɔː ³¹					
484-4				n a ŋ ³¹					
574-4				s uː m ⁵⁵					
718-4				ʃ ə̱ ŋ ⁵⁵					
811-4				kʰ ou ⁵⁵					
458-4				tʰ ou ŋ ⁵⁵					
884-4				t ə̱ ⁵³					
499-4				n ɛ̱ ³¹					
706-4				ʃ ə̱ ⁵⁵					
920-4				uː ŋ ⁵⁵					
36-4				pʰ j a ŋ ³³					
665-5					ŋ ɔ ³¹				
495-5					ŋ u̱ ⁵⁵				
838-5					n ɔ ʔ ³¹				
438-5					m j ɔ ʔ ³¹				
334-5					l ɔ ʔ ³¹				
360-5					l i k ³¹				
394-5					m j i k ³¹				
221-5					j a̱ p ⁵⁵				
202-5					k u k ³¹				
935-5					au ³⁵				
93-5					ts a ³⁵				
7-5					p a n ³⁵				
664-5					v ɔ̃ ³¹				
246-5					kʰ j ɔ ʔ ⁵⁵				
547-5					s a k ⁵⁵				
555-5					j ɔ̱ ³¹				
464-5					m u k ³¹				
119-5					ts ɛ ⁵⁵				
835-5					n ɛ̱ ʔ ⁵⁵				
79-5					t ɔ ³⁵				
693-5					ŋ u k ³¹				
477-5					m j ɛ ʔ ³¹				
891-5					t a ŋ ⁵⁵				
528-5					ɣ ɔ ⁵⁵				
797-5					kʰ j u k ⁵⁵				
493-5					n a k ³¹				
217-5					j ɛ ʔ ³¹				
896-5					ts a̱ t ⁵⁵				
452-5					m j au k ³¹				
580-5					s ɔ̱ ʔ ⁵⁵				
833-5					n ɔ̱ ʔ ⁵⁵				
390-5					m ɔ̃ ³⁵				
696-5					ŋ ø ʔ ³¹				
86-5					t au ŋ ³¹				
384-5					m ɔ̃ ⁵⁵				
61-5					tʃʰ ɛ̃ ³¹				
536-5					s ɔ̱ ⁵⁵				
731-5					ʃ i̱ k ⁵⁵				
779-5					ʃ ɔ̱ ³¹				
589-5					kʰ ɔ̃ ³¹				
680-5					ŋ ɔ̱ ʔ ⁵⁵				
658-5					v a m ³¹				
456-5					m j ɔ̃ ³⁵				
785-5					kʰ ɔ ³⁵				
714-5					j ø ʔ ³¹				
331-5					l ɔ̱ ³⁵				
206-5					j ɔ ³¹				
930-5					ŋ ɛ̱ ʔ ⁵⁵				
353-5					l i k ³¹				
161-5					k ɔ̃ ³¹				
814-5					kʰ a ³⁵				
194-5					ɣ ɔ ʔ ³¹				
727-5					v ɔ̃ ³¹				
260-5					kʰ j ɛ ʔ ⁵⁵				
144-5					k ɛ̃ ³¹				
53-5					p a m ³¹				
59-5					t ɔ ʔ ³¹				
506-5					pʰ a k ⁵⁵				
29-5					p a k ³¹				
316-5					tʰ j ɔ ʔ ⁵⁵				
389-5					m j ɔ̃ ³¹				
118-5					m ɔ ⁵⁵				
312-5					kʰ ɔ ³⁵				
490-5					n a̱ ⁵⁵				
436-5					m j ɔ ³⁵				
927-5					ŋ a̱ ŋ ³¹				
383-5					m ɔ ʔ ³¹				
211-5					j ɛ̃ ³¹				
873-5					x a̱ ŋ ³¹				
371-5					l a ŋ ³⁵				
877-5					s ɛ̱ ⁵⁵				
344-5					l ɛ̃ ³¹				
595-5					v au k ³¹				
660-5					v ɛ ʔ ³¹				
642-5					kʰ ɔ̃ ⁵⁵				
257-5					kʰ j ɛ̃ ³¹				
167-5					k j ɔ ³⁵				
880-5					t ɛ̱ ʔ ⁵⁵				
337-5					v ɔ ³¹				
484-5					n ɔ̃ ³¹				
718-5					ʃ a n ³⁵				
458-5					tʰ ɔ̃ ³⁵				
884-5					t a ⁵⁵				
205-5					k au k ³¹				
499-5					n ɛ ³¹				
706-5					ʃ a ³¹				
920-5					ɔ ɔ̃ ³⁵				
36-5					p j ɔ̃ ³¹				
665-6						ŋ a			
495-6						n ui̯ ʔ			
838-6						nʰ a m ⁵			
438-6						m a k			
334-6						l a k			
360-6						l i j ⁵			
394-6						m i ⁵			
221-6						j u p			
202-6						k ui̯ ⁵			
935-6						ui̯ ⁵			
93-6						c a ⁵			
7-6						p a n ⁵			
664-6						w a ŋ			
246-6						kʰ a k			
547-6						r ʊ k			
555-6						j u m			
464-6						m ui̯ ⁵			
119-6						c a ɲ ʔ			
835-6						nʰ a p			
79-6						t a ⁵			
693-6						ŋ ui̯			
477-6						m a t			
891-6						tʰ a ɲ ʔ			
528-6						r a			
797-6						kʰ j u k			
493-6						n a k			
217-6						j a p			
896-6						tʃʰ u t			
452-6						m j ɔ k			
580-6						kʰ a t			
833-6						nʰ a ɲ ⁵			
390-6						m a ŋ ⁵			
696-6						ŋ u			
86-6						t u ŋ			
731-6						s i j ⁵			
680-6						ŋ a k			
658-6						w a m			
183-6						k r i ⁵			
714-6						ui̯			
206-6						j a ʔ			
353-6						l ai			
814-6						kʰ u j ⁵			
179-6						k r a k			
29-6						p a k			
389-6						m j a ŋ			
118-6						m a ʔ			
490-6						n i j ʔ			
436-6						m j a ⁵			
383-6						m a k			
873-6						rʰ a ɲ			
371-6						l a ɲ ⁵			
666-6						ŋ a ⁵			
337-6						w a			
484-6						n a ŋ			
574-6						r u m ⁵			
811-6						kʰ ui̯ ⁵			
205-6						k u			
665-7							ŋ a ¹		
495-7							n u ³		
838-7							ˀn a k ⁴		
438-7							m a ³		
334-7							l a k ⁴		
360-7							ˀl ai ²		
394-7							m j i ²		
221-7							ˀj i p ⁴		
202-7							g u ²		
935-7							u ²		
93-7							dz a ²		
7-7							b a n ²		
664-7							w a ŋ ¹		
246-7							ˀk a k ⁴		
547-7							s i k ⁴		
555-7							i a m ¹		
464-7							m u ²		
119-7							dz a ŋ ³		
835-7							ˀn a p ⁴		
79-7							d a ²		
693-7							ŋ u ¹		
477-7							n a t ⁴		
891-7							ˀt i ŋ ³		
528-7							r a ³		
797-7							ˀk r u k ⁴		
493-7							n i k ⁴		
217-7							j a p ⁴		
896-7							dz a t ⁴		
452-7							m j u k ⁴		
580-7							ˀm u k ⁴		
833-7							ˀn a ŋ ¹		
390-7							m a ŋ ²		
696-7							ŋ ʊ ¹		
86-7							d u ŋ ¹		
384-7							m a n ³		
61-7							dz a n ²		
536-7							s a k ⁴		
731-7							ʃ ai ²		
779-7							ʃ a ¹		
589-7							t a ŋ ³		
680-7							ˀŋ a k ⁴		
658-7							w a m ¹		
456-7							m j a ŋ ²		
183-7							g r e ²		
785-7							k a ²		
714-7							ʊ ¹		
331-7							dz a ²		
206-7							j a ³		
930-7							n a t ⁴		
353-7							l ai ¹		
161-7							b a ŋ ¹		
814-7							ˀk ui ²		
179-7							g r a k ⁴		
194-7							r a k ⁴		
727-7							w a ŋ ¹		
260-7							k j a p ⁴		
144-7							g a m ¹		
53-7							b a m ¹		
59-7							d a k ⁴		
506-7							p i k ⁴		
29-7							b i k ⁴		
316-7							t a k ⁴		
389-7							m r a ŋ ¹		
118-7							m a ³		
312-7							k a ²		
490-7							n i ³		
436-7							m j a ²		
927-7							ˀn a n ¹		
383-7							m a k ⁴		
211-7							j a m ³		
873-7							ˀr i ŋ ¹		
371-7							l i ŋ ²		
877-7							s ɛ ³		
344-7							l a m ¹		
666-7							ŋ a ²		
595-7							w a ŋ ²		
660-7							w a t ⁴		
642-7							tʃ a ŋ ³		
257-7							k j a m ¹		
167-7							g j a ²		
880-7							ˀtʃ a p ⁴		
337-7							w a ¹		
484-7							n a ŋ ¹		
574-7							ˀs u m ²		
718-7							ʃ i ŋ ²		
811-7							ˀk u ²		
458-7							t r ʊ ŋ ²		
884-7							dʒ i ³		
205-7							g u k ⁴		
499-7							n ɛ ¹		
706-7							ʃ a ¹		
920-7							u r ²		
36-7							b j a ŋ ²		
665-8								ŋ ɑ ⁵⁵	
495-8								n o ⁵³	
838-8								n̥ ɑ ʔ ⁴	
438-8								m ɑ ⁵⁵	
334-8								l ɑ ʔ ⁴	
360-8								l e ⁵⁵	
394-8								m j e ²²	
221-8								j u p ⁴	
202-8								tɕ o ⁵⁵	
935-8								o ⁵⁵	
93-8								t ɑ ⁵⁵	
7-8								p ɑ̃ ⁵⁵	
664-8								w ĩ ²²	
246-8								tɕʰ ɑ ʔ ⁴	
547-8								s õ ⁵⁵	
555-8								p j u ²²	
464-8								m o ⁵⁵	
119-8								tɕ ĩ ⁵⁵	
835-8								n̥ õ ⁵⁵	
79-8								t ɛ ⁵⁵	
693-8								ŋ o ²²	
477-8								m j i ²²	
891-8								tʰ ɑ̃ ⁵⁵	
528-8								w ɛ ʔ ⁴	
797-8								tɕʰ o ʔ ⁴	
493-8								n ɛ ʔ ⁴	
217-8								j ɛ ʔ ⁴	
896-8								sʰ o ʔ ⁴	
452-8								m j ɑu ʔ ⁴	
580-8								tɕʰ ɑ̃ ²²	
833-8								n̥ ɑ ʔ ⁴	
390-8								m ɑ̃u ⁵⁵	
696-8								ŋ u ²²	
86-8								tɕʰ ũ ²²	
384-8								m ĩ ⁵⁵	
61-8								tɕ ɑ ⁵⁵	
536-8								s ɑ ʔ ⁴	
731-8								t θ e ⁵⁵	
779-8								ɕ ɑ ⁵⁵	
589-8								d ɔ ²²	
680-8								ŋ ɑ ʔ ⁴	
658-8								w ɑ ʔ ⁴	
456-8								m j ĩ ⁵⁵	
183-8								tɕ w i ⁵⁵	
785-8								kʰ ɑ ⁵⁵	
714-8								w ɛ ʔ ⁴	
331-8								l ɑ ⁵⁵	
206-8								j ɑ ²²	
930-8								h ɑ ʔ ⁴	
353-8								l e ²²	
161-8								k u ²²	
814-8								tɕʰ ɛ ⁵⁵	
179-8								tɕ w ɑ ʔ ⁴	
194-8								w ɛ ʔ ⁴	
727-8								w ĩ ²²	
260-8								tɕʰ ɑ ʔ ⁴	
144-8								tɕ ɑ ⁵⁵	
53-8								p u ⁵⁵	
59-8								t ɛ ʔ ⁴	
506-8								pʰ e ²²	
316-8								d tɕʰ ⁵⁵	
389-8								m ɑ̃u ⁵⁵	
118-8								m ɑ ⁵³	
312-8								kʰ ɛ ⁵⁵	
490-8								n ɛ ⁵³	
436-8								m j ɑ ⁵⁵	
927-8								ɑ̃ ⁵⁵	
211-8								j ɑ ʔ ⁴	
371-8								l ẽ ⁵⁵	
877-8								t i ⁵⁵	
344-8								l ɑ ʔ ⁴	
666-8								ŋ ɑ ⁵⁵	
595-8								w ĩ ⁵⁵	
660-8								w ɛ ʔ ⁴	
642-8								tɕʰ ĩ ⁵⁵	
257-8								tɕʰ ɑ ⁵⁵	
167-8								tɕ ɑ ⁵⁵	
880-8								tʰ ɑ ʔ ⁴	
337-8								w ɑ ²²	
574-8								s u m ⁵⁵	
718-8								t õ ⁵⁵	
811-8								tɕʰ o ⁵⁵	
458-8								d u ŋ ⁵⁵	
884-8								tʰ e ʔ ⁴	
205-8								tɕ ⁵⁵	
499-8								n ɛ ⁵⁵	
706-8								ɕ ɑ ⁵⁵	
920-8								ɑ ⁵⁵	
36-8								p j u ²²	
665-9									ɲ ɔ ⁵⁵
495-9									n au ³⁵
838-9									n̥ ɔ ʔ ⁵⁵
438-9									m ʐ a ³⁵
334-9									l ɔ ʔ ⁵⁵
360-9									l i ³¹
394-9									m j i ³¹
221-9									j u p ⁵⁵
202-9									k au ³¹
935-9									au ³¹
93-9									t a ³¹
7-9									p j ɔ n ³¹
664-9									ui ³¹
246-9									x o ʔ ⁵⁵
547-9									s a ʔ ⁵⁵
555-9									ɲ̊ u m ⁵⁵
464-9									m au ³¹
119-9									t ɛ ŋ ⁵⁵
835-9									n̥ a p ⁵⁵
79-9									tʰ ɔ ³¹
693-9									ɲ au ⁵⁵
477-9									m ɛ ʔ ⁵⁵
891-9									tʰ ɤ ŋ ³⁵
528-9									ʐ o ⁵⁵
797-9									m u ʔ ⁵⁵
493-9									n ɯ k ⁵⁵
217-9									j a p ⁵⁵
896-9									s u t ⁵⁵
452-9									m j u ʔ ⁵⁵
580-9									x u t ⁵⁵
833-9									n̥ o ³¹
390-9									m ɔ ŋ ³¹
696-9									ɲ u ⁵⁵
86-9									t u ŋ ⁵⁵
384-9									m a n ³⁵
61-9									ʈʂʰ a n ⁵⁵
536-9									s u ʔ ⁵⁵
731-9									s ɿ ³¹
779-9									ç ɔ ³¹
589-9									tʰ ɔ ŋ ⁵⁵
680-9									ɲ u ʔ ⁵⁵
658-9									ui m ⁵⁵
456-9									m ʐ a ŋ ⁵⁵
183-9									k ʐ i ³¹
785-9									kʰ ɔ ³¹
714-9									u ⁵⁵
331-9									c ɔ ³¹
206-9									j ɔ ³¹
930-9									n̥ a p ⁵⁵
353-9									l ⁵⁵
161-9									k ɔ ŋ ⁵⁵
814-9									x ui ³¹
179-9									k ʐ a ³⁵
194-9									ʐ ɔ ʔ ⁵⁵
727-9									ui ³¹
260-9									kʰ j a p ⁵⁵
144-9									k ʈʂʰ ⁵⁵
53-9									p u m ⁵⁵
59-9									t ɔ ʔ ⁵⁵
506-9									pʰ ɛ ʔ ⁵⁵
29-9									p ɯ t ⁵⁵
316-9									tʰ ɔ ʔ ⁵⁵
389-9									m ʐ a ŋ ⁵⁵
118-9									m ɔ ʔ ⁵⁵
312-9									tʃʰ o ³¹
490-9									n i ³¹
927-9									n̥ a n ⁵⁵
383-9									m ɔ ʔ ⁵⁵
211-9									j a m ⁵⁵
873-9									s a ŋ ⁵⁵
371-9									l ɤ ŋ ³¹
877-9									s ɛ ³¹
344-9									l a m ⁵⁵
666-9									ɲ ɔ ³¹
595-9									ui tʰ ³¹
660-9									o p ⁵⁵
642-9									kʰ ɔ ŋ ³¹
257-9									kʰ ʐ a ŋ ⁵⁵
167-9									k ʐ ɔ ³¹
880-9									tʰ a p ⁵⁵
337-9									ui ⁵⁵
484-9									n ɔ ŋ ⁵⁵
574-9									s u m ³¹
718-9									p ɯ n ³¹
811-9									tʃʰ au ³¹
458-9									tʰ ɔ ŋ ³¹
884-9									tʰ i ³¹
205-9									k u ʔ ⁵⁵
499-9									n ɛ ⁵⁵
706-9									ʂ ɔ ³¹
920-9									ɔ ŋ ³¹
36-9									pʰ ʐ a ŋ ⁵⁵
