COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
422	tɕ i ³⁵	tɕʰ i ⁵⁵	tɕ j ɯ ²⁴	tɕ i ²²	tɕ i ⁵⁵		tɕ i ⁵⁵	tɕ ɯ ¹	tɕ j ɯ ⁵⁵	
423	kʰ a ⁴⁴	qʰ o ⁴⁴	qʰ a ⁵⁵	qʰ a ⁵⁵	qʰ a ⁴⁴		kʰ a ⁴⁴		qʰ ɔ ⁴²	
441	p i ²¹					p i ə ²¹	p i ²¹	b r i ²		p i ²¹
442		tɕ ɥ i ²¹			tɕ ɥ ẽ ²¹					
452	k ə˞ ⁴⁴	q a ⁴²	q æ ⁵⁵	q æ ²⁴	q a ⁵⁵	k a ⁴⁴	k ə˞ ⁴⁴	q æ ⁴	q a ⁴²	k ɛ ⁵⁵
463	kʰ a ⁴⁴	qʰ o ⁴⁴	qʰ a ⁵⁵	qʰ a ²⁴	qʰ a ⁵⁵	kʰ ɑ ⁴⁴	kʰ ɐ ⁴⁴	qʰ a ⁴	qʰ ɔ ⁴²	kʰ a ⁴⁴
479			t j o ²¹	dz o ŋ ¹²				d r o ŋ ¹	d j o ŋ ³⁵	
477		tɕʰ u ⁴²			tɕʰ u ⁴²	ts õ ²¹				ts o ²¹
492							pʰ e n ⁵⁵	pʰ j u ŋ ¹		
490	f ʯ̃ ⁵⁵		f o ²⁴	pf u ŋ ⁵⁵		f ʯ̃ ⁵⁵			f ə̃˞ ⁵⁵	f ʯ ⁵⁵
491		x õ ⁵⁵			x õ ⁵⁵					
501	f o ⁴⁴	x u ⁴⁴	f o ²⁴			f ʯ ⁴⁴		p j u ⁴	f ə˞ ⁴²	f ʯ ⁴⁴
502				ʐ i ²¹	ʐ ə˞ ⁴²					
512	t ou ⁴²	d o ⁴²	d a ⁴³	d a ⁴²	d o ⁴²	t ou ⁴²	d o ⁴²	d ɔ ⁵	d ɔ ²¹	t o ⁴²
523	f ʯ ⁴²		f o ²¹	b v u ²¹		f ʯ ⁴²	pʰ əɯ ⁴²	b j o ⁴	v ə˞ ⁴²	
524		u ⁴²			u ²¹					ʯ ⁴²
534	ts ou ³³	ts u ⁴⁴	ts u ⁵⁵	ts u ²⁴	ts o ⁵⁵	ts ou ⁴⁴	ts o ⁴⁴	ts o ⁴	ts u ⁴²	ts ou ⁴⁴
545	kʰ o ³³					kʰ ʯ ³¹		kʰ r o ³		kʰ ʯ ³³
546		tsʰ ɛ ⁴⁴		ʈʂʰ i ⁴²	tɕʰ ə˞ ⁴²		tɕʰ u ²¹		ʈʂʰ ə˞ ²¹	
556	kʰ u ³³	qʰ u ²²	qʰ u ²²	qʰ m u ²²	qʰ u ²²	qʰ u ²²	kʰ u ³³	qʰ u ²	qʰ o ³³	kʰ u ³¹
568	x ɯ ⁴⁴	x ɯ ⁴⁴	χ ɯ ⁵⁵	χ e ²⁴	x ɯ ⁵⁵	x ɯ ⁴⁴	x ɯ ⁴⁴	χ ɯ ⁴	x ə˞ ⁴²	x ɯ ⁴⁴
579		pʰ ɯ ⁵⁵	pʰ ɯ ²⁴	pʰ ɯ ⁵⁵	pʰ ɯ ⁵⁵		pʰ əɯ ⁵⁵	pʰ ɯ ¹	pʰ ɯ ⁵⁵	
588	sʰ w a ⁴⁴	s w a ⁴⁴	s w a ⁵⁵	s w a ²⁴	s w a ⁵⁵	s u ɑ ⁴⁴	s w a ⁴⁴	sʰ w a ⁴	s w ɔ ⁴²	s w a ⁴⁴
599	pʰ u ⁵⁵	pʰ ɯ ⁵⁵	pʰ ɯ ²⁴	p u ⁵⁵	pʰ ɯ ⁵⁵	pʰ ɯ ⁵⁵	pʰ əɯ ⁵⁵	pʰ ɯ ¹	pʰ ɯ ⁵⁵	pʰ əɯ ⁵⁵
610	j e n ²¹			j e n ¹²		j e n ²¹	j e n ²¹	j e n ¹	j e n ³⁵	j e ²¹
611		ɲ a ²¹	ɲ j a ²¹		ɲ ə˞ ²¹					
621	k w a ⁴⁴	q w a ⁴⁴	q w a ⁵⁵	q w a ²⁴	q w a ⁵⁵	k u ɑ ⁴⁴	k w a ⁴⁴	q w a ⁴		k w a ⁴⁴
632	n õ ³³	n õ ²²	n o ²²	n o ŋ ²²	n õ ²²	n õ ³³	n ə̃˞ ²²	n o ²	n ʯ ³³	
645	p a ⁴²	p a ⁴²	p a ²¹	b a ²¹	p a ⁴²	p ɑ ⁴²		b a ⁴	b o ⁴²	p a ⁴²
656	k u ²¹	k ʯ ²¹	k u ²¹	g u ¹²	k ʯ ²¹	k w o ²¹	k ʯ ²¹	g u ¹	g ʯ ³⁵	k u ²¹
669				j o ŋ ⁵⁵		j õ ⁵⁵	j o ŋ ⁵⁵		j ʯ ŋ ⁵⁵	
668			tʰ i ²²	tʰ i ²²		tʰ i ³³	tʰ ɛ ³³		tʰ i ³³	
678	k o ²¹	k ʯ ²¹	k u ²¹	g ao ¹²	k ʯ ²¹	k ʯ ²¹	k ʯ ²¹	g o ¹	g ʯ ³⁵	k ʯ ²¹
689	m ə˞ ⁴²	m a ⁴²	m æ ⁴³	m æ ⁴²	m a ⁴²	m a ⁴²	m ə˞ ²¹	m æ ⁵	m a ²¹	m ɛ ⁴²
700	m e ⁴²	m ɛ ⁴²	m ɛ ⁴³	m e n ⁴²	m e ⁴²	m e ⁴²	m e ²¹	m ɛ ⁵	m ɛ ²¹	m e ²¹
711	j ə˞ ³¹						p j ɛ̃ ⁴²	b j o ²		j ɛ ²¹
712		v ɛ ²²			v e ²²				v ə˞ ³³	
723		x w a ⁵⁵	x w æ ⁵⁵	x w a ⁵⁵	x w a ⁵⁵			x w a ¹		
724		l o ²¹	l o ²¹	l ao ²¹	l o ²¹				l ɔ ³⁵	
721	a ŋ ⁵⁵					ɑ̃ ⁰	a ⁵⁵			a ⁵⁵
722	n i ⁵⁵					n i ⁵⁵	n i ⁵⁵			
742	k ə˞ ⁴⁴	k a ⁴⁴	k æ ⁵⁵	k æ ²⁴	k a ⁵⁵	k a ⁴⁴	k ə˞ ⁴⁴	k æ ⁴		k ɛ ⁴⁴
752	ŋ ə ²¹	ŋ ɯ ²¹	ŋ ɯ ²¹	ŋ e ¹²		ŋ ə ²¹	ŋ əɯ ²¹	ŋ ɯ ¹	ŋ e ³⁵	ŋ ɯ ²¹
763	ʈʂ o ŋ ⁵⁵		tʰ j o ²⁴	tsʰ o ŋ ⁵⁵	ʈ õ ⁵⁵	tsʰ õ ⁵⁵	tsʰ o ŋ ⁵⁵	tʰ r o ŋ ¹	tʰ j o ŋ ⁵⁵	tsʰ o ⁵⁵
775	p j e n ⁴²	p ɛ ⁴²	p ɛ ⁴³	tɕ ɥ e n ⁴²	p e ⁴²	p j e n ⁴²	p j ɛ ⁴²	p r e n ⁵	tɕ ɥ e n ²¹	p i ⁴²
786	k e ³⁵	q ɛ ⁵⁵	q ɛ ²⁴	q ɛ ⁵⁵	q ɛ̃ ⁵⁵	k i ⁵⁵	k e ⁵⁵	q ɛ ¹	q ɛ ⁵⁵	k e ³⁵
799		ts y ⁴²	ts u ²¹	dz u ²¹	ts ʯ ²¹	ts ou ⁴²	tsʰ o ⁴²	dz o ⁴	z u ⁴²	ts u ⁴²
809	pʰ ou ³¹	pʰ o ⁴²	pʰ o ⁴³	pʰ a ⁴²	pʰ o ⁴²	pʰ ou ³¹		pʰ ɔ ³	pʰ ɔ ²¹	pʰ o ⁴²
820	ʈʂ o ³¹	tɕ i u ⁴²	ɖʐ o ⁴²	ɖʐ ao ⁴²	tɕ i u ⁴²	ts ʯ̃ ⁴²	ts əɯ ²¹	ɖʐ o ³	ʐ ʯ ²¹	ts ʯ ³¹
907		n õ ²¹	n o ²¹	n õ ¹²	n õ ²¹		n o ŋ ²¹	n o ŋ ¹	n o ŋ ³⁵	ɲ o ²¹
833							b i ³³		v ə˞ ³³	
831	j ə˞ ⁴²		j æ ⁴³	j æ n ⁴²						
839	t i ə ²¹	tɕ i ²¹	d j ɯ ²¹	d i ¹²	ʈ ɯ ²¹	t ə ²¹	t əɯ ²¹	d j ɯ ¹	d j ɯ ³⁵	t ɯ ²¹
840		ts u ⁴⁴			ts o ⁴⁴					
853	kʰ o ŋ ⁵⁵	kʰ o ⁵⁵	kʰ o ²⁴	kʰ o ŋ ⁵⁵	kʰ õ ⁵⁵	kʰ õ ⁵⁵		kʰ o ŋ ¹	kʰ o ŋ ⁵⁵	kʰ ou ⁵⁵
863	kʰ u ³³	qʰ o ²²	qʰ o ²²	qʰ o ²²	qʰ o ²²	kʰ ou ³³	kʰ o ³³	qʰ ɔ ²	qʰ ɔ ³³	kʰ w o ³³
874	tsʰ w a ³³					tsʰ u ɑ ⁴⁴		tsʰ w a ⁴	tsʰ w o ⁴²	
875		q ɛ ⁵⁵	q ɛ ²⁴		q ẽ ⁵⁵		k eɯ ⁴⁴			
886		z ɛ ²¹	z ɿ ²¹	z j e n ¹²	z ẽ ²¹			z e n ¹	z i ³⁵	
885	pʰ a ²¹					pʰ a ³¹				pʰ e ²¹
896	k ə˞ ³⁵	q a ⁵⁵	q æ ²⁴	q a n ⁵⁵	q o ⁵⁵	k ɛ̃ ⁵⁵	k ə̃˞ ⁵⁵	q æ n ¹	q a ŋ ⁵⁵	k ɛ ⁵⁵
916	ʈʂ õ		t j o ²⁴	ts o ŋ ¹²	ʈ õ ⁵⁵	ts õ ⁵⁵	ts o ŋ ⁵⁵	ʈ o ŋ ¹	t j o ŋ ⁵⁵	ts ou ³⁵
929	ʈʂ ɯ ³¹	dʑ i ⁴²	d j ɯ ⁴³	ɖʐ i ⁴²	ɖ ɯ ⁴²	ts ɯ ³¹	dz əɯ ²¹	d r ɯ ³	d j ɯ ²¹	ts ɯ ³¹
940		n õ ⁴²	n o ⁴²	ɲ o ⁴³	n õ ⁴²		n o ŋ ²¹	n o ŋ ³		ɲ o ²¹
949	pʰ j ə˞ ⁵⁵		pʰ j æ ²⁴			pʰ j ɛ ⁵⁵		pʰ r æ ¹		pʰ j ɛ ⁵⁵
950		tɕ y a ⁵⁵		ʈʂ w e n ⁵⁵	tɕ y a ⁵⁵				ʈʂ w a ⁵⁵	
960	m e ³⁵		m i ²⁴	m i ⁵⁵	m i ⁵⁵	m e ⁵⁵	m i ⁵⁵	m e ¹	m i ⁵⁵	m e ³⁵
971	m e ³⁵		m i ²⁴	m i ⁵⁵		m e ⁵⁵	m i ⁵⁵	m e ¹	m i ⁵⁵	
979	sʰ e ⁴⁴	s ɛ ⁴⁴	s ɛ ⁵⁵	s ɛ ²⁴	s e ⁵⁵	s e ⁴⁴		sʰ ɛ ⁴	s ɛ ⁴²	
980							pʰ j o ²¹			pʰ j o ³¹
993				ŋ ɛ ¹²				ŋ ɔ ¹	ŋ ɔ ³⁵	
995						ʯ̃ ²¹				ʯ ²¹
1001	k ɯ ⁰	k ɯ ⁵⁵	k ɯ ²⁴		k ɯ ⁵⁵	k ɯ ⁵⁵	k ɯ ⁵⁵	k ɯ ¹	k ɯ ⁵⁵	k ɯ ³⁵
1002	k a ²¹			g a ¹²		k ɑ ²¹				
1015	ʂ ə ³⁵	ɕ y ⁵⁵	ɕ u ²⁴	s ao ⁵⁵	ɕ u ⁵⁵	s ʯ̃ ⁵⁵	s u ⁵⁵	s r o ¹	ʂ ʯ ⁵⁵	s ʯ ³⁵
1026	p ə˞ ²¹		p æ ²¹	b æ ¹²		p a ²¹		b æ ¹	b a ³⁵	pʰ ə ⁴²
1035	ʈʂ o ³³	tɕ u ²²	tɕ u ²²	ts ao ²²	tɕ u ²²	ts ʯ ⁵⁵	ts ʯ ³³	ts r ɔ ²	ʈʂ ʯ ³³	ts ʯ ³³
1046	ts u ⁴²	ts y ⁴²	ts u ⁴³	ts u ⁴²		ts ou ⁴²	ts o ⁴²	ts o ⁵	ts u ²¹	
1056		q a ²²	q æ ²²	q a n ²²	q ã ²²		k ə̃˞ ³³	q æ n ²	q a ŋ ³³	k ɛ ³³
1055	t õ ²¹					t ʯ̃ ²¹				
1066		tsʰ o ⁵⁵	tsʰ o ²⁴	tsʰ o ŋ ⁵⁵	ts õ ⁵⁵		tsʰ o ŋ ⁵⁵	tsʰ o ŋ ¹	tsʰ o ŋ ⁵⁵	
1074	x ou ³⁵	x o ⁵⁵	χ o ²⁴	h o ¹²		x ou ⁵⁵	x o ⁵⁵	h ɔ ¹	h ɔ ⁵⁵	x o ³⁵
1086		qʰ u ⁴⁴	qʰ u ⁵⁵	qʰ u ²²⁴	qʰ o ⁵⁵	kʰ ou ⁴⁴	kʰ o ⁴⁴	qʰ ɔ ⁴	qʰ o ⁴²	kʰ ɑ ⁴⁴
1097		kʰ u ⁴⁴	kʰ o ⁵⁵	kʰ ao ²⁴	k ɯ ⁵⁵	kʰ ʯ ⁴⁴	kʰ u ⁵⁵	kʰ o ⁴	kʰ ʯ ⁴²	kʰ ʯ ⁴⁴
1107	ʂʰ ə˞ ⁴⁴	ɕ a ⁴⁴	ɕ j æ ⁵⁵	s æ ²⁴	ɕ a ⁵⁵	s a ⁴⁴	s ə˞ ⁴⁴	sʰ r æ ⁴	ɕ a ⁴²	s ɛ ⁴⁴
1119	tsʰ w ã ³³			tsʰ w a ŋ ²²		tsʰ w ɑ̃ ³³	tsʰ w e n ³³	tsʰ w a ŋ ²	tsʰ o ŋ ³³	tsʰ w a ³³
1120		ɕ a ⁴⁴			ɕ u ⁴⁴					
1130	pʰ ou ³³		pʰ æ ⁴⁴	pʰ æ ²⁴	pʰ o ⁴²	pʰ a ⁴⁴	pʰ ə˞ ⁴⁴	pʰ æ ⁴	pʰ a ⁴²	pʰ ɛ ³³
1143	x ɯ ⁴⁴	x ɯ ⁴⁴		χ e ²⁴			x ɯ ⁴⁴	χ ɯ ⁴	x ə˞ ⁴²	
1146						m j a n ⁴²				m j ɛ ⁴²
1155		ɲ i u ²²	ɲ i u ²²	ɲ i õ ²²	ɲ i u ²²		ɲ õ ³³	n j o ²		
1154	j ũ ³³					j ʯ̃ ³³			j ʯ ŋ ³³	
1166			ɲ i ²²	ɲ i ²²	ɲ i ⁵⁵		n i ⁴⁴	n j i ⁴		ɲ j e ⁴⁴
1173	ɕ i ³³	s i ²²	s i ²²	ɕ i ²²	ɕ i ²²	ɕ i ³³	ɕ i ³³	s j i ²	ɕ i ³³	ɕ i ³³
1184	ʂʰ ə˞ ⁵⁵	s ɛ ⁵⁵	s ɿ ²⁴	ʂ i ⁵⁵		s a n ⁵⁵	s e n ⁵⁵	sʰ r e ŋ ¹	ʂ ə̃˞ ⁵⁵	s i ⁵⁵
1195	ɕ i ³³	s i ²²	s i ²²	ɕ i ²²	ɕ i ²²	ɕ i ³³	ɕ i ³³	s j i ²	ɕ i ³³	ɕ i ³³
1206	f ʯ ³³		f ɛ ²²		f e ²²	f ʯ ³³		p j ɛ ²	f ə˞ ³³	
1208				ɣ o ¹²			x õ ³³			
1207		pʰ u ⁵⁵		pʰ u ⁵⁵						
1221							p j e n ⁵⁵	p j e n ¹		
1218	f ʯ̃ ³⁵		f ɛ ²⁴	pf ũ ⁵⁵	f i ⁵⁵	f ʯ̃ ⁵⁵			f ə˞ ⁵⁵	f ʯ ³⁵
1230	kʰ w a ŋ ³³	qʰ w a ²²	qʰ w a ²²	qʰ w a ŋ ²²		kʰ w ɑ̃ g ³³	kʰ w a ŋ ³³	qʰ w a ŋ ²	qʰ w a ŋ ³³	kʰ w a ³³
1241	m e ²¹	m ɛ ²¹	m ɛ ²¹	m ə n ¹²	m e ²¹	m e ²¹	m e ²¹	m ɛ ¹	m ɛ ³⁵	m e ²¹
1252	l õ ²¹	l u ²¹	l u ²¹	l õ ¹²	l u ²¹	l ʯ̃ ²¹	l o ŋ ²¹	l o ŋ ¹	l o ŋ ³⁵	l ʯ ²¹
1263	m ə̃ ⁴²	m ɯ̃ ⁵⁵	m ɯ ⁴³		m ɯ ⁴²	m ə̃ ³¹	m əɯ ²¹	m ɯ ⁵	m o ²¹	m ɯ ⁵³
1274	ə̃ ³³	ɯ̃ ²²	ɯ ²²		ɯ̃ ²²	ə̃ ³³		ɯ̃ ²	ɯ̃ ³³	ɯ ³³
1275				o ŋ ²²			o ŋ ³³			
1287			ɣ u ²²					ɣ u ŋ ²		
1286	k u ³³			q o ŋ ²²		k u ³³				k u ³³
1294	k ã ³⁵	q o ⁵⁵	q a ²⁴	q a ŋ ⁵⁵	q ã ⁵⁵	k ɑ̃ ⁵⁵	k a ŋ ⁵⁵	q a ŋ ¹	q ɔ ŋ ⁵⁵	k a ³⁵
1305		k w i ⁵⁵	k w a ⁵⁵	k w a ¹²	k w a ⁵⁵		k w a ⁴⁴	k w a ⁴		k w a ⁵⁵
1315	ʈʂ w ə̃˞ ³³	tɕ y a ²²		ts w a n ²²		ts w a n ³³	ts w ə˞ ³³	ʈ w æ n ²	tʲ w a ŋ ³³	ts w ɛ ³³
1326	ts u ³³	tɕ ɥ i ²²	tɕ ɥ i ²²	tɕ y ²²	ts ɥ i ²²	ts u ³³	ts u ³³	ts u ²	tɕ ɥ i ³³	ts u ³³
1337	k o ŋ ³¹	k o ²¹			k õ ²¹	k õ ²¹	k o ŋ ²¹	ɣ o ŋ ¹	q o ŋ ³⁵	k u ²¹
1348	tɕ i ³¹	tɕ i ⁴²	dʑ i ⁴²	dʑ i ⁴²	dʑ i ⁴²	tɕ i ³¹	t i ²¹	d i ³	ʑ i ²¹	tɕ i ³¹
1359	tɕ i ²¹	tɕ i ²¹	dʑ i ⁴³	dʑ i ²¹	tɕ i ²¹	tɕ i ³¹			ʑ i ²¹	
1360	j u ³¹	j u ⁴²	j u ⁴³	j u ²⁴	u ⁴²	j u ³¹	j u ³¹			
1361		d o ⁴²	d a ⁴³		d a ⁴²		t i ³¹			
1379	ɣ ou ⁴²					ɣ ou ⁴²		ɣ o ⁴		
1380		u ⁴²	u ²¹	u ²¹	u ⁴²					ou ⁴²
1390	j ɯ ⁴⁴	j i ⁴⁴	j ɯ ⁵⁵		j i ⁵⁵	j ɯ ⁴⁴	j i ⁴⁴	j ɯ ⁴		j ɯ ⁴⁴
1391				j u ⁴²					j u ⁴²	
1401	s e n ⁴²	s ɛ ⁴²	s ɛ ⁴³	s e n ⁴²	s ẽ ⁴²	s e n ⁴²	s ɛ ⁴²	s e n ⁵	s e n ²¹	s e ⁴²
1412	p j a ⁴⁴		p j a ⁵⁵			p j o ⁴⁴	p j a ⁴⁴	p r a ⁴		p j a ⁴⁴
1413		tɕ y a ⁴⁴		tɕ w a ²⁴	tɕ w a ⁵⁵					
1423	kʰ õ ⁵⁵	qʰ õ ⁵⁵	qʰ o ²⁴	qʰ o ŋ ⁵⁵	qʰ õ ⁵⁵	kʰ ʯ̃ ⁵⁵	k o ŋ ⁵⁵	qʰ o ŋ ¹	qʰ o ŋ ⁵⁵	
1433	m ə̃ ²¹	m ɯ ²¹	m ɯ ²¹	m o ŋ ¹²	m ɯ ²¹	m õ ²¹		m ɯ ¹	m ɯ ³⁵	m o ²¹
1445	m ɯ ³³		m ɯ ²²	m u ²²				m ɯ ²	m ɯ ⁴⁴	
1451	s i ³³	s ɛ ²²	s ɿ ²²	ʂ i ²²	ʂ ə˞ ²²	s i ³³	s i ³³	s r i ²	ʂ i ³³	s i ³³
1462	w ẽ ³³	ŋ w i ²²	ŋ w i ²²	w e n ²²		w ẽ ³³	ŋ w ɛ ³³	ŋ w e n ²	w e n ³³	w e ³³
1473	t w e n ³³	t i ²²	t ɥ ɛ ²²	t ɥ e n ²²	t ɥ i ²²	t w e n ³³	ts w e n ³³	t w e n ²	t w e ³³	t w e ³³
1484	f ʯ ³¹	f ɛ ²²	f ɛ ⁴³		f e ⁴²	f ʯ ³¹		pʰ j ɛ ³	f ə˞ ²¹	
1494								b o ²	b o ³³	
1497	p i ⁴⁴		p i ⁵⁵			p i ⁴⁴	pʰ i ⁵⁵	p r i ⁴		
