ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
31	1638_fruitberipe	(fruit) be ripe	Enqi	Enqi	tɕio21	tɕio21	tɕ i/j o ²¹	enqi1234	26.4738155	99.1189832	Sino-Tibetan	2 6 7 8	ACXT	CJU3	3	3.C.C 3.J.C 3.U.V 3.3.T	1.6 1.2 3.0 1.0	tɕi/jo²¹	0	11
32	1638_fruitberipe	(fruit) be ripe	Ega	Ega	tɕiu21	tɕiu21	tɕ i u ²¹	egab1234	26.4858945	98.8528962	Sino-Tibetan	2 7 7 8	AXYT	CIY3	2	2.C.C 2.I.V 2.Y.V 2.3.T	1.6 3.0 3.0 1.0	tɕiu²¹	0	11
33	1638_fruitberipe	(fruit) be ripe	Jinman	Jinman	tɕio21	tɕio21	tɕ i/j o ²¹	nuji1238	26.4154856	99.1285952	Sino-Tibetan	2 6 7 8	ACXT	CJU3	5	5.C.C 5.J.C 5.U.V 5.3.T	1.6 1.2 3.0 1.0	tɕi/jo²¹	0	11
34	1638_fruitberipe	(fruit) be ripe	Jinxing	Jinxing	(tsṽ42tʰǝ31)	tsṽ42tʰǝ31	ts ṽ/ʯ̃ ⁴² + tʰ ə ³¹		24.9259218	103.1237482	Sino-Tibetan	2 7 8 9 1 7 8	AXT_AXT	CY3_TE3	6	6.C.C 6.Y.V 6.3.T 6._._ 6.T.C 6.E.V 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tsṽ/ʯ̃⁴²+tʰə³¹	0	11 12
35	1638_fruitberipe	(fruit) be ripe	Dashi	Dashi	(tʰiɯ42xa55)	tʰiɯ42xa55	tʰ i/j ɯ ⁴² + x a ⁵⁵		26.3530106	100.1930442	Sino-Tibetan	1 6 7 8 9 3 7 8	ACXT_AXT	TJI3_GA5	1	1.T.C 1.J.C 1.I.V 1.3.T 1._._ 1.G.C 1.A.V 1.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tʰi/jɯ⁴²+xa⁵⁵	0	9 10
36	1638_fruitberipe	(fruit) be ripe	Mazhelong	Mazhelong	tsʰu42	tsʰu42	tsʰ u ⁴²		24.1677209	104.1950232	Sino-Tibetan	2 7 8	AXT	CY3	7	7.C.C 7.Y.V 7.3.T	1.6 3.0 1.0	tsʰu⁴²	0	11
37	1666_headache	(head) ache	ProtoBai	Proto-Bai	suŋ3	suŋ3	s u ŋ ³				Sino-Tibetan	3 7 4 8	AXLT	SYN6	8	8.S.C 8.Y.V 8.N.c 8.6.T	1.6 3.0 1.1 1.0	suŋ³	0	21
38	1666_headache	(head) ache	Tuoluo	Tuoluo	svŋ21	svŋ21	s v/ʯ ŋ ²¹	tuol1234	23.3833337	102.1839821	Sino-Tibetan	3 7 4 8	AXLT	SYN3	9	9.S.C 9.Y.V 9.N.c 9.3.T	1.6 3.0 1.1 1.0	sv/ʯŋ²¹	0	21
39	1666_headache	(head) ache	Gongxing	Gongxing	saŋ42	saŋ42	s a ŋ ⁴²		27.0852794	99.1652452	Sino-Tibetan	3 7 4 8	AXLT	SAN3	4	4.S.C 4.A.V 4.N.c 4.3.T	1.6 3.0 1.1 1.0	saŋ⁴²	0	21
40	1666_headache	(head) ache	Enqi	Enqi	(tsa55)	tsa55	ts a ⁵⁵	enqi1234	26.4738155	99.1189832	Sino-Tibetan	2 7 8	AXT	CA5	3	3.C.C 3.A.V 3.5.T	1.6 3.0 1.0	tsa⁵⁵	0	22
41	1666_headache	(head) ache	Ega	Ega	(tso55)	tso55	ts o ⁵⁵	egab1234	26.4858945	98.8528962	Sino-Tibetan	2 7 8	AXT	CU5	2	2.C.C 2.U.V 2.5.T	1.6 3.0 1.0	tso⁵⁵	0	22
42	1666_headache	(head) ache	Jinman	Jinman	(tsa55)	tsa55	ts a ⁵⁵	nuji1238	26.4154856	99.1285952	Sino-Tibetan	2 7 8	AXT	CA5	5	5.C.C 5.A.V 5.5.T	1.6 3.0 1.0	tsa⁵⁵	0	22
43	1666_headache	(head) ache	Jinxing	Jinxing	svŋ31	svŋ31	s v/ʯ ŋ ³¹		24.9259218	103.1237482	Sino-Tibetan	3 7 4 8	AXLT	SYN3	6	6.S.C 6.Y.V 6.N.c 6.3.T	1.6 3.0 1.1 1.0	sv/ʯŋ³¹	0	21
44	1666_headache	(head) ache	Dashi	Dashi	soŋ31	soŋ31	s o ŋ ³¹		26.3530106	100.1930442	Sino-Tibetan	3 7 4 8	AXLT	SUN3	1	1.S.C 1.U.V 1.N.c 1.3.T	1.6 3.0 1.1 1.0	soŋ³¹	0	21
45	1666_headache	(head) ache	Zhoucheng	Zhoucheng	(si31)	si31	s i ³¹	zhou1234	25.8958826	100.0988062	Sino-Tibetan	3 7 8	AXT	SI3	10	10.S.C 10.I.V 10.3.T	1.6 3.0 1.0	si³¹	0	23
46	1666_headache	(head) ache	Mazhelong	Mazhelong	soŋ21	soŋ21	s o ŋ ²¹		24.1677209	104.1950232	Sino-Tibetan	3 7 4 8	AXLT	SUN3	7	7.S.C 7.U.V 7.N.c 7.3.T	1.6 3.0 1.1 1.0	soŋ²¹	0	21
47	1536_peoplecrawl	(people) crawl	ProtoBai	Proto-Bai	mæ4	mæ4	m æ ⁴				Sino-Tibetan	4 7 8	AXT	ME6	8	8.M.C 8.E.V 8.6.T	1.6 3.0 1.0	mæ⁴	0	32
48	1536_peoplecrawl	(people) crawl	Tuoluo	Tuoluo	ma42	ma42	m a ⁴²	tuol1234	23.3833337	102.1839821	Sino-Tibetan	4 7 8	AXT	MA3	9	9.M.C 9.A.V 9.3.T	1.6 3.0 1.0	ma⁴²	0	32
49	1536_peoplecrawl	(people) crawl	Gongxing	Gongxing	mæ24	mæ24	m æ ²⁴		27.0852794	99.1652452	Sino-Tibetan	4 7 8	AXT	ME2	4	4.M.C 4.E.V 4.2.T	1.6 3.0 1.0	mæ²⁴	0	32
50	1536_peoplecrawl	(people) crawl	Enqi	Enqi	mæ55	mæ55	m æ ⁵⁵	enqi1234	26.4738155	99.1189832	Sino-Tibetan	4 7 8	AXT	ME5	3	3.M.C 3.E.V 3.5.T	1.6 3.0 1.0	mæ⁵⁵	0	32
51	1536_peoplecrawl	(people) crawl	Ega	Ega	ma44	ma44	m a ⁴⁴	egab1234	26.4858945	98.8528962	Sino-Tibetan	4 7 8	AXT	MA5	2	2.M.C 2.A.V 2.5.T	1.6 3.0 1.0	ma⁴⁴	0	32
52	1536_peoplecrawl	(people) crawl	Jinman	Jinman	ma55	ma55	m a ⁵⁵	nuji1238	26.4154856	99.1285952	Sino-Tibetan	4 7 8	AXT	MA5	5	5.M.C 5.A.V 5.5.T	1.6 3.0 1.0	ma⁵⁵	0	32
53	1536_peoplecrawl	(people) crawl	Jinxing	Jinxing	ma44	ma44	m a ⁴⁴		24.9259218	103.1237482	Sino-Tibetan	4 7 8	AXT	MA5	6	6.M.C 6.A.V 6.5.T	1.6 3.0 1.0	ma⁴⁴	0	32
54	1536_peoplecrawl	(people) crawl	Dashi	Dashi	mɚ44	mɚ44	m ə˞ ⁴⁴		26.3530106	100.1930442	Sino-Tibetan	4 7 8	AXT	ME5	1	1.M.C 1.E.V 1.5.T	1.6 3.0 1.0	mə˞⁴⁴	0	32
55	1536_peoplecrawl	(people) crawl	Zhoucheng	Zhoucheng	mɛ44	mɛ44	m ɛ ⁴⁴	zhou1234	25.8958826	100.0988062	Sino-Tibetan	4 7 8	AXT	ME5	10	10.M.C 10.E.V 10.5.T	1.6 3.0 1.0	mɛ⁴⁴	0	32
56	1536_peoplecrawl	(people) crawl	Mazhelong	Mazhelong	mɚ44	mɚ44	m ə˞ ⁴⁴		24.1677209	104.1950232	Sino-Tibetan	4 7 8	AXT	ME5	7	7.M.C 7.E.V 7.5.T	1.6 3.0 1.0	mə˞⁴⁴	0	32
57	1719_rainfall	(rain) fall	ProtoBai	Proto-Bai	ɣu4	ɣu4	ɣ u ⁴				Sino-Tibetan	3 7 8	AXT	GY6	8	8.G.C 8.Y.V 8.6.T	1.6 3.0 1.0	ɣu⁴	0	43
58	1719_rainfall	(rain) fall	Tuoluo	Tuoluo	(ʐi33)luo42	luo42	l u/w o ⁴²	tuol1234	23.3833337	102.1839821	Sino-Tibetan	5 6 7 8	ACXT	LWU3	9	9.L.C 9.W.C 9.U.V 9.3.T	1.6 1.2 3.0 1.0	lu/wo⁴²	0	45
59	1719_rainfall	(rain) fall	Enqi	Enqi	u21	u21	u ²¹	enqi1234	26.4738155	99.1189832	Sino-Tibetan	7 8	XT	Y3	3	3.Y.V 3.3.T	3.0 1.0	u²¹	0	44
60	1719_rainfall	(rain) fall	Ega	Ega	u42	u42	u ⁴²	egab1234	26.4858945	98.8528962	Sino-Tibetan	7 8	XT	Y3	2	2.Y.V 2.3.T	3.0 1.0	u⁴²	0	44
61	1719_rainfall	(rain) fall	Jinman	Jinman	u42	u42	u ⁴²	nuji1238	26.4154856	99.1285952	Sino-Tibetan	7 8	XT	Y3	5	5.Y.V 5.3.T	3.0 1.0	u⁴²	0	44
62	1719_rainfall	(rain) fall	Jinxing	Jinxing	ɣou42	ɣou42	ɣ ou ⁴²		24.9259218	103.1237482	Sino-Tibetan	3 7 8	AXT	GU3	6	6.G.C 6.U.V 6.3.T	1.6 3.0 1.0	ɣou⁴²	0	43
63	1719_rainfall	(rain) fall	Dashi	Dashi	ɣou42	ɣou42	ɣ ou ⁴²		26.3530106	100.1930442	Sino-Tibetan	3 7 8	AXT	GU3	1	1.G.C 1.U.V 1.3.T	1.6 3.0 1.0	ɣou⁴²	0	43
64	1719_rainfall	(rain) fall	Zhoucheng	Zhoucheng	ou42(vu33ɕi44)	ou42	ou ⁴²	zhou1234	25.8958826	100.0988062	Sino-Tibetan	7 8	XT	U3	10	10.U.V 10.3.T	3.0 1.0	ou⁴²	0	44
65	1719_rainfall	(rain) fall	Mazhelong	Mazhelong	ɣo42	ɣo42	ɣ o ⁴²		24.1677209	104.1950232	Sino-Tibetan	3 7 8	AXT	GU3	7	7.G.C 7.U.V 7.3.T	1.6 3.0 1.0	ɣo⁴²	0	43
66	406_riceseedling	(rice) seedling	ProtoBai	Proto-Bai	dzri1	dzri1	ɖʐ i ¹				Sino-Tibetan	2 7 8	AXT	CI6	8	8.C.C 8.I.V 8.6.T	1.6 3.0 1.0	ɖʐi¹	0	53
67	406_riceseedling	(rice) seedling	Tuoluo	Tuoluo	ʐɚ35	ʐɚ35	ʐ ə˞ ³⁵	tuol1234	23.3833337	102.1839821	Sino-Tibetan	3 7 8	AXT	SE2	9	9.S.C 9.E.V 9.2.T	1.6 3.0 1.0	ʐə˞³⁵	0	53
68	406_riceseedling	(rice) seedling	Gongxing	Gongxing	dʐi21	dʐi21	ɖʐ i ²¹		27.0852794	99.1652452	Sino-Tibetan	2 7 8	AXT	CI3	4	4.C.C 4.I.V 4.3.T	1.6 3.0 1.0	ɖʐi²¹	0	53
69	406_riceseedling	(rice) seedling	Enqi	Enqi	tsɿ21	tsɿ21	ts ɿ ²¹	enqi1234	26.4738155	99.1189832	Sino-Tibetan	2 7 8	AXT	CI3	3	3.C.C 3.I.V 3.3.T	1.6 3.0 1.0	tsɿ²¹	0	53
70	406_riceseedling	(rice) seedling	Ega	Ega	tsɛ21	tsɛ21	ts ɛ ²¹	egab1234	26.4858945	98.8528962	Sino-Tibetan	2 7 8	AXT	CE3	2	2.C.C 2.E.V 2.3.T	1.6 3.0 1.0	tsɛ²¹	0	53
71	406_riceseedling	(rice) seedling	Jinman	Jinman	tɕɚ21	tɕɚ21	tɕ ə˞ ²¹	nuji1238	26.4154856	99.1285952	Sino-Tibetan	2 7 8	AXT	CE3	5	5.C.C 5.E.V 5.3.T	1.6 3.0 1.0	tɕə˞²¹	0	53
72	406_riceseedling	(rice) seedling	Jinxing	Jinxing	tsa21	tsa21	ts a ²¹		24.9259218	103.1237482	Sino-Tibetan	2 7 8	AXT	CA3	6	6.C.C 6.A.V 6.3.T	1.6 3.0 1.0	tsa²¹	0	53
73	406_riceseedling	(rice) seedling	Dashi	Dashi	tʂi31	tʂi31	ʈʂ i ³¹		26.3530106	100.1930442	Sino-Tibetan	2 7 8	AXT	CI3	1	1.C.C 1.I.V 1.3.T	1.6 3.0 1.0	ʈʂi³¹	0	53
74	406_riceseedling	(rice) seedling	Zhoucheng	Zhoucheng	tsi21	tsi21	ts i ²¹	zhou1234	25.8958826	100.0988062	Sino-Tibetan	2 7 8	AXT	CI3	10	10.C.C 10.I.V 10.3.T	1.6 3.0 1.0	tsi²¹	0	53
75	406_riceseedling	(rice) seedling	Mazhelong	Mazhelong	dzi21	dzi21	dz i ²¹		24.1677209	104.1950232	Sino-Tibetan	2 7 8	AXT	CI3	7	7.C.C 7.I.V 7.3.T	1.6 3.0 1.0	dzi²¹	0	53
76	673_soulspirit	(soul); spirit	ProtoBai	Proto-Bai	pʰæn3	pʰæn3	pʰ æ n ³				Sino-Tibetan	1 7 4 8	AXLT	PEN6	8	8.P.C 8.E.V 8.N.c 8.6.T	1.6 3.0 1.1 1.0	pʰæn³	0	64
77	673_soulspirit	(soul); spirit	Tuoluo	Tuoluo	pʰaŋ21maŋ21	pʰaŋ21maŋ21	pʰ a ŋ ²¹ + m a ŋ ²¹	tuol1234	23.3833337	102.1839821	Sino-Tibetan	1 7 4 8 9 4 7 4 8	AXLT_AXLT	PAN3_MAN3	9	9.P.C 9.A.V 9.N.c 9.3.T 9._._ 9.M.C 9.A.V 9.N.c 9.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	pʰaŋ²¹+maŋ²¹	0	64 65
78	673_soulspirit	(soul); spirit	Gongxing	Gongxing	pʰan42man22	pʰan42man22	pʰ a n ⁴² + m a n ²²		27.0852794	99.1652452	Sino-Tibetan	1 7 4 8 9 4 7 4 8	AXLT_AXLT	PAN3_MAN1	4	4.P.C 4.A.V 4.N.c 4.3.T 4._._ 4.M.C 4.A.V 4.N.c 4.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	pʰan⁴²+man²²	0	64 65
79	673_soulspirit	(soul); spirit	Enqi	Enqi	pʰæ43ma43	pʰæ43ma43	pʰ æ ⁴³ + m a ⁴³	enqi1234	26.4738155	99.1189832	Sino-Tibetan	1 7 8 9 4 7 8	AXT_AXT	PE3_MA3	3	3.P.C 3.E.V 3.3.T 3._._ 3.M.C 3.A.V 3.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pʰæ⁴³+ma⁴³	0	64 65
80	673_soulspirit	(soul); spirit	Ega	Ega	pʰ42ma42	pʰ42ma42	pʰ */ə ⁴² + m a ⁴²	egab1234	26.4858945	98.8528962	Sino-Tibetan	1 7 8 9 4 7 8	AXT_AXT	PE3_MA3	2	2.P.C 2.E.V 2.3.T 2._._ 2.M.C 2.A.V 2.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pʰ*/ə⁴²+ma⁴²	0	64 65
81	673_soulspirit	(soul); spirit	Jinman	Jinman	pʰã42mã42	pʰã42mã42	pʰ ã ⁴² + m ã ⁴²	nuji1238	26.4154856	99.1285952	Sino-Tibetan	1 7 8 9 4 7 8	AXT_AXT	PA3_MA3	5	5.P.C 5.A.V 5.3.T 5._._ 5.M.C 5.A.V 5.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pʰã⁴²+mã⁴²	0	64 65
82	673_soulspirit	(soul); spirit	Jinxing	Jinxing	pʰan31man31	pʰan31man31	pʰ a n ³¹ + m a n ³¹		24.9259218	103.1237482	Sino-Tibetan	1 7 4 8 9 4 7 4 8	AXLT_AXLT	PAN3_MAN3	6	6.P.C 6.A.V 6.N.c 6.3.T 6._._ 6.M.C 6.A.V 6.N.c 6.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	pʰan³¹+man³¹	0	64 65
83	673_soulspirit	(soul); spirit	Zhoucheng	Zhoucheng	pʰo31miɛ31	pʰo31miɛ31	pʰ o ³¹ + m i/j ɛ ³¹	zhou1234	25.8958826	100.0988062	Sino-Tibetan	1 7 8 9 4 6 7 8	AXT_ACXT	PU3_MJE3	10	10.P.C 10.U.V 10.3.T 10._._ 10.M.C 10.J.C 10.E.V 10.3.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	pʰo³¹+mi/jɛ³¹	0	64 65
84	673_soulspirit	(soul); spirit	Mazhelong	Mazhelong	pʰɚ21mɚ̃21	pʰɚ21mɚ̃21	pʰ ə˞ ²¹ + m ə̃˞ ²¹		24.1677209	104.1950232	Sino-Tibetan	1 7 8 9 4 7 8	AXT_AXT	PE3_ME3	7	7.P.C 7.E.V 7.3.T 7._._ 7.M.C 7.E.V 7.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pʰə˞²¹+mə̃˞²¹	0	64 65
85	1793_waspssting	(wasps) sting	ProtoBai	Proto-Bai	tʰro4	tʰro4	tʰ r o ⁴				Sino-Tibetan	1 5 7 8	ACXT	TRU6	8	8.T.C 8.R.C 8.U.V 8.6.T	1.6 1.2 3.0 1.0	tʰro⁴	0	82
86	1793_waspssting	(wasps) sting	Tuoluo	Tuoluo	tʰiu42	tʰiu42	tʰ i u ⁴²	tuol1234	23.3833337	102.1839821	Sino-Tibetan	1 7 7 8	AXYT	TIY3	9	9.T.C 9.I.V 9.Y.V 9.3.T	1.6 3.0 3.0 1.0	tʰiu⁴²	0	82
87	1793_waspssting	(wasps) sting	Gongxing	Gongxing	ŋaŋ24	ŋaŋ24	ŋ a ŋ ²⁴		27.0852794	99.1652452	Sino-Tibetan	4 7 4 8	AXLT	NAN2	4	4.N.C 4.A.V 4.N.c 4.2.T	1.6 3.0 1.1 1.0	ŋaŋ²⁴	0	83
88	1793_waspssting	(wasps) sting	Enqi	Enqi	tʰiu55	tʰiu55	tʰ i u ⁵⁵	enqi1234	26.4738155	99.1189832	Sino-Tibetan	1 7 7 8	AXYT	TIY5	3	3.T.C 3.I.V 3.Y.V 3.5.T	1.6 3.0 3.0 1.0	tʰiu⁵⁵	0	82
89	1793_waspssting	(wasps) sting	Ega	Ega	tɕʰio44	tɕʰio44	tɕʰ i/j o ⁴⁴	egab1234	26.4858945	98.8528962	Sino-Tibetan	2 6 7 8	ACXT	CJU5	2	2.C.C 2.J.C 2.U.V 2.5.T	1.6 1.2 3.0 1.0	tɕʰi/jo⁴⁴	0	82
90	1793_waspssting	(wasps) sting	Jinman	Jinman	ʈʰo55	ʈʰo55	ʈʰ o ⁵⁵	nuji1238	26.4154856	99.1285952	Sino-Tibetan	1 7 8	AXT	TU5	5	5.T.C 5.U.V 5.5.T	1.6 3.0 1.0	ʈʰo⁵⁵	0	82
91	1793_waspssting	(wasps) sting	Jinxing	Jinxing	tsʰou44	tsʰou44	tsʰ ou ⁴⁴		24.9259218	103.1237482	Sino-Tibetan	2 7 8	AXT	CU5	6	6.C.C 6.U.V 6.5.T	1.6 3.0 1.0	tsʰou⁴⁴	0	82
92	1793_waspssting	(wasps) sting	Dashi	Dashi	tʂʰou44	tʂʰou44	ʈʂʰ ou ⁴⁴		26.3530106	100.1930442	Sino-Tibetan	2 7 8	AXT	CU5	1	1.C.C 1.U.V 1.5.T	1.6 3.0 1.0	ʈʂʰou⁴⁴	0	82
93	1793_waspssting	(wasps) sting	Zhoucheng	Zhoucheng	ŋa44	ŋa44	ŋ a ⁴⁴	zhou1234	25.8958826	100.0988062	Sino-Tibetan	4 7 8	AXT	NA5	10	10.N.C 10.A.V 10.5.T	1.6 3.0 1.0	ŋa⁴⁴	0	83
94	1793_waspssting	(wasps) sting	Mazhelong	Mazhelong	tsʰo44	tsʰo44	tsʰ o ⁴⁴		24.1677209	104.1950232	Sino-Tibetan	2 7 8	AXT	CU5	7	7.C.C 7.U.V 7.5.T	1.6 3.0 1.0	tsʰo⁴⁴	0	82
95	1502_waterflow	(water flow)	ProtoBai	Proto-Bai	gɯ1	gɯ1	g ɯ ¹				Sino-Tibetan	1 7 8	AXT	KI6	8	8.K.C 8.I.V 8.6.T	1.6 3.0 1.0	gɯ¹	0	93
96	1502_waterflow	(water flow)	Tuoluo	Tuoluo	gɯ35	gɯ35	g ɯ ³⁵	tuol1234	23.3833337	102.1839821	Sino-Tibetan	1 7 8	AXT	KI2	9	9.K.C 9.I.V 9.2.T	1.6 3.0 1.0	gɯ³⁵	0	93
97	1502_waterflow	(water flow)	Gongxing	Gongxing	gɯ12	gɯ12	g ɯ ¹²		27.0852794	99.1652452	Sino-Tibetan	1 7 8	AXT	KI2	4	4.K.C 4.I.V 4.2.T	1.6 3.0 1.0	gɯ¹²	0	93
98	1502_waterflow	(water flow)	Enqi	Enqi	kɯ21	kɯ21	k ɯ ²¹	enqi1234	26.4738155	99.1189832	Sino-Tibetan	1 7 8	AXT	KI3	3	3.K.C 3.I.V 3.3.T	1.6 3.0 1.0	kɯ²¹	0	93
99	1502_waterflow	(water flow)	Ega	Ega	kɯ21	kɯ21	k ɯ ²¹	egab1234	26.4858945	98.8528962	Sino-Tibetan	1 7 8	AXT	KI3	2	2.K.C 2.I.V 2.3.T	1.6 3.0 1.0	kɯ²¹	0	93
100	1502_waterflow	(water flow)	Jinman	Jinman	kɯ21	kɯ21	k ɯ ²¹	nuji1238	26.4154856	99.1285952	Sino-Tibetan	1 7 8	AXT	KI3	5	5.K.C 5.I.V 5.3.T	1.6 3.0 1.0	kɯ²¹	0	93
101	1502_waterflow	(water flow)	Jinxing	Jinxing	kɯ21	kɯ21	k ɯ ²¹		24.9259218	103.1237482	Sino-Tibetan	1 7 8	AXT	KI3	6	6.K.C 6.I.V 6.3.T	1.6 3.0 1.0	kɯ²¹	0	93
102	1502_waterflow	(water flow)	Dashi	Dashi	kɯ21	kɯ21	k ɯ ²¹		26.3530106	100.1930442	Sino-Tibetan	1 7 8	AXT	KI3	1	1.K.C 1.I.V 1.3.T	1.6 3.0 1.0	kɯ²¹	0	93
103	1502_waterflow	(water flow)	Zhoucheng	Zhoucheng	kɯ21	kɯ21	k ɯ ²¹	zhou1234	25.8958826	100.0988062	Sino-Tibetan	1 7 8	AXT	KI3	10	10.K.C 10.I.V 10.3.T	1.6 3.0 1.0	kɯ²¹	0	93
104	1502_waterflow	(water flow)	Mazhelong	Mazhelong	kɯ21	kɯ21	k ɯ ²¹		24.1677209	104.1950232	Sino-Tibetan	1 7 8	AXT	KI3	7	7.K.C 7.I.V 7.3.T	1.6 3.0 1.0	kɯ²¹	0	93
105	1462_waterbeboiling	(water) be boiling	ProtoBai	Proto-Bai	hua4	hua4	h u/w a ⁴				Sino-Tibetan	3 6 7 8	ACXT	HWA6	8	8.H.C 8.W.C 8.A.V 8.6.T	1.6 1.2 3.0 1.0	hu/wa⁴	0	104
106	1462_waterbeboiling	(water) be boiling	Tuoluo	Tuoluo	huɔ42	huɔ42	h u/w ɔ ⁴²	tuol1234	23.3833337	102.1839821	Sino-Tibetan	3 6 7 8	ACXT	HWU3	9	9.H.C 9.W.C 9.U.V 9.3.T	1.6 1.2 3.0 1.0	hu/wɔ⁴²	0	104
107	1462_waterbeboiling	(water) be boiling	Gongxing	Gongxing	xua24	xua24	x u/w a ²⁴		27.0852794	99.1652452	Sino-Tibetan	3 6 7 8	ACXT	GWA2	4	4.G.C 4.W.C 4.A.V 4.2.T	1.6 1.2 3.0 1.0	xu/wa²⁴	0	104
108	1462_waterbeboiling	(water) be boiling	Enqi	Enqi	χua55	χua55	χ u/w a ⁵⁵	enqi1234	26.4738155	99.1189832	Sino-Tibetan	3 6 7 8	ACXT	GWA5	3	3.G.C 3.W.C 3.A.V 3.5.T	1.6 1.2 3.0 1.0	χu/wa⁵⁵	0	104
109	1462_waterbeboiling	(water) be boiling	Ega	Ega	xua44	xua44	x u/w a ⁴⁴	egab1234	26.4858945	98.8528962	Sino-Tibetan	3 6 7 8	ACXT	GWA5	2	2.G.C 2.W.C 2.A.V 2.5.T	1.6 1.2 3.0 1.0	xu/wa⁴⁴	0	104
110	1462_waterbeboiling	(water) be boiling	Jinman	Jinman	xua55	xua55	x u/w a ⁵⁵	nuji1238	26.4154856	99.1285952	Sino-Tibetan	3 6 7 8	ACXT	GWA5	5	5.G.C 5.W.C 5.A.V 5.5.T	1.6 1.2 3.0 1.0	xu/wa⁵⁵	0	104
