COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
535-2		ʔ a sː ɨ rː a																	
543-2		s o l ə t																	
593-2		w a m ɨ s																	
640-2		m ə n																	
1-2		d ə m ə l a m																	
65-2		tʼ ɨ w																	
163-2		s ə tʼ																	
212-2		ʔ a n																	
244-2		ʔ a r b a t																	
248-2		m ɨ l a																	
293-2		f ə r ə z																	
373-2		kʼ ɨ m a l																	
408-2		b o r a r a																	
414-2		tʼ ɨ b a kʼ ɨ l a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s a																	
115-2		l ə m a																	
209-2		s ɨ m ə t																	
242-2		d ə m ɨ s t																	
415-2		z ɨ n a b																	
450-2		z ə r																	
490-2		tʼ o b ə m																	
645-2		kʼ a l																	
160-2		tʼ e r ə kʼ																	
208-2		ʔ ɨ n kʼ o l a																	
378-2		ʔ a n g ə t																	
379-2		tʃː e tʼ ə																	
409-2		g o t ə r a																	
598-2		w ɨ l																	
646-2		k ɨ w a																	
210-2		j e w o rː a																	
215-2		k ɨ tʼ ɨ b a t																	
285-2		m ɨ tʼ a d																	
380-2		ʔ a h ɨ w a																	
412-2		s ə h a																	
496-2		w ɨ rː b ə t																	
64-2		d a b o																	
251-2		f ɨ kʼ																	
294-2		m ɨ kʼ o																	
597-2		ʔ ɨ n dʒː a d																	
7-2		ʔ a l g a																	
158-2		kʼ ə m ɨ s																	
296-2		w ɨ h a																	
375-2		s ə b																	
541-2		kʼ ə tʼ n																	
113-2		b ɨ n o																	
252-2		rː ə k b ə m																	
330-2		kʼ a l d																	
449-2		ʔ a tʃː ə																	
491-2		d ɨ n dʒː ɨ t																	
545-2		w ɨ n o																	
596-2		n ə g ɨ																	
4-2		dʒː ɨ n ə																	
106-2		m ə tʼ a																	
254-2		dʒ ɨ m a t																	
290-2		h a g ə z e																	
602-2		m ɨ n																	
2-2		k ɨ l ɨ m																	
3-2		k ɨ n ə																	
213-2		k a r a s e																	
486-2		n ə tʼ ə kʼ o																	
10-2		tʼ ɨ kʼ ɨ r																	
152-2		ʔ a d o																	
211-2		m ɨ ʃ ə t																	
328-2		s ə dː ə b ə																	
333-2		m ɨ sː ə r a																	
334-2		ʔ a n b ə sː a																	
540-2		l e b a																	
109-2		w ɨ n tʃʼ ɨ																	
250-2		w o t																	
289-2		l ɨ b																	
326-2		m ə t																	
154-2		ʔ a f ə rː a s																	
247-2		ʔ ɨ n kʼ ɨ rː a																	
286-2		tʃ ɨ g ə r a t																	
418-2		b ə r a b ə																	
416-2		kʼ e h																	
455-2		ʔ e m a																	
456-2		ʔ a b ə t a																	
495-2		tʃ e kː																	
61-3			d ə m t																
63-3			ʔ a tʼ ɨ m																
107-3			g a m ə l a																
112-3			d ə m ə n a																
331-3			n ɨ g u s																
377-3			b u kʼ l o																
381-3			ʔ a t ə d																
417-3			r u z																
451-3			s e t ə t																
454-3			ʔ a t ə r a																
484-3			s ɨ dː ɨ s t																
535-3			ʔ a s ɨ r t																
543-3			s e t s																
593-3			ʔ a m u s																
640-3			m ə n																
1-3			d ə b ə r ə																
65-3			tʼ u b																
163-3			s e t																
212-3			ʔ ai̯ n																
244-3			ʔ a r b ə t																
248-3			m u l a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a l																
408-3			b o r a																
414-3			tʼ ɨ b a kʼ o																
601-3			h a r b o																
642-3			n ə f a s																
60-3			n ə f ə s ə																
115-3			ʔ a r a m																
209-3			s ɨ mː ə t																
242-3			h a m ɨ s t																
415-3			z ɨ n a b																
450-3			z ə r																
490-3			tʼ o b ə m																
638-3			s ɨ n e																
645-3			kʼ a l																
75-3			h a m b ə r																
160-3			tʼ ə r ə kʼ a																
208-3			ʔ ɨ n kʼ o																
214-3			ʔ a b t																
218-3			ʔ ɨ z e n																
378-3			ʔ a n g ə t																
379-3																			
409-3			g a t ə r ə																
497-3			t ə n																
598-3			h oː t																
646-3			ʔ a t ə x																
164-3			b ə t ə m																
210-3			d ə h o																
215-3			tʼ ə t b ə t																
256-3			t u mː ə																
285-3			m ɨ tʼ a d																
332-3			ʔ a g ə r																
380-3			ʔ a t u																
412-3			s ə h a																
496-3			w ə n b ə t																
64-3			d aː b o																
67-3			w ɨ r																
169-3			b ə r ə z ə m ə																
251-3			f e kʼ																
461-3			tʼ əi̯ tʼ																
547-3			w ɨ z a t																
597-3			ħ a r g ə d																
655-3			m ɨ ʃ t																
7-3			ʔ a l g a																
158-3			kʼ ə m ɨ s																
168-3			ʔ ɨ m a r a																
296-3			ʔ ɨ h u																
372-3			kʼ ə n f ə r																
374-3			b ə kʼː o l o																
375-3			s ə b																
385-3			w ɨ tʼ ɨ t																
411-3			t ə r a s ə																
500-3			ʔ ɨ m ə r																
6-3			m ə l kʼ a m																
17-3			ʔ a h i																
123-3			s e m ə m																
252-3			r ə kʼ t ə m																
421-3			b ɨ ʃ ə																
448-3			kʼ ɨ tʼ a m e n b t																
449-3			ʔ a z ə																
545-3			ʔ ɨ n o																
596-3			n ə g ə																
653-3			b ə t																
4-3			g ɨ n ə																
254-3			dʒ e m a t																
290-3			h a g ə z ə																
339-3			b ə kʼ t																
460-3			ʔ ɨ t																
489-3			b o r tʃʼ u m a																
552-3			z ɨ n																
652-3			ʔ ai̯ t ə t a																
119-3			ʔ a n g a tʃː a																
298-3			h uː t																
340-3			g o n ə																
458-3			d ə n g ə ɲ o																
459-3			ʔ a s ə m																
607-3			ʔ a t u																
609-3			ʔ ɨ x a																
647-3			t ə t ə																
10-3			tʼ ɨ kʼ u r																
15-3			ʔ ɨ n																
18-3			n ɨ kʼ																
73-3			tʃʼ ə t ə r a m																
76-3			m w ə s a																
110-3			d ə t a t																
121-3			t ɨ kʼ																
167-3			g ɨ																
255-3			kʼ o l ə t																
297-3			g u n ə r																
299-3			g u n ə r																
338-3			m ə n a r m																
342-3			m e n a																
344-3			kʼ ə s ə m																
410-3			kʼ a r e																
540-3			l e b a																
550-3			d ə n dʒ ɨ r																
153-3			w ə s e n																
219-3			g ə ɲ a t																
250-3			w ə t																
301-3			kʼ u t a r a																
74-3			g w ə b e																
120-3			d a n g a																
122-3			kʼ a w																
220-3			tʃʼ ə w a																
245-3			kʼ ə w ə r ə																
300-3			x ɨ n																
341-3			kʼ ɨ n ə m																
549-3			t ə h a t e g																
610-3			m ɨ r a f a																
118-3			tʃʼ ə ɲ ə																
221-3			dʒ ə ɲ ə r ə																
420-3			ʔ a z w a t																
455-3			ʔ ɨ m a																
495-3			tʃʼ e t																
498-3			m o tʃʼ ə kʼ ə																
61-4				d ə m															
63-4				ʔ a tʼ ɨ m															
107-4				g a l ə l a															
112-4				d ə mː ə n ə															
331-4				n ɨ g a s															
377-4				b u kʼ l ə															
381-4				ʔ a d ə d															
417-4				r u z															
451-4				s e t ə															
454-4				ʔ a tʃʼ i r ə															
484-4				s ɨ dː a s															
535-4				ʔ a d ə r ə															
543-4				s e s t															
593-4				x a m u s															
640-4				m a n i															
1-4				d ə mː ə r ə															
65-4				tʼ u b															
163-4				s ə tʼ e															
408-4				b ə r a															
414-4				tʼ ɨ b a kʼ l a															
601-4				x a r o b															
642-4				n ɨ f a s															
60-4				n ə f ə s ə															
115-4				l a m															
450-4				z ə r a															
490-4				tʼ ə b ə m															
638-4				s ɨ n e															
645-4				kʼ a l															
75-4				ʔ a l b															
160-4				tʼ a r ə kʼ															
378-4				ʔ a n g ə d															
379-4				mː ə tʼ ə ɲ ə															
409-4				ʔ a t ə r a															
497-4				t ə n															
598-4				ʔ oː t															
646-4				ʔ a d ə															
164-4				b ə ʔ ə m															
332-4				ʔ a g r															
380-4				ʔ a x u															
412-4				s a h ə n															
64-4				d a b o															
67-4				w a r															
169-4				b ə z ə z ə															
461-4				tʼ əi̯ tʼ															
547-4				w ɨ z a t															
597-4				ʔ e n ə d ə															
655-4				m ɨ ʃ t															
158-4				kʼ a m i s															
168-4				ʔ ɨ m a r															
372-4				ʔ a n f ə r															
374-4				b ə kʼː o l ə															
375-4				s ə b															
385-4				w ɨ tʼ a t															
411-4				t ə r a s ə															
500-4				ʔ ɨ m															
541-4				kʼ a tʼ ɨ n															
6-4				m ə l ʔ a mː ə															
17-4				ʔ a h i															
330-4				kʼ a l d															
421-4				b ɨ ʃ a															
449-4				ʔ a ʃ ə															
545-4				x ɨ n ə m															
596-4				n ə g ə															
653-4				b ə t															
4-4				dʒ ɨ n ə															
8-4				kʼ ə b ə t ə															
106-4				m ə tʼ a															
339-4				b ə kʼ ɨ n															
489-4				b ə r tʃʼ u m															
652-4				ʔ a t e d ə															
119-4				ʔ a n g a tʃʼ ə															
340-4				g e tʃ a															
458-4				d ə n g ə ɲ ə															
486-4				n a tʼ ə kʼ o															
607-4				ʔ a h u d ə															
609-4				ʔ ɨ x a															
15-4				ʔ ɨ n ɨ m															
18-4				l ɨ kʼ j ə															
73-4				tʃ a t ə r a															
76-4				m ɨ s a															
110-4				d a t															
121-4				t ɨ h ə															
167-4				g ɨ j a															
334-4				x ə n b ə s ə															
342-4				m e n a															
344-4				kʼ ə s ə															
410-4				kʼ a l i j a															
550-4				d ə g ɨ r															
612-4				ʔ a r b															
120-4				d a n g a															
122-4				kʼ a w a															
341-4				kʼ a n ə d ə															
549-4				t ə h a kʼ g e															
610-4				m ɨ r a r ə															
61-5					d ə m i														
63-5					ʔ a tʼ ɨ m														
107-5					g a m ə l a														
112-5					d ə mː ə n a														
331-5					n ɨ g u s														
377-5					b ɨ kʼ u l ə														
381-5					ʔ a t ə d														
417-5					r u z														
451-5					s ə t ə t														
454-5					ʔ a sː ə r														
484-5					s ɨ dː ɨ s t														
535-5					ʔ a sː ɨ r														
543-5					s e sː t														
593-5					ʔ a m u s														
640-5					m ə n														
1-5					d ə mː ə r ə														
65-5					tʼ u b														
163-5					s ə t ə														
212-5					ʔ ə n														
244-5					ʔ a r b ə t														
248-5					m u l a														
293-5					f ə r ə z														
373-5					kʼ ɨ m a l														
408-5					b oː ə r a														
414-5					tʼ ɨ b a kʼ o														
601-5					x ə r a b i														
642-5					n ɨ f a s														
60-5					n ə f ə s ə														
115-5					l a n a m														
209-5					s ɨ mː ə t														
242-5					ʔ a mː ɨ s t														
415-5					z ɨ n a b														
450-5					z ə r ə														
490-5					tʼ o b ə m														
638-5					s ɨ n ə														
645-5					kʼ a l														
75-5					h a m b ə l														
160-5					d ə r ə kʼ a														
208-5					ʔ ɨ n kʼ o														
214-5					ʔ a b ə t														
218-5					ʔ ɨ z e n														
378-5					ʔ a n g ə t														
379-5					ʃ ə tʼ ə ɲː ə														
409-5					ʔ a t ə r ə														
497-5					t ə n														
598-5					ʔ a l t														
164-5					b ə ʃ ə														
210-5					d ə h o nː ə														
215-5					tʼ ɨ n b ə t														
256-5					t u mː ə														
285-5					m ɨ tʼ a d														
332-5					ʔ ə g ɨ r														
380-5					ʔ a h u ɲː a														
496-5					w ə n s ə t a t ə														
64-5					d a b o														
67-5					w ɨ r														
169-5					b ɨ z ə z ə m ə														
251-5					f e kʼ														
294-5					m u kʼ o														
461-5					tʼ a tʼ e														
547-5					w ɨ z a t														
597-5					ʔ e n ə g ə														
655-5					m ɨ ʃ t														
7-5					ʔ a l g a														
168-5					ʔ ɨ m a r														
296-5					ʔ ɨ h u														
372-5					k ə n f ə r														
374-5					b ə ɲː o l o														
375-5					s ə b														
385-5					w ɨ tʼ ə t														
411-5					t ə r a s ə														
500-5					ʔ ɨ m ɨ n														
6-5					m ə l k a m														
17-5					ʔ ɨ h a														
113-5					b u n a														
123-5					ʃ e m ə m														
252-5					n ə t ə b ə														
421-5					b ɨ ʃ ə														
448-5					k ɨ d a s e n b ə t														
449-5					ʔ a ʃ ə														
545-5					k ɨ n ə														
596-5					n ə g ə														
653-5					b ə t ɨ d														
4-5					g ɨ n ə														
8-5					kʼ ə b ə t o														
290-5					h a g ə z ə														
339-5					b ə oː ə l														
460-5					ʔ ɨ t														
489-5					b o r tʃʼ u m a														
552-5					z ɨ d														
602-5					m ɨ n														
652-5					ʔ e t ə d e														
3-5					ʔ ɨ n dʒ ə														
119-5					ʔ a n g a tʃʼ a														
298-5					ʔ u t														
340-5					g w n ə														
458-5					d ə n g ə ɲː ə														
459-5					ʔ a sː ə m														
486-5					n ə tʼ ə kʼ ə														
607-5					ʔ a t w a														
609-5					ʔ ɨ x a														
647-5					t ə t ə														
15-5					ʔ ɨ n ɨ m														
18-5					l ɨ kʼ a														
73-5					tʃʼ ə ʔ ə r ə														
76-5					m ɨ s ə														
110-5					d a t ə t														
121-5					t ɨ k a														
152-5					ʔ a d o														
167-5					g ɨ														
255-5					kʼ w ə n ə														
297-5					g u n ə r														
299-5					g u n ə r														
334-5					ʔ a n b ə sː a														
338-5					m ə n ɨ ʔ o														
342-5					m e n a														
344-5					kʼ ə s ə m														
410-5					kʼ a r e														
550-5					d ə n dʒ ɨ r														
612-5					ħ a r b ə t														
219-5					g ə b a t														
250-5					w ə t														
301-5					ʔ u t ə r a														
74-5					g w ə b ə														
120-5					d a n g a														
220-5					tʃ ə w a														
245-5					kʼ w b ə r ə														
300-5					x ɨ n														
341-5					kʼ ɨ n ə m														
549-5					t ə h a ɲː e g e														
643-5					g o r														
118-5					tʃ ə ɲː ə														
420-5					ʔ a z w a t														
455-5					ʔ e m														
495-5					w e t														
61-6						d ə m i													
63-6						ʔ a tʼ ɨ m													
107-6						g a m e r a													
112-6						d ə m ə n a													
331-6						n ɨ g u s													
377-6						b a kʼ o l ə													
381-6						ʔ a t u d													
417-6						r u z													
451-6						s e t ə t													
454-6						ʔ a n ɨ r													
484-6						s ɨ dː ɨ s t													
535-6						ʔ a sː ɨ r t													
543-6						s ui̯ s t ə t													
593-6						j a m u s													
640-6						m ə n u													
1-6						d ə b ə r ə m													
163-6						s e t ə m													
212-6						ʔ e n u													
244-6						t ə r b ə t													
248-6						m u l a													
293-6						f ə r ə z ə													
373-6						kʼ ɨ m u l													
408-6						b o r a r													
601-6						x ɨ r o b													
642-6						n ɨ f a s ə													
60-6						n ə f ə s ə m													
115-6						ʔ a r m													
242-6						ħ a mː ɨ s t													
415-6						z ɨ n a b													
450-6						z ə r ə i													
490-6						tʼ o b ə m													
638-6						s ɨ n u													
645-6						kʼ a l													
75-6						ħ aː m b ɨ r													
208-6						ʔ ɨ n kʼ o													
214-6						ʔ a b t													
218-6						ʔ ɨ n z ɨ r													
409-6						g e t ə r ə													
497-6						t ə n ə m													
598-6						k ɨ l t													
646-6						ʔ ɨ x t													
215-6						tʼ ɨ n b ə t													
256-6						t u mː ə													
294-6						m u kʼ o													
655-6						m ɨ s t													
158-6						kʼ ə m i s													
372-6						k ə n f ə r													
375-6						s ə b													
411-6						t ə t r aː s													
500-6						ʕ ɨ m ɨ r i													
541-6						kʼ ɨ s ɨ n													
113-6						b u n o													
252-6						n ə t ə b ə													
330-6						kʼ ə l d													
448-6						kʼ ɨ tʼ a n s ə n b t													
106-6						m ə t ə m													
290-6						ħ ɨ g ə z ə													
460-6						k ɨ t ɨ													
552-6						z ɨ sː ə m													
602-6						m ɨ n u													
2-6						ħ u l ɨ m													
298-6						ħ u t													
486-6						n ə tʼ ə kʼ ə													
211-6						m ɨ s e t													
333-6						m ɨ s ɨ r ə													
334-6						x a n b ə sː a													
612-6						ħ u r b													
289-6						l ɨ b													
326-6						m ə t ə													
594-6						g ɨ z e													
154-6						b ə f ə s ə													
286-6						t ə gː ə r o													
418-6						b ə r b ə r ə													
615-6						m e													
288-6						r ɨ ħ ə s													
5-6						g u b ɨ s													
61-7							d ɨ m												
63-7							ʔ a tʼ ɨ m												
107-7							g a m ə l a												
112-7							d ə m ə n a												
331-7							n ɨ g u s												
377-7							b o kʼ l o												
381-7							ʔ a h t												
417-7							r u z												
451-7							s e b ə t												
454-7							ʔ a n ə r a												
484-7							s ɨ dː ɨ s t												
535-7							ʔ a s ɨ r t												
543-7							s o ʃ t												
593-7							x a m u s												
640-7							m a n ə												
1-7							d ə b ə r ə												
65-7							tʼ ɨ w												
163-7							s ə t												
212-7							ʔ e n												
244-7							ħ a r b ə t												
248-7							m u l a												
293-7							f ə r ə z												
373-7							kʼ ɨ m a l												
408-7							b o r a												
414-7							d ɨ b a kʼ l a												
601-7							ħ a r o b a												
642-7							n ɨ f a s												
60-7							n ə f ə s ə												
115-7							l a n a m												
209-7							s ɨ mː ə t												
242-7							j a mː ɨ s t												
415-7							z ɨ n a b												
450-7							z ə r a												
490-7							tʼ o b ə m												
638-7							s ɨ n ə j ə												
645-7							kʼ a l												
75-7							h a m b ɨ r												
160-7							tʼ ə r ə kʼ a												
208-7							ʔ ɨ n kʼ o l a												
214-7							ʔ a b o												
218-7							ʔ ɨ z ɨ n												
378-7							ʔ a n g ə t												
379-7							z ə tʼ ə ɲː ə												
409-7							ʔ a t ə r a												
497-7							t ə n												
598-7							k ɨ l t												
646-7							ʔ ɨ x a												
164-7							b ə ʃ ə m												
210-7							d ə x o												
215-7							tʼ ɨ n tʼ b ə t												
256-7							t ɨ mː ə												
285-7							m ɨ tʼ a d												
332-7							ʔ ɨ n g a r												
380-7							ʔ ɨ x u												
412-7							s a ħ ə n												
496-7							w ə n s ə t ə t ə												
64-7							d a b o												
67-7							w ɨ r												
169-7							b ɨ z ə z ə m ə												
251-7							f ɨ kʼ l ə												
294-7							m ɨ kʼ o												
461-7							tʼ əi̯ tʼ												
547-7							w ɨ z ə t												
597-7							m e n ə g ə												
655-7							m ɨ ʃ t												
7-7							ʔ a l g a												
158-7							kʼ ə m ɨ s												
168-7							ʔ ɨ m a r												
296-7							j ɨ h u d												
372-7							k ə n f ə r												
374-7							b o kʼː o l o												
385-7							w ɨ tʼ ɨ t												
411-7							t ə r a s ə												
500-7							ʔ ɨ b u r												
6-7							m ə l k a m												
17-7							ʔ ɨ x ɨ r												
123-7							sː e m ə m												
252-7							n ə k ə b ə												
421-7							b ɨ ʃ ə												
448-7							k ɨ tʼ a n s e j b t												
449-7							ʔ a ʃ ə												
491-7							d ɨ n g ə t i												
545-7							k ɨ n o												
596-7							n ə g ə												
653-7							b ə t ɨ d												
8-7							kʼ ə b ə t o												
254-7							dʒ ɨ m ə t												
290-7							h a g ə z ə												
460-7							x ɨ j a												
489-7							b o r tʃʼ ɨ m a												
552-7							z ɨ d												
652-7							ʔ a t ə d e												
3-7							h ɨ n a d												
119-7							ʔ a n g a tʃː a												
298-7							h ɨ t												
340-7							g o n ə												
458-7							d ə n g ə ɲː ə												
459-7							ʔ a sː o												
486-7							n ə tʼ ə kʼ ə												
607-7							ʔ e tʼ w a												
609-7							j ɨ x a												
10-7							tʼ ɨ kʼ u r												
15-7							ʔ ɨ n ɨ m												
18-7							n ɨ kʼ j ə												
73-7							ə k t ə r a												
76-7							m o s a												
110-7							d a r t												
121-7							t ɨ k												
152-7							ʔ a d o												
167-7							g ɨ j ə												
255-7							kʼ o l ə												
297-7							g u n ə r												
299-7							g u n ə r												
338-7							b ə n ɨ r o												
342-7							m e n a												
344-7							kʼ ə s ə m												
410-7							kʼ a r e j a												
540-7							l e b a												
550-7							dʒ ɨ n dʒ ɨ r												
153-7							w o s ə n ɨ j ə												
219-7							g ə b a t												
250-7							w ɨ t												
301-7							k u t ə r a												
326-7							m ɨ t												
74-7							g w ə b ə												
120-7							d a n g a												
122-7							kʼ a w a												
220-7							o w a												
245-7							kʼ ə w b ə r a												
300-7							x ɨ n												
341-7							kʼ ə n ə m ə												
549-7							t ə h a m ə g e												
610-7							m ɨ r a f ə												
643-7							g o r j a												
118-7							ə ɲː ə												
221-7							g ə b ə r ə												
420-7							ʔ o z w a t												
455-7							x ɨ m ɨ a												
495-7							tʃʼ e t												
61-8								d ə m i											
63-8								ʔ a tʼ ɨ m											
107-8								g a l ə l a											
112-8								d ə m ə n a											
331-8								n ɨ g u s											
377-8								b u kʼ l o											
381-8								ʔ a d ə n											
417-8								r u z											
451-8								s ə b ə t											
454-8								ʔ a sː ə r a											
484-8								s ɨ dː ɨ s											
535-8								ʔ a s ɨ r											
543-8								s e l o s											
593-8								h a m u s											
640-8								m ə n											
1-8								d ə ɲ ə r ə											
65-8								tʼ u b											
163-8								s ə tʼ ə											
212-8								ʔ e n											
244-8								ʔ a r b ə t											
248-8								m u l a											
293-8								f ə r ə z											
373-8								kʼ ɨ m ə l a											
408-8								b ə ʔ ə r a											
414-8								tʼ ɨ b a kʼ i											
601-8								h a r o b a											
642-8								n ɨ f a s											
60-8								n ə f ə s ə											
115-8								w ə n a m											
209-8								s ɨ mː ə t											
242-8								ʔ a mː ɨ s t											
415-8								z ɨ n a b											
450-8								z ə r ə											
490-8								tʼ o b ə m											
638-8								s ɨ n e											
645-8								kʼ a l											
75-8								h a b m ɨ r											
160-8								tʼ ə r ə kʼ a											
208-8								ʔ ɨ n kʼ o											
214-8								ʔ a b o											
218-8								ʔ ɨ z ɨ n											
378-8								ʔ a n g ə t											
379-8								z ə tʼ ə ɲ ə											
409-8								ʔ a t ə r a											
497-8								t ə n											
598-8								ħ a l e t											
646-8								ʔ a x ə											
164-8								b ə ʃ ə											
210-8								d ə h o											
215-8								tʼ ɨ n tʼ a b											
256-8								t u mː ə											
285-8								m ɨ tʼ a d											
332-8								ʔ ə g ɨ r											
380-8								ʔ a h u kʼ o											
412-8								s ə h a											
496-8								w ə n s ə n											
64-8								d a b o											
67-8								w ɨ r											
169-8								b ɨ z ə z ə											
251-8								f e kʼ											
294-8								m u kʼ i											
461-8								tʼ a tʼ e											
547-8								w ɨ z ə t											
597-8								ʔ ɨ n dʒ ə d											
655-8								m ɨ ʃ t											
7-8								ʔ a l g a											
158-8								kʼ ə m ɨ s											
168-8								ʔ ɨ m a r a											
296-8								j ɨ h u											
374-8								b ə kʼː o l o											
385-8								w ɨ tʼ ə t											
500-8								ʔ ɨ m ə n											
6-8								m ə l k a m											
17-8								ʔ a h ɨ r											
123-8								ʃ e tʼ ə											
252-8								n ə kʼ ə b ə											
421-8								b ɨ ʃ ə											
448-8								kʼ ɨ tʼ a n s b ə t											
449-8								ʔ a z ə											
545-8								x ɨ n o											
596-8								n ə g ə											
653-8								b ə t ə											
4-8								g ɨ n ə											
8-8								kʼ ə b ə t o											
254-8								dʒ ɨ m ə t											
290-8								h a g ə z ə											
339-8								b ə kʼ ɨ l											
460-8								x ɨ j a											
489-8								b w ə r tʃʼ a m											
552-8								z ɨ n											
652-8								ʔ a t ə d e											
3-8								h ɨ n a d											
119-8								ʔ a n g a tʃʼ a											
298-8								h ɨ t											
340-8								g o n ə											
458-8								d ə n g ə ɲ ə											
459-8								ʔ a sː o											
607-8								ʔ a t w a											
609-8								ʔ ɨ h a											
10-8								tʼ ɨ kʼ u r											
15-8								ʔ ɨ n ɨ n											
18-8								n ɨ kʼ j ə											
73-8								tʃʼ ə kʼ w ə r a											
76-8								m w ə s a											
121-8								t ɨ kʼ											
167-8								g ɨ j ə											
255-8								kʼ o l ə tʃʼ ə											
297-8								g u n ə r											
299-8								g u n ə r											
338-8								b ɨ m ɨ r o											
342-8								m e n a											
344-8								kʼ ə s ə m											
410-8								kʼ a r e j a											
540-8								l e b a											
550-8								dʒ ə n dʒ ɨ r											
219-8								g ə ɲ a t											
250-8								w ə t											
301-8								kʼ u t ə r a											
74-8								g w ə b ə											
120-8								d a n g a											
122-8								kʼ a w a											
220-8								tʃʼ ə w a											
245-8								kʼ ə w ə r ə											
300-8								x ɨ n											
341-8								kʼ ɨ n ə m											
549-8								t ə h a kʼ g e											
610-8								m ɨ r a f ə											
643-8								g o r											
118-8								tʃʼ ə ɲ ə											
221-8								dʒ ə ɲ ə r ə											
420-8								ʔ o z a t											
455-8								x e m a											
495-8								w e t											
