COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
381-5					ʔ a tː d														
417-5					r ɨ z														
451-5					s ə b g a t														
454-5					ʔ a tʃʼ ɨ r														
484-5					s ɨ dː ɨ s t														
535-5					ʔ a sː ɨ r														
543-5					s o s														
593-5					ʔ a mː w ə s														
640-5					m w a n														
1-5					d ə bː ə r ə m														
65-5					tʼ ɨ b														
163-5					s ə tʃʼ ə m														
212-5					ʔ e n														
244-5					ʔ a r b ə tː														
248-5					m w e r														
293-5					f ə r ə z														
373-5					kʼ ɨ m a r														
408-5					b w ə r a														
414-5					d ɨ bː a kʼ u lː a														
601-5					ʔ a r b a														
642-5					ʔ ɨ f a s														
60-5					n ə fː ə s ə m														
115-5					ʔ a m a														
209-5					s ɨ mː u t														
242-5					ʔ a mː ɨ s														
415-5					z ɨ r a b														
450-5					z ə r														
490-5					tʼ ə bː w a														
61-6						d ə m													
63-6						ʔ a s ɨ m													
107-6						g ə m ə l													
112-6						d a b ə r a													
331-6						n ɨ g u s													
377-6						b ɨ w ɨ l													
381-6						ħ ə ʔ d													
417-6						r u z													
451-6						s ə b ʕ a t													
454-6						ħ a s ɨ r													
484-6						s ɨ ʔ ʔ ɨ s													
535-6						ʔ a s ɨ r													
543-6						s ə ʔ ɨ s													
593-6						k ə m ɨ s													
640-6						m ɨ n t													
1-6						d ə bː ə r ə													
163-6						s ə tʼː ə													
212-6						ʔ əi̯ n t													
244-6						ʔ a r b a t													
248-6						m ɨ l ʔ a													
293-6						f ə r ə z													
373-6						kʼ ɨ m a l													
408-6						b ə r ʕ a r													
601-6						ħ ə r b ɨ ʔ a													
642-6						n ɨ f a s													
60-6						n ə f ə s ə													
115-6						l ə r m a													
242-6						ʔ a mː ɨ s													
415-6						z ɨ n a b													
450-6						z ə r ʔ ə t													
490-6						s ə bː a													
61-7							d ə m												
63-7							ʔ a tʼ ɨ m												
107-7							g a m e r a												
112-7							d a b ə r a												
331-7							n ɨ g u s												
377-7							b ɨ kʼ w ə r ə												
381-7							ʔ a t ə												
417-7							r w z												
451-7							s ə b a t												
454-7							ʔ a tʃʼ ɨ r												
484-7							s ɨ tː ɨ s												
535-7							ʔ a sː ɨ r												
543-7							s w ə s												
593-7							x a m w ɨ s												
640-7							m w a												
1-7							d ə pː ə r ə m												
65-7							tʼ ɨ b												
163-7							s ə tʃʼ ə m												
212-7							ʔ e n												
244-7							ʔ a r b ə t												
248-7							m w ɨ r												
293-7							f ə r ə z												
373-7							kʼ ɨ m a r												
408-7							b ɨ r a ai̯												
414-7							d ɨ bː a kʼ u lː a												
601-7							ʔ ə r b o												
642-7							n ɨ f a s												
60-7							n ə fː ə s ə m												
115-7							ʔ a m a												
209-7							s ɨ mː ɨ t												
242-7							ʔ a mː ɨ s												
415-7							z ɨ n a b												
450-7							z ə r												
490-7							t ə pː w ə m												
61-8								d ə m											
63-8								ʔ a tʼ ɨ m											
107-8								g a m e r											
112-8								d a b ə r a											
331-8								n ɨ g u s											
377-8								b ɨ kʼ w ɨ r ə											
381-8								ʔ a t e											
417-8								r u z											
451-8								s ə b a t											
454-8								ʔ a tʃʼ ɨ r											
484-8								s ɨ tː ɨ s											
535-8								ʔ a sː ɨ r											
543-8								ʃ e s t											
593-8								x a m w ɨ s											
640-8								m w a n											
1-8								d ə p ə r ə m											
65-8								tʼ ɨ b											
163-8								s ə tʃʼ ə											
212-8								ʔ e n											
244-8								ʔ a r b ə t											
248-8								m w e r											
293-8								f ə r ə z											
373-8								kʼ ɨ m a r											
408-8								b w ɨ r a											
414-8								tʼ ɨ b a kʼ u lː a											
601-8								ʔ ə r b a											
642-8								n ɨ f a s											
60-8								n ə f ə s ə m											
115-8								r a m a											
209-8								s ɨ mː u n											
242-8								ʔ a mː ɨ s											
415-8								z ɨ r a b											
450-8								z ə r											
490-8								tʼ ə p a											
61-9									d ə m										
63-9									ʔ a tʼ ɨ m										
107-9									g ə m e r										
112-9									d a b ə r a										
331-9									n ɨ g u s										
377-9									b o kʼ u r ə										
381-9									ʔ a t ə d										
417-9									r u z										
451-9									s ə b a t										
454-9									ʔ a tʃʼ ɨ r										
484-9									s ɨ tː ə s t										
535-9									ʔ a s ɨ r										
543-9									s ə ʃ t										
593-9									ʔ a m w ə s										
640-9									m o n										
1-9									tʃʼ ə p ə r ə										
65-9									tʼ ɨ b										
163-9									s ə tʃʼ ə										
212-9									ʔ e n										
244-9									ʔ a r b a t										
248-9									m w ɨ r										
293-9									f ə r ə z										
373-9									kʼ w ai̯										
408-9									b o r a r										
414-9									tʼ ə b a kʼ u										
601-9									ʔ a r o b										
642-9									n ə f a s										
60-9									n ə f ə s ə										
209-9									s ɨ mː ə t										
242-9									ʔ a mː ɨ s										
415-9									z ɨ r a b										
490-9									tʼ ə p a										
61-10										d ə m									
63-10										ʔ a tʼ i									
107-10										g i kʼ									
112-10										d aː b ə r a									
331-10										n u g u s									
377-10										b u kʼ u ħ									
381-10										ʔ a ħ a t									
417-10										r u z									
451-10										s ə b ʔ a									
454-10										ħ a tʃʼ iː r									
484-10										s ɨ d									
535-10										ʔ a sː ɨ r									
543-10										s oi̯									
593-10										ħ a mː u s									
640-10										m o n									
1-10										d ə b ə r a									
65-10										tʼ u b									
163-10										s ə tʃʼ i									
212-10										ʔ aːi̯									
244-10										ʔ a r b aː t									
248-10										m u lː a ħ									
293-10										f ə r ə z									
373-10										kʼ oː m a ħ									
408-10										b oː r									
414-10										d u b a kʼ u									
601-10										ħ aː r b i									
115-10										l a r aː kʼ									
209-10										s u mː u									
242-10										ʔ a mː u s									
415-10										z i ħ b i									
490-10										tʼ o b o									
61-11											d ə m								
63-11											ʔ a tʼ ɨ m								
107-11											g ə m e r a								
112-11											d a b ə r a								
331-11											n ɨ g u s								
377-11											b ɨ kʼ w o r ə								
381-11											ʔ a t ə								
417-11											r u z								
451-11											s ə b a t								
454-11											ʔ a tʃʼ ɨ r								
484-11											s ɨ t ɨ s t								
535-11											ʔ a sː ɨ r								
543-11											s ə ʃ t								
593-11											ʔ a m w u s								
640-11											m w a n								
1-11											d ə p ə r ə								
65-11											tʼ ɨ b								
163-11											s ə tʃ ə								
212-11											ʔ ə n								
244-11											ʔ a r b ə t								
248-11											m w ɨ r								
293-11											f ə r ə z								
373-11											kʼ ɨ m a r								
408-11											b ɨ r a r								
414-11											d ɨ bː a kʼ u								
601-11											ʔ ə r b o ʔ a								
642-11											n ɨ f a s								
60-11											n ə fː ə s ə m								
115-11											ʔ a m a								
209-11											s ɨ m w ɨ r								
242-11											ʔ a m ɨ s								
450-11											z ə r ʔ								
490-11											tʼ ə p a								
61-12												d ə m							
63-12												ʔ a tʼ ɨ n							
107-12												g a l ə l a							
112-12												d a b ə n a							
331-12												n ə g u s							
377-12												b o kʼ o l							
381-12												ʔ a t ə tː							
417-12												r ɨ z							
451-12												s ə b a t							
454-12												ʔ a tʃʼ ɨ r							
484-12												s ɨ dː ɨ s t							
535-12												ʔ a sː ɨ r							
543-12												s ə ʃ ə t							
593-12												ʔ a mː u s							
640-12												m o n							
1-12												d ə bː ə r ə m							
65-12												tʼ i b							
163-12												s ə ʃː ə m							
212-12												ʔ ə n							
244-12												ʔ a r b ə t							
248-12												m o lː a							
293-12												f ə r ə z							
373-12												kʼ ɨ m a l							
408-12												b i r a r							
414-12												d ə bː a kʼ u lː a							
601-12												ʔ a r b o							
642-12												n ə f a s							
60-12												n ə f ə s ə m							
115-12												l a n a m							
209-12												s ə mː u n							
242-12												ʔ a mː ɨ s							
415-12												z ɨ n a b							
450-12												z ə r							
490-12												tʼ ə bː o							
61-13													d ə m						
63-13													ʔ a tʼ ɨ m						
107-13													g a m e						
112-13													d a b ə n a						
331-13													n ə g u s						
377-13													b ɨ kʼ w ə r ə						
381-13													ʔ a tː ə						
417-13													r w z						
451-13													s ə b a tː						
454-13													ʔ a tʃʼ ɨ r						
484-13													s ɨ dː ɨ s t						
535-13													ʔ a sː ɨ r						
543-13													s o ʃ t						
593-13													ʔ a m w ə s						
640-13													m w a n						
1-13													d ə bː ə r ə						
65-13													tʼ u b						
163-13													s ə tʃː e						
212-13													ʔ e n						
244-13													ʔ a r b a t						
248-13													m w e lː a						
293-13													f ə r ə z						
373-13													kʼ ɨ m a l						
408-13													b w o r						
414-13													tʼ ɨ b a kʼ u lː a						
601-13													ʔ a r w a						
642-13													n ə f a s						
60-13													n ə f ə s ə m						
115-13													l a n a						
209-13													s ɨ mː u n						
242-13													ʔ a mː ɨ s						
415-13													z ɨ n a b						
450-13													z ə r						
490-13													tʼ ə bː w a						
61-14														d ə m					
63-14														ʔ a tʼ ɨ m					
107-14														g e m ə l a					
112-14														d a b ə n a					
331-14														n ə g u s					
377-14														b ɨ ʔ ɨ l					
381-14														ʔ a tː ə					
417-14														r u z					
451-14														s ə b a tː					
454-14														ʔ a tʃʼ ɨ r					
484-14														s ɨ dː ɨ s t					
535-14														ʔ a sː ɨ r					
543-14														s ə ʃ t					
593-14														x a mː u s					
640-14														m w a n					
1-14														d ə bː ə r ə m					
65-14														tʼ ɨ b					
163-14														s ə tʃ ə m					
212-14														ʔ e n					
244-14														ʔ a r b t					
248-14														m w ə lː a					
293-14														f ə r ə z					
373-14														kʼ ɨ m a l					
408-14														b ɨ r a					
414-14														d ə bː a kʼ u lː a					
601-14														ʔ a r b					
642-14														n ə f a s					
60-14														n ə f ə s ə m					
115-14														l a r a w					
209-14														s ə mː u n					
242-14														ʔ a mː ɨ s					
415-14														z ɨ n a b					
450-14														z ə r					
490-14														tʼ ə bː w ə m					
61-15															d ə m				
63-15															ʔ a tʼ ɨ m a				
107-15															g i m e				
112-15															d a mː ə n a				
331-15															n u g u s				
377-15															b u kʼ u l				
381-15															ʔ a tː				
417-15															r u z				
451-15															s ə b a tː				
454-15															ʔ a tʃʼ ɨ r				
484-15															s ɨ d				
535-15															ʔ a ʃ ɨ r				
543-15															s ə l s				
593-15															ʔ a mː u s				
640-15															m w ə n				
1-15															d ə b ə r ə				
65-15															tʼ u b				
163-15															s ə tʃ e				
212-15															ʔ ai̯ n				
244-15															ʔ a r b ə t				
248-15															m u lː a r				
293-15															f ə r ə z				
373-15															kʼ ɨ m a l				
414-15															d ə b a kʼ o				
601-15															ʔ a r b o				
642-15															ʔ ɨ f a s				
60-15															r ə f ə s ə				
115-15															l a r m				
209-15															s ɨ mː u n				
242-15															ʔ a mː ɨ s				
415-15															z ɨ n a b				
450-15															z ə r				
490-15															tʼ o b u				
61-16																d ə m a			
63-16																ʔ ɨ s a n			
107-16																g e m a l			
112-16																d ə bː ə n			
331-16																n ə g u s			
377-16																b ɨ kʼ o l			
381-16																ʔ ɨ ħ a t			
417-16																r ə z a			
451-16																s ə b ʔ a t			
454-16																ħ a tʼ ə r			
484-16																s ɨ ʔ a s			
535-16																ʔ a s ɨ r			
543-16																s ə l ʔ a s			
593-16																ħ ɨ m o s			
640-16																m			
65-16																s ɨ b			
163-16																s ə tʼ e			
212-16																ʔ a n t			
244-16																ħ a r b a t			
248-16																m ɨ l ʔ a			
293-16																f ə r ə z			
373-16																kʼ ɨ m a r			
408-16																b o r e			
414-16																d ə bː a kʼ o			
601-16																r ə r b o t			
642-16																n ə f a s			
209-16																s ə b ʔ a t			
242-16																ʔ a m ʔ a s			
415-16																z ɨ n a b			
450-16																z ə r ʔ a t			
61-17																	d ə m i		
63-17																	ʔ a s m		
107-17																	g ɨ n l ə l ə		
112-17																	d a b ə n a		
331-17																	n ɨ g u s		
377-17																	b ə q l ə l ə		
381-17																	ħ a t ə n		
417-17																	r u z i		
451-17																	s ə b ʔ a t		
454-17																	ħ a tʼː i r		
484-17																	s ɨ dː ɨ s		
535-17																	ʔ a sː r i		
543-17																	s ə l t i		
593-17																	ħ a m u s		
640-17																	m ɨ n t a		
1-17																	d ə bː ə l ə		
65-17																	s ɨ b t i lː		
163-17																	s ə tʼː ə		
212-17																	ʔ ɨ n t i		
244-17																	ħ a r b ə t		
248-17																	m ɨ l ʔ a		
293-17																	f ə r ə z i		
373-17																	q ɨ m a l		
408-17																	b ə r ə t		
414-17																	d ə bː a q u		
601-17																	ʔ a r b i		
642-17																	n ɨ f a ʃ		
60-17																	n ə f ə s ə		
115-17																	l a n t a		
209-17																	s ɨ mː u		
415-17																	z ɨ n a b i		
450-17																	z ə r ʔ i		
61-18																		d ə m	
63-18																		ʔ a tʼ i	
107-18																		g e m e	
112-18																		d a b ə n a	
331-18																		n u g u s	
377-18																		b o kʼ l o	
381-18																		ʔ a tː i	
417-18																		r u z	
451-18																		s ə b a tː	
454-18																		ʔ a tʃʼ ɨ r	
484-18																		s ɨ d	
535-18																		ʔ a s ɨ r	
543-18																		s ə l s	
593-18																		ʔ a mː u s	
640-18																		m a n a	
1-18																		d ə bː ə l ə	
65-18																		tʼ u b	
163-18																		s ə tʃʼ e	
212-18																		ʔ ai̯ n	
244-18																		ʔ a r b ə t	
248-18																		m u l a	
293-18																		f ə r ə z	
373-18																		kʼ u m a l	
408-18																		b o r a r	
414-18																		d ə bː a kʼ u	
601-18																		ʔ a r b o	
642-18																		ʔ ɨ f a s	
60-18																		r ə fː ə s ə	
115-18																		l a r a w	
209-18																		s ə mː u	
242-18																		ʔ a mː ɨ s	
415-18																		z i r a b	
450-18																		z i r	
490-18																		tʼ o bː o	
61-19																			d ə m
63-19																			ʔ a t ɨ m
107-19																			g i m e
112-19																			d a b ə r ə
331-19																			n ɨ g u s
377-19																			b u kʼ ə l
381-19																			ʔ a t ə
417-19																			r u z
451-19																			s a b ʔ a t
454-19																			ʔ a tʃʼ ɨ r
484-19																			s ɨ d
535-19																			ʔ a s ɨ r
543-19																			s ə l t ə s
593-19																			ʔ a m u s
640-19																			m uː n
1-19																			d ə bː ə l ə
65-19																			t u b
163-19																			s ə tʃʼ i
212-19																			ʔ e n
244-19																			ʔ a r b aː t
248-19																			m uː ɨ l
293-19																			f ə r ə z
373-19																			kʼ u m a l
408-19																			b uː r a r
414-19																			d ə bː a kʼ u
601-19																			ʔ a r u
642-19																			ʔ ɨ f a s
60-19																			n ə fː ə s ə
115-19																			l a r aː w
209-19																			s ə mː u
242-19																			ʔ a mː u s
415-19																			z i l a b
450-19																			z ə r
490-19																			t ə bː o
