COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
1007-1	Ø Ø g Ø l e			
1088-1	Ø Ø Ø Ø l e			
1087-1	Ø Ø g Ø l e			
702-1	eː l a			
536-1	k Ø Ø Ø e			
694-1	n Ø Ø			
468-2		l aː b a		
222-2		aː b a b o ʔ i		
208-2		a b u r b u u		
962-2		a g o r θ a		
203-2		a g u i ʔ e		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ə ŋ e		
662-2		ɓ oː e e aː		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n i		
256-2		ɓ a l e		
622-2		n u		
546-2		n u		
547-2		ʃ ɛ f a		
847-2		n ɛ n g		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b u m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r ŋ a		
453-2		ɗ u ŋ e		
67-2		ɗ e ʃ e		
47-2		d o k e ɛ θ e		
869-2		ɗ oː l a		
57-2		k a g u		
303-2		g ʔ aː s ʔ i a		
443-2		g e r a		
884-2		g u n		
166-2		g u n i		
918-2		a b a r e		
831-2		h Ø ʃ e		
616-2		b iː e		
84-2		h o ʃ a l e		
346-2		h oː h e l e		
601-2		s i g i		
177-2		k ʔ a f a ŋ		
341-2		k ʔ o l a		
1066-2		f ɛ n d e ŋ e		
318-2		e f e ʃ i		
241-2		m a ʃ e e e		
556-2		h a n ŋ u		
191-2		ɓ i m ɓ l		
458-2		a s ʔ i s ʔ i		
1-2		h a Ø g e r		
751-2		r o		
864-2		a r o n e e e		
154-2		a ʔ m aː n Ø i		
278-2		aː m i l o ʔ i		
766-2		ʃ oː r e		
251-2		a g u r u		
582-2		u ʔ e ŋ e		
6-2		a l i		
1106-2		ŋ g o		
473-2		e m e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s iː		
25-2		θ a Ø e		
879-2		a b a Ø a b ɛ d		
566-2		aː Ø e Ø Ø e r e s		
742-2		a g e ʔ		
1044-2		ʃ i m b i l u		
13-2		a l h e m i s		
720-2		Ø s ɛ l e ʔ		
837-2		m Ø Ø i		
233-2		ɓ iː ɓ o		
938-2		ɓ u l e a ə e		
369-2		a Ø e		
946-2		Ø a Ø g e		
889-2		ɓ Ø l e		
820-2		Ø Ø e Ø Ø Ø		
405-2		b Ø d e		
134-2		ɓ Ø ɗ i e		
1078-2		m Ø h i		
429-2		b o ŋ Ø o ʃ		
187-2		b Ø s k e		
438-2		n Ø Ø Ø e		
385-2		m a k o ʃ		
283-2		Ø a n s ʔ ɛ Ø e		
390-2		aː Ø e a Ø u		
783-2		m r θ e		
842-2		ɗ o r o Ø e		
110-2		Ø Ø i Ø ɛ r i		
650-2		k o ʃ		
91-2		g e l e s i		
668-2		w ɛ Ø e		
777-2		Ø a d Ø l i e		
728-2		Ø Ø Ø i		
165-2		m a		
1007-2		e Ø g e l e		
1087-2		e Ø g e l e		
894-2		iː s u		
536-2		k ʔ Ø d e		
694-2		n Ø Ø		
468-3			l b ə	
222-3			ə b ə b Ø ʔ i	
208-3			ə b u r b u d u	
962-3			ə g o r ŋ ə	
203-3			ə g u d i ʔ	
138-3			a ʃ i l ɛ	
504-3			d ɔː ʃ ʊ ɲ	
662-3			p.ʔ u d a a a	
478-3			ŋ g ɔː d a	
409-3			ə r ɛ	
410-3			g u n d i	
256-3			p.ʔ a l ɛ	
622-3			n d u	
546-3			n d u	
547-3			ʃ i f ə ʔ	
847-3			n i n d i g i	
95-3			b i d i	
105-3			b Ø n i	
510-3			b o ʃ ə	
951-3			m b m ə r ɛ	
1116-3			m b m ə	
149-3			p.ʔ u s ʔ i	
376-3			p.ʔ l i	
815-3			g o r a ŋ ə	
453-3			d u ŋ ɛ	
67-3			d a ʃ ɛ	
47-3			d u k u l a a	
869-3			d ʊː l ə	
57-3			k a g u	
303-3			g s ʔ i ə	
443-3			g r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			ə b a r ɛ	
831-3			h Ø ŋ ʃ ɛ	
616-3			b Ø ɛ	
84-3			h o ʃ a l a	
346-3			h o ʊ o l u	
601-3			s i g i	
177-3			k ʔ ə f ə ŋ	
341-3			k ʔ o l ə	
1066-3			f i n s i ŋ a	
318-3			ʊ f ʃ i	
241-3			m a ŋ ʃ a a o	
556-3			h ə n d ʊ ŋ u	
191-3			p.ʔ i m b i l	
458-3			ə s ʔ i s ʔ i	
1-3			h ə ŋ g ɪ r a	
751-3			r o	
864-3			ə Ø o n a a i	
154-3			ə m n s i	
278-3			m i l u ʔ i	
766-3			ʃ ɔː r	
251-3			ə g u r u	
582-3			u u ŋ	
6-3			ə l i	
1106-3			ɲ g o	
473-3			ŋ ɪ n ɛ	
1111-3			h ə l u	
957-3			m ə r ɛ	
24-3			s i	
25-3			Ø a Ø	
879-3			ə b ə Ø ə b ɛ Ø ʔ	
566-3			Ø Ø Ø ə Ø Ø o r ə s ʔ	
742-3			ə g o ʔ	
1044-3			ʃ Ø m b i l ʊ	
13-3			ə l h ə m i s	
720-3			a s Ø l ə ʔ	
233-3			Ø i Ø i Ø o	
938-3			p.ʔ u l d a ʔ a	
369-3			ə Ø	
889-3			p.ʔ Ø l u	
405-3			b Ø d ɛ	
134-3			p.ʔ Ø d i ʔ ɪ	
1078-3			m iː h i	
429-3			b o ŋ d o ʃ	
187-3			b Ø s d ʔ ɪ Ø ɛ	
385-3			m Ø k ʔ o ʃ	
283-3			ə n d s Ø Ø	
390-3			Ø Ø ə a d a	
783-3			m a r d ə	
52-3			d Ø ʃ Ø	
842-3			d o Ø o ʃ a	
650-3			k ʔ o ʃ	
91-3			g ə l ə s i	
668-3			w Ø Ø ə	
777-3			g i n d a l i ə	
728-3			s i ʔ i	
165-3			m ə	
1088-3			Ø o ʃ ə l Ø	
702-3			Ø l a	
894-3			iː s ʔ u	
536-3			k ʔ eː Ø	
468-4				θ o b o
222-4				o b Ø b Ø n e
208-4				o b u r b u d u
962-4				o g o r h u
203-4				o g u d i a a
138-4				ʃ i l e
504-4				ɗ oː ʃ a a i
662-4				ɓ u d a a i
478-4				Ø g oː ɗ i
409-4				o r
410-4				g u n d i
256-4				ɓ Ø l a
622-4				n d u
546-4				n d u
547-4				ʃ e f o
847-4				n e n d i g i
95-4				b e ɗ i
105-4				b Ø n a h i
510-4				b o ʃ o
951-4				m b Ø m o r
1116-4				m b Ø m a
149-4				ɓ u s i
376-4				ɓ u l i
815-4				g o r o
453-4				ɗ u n a
67-4				ɗ Ø ʃ e
47-4				ɗ o k o θ a a i
869-4				ɗ uː θ o
57-4				k Ø g u
303-4				g a o s i o
443-4				g e r o
884-4				g u n d i
166-4				g u n d i
918-4				o b e r o
831-4				h Ø ʃ e
616-4				b Ø
84-4				h o ʃ e l a
346-4				h Ø h u l u
601-4				z i g i
177-4				k o f o
341-4				k o l o
1066-4				f e n s i ŋ i
318-4				a f ʃ i
241-4				m Ø ʃ a a o
556-4				h o n d u ŋ u
191-4				ɓ e m b i l
458-4				o s i s i
1-4				h o n Ø i r a
751-4				r o
864-4				o ŋ o n a a i
154-4				o a m o n z i
278-4				o m i l o a
766-4				ʃ oː r i
251-4				o g u r u
582-4				u u ŋ a
6-4				o l i
1106-4				n g o
473-4				Ø i n
1111-4				h o θ u
957-4				m a r
41-4				b Ø a
566-4				o f o Ø f o r o s
742-4				Ø g Ø
1044-4				ʃ Ø m b i l
13-4				l h o m i s
720-4				Ø s e l o
837-4				m a ʃ i
946-4				ɓ o ŋ g o
820-4				a ʃ o Ø a
405-4				b Ø d a
134-4				ɓ Ø ɗ i i
1078-4				m Ø h i
429-4				b o Ø o ʃ
187-4				b u s Ø Ø g e
438-4				d Ø
385-4				m Ø k o ʃ
390-4				o Ø o
783-4				m Ø r Ø o
52-4				Ø Ø Ø Ø Ø
110-4				Ø Ø d e r i
650-4				k o ʃ
91-4				g a l o s i
668-4				w e Ø o
777-4				g Ø d Ø l i o
728-4				Ø Ø Ø i
1007-4				Ø ŋ g o l
1088-4				h Ø ʃ Ø l e
1087-4				Ø ŋ g o l
702-4				Ø l i
894-4				Ø s u
694-4				d Ø
