ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
412	101_again	again	Maiyu	Maiyu	fíʃ	fíʃ	f í/i ʃ	mayu1240	10.473464	34.540485	Berta	3 7 3	AXN	BIS	3	3.B.C 3.I.V 3.S.c	2.0 1.5 0.8	fí/iʃ	0	20
413	101_again	again	Fadashi	Fadashi	moːθeju / fiʃ	moːθeju	m oː θ e j u	fada1248	9.585863	34.677096	Berta	4 7 3 7 6 7	AXBYBZ	MUDEJY	2	2.M.C 2.U.V 2.D.C 2.E.V 2.J.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	moːθeju	0	19
414	101_again	again	Fadashi	Fadashi	moːθeju / fiʃ	fiʃ	f i ʃ	fada1248	9.585863	34.677096	Berta	3 7 3	AXN	BIS	2	2.B.C 2.I.V 2.S.c	2.0 1.5 0.8	fiʃ	0	20
415	101_again	again	Undulu	Undulu	mɪʃiŋ́̊	mɪʃiŋ́̊	m ɪ ʃ i ŋ́̊/ŋ̍	undu1236	10.314359	34.778879	Berta	4 7 3 7 4	AXBYN	MISIN	4	4.M.C 4.I.V 4.S.C 4.I.V 4.N.c	2.0 1.5 1.75 1.3 0.8	mɪʃiŋ́̊/ŋ̍	0	21
416	101_again	again	BelejeGonfoye	Beleje Gonfoye	ŋolalolo	ŋolalolo	ŋ o l a l o l o		9.097105	36.203337	Berta	4 7 5 7 5 7 5 7	AXBYBYBZ	NULALULU	1	1.N.C 1.U.V 1.L.C 1.A.V 1.L.C 1.U.V 1.L.C 1.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	ŋolalolo	0	18
9	3_alive	alive	Maiyu	Maiyu	siː θaːre	siː_θaːre	s iː + θ aː r e	mayu1240	10.473464	34.540485	Berta	3 7 9 3 7 5 7	AX_AXBZ	SI_DARE	3	3.S.C 3.I.V 3._._ 3.D.C 3.A.V 3.R.C 3.E.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	siː+θaːre	0	24 25
10	3_alive	alive	Fadashi	Fadashi	siː θaːre	siː_θaːre	s iː + θ aː r e	fada1248	9.585863	34.677096	Berta	3 7 9 3 7 5 7	AX_AXBZ	SI_DARE	2	2.S.C 2.I.V 2._._ 2.D.C 2.A.V 2.R.C 2.E.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	siː+θaːre	0	24 25
11	3_alive	alive	Undulu	Undulu	hiːʔiya	hiːʔiya	h iː ʔ i y a	undu1236	10.314359	34.778879	Berta	3 7 1 7 7 7	AXBYYZ	HIHIYA	4	4.H.C 4.I.V 4.H.C 4.I.V 4.Y.V 4.A.V	2.0 1.5 1.75 1.3 1.3 0.8	hiːʔiya	0	26
12	3_alive	alive	BelejeGonfoye	Beleje Gonfoye	(mba) si lːaré	_si_lːaré	s i + lː a r é/e		9.097105	36.203337	Berta	3 7 9 5 7 5 7	AX_AXBZ	SI_LARE	1	1.S.C 1.I.V 1._._ 1.L.C 1.A.V 1.R.C 1.E.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	si+lːaré/e	0	24 25
524	128_alwaysdaily	always, daily	Maiyu	Maiyu	mufaiʲo tʃ’ílːíŋ	mufaiʲo_tʃ’ílːíŋ	m u f a iʲ/i o + tʃ ʔ í/i lː í/i ŋ	mayu1240	10.473464	34.540485	Berta	4 7 3 7 7 7 9 1 1 7 5 7 4	AXBYYZ_ACYBYN	MYBAIU_THILIN	3	3.M.C 3.Y.V 3.B.C 3.A.V 3.I.V 3.U.V 3._._ 3.T.C 3.H.C 3.I.V 3.L.C 3.I.V 3.N.c	2.0 1.5 1.75 1.3 1.3 0.8 0.0 2.0 1.5 1.3 1.75 1.3 0.8	mufaiʲ/io+tʃʔí/ilːí/iŋ	0	38 39
525	128_alwaysdaily	always, daily	Fadashi	Fadashi	muje muje	muje_muje	m u j e + m u j e	fada1248	9.585863	34.677096	Berta	4 7 6 7 9 4 7 6 7	AXBZ_AXBZ	MYJE_MYJE	2	2.M.C 2.Y.V 2.J.C 2.E.V 2._._ 2.M.C 2.Y.V 2.J.C 2.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	muje+muje	0	36 37
526	128_alwaysdaily	always, daily	BelejeGonfoye	Beleje Gonfoye	li mundʒu li mundʒu	li_mundʒu_li_mundʒu	l i + m u n dʒ u + l i + m u n dʒ u		9.097105	36.203337	Berta	5 7 9 4 7 4 1 7 9 5 7 9 4 7 4 1 7	AX_AXMBZ_AX_AXMBZ	LI_MYNTY_LI_MYNTY	1	1.L.C 1.I.V 1._._ 1.M.C 1.Y.V 1.N.c 1.T.C 1.Y.V 1._._ 1.L.C 1.I.V 1._._ 1.M.C 1.Y.V 1.N.c 1.T.C 1.Y.V	2.0 1.5 0.0 2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5 1.1 1.75 0.8	li+mundʒu+li+mundʒu	0	32 33 34 35
5	2_arm	arm	Maiyu	Maiyu	bʊʷa	bʊʷa	b ʊʷ/ʊu̯ a	mayu1240	10.473464	34.540485	Berta	1 7 7	AXZ	PYA	3	3.P.C 3.Y.V 3.A.V	2.0 1.5 0.8	bʊʷ/ʊu̯a	0	43
6	2_arm	arm	Fadashi	Fadashi	beː tuká	beː_tuká	b eː + t u k á/a	fada1248	9.585863	34.677096	Berta	1 7 9 1 7 1 7	AX_AXBZ	PE_TYKA	2	2.P.C 2.E.V 2._._ 2.T.C 2.Y.V 2.K.C 2.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	beː+tuká/a	0	41 42
7	2_arm	arm	Undulu	Undulu	biʲé	biʲé	b iʲ/i é/e	undu1236	10.314359	34.778879	Berta	1 7 7	AXZ	PIE	4	4.P.C 4.I.V 4.E.V	2.0 1.5 0.8	biʲ/ié/e	0	41
8	2_arm	arm	BelejeGonfoye	Beleje Gonfoye	biʲé	biʲé	b iʲ/i é/e		9.097105	36.203337	Berta	1 7 7	AXZ	PIE	1	1.P.C 1.I.V 1.E.V	2.0 1.5 0.8	biʲ/ié/e	0	41
381	93_ask	ask	Maiyu	Maiyu	ɗɔk’ɔθa	ɗɔk’ɔθa	ɗ ɔ k ʔ ɔ θ a	mayu1240	10.473464	34.540485	Berta	1 7 1 1 7 3 7	AXMBYBZ	TUKHUDA	3	3.T.C 3.U.V 3.K.c 3.H.C 3.U.V 3.D.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ɗɔkʔɔθa	0	47
382	93_ask	ask	Fadashi	Fadashi	ɗokoθa	ɗokoθa	ɗ o k o θ a	fada1248	9.585863	34.677096	Berta	1 7 1 7 3 7	AXBYBZ	TUKUDA	2	2.T.C 2.U.V 2.K.C 2.U.V 2.D.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	ɗokoθa	0	47
383	93_ask	ask	Undulu	Undulu	dukuθa	dukuθa	d u k u θ a	undu1236	10.314359	34.778879	Berta	1 7 1 7 3 7	AXBYBZ	TYKYDA	4	4.T.C 4.Y.V 4.K.C 4.Y.V 4.D.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	dukuθa	0	47
384	93_ask	ask	BelejeGonfoye	Beleje Gonfoye	dokolɛne	dokolɛne	d o k o l ɛ n e		9.097105	36.203337	Berta	1 7 1 7 5 7 4 7	AXBYBYBZ	TUKULENE	1	1.T.C 1.U.V 1.K.C 1.U.V 1.L.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	dokolɛne	0	47
357	87_baboon	baboon	Maiyu	Maiyu	dʊ́ʷosh	dʊ́ʷosh	d ʊ́ʷ/ʊu̯ o sh/ʃ	mayu1240	10.473464	34.540485	Berta	1 7 7 3	AXYN	TYUS	3	3.T.C 3.Y.V 3.U.V 3.S.c	2.0 1.5 1.3 0.8	dʊ́ʷ/ʊu̯osh/ʃ	0	52
358	87_baboon	baboon	Fadashi	Fadashi	duʔaʃ	duʔaʃ	d u ʔ a ʃ	fada1248	9.585863	34.677096	Berta	1 7 1 7 3	AXBYN	TYHAS	2	2.T.C 2.Y.V 2.H.C 2.A.V 2.S.c	2.0 1.5 1.75 1.3 0.8	duʔaʃ	0	53
359	87_baboon	baboon	Undulu	Undulu	tóːʃ	tóːʃ	t óː/oː ʃ	undu1236	10.314359	34.778879	Berta	1 7 3	AXN	TUS	4	4.T.C 4.U.V 4.S.c	2.0 1.5 0.8	tóː/oːʃ	0	52
360	87_baboon	baboon	BelejeGonfoye	Beleje Gonfoye	doːʃi	doːʃi	d oː ʃ i		9.097105	36.203337	Berta	1 7 3 7	AXBZ	TUSI	1	1.T.C 1.U.V 1.S.C 1.I.V	2.0 1.5 1.75 0.8	doːʃi	0	52
429	105_bamboo	bamboo	Maiyu	Maiyu	kaːgú	kaːgú	k aː g ú/u	mayu1240	10.473464	34.540485	Berta	1 7 1 7	AXBZ	KAKY	3	3.K.C 3.A.V 3.K.C 3.Y.V	2.0 1.5 1.75 0.8	kaːgú/u	0	57
430	105_bamboo	bamboo	Fadashi	Fadashi	kaːgú	kaːgú	k aː g ú/u	fada1248	9.585863	34.677096	Berta	1 7 1 7	AXBZ	KAKY	2	2.K.C 2.A.V 2.K.C 2.Y.V	2.0 1.5 1.75 0.8	kaːgú/u	0	57
431	105_bamboo	bamboo	Undulu	Undulu	gaːgú	gaːgú	g aː g ú/u	undu1236	10.314359	34.778879	Berta	1 7 1 7	AXBZ	KAKY	4	4.K.C 4.A.V 4.K.C 4.Y.V	2.0 1.5 1.75 0.8	gaːgú/u	0	57
432	105_bamboo	bamboo	BelejeGonfoye	Beleje Gonfoye	kaːgu	kaːgu	k aː g u		9.097105	36.203337	Berta	1 7 1 7	AXBZ	KAKY	1	1.K.C 1.A.V 1.K.C 1.Y.V	2.0 1.5 1.75 0.8	kaːgu	0	57
531	130_bebitter	be bitter	Maiyu	Maiyu	k’əs’í	k’əs’í	k ʔ ə s ʔ í/i	mayu1240	10.473464	34.540485	Berta	1 1 7 3 1 7	ACYMBZ	KHESHI	3	3.K.C 3.H.C 3.E.V 3.S.c 3.H.C 3.I.V	2.0 1.5 1.3 1.1 1.75 0.8	kʔəsʔí/i	0	64
532	130_bebitter	be bitter	Fadashi	Fadashi	k’as’i	k’as’i	k ʔ a s ʔ i	fada1248	9.585863	34.677096	Berta	1 1 7 3 1 7	ACYMBZ	KHASHI	2	2.K.C 2.H.C 2.A.V 2.S.c 2.H.C 2.I.V	2.0 1.5 1.3 1.1 1.75 0.8	kʔasʔi	0	64
533	130_bebitter	be bitter	BelejeGonfoye	Beleje Gonfoye	bɛ k’adʒi	bɛ_k’adʒi	b ɛ + k ʔ a dʒ i		9.097105	36.203337	Berta	1 7 9 1 1 7 1 7	AX_ACYBZ	PE_KHATI	1	1.P.C 1.E.V 1._._ 1.K.C 1.H.C 1.A.V 1.T.C 1.I.V	2.0 1.5 0.0 2.0 1.5 1.3 1.75 0.8	bɛ+kʔadʒi	0	62 63
377	92_becold	be cold	Maiyu	Maiyu	ɗɛʃí	ɗɛʃí	ɗ ɛ ʃ í/i	mayu1240	10.473464	34.540485	Berta	1 7 3 7	AXBZ	TESI	3	3.T.C 3.E.V 3.S.C 3.I.V	2.0 1.5 1.75 0.8	ɗɛʃí/i	0	67
378	92_becold	be cold	Fadashi	Fadashi	ɗaːʃé	ɗaːʃé	ɗ aː ʃ é/e	fada1248	9.585863	34.677096	Berta	1 7 3 7	AXBZ	TASE	2	2.T.C 2.A.V 2.S.C 2.E.V	2.0 1.5 1.75 0.8	ɗaːʃé/e	0	67
379	92_becold	be cold	Undulu	Undulu	ɗaʃé	ɗaʃé	ɗ a ʃ é/e	undu1236	10.314359	34.778879	Berta	1 7 3 7	AXBZ	TASE	4	4.T.C 4.A.V 4.S.C 4.E.V	2.0 1.5 1.75 0.8	ɗaʃé/e	0	67
380	92_becold	be cold	BelejeGonfoye	Beleje Gonfoye	ɗaːse	ɗaːse	ɗ aː s e		9.097105	36.203337	Berta	1 7 3 7	AXBZ	TASE	1	1.T.C 1.A.V 1.S.C 1.E.V	2.0 1.5 1.75 0.8	ɗaːse	0	67
361	88_bedifferentdiffer	be different, differ	Maiyu	Maiyu	ɗɛfəru	ɗɛfəru	ɗ ɛ f ə r u	mayu1240	10.473464	34.540485	Berta	1 7 3 7 5 7	AXBYBZ	TEBERY	3	3.T.C 3.E.V 3.B.C 3.E.V 3.R.C 3.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	ɗɛfəru	0	75
362	88_bedifferentdiffer	be different, differ	Fadashi	Fadashi	faːra gundi	faːra_gundi	f aː r a + g u n d i	fada1248	9.585863	34.677096	Berta	3 7 5 7 9 1 7 4 1 7	AXBZ_AXMBZ	BARA_KYNTI	2	2.B.C 2.A.V 2.R.C 2.A.V 2._._ 2.K.C 2.Y.V 2.N.c 2.T.C 2.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.1 1.75 0.8	faːra+gundi	0	73 74
363	88_bedifferentdiffer	be different, differ	Undulu	Undulu	dɛgasu úlú	dɛgasu_úlú	d ɛ g a s u + ú/u l ú/u	undu1236	10.314359	34.778879	Berta	1 7 1 7 3 7 9 7 5 7	AXBYBZ_XBZ	TEKASY_YLY	4	4.T.C 4.E.V 4.K.C 4.A.V 4.S.C 4.Y.V 4._._ 4.Y.V 4.L.C 4.Y.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 1.5 1.75 0.8	dɛgasu+ú/ulú/u	0	76 77
364	88_bedifferentdiffer	be different, differ	BelejeGonfoye	Beleje Gonfoye	aʔteʲʔe	aʔteʲʔe	a ʔ t eʲ/ei̯ ʔ e		9.097105	36.203337	Berta	7 1 1 7 1 7	XMBYBZ	AHTEHE	1	1.A.V 1.H.c 1.T.C 1.E.V 1.H.C 1.E.V	1.5 1.1 1.75 1.3 1.75 0.8	aʔteʲ/ei̯ʔe	0	72
328	80_bedirty	be dirty	Maiyu	Maiyu	diɗí	diɗí	d i ɗ í/i	mayu1240	10.473464	34.540485	Berta	1 7 1 7	AXBZ	TITI	3	3.T.C 3.I.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	diɗí/i	0	80
329	80_bedirty	be dirty	Fadashi	Fadashi	diːde	diːde	d iː d e	fada1248	9.585863	34.677096	Berta	1 7 1 7	AXBZ	TITE	2	2.T.C 2.I.V 2.T.C 2.E.V	2.0 1.5 1.75 0.8	diːde	0	80
330	80_bedirty	be dirty	Undulu	Undulu	bɛlɛsí	bɛlɛsí	b ɛ l ɛ s í/i	undu1236	10.314359	34.778879	Berta	1 7 5 7 3 7	AXBYBZ	PELESI	4	4.P.C 4.E.V 4.L.C 4.E.V 4.S.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	bɛlɛsí/i	0	81
331	80_bedirty	be dirty	BelejeGonfoye	Beleje Gonfoye	diːɗolo	diːɗolo	d iː ɗ o l o		9.097105	36.203337	Berta	1 7 1 7 5 7	AXBYBZ	TITULU	1	1.T.C 1.I.V 1.T.C 1.U.V 1.L.C 1.U.V	2.0 1.5 1.75 1.3 1.75 0.8	diːɗolo	0	79
500	122_bedry	be dry	Maiyu	Maiyu	hɔʃəla	hɔʃəla	h ɔ ʃ ə l a	mayu1240	10.473464	34.540485	Berta	3 7 3 7 5 7	AXBYBZ	HUSELA	3	3.H.C 3.U.V 3.S.C 3.E.V 3.L.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hɔʃəla	0	84
501	122_bedry	be dry	Fadashi	Fadashi	hoʃɛle	hoʃɛle	h o ʃ ɛ l e	fada1248	9.585863	34.677096	Berta	3 7 3 7 5 7	AXBYBZ	HUSELE	2	2.H.C 2.U.V 2.S.C 2.E.V 2.L.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	hoʃɛle	0	84
502	122_bedry	be dry	Undulu	Undulu	hoʃala	hoʃala	h o ʃ a l a	undu1236	10.314359	34.778879	Berta	3 7 3 7 5 7	AXBYBZ	HUSALA	4	4.H.C 4.U.V 4.S.C 4.A.V 4.L.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hoʃala	0	84
503	122_bedry	be dry	BelejeGonfoye	Beleje Gonfoye	hosalé	hosalé	h o s a l é/e		9.097105	36.203337	Berta	3 7 3 7 5 7	AXBYBZ	HUSALE	1	1.H.C 1.U.V 1.S.C 1.A.V 1.L.C 1.E.V	2.0 1.5 1.75 1.3 1.75 0.8	hosalé/e	0	84
433	106_begreen	be green	Maiyu	Maiyu	gɛlasí	gɛlasí	g ɛ l a s í/i	mayu1240	10.473464	34.540485	Berta	1 7 5 7 3 7	AXBYBZ	KELASI	3	3.K.C 3.E.V 3.L.C 3.A.V 3.S.C 3.I.V	2.0 1.5 1.75 1.3 1.75 0.8	gɛlasí/i	0	91
434	106_begreen	be green	Fadashi	Fadashi	galasí	galasí	g a l a s í/i	fada1248	9.585863	34.677096	Berta	1 7 5 7 3 7	AXBYBZ	KALASI	2	2.K.C 2.A.V 2.L.C 2.A.V 2.S.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	galasí/i	0	91
435	106_begreen	be green	Undulu	Undulu	galazí	galazí	g a l a z í/i	undu1236	10.314359	34.778879	Berta	1 7 5 7 3 7	AXBYBZ	KALASI	4	4.K.C 4.A.V 4.L.C 4.A.V 4.S.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	galazí/i	0	91
436	106_begreen	be green	BelejeGonfoye	Beleje Gonfoye	mbə gɛgɛdəkɛdi	mbə_gɛgɛdəkɛdi	m b ə + g ɛ g ɛ d ə k ɛ d i		9.097105	36.203337	Berta	4 1 7 9 1 7 1 7 1 7 1 7 1 7	ACZ_AXBYBYBYBZ	MPE_KEKETEKETI	1	1.M.C 1.P.C 1.E.V 1._._ 1.K.C 1.E.V 1.K.C 1.E.V 1.T.C 1.E.V 1.K.C 1.E.V 1.T.C 1.I.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	mbə+gɛgɛdəkɛdi	0	89 90
223	53_behot	be hot	Maiyu	Maiyu	bɛɗí	bɛɗí	b ɛ ɗ í/i	mayu1240	10.473464	34.540485	Berta	1 7 1 7	AXBZ	PETI	3	3.P.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	bɛɗí/i	0	95
224	53_behot	be hot	Fadashi	Fadashi	bɛɗi	bɛɗi	b ɛ ɗ i	fada1248	9.585863	34.677096	Berta	1 7 1 7	AXBZ	PETI	2	2.P.C 2.E.V 2.T.C 2.I.V	2.0 1.5 1.75 0.8	bɛɗi	0	95
225	53_behot	be hot	Undulu	Undulu	bɛɗí	bɛɗí	b ɛ ɗ í/i	undu1236	10.314359	34.778879	Berta	1 7 1 7	AXBZ	PETI	4	4.P.C 4.E.V 4.T.C 4.I.V	2.0 1.5 1.75 0.8	bɛɗí/i	0	95
226	53_behot	be hot	BelejeGonfoye	Beleje Gonfoye	bəɗi	bəɗi	b ə ɗ i		9.097105	36.203337	Berta	1 7 1 7	AXBZ	PETI	1	1.P.C 1.E.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	bəɗi	0	95
599	148_bepregnant	be pregnant	Maiyu	Maiyu	ɔlgɪɲi	ɔlgɪɲi	ɔ l g ɪ ɲ i	mayu1240	10.473464	34.540485	Berta	7 5 1 7 4 7	XMBYBZ	ULKINI	3	3.U.V 3.L.c 3.K.C 3.I.V 3.N.C 3.I.V	1.5 1.1 1.75 1.3 1.75 0.8	ɔlgɪɲi	0	100
600	148_bepregnant	be pregnant	Fadashi	Fadashi	olgiŋi	olgiŋi	o l g i ŋ i	fada1248	9.585863	34.677096	Berta	7 5 1 7 4 7	XMBYBZ	ULKINI	2	2.U.V 2.L.c 2.K.C 2.I.V 2.N.C 2.I.V	1.5 1.1 1.75 1.3 1.75 0.8	olgiŋi	0	100
601	148_bepregnant	be pregnant	Undulu	Undulu	wol͡dʒiŋʔi	wol͡dʒiŋʔi	w o l dʒ i ŋ ʔ i	undu1236	10.314359	34.778879	Berta	6 7 5 1 7 4 1 7	AXMBYMBZ	WULTINHI	4	4.W.C 4.U.V 4.L.c 4.T.C 4.I.V 4.N.c 4.H.C 4.I.V	2.0 1.5 1.1 1.75 1.3 1.1 1.75 0.8	woldʒiŋʔi	0	101
602	148_bepregnant	be pregnant	BelejeGonfoye	Beleje Gonfoye	olgɪne	olgɪne	o l g ɪ n e		9.097105	36.203337	Berta	7 5 1 7 4 7	XMBYBZ	ULKINE	1	1.U.V 1.L.c 1.K.C 1.I.V 1.N.C 1.E.V	1.5 1.1 1.75 1.3 1.75 0.8	olgɪne	0	100
243	58_bered	be red	Maiyu	Maiyu	bɪɲɛní	bɪɲɛní	b ɪ ɲ ɛ n í/i	mayu1240	10.473464	34.540485	Berta	1 7 4 7 4 7	AXBYBZ	PINENI	3	3.P.C 3.I.V 3.N.C 3.E.V 3.N.C 3.I.V	2.0 1.5 1.75 1.3 1.75 0.8	bɪɲɛní/i	0	105
244	58_bered	be red	Fadashi	Fadashi	bɪni	bɪni	b ɪ n i	fada1248	9.585863	34.677096	Berta	1 7 4 7	AXBZ	PINI	2	2.P.C 2.I.V 2.N.C 2.I.V	2.0 1.5 1.75 0.8	bɪni	0	105
245	58_bered	be red	Undulu	Undulu	bɛní	bɛní	b ɛ n í/i	undu1236	10.314359	34.778879	Berta	1 7 4 7	AXBZ	PENI	4	4.P.C 4.E.V 4.N.C 4.I.V	2.0 1.5 1.75 0.8	bɛní/i	0	105
246	58_bered	be red	BelejeGonfoye	Beleje Gonfoye	bɛɲi	bɛɲi	b ɛ ɲ i		9.097105	36.203337	Berta	1 7 4 7	AXBZ	PENI	1	1.P.C 1.E.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	bɛɲi	0	105
389	95_beshort	be short	Maiyu	Maiyu	ɗʊ́gurí	ɗʊ́gurí	ɗ ʊ́/ʊ g u r í/i	mayu1240	10.473464	34.540485	Berta	1 7 1 7 5 7	AXBYBZ	TYKYRI	3	3.T.C 3.Y.V 3.K.C 3.Y.V 3.R.C 3.I.V	2.0 1.5 1.75 1.3 1.75 0.8	ɗʊ́/ʊgurí/i	0	111
390	95_beshort	be short	Fadashi	Fadashi	tʃ’ɪdɛri	tʃ’ɪdɛri	tʃ ʔ ɪ d ɛ r i	fada1248	9.585863	34.677096	Berta	1 1 7 1 7 5 7	ACYBYBZ	THITERI	2	2.T.C 2.H.C 2.I.V 2.T.C 2.E.V 2.R.C 2.I.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	tʃʔɪdɛri	0	110
391	95_beshort	be short	Undulu	Undulu	dʒidɛri	dʒidɛri	dʒ i d ɛ r i	undu1236	10.314359	34.778879	Berta	1 7 1 7 5 7	AXBYBZ	TITERI	4	4.T.C 4.I.V 4.T.C 4.E.V 4.R.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	dʒidɛri	0	110
392	95_beshort	be short	BelejeGonfoye	Beleje Gonfoye	k’ideɾe	k’ideɾe	k ʔ i d e ɾ e		9.097105	36.203337	Berta	1 1 7 1 7 5 7	ACYBYBZ	KHITERE	1	1.K.C 1.H.C 1.I.V 1.T.C 1.E.V 1.R.C 1.E.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	kʔideɾe	0	110
