COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
662-2		ɓ u d ʔ ʔ a		
478-2		g e ɗ a		
409-2		a r e		
410-2		g u n d i		
946-2		ɓ n a ŋ g o		
256-2		ɓ n aː l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a ʔ		
847-2		n e n d i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ ɲ n n i		
510-2		b e ʃ a		
951-2		m b ə m a r e		
1116-2		m b e m a		
149-2		ɓ n u s ʔ i		
376-2		ɓ n ɛ l i		
815-2		g o r n ʔ a		
453-2		ɗ u ɲ a		
67-2		ɗ aː ʃ i		
47-2		d e k o l e θ a		
869-2		ɗ u θ a		
57-2		k aː g u		
303-2		g ʔ e s ʔ i a		
443-2		g i r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l o		
601-2		s i g i		
177-2		k ʔ a f a n		
341-2		k ʔ o l a		
1066-2		f ɛ n d n i ɲ i		
318-2		u f e ʃ i		
241-2		m aː ʔ ʃ ʔ ʔ o		
556-2		h a n d u ɲ u		
191-2		b n o m b n i l		
458-2		a s ʔ i s ʔ i		
1-2		h a Ø g e r ʔ		
751-2		r o		
864-2		a ŋ o n ʔ ʔ i		
154-2		a ʔ m e n Ø i		
278-2		n m i l o ʔ ʔ		
766-2		ʃ oː r a		
251-2		a g u r u		
6-2		a l i		
473-2		n i n e		
1111-2		h a θ u		
957-2		m a r e		
41-2		b i e		
24-2		s iː		
25-2		θ aː r e		
879-2		a b a r ə b ɛ d ʔ		
468-3			l a b a	
222-3			a b n b Ø i	
208-3			a b u r b u t u	
962-3			a g o r m a	
203-3			a g u t i ʔ	
138-3			m ʃ i l e	
504-3			ɗ o ʃ a i a	
662-3			ɓ u t i i a	
478-3			l g o ɗ	
409-3			a r e	
410-3			g u n t i	
946-3			ɓ a ŋ g o	
256-3			ɓ aː l e	
622-3			n t u	
546-3			n t u	
547-3			ʃ ɛ f a	
847-3			i a n t i g i	
95-3			b ɛ ɗ i	
105-3			b a n i	
510-3			b u ʃ a	
951-3			m b o m a r e	
1116-3			m b m a	
149-3			ɓ u s i	
376-3			ɓ a l i	
815-3			g o r m m a	
453-3			ɗ u ŋ e	
67-3			ɗ aː ʃ e	
47-3			t u k u l i i a	
869-3			ɗ u l a	
57-3			k aː g u	
303-3			g ʔ a s i a	
443-3			g i r a	
884-3			g u n t i	
166-3			g u n t i	
918-3			a b ɛ r e	
616-3			b iː e	
84-3			h o ʃ a l a	
346-3			h u h o l u	
601-3			s i g i	
177-3			k a f a ŋ	
341-3			k o l a	
1066-3			f ɛ n d i ŋ i	
318-3			u f i ʃ i	
241-3			m aː m ʃ i i o	
556-3			h a n t u ŋ u	
191-3			b Ø m b i l	
458-3			a s i s i	
1-3			h a ŋ g Ø r	
751-3			r o	
864-3			a ŋ o n i i i	
154-3			a ʔ m a n z i	
278-3			a m i l u i	
766-3			ʃ o r a	
251-3			a g u r u	
6-3			a l i	
473-3			l Ø e	
1111-3			h a l u	
957-3			m a r e	
24-3			s i	
25-3			Ø a r	
879-3			a b a r a b ɛ Ø r	
468-4				θ a b a
222-4				a b ɛ b Ø n
208-4				a b u r b u d u
962-4				a g o r ɛ
203-4				a g u d i a a
138-4				ʃ i l e
504-4				ɗ oː ʃ a a a
662-4				ɓ u d a a a
478-4				g o ɗ a
409-4				a r e
410-4				g u n d i
946-4				ɓ a ŋ g u
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ d i g i
95-4				b ɛ ɗ i
105-4				b o a i
510-4				b o ʃ a
951-4				m b ə m a r e
1116-4				m b ə m a
149-4				ɓ u s i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u e
67-4				ɗ aː ʃ e
47-4				ɗ o k o θ a a a
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a a s i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b ɛ r o
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h oː h u l u
601-4				z i g i
177-4				k a f a
341-4				k o l a
1066-4				f e n s i ŋ a
318-4				a f e ʃ i
241-4				m aː ʃ a a o
556-4				h a n d u ŋ u
191-4				ɓ o m b i l
458-4				a s i s i
1-4				h a n g i r a
751-4				r o
864-4				a ŋ o n a a i
154-4				a a m a n z i
278-4				a m i l o
766-4				ʃ oː r a
251-4				a g u r u
6-4				a l i
473-4				i n e
1111-4				h a θ u
957-4				m a r e
41-4				b Ø a
