COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
766-3			ʃ oː r a	
251-3			a g uː r u	
582-3			o ʔ o ɲ	
6-3			a l i	
1106-3			n g o	
473-3			ɪ nː e	
1111-3			h a l u	
957-3			m a r e	
24-3			s i	
25-3			lː a r e	
879-3			a b a r a b ɛ t i	
566-3			aː w a w o r e s ʔ	
742-3			a g o ʔ	
1044-3			ʃ i m b i l u	
13-3			a l h a m i s	
720-3			aː s ɛ l a ʔ	
233-3			ɓ i ɓ i o	
938-3			ɓ u l ei̯ a n e	
369-3			a r e	
889-3			ɓ iː l o	
405-3			b ə d e	
134-3			ɓ ə ɗ i ʔ e	
1078-3			m ɪ h i	
429-3			b o ŋ k o ʃ	
187-3			b ɪ s k ʔ e	
468-4				θ a b a
222-4				a b ɔ b ɔ n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ ɔː ʃ a
662-4				ɓ ʊː d a
478-4				g ɔ ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ n d i g i
95-4				b ɛ ɗ i
105-4				b ɪ n i
510-4				b o ʃ a
951-4				m b ə m a r e
1116-4				m b ə m a
149-4				ɓ u s ʔ i
376-4				ɓ aː l i
815-4				g o r a
453-4				ɗ aː ɲ e
67-4				ɗ aː ʃ e
47-4				ɗ o k o θ a
869-4				ɗ ʊː θ a
57-4				k aː g u
303-4				g a s ʔ i a
443-4				g eː r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h aː ʃ e
616-4				b iː e
84-4				h o ʃ ə l e
346-4				h u h o l u
601-4				s i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f ɛ n s i ŋ a
318-4				f e s i
241-4				m aː ʃ o
556-4				h a n d u ŋ u
191-4				ʔ ɪ mː b i l
458-4				a s ʔ i s ʔ i
1-4				h a n dʒ i r
751-4				r o
864-4				a ŋ o n a
154-4				a m a n z i
278-4				a m i l o ʔ
766-4				ʃ oː r a
251-4				a g uː r u
582-4				o ʔ o ŋ
6-4				a l i
1106-4				n g o
473-4				ɲ i n e
1111-4				h a l u
957-4				m a r e
41-4				b i e
566-4				a f a ɲ f a r a s ʔ
742-4				aː g u
1044-4				ʃ i m b i l
13-4				h a m i s
720-4				aː s ɛ l a
837-4				m aː s i
946-4				ɓ a ŋ g o
820-4				a s o r i
405-4				b ə d a
134-4				p ʔ a ɗ i ʔ i
1078-4				m iː h i
429-4				b ɔ ɲ ɔ ʃ
187-4				b ʊ s k ʔ e
438-4				n d ɛ nː e
