COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
218			m uː f a	m uː f o
217	mʷ ɔː n e	mː oː n e		
105	b ɛ ɲ i	b ɪ n i	b ɪ ɲ ɛ n i	b ɛ n i
904		b eː k a	b ə k a	
358	k oː ɗ e	k oː ɗ e		
914		m e n e m e n i ɲ i	m ɛ n ɛ m ɛ ɲ ɪ n i	
1084		m e h i	m iː h i	
1078		m e h i	m iː h i	m ɪ h i
875		h a r o ɗ i		g o r o ɗ i
429		b o ŋ o ʃ	b ɔ ɲ ɔ ʃ	b o ŋ k o ʃ
510	b o s a	b o ʃ a	b ɔ ʃ a	b oː ʃ a
757		m o z o l		m o g o l
951	m b ə m a r e	m b ə m a r e	m a r e	m b ə m a r e
1116	m b ə m a	m b ə m a	m b ə	m b u m a
149	ɓ u tʃ ʔ i	ɓ u s ʔ i	p ʔ ʊ s ʔ i	ɓ u s ʔ i
1027	b oː b o	b o b o		
187		b u s ʔ i k e	b ʊ s k ʔ e	b ɪ s k ʔ e
438	n d ɛ nː e	n d ɛ n e		n d ɪ n e
385		m ə k ʔ o ʃ	m ə k ʔ ɔ ʃ	m o k ʔ o ʃ
674		m aː m a ŋ	m a n a ɲ	
283	a n tʃ ʔ ɛ r e	a n s aː r e	m a n s ʔ a r e	
390		a bː a	a bː a	aː b a i y o
80		d iː d e	d i ɗ i	
782	d eː ɲ i		d iː ŋ i	
783		m aː r a	m ʊ r θ a	m a r θ a
928	m b a		m aː b ə	
931		n d a		n d a
932		g ɛ r a ʔ i		g ɛ r a ʔ i
375	m b a		m aː b a	
376	ɓ ə l i	ɓ a l i	p ʔ aː l i	ɓ ɛ l i
377		n d a		n d a
815	g o r a	k o r a	g ɔ r a	g o r a f a
526		g uː ɗ ɛ	g ʊ d a	
525	h o ɾ e			h oː r e
52	d oː ʃ i		d ʊu̯ o ʃ	t oː ʃ
453	ɗ uː ɲ e	ɗ u ɲ e	ɗ aː ŋ a	ɗ u ɲ e
67	ɗ aː s e	ɗ aː ʃ e	ɗ ɛ ʃ i	ɗ a ʃ e
47	d o k o l ɛ n e	ɗ o k o θ a	ɗ ɔ k ʔ ɔ θ a	d u k u θ a
842	ɗ o ŋ o s e	ɗ o ŋ o ʃ a	ɗ ɔ ŋ ɔ ʃ a	
110	k ʔ i d e ɾ e	tʃ ʔ ɪ d ɛ r i		dʒ i d ɛ r i
869	ɗ uː l a	ɗ oː θ a	ɗ ʊː θ a	ɗ uː θ a
518		f a r a d a	f ə r a d a	
519		h a g a		h a g a
520		m o f a		m o f a
650		k ʔ o ʃ	k ʔ ɔ ʃ	k ʔ o ʃ
182		k ʔ u r f e	k ʔ u r f e	
20		f i ʃ	f i ʃ	
748			f ʊː f u r	f uː f u r
161		ɓ ə ɗ e		ɓ ɛ ɗ e
57	k aː g u	k aː g u	k aː g u	g aː g u
91		g a l a s i	g ɛ l a s i	g a l a z i
303	k ʔ ɛ tʃ ʔ i a	g a s ʔ i a	g a s ʔ i a	g a s ʔ i a
443	g e r a	g ɛː r a	g eː r a	g ɛː r e
657		m a n e n k u		m u n e n k o
655	mʷ o ɲ ʃ o			m u n z oː
668		w ɛ lː a	w ɛ lː a	w ɛ lː a
399	n ə g u	n ɛ g u		
777		g i n d aː l i a	d aː l i a	g i n d aː l i a
728		s i ʔ i	h u ʃ i	s i ʔ i
727		r o r a		θ o r a
859		k ʔ o s i	k ʔ ɔ s ʔ i	
884	g u n d i	g u n d i	g ʊ n d i	g uː n d o
165	m a	m a	m a	
166	g u n d u	g u n d i	g u n d i	g u n d i
918	a b a r e	a b ɛ r e	a b a r o	a b ɛ r e
831	h aː s e	h aː ʃ e	h aː ʃ i	h əː n ʃ e
1007	ɪ ŋ g o l e	ɪ ŋ g o l e		o ŋ g o l e
1088	h o s a l e		h ɔ ʃ ɛ l i	h o ʃ ɛ l e
1087	ɪ ŋ g o l e	ɪ ŋ g o l e		o ŋ g o l e
616	b iː e	ɓ aːi̯ e	b iː e	b iː e
84	h o s a l e	h o ʃ ɛ l e	h ɔ ʃ ə l a	h o ʃ a l a
346	h oː h o l o	h o l u	h u h u l u	h oː h o l u
601	dʒ i g i	s i g i	s ɪ g i	z i g i
702	iː l e		iː l a	iː l a
894		iː s ʔ u	iː s ʔ u	iː s ʔ u
177	k ʔ a w a	k ʔ a f a	k ʔ a f a	k ʔ a f a ŋ
64		k ʔ a s ʔ i	k ʔ ə s ʔ i	
536	k ʔ eː t e	k eː d e	k ʔ eː d a	
341	k ʔ o l a	k ʔ o l a	k ʔ ɔ l a	k ʔ o l a
1066	w ɛ n t e ɲ e	f ɛ n s i ŋ a	f e n s ʔ i ŋ a	f ɛ n t e ŋ i
318	u w e s i	f eː s i	f e ʃ a	f ɛ ʃ i
694	n d ə	n d ə		n d ə
695	m i l i	m i l i		m i l i
263		m a	m ə	m a
264		g aː ʃ a	g aː ʃ a	g aː ʃ a
853		t i r ʃ a	d i r ʃ a	θ ə r ʃ a
241	m aː s iː s o	m aː ʃ o	m aː ʃ ũ	m ə n ʃ o
678	m a ŋ k a	mː a n k a	m a n k ʔ a	
592	m a n k o	mː a n k o	m a n k ʔ o	
1122	mː b a ʔ a	m b a ʔ a	m b a ʔ a	
558		m u l h i	m u l h i	m u l h i
556	h a n d u	h a n d u ŋ u	h a n d u ŋ u	h a n d u ŋ u
908	m u ɲ dʒ o		m u n s u	m u n z u
308	m uː ʃ e	m u ʃ e	m u ʃ a	
1071	m b o l e ʔ i a	m b o l e j a		
100	o l g ɪ n e	o l g i ŋ i	ɔ l g ɪ ɲ i	
173	ɓ uː ɗ e		ɓ u d a	ɓ u ɗ i
247		o r	ɔ r	o r
978	b eː		b eː	b eː
1017		w aː s a	a w a z a	w aː s a
145		a sː e	a sː e	
799			p ʔ eː r a	ɓ eː r a
798	k ʔ o k o n e	k ʔ o ŋ k o n i	k ɔ ŋ k ɔ n e	
191	b ɪ mː b i l	ɓ ɛ m b ɛ l	p ʔ ɪ mː p ʔ i l	ɓ ɪ m ɓ ɪ l
1013		a sː u r w a l	a s ʊ r w a l	
458	a s ʔ i s ʔ e	a s ʔ i s ʔ i	a s ʔ i s ʔ i	a s ʔ i s ʔ i
1	h a ɲ g ɪ r i	h a ɳ dʒ i r	h a n dʒ i r	h a ŋː h i r
751	r o	r o	r ɔ	r o
1097		r oː n d u	r ɔː n d u	r oː n d u
973		a ŋ	aː ŋ	
864	a ŋ o n ɛ n e	a ŋ o n i	a ŋ ɔ n a	a ŋː o n i
827		aː ɓ i l a	a p ʔ i l a	aː ɓ i l a
449		s ʔ a k ʔ a	s ʔ a k ʔ a	s ʔ a k ʔ a
789		a m a ɗ e	a m a ɗ i	a m a ɗ e
154	a ʔ m ɛ n dʒ i	a m a n z i	a m a n z i	a m a n z i
762		a m a z i ɲ	a m a s i ɲ	a m a z i
330	a m b u d u ɾ o	a m b u r u	a m b ʊ d u r	
278	m i l o ʔ i	a m i l u ʔ a	a m i l o	a m i l u ʔ i
794		ʃ eː k ʔ e	ʃ eː k ʔ e	
298			ʃ ɛ r	ʃ e r
296	i l o		i l e	i l e
230			k ʊ r s i	a l k u r s i
766	s oː r e	ʃ oː r a	ʃ ɔː r a	ʃ oː r a
495	s u l ɲ e r o		ʃ u l	ʃ u l
497			ɲ ɛː r a	ɲ e r a
251	a g u r u	a g uː r u	a g uː r u	a g uː r u
424		h aː ɓ u	a h a p ʔ u	
485		θ oː ʔ i		θ oː ʔ i y u
589			a dː ɛ w a	a dː a w a
899		ɗ a ɗ a f e t	a ɗ a ɗ a f ɛ d	a ɗ a n ɗ a f e t
419		e ʔ a f iː ŋ a	a f iː ŋ a	a f iː ɲ a
683		θ oː l a	θ ʊː θ a	θ uː θ e
644		t o k o l o	t ʔ ɔ k ʔ ɔ l o	t ʔ o k ʔ o l o
582	o ʔ o ɲ e	o ʔ o ŋ	ʊ ʔ u ŋ	u q u ɲ
968		s ɛː ŋ a n e		s e nː a
542		s oː s o ʔ	s ɔ s ɔ ʔ	z o z o
628		s u r e	s ʊ r e	
6	a l i	a l i	a l i	a l i
1106	n g o	n g o	ŋ g o	ɲ ɦ o
473	ɪ nː e	ɲ i n e	ɲ i n e	ɪ nː e
1111	h a l u	h a l u	h a θ u	h a θ u
957	m a r e	m a r e	m ə r e	m a r e
1062		h aː ʃ a	h a h a ʃ a	h a h a ʃ a
