COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
734-1	ɾ ɑ ɑ						
431-1	kʰ i						
1298-1	ɾ b ɑ l						
929-1	ts̪ ɜ ŋ k i						
1315-1	t̪ ɜ x s̪ k ɜ n̪						
964-1	m i n̪ t̪ ɜ x s̪						
836-1	m i						
1644-1	b ʑ u s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɑ						
1048-1	k ɜ k ɑ						
1692-1	s̪ o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
294-1	pʰ r̪ u						
661-1	b o ŋ o						
413-1	tɕʰ ɜ n̪						
996-1	tθʰ ɜ n̪						
1012-1	t̪ r̪ o b ɑ ɾ						
181-1	pʰ i t̪ r̪ o						
1660-1	g u n̪ d ɜ						
1440-1	d̪ i r̪ i ŋ						
1652-1	l o						
1037-1	s̪ ȵ i ŋ m ɜ						
677-1	l ɜ x m o						
1561-1	ɕ ɛ r̪ b ɑ						
447-1	s̪ k ɜ m b o						
828-1	ɾ i ŋ m o						
1247-1	tɕ ɜ t̪ s̪ t̪						
391-1	k r̪ ɜ x m o						
972-1	ȵ i m o ŋ						
531-1	t̪ʰ ɜ ɣ r̪ i ŋ s̪						
253-1	tɕ o ŋ o						
1282-1	ts̪ u n̪ tθ e						
812-1	j ɑ ŋ m o						
245-1	t̪ʰ u r̪ u						
1609-1	k ɑ r̪ p o						
261-1	n̪ ɑ q s̪ o						
1143-1	m ɑ r̪ m o						
709-2		g o o					
522-2		d o ŋ					
514-2		m ɪ k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ ɜ					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ o ɑ					
205-2		p r̪ ɜ q p ɜ					
1089-2		l ɜ q d l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɑ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		ɾ ɜ q					
1512-2		l̪ tɕ i n̪					
555-2		b tɕʰ ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		b ɜ ŋ m ɜ					
1106-2		b u n̪					
693-2		h ɜ s̪ o ɑ					
221-2		s̪ t̪ ɜ r̪ e					
1199-2		t̪ʰ ɜ p ɑ					
1424-2		s̪ k u t̪ p ɑ					
904-2		l dð o t̪					
1273-2		s̪ n̪ ɜ m					
1323-2		s̪ k ɜ ŋ m ɜ					
1127-2		tɕʰ ɜ r̪ p ɜ					
1529-2		tɕ u					
1175-2		ɾ gʲ ɜ m tθ o					
383-2		d̪ s̪ i l					
820-2		l̪ o k					
1636-2		j u ŋ					
1331-2		ʊ ɾ o ɑ					
1097-2		l ɜ m					
1223-2		b ɜ ŋ ɑ					
592-2		m ɑ					
1290-2		tɕ u p ɑ					
669-2		s̪ ɛ ɾ					
1472-2		s̪ t̪ ɜ b ʑ i					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɑ					
626-2		m ɜ n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b r̪ ɜ s̪					
1119-2		ɑ l u					
365-2		s̪ z̪ ɛ r̪ m ɜ					
1480-2		j u ŋ					
653-2		z̪ g o k p ɑ					
1081-2		ts̪ o ŋ					
1448-2		p ɑ x ɜ n̪					
1029-2		m ɑ ɾ					
863-2		ɕ ɑ					
539-2		tθʰ i l					
610-2		ŋ ɑ					
350-2		b ɜ ŋ m o					
871-2		o ŋ m ɑ					
734-2		ɾ g ɑ					
431-2		kʰ i					
1298-2		b u l					
929-2		tɕ ɜ ŋ k i					
1315-2		t̪ ɑ s̪ k ɜ n̪					
964-2		m ɜ n̪ d ɜ s̪					
836-2		m i					
1644-2		b u s̪ t̪ r̪ i ŋ					
547-2		ɜ t̪ ɑ					
1048-2		k ɜ k ɑ					
1692-2		g o n̪ o					
1306-2		b u					
405-2		b o ŋ o					
294-2		pʰ r̪ u					
661-2		b o ŋ o					
413-2		ʑ ɜ q					
996-2		tθʰ ɜ n̪					
1012-2		t̪ r̪ o b ɜ					
181-2		b i r̪ o					
1660-2		g ɜ n̪ d ɜ					
1440-2		g ɛ r̪ i ŋ					
1652-2		l o					
1037-2		s̪ ȵ i ŋ m ɑ					
677-2		l ɜ x m o					
1561-2		s̪ ɛ r̪ p ɜ					
447-2		s̪ k ɜ m b o					
828-2		ɾ i ŋ m o					
1247-2		tɕ ɜ t̪ s̪ s̪ t̪					
391-2		r̪ ɜ x m o					
972-2		ȵ i m o o					
531-2		ɜ r̪ i ŋ s̪					
253-2		tɕ o ŋ o					
1282-2		ts̪ u n̪ tθ ɜ					
812-2		j ɑ ŋ m o					
245-2		t̪ʰ u s̪					
1609-2		k ɑ p o					
261-2		n̪ ɑ q p o					
1143-2		m ɑ r̪ p o					
709-3			g o o				
522-3			ɾ ɜ d o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ ɜ				
302-3			b l ɜ ŋ				
237-3			l̪ t̪ o ɑ				
205-3			p l ɜ p b ɜ				
1089-3			l ɜ x t̪ʰ ɑ l				
804-3			k ɜ ŋ m ɑ				
1263-3			b ɜ k s̪ p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			s̪ n̪ i ŋ				
269-3			r̪ ɜ q				
1512-3			l̪ tɕ ɪ n̪				
555-3			β tɕʰ ɜ k b ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			pʰ ɜ ɜ m ɜ				
1106-3			b u				
693-3			h ɜ s̪ o ŋ ɑ				
221-3			s̪ t̪ ɜ m e				
1199-3			t̪ʰ ɜ q b ɜ				
1424-3			s̪ k u t̪ b ɜ				
904-3			l dð o t̪				
1273-3			s̪ n̪ ɜ m				
1323-3			s̪ k ɜ m ɑ				
1127-3			tɕʰ ɜ ɾ ɜ				
1529-3			tɕʰ u				
1175-3			ɾ gʲ ɜ m o				
383-3			x s̪ u l				
820-3			d̪ o k				
1636-3			r̪ u ŋ				
1331-3			ʊ ɾ d̪ u ɑ				
1097-3			l ɜ m				
1223-3			b ɜ ŋ ɑ				
592-3			m ɑ				
1290-3			t̪ u t̪ b ɜ				
669-3			x s̪ ɛ ɾ				
1472-3			s̪ t̪ ɜ b s̪ i				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɜ				
626-3			m ɪ n̪ d o q				
844-3			ɑ m				
879-3			tɕʰ ɑ				
1151-3			b r̪ ɜ s̪				
1119-3			ɑ l u				
365-3			s̪ g ɛ m ɜ				
1480-3			j u ŋ				
653-3			z̪ g o p ɜ				
1081-3			ts̪ o ŋ				
1448-3			p b ɜ n̪				
1029-3			m ɑ ɾ				
863-3			ɕ ɜ				
539-3			tθʰ ɑ l				
610-3			ŋ ɑ				
350-3			b ɜ ŋ o				
871-3			o ŋ ɑ				
734-3			ɾ ɑ ɑ				
431-3			kʰ i				
1298-3			o ɾ b u l				
929-3			t̪ʰ ɜ ŋ kʰ i				
1315-3			t̪ ɑ k s̪ k ɜ n̪				
964-3			m ɪ n̪ d ɜ q s̪				
836-3			m i				
1644-3			b ʊ s̪ t̪ r̪ i ŋ				
547-3			ɜ t̪ ɜ				
1048-3			k ɜ k ɜ				
1692-3			s̪ o m o				
1306-3			b u				
405-3			b o ŋ o				
294-3			pʰ r̪ u				
661-3			b o ŋ o				
413-3			z̪ ɜ q				
996-3			tθʰ ɜ n̪				
1012-3			t̪ r̪ o b ɜ ɾ				
181-3			pʰ x i t̪ r̪ o ŋ				
1660-3			g ʊ n̪ d e				
1440-3			d̪ ɪ r̪ i ŋ				
1652-3			l o				
1037-3			s̪ r̪ i m ɑ				
677-3			l ɜ x m o				
1561-3			x s̪ ɛ r̪ u ɜ				
447-3			s̪ k ɜ m b o				
828-3			ɾ i ŋ m o				
1247-3			tɕ ɜ t̪ t̪				
391-3			pʰ ɜ ɜ m o				
972-3			ȵ i m ɑ ɾ				
531-3			t̪ʰ ɜ t̪ r̪ i ŋ				
253-3			tɕ o m o				
1282-3			ts̪ u m e				
812-3			j ɑ ŋ m o				
245-3			t̪ʰ u ɾ s̪				
1609-3			k ɑ ɾ ɜ o				
261-3			n̪ ɑ q				
1143-3			m ɑ ɾ m o				
709-4				g o o			
522-4				ɑ d o ŋ			
514-4				m ɪ k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɜ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕ ɑ			
302-4				t̪ r̪ ɜ ŋ			
237-4				l̪ t̪ o ɑ			
205-4				p l ɜ x p ɜ			
1089-4				l ɜ x t̪ ɪ l			
804-4				k ɜ ŋ m ɜ			
1263-4				p ɜ x s̪ p ɜ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ n̪ i ŋ			
269-4				ɜ q			
1512-4				l̪ tɕ i ŋ			
555-4				tɕʰ ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				pʰ ɜ x m ɜ			
1106-4				p u k			
693-4				h ɜ k o ŋ ɜ			
221-4				s̪ t̪ ɑ ɾ ɜ			
1199-4				t̪ʰ ɜ q p ɜ			
1424-4				s̪ k ɜ t̪ p ɜ			
904-4				l dð o t̪			
1273-4				n̪ ɑ m			
1323-4				s̪ k ɜ ɽ m ɜ			
1127-4				tɕʰ ɜ r̪ p ɑ			
1529-4				tɕ u			
1175-4				gʲ ɜ m o			
383-4				d̪ s̪ ɪ l			
820-4				d̪ o k			
1636-4				ɑ s̪ u ŋ			
1331-4				ʊ ɾ d̪ u ɑ			
1097-4				l ɜ m			
1223-4				p ɑ ŋ ɑ			
592-4				m e			
1290-4				d̪ ɜ t̪ p ɜ			
669-4				s̪ ɛ ɾ			
1472-4				s̪ t̪ ɜ k s̪ i			
788-4				l o ŋ ɑ			
1191-4				ɾ ɜ m p ɜ			
626-4				m i n̪ d o q			
844-4				ɑ m			
879-4				tɕʰ ɑ			
1151-4				t̪ r̪ ɜ s̪			
1119-4				ɑ l u			
365-4				z̪ ɛ r̪ m ɜ			
1480-4				j u ŋ			
653-4				z̪ g o k p ɜ			
1081-4				ts̪ o ŋ			
1448-4				p ɑ ɣ ɜ n̪			
1029-4				m ɑ ɾ			
863-4				ɕ ɜ			
539-4				tθʰ ɪ l			
610-4				ŋ ɑ			
350-4				p ɜ ŋ o			
871-4				o ŋ ɑ			
734-4				ɾ ɑ			
431-4				kʰ i			
1298-4				o ɣ p u l			
929-4				d ɜ ŋ k i			
1315-4				t̪ ɜ k s̪ k ɜ n̪			
964-4				m i n̪ d ɜ x s̪			
836-4				m i			
1644-4				t̪ u s̪ t̪ r̪ i ŋ			
547-4				ɑ t̪ ɜ			
1048-4				k ɜ k ɜ			
1692-4				o ŋ o			
1306-4				β u			
405-4				p o ŋ o			
294-4				p u			
661-4				p o ŋ o			
413-4				tθʰ ɜ q			
996-4				tθʰ ɜ n̪			
1012-4				t̪ r̪ o k ɜ ɾ			
181-4				pʰ i t̪ r̪ o k			
1660-4				g u n̪ d ɜ			
1440-4				d̪ i r̪ i ŋ			
1652-4				l o			
1037-4				s̪ ȵ i ŋ m ɜ			
677-4				l ɜ x m o			
1561-4				ɕ ɜ r̪ p ɜ			
447-4				s̪ k ɜ m p o			
828-4				ɾ i ŋ m o			
1247-4				tɕ ɜ k ɜ t̪			
391-4				ɜ x m o			
972-4				ȵ i m o ɾ			
531-4				t̪ʰ ɜ t̪ r̪ i ŋ			
253-4				tɕ o ŋ o			
1282-4				ts̪ u m ɜ			
812-4				j ɑ ŋ m o			
245-4				t̪ʰ u ɾ			
1609-4				k ɜ r̪ p o			
261-4				n̪ ɜ q p o			
1143-4				m ɜ ɾ p o			
709-5					g o o		
522-5					ɜ d o ŋ		
514-5					m i k		
464-5					s̪ n̪ ɑ		
1020-5					s̪ n̪ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ o		
302-5					b r̪ ɜ ŋ		
237-5					l̪ t̪ o ɑ		
205-5					p r̪ ɜ q p ɜ		
1089-5					l ɜ x t̪ u l		
804-5					k ɑ ŋ m ɜ		
1263-5					b ɜ x s̪ p ɜ		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ i s̪		
269-5					r̪ ɜ q		
1512-5					l̪ tɕ i n̪		
555-5					β kʰ ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ ɪ ŋ		
320-5					pʰ l ɜ x m ɜ		
1106-5					b u s̪		
693-5					h ɜ k o ŋ ɑ		
221-5					s̪ t̪ ɜ ŋ s̪		
1199-5					t̪ʰ ɜ q p ɜ		
1424-5					s̪ k u t̪ p ɜ		
904-5					l d o t̪		
1273-5					x n̪ ɜ m		
1323-5					s̪ k ɜ ɾ m ɜ		
1127-5					tɕʰ ɜ r̪ p ɜ		
1529-5					tɕʰ u		
1175-5					ɾ gʲ ɛ m o		
383-5					x s̪ u l		
820-5					kʰ o k		
1636-5					x l u ŋ		
1331-5					ʊ ɾ d̪ o ɑ		
1097-5					l ɜ m		
1223-5					b ɜ ŋ ɑ		
592-5					m ɛ		
1290-5					t̪ u t̪ p ɜ		
669-5					x s̪ ɛ ɾ		
1472-5					s̪ t̪ ɜ k s̪ i		
788-5					l o ŋ ɑ		
1191-5					ɾ ɜ m p ɜ		
626-5					m ɪ n̪ d o q		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					b r̪ ɜ s̪		
1119-5					ɑ l u		
365-5					s̪ z̪ ɛ r̪ m ɜ		
1480-5					j u ŋ		
653-5					z̪ g o k p ɜ		
1081-5					ts̪ o ŋ		
1448-5					p ɜ ɣ ɜ n̪		
1029-5					m ɑ ɾ		
863-5					ɕ ɛ		
539-5					t̪ʰ i l		
610-5					ŋ ɑ		
350-5					b ɜ ŋ o		
871-5					o ŋ ɑ		
734-5					ɾ g ɑ		
431-5					kʰ i		
1298-5					ɜ ɾ b u l		
929-5					t̪ ɜ ŋ k i		
1315-5					t̪ ɑ k s̪ k ɜ n̪		
964-5					m ɪ n̪ t̪ ɜ x s̪		
836-5					m i		
1644-5					b ɜ u s̪ t̪ r̪ i ŋ		
547-5					ɜ t̪ ɜ		
1048-5					k ɜ k ɜ		
1692-5					x o ŋ o		
1306-5					b l̥ u		
405-5					b o ŋ o		
294-5					p l̥ u		
661-5					b o ŋ o		
413-5					tɕʰ ɜ q		
996-5					tθʰ ɜ n̪		
1012-5					t̪ r̪ o b ɜ ɾ		
181-5					b r̪ i t̪ r̪ o		
1660-5					g ɑ n̪ d o		
1440-5					d̪ i r̪ i ŋ		
1652-5					l o		
1037-5					s̪ ȵ i ŋ m ɜ		
677-5					l ɜ x m o		
1561-5					x s̪ ɛ r̪ ɸ ɜ		
447-5					s̪ k ɜ m b o		
828-5					ɾ i ŋ m o		
1247-5					tɕ ɜ t̪ t̪		
391-5					pʰ l ɜ x m o		
972-5					ȵ i m o ɾ		
531-5					t̪ʰ ɜ t̪ r̪ ɪ ŋ		
253-5					tɕ o ŋ o		
1282-5					ts̪ u m o		
812-5					j ɑ ŋ m o		
245-5					t̪ʰ u ɾ		
1609-5					k ɑ r̪ ɸ o		
261-5					n̪ ɑ q p o		
1143-5					m ɑ r̪ ɸ o		
709-6						g o o	
522-6						ɣ ɑ d o ŋ	
514-6						m i k	
464-6						s̪ n̪ ɑ	
1020-6						s̪ n̪ ɜ m s̪ u l	
1355-6						s̪ o	
1464-6						l̪ tɕ ɜ	
302-6						b l ɜ ŋ	
237-6						l̪ t̪ ɜ ɑ	
205-6						p ɜ ɜ q p ɜ	
1089-6						l ɜ x t̪ ɪ l	
804-6						k ɑ ŋ m ɜ	
1263-6						b ɜ k s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ n̪ i ŋ	
269-6						b ɜ q	
1512-6						l̪ tɕ i n̪	
555-6						t̪ ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						pʰ ɜ x m ɜ	
1106-6						b u ŋ s̪	
693-6						h ɜ k o ŋ ɜ	
221-6						s̪ t̪ ɜ r̪ ɜ	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ k u t̪ p ɜ	
904-6						l t̪ o t̪	
1273-6						s̪ n̪ ɜ m	
1323-6						s̪ k ɜ r̪ m ɜ	
1127-6						tɕʰ ɜ r̪ p ɜ	
1529-6						tɕʰ u	
1175-6						ɾ gʲ ɛ m s̪ o	
383-6						p s̪ ɪ l	
820-6						d̪ o k	
1636-6						l u ŋ	
1331-6						ɾ d̪ u ɑ	
1097-6						l ɜ m	
1223-6						b ɜ ŋ ɜ	
592-6						m ɜ	
1290-6						t̪ u t̪ p ɜ	
669-6						s̪ ɛ ɾ	
1472-6						s̪ t̪ ɜ ɣ s̪ i	
788-6						l o ŋ ɜ	
1191-6						ɾ ɜ m p ɜ	
626-6						m ɪ n̪ d o q	
844-6						ɑ m	
879-6						tɕʰ ɜ	
1151-6						b ɜ ɜ s̪	
1119-6						ɑ l u	
365-6						z̪ ɛ r̪ m ɜ	
1480-6						j u ŋ	
653-6						z̪ g o k p ɜ	
1081-6						ts̪ o ŋ	
1448-6						p ɜ ɣ ɜ n̪	
1029-6						m ɑ ɾ	
863-6						ɕ ɜ	
539-6						tθʰ ɪ l	
610-6						ŋ ɜ	
350-6						kʰʲ ɜ ŋ ɜ o	
871-6						o ŋ m ɜ	
734-6						ɾ i ɑ	
431-6						kʰ i	
1298-6						ɾ b ɜ l	
929-6						t̪ ɜ ŋ k i	
1315-6						t̪ ɜ k s̪ k ɜ n̪	
964-6						m ɪ n̪ t̪ ɜ q s̪	
836-6						m i	
1644-6						b u s̪ t̪ r̪ i ŋ	
547-6						ɜ t̪ ɜ	
1048-6						k ɜ k ɜ	
1692-6						n̪ o ŋ o	
1306-6						b l̥ u	
405-6						b o ŋ o	
294-6						p l̥ u	
661-6						b o ŋ o	
413-6						b ɜ q	
996-6						tθʰ ɜ n̪	
1012-6						t̪ r̪ o b ɜ ɾ	
181-6						p i t̪ r̪ o ŋ	
1660-6						g u n̪ d ɜ	
1440-6						d̪ i r̪ i ŋ	
1652-6						l o	
1037-6						s̪ ȵ i ŋ m ɜ	
677-6						ɜ x m o	
1561-6						ɕ ɜ r̪ p ɜ	
447-6						s̪ k ɜ m p o	
828-6						ɾ i ŋ m o	
1247-6						tɕ ɜ p s̪ t̪	
391-6						pʰ ɜ x m o	
972-6						ȵ i m o ɾ	
531-6						t̪ʰ ɜ t̪ r̪ i ŋ s̪	
253-6						tɕ o ŋ o	
1282-6						ts̪ u n̪ ɜ	
812-6						j ɑ ŋ m o	
245-6						t̪ʰ u r̪ s̪	
1609-6						k ɜ r̪ p o	
261-6						n̪ ɜ q p o	
1143-6						m ɜ r̪ p o	
709-7							g o o
522-7							h ʊ s̪ d o ŋ
514-7							m i k
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɑ m s̪ u l
1355-7							s̪ o
1464-7							s̪ tɕ ɜ
302-7							ʈ r̪ ɜ ŋ
237-7							l̪ t̪ ɜ ɑ
205-7							pʰ r̪ ɜ q p ɜ
1089-7							l ɜ q r̪ i l
804-7							ɑ ŋ m ɑ
1263-7							ts̪ ɜ s̪ o ɑ
286-7							ɾ u s̪ p ɑ
717-7							s̪ ȵ i ŋ
269-7							ʈ ɜ q
1512-7							s̪ tɕ i n̪
555-7							l̪ ɜ k p ɜ
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ i ŋ
320-7							pʰ ɑ ŋ m ɑ
1106-7							pʰ u s̪
693-7							h ɑ n̪ o ŋ ɑ
221-7							s̪ ɜ ɑ
1199-7							t̪ʰ ɜ l p ɑ
1424-7							s̪ k u l p ɑ
904-7							l dð o s̪
1273-7							s̪ n̪ ɑ m
1323-7							s̪ ɑ ŋ m ɑ
1127-7							tɕʰ ɜ ŋ p ɑ
1529-7							tɕ u
1175-7							ɾ gʲ ɜ m ɑ o
383-7							d̪ s̪ i ɑ
820-7							d̪ o k
1636-7							pʰ s̪ u ŋ
1331-7							ɾ g u ɑ
1097-7							l ɑ m
1223-7							s̪ ɜ ŋ ɑ
592-7							m ɑ
1290-7							t̪ʰ u l p ɑ
669-7							s̪ ɛ ɾ
1472-7							s̪ t̪ ɜ k ʑ i
788-7							s̪ o m ɑ
1191-7							ɾ ɑ m p ɑ
626-7							m ɑ n̪ d o q
844-7							ɑ m
879-7							tɕ ɑ
1151-7							pʰ r̪ ɜ s̪
1119-7							ɑ l u
365-7							s̪ ɑ ŋ m ɑ
1480-7							j ɑ ŋ
653-7							z̪ k o k p ɑ
1081-7							ts̪ o ŋ
1448-7							p ɑ ɾ ɑ n̪
1029-7							m ɑ ɾ
863-7							ɕ ɑ
539-7							t̪ʰ i l
610-7							ŋ ɑ
350-7							h ɑ ŋ d o
871-7							o ŋ m ɑ
734-7							ɾ g ɑ
431-7							kʰ i
1298-7							t̪ʰ t̪ʰ u l
929-7							ts̪ ɜ ŋ d i
1315-7							d̪ ɜ s̪ o ɑ n̪
964-7							m ɑ d ɜ q s̪
836-7							m i
1644-7							pʰ u s̪ ʈ ɑ ŋ
547-7							ɜ t̪ ɑ
1048-7							k ɜ k ɑ
1692-7							n̪ o ŋ o
1306-7							pʰ u
405-7							n̪ o ŋ o
294-7							pʰ r̪ u
661-7							n̪ o ŋ o
413-7							ɜ q
996-7							h ɜ n̪
1012-7							ʈ o b ɜ ɾ
181-7							pʰ i k o
1660-7							g o n̪ d ɜ
1440-7							d̪ ɜ i ŋ
1652-7							l o
1037-7							s̪ i m m ɑ
677-7							l ɑ x m o
1561-7							ɕ ɑ ɾ m ɜ
447-7							s̪ k ɑ m ɑ o
828-7							ɾ i ŋ m o
1247-7							tɕ ɜ ŋ d
391-7							g ɑ k m o
972-7							ȵ i m ɑ
531-7							t̪ʰ ɜ k r̪ o ŋ
253-7							tɕ o g o
1282-7							ts̪ u n̪ o
812-7							j ɑ ŋ m o
245-7							g u r̪ s̪
1609-7							k ɑ ɾ p o
261-7							n̪ ɑ k p o
1143-7							m ɑ p o
